,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2015-03,2.511B,2.511B,3.447B,3.447B,668.30M,263.30M,965.60M,1.897B,919.30M,,8.774B,,,,,,4.713B,-2.577B,2.136B,16.71B,7.358B,24.07B,,1.092B,27.30B,36.07B,,1.732B,,1.732B,3.097B,4.829B,,,,123.70M,,123.70M,,,,4.953B,,3.054B,,3.054B,,,,69.70M,4.675B,7.729B,12.68B,,8.00M,20.80B,4.624B,,,-2.108B,23.32B,,AOR,Restated
2014-12,3.006B,3.006B,3.446B,3.446B,612.70M,266.40M,903.70M,1.783B,952.70M,,9.431B,0.00,186.50M,1.037B,2.249B,1.236B,4.709B,-2.537B,2.172B,15.67B,7.060B,22.73B,,2.656B,27.56B,36.99B,,1.825B,589.70M,2.415B,860.90M,3.276B,188.20M,,,71.90M,,71.90M,573.10M,573.10M,308.00M,5.396B,2.40M,3.402B,,3.402B,151.80M,151.80M,1.631B,71.70M,241.70M,8.146B,13.54B,,7.90M,20.32B,4.481B,,,-1.434B,23.38B,,AOR,Restated
2014-09,4.025B,4.025B,3.498B,3.498B,639.50M,304.40M,930.10M,1.874B,592.10M,,9.990B,,,,,,4.681B,-2.519B,2.162B,15.98B,6.214B,22.19B,,1.192B,25.55B,35.54B,,1.684B,,1.684B,2.716B,4.400B,,,,71.40M,,71.40M,,,,4.471B,,2.965B,,2.965B,,,,69.40M,4.29B,7.255B,11.73B,,7.90M,19.73B,4.381B,,,-379.80M,23.74B,,AOR,Restated
2014-06,3.321B,3.321B,3.632B,3.632B,649.30M,302.10M,942.80M,1.894B,660.20M,,9.507B,,,,,,4.756B,-2.524B,2.232B,16.40B,6.369B,22.77B,,1.145B,26.14B,35.65B,,1.735B,,1.735B,2.623B,4.358B,,,,49.00M,,49.00M,,,,4.407B,,3.02B,,3.02B,,,,68.40M,4.436B,7.456B,11.86B,,7.90M,19.12B,4.285B,,,305.80M,23.72B,,AOR,Restated
2014-03,3.346B,3.346B,3.468B,3.468B,644.70M,302.00M,924.60M,1.871B,718.90M,,9.404B,,,,,,4.594B,-2.411B,2.183B,16.15B,6.213B,22.36B,,1.095B,25.64B,35.04B,,1.685B,,1.685B,2.555B,4.240B,,,,64.10M,,64.10M,,,,4.304B,,3.423B,,3.423B,,,,67.10M,4.286B,7.709B,12.01B,,7.90M,18.52B,4.220B,,,218.60M,22.96B,,AOR,Restated
2013-12,3.115B,3.115B,3.452B,3.452B,610.60M,287.00M,885.90M,1.784B,763.40M,,9.114B,0.00,189.70M,1.010B,2.279B,1.032B,4.511B,-2.300B,2.211B,16.04B,6.248B,22.29B,,1.061B,25.56B,34.67B,,1.778B,224.90M,2.003B,710.20M,2.713B,173.40M,,,62.30M,,62.30M,686.50M,686.50M,,4.527B,2.60M,3.437B,,3.437B,170.20M,170.20M,1.202B,66.10M,268.10M,7.693B,12.22B,,7.90M,18.01B,4.158B,,,214.50M,22.39B,,AOR,Restated
2013-09,1.996B,1.996B,3.373B,3.373B,649.50M,332.60M,983.60M,1.966B,689.70M,,8.024B,,,,,,4.441B,-2.262B,2.179B,16.02B,6.344B,22.37B,0.00,1.149B,25.70B,33.72B,,1.684B,,1.684B,2.539B,4.223B,,,,56.50M,,56.50M,,,,4.279B,,3.446B,,3.446B,,,,66.20M,4.626B,8.071B,12.35B,,7.80M,17.23B,4.088B,,,-25.20M,21.30B,,AOR,Restated
2013-06,2.325B,2.325B,3.281B,3.281B,635.50M,327.70M,947.80M,1.911B,713.70M,,8.231B,,,,,,4.296B,-2.147B,2.149B,15.54B,6.196B,21.73B,0.00,998.40M,24.88B,33.11B,,1.621B,,1.621B,2.457B,4.079B,,,,53.90M,,53.90M,,,,4.132B,,4.101B,,4.101B,,,,68.50M,4.511B,8.612B,12.74B,,7.80M,16.65B,4.013B,,,-378.60M,20.30B,,AOR,Restated
2013-03,2.151B,2.151B,3.118B,3.118B,633.10M,325.40M,908.00M,1.866B,774.50M,,7.91B,,,,,,4.149B,-2.039B,2.110B,15.36B,6.148B,21.51B,0.00,941.60M,24.56B,32.47B,,1.534B,,1.534B,2.325B,3.860B,,,,67.00M,,67.00M,,,,3.926B,,4.404B,,4.404B,,,,68.10M,4.389B,8.794B,12.72B,,7.80M,16.05B,3.887B,,,-268.00M,19.68B,,AOR,Restated
2012-12,1.679B,1.679B,3.267B,3.267B,622.30M,291.20M,899.90M,1.813B,828.40M,,7.588B,0.00,181.00M,954.10M,2.211B,757.30M,4.103B,-1.962B,2.141B,15.46B,6.344B,21.81B,548.30M,858.00M,25.35B,32.94B,,1.546B,194.50M,1.741B,672.40M,2.413B,171.50M,,,55.50M,,55.50M,730.00M,730.00M,,4.206B,2.00M,5.288B,,5.288B,105.20M,105.20M,1.699B,67.40M,270.60M,9.651B,13.86B,,7.70M,15.38B,3.688B,,,-59.20M,19.02B,,AOR,Restated
2012-09,1.541B,1.541B,2.985B,2.985B,642.30M,304.08M,935.99M,1.882B,499.57M,,6.908B,,,,,,3.934B,-1.871B,2.063B,15.06B,6.104B,21.16B,560.63M,893.16M,24.68B,31.59B,,1.493B,,1.493B,2.387B,3.880B,,55.06M,,55.06M,,55.06M,,,,3.935B,,4.659B,,4.659B,,,,66.68M,4.039B,8.698B,12.63B,,7.718M,14.77B,3.962B,,,149.87M,18.89B,,AOR,Restated
2012-06,1.118B,1.118B,3.094B,3.094B,629.41M,306.33M,920.07M,1.856B,542.19M,,6.610B,,,,,,3.836B,-1.771B,2.065B,14.93B,6.177B,21.10B,552.54M,837.94M,24.56B,31.17B,,1.511B,,1.511B,2.463B,3.974B,,55.41M,,55.41M,,55.41M,,,,4.030B,,4.848B,,4.848B,,,,65.81M,3.926B,8.773B,12.80B,,7.696M,14.24B,4.134B,,,-74.94M,18.30B,,AOR,Restated
2012-03,1.043B,1.043B,2.996B,2.996B,628.74M,289.05M,971.29M,1.889B,614.40M,,6.543B,,,,,,3.891B,-1.786B,2.105B,14.57B,5.862B,20.44B,549.86M,787.90M,23.88B,30.42B,,1.466B,,1.466B,2.383B,3.849B,,63.11M,,63.11M,,63.11M,,,,3.913B,,4.863B,,4.863B,,,,67.90M,3.754B,8.617B,12.53B,,7.668M,13.65B,4.016B,,,147.44M,17.82B,,AOR,Restated
2011-12,537.00M,537.00M,3.050B,3.050B,588.30M,262.20M,930.90M,1.781B,904.10M,,6.272B,0.00,180.10M,937.40M,2.118B,531.80M,3.767B,-1.666B,2.101B,14.47B,5.840B,20.31B,521.90M,739.70M,23.68B,29.95B,,1.422B,234.00M,1.656B,706.10M,2.362B,140.10M,,,98.40M,,98.40M,645.00M,645.00M,80.50M,4.172B,1.50M,5.207B,,5.207B,75.70M,75.70M,1.430B,67.00M,249.60M,8.806B,12.98B,,7.60M,13.06B,3.877B,,,-36.90M,16.90B,,AOR,Restated
2011-09,484.37M,484.37M,3.007B,3.007B,628.86M,305.11M,1.037B,1.971B,852.08M,,6.315B,,,,,,3.788B,-1.637B,2.151B,14.43B,6.038B,20.47B,531.18M,1.151B,24.30B,30.62B,,1.467B,,1.467B,2.574B,4.041B,,82.28M,,82.28M,,82.28M,,,,4.124B,,5.813B,,5.813B,,,,65.36M,4.119B,9.933B,14.06B,,7.596M,12.50B,3.801B,,,185.11M,16.50B,,AOR,Restated
2011-06,551.58M,551.58M,3.099B,3.099B,635.54M,314.06M,1.115B,2.065B,838.75M,,6.555B,,,,,,3.809B,-1.583B,2.226B,14.74B,6.211B,20.95B,533.14M,1.248B,24.96B,31.51B,,1.515B,,1.515B,2.718B,4.233B,,47.93M,,47.93M,,47.93M,,,,4.281B,,6.525B,,6.525B,,,,66.02M,4.152B,10.68B,14.96B,,7.585M,12.00B,3.747B,,,737.84M,16.49B,,AOR,Restated
2011-03,1.594B,1.594B,2.210B,2.210B,453.21M,230.24M,601.49M,1.285B,1.043B,,6.132B,,,,,,,,1.178B,10.93B,3.539B,14.47B,523.23M,727.66M,16.90B,23.03B,,1.239B,,1.239B,2.026B,3.265B,,58.92M,,58.92M,,58.92M,,,,3.324B,,2.668B,,2.668B,,,,64.51M,2.319B,4.987B,8.311B,,7.37M,11.36B,2.683B,,,606.86M,14.66B,,AOR,Restated
2010-12,1.633B,1.633B,2.219B,2.219B,437.75M,202.20M,585.20M,1.225B,652.41M,,5.730B,0.00,121.70M,749.00M,1.844B,,2.715B,-1.522B,1.192B,10.76B,3.325B,14.08B,511.28M,701.13M,16.49B,22.22B,,1.216B,,1.216B,2.048B,3.264B,,40.76M,,40.76M,,40.76M,,,,3.305B,,2.784B,,2.784B,,,,61.76M,2.356B,5.140B,8.444B,,7.295M,10.95B,2.412B,,,345.39M,13.71B,,AOR,Restated
2010-06,1.233B,1.233B,2.026B,2.026B,424.21M,207.56M,606.92M,1.239B,547.32M,,5.045B,,,,,,2.787B,-1.624B,1.163B,10.23B,2.903B,13.13B,,737.07M,15.03B,20.08B,,1.224B,,1.224B,1.698B,2.922B,,69.96M,,69.96M,,69.96M,,,,2.992B,,2.755B,,2.755B,,,,,2.274B,5.029B,8.021B,,7.256M,9.852B,2.257B,,,-58.15M,12.06B,,AOR,Restated
2010-03,806.37M,806.37M,1.981B,1.981B,415.66M,208.93M,563.30M,1.188B,565.40M,,4.541B,,,,,,2.763B,-1.584B,1.179B,10.35B,2.955B,13.31B,,853.99M,15.34B,19.88B,,1.162B,,1.162B,1.632B,2.794B,,63.55M,,63.55M,,63.55M,,,,2.858B,,2.822B,,2.822B,,,,,2.347B,5.170B,8.027B,,3.607M,9.492B,2.125B,,,231.79M,11.85B,,AOR,Restated
2009-12,1.722B,1.722B,1.917B,1.917B,338.92M,179.40M,474.70M,993.02M,588.86M,,5.221B,0.00,110.60M,725.70M,1.878B,,2.714B,-1.571B,1.143B,9.818B,2.656B,12.47B,0.00,758.04M,14.37B,19.60B,,1.051B,,1.051B,1.665B,2.717B,,44.19M,,44.19M,,44.19M,,,,2.761B,,2.889B,,2.889B,,,,0.00,2.315B,5.204B,7.965B,,3.589M,9.205B,2.075B,,,346.94M,11.63B,,AOR,Restated
2009-09,1.636B,1.636B,1.836B,1.836B,370.35M,201.91M,499.17M,1.071B,654.87M,,5.199B,,,,,,2.705B,-1.608B,1.097B,9.633B,2.554B,12.19B,,678.34M,13.96B,19.16B,,973.16M,,973.16M,1.654B,2.628B,,50.71M,,50.71M,,50.71M,,,,2.678B,,2.899B,,2.899B,,,,,2.374B,5.273B,7.951B,,3.571M,8.951B,1.976B,,,279.36M,11.21B,,AOR,Restated
2009-06,1.258B,1.258B,1.750B,1.750B,374.72M,206.62M,485.74M,1.067B,713.07M,,4.789B,,,,,,2.654B,-1.557B,1.097B,9.358B,2.536B,11.89B,,543.73M,13.53B,18.32B,,906.54M,,906.54M,1.560B,2.467B,,41.40M,,41.40M,,41.40M,,,,2.508B,,2.863B,,2.863B,,,,,2.348B,5.212B,7.720B,,3.558M,8.609B,1.905B,,,84.16M,10.60B,,AOR,Restated
2009-03,975.94M,975.94M,1.707B,1.707B,407.12M,220.46M,506.22M,1.134B,680.40M,,4.497B,,,,,,2.582B,-1.504B,1.078B,9.123B,2.475B,11.60B,,500.18M,13.18B,17.67B,,930.82M,,930.82M,1.467B,2.398B,,,,77.18M,,77.18M,,,,2.475B,,2.841B,,2.841B,,,,,2.355B,5.195B,7.670B,,3.548M,8.323B,1.854B,,,-177.98M,10.00B,,AOR,Restated
2008-12,392.85M,392.85M,1.895B,1.895B,386.96M,211.35M,544.00M,1.142B,757.37M,,4.187B,0.00,106.47M,691.77M,1.794B,,2.592B,-1.483B,1.109B,9.211B,2.519B,11.73B,,464.35M,13.30B,17.49B,,1.109B,,1.109B,1.570B,2.679B,,66.16M,,66.16M,,66.16M,,,,2.745B,,2.553B,,2.553B,,,,,2.383B,4.936B,7.682B,,3.544M,8.095B,1.813B,,,-103.10M,9.809B,,AOR,
2008-09,286.52M,286.52M,2.101B,2.101B,443.60M,264.00M,567.25M,1.275B,458.90M,,4.121B,,,,,,2.590B,-1.483B,1.106B,9.267B,2.625B,11.89B,,501.92M,13.50B,17.62B,,1.148B,,1.148B,1.547B,2.695B,,316.38M,,316.38M,,316.38M,,,,3.012B,,2.391B,,2.391B,,,,,2.045B,4.437B,7.448B,,3.542M,7.799B,1.855B,,,514.76M,10.17B,,,Restated
2008-06,284.10M,284.10M,2.094B,2.094B,460.75M,261.92M,574.79M,1.297B,515.85M,,4.192B,,,,,,2.622B,-1.490B,1.132B,9.463B,2.698B,12.16B,,509.61M,13.80B,17.99B,,1.194B,,1.194B,1.587B,2.781B,,312.65M,,312.65M,,312.65M,,,,3.094B,,2.740B,,2.740B,,,,,2.087B,4.827B,7.920B,,3.536M,7.437B,1.804B,,,830.12M,10.07B,,,
2008-03,233.82M,233.82M,2.100B,2.100B,486.76M,208.93M,596.61M,1.292B,529.65M,,4.155B,,,,,,2.599B,-1.471B,1.128B,9.481B,2.585B,12.07B,,504.13M,13.70B,17.85B,,1.145B,,1.145B,1.536B,2.680B,,301.12M,,301.12M,,301.12M,,,,2.981B,,3.204B,,3.204B,,,,,2.093B,5.297B,8.278B,,3.53M,7.083B,1.767B,,,721.50M,9.575B,,,
2007-12,239.11M,239.11M,1.984B,1.984B,450.54M,195.33M,547.74M,1.194B,632.66M,,4.050B,0.00,105.10M,679.58M,1.726B,,2.511B,-1.402B,1.109B,9.241B,2.565B,11.81B,,507.55M,13.42B,17.47B,,1.126B,,1.126B,1.444B,2.569B,,330.48M,,330.48M,,330.48M,,,,2.900B,,3.396B,,3.396B,,,,,2.091B,5.486B,8.386B,,3.526M,6.821B,1.719B,,,542.69M,9.086B,,,Restated
2007-09,209.28M,209.28M,1.827B,1.827B,415.33M,198.61M,466.89M,1.081B,269.23M,,3.386B,,,,,,2.275B,-1.373B,902.41M,7.337B,1.844B,9.181B,,305.63M,10.39B,13.78B,,1.016B,,1.016B,1.056B,2.072B,,20.36M,,20.36M,,20.36M,,,,2.092B,,1.927B,,1.927B,,,,,1.702B,3.629B,5.722B,,3.45M,6.510B,1.126B,,,413.84M,8.053B,,,
