,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2011-07,66.73M,,,0.00,0.00,,,31.97M,31.97M,7.39M,1.062M,,10.93M,11.99M,93.54M,-223.60M,1.394M,146.49M,,,14.61M,32.43M,150.51M,-39.43M,,-39.43M,-16.84M,,,-56.27M,-100.92M,0.729M,-100.20M,,-3.132M,-3.132M,,,-0.02M,-0.02M,3.154M,1.798M,-98.40M,294.96M,-4.154M,-3.113M,287.69M,,-59.27M,-40.92M,-3.132M
2011-04,57.67M,,,0.00,16.23M,,,34.48M,34.48M,1.52M,,,9.723M,9.723M,-54.14M,36.25M,4.259M,-143.25M,,,27.73M,-129.14M,-9.519M,-34.47M,,-34.47M,-23.32M,,,-57.79M,-151.78M,7.409M,-144.37M,,-2.055M,-2.055M,,,-5.414M,-5.414M,8.407M,-8.194M,-151.63M,498.72M,-218.93M,15.17M,294.96M,,67.41M,-211.78M,-2.055M
2011-01,52.77M,-140.49M,,,-125.15M,,,33.53M,33.53M,-12.00M,11.34M,,10.23M,108.24M,91.70M,-4.539M,13.26M,60.47M,,,-21.51M,139.37M,218.33M,-45.60M,,-45.60M,-184.45M,,170.32M,-59.73M,-153.11M,4.868M,-148.24M,-0.331M,-0.003M,-0.334M,0.00,0.00,,-2.672M,3.609M,1.574M,-146.06M,491.44M,12.54M,-5.254M,498.72M,-0.331M,4.206M,-152.45M,-0.003M
2010-10,1.611M,0.00,,,0.00,,,51.37M,51.37M,8.137M,2.558M,,10.83M,98.24M,-300.66M,5.046M,23.57M,71.19M,,,72.03M,-128.83M,43.91M,-26.38M,,-26.38M,19.24M,,-29.83M,-36.97M,-4.855M,-4.617M,-9.472M,0.00,-0.04M,-0.04M,0.00,0.00,,-2.691M,13.60M,4.277M,5.672M,475.34M,12.61M,3.487M,491.44M,0.00,-4.976M,-4.496M,-0.04M
2010-07,27.61M,140.49M,,,140.49M,,,50.17M,50.17M,-0.763M,0.00,-52.39M,8.134M,-148.07M,138.83M,-121.11M,-50.39M,116.93M,,,-28.39M,55.87M,137.54M,-24.19M,,-24.19M,-2.501B,,-140.49M,-2.665B,2.006B,4.617M,2.010B,0.00,-0.868M,-0.868M,188.60M,188.60M,,-0.478M,1.375M,0.55M,2.200B,791.60M,-328.44M,12.19M,475.34M,188.60M,2.414B,-403.64M,-0.868M
2010-04,-27.61M,,,,,,,12.07M,12.07M,-8.808M,,52.39M,4.09M,56.48M,-44.63M,-21.05M,-4.088M,-14.93M,,,11.97M,-72.73M,-40.61M,-4.822M,,-4.822M,-11.24M,,,-16.07M,0.00,0.00,0.00,364.86M,-1.57M,363.29M,,,,-4.174M,5.357M,2.932M,367.40M,480.88M,310.73M,-0.019M,791.60M,364.86M,0.00,0.00,-1.57M
2010-01,27.02M,0.00,,,0.00,,,12.19M,12.19M,3.18M,0.00,,5.087M,5.087M,83.25M,18.07M,-19.93M,5.577M,,,-1.169M,85.80M,133.29M,-4.461M,,-4.461M,4.117M,,-11.77M,-12.11M,0.00,,0.00,0.00,-0.029M,-0.029M,0.00,0.00,,-1.965M,4.309M,0.74M,3.055M,356.61M,124.23M,0.038M,480.88M,0.00,0.00,0.00,-0.029M
2009-10,83.62M,0.00,,,0.00,,,12.49M,12.49M,0.475M,5.796M,,3.747M,9.543M,-111.61M,20.43M,3.155M,-6.295M,,,-11.53M,-105.86M,0.275M,-6.529M,,-6.529M,0.00,,-7.077M,-13.61M,0.00,,0.00,0.00,-0.036M,-0.036M,0.00,0.00,,-1.961M,2.076M,0.27M,0.349M,369.60M,-12.98M,0.00,356.61M,0.00,0.00,0.00,-0.036M
2009-07,26.56M,,,,,,,12.73M,12.73M,0.673M,1.358M,,2.959M,4.317M,50.21M,-20.80M,22.25M,45.07M,,,-38.54M,58.20M,102.47M,-6.666M,,-6.666M,0.00,,-9.006M,-15.67M,,,0.00,0.00,-0.164M,-0.164M,0.00,0.00,3.885M,0.00,0.805M,0.153M,0.794M,282.00M,87.59M,0.00,369.60M,0.00,,,-0.164M
2009-04,24.71M,,,,,,,12.48M,12.48M,0.386M,0.136M,,2.663M,2.799M,-23.05M,3.066M,-11.24M,-33.37M,,,2.605M,-61.99M,-21.62M,-6.20M,,-6.20M,-5.699M,,-9.585M,-21.48M,,,,,-0.171M,-0.171M,,,-3.885M,-3.885M,0.888M,0.106M,-3.062M,328.17M,-46.16M,,282.00M,,,,-0.171M
2009-01,32.20M,,1.864M,,1.864M,-35.17M,-5.682M,9.038M,9.038M,4.438M,-0.833M,,6.065M,5.232M,147.54M,25.96M,-22.99M,5.169M,,,-73.46M,82.22M,135.00M,48.24M,,48.24M,24.44M,-1.864M,14.52M,85.34M,,,,0.00,-0.373M,-0.373M,,,-0.051M,-0.051M,4.992M,0.129M,4.697M,197.56M,225.03M,,480.88M,0.00,,,-0.373M
2008-10,53.70M,,0.00,,0.00,11.80M,1.856M,13.66M,13.66M,0.156M,1.35M,,2.981M,4.331M,-127.58M,-1.952M,4.357M,52.66M,,,-27.33M,-99.85M,-28.00M,-17.68M,,-17.68M,-13.86M,0.00,0.00,-31.54M,,,,,0.00,0.00,,,-3.888M,-3.888M,0.378M,0.102M,-3.408M,260.50M,-62.95M,,197.56M,,,,0.00
2008-07,29.21M,,-1.864M,,0.00,11.89M,1.963M,13.86M,13.86M,0.224M,6.773M,,5.41M,9.863M,63.80M,-32.35M,8.793M,9.117M,,,10.64M,60.00M,113.15M,-26.80M,,-26.80M,-22.90M,0.00,11.27M,-38.42M,,,,-1.486M,-0.022M,-1.508M,,,-3.872M,0.00,2.708M,0.357M,1.557M,184.22M,76.28M,,260.50M,-1.486M,,,-0.022M
2008-04,46.80M,,,,-1.864M,11.47M,1.863M,13.34M,13.34M,-0.104M,,,,2.32M,-84.96M,29.10M,4.082M,-55.96M,,,41.51M,-66.22M,-5.733M,-27.62M,,-27.62M,-26.70M,1.864M,-25.79M,-78.25M,,,,1.486M,-0.005M,1.481M,,,,-3.872M,,0.681M,-1.71M,269.91M,-85.69M,,184.22M,1.486M,,,-0.005M
2008-01,30.33M,,,,0.00,10.90M,1.903M,12.81M,12.81M,2.997M,,,,2.359M,127.92M,20.43M,-15.75M,0.534M,,,-5.458M,127.68M,176.18M,-33.72M,,-33.72M,-9.933M,0.00,,-43.66M,,,,-12.35M,-200.10M,-212.45M,,,,0.00,,0.662M,-199.24M,336.63M,-66.72M,,269.91M,-12.35M,,,-200.10M
2007-10,60.88M,,,,0.00,9.872M,1.763M,11.64M,11.64M,0.453M,,,,2.289M,-114.70M,-10.04M,3.669M,44.93M,,,12.47M,-63.67M,11.58M,-27.68M,,-27.68M,-10.16M,0.00,,-37.84M,,,,0.506M,0.00,0.506M,,,,-4.246M,,0.35M,-3.39M,366.27M,-29.64M,,336.63M,0.506M,,,0.00
2007-07,39.10M,,,,0.00,9.483M,1.74M,11.22M,11.22M,0.491M,,,,2.903M,23.96M,-40.64M,7.077M,35.79M,,,7.363M,33.55M,87.27M,-24.18M,,-24.18M,-14.89M,0.00,7.081M,-31.99M,,,,8.239M,0.00,8.239M,,,,0.002M,,3.023M,11.26M,299.73M,66.54M,,366.27M,8.239M,,,0.00
2007-04,53.01M,,,,-3.335M,9.185M,1.74M,10.92M,10.92M,0.415M,,,,3.807M,-84.93M,3.467M,-2.251M,-41.51M,,,4.718M,-120.51M,-55.69M,-9.168M,,-9.168M,0.80M,3.335M,-7.081M,-12.11M,,,,3.606M,-0.184M,3.422M,,,,-4.208M,,2.226M,1.44M,366.10M,-66.37M,,299.73M,3.606M,,,-0.184M
