,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2004-01,-9.152M,,,,,,,8.027M,8.027M,-9.627M,,,,,90.22M,14.73M,-5.36M,-14.85M,,,,66.37M,67.76M,-13.50M,,-13.50M,-0.405M,0.00,-4.992M,-18.89M,,,-144.70M,2.028M,0.00,2.028M,,,,0.00,,,2.028M,82.09M,50.90M,,132.99M,2.028M,,,0.00
2003-10,17.03M,,,,,,,6.872M,6.872M,19.44M,,,,,-67.92M,25.28M,6.843M,-19.66M,,,,-55.46M,-12.12M,-9.221M,,-9.221M,25.84M,0.00,-2.664M,13.96M,,,-0.129M,1.383M,-0.068M,1.315M,,,,-2.281M,,,-1.095M,81.34M,0.743M,,82.09M,1.383M,,,-0.068M
2003-07,8.977M,,,,,,,6.895M,6.895M,-4.478M,,,,,13.15M,-7.456M,-1.623M,38.86M,,,,42.93M,54.32M,-6.36M,,-6.36M,-19.00M,17.23M,-4.367M,-12.49M,,,19.82M,0.123M,,0.123M,,,,0.00,,,19.95M,19.57M,61.78M,,81.34M,0.123M,,,
2003-04,-2.153M,,,,,,,6.776M,6.776M,-1.386M,,,,,-31.84M,-5.514M,2.029M,-21.65M,,,,-56.98M,-53.75M,-2.894M,,-2.894M,-408.00M,,-4.932M,-415.83M,,,125.00M,249.29M,,249.29M,,,,-2.274M,,,372.02M,117.12M,-97.55M,,19.57M,249.29M,,,
2003-01,5.726M,,,,-0.115M,,,7.012M,7.012M,0.997M,,,,,68.40M,-8.801M,,-1.356M,,-11.50M,,54.10M,67.72M,-13.99M,,-13.99M,,,,-13.99M,,,,0.005M,0.00,0.005M,,,,0.003M,,,0.008M,63.38M,53.74M,,117.12M,0.005M,,,0.00
2002-10,17.69M,,,,-0.231M,,,6.16M,6.16M,8.738M,,,,,-43.99M,7.914M,,-5.016M,,1.122M,,-39.97M,-7.61M,-7.208M,,-7.208M,,,,-7.208M,,,,0.008M,0.00,0.008M,,,,-2.086M,,,-2.078M,80.28M,-16.90M,,63.38M,0.008M,,,0.00
2002-07,7.853M,,,,-0.231M,,,6.298M,6.298M,4.377M,,,,,21.70M,-14.38M,,10.92M,,0.745M,,18.99M,37.28M,-3.621M,,-3.621M,,,,-3.621M,,,,1.018M,-0.017M,1.001M,,,,-0.001M,,,1.00M,45.62M,34.66M,,80.28M,1.018M,,,-0.017M
2002-04,-0.831M,,,,-0.251M,,,6.208M,6.208M,-0.518M,,,,,-32.94M,18.00M,,8.533M,,9.636M,,3.229M,7.837M,-4.633M,,-4.633M,,,,-4.633M,,,,0.954M,-0.043M,0.911M,,,,-2.076M,,,-1.165M,43.58M,2.039M,,45.62M,0.954M,,,-0.043M
2002-01,-9.465M,,,,0.108M,,,6.992M,6.992M,-6.045M,,,,,64.78M,33.05M,,7.448M,,-10.91M,-2.118M,92.24M,83.83M,-12.46M,,-12.46M,-0.60M,,0.60M,-12.46M,,,-28.40M,0.007M,,0.007M,,,,0.001M,,,-28.39M,0.593M,42.99M,,43.58M,0.007M,,,
2001-10,12.61M,,,,-0.198M,,,6.948M,6.948M,7.041M,,,,,-44.16M,35.37M,,-11.15M,,-2.042M,2.118M,-19.87M,6.525M,-6.496M,,-6.496M,0.00,,0.00,-6.496M,,,0.00,0.044M,,0.044M,,,,-1.035M,,,-0.991M,1.555M,-0.962M,,0.593M,0.044M,,,
2001-07,6.974M,,,,-0.198M,,,5.892M,5.892M,5.895M,,,,,35.86M,-32.76M,,-0.513M,,2.042M,-1.923M,2.703M,21.27M,-8.449M,,-8.449M,-5.00M,,3.00M,-10.45M,,,-11.30M,1.344M,,1.344M,,,,-1.042M,,,-11.00M,1.736M,-0.181M,,1.555M,1.344M,,,
2001-04,0.564M,,,,-0.198M,,,5.902M,5.902M,-1.735M,,,,,-38.59M,3.677M,,-19.52M,,,1.923M,-52.50M,-47.97M,-6.006M,,-6.006M,,,-3.60M,-9.606M,,,39.70M,1.45M,,1.45M,,,,-2.06M,,,39.09M,20.22M,-18.49M,,1.736M,1.45M,,,
2001-01,6.562M,,,,-0.144M,,,5.463M,5.463M,5.83M,,,,,65.74M,18.07M,,-11.75M,,,0.858M,72.92M,90.63M,-14.24M,,-14.24M,,,56.76M,-32.34M,,,-40.00M,1.131M,,0.805M,,,,-1.024M,,,-40.22M,2.155M,18.07M,,20.22M,1.131M,,,
2000-10,19.44M,,,,-0.216M,,,4.998M,4.998M,3.846M,,,,,-87.86M,22.78M,,8.469M,,-0.03M,5.035M,-51.61M,-23.54M,-6.441M,,-6.441M,,,0.00,-6.441M,,,10.00M,0.042M,,0.042M,,,,-1.024M,,,9.018M,23.12M,-20.96M,,2.155M,0.042M,,,
2000-07,6.009M,,,,-0.252M,,,4.793M,4.793M,1.648M,,,,,18.27M,-29.54M,,8.293M,,0.03M,-2.703M,-5.652M,6.546M,-6.984M,,-6.984M,,,-56.76M,-63.75M,,,30.00M,0.023M,,0.023M,,,,0.00,,,30.02M,50.30M,-27.18M,,23.12M,0.023M,,,
2000-04,-1.911M,,,,-0.252M,,,4.797M,4.797M,-1.439M,,,,,-29.17M,-21.48M,,8.506M,,,2.703M,-39.44M,-38.25M,-4.23M,,-4.23M,,,,-4.23M,,,,,,,,,,-2.046M,,,-2.046M,94.82M,-44.52M,,50.30M,,,,
2000-01,2.673M,,,,-0.28M,,,4.917M,4.917M,1.293M,,,,17.00M,52.62M,4.031M,,9.749M,,,-1.80M,40.78M,66.38M,-11.09M,,54.16M,,,-67.00M,-12.84M,,,0.00,,,,,,,0.008M,,,0.024M,41.30M,53.56M,,94.82M,,,,
1999-10,15.30M,,,,-0.30M,,,4.80M,4.80M,7.60M,,,,-17.10M,-31.40M,21.30M,,8.20M,,,3.60M,1.70M,12.00M,2.50M,,2.50M,,,0.00,2.50M,,,0.00,,,,,,,-1.00M,,,-1.00M,27.80M,13.50M,,41.30M,,,,
1999-07,3.525M,,,,-0.23M,,,4.90M,4.90M,0.844M,,,,0.10M,9.775M,5.443M,,-9.166M,,,14.41M,20.46M,29.60M,-20.24M,,-20.24M,,,0.00,-20.24M,,,0.00,,,,,,,-1.055M,,,-1.055M,19.45M,8.31M,,27.80M,,,,
1999-04,-4.625M,,,,-0.27M,,,4.80M,4.80M,-1.544M,,,,,-9.375M,-3.843M,,-2.934M,,,-16.21M,-32.36M,-34.00M,-2.461M,,-2.461M,,,67.00M,64.54M,,,-20.00M,,,,,,,-2.045M,,,-22.04M,10.96M,8.49M,,19.45M,,,,
1999-01,0.60M,,,,-0.30M,,,6.20M,6.20M,4.00M,,,,0.10M,36.90M,52.80M,,-3.60M,,-8.90M,-1.00M,76.20M,86.80M,-23.10M,,-23.10M,,,,-23.10M,,,-64.10M,0.30M,,0.30M,,,,0.00,,0.00,-63.80M,11.10M,-0.10M,,11.10M,0.30M,,,
1998-10,14.10M,,,,0.60M,,,5.70M,5.70M,0.60M,,,,0.10M,-49.80M,17.20M,,0.90M,,5.10M,1.00M,-25.60M,-4.50M,-7.10M,,-7.10M,,,,-7.10M,,,20.50M,0.30M,,0.30M,,,,-1.00M,,-1.70M,18.10M,4.60M,6.50M,,11.10M,0.30M,,,
1998-07,2.70M,,,,-1.20M,,,6.70M,6.70M,-0.60M,,,,-0.20M,16.80M,-41.00M,,0.50M,,-3.80M,,-27.50M,-20.10M,-4.40M,,-4.40M,,,,-4.40M,,,15.60M,0.10M,,0.10M,,,,-1.10M,,1.80M,16.40M,0.00,-8.10M,,4.60M,0.10M,,,
