,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-03,1.006B,1.006B,554.50M,451.50M,99.90M,131.30M,231.20M,,20.10M,,-20.10M,,231.20M,220.30M,,20.10M,-20.10M,0.50M,-20.10M,200.70M,42.90M,157.80M,,,157.80M,157.41M,256.50M,35.70M,220.80M,0.64,,,0.6384,0.64,0.63,,,0.6284,0.63,244.90M,250.00M,0.2175
2017-12,1.033B,1.033B,551.70M,481.40M,120.60M,146.10M,266.70M,,18.70M,,-18.70M,,266.70M,214.70M,,18.70M,-18.70M,2.70M,-18.70M,198.70M,-206.90M,405.60M,,,405.60M,405.24M,251.20M,33.80M,217.40M,1.63,,,1.629,1.63,1.6,,,1.599,1.6,248.80M,253.70M,0.19
2017-09,967.90M,967.90M,529.40M,438.50M,111.90M,127.90M,239.80M,,16.40M,,-16.40M,,239.80M,198.70M,,16.40M,-16.40M,4.70M,-16.40M,187.00M,53.60M,133.40M,,,133.40M,132.83M,235.80M,32.40M,203.40M,0.53,,,0.5277,0.53,0.52,,,0.5178,0.52,249.70M,255.30M,0.19
2017-06,898.00M,898.00M,487.60M,410.40M,130.90M,156.30M,287.20M,,9.30M,,-9.30M,,287.20M,123.20M,,9.30M,-9.30M,2.90M,-9.30M,116.80M,43.90M,72.90M,,,72.90M,72.71M,156.00M,29.90M,126.10M,0.29,,,0.2893,0.29,0.29,,,0.2893,0.29,249.80M,255.60M,0.19
2017-03,877.20M,877.20M,477.90M,399.30M,90.80M,112.40M,203.20M,,8.20M,,-8.20M,,203.20M,196.10M,,8.20M,-8.20M,2.30M,-8.20M,190.20M,58.70M,131.50M,,,131.50M,131.22M,227.70M,29.30M,198.40M,0.52,,,0.5189,0.52,0.51,,,0.5089,0.51,254.10M,259.70M,0.19
2016-12,896.00M,896.00M,488.00M,408.00M,116.30M,118.30M,234.60M,,7.00M,,-7.00M,,234.60M,173.40M,,7.00M,-7.00M,3.10M,-7.00M,169.50M,59.10M,110.40M,,,110.40M,110.01M,203.90M,27.40M,176.50M,0.43,,,0.4285,0.43,0.42,,,0.4185,0.42,256.40M,260.30M,0.1775
2016-09,870.70M,870.70M,475.10M,395.60M,98.20M,101.40M,199.60M,,6.80M,,-6.80M,,199.60M,196.00M,,6.80M,-6.80M,3.20M,-6.80M,192.40M,68.40M,124.00M,,,124.00M,123.74M,225.00M,25.80M,199.20M,0.48,,,0.479,0.48,0.47,,,0.469,0.47,258.00M,262.70M,0.1775
2016-06,877.40M,877.40M,469.40M,408.00M,120.20M,112.50M,232.70M,,7.10M,,-7.10M,,232.70M,175.30M,,7.10M,-7.10M,2.80M,-7.10M,171.00M,59.40M,111.60M,,,111.60M,111.34M,204.60M,26.50M,178.10M,0.43,,,0.429,0.43,0.43,,,0.429,0.43,257.00M,261.90M,0.1775
2016-03,849.00M,849.00M,470.00M,379.00M,92.50M,107.00M,199.50M,,6.80M,,-6.80M,,199.50M,179.50M,,6.80M,-6.80M,0.30M,-6.80M,173.00M,60.00M,113.00M,,,113.00M,112.80M,207.70M,27.90M,179.80M,0.44,,,0.4392,0.44,0.43,,,0.4293,0.43,258.80M,263.60M,0.1775
2015-12,873.60M,873.60M,476.20M,397.40M,120.10M,108.10M,228.20M,,7.60M,,-7.60M,,228.20M,169.20M,,7.60M,-7.60M,3.30M,-7.60M,164.90M,55.80M,109.10M,,,109.10M,108.90M,197.20M,24.70M,172.50M,0.42,,,0.4192,0.42,0.41,,,0.4093,0.41,261.00M,266.00M,0.1675
2015-09,861.80M,861.80M,476.00M,385.80M,92.80M,102.40M,195.20M,,7.40M,,-7.40M,,195.20M,190.60M,,7.40M,-7.40M,2.50M,-7.40M,185.70M,65.30M,120.40M,,,120.40M,120.27M,218.00M,24.90M,193.10M,0.46,,,0.4595,0.46,0.45,,,0.4495,0.45,262.20M,267.20M,0.1675
2015-06,847.10M,847.10M,474.00M,373.10M,115.80M,115.00M,230.80M,,7.90M,,-7.90M,,230.80M,142.30M,,7.90M,-7.90M,-14.90M,-7.90M,119.50M,45.80M,73.70M,,,73.70M,73.39M,152.80M,25.40M,127.40M,0.28,,,0.2788,0.28,0.275,,,0.2738,0.275,261.80M,266.80M,0.1675
2015-03,812.30M,812.30M,456.80M,355.50M,88.80M,94.60M,183.40M,,7.60M,,-7.60M,,183.40M,172.10M,,7.60M,-7.60M,0.80M,-7.60M,165.30M,58.10M,107.20M,,,107.20M,106.88M,198.90M,26.00M,172.90M,0.405,,,0.4038,0.405,0.4,,,0.3988,0.4,264.00M,269.20M,0.1675
2014-12,865.50M,865.50M,475.90M,389.60M,119.10M,106.70M,225.80M,,6.90M,,-6.90M,,225.80M,163.80M,,6.90M,-6.90M,3.10M,-6.90M,160.00M,53.40M,106.60M,,,106.60M,106.20M,190.40M,23.50M,166.90M,0.4,,,0.3985,0.4,0.39,,,0.3885,0.39,267.80M,272.60M,0.155
2014-09,841.80M,841.80M,474.30M,367.50M,96.60M,93.70M,190.30M,,6.90M,,-6.90M,,190.30M,177.20M,,6.90M,-6.90M,2.90M,-6.90M,173.20M,57.30M,115.90M,,,115.90M,115.50M,202.10M,22.00M,180.10M,0.435,,,0.4335,0.435,0.425,,,0.4235,0.425,267.40M,272.00M,0.155
2014-06,808.30M,808.30M,451.90M,356.40M,113.40M,104.80M,218.20M,,6.90M,,-6.90M,,218.20M,138.20M,,6.90M,-6.90M,3.70M,-6.90M,135.00M,46.20M,88.80M,,,88.80M,88.41M,164.80M,22.90M,141.90M,0.33,,,0.3285,0.33,0.325,,,0.3236,0.325,269.60M,274.60M,0.155
2014-03,782.00M,782.00M,442.60M,339.40M,87.80M,89.60M,177.40M,,6.70M,,-6.70M,,177.40M,162.00M,,6.70M,-6.70M,1.40M,-6.70M,156.70M,54.10M,102.60M,,,102.60M,102.27M,186.20M,22.80M,163.40M,0.37,,,0.3688,0.37,0.365,,,0.3638,0.365,276.00M,281.20M,0.155
2013-12,822.60M,822.60M,450.90M,371.70M,117.50M,109.60M,227.10M,,6.70M,,-6.70M,,227.10M,144.60M,,6.70M,-6.70M,1.30M,-6.70M,139.20M,47.00M,92.20M,,,92.20M,91.80M,168.50M,22.60M,145.90M,0.33,,,0.3286,0.33,0.325,,,0.3236,0.325,277.80M,283.00M,0.14
2013-09,804.80M,804.80M,439.60M,365.20M,99.70M,97.70M,197.40M,,7.00M,,-7.00M,,197.40M,167.80M,,7.00M,-7.00M,2.40M,-7.00M,163.20M,55.30M,107.90M,,,107.90M,107.50M,191.80M,21.60M,170.20M,0.39,,,0.3886,0.39,0.38,,,0.3786,0.38,277.60M,282.60M,0.14
2013-06,787.60M,787.60M,436.60M,351.00M,103.70M,106.80M,210.50M,,7.00M,,-7.00M,,210.50M,140.50M,,7.00M,-7.00M,-1.30M,-7.00M,132.20M,45.60M,86.60M,,,86.60M,86.14M,161.90M,22.70M,139.20M,0.31,,,0.3083,0.31,0.305,,,0.3034,0.305,277.00M,282.20M,0.14
2013-03,779.30M,779.30M,429.20M,350.10M,78.90M,101.90M,180.80M,,7.00M,,-7.00M,,180.80M,169.30M,,7.00M,-7.00M,0.90M,-7.00M,163.20M,55.50M,107.70M,,,107.70M,107.24M,193.80M,23.60M,170.20M,0.39,,,0.3883,0.39,0.38,,,0.3784,0.38,276.60M,281.80M,0.14
2012-12,809.70M,809.70M,451.30M,358.40M,108.70M,115.10M,223.80M,,6.30M,,-6.30M,,223.80M,134.60M,,6.30M,-6.30M,1.90M,-6.30M,130.20M,49.40M,80.80M,,,80.80M,80.43M,162.10M,25.60M,136.50M,0.29,,,0.2887,0.29,0.285,,,0.2837,0.285,278.40M,283.00M,0.12
2012-09,725.20M,725.20M,397.70M,327.50M,92.20M,89.90M,182.10M,,2.60M,,-2.60M,,182.10M,145.40M,,2.60M,-2.60M,3.20M,-2.60M,146.00M,52.10M,93.90M,,,93.90M,93.64M,168.70M,20.10M,148.60M,0.335,,,0.3341,0.335,0.33,,,0.3291,0.33,279.00M,284.40M,0.12
2012-06,696.40M,696.40M,393.40M,303.00M,88.40M,92.20M,180.60M,,2.40M,,-2.40M,,180.60M,122.40M,,2.40M,-2.40M,3.10M,-2.40M,123.10M,43.80M,79.30M,,,79.30M,79.17M,145.60M,20.10M,125.50M,0.285,,,0.2845,0.285,0.28,,,0.2795,0.28,279.00M,284.40M,0.12
2012-03,690.60M,690.60M,388.10M,302.50M,68.00M,91.80M,159.80M,,2.70M,,-2.70M,,159.80M,142.70M,,2.70M,-2.70M,3.20M,-2.70M,143.20M,47.40M,95.80M,,,95.80M,95.47M,165.10M,19.20M,145.90M,0.335,,,0.3338,0.335,0.33,,,0.3288,0.33,284.60M,289.80M,0.12
2011-12,731.10M,731.10M,414.60M,316.50M,105.60M,93.50M,199.10M,,1.20M,,-2.60M,,199.10M,117.40M,,1.20M,-2.60M,3.20M,-2.60M,118.00M,54.20M,63.80M,,,63.80M,63.80M,137.60M,18.40M,119.20M,0.22,,,0.22,0.22,0.22,,,0.22,0.22,285.80M,291.00M,0.085
2011-09,701.00M,701.00M,391.10M,309.90M,91.80M,91.80M,183.60M,-1.60M,2.20M,0.60M,-1.60M,,183.60M,126.30M,0.60M,2.20M,-1.60M,1.30M,-1.60M,126.00M,46.40M,79.60M,,0.00,79.60M,80.61M,147.70M,19.50M,128.20M,0.275,0.0,,0.2785,0.275,0.27,0.0,,0.2735,0.27,287.40M,292.60M,0.085
2011-06,674.90M,674.90M,374.90M,300.00M,87.50M,94.70M,182.20M,0.30M,2.60M,0.30M,-2.30M,,182.20M,117.80M,0.30M,2.60M,-2.30M,3.50M,-2.30M,119.00M,36.40M,82.60M,,0.00,82.60M,82.39M,141.40M,19.80M,121.60M,0.29,0.0,,0.2893,0.29,0.285,0.0,,0.2843,0.285,286.60M,291.80M,0.0425
2011-03,642.30M,642.30M,354.20M,288.10M,69.20M,87.80M,157.00M,0.50M,2.70M,0.50M,-2.20M,,157.00M,131.10M,0.50M,2.70M,-2.20M,2.70M,-2.20M,131.60M,48.00M,83.60M,,0.00,83.60M,83.28M,153.70M,19.40M,134.30M,0.295,0.0,,0.2939,0.295,0.29,0.0,,0.2889,0.29,285.60M,290.60M,0.085
2010-12,656.90M,656.90M,364.40M,292.50M,96.10M,116.30M,212.40M,,6.30M,,-6.70M,,212.40M,80.10M,,6.30M,-6.70M,-2.70M,-6.70M,70.70M,23.70M,47.00M,,,47.00M,47.00M,94.20M,17.20M,77.00M,0.165,,,0.165,0.165,0.16,,,0.16,0.16,284.60M,289.40M,0.0425
2010-09,656.90M,656.90M,367.90M,289.00M,90.20M,85.80M,176.00M,,8.00M,0.20M,-7.80M,,176.00M,113.00M,0.20M,8.00M,-7.80M,0.70M,-7.80M,105.90M,36.40M,69.50M,,0.00,69.50M,69.50M,131.90M,18.00M,113.90M,0.245,0.0,,0.245,0.245,0.24,0.0,,0.24,0.24,284.40M,288.80M,0.0425
2010-06,640.90M,640.90M,350.00M,290.90M,82.80M,88.10M,170.90M,0.00,5.30M,0.10M,-5.20M,,170.90M,120.00M,0.10M,5.30M,-5.20M,1.60M,-5.20M,116.40M,42.10M,74.30M,,0.00,74.30M,74.30M,139.90M,18.20M,121.70M,0.26,0.0,,0.26,0.26,0.255,0.0,,0.255,0.255,284.00M,288.80M,0.035
2010-03,634.60M,634.60M,349.10M,285.50M,68.90M,84.60M,153.50M,0.20M,8.20M,0.10M,-8.10M,,153.50M,132.00M,0.10M,8.20M,-8.10M,1.50M,-8.10M,125.40M,45.40M,80.00M,,0.00,80.00M,79.87M,151.80M,18.20M,133.60M,0.2825,0.0,,0.282,0.2825,0.2775,0.0,,0.2771,0.2775,283.20M,288.00M,0.035
2009-12,670.78M,670.78M,385.58M,285.20M,93.29M,120.58M,213.87M,18.77M,8.98M,,-7.655M,,213.87M,71.33M,,8.98M,-7.655M,21.42M,-7.655M,85.09M,32.33M,52.76M,,0.016M,52.78M,41.14M,114.53M,20.46M,94.07M,0.1875,0.0,,0.1462,0.1875,0.185,0.0,,0.1444,0.185,282.08M,286.32M,0.035
2009-09,646.16M,646.16M,361.27M,284.88M,100.22M,66.76M,166.98M,0.671M,8.609M,,-8.609M,,166.98M,117.90M,,8.609M,-8.609M,3.375M,-8.609M,112.67M,42.64M,70.02M,,0.004M,70.03M,69.61M,142.56M,21.28M,121.28M,0.2475,0.0,,0.246,0.2475,0.245,0.0,,0.2435,0.245,281.68M,286.50M,0.035
2009-06,623.12M,623.12M,341.57M,281.55M,93.70M,88.84M,182.55M,1.221M,9.231M,,-9.231M,,182.55M,99.00M,,9.231M,-9.231M,5.214M,-9.231M,94.98M,36.83M,58.16M,,-0.001M,58.16M,57.41M,126.15M,21.94M,104.22M,0.2075,0.0,,0.2048,0.2075,0.2025,0.0,,0.1999,0.2025,281.37M,285.71M,0.0225
2009-03,580.87M,580.87M,331.51M,249.36M,66.37M,78.32M,144.70M,0.876M,8.749M,,-8.749M,,144.70M,104.66M,,8.749M,-8.749M,3.581M,-8.749M,99.49M,36.92M,62.58M,,-0.007M,62.57M,62.02M,129.91M,21.67M,108.24M,0.2225,0.0,,0.2205,0.2225,0.22,0.0,,0.2181,0.22,280.94M,285.25M,0.0225
2008-12,644.90M,644.90M,390.86M,254.04M,81.74M,92.16M,173.90M,-8.258M,12.22M,,-5.478M,,173.90M,80.14M,,12.22M,-5.478M,-3.899M,-5.478M,70.76M,26.53M,44.23M,,-0.001M,44.23M,49.39M,102.37M,19.39M,82.99M,0.1575,0.0,,0.1759,0.1575,0.155,0.0,,0.1731,0.155,280.65M,285.32M,0.0225
2008-09,630.67M,630.67M,379.58M,251.09M,79.74M,85.81M,165.55M,-1.774M,11.58M,,-11.58M,,165.55M,85.55M,,11.58M,-11.58M,0.669M,-11.58M,74.64M,25.65M,48.99M,,0.00,48.99M,50.15M,106.58M,20.37M,86.22M,0.18,0.0,,0.1843,0.18,0.1725,0.0,,0.1766,0.1725,273.60M,285.08M,0.0225
2008-06,593.96M,593.96M,351.48M,242.48M,79.17M,81.43M,160.60M,2.057M,10.64M,,-10.64M,,160.60M,81.88M,,10.64M,-10.64M,4.209M,-10.64M,75.45M,29.68M,45.77M,,-0.005M,45.76M,44.52M,102.53M,16.44M,86.09M,0.1725,0.0,,0.1678,0.1725,0.165,0.0,,0.1606,0.165,266.30M,284.27M,0.02
2008-03,552.87M,552.87M,328.76M,224.11M,53.48M,77.86M,131.34M,4.767M,,,,,131.34M,92.76M,,,,7.147M,,87.40M,31.21M,56.19M,,-0.002M,56.19M,53.13M,107.97M,15.21M,92.76M,0.2125,0.0,,0.201,0.2125,0.2025,0.0,,0.1917,0.2025,265.37M,283.27M,0.02
2007-12,579.70M,579.70M,357.77M,221.92M,,,164.20M,3.995M,,,,,164.38M,57.55M,,,,6.414M,,49.13M,17.45M,31.68M,,-0.027M,31.68M,29.10M,71.12M,13.57M,57.55M,0.12,0.0,,0.1103,0.12,0.115,0.0,,0.1059,0.115,264.30M,282.29M,0.02
2007-09,580.44M,580.44M,351.03M,229.41M,,,140.79M,3.296M,,,,,140.79M,88.62M,,,,5.093M,,79.23M,27.51M,51.72M,,0.009M,51.72M,49.56M,102.68M,14.06M,88.62M,0.195,0.0,,0.1868,0.195,0.1875,0.0,,0.1799,0.1875,263.65M,281.36M,0.02
2007-06,546.47M,546.47M,329.78M,216.69M,,,140.14M,2.043M,,,,,140.14M,76.55M,,,,3.803M,,66.14M,25.61M,40.53M,,0.007M,40.53M,39.28M,90.97M,14.42M,76.55M,0.155,0.0,,0.1502,0.155,0.1475,0.0,,0.143,0.1475,263.22M,281.29M,0.0175
2007-03,514.34M,514.34M,314.46M,199.88M,,,117.73M,1.219M,,,,,117.73M,82.14M,,,,3.479M,,70.43M,25.33M,45.10M,,0.005M,45.10M,44.32M,96.76M,14.61M,82.14M,0.1725,0.0,,0.1695,0.1725,0.165,0.0,,0.1622,0.165,262.28M,280.10M,0.0175
2006-12,526.11M,526.11M,321.72M,204.39M,,,160.16M,2.427M,,,,,160.16M,44.24M,,,,4.285M,,31.93M,8.016M,23.91M,,0.003M,23.91M,22.09M,57.82M,13.58M,44.24M,0.09,0.0,,0.083,0.09,0.09,0.0,,0.0835,0.09,261.10M,278.11M,0.0175
2006-09,518.58M,518.58M,315.62M,202.96M,,,134.07M,0.442M,,,,,134.07M,68.89M,,,,2.319M,,56.61M,17.94M,38.66M,,0.004M,38.66M,38.36M,82.11M,13.22M,68.89M,0.15,0.0,,0.1488,0.15,0.1425,0.0,,0.1414,0.1425,259.86M,276.26M,0.0175
2006-06,458.58M,458.58M,273.79M,184.79M,,,118.14M,1.454M,,,,,118.14M,66.66M,,,,3.194M,,58.31M,21.91M,36.41M,,-0.003M,36.41M,35.50M,79.10M,12.44M,66.66M,0.14,0.0,,0.1365,0.14,0.135,0.0,,0.1317,0.135,258.81M,275.07M,0.015
2006-03,442.39M,442.39M,273.40M,168.99M,,,96.67M,3.562M,,,,,96.67M,72.32M,,,,5.222M,,66.25M,26.31M,39.95M,,,39.95M,37.80M,84.80M,12.48M,72.32M,0.155,0.0,,0.1467,0.155,0.15,0.0,,0.1422,0.15,257.91M,274.20M,0.015
2005-12,431.27M,431.27M,290.94M,140.33M,,,108.43M,-44.29M,,,,,108.43M,31.90M,,,,-43.38M,,20.81M,4.671M,16.23M,,0.066M,16.23M,50.57M,42.64M,10.74M,31.90M,0.0625,0.0,,0.196,0.0625,0.0625,0.0,,0.1862,0.0625,257.34M,277.58M,0.015
2005-09,442.74M,442.74M,275.21M,167.53M,,,113.64M,0.399M,,,,,113.64M,53.89M,,,,1.108M,,44.11M,9.514M,34.60M,,0.008M,34.60M,34.29M,65.20M,11.31M,53.89M,0.135,0.0,,0.1338,0.135,0.1275,0.0,,0.1264,0.1275,256.41M,278.14M,0.015
2005-06,441.82M,441.82M,272.91M,168.90M,,,109.07M,1.161M,,,,,109.07M,59.83M,,,,3.061M,,52.09M,17.72M,34.38M,,0.008M,34.38M,33.61M,71.05M,11.22M,59.83M,0.135,0.0,,0.132,0.135,0.1275,0.0,,0.1247,0.1275,254.68M,276.89M,0.015
2005-03,420.67M,420.67M,260.44M,160.24M,,,93.08M,0.043M,,,,,93.08M,67.15M,,,,1.313M,,57.86M,20.16M,37.70M,,0.009M,37.70M,37.67M,78.05M,10.90M,67.15M,0.15,0.0,,0.1499,0.15,0.14,0.0,,0.1399,0.14,253.28M,276.01M,0.015
2004-12,404.98M,404.98M,248.42M,156.56M,,,118.10M,-12.58M,,,,,118.10M,38.46M,,,,-11.23M,,15.17M,3.252M,11.93M,,0.013M,11.93M,21.81M,48.67M,10.20M,38.46M,0.0475,0.0,,0.087,0.0475,0.0475,0.0,,0.0837,0.0475,250.20M,273.30M,0.015
2004-09,420.31M,420.31M,259.72M,160.59M,,,107.19M,1.411M,,,,,107.19M,53.40M,,,,2.554M,,38.17M,10.76M,27.40M,,-0.004M,27.40M,26.39M,63.64M,10.24M,53.40M,0.11,0.0,,0.1059,0.11,0.105,0.0,,0.1013,0.105,248.02M,272.64M,0.01
2004-06,340.78M,340.78M,221.11M,119.68M,,,78.25M,-7.736M,,,,,78.25M,41.43M,,,,-4.944M,,29.46M,9.885M,19.57M,,-0.007M,19.57M,24.71M,51.10M,9.667M,41.43M,0.08,0.0,,0.1009,0.08,0.075,0.0,,0.0949,0.075,246.26M,259.26M,0.0133
2004-03,295.99M,295.99M,199.43M,96.56M,,,58.10M,0.889M,,,,,58.10M,38.46M,,,,10.71M,,44.64M,14.73M,29.91M,,-0.006M,29.91M,29.31M,47.44M,8.984M,38.46M,0.1225,0.0,,0.1201,0.1225,0.115,0.0,,0.1128,0.115,245.29M,270.84M,0.0133
2003-12,286.75M,286.75M,202.70M,84.04M,,,54.90M,-0.435M,,,,,54.90M,29.15M,,,,2.353M,,21.69M,5.814M,15.87M,,-0.008M,15.87M,16.19M,37.07M,7.924M,29.15M,0.0649,0.0,,0.0662,0.0649,0.0615,0.0,,0.0627,0.0615,243.44M,275.46M,0.0133
2003-09,265.57M,265.57M,185.02M,80.54M,,,51.67M,0.173M,,,,,51.67M,28.87M,,,,5.337M,,29.39M,9.861M,19.52M,,-0.007M,19.52M,19.41M,36.29M,7.412M,28.87M,0.08,0.0,,0.0796,0.08,0.0767,0.0,,0.0763,0.0767,241.79M,253.36M,0.0133
2003-06,256.26M,256.26M,176.69M,79.57M,,,54.52M,0.612M,,,,,54.52M,25.05M,,,,13.14M,,33.82M,9.192M,24.63M,,-0.006M,24.63M,24.18M,32.43M,7.38M,25.05M,0.1017,0.0,,0.0999,0.1017,0.0984,0.0,,0.0966,0.0984,240.67M,252.31M,0.0125
2003-03,248.30M,248.30M,174.46M,73.83M,,,45.05M,0.005M,,,,,45.05M,28.78M,,,,8.157M,,32.05M,11.11M,20.95M,,-0.009M,20.95M,20.94M,36.29M,7.508M,28.78M,0.0867,0.0,,0.0867,0.0867,0.0834,0.0,,0.0834,0.0834,239.55M,250.99M,0.0125
2002-12,268.10M,268.10M,187.26M,80.83M,24.46M,31.53M,55.99M,-23.62M,,,,,55.99M,24.84M,,,,-19.83M,,22.85M,7.307M,15.54M,,-0.014M,15.54M,31.60M,31.42M,6.571M,24.84M,0.0649,0.0,,0.1319,0.0649,0.0616,0.0,,0.1252,0.0616,239.61M,252.31M,0.0125
2002-09,263.79M,263.79M,182.59M,81.20M,22.75M,30.30M,53.05M,-1.099M,,,,,53.05M,28.15M,,,,4.354M,,26.84M,9.265M,17.58M,,,17.58M,18.29M,35.48M,7.334M,28.15M,0.0734,0.0,,0.0764,0.0734,0.07,0.0,,0.0729,0.07,238.64M,251.12M,0.0125
2002-06,258.46M,258.46M,182.52M,75.94M,22.15M,29.49M,51.64M,-0.454M,,,,,51.64M,24.29M,,,,10.91M,,29.07M,10.41M,18.65M,,-0.04M,18.65M,18.94M,31.80M,7.503M,24.29M,0.0784,0.0,,0.0796,0.0784,0.075,0.0,,0.0762,0.075,237.39M,251.00M,0.0125
2002-03,256.80M,256.80M,183.55M,73.25M,16.83M,29.19M,46.02M,0.372M,,,,,46.02M,27.23M,,,,1.289M,,22.34M,7.416M,14.92M,,-0.089M,14.92M,14.67M,33.71M,6.482M,27.23M,0.0634,0.0,,0.0623,0.0634,0.06,0.0,,0.059,0.06,235.48M,248.80M,0.0125
