,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2017-06,237.60M,,237.60M,303.80M,,,303.80M,74.90M,32.90M,184.50M,292.30M,,,,43.50M,877.20M,0.00,25.10M,290.10M,847.30M,,18.20M,1.181B,-607.50M,573.20M,1.535B,1.562B,3.096B,9.50M,110.60M,3.790B,4.667B,375.00M,0.80M,,375.80M,206.60M,582.40M,627.20M,,2.10M,629.30M,629.30M,,,,1.212B,894.10M,894.10M,524.70M,712.90M,,,,1.607B,2.819B,292.80M,3.035B,258.10M,1.696B,,,-41.30M,1.848B
2017-03,139.50M,,139.50M,305.20M,,,305.20M,70.20M,28.00M,181.90M,280.10M,,,,29.70M,754.50M,0.00,25.10M,289.50M,838.90M,,18.30M,1.172B,-592.90M,578.90M,1.481B,1.538B,3.019B,8.20M,126.80M,3.733B,4.488B,346.30M,45.50M,,391.80M,189.30M,581.10M,582.20M,,3.50M,585.70M,585.70M,,,,1.167B,692.90M,692.90M,521.00M,692.40M,,,,1.385B,2.552B,292.80M,3.009B,249.40M,1.559B,,,-56.50M,1.936B
2016-12,187.80M,,187.80M,287.00M,,,287.00M,69.80M,28.80M,159.60M,258.20M,,,,23.80M,756.80M,0.00,25.10M,284.70M,831.30M,,24.20M,1.165B,-576.70M,588.60M,1.444B,1.432B,2.876B,8.50M,124.30M,3.597B,4.354B,331.60M,6.20M,,337.80M,237.30M,575.10M,420.00M,,6.80M,426.80M,426.80M,,,,1.002B,693.40M,693.40M,512.20M,680.90M,,,,1.374B,2.376B,292.80M,2.926B,251.40M,1.428B,,,-63.80M,1.978B
2016-09,232.10M,,232.10M,265.30M,,,265.30M,72.40M,30.60M,182.70M,285.70M,,,,21.40M,804.50M,0.00,25.20M,288.90M,828.10M,,30.20M,1.172B,-579.70M,592.70M,1.406B,1.353B,2.759B,8.00M,118.20M,3.478B,4.283B,319.60M,10.10M,,329.70M,225.50M,555.20M,223.20M,,7.40M,230.60M,230.60M,,,,785.80M,699.10M,699.10M,507.60M,652.60M,25.20M,,,1.377B,2.163B,292.80M,2.861B,248.80M,1.231B,,,-51.80M,2.12B
2016-06,210.80M,,210.80M,278.90M,,,278.90M,76.20M,32.80M,181.30M,290.30M,,,,37.90M,817.90M,0.00,25.20M,288.70M,820.40M,,26.70M,1.161B,-566.40M,594.60M,1.406B,1.364B,2.771B,9.10M,117.90M,3.492B,4.310B,316.10M,1.60M,,317.70M,227.60M,545.30M,375.00M,,6.60M,381.60M,381.60M,,,,926.90M,700.70M,700.70M,499.90M,645.40M,25.30M,,,1.371B,2.298B,146.40M,2.783B,389.80M,1.257B,,,-50.00M,2.012B
2016-03,194.30M,,194.30M,277.00M,,,277.00M,79.80M,31.40M,179.80M,291.00M,,,,23.20M,785.50M,0.00,25.20M,279.10M,816.20M,,32.80M,1.153B,-552.20M,601.10M,1.407B,1.376B,2.783B,8.00M,114.80M,3.507B,4.292B,306.50M,40.50M,,347.00M,214.50M,561.50M,445.00M,,6.30M,451.30M,451.30M,,,,1.013B,699.80M,699.80M,491.40M,633.90M,25.50M,,,1.359B,2.372B,146.40M,2.717B,381.00M,1.281B,,,-42.70M,1.920B
2015-12,330.00M,,330.00M,276.20M,,,276.20M,84.60M,33.10M,156.30M,274.00M,,,,25.80M,906.00M,0.00,25.20M,277.30M,809.30M,,33.20M,1.145B,-535.40M,609.60M,1.355B,1.270B,2.624B,8.40M,108.50M,3.351B,4.257B,293.90M,7.20M,,301.10M,214.40M,515.50M,354.50M,,2.70M,357.20M,357.20M,,,,872.70M,692.80M,692.80M,484.80M,668.20M,,,,1.361B,2.234B,292.80M,2.65B,230.00M,1.104B,,,-45.90M,2.023B
2015-09,210.60M,,210.60M,330.70M,,,330.70M,81.70M,37.00M,155.60M,274.30M,,,14.30M,21.80M,851.70M,0.00,25.30M,301.50M,791.30M,,32.80M,1.151B,-540.90M,610.00M,1.354B,1.280B,2.634B,7.90M,114.40M,3.366B,4.218B,283.20M,21.70M,,304.90M,203.10M,508.00M,25.00M,,250.00M,275.00M,275.00M,,,,783.00M,706.00M,706.00M,495.10M,652.10M,27.10M,,,1.385B,2.168B,146.40M,2.585B,374.10M,1.011B,,,-44.90M,2.050B
2015-06,203.20M,,203.20M,340.40M,,,340.40M,84.30M,34.50M,152.00M,270.80M,,,14.00M,19.70M,848.10M,0.00,25.40M,303.00M,791.20M,,25.90M,1.146B,-530.00M,615.50M,1.354B,1.291B,2.645B,8.80M,110.70M,3.380B,4.228B,301.70M,4.60M,,306.30M,205.60M,511.90M,123.00M,,250.60M,373.60M,373.60M,,,,885.50M,700.10M,700.10M,484.10M,643.50M,27.50M,,,1.371B,2.257B,146.40M,2.508B,371.30M,1.020B,,,-34.10M,1.972B
2015-03,299.70M,,299.70M,337.10M,,,337.10M,72.30M,26.00M,158.50M,256.80M,,,13.80M,24.60M,932.00M,0.00,25.30M,299.90M,781.50M,,27.00M,1.134B,-515.90M,617.80M,1.355B,1.300B,2.654B,24.90M,115.80M,3.413B,4.345B,291.60M,34.70M,,326.30M,200.80M,527.10M,271.50M,,251.80M,523.30M,523.30M,,,,1.050B,703.50M,703.50M,491.60M,654.70M,27.40M,,,1.386B,2.436B,146.40M,2.478B,365.60M,1.026B,,,-56.10M,1.909B
2014-12,423.00M,,423.00M,322.90M,,,322.90M,70.80M,25.00M,150.10M,245.90M,,,,26.30M,1.018B,0.00,25.50M,281.70M,742.90M,,71.50M,1.122B,-505.40M,616.20M,1.325B,1.272B,2.597B,24.80M,102.70M,3.341B,4.359B,284.10M,1.00M,,285.10M,223.60M,508.70M,143.30M,,253.30M,396.60M,396.60M,,,,905.30M,690.00M,690.00M,470.60M,633.70M,28.30M,,,1.352B,2.257B,146.40M,2.415B,364.80M,789.50M,,,-34.70M,2.102B
2014-09,370.20M,,370.20M,321.30M,,,321.30M,68.40M,27.00M,166.20M,261.60M,,,19.50M,20.20M,992.80M,0.00,25.60M,281.10M,741.60M,,59.20M,1.108B,-511.70M,595.80M,1.325B,1.283B,2.608B,24.80M,104.30M,3.333B,4.326B,278.20M,12.00M,,290.20M,224.10M,514.30M,400.00M,,4.10M,404.10M,404.10M,,,,918.40M,649.60M,649.60M,490.60M,646.40M,24.00M,0.10M,,1.32B,2.238B,146.40M,2.350B,363.40M,758.40M,,,-13.90M,2.087B
2014-06,196.90M,,196.90M,342.80M,,,342.80M,74.20M,28.60M,168.20M,271.00M,,,19.30M,34.40M,864.40M,0.00,25.70M,282.40M,740.00M,,38.80M,1.087B,-501.20M,585.70M,1.222B,1.184B,2.407B,25.10M,106.30M,3.124B,3.988B,262.60M,1.90M,,264.50M,227.80M,492.30M,150.00M,,3.10M,153.10M,153.10M,,,,645.40M,649.60M,649.60M,488.50M,648.50M,24.70M,0.10M,,1.323B,1.968B,146.40M,2.275B,343.50M,749.90M,,,4.50M,2.020B
2014-03,300.00M,,300.00M,344.40M,,,344.40M,72.10M,27.70M,165.20M,265.00M,,,18.70M,25.70M,953.80M,0.00,25.60M,280.90M,723.70M,,45.80M,1.076B,-487.60M,588.40M,1.222B,1.196B,2.419B,23.90M,101.70M,3.133B,4.086B,263.70M,34.60M,,298.30M,206.80M,505.10M,150.00M,,3.50M,153.50M,153.50M,,,,658.60M,649.60M,649.60M,483.30M,640.60M,24.20M,0.10M,,1.314B,1.973B,146.40M,2.229B,327.10M,587.40M,,,-1.40M,2.113B
2013-12,496.90M,,496.90M,330.20M,,,330.20M,70.20M,30.40M,149.90M,250.50M,,,16.60M,21.60M,1.116B,0.00,25.70M,280.40M,718.20M,,42.90M,1.067B,-473.10M,594.10M,1.222B,1.204B,2.426B,24.50M,98.80M,3.144B,4.260B,256.70M,2.30M,,259.00M,238.40M,497.40M,150.00M,,3.80M,153.80M,153.80M,,,,651.20M,649.50M,649.50M,476.00M,633.50M,25.50M,0.10M,,1.308B,1.960B,146.40M,2.168B,352.90M,368.10M,,,0.20M,2.300B
2013-09,445.50M,,445.50M,323.90M,,,323.90M,68.50M,25.80M,164.10M,258.40M,,,17.70M,19.80M,1.065B,0.00,26.00M,281.30M,719.00M,,24.60M,1.051B,-474.90M,576.00M,1.222B,1.219B,2.441B,25.60M,91.10M,3.134B,4.199B,482.70M,3.40M,,486.10M,,486.10M,150.00M,,4.00M,154.00M,154.00M,,,,640.10M,649.50M,649.50M,475.20M,630.40M,48.10M,0.20M,,1.328B,1.968B,146.40M,2.115B,354.90M,381.70M,,,-4.30M,2.230B
2013-06,274.10M,,274.10M,327.40M,,,327.40M,70.10M,20.00M,165.40M,255.50M,,,17.70M,36.30M,911.00M,0.00,26.00M,280.60M,701.90M,,29.00M,1.038B,-460.20M,577.30M,1.222B,1.224B,2.447B,23.50M,89.20M,3.137B,4.048B,423.40M,2.20M,,425.60M,,425.60M,150.00M,,4.80M,154.80M,154.80M,,,,580.40M,649.50M,649.50M,469.40M,623.10M,48.00M,0.20M,,1.321B,1.901B,146.40M,2.046B,348.60M,382.80M,,,-11.80M,2.146B
2013-03,259.60M,19.70M,279.30M,332.40M,,,332.40M,67.90M,24.30M,166.90M,259.10M,,,17.60M,23.40M,911.80M,0.00,26.00M,281.90M,703.50M,,23.00M,1.034B,-449.90M,584.50M,1.224B,1.232B,2.456B,24.80M,87.70M,3.153B,4.064B,413.40M,38.30M,,451.70M,,451.70M,200.00M,,3.90M,203.90M,203.90M,,,,655.60M,649.40M,649.40M,466.40M,624.20M,49.80M,0.20M,,1.323B,1.979B,146.40M,1.998B,328.40M,384.80M,,,-3.10M,2.085B
2012-12,343.00M,,343.00M,303.10M,,,303.10M,71.70M,22.40M,148.10M,242.20M,,,17.60M,27.90M,933.80M,0.00,26.00M,276.80M,698.40M,,21.00M,1.022B,-436.20M,586.00M,1.214B,1.255B,2.469B,23.00M,86.60M,3.164B,4.098B,240.60M,39.80M,,280.40M,191.40M,471.80M,250.00M,,3.80M,253.80M,253.80M,,,,725.60M,649.40M,649.40M,470.00M,611.10M,50.90M,0.20M,,1.311B,2.037B,146.40M,1.929B,318.80M,336.10M,,,2.50M,2.061B
2012-09,241.20M,,241.20M,278.30M,,,278.30M,57.90M,12.50M,154.70M,225.10M,,650.00M,6.00M,35.30M,1.436B,0.00,25.70M,225.50M,668.30M,,63.30M,982.80M,-440.40M,542.40M,868.40M,886.60M,1.755B,20.30M,86.20M,2.404B,3.840B,387.00M,11.00M,,398.00M,,398.00M,,,,254.40M,254.40M,,,,652.40M,649.40M,649.40M,302.80M,435.40M,44.40M,0.20M,,1.129B,1.782B,146.40M,1.882B,310.90M,288.00M,,,6.70M,2.058B
2012-06,184.20M,,184.20M,272.40M,,,272.40M,59.70M,12.70M,153.50M,225.90M,,,5.80M,43.30M,731.60M,0.00,25.60M,224.90M,647.30M,,63.20M,961.00M,-428.20M,532.80M,868.40M,891.60M,1.76B,17.40M,74.50M,2.385B,3.116B,384.80M,1.80M,,386.60M,,386.60M,,,,32.40M,32.40M,,,,419.00M,249.80M,249.80M,296.60M,418.70M,43.60M,0.20M,,712.10M,1.131B,146.40M,1.822B,305.60M,288.80M,,,0.20M,1.985B
2012-03,232.40M,,232.40M,270.60M,,,270.60M,54.30M,13.80M,144.50M,212.60M,,,5.90M,37.80M,759.30M,0.00,25.70M,226.10M,608.30M,,75.60M,935.70M,-418.10M,517.60M,868.40M,899.50M,1.768B,15.10M,75.40M,2.376B,3.135B,373.40M,31.60M,,405.00M,,405.00M,,,,0.10M,0.10M,,,,405.10M,249.80M,249.80M,291.80M,405.70M,44.50M,0.20M,,700.00M,1.105B,146.40M,1.776B,280.90M,182.50M,,,9.60M,2.03B
2011-12,251.40M,,251.40M,264.60M,,,264.60M,49.60M,11.30M,139.80M,200.70M,,,6.00M,32.50M,755.20M,0.00,25.60M,224.50M,602.80M,,57.60M,910.50M,-404.50M,506.00M,868.40M,904.10M,1.772B,12.00M,71.90M,2.362B,3.118B,231.80M,1.70M,,233.50M,147.50M,381.00M,0.00,,2.60M,2.60M,2.60M,,,,383.60M,249.70M,249.70M,292.30M,398.50M,45.00M,0.20M,,693.20M,1.077B,146.40M,1.714B,271.70M,94.40M,,,2.90M,2.041B
2011-09,275.00M,,275.00M,262.00M,,,262.00M,55.30M,13.20M,156.90M,225.40M,,,15.00M,21.40M,798.80M,0.00,25.80M,232.30M,548.90M,,80.70M,887.70M,-410.90M,476.80M,868.40M,908.60M,1.777B,9.70M,81.40M,2.345B,3.144B,376.70M,13.00M,,389.70M,,389.70M,,,,3.90M,3.90M,,,,393.60M,249.70M,249.70M,291.00M,379.80M,35.10M,0.20M,,664.60M,1.058B,146.40M,1.674B,264.20M,16.70M,,,16.90M,2.085B
2011-06,163.40M,,163.40M,272.80M,,,272.80M,55.50M,14.70M,145.60M,215.80M,,,15.70M,34.90M,702.60M,0.00,26.00M,230.60M,576.30M,,63.30M,896.20M,-422.50M,473.70M,868.30M,917.10M,1.785B,9.80M,83.90M,2.353B,3.055B,368.30M,2.70M,,371.00M,,371.00M,,,,,,,,,371.00M,249.70M,249.70M,274.20M,359.80M,37.00M,0.20M,,646.50M,1.018B,146.40M,1.619B,258.50M,17.80M,,,31.20M,2.038B
2011-03,159.10M,,159.10M,248.50M,,,248.50M,58.10M,13.70M,141.30M,213.10M,,,16.10M,26.40M,663.20M,0.00,26.10M,229.80M,573.00M,,47.30M,876.20M,-408.00M,468.20M,857.30M,868.70M,1.726B,9.70M,85.40M,2.289B,2.952B,338.60M,21.90M,,360.50M,,360.50M,,,,,,,,,360.50M,249.70M,249.70M,267.70M,354.20M,37.10M,0.20M,,641.00M,1.002B,73.20M,1.561B,312.00M,21.50M,,,26.00M,1.951B
2010-12,189.20M,,189.20M,231.06M,,,231.06M,52.50M,12.11M,130.79M,195.40M,,,16.30M,17.52M,649.48M,0.00,25.97M,228.98M,568.73M,,39.49M,863.18M,-394.85M,468.32M,857.36M,872.46M,1.730B,9.192M,88.38M,2.296B,2.945B,206.28M,1.771M,,208.05M,110.11M,318.16M,,,,90.00M,90.00M,,,,447.09M,249.67M,249.67M,254.26M,339.52M,38.05M,0.17M,,627.24M,1.074B,73.21M,1.502B,304.00M,24.63M,,,16.31M,1.871B
2010-09,453.52M,,453.52M,250.62M,,,250.62M,54.71M,11.57M,149.12M,215.40M,,,19.87M,25.24M,964.65M,0.00,25.92M,227.63M,534.75M,,49.46M,837.76M,-382.05M,455.71M,851.14M,838.95M,1.690B,10.20M,79.36M,2.235B,3.200B,359.95M,1.843M,,361.80M,,361.80M,,,,145.83M,145.83M,,,,507.62M,512.22M,512.22M,239.90M,321.90M,39.75M,0.189M,,873.87M,1.381B,73.21M,1.467B,298.89M,26.82M,,,6.13M,1.818B
2010-06,364.26M,,364.26M,242.07M,,,242.07M,65.45M,10.81M,154.35M,230.62M,,,19.55M,18.88M,875.38M,1.495M,25.80M,226.31M,524.01M,,43.07M,820.68M,-369.33M,451.35M,855.92M,828.06M,1.684B,12.65M,87.52M,2.235B,3.111B,304.26M,1.098M,,305.36M,,305.36M,,,,160.28M,160.28M,,,,465.64M,540.59M,540.59M,208.38M,322.94M,38.53M,0.191M,,902.06M,1.368B,73.21M,1.410B,295.20M,27.82M,,,-7.12M,1.743B
2010-03,446.61M,,446.61M,241.68M,,,241.68M,63.32M,10.14M,154.50M,227.96M,,,19.92M,18.18M,954.34M,0.00,25.91M,226.97M,522.99M,,35.88M,811.76M,-359.60M,452.16M,838.22M,786.82M,1.625B,11.69M,89.88M,2.179B,3.133B,313.01M,35.46M,,348.47M,,348.47M,,,,176.07M,176.07M,,,,524.53M,568.97M,568.97M,204.39M,324.23M,38.84M,0.193M,,932.04M,1.457B,73.21M,1.345B,284.55M,30.14M,,,3.532M,1.676B
2009-12,447.14M,,447.14M,222.16M,,,222.16M,57.30M,9.141M,150.42M,216.87M,,,20.43M,21.66M,928.26M,0.00,25.93M,226.78M,524.26M,,29.29M,806.26M,-350.63M,455.64M,838.08M,794.89M,1.633B,12.82M,88.76M,2.190B,3.118B,177.78M,15.63M,,193.41M,106.60M,300.01M,,,,218.95M,218.95M,,,,567.03M,597.35M,597.35M,201.26M,313.70M,38.60M,0.189M,,949.64M,1.517B,73.21M,1.275B,276.10M,32.92M,,,10.08M,1.602B
2009-09,419.24M,,419.24M,234.28M,,,234.28M,58.78M,10.49M,158.04M,227.31M,11.42M,,17.32M,30.70M,940.28M,0.00,25.93M,149.11M,522.84M,,141.25M,839.13M,-397.45M,441.68M,841.10M,798.54M,1.640B,12.30M,88.02M,2.182B,3.122B,386.48M,13.10M,,399.57M,,399.57M,,,,177.50M,177.50M,,,,577.08M,658.04M,658.04M,206.96M,308.78M,33.67M,0.203M,,1.000B,1.578B,73.21M,1.232B,268.77M,35.17M,,,,1.544B
2009-06,357.00M,,357.00M,231.07M,,,231.07M,60.66M,11.49M,143.00M,215.15M,13.44M,,17.35M,3.732M,837.74M,0.00,25.82M,146.82M,514.72M,,113.60M,800.96M,-377.02M,423.95M,840.94M,803.00M,1.644B,11.36M,87.94M,2.167B,3.005B,341.36M,9.277M,,350.64M,,350.64M,,,,150.29M,150.29M,,,,500.93M,699.16M,699.16M,195.43M,296.04M,33.68M,0.202M,,1.029B,1.530B,73.21M,1.172B,265.29M,35.38M,,,-0.22M,1.475B
2009-03,280.24M,,280.24M,216.47M,,,216.47M,55.53M,10.07M,134.28M,199.88M,11.65M,,17.11M,31.48M,756.83M,0.00,25.58M,143.53M,495.82M,1.158M,89.98M,756.06M,-357.10M,398.96M,845.41M,803.91M,1.649B,9.821M,85.68M,2.144B,2.901B,307.80M,20.91M,,328.71M,,328.71M,,,,130.90M,130.90M,,,,459.61M,740.28M,740.28M,183.80M,277.42M,32.83M,,,1.051B,1.510B,73.21M,1.120B,257.06M,36.17M,,,-24.02M,1.390B
2008-12,198.00M,,198.00M,211.19M,,,211.19M,52.85M,9.147M,136.90M,198.89M,10.23M,,15.11M,31.69M,665.12M,0.00,25.66M,143.59M,498.91M,,60.95M,729.11M,-345.74M,383.37M,845.23M,811.32M,1.657B,10.06M,86.33M,2.136B,2.801B,187.00M,1.76M,123.62M,312.38M,,312.38M,,,,74.74M,74.74M,,,,387.12M,781.40M,781.40M,171.98M,265.41M,35.80M,0.192M,,1.083B,1.470B,73.21M,1.064B,252.13M,37.30M,,,-20.45M,1.332B
