,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,,SECFilingLinks,AsOriginallyReported,Restated
2015-09,1.436B,0.00,-687.00M,-5.00M,1.00M,,-691.00M,645.00M,645.00M,-62.00M,,-1.00M,-34.00M,688.00M,217.00M,-597.00M,,,910.00M,1.218B,,,2015-09,-924.00M,708.00M,700.00M,-227.00M,3.00M,-40.00M,-478.00M,2015-09,55.00M,-7.00M,48.00M,19.00M,0.00,19.00M,,,,,-564.00M,-561.00M,,2015-09,6.224B,-73.00M,7.623B,,2015-09,19.00M,122.00M,-67.00M,,2015-09,AOR,Restated
2015-06,1.197B,-27.00M,-28.00M,-6.00M,-220.00M,,-281.00M,642.00M,642.00M,-18.00M,,-19.00M,-388.00M,-190.00M,33.00M,216.00M,,,214.00M,273.00M,,,2015-06,-1.052B,96.00M,42.00M,-146.00M,10.00M,,-1.082B,2015-06,14.00M,-23.00M,-9.00M,188.00M,0.00,188.00M,,,,,-562.00M,-379.00M,,2015-06,6.288B,-9.00M,6.224B,,2015-06,188.00M,109.00M,-95.00M,,2015-06,AOR,Restated
2015-03,1.519B,,-706.00M,-22.00M,407.00M,,-321.00M,634.00M,634.00M,-51.00M,,-2.00M,-308.00M,204.00M,-62.00M,-326.00M,,,-29.00M,-213.00M,,,2015-03,-903.00M,1.375B,1.375B,-204.00M,51.00M,,320.00M,2015-03,89.00M,-39.00M,50.00M,106.00M,-500.00M,-394.00M,,,,,-563.00M,-901.00M,,2015-03,5.654B,-43.00M,6.288B,,2015-03,106.00M,102.00M,-13.00M,,2015-03,AOR,Restated
2014-12,839.00M,1.00M,-9.00M,-7.00M,1.00M,,-14.00M,692.00M,692.00M,474.00M,,-12.00M,40.00M,545.00M,912.00M,-297.00M,,,-495.00M,665.00M,,,2014-12,-1.106B,22.00M,22.00M,-214.00M,41.00M,5.00M,-1.206B,2014-12,16.00M,-22.00M,-6.00M,55.00M,-1.093B,-1.038B,,,,,-513.00M,-1.626B,,2014-12,5.768B,-39.00M,5.654B,,2014-12,55.00M,120.00M,-104.00M,,2014-12,AOR,Restated
2014-09,964.00M,0.00,-25.00M,-14.00M,-193.00M,,-232.00M,706.00M,706.00M,46.00M,,-7.00M,-119.00M,454.00M,-94.00M,-79.00M,,,136.00M,417.00M,,,2014-09,-930.00M,51.00M,51.00M,-4.00M,37.00M,411.00M,-431.00M,2014-09,2.042B,23.00M,2.065B,126.00M,-1.00B,-874.00M,,,,,-519.00M,632.00M,,2014-09,3.843B,-51.00M,5.768B,,2014-09,126.00M,2.054B,-12.00M,,2014-09,AOR,Restated
2014-06,970.00M,0.00,-10.00M,-16.00M,15.00M,,-11.00M,677.00M,677.00M,39.00M,,2.00M,-301.00M,-83.00M,204.00M,-94.00M,,,-8.00M,19.00M,,,2014-06,-864.00M,21.00M,21.00M,-32.00M,42.00M,0.00,-814.00M,2014-06,-104.00M,121.00M,17.00M,240.00M,-850.00M,-610.00M,,,,,-522.00M,-1.137B,,2014-06,4.385B,14.00M,3.843B,,2014-06,240.00M,136.00M,-240.00M,,2014-06,AOR,Restated
2014-03,1.066B,,-1.00M,-39.00M,298.00M,,258.00M,672.00M,672.00M,-93.00M,,-25.00M,-290.00M,-721.00M,-798.00M,391.00M,,,115.00M,-1.013B,,,2014-03,-672.00M,25.00M,25.00M,-17.00M,4.00M,6.00M,-654.00M,2014-03,-253.00M,-48.00M,-301.00M,527.00M,-1.25B,-723.00M,,,,,-466.00M,-1.452B,,2014-03,5.94B,-24.00M,4.385B,,2014-03,527.00M,138.00M,-391.00M,,2014-03,AOR,Restated
2013-12,1.028B,0.00,-547.00M,-95.00M,-87.00M,,-573.00M,689.00M,689.00M,-10.00M,,-7.00M,-63.00M,205.00M,556.00M,-211.00M,,,435.00M,985.00M,,,2013-12,-884.00M,592.00M,592.00M,-62.00M,94.00M,3.00M,-229.00M,2013-12,-748.00M,-76.00M,-824.00M,139.00M,-173.00M,-34.00M,,,,,-465.00M,-1.32B,,2013-12,5.272B,-16.00M,5.94B,,2013-12,139.00M,210.00M,-958.00M,,2013-12,AOR,Restated
2013-09,685.00M,-28.00M,-32.00M,-3.00M,-202.00M,,-262.00M,665.00M,665.00M,-50.00M,,-6.00M,-275.00M,784.00M,-56.00M,-69.00M,,,-14.00M,645.00M,,,2013-09,-566.00M,7.00M,7.00M,23.00M,-32.00M,39.00M,-528.00M,2013-09,-175.00M,29.00M,-146.00M,98.00M,-54.00M,44.00M,,,,,-465.00M,-550.00M,,2013-09,4.883B,65.00M,5.272B,,2013-09,98.00M,191.00M,-366.00M,,2013-09,AOR,Restated
2013-06,2.443B,-2.00M,-8.00M,-13.00M,-133.00M,,-46.00M,659.00M,659.00M,90.00M,,-3.00M,-275.00M,-30.00M,499.00M,50.00M,,,354.00M,873.00M,,,2013-06,-506.00M,24.00M,24.00M,-31.00M,20.00M,,-477.00M,2013-06,-1.348B,-35.00M,-1.383B,69.00M,-80.00M,-11.00M,,,,,-464.00M,-1.859B,,2013-06,3.514B,-36.00M,4.883B,,2013-06,69.00M,435.00M,-1.783B,,2013-06,AOR,Restated
