,NetIncome,Gain/LossonSaleBusiness,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangesinWorkingCapital,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,RepurchaseofCapitalStock,,SECFilingLinks,AsOriginallyReported,Restated
2007-12,198.00M,,,,,,-199.00M,,,75.00M,75.00M,-9.00M,,,,96.00M,19.00M,74.00M,-82.00M,-12.00M,96.00M,126.00M,287.00M,,2007-12,-192.00M,11.00M,-181.00M,,35.00M,48.00M,-192.00M,,2007-12,,,-8.00M,1.00M,-125.00M,-124.00M,,,9.00M,-149.00M,,2007-12,-54.00M,7.00M,577.00M,,2007-12,1.00M,,-125.00M,,2007-12,,
2007-09,184.00M,,,,,,-18.00M,,,73.00M,73.00M,22.00M,,,,-51.00M,65.00M,-93.00M,3.00M,-12.00M,175.00M,157.00M,367.00M,,2007-09,-92.00M,14.00M,-78.00M,,0.00,-61.00M,-147.00M,,2007-09,,,-14.00M,0.00,-174.00M,-174.00M,,,-15.00M,-228.00M,,2007-09,-8.00M,6.00M,624.00M,,2007-09,0.00,,-174.00M,,2007-09,,
2007-06,214.00M,,,,,,-10.00M,,,74.00M,74.00M,16.00M,,,,-5.00M,-134.00M,-71.00M,89.00M,-4.00M,85.00M,-20.00M,269.00M,,2007-06,-75.00M,17.00M,-58.00M,,0.00,-5.00M,-103.00M,,2007-06,,,-20.00M,1.00M,-23.00M,-22.00M,,,-3.00M,-64.00M,,2007-06,102.00M,3.00M,626.00M,,2007-06,1.00M,,-23.00M,,2007-06,,
2007-03,143.00M,,,,,,-1.00M,,,68.00M,68.00M,31.00M,,,,-36.00M,-153.00M,-165.00M,126.00M,-6.00M,-150.00M,-318.00M,-113.00M,,2007-03,-61.00M,2.00M,-59.00M,,-20.00M,-3.00M,-73.00M,,2007-03,,,-99.00M,2.00M,-13.00M,-11.00M,,,-6.00M,-135.00M,,2007-03,-321.00M,2.00M,521.00M,,2007-03,2.00M,,-13.00M,,2007-03,,
2006-12,189.00M,,,,,,-121.00M,,,74.00M,74.00M,-2.00M,,,,44.00M,-69.00M,42.00M,17.00M,15.00M,24.00M,43.00M,227.00M,,2006-12,-116.00M,17.00M,-99.00M,,,2.00M,-92.00M,,2006-12,,,-256.00M,1.00M,-45.00M,-44.00M,,,-6.00M,-325.00M,,2006-12,-190.00M,3.00M,840.00M,,2006-12,1.00M,,-45.00M,,2006-12,,
2006-09,171.00M,,,,,,16.00M,,,74.00M,74.00M,67.00M,,,,-95.00M,17.00M,-75.00M,-15.00M,-7.00M,59.00M,25.00M,258.00M,,2006-09,-61.00M,8.00M,-53.00M,,,-1.00M,-75.00M,,2006-09,,,-2.00M,2.00M,-14.00M,-12.00M,,,-4.00M,-37.00M,,2006-09,146.00M,3.00M,1.027B,,2006-09,2.00M,,-14.00M,,2006-09,,
2006-06,220.00M,,,,,,-33.00M,,,74.00M,74.00M,23.00M,,,,29.00M,-55.00M,-50.00M,39.00M,6.00M,72.00M,24.00M,337.00M,,2006-06,-60.00M,2.00M,-58.00M,,,,-72.00M,,2006-06,,,-19.00M,2.00M,-26.00M,-24.00M,,,-5.00M,-62.00M,,2006-06,203.00M,-1.00M,878.00M,,2006-06,2.00M,,-26.00M,,2006-06,,
2006-03,135.00M,,,,,,-6.00M,,,74.00M,74.00M,51.00M,,,,14.00M,-194.00M,-75.00M,108.00M,-18.00M,-67.00M,-250.00M,18.00M,,2006-03,-64.00M,22.00M,-42.00M,,,,-38.00M,,2006-03,,,-32.00M,4.00M,-36.00M,-32.00M,,,-6.00M,-84.00M,,2006-03,-104.00M,1.00M,676.00M,,2006-03,4.00M,,-36.00M,,2006-03,,
2005-12,167.00M,,,,,,34.00M,295.00M,-1.00M,78.00M,78.00M,53.00M,,,,14.00M,96.00M,9.00M,-67.00M,-17.00M,-14.00M,29.00M,375.00M,,2005-12,-65.00M,-13.00M,-78.00M,,0.00,-3.00M,-87.00M,,2005-12,,,-16.00M,3.00M,-38.00M,-35.00M,,,-2.00M,-67.00M,,2005-12,221.00M,-3.00M,779.00M,,2005-12,3.00M,,-38.00M,,2005-12,,
2005-09,145.00M,,,,,,-27.00M,,,72.00M,72.00M,17.00M,,,,-14.00M,-42.00M,-108.00M,69.00M,6.00M,106.00M,37.00M,230.00M,,2005-09,-43.00M,0.00,-43.00M,,0.00,-25.00M,-49.00M,,2005-09,,,-20.00M,15.00M,28.00M,43.00M,,,-15.00M,-25.00M,,2005-09,156.00M,1.00M,561.00M,,2005-09,15.00M,,28.00M,,2005-09,,
2005-06,141.00M,,,,,,20.00M,-72.00M,1.00M,73.00M,73.00M,38.00M,,,,-19.00M,-80.00M,-35.00M,-14.00M,-3.00M,71.00M,-36.00M,217.00M,,2005-06,-41.00M,3.00M,-38.00M,,-2.00M,0.00,-58.00M,,2005-06,,,1.00M,5.00M,-28.00M,-23.00M,,,5.00M,-12.00M,,2005-06,147.00M,-4.00M,404.00M,,2005-06,5.00M,,-28.00M,,2005-06,,
2005-03,97.00M,,,,,,2.00M,72.00M,-1.00M,71.00M,71.00M,16.00M,,,,19.00M,-283.00M,-53.00M,120.00M,5.00M,-74.00M,-267.00M,-62.00M,,2005-03,-37.00M,10.00M,-27.00M,,,1.00M,-18.00M,,2005-03,,,-259.00M,7.00M,,7.00M,,,-2.00M,-268.00M,,2005-03,-348.00M,-2.00M,261.00M,,2005-03,7.00M,,,,2005-03,,
2004-12,119.00M,,,,,,10.00M,73.00M,-1.00M,72.00M,72.00M,-28.00M,,,,-9.00M,87.00M,8.00M,-43.00M,-12.00M,58.00M,82.00M,246.00M,,2004-12,-73.00M,5.00M,-68.00M,,0.00,-9.00M,-76.00M,,2004-12,,,10.00M,23.00M,,23.00M,,,3.00M,15.00M,,2004-12,185.00M,5.00M,611.00M,,2004-12,23.00M,,,,2004-12,,
2004-09,116.00M,,,,,,-34.00M,71.00M,-2.00M,69.00M,69.00M,-23.00M,,,,9.00M,-11.00M,-64.00M,-4.00M,2.00M,71.00M,-21.00M,116.00M,,2004-09,-41.00M,2.00M,-39.00M,,0.00,-6.00M,-35.00M,,2004-09,,,-17.00M,53.00M,26.00M,79.00M,,,-4.00M,18.00M,,2004-09,99.00M,0.00,421.00M,,2004-09,53.00M,,26.00M,,2004-09,,
2004-06,82.00M,,,,,,31.00M,68.00M,-1.00M,67.00M,67.00M,,,,,-10.00M,-120.00M,-65.00M,85.00M,,114.00M,26.00M,196.00M,,2004-06,-28.00M,4.00M,-24.00M,,-18.00M,-10.00M,-49.00M,,2004-06,,,9.00M,50.00M,-26.00M,24.00M,,,-2.00M,44.00M,,2004-06,191.00M,0.00,322.00M,,2004-06,50.00M,,-26.00M,,2004-06,,
2004-03,33.00M,,,,,,-9.00M,60.00M,-2.00M,58.00M,58.00M,,,,,10.00M,-119.00M,-83.00M,172.00M,,-6.00M,-36.00M,56.00M,,2004-03,-9.00M,1.00M,-8.00M,,,-26.00M,-29.00M,,2004-03,,,-12.00M,22.00M,,22.00M,,,,-3.00M,,2004-03,24.00M,-1.00M,131.00M,,2004-03,22.00M,,,,2004-03,,
2003-12,43.00M,,,,,,0.00,58.00M,-2.00M,56.00M,56.00M,,,,,,68.00M,16.00M,-52.00M,,-15.00M,46.00M,145.00M,,2003-12,-70.00M,6.00M,-64.00M,,,13.00M,-49.00M,,2003-12,,,-64.00M,15.00M,,15.00M,,,-9.00M,-71.00M,,2003-12,25.00M,3.00M,108.00M,,2003-12,15.00M,,,,2003-12,,
2003-09,24.00M,,,,,,1.00M,165.00M,-5.00M,51.00M,51.00M,,,,,,-48.00M,-8.00M,19.00M,,15.00M,-26.00M,50.00M,,2003-09,-27.00M,2.00M,-25.00M,,,-20.00M,-60.00M,,2003-09,,,9.00M,37.00M,,37.00M,,,-3.00M,31.00M,,2003-09,21.00M,0.00,80.00M,,2003-09,37.00M,,,,2003-09,,
2003-06,17.00M,,,,,,-10.00M,,,54.00M,54.00M,,,,,,-34.00M,-13.00M,21.00M,,,-22.00M,39.00M,,2003-06,-27.00M,2.00M,-25.00M,,,2.00M,-6.00M,,2003-06,,,-28.00M,,,,,,-8.00M,-49.00M,,2003-06,-16.00M,2.00M,59.00M,,2003-06,,,,,2003-06,,
2003-03,-34.00M,,,,,,-4.00M,,,55.00M,55.00M,,,,,,-50.00M,-58.00M,15.00M,,,-93.00M,-76.00M,,2003-03,-16.00M,3.00M,-13.00M,,,,-20.00M,,2003-03,,,-41.00M,,,,,,-3.00M,-56.00M,,2003-03,-152.00M,1.00M,66.00M,,2003-03,,,,,2003-03,,
2002-12,59.00M,,,,,,26.00M,,,51.00M,51.00M,,,,,,244.00M,56.00M,-233.00M,,-52.00M,25.00M,161.00M,,2002-12,-36.00M,-5.00M,-41.00M,,7.00M,-54.00M,-118.00M,,2002-12,,,119.00M,,,,,,14.00M,120.00M,,2002-12,163.00M,2.00M,224.00M,,2002-12,,,,,2002-12,,
2002-09,31.00M,,,,,,-1.00M,,,57.00M,57.00M,,,,,,-147.00M,25.00M,54.00M,,-22.00M,-90.00M,-3.00M,,2002-09,-20.00M,50.00M,30.00M,,-7.00M,-9.00M,24.00M,,2002-09,,,4.00M,,,,,,-1.00M,-9.00M,,2002-09,12.00M,-1.00M,101.00M,,2002-09,,,,,2002-09,,
2002-06,18.00M,,,,,,-7.00M,,,53.00M,53.00M,,,,,,-114.00M,-4.00M,114.00M,,19.00M,15.00M,79.00M,,2002-06,-16.00M,1.00M,-15.00M,,,-17.00M,-32.00M,,2002-06,,,-36.00M,,,,,,2.00M,-47.00M,,2002-06,0.00,2.00M,48.00M,,2002-06,,,,,2002-06,,
2002-03,-26.00M,,,,,,4.00M,,,54.00M,54.00M,,,,,,-70.00M,-31.00M,25.00M,,,-76.00M,-44.00M,,2002-03,-18.00M,2.00M,-16.00M,,,,-26.00M,,2002-03,,,80.00M,,,,,,-1.00M,67.00M,,2002-03,-3.00M,-1.00M,48.00M,,2002-03,,,,,2002-03,,
2001-12,2.00M,,,,,,38.00M,,,52.00M,52.00M,,,,,,276.00M,63.00M,-226.00M,,-106.00M,3.00M,95.00M,,2001-12,-48.00M,8.00M,-40.00M,,,-54.00M,-115.00M,,2001-12,,,-35.00M,0.00,,0.00,,,24.00M,-24.00M,,2001-12,-44.00M,0.00,50.00M,,2001-12,0.00,,,,2001-12,,
2001-09,3.00M,,,,,,-43.00M,,,57.00M,57.00M,,,,,,75.00M,-29.00M,-67.00M,,-11.00M,-17.00M,0.00,,2001-09,-36.00M,32.00M,-4.00M,,,-3.00M,-7.00M,,2001-09,,,31.00M,-1.00M,,-1.00M,,,0.00,18.00M,,2001-09,11.00M,0.00,115.00M,,2001-09,-1.00M,,,,2001-09,,
2001-06,-82.00M,,,,,,123.00M,,,59.00M,59.00M,,,,,,-72.00M,40.00M,-13.00M,,-39.00M,-86.00M,14.00M,,2001-06,-60.00M,121.00M,61.00M,,,4.00M,65.00M,,2001-06,,,-345.00M,292.00M,,292.00M,,,-2.00M,-68.00M,,2001-06,11.00M,-1.00M,104.00M,,2001-06,292.00M,,,,2001-06,,
2001-03,-26.00M,,,,,,-12.00M,,,59.00M,59.00M,,,,,,-73.00M,-3.00M,93.00M,,-8.00M,22.00M,43.00M,,2001-03,-62.00M,1.00M,-61.00M,,,-22.00M,-83.00M,,2001-03,,,92.00M,,,,,,-8.00M,72.00M,,2001-03,32.00M,,94.00M,,2001-03,,,,,2001-03,,
2000-12,-114.00M,,,,,,140.00M,,,60.00M,60.00M,,,,,,403.00M,40.00M,-189.00M,,17.00M,312.00M,398.00M,,2000-12,-98.00M,-4.00M,-102.00M,,7.00M,-67.00M,-172.00M,,2000-12,,,-255.00M,,0.00,0.00,,,1.00M,-267.00M,,2000-12,-41.00M,0.00,41.00M,,2000-12,,,0.00,,2000-12,,
2000-09,25.00M,,,,,,-11.00M,,,63.00M,63.00M,,,,,,29.00M,10.00M,-102.00M,,-16.00M,-62.00M,15.00M,,2000-09,-46.00M,-6.00M,-52.00M,,-7.00M,-40.00M,-99.00M,,2000-09,,,119.00M,,0.00,0.00,,,-2.00M,105.00M,,2000-09,21.00M,-1.00M,94.00M,,2000-09,,,0.00,,2000-09,,
2000-06,61.00M,,,,,,-3.00M,,,60.00M,60.00M,,,,,,-3.00M,4.00M,-45.00M,,2.00M,-68.00M,50.00M,,2000-06,-53.00M,9.00M,-44.00M,,0.00,-18.00M,-62.00M,,2000-06,,,33.00M,,0.00,0.00,,,-1.00M,19.00M,,2000-06,7.00M,-1.00M,74.00M,,2000-06,,,0.00,,2000-06,,
2000-03,42.00M,,,,,,-2.00M,,,57.00M,57.00M,,,,,,-141.00M,-42.00M,100.00M,,-3.00M,-88.00M,9.00M,,2000-03,-31.00M,7.00M,-24.00M,,-35.00M,-18.00M,-77.00M,,2000-03,,,88.00M,,-16.00M,-16.00M,,,2.00M,62.00M,,2000-03,-6.00M,,68.00M,,2000-03,,,-16.00M,,2000-03,,
1999-12,25.00M,,,,,,96.00M,,,61.00M,61.00M,,,,,,77.00M,10.00M,-54.00M,,-36.00M,-14.00M,137.00M,,1999-12,-94.00M,49.00M,-45.00M,,,4.00M,-41.00M,,1999-12,,,-66.00M,,-4.00M,-4.00M,,,0.00,-82.00M,,1999-12,14.00M,,74.00M,,1999-12,,,-4.00M,,1999-12,,
1999-09,53.00M,,,,,,-12.00M,,,58.00M,58.00M,,,,,,-89.00M,-42.00M,16.00M,,12.00M,-112.00M,-13.00M,,1999-09,-41.00M,6.00M,-35.00M,,,1.00M,-34.00M,,1999-09,,,80.00M,,-20.00M,-20.00M,,,-8.00M,40.00M,,1999-09,-7.00M,,60.00M,,1999-09,,,-20.00M,,1999-09,,
1999-06,58.00M,,,,,,-6.00M,,,58.00M,58.00M,,,,,,-58.00M,-26.00M,105.00M,,18.00M,41.00M,151.00M,,1999-06,-43.00M,13.00M,-30.00M,,,-15.00M,-45.00M,,1999-06,,,-61.00M,,-10.00M,-10.00M,,,-2.00M,-84.00M,,1999-06,22.00M,,67.00M,,1999-06,,,-10.00M,,1999-06,,
1999-03,24.00M,,,,,,-5.00M,,,56.00M,56.00M,,,,,,-130.00M,-2.00M,95.00M,,6.00M,-43.00M,32.00M,,1999-03,-37.00M,11.00M,-26.00M,,,-20.00M,-46.00M,,1999-03,,,34.00M,,,,,,-1.00M,21.00M,,1999-03,7.00M,,45.00M,,1999-03,,,,,1999-03,,
1998-12,29.00M,,,,,,27.00M,,,51.00M,51.00M,,,,,,108.00M,53.00M,-99.00M,,31.00M,65.00M,107.00M,,1998-12,-72.00M,4.00M,-68.00M,,-1.00M,-1.00M,-70.00M,,1998-12,,,-53.00M,,-3.00M,-3.00M,,,5.00M,-62.00M,,1998-12,-25.00M,0.00,38.00M,,1998-12,,,-3.00M,,1998-12,,
1998-09,-110.00M,,,,,,132.00M,,,50.00M,50.00M,,,,,,47.00M,-31.00M,40.00M,,-41.00M,16.00M,88.00M,,1998-09,-45.00M,-1.00M,-46.00M,,-1.00M,-14.00M,-61.00M,,1998-09,,,16.00M,,-11.00M,-11.00M,,,3.00M,-4.00M,,1998-09,23.00M,0.00,63.00M,,1998-09,,,-11.00M,,1998-09,,
1998-06,53.00M,,,,,,-5.00M,,,51.00M,51.00M,,,,,,-52.00M,6.00M,-5.00M,,17.00M,-44.00M,55.00M,,1998-06,-71.00M,2.00M,-69.00M,,-13.00M,15.00M,-67.00M,,1998-06,,,12.00M,,,,,,4.00M,5.00M,,1998-06,-7.00M,-1.00M,40.00M,,1998-06,,,,,1998-06,,
