,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDiluted,,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2004-03,1.771B,1.771B,1.426B,345.00M,223.00M,56.00M,,,-6.00M,,,,,279.00M,66.00M,,,,12.00M,,51.00M,14.00M,33.00M,,-4.00M,37.35M,124.00M,58.00M,66.00M,,0.00,,,0.2294,0.2025,0.19,0.00,,0.19,,2004-03,162.00M,189.20M,0.075,,2004-03,,
2003-12,1.736B,1.736B,1.40B,336.00M,227.00M,52.00M,,,-43.00M,,,,,279.00M,57.00M,,,,27.00M,,34.00M,7.00M,47.00M,,-5.00M,81.15M,113.00M,56.00M,57.00M,,-0.0225,,,0.5081,0.275,0.295,-0.0225,,0.2725,,2003-12,162.13M,165.33M,0.075,,2003-12,,
2003-09,1.634B,1.634B,1.341B,293.00M,208.00M,51.00M,,,27.00M,,,,,259.00M,34.00M,,,,27.00M,,36.00M,9.00M,24.00M,,-3.00M,3.75M,85.00M,51.00M,34.00M,,0.00,,,0.0242,0.155,0.15,0.00,,0.15,,2003-09,154.84M,160.00M,0.075,,2003-09,,
2003-06,1.539B,1.539B,1.263B,276.00M,200.00M,50.00M,,,20.00M,,,,,250.00M,26.00M,,,,20.00M,,19.00M,5.00M,14.00M,,-2.00M,-0.7368M,80.00M,54.00M,26.00M,,0.00,,,-0.0045,0.085,0.085,0.00,,0.085,,2003-06,164.71M,164.71M,0.075,,2003-06,,
2003-03,1.387B,1.387B,1.173B,214.00M,195.00M,46.00M,,,6.00M,,,,,241.00M,-27.00M,,,,13.00M,,-34.00M,-10.00M,-34.00M,,-4.00M,-38.24M,28.00M,55.00M,-27.00M,,0.00,,,-0.2422,-0.215,-0.215,0.00,,-0.215,,2003-03,155.60M,155.60M,0.075,,2003-03,,
2002-12,1.414B,1.414B,1.179B,235.00M,172.00M,37.00M,,,-18.00M,,,,,209.00M,26.00M,,,,4.00M,,-22.00M,-50.00M,56.00M,,-4.00M,66.80M,77.00M,51.00M,26.00M,,0.0175,,,0.4279,0.38,0.3625,0.0175,,0.38,,2002-12,165.14M,165.14M,0.075,,2002-12,,
2002-09,1.648B,1.648B,1.338B,310.00M,192.00M,53.00M,,,13.00M,,,,,245.00M,65.00M,,,,13.00M,,63.00M,15.00M,39.00M,,-4.00M,29.10M,122.00M,57.00M,65.00M,,0.00,,,0.1921,0.2575,0.24,0.00,,0.24,,2002-09,151.46M,162.50M,0.075,,2002-09,,
2002-06,1.458B,1.458B,1.181B,277.00M,186.00M,55.00M,,,12.00M,,,,,241.00M,36.00M,,,,12.00M,,29.00M,7.00M,16.00M,,-5.00M,6.897M,89.00M,53.00M,36.00M,,0.00,,,0.0442,0.1025,0.10,0.00,,0.10,,2002-06,156.10M,160.00M,0.075,,2002-06,,
2002-03,1.333B,1.333B,1.107B,226.00M,186.00M,56.00M,,,1.00M,,,,,242.00M,-16.00M,,,,1.00M,,-29.00M,-9.00M,-29.00M,3.00M,-3.00M,-29.69M,38.00M,54.00M,-16.00M,,0.0175,0.00,,-0.1766,-0.155,-0.1725,0.0175,0.0179,-0.155,,2002-03,167.74M,167.74M,0.075,,2002-03,,
2001-12,1.463B,1.463B,1.206B,257.00M,178.00M,56.00M,,,-7.00M,,,,,234.00M,23.00M,,,,3.00M,,-16.00M,0.00,2.00M,,-3.00M,9.00M,75.00M,52.00M,23.00M,,0.00,,,0.0565,0.01,0.01,0.00,,0.01,,2001-12,150.52M,150.52M,0.075,,2001-12,,
2001-09,1.408B,1.408B,1.153B,255.00M,177.00M,53.00M,,,5.00M,,,,,230.00M,25.00M,,,,5.00M,,15.00M,2.00M,3.00M,,-4.00M,-1.333M,82.00M,57.00M,25.00M,,0.00,,,-0.0089,0.02,0.02,0.00,,0.02,,2001-09,150.00M,150.00M,0.075,,2001-09,,
2001-06,1.461B,1.461B,1.192B,269.00M,183.00M,58.00M,,,-122.00M,,,,,241.00M,28.00M,,,,-122.00M,,-117.00M,-39.00M,-82.00M,,-4.00M,-0.6667M,87.00M,59.00M,28.00M,,0.00,,,-0.0044,-0.535,-0.535,0.00,,-0.535,,2001-06,153.27M,153.27M,0.075,,2001-06,,
2001-03,1.349B,1.349B,1.117B,232.00M,183.00M,53.00M,,,-2.00M,,,,,236.00M,-4.00M,,,,-2.00M,,-29.00M,-7.00M,-26.00M,,-4.00M,-24.48M,55.00M,59.00M,-4.00M,,0.00,,,-0.1601,-0.17,-0.17,0.00,,-0.17,,2001-03,152.80M,152.80M,0.075,,2001-03,,
2000-12,1.608B,1.608B,1.337B,271.00M,194.00M,66.00M,,,-172.00M,,,,,260.00M,11.00M,,,,-165.00M,,-193.00M,-68.00M,-114.00M,,-3.00M,-2.601M,71.00M,60.00M,11.00M,,0.00,,,-0.1433,-0.7525,-0.7525,0.00,,-0.7525,,2000-12,182.86M,182.86M,0.075,,2000-12,,
2000-09,1.572B,1.572B,1.262B,310.00M,195.00M,62.00M,,,8.00M,,,,,257.00M,53.00M,,,,8.00M,,39.00M,9.00M,25.00M,,-5.00M,18.85M,116.00M,63.00M,53.00M,,0.00,,,0.1244,0.165,0.165,0.00,,0.165,,2000-09,151.52M,151.52M,0.075,,2000-09,,
2000-06,1.769B,1.769B,1.418B,351.00M,190.00M,59.00M,,,5.00M,,,,,249.00M,102.00M,,,,5.00M,,86.00M,22.00M,61.00M,,-3.00M,57.28M,162.00M,60.00M,102.00M,,0.00,,,0.3803,0.405,0.405,0.00,,0.405,,2000-06,150.62M,150.62M,0.075,,2000-06,,
2000-03,1.648B,1.648B,1.313B,335.00M,194.00M,59.00M,,,-1.00M,,,,,253.00M,82.00M,,,,-1.00M,,62.00M,17.00M,42.00M,,-3.00M,42.73M,139.00M,57.00M,82.00M,,0.00,,,0.2772,0.2725,0.2725,0.00,,0.2725,,2000-03,152.80M,153.20M,0.075,,2000-03,,
1999-12,1.836B,1.836B,1.451B,385.00M,211.00M,64.00M,,,-63.00M,,,,,275.00M,110.00M,,,,-63.00M,,28.00M,1.00M,25.00M,,-2.00M,85.75M,171.00M,61.00M,110.00M,,0.00,,,0.5580,0.165,0.1625,0.00,,0.1625,,1999-12,154.58M,154.58M,0.075,,1999-12,,
1999-09,1.631B,1.631B,1.27B,361.00M,192.00M,67.00M,,,-11.00M,,,,,259.00M,102.00M,,,,-11.00M,,73.00M,19.00M,53.00M,,-1.00M,61.14M,160.00M,58.00M,102.00M,,0.00,,,0.3956,0.3425,0.3375,0.00,,0.3375,,1999-09,153.20M,155.60M,0.0688,,1999-09,,
1999-06,1.667B,1.667B,1.296B,371.00M,200.00M,60.00M,,,-8.00M,,,,,260.00M,111.00M,,,,-8.00M,,84.00M,25.00M,58.00M,,-1.00M,63.62M,169.00M,58.00M,111.00M,,0.00,,,0.4140,0.3775,0.375,0.00,,0.375,,1999-06,154.00M,154.80M,0.0688,,1999-06,,
1999-03,1.505B,1.505B,1.204B,301.00M,178.00M,54.00M,,,-14.00M,,,,,232.00M,69.00M,,,,-14.00M,,36.00M,10.00M,24.00M,,-2.00M,34.11M,125.00M,56.00M,69.00M,,0.00,,,0.2232,0.1575,0.1575,0.00,,0.1575,,1999-03,154.00M,154.00M,0.0688,,1999-03,,
1998-12,1.606B,1.606B,1.281B,325.00M,195.00M,62.00M,,,-7.00M,,,,,257.00M,68.00M,,,,-7.00M,,42.00M,11.00M,29.00M,,-2.00M,34.17M,119.00M,51.00M,68.00M,,0.00,,,0.2222,0.1875,0.1875,0.00,,0.1875,,1998-12,148.91M,148.91M,0.0688,,1998-12,,
1998-09,1.525B,1.525B,1.218B,307.00M,191.00M,61.00M,,,-181.00M,,,,,252.00M,55.00M,,,,-181.00M,,-143.00M,-35.00M,-110.00M,,-2.00M,26.70M,105.00M,50.00M,55.00M,,0.00,,,0.1727,-0.715,-0.715,0.00,,-0.715,,1998-09,154.00M,154.00M,0.0688,,1998-09,,
1998-06,1.635B,1.635B,1.266B,369.00M,199.00M,65.00M,,,-6.00M,,,,,264.00M,105.00M,,,,-6.00M,,81.00M,24.00M,53.00M,,-4.00M,57.22M,156.00M,51.00M,105.00M,,0.00,,,0.3749,0.3475,0.345,0.00,,0.345,,1998-06,154.00M,155.20M,0.0688,,1998-06,,
