,NetIncome,NetForeignCurrencyExchangeGain/Loss,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2011-09,9.454B,,,,783.00M,783.00M,504.00M,0.00,145.00M,-5.575B,87.00M,-167.00M,344.00M,,,561.00M,825.00M,4.622B,,-711.00M,-143.00M,-854.00M,-420.00M,-768.00M,452.00M,-1.59B,,60.00M,-220.00M,-160.00M,,-743.00M,-743.00M,,-1.558B,229.00M,,-2.232B,,14.97B,800.00M,-157.00M,15.62B,,,3.697B,-3.857B,-743.00M,,AOR,Restated
2011-06,,,,,777.00M,777.00M,-500.00M,160.00M,187.00M,2.759B,33.00M,-168.00M,683.00M,,,-22.00M,526.00M,3.909B,,-618.00M,22.00M,-596.00M,0.00,-10.10B,-5.00M,-10.70B,,4.394B,-3.508B,886.00M,0.00,-494.00M,-494.00M,,-1.563B,532.00M,,-639.00M,,22.36B,-7.43B,48.00M,14.97B,,0.00,4.338B,-3.452B,-494.00M,,AOR,Restated
2011-03,,,,,755.00M,755.00M,-4.00M,,152.00M,3.46B,-609.00M,-452.00M,-1.127B,,,141.00M,-2.047B,2.316B,,-436.00M,121.00M,-315.00M,-2.049B,3.861B,-57.00M,1.44B,,5.00M,900.00M,905.00M,,-435.00M,-435.00M,,-1.48B,185.00M,,-825.00M,,19.36B,2.931B,70.00M,22.36B,,,3.652B,-2.747B,-435.00M,,AOR,Restated
2010-12,13.33B,,,,769.00M,769.00M,-288.00M,,140.00M,-10.78B,378.00M,1.00M,1.572B,,,-185.00M,1.279B,3.824B,,-959.00M,,-959.00M,0.00,-677.00M,232.00M,-1.404B,,28.00M,4.803B,4.831B,,-1.285B,-1.285B,,-1.481B,541.00M,,2.606B,,14.34B,5.026B,-9.00M,19.36B,,,6.017B,-1.186B,-1.285B,,AOR,Restated
2010-09,-7.975B,,,,725.00M,725.00M,40.00M,,169.00M,11.09B,-30.00M,-109.00M,167.00M,,,671.00M,699.00M,5.034B,,-528.00M,-109.00M,-637.00M,-398.00M,-1.115B,275.00M,-1.875B,,1.07B,-852.00M,218.00M,,-732.00M,-732.00M,,-1.484B,299.00M,,-1.699B,,12.71B,1.46B,165.00M,14.34B,,,2.019B,-1.801B,-732.00M,,AOR,Restated
2010-06,3.449B,,,,711.00M,711.00M,-356.00M,,148.00M,148.00M,-26.00M,105.00M,-68.00M,,,-94.00M,-83.00M,3.837B,,-500.00M,7.00M,-493.00M,-99.00M,-2.089B,-12.00M,-2.693B,,-4.00M,-314.00M,-318.00M,,-397.00M,-397.00M,,-1.489B,139.00M,,-2.065B,,13.74B,-921.00M,-109.00M,12.71B,,,241.00M,-559.00M,-397.00M,,AOR,Restated
2010-03,4.526B,,,,734.00M,734.00M,960.00M,,157.00M,157.00M,-529.00M,-193.00M,-1.651B,,,-392.00M,-2.765B,3.69B,,-397.00M,102.00M,-295.00M,-772.00M,-806.00M,-9.00M,-1.882B,,-8.00M,-2.328B,-2.336B,,-383.00M,-383.00M,,-1.35B,247.00M,,-3.822B,,15.81B,-2.014B,-53.00M,13.74B,,,715.00M,-3.051B,-383.00M,,AOR,Restated
2009-12,-10.06B,,,,744.00M,744.00M,-977.00M,,129.00M,12.28B,514.00M,345.00M,1.323B,,,984.00M,3.166B,5.287B,,-844.00M,,-690.00M,-133.00M,-1.583B,42.00M,-2.364B,,5.00M,2.802B,2.807B,,-958.00M,-958.00M,,-1.353B,582.00M,,1.078B,,11.86B,4.001B,-47.00M,15.81B,,,5.581B,-2.774B,-958.00M,,AOR,Restated
2009-09,3.345B,,,,675.00M,675.00M,541.00M,,158.00M,-606.00M,164.00M,89.00M,67.00M,,,713.00M,1.033B,5.094B,,-519.00M,,-519.00M,-1.046B,-211.00M,-79.00M,-1.855B,,-208.00M,-1.86B,-2.068B,,-49.00M,-49.00M,,-1.351B,226.00M,,-3.242B,,11.69B,-3.00M,173.00M,11.86B,,,821.00M,-2.889B,-49.00M,,AOR,Restated
2009-06,3.208B,,,,679.00M,679.00M,-1.212B,,182.00M,623.00M,-139.00M,-3.00M,258.00M,,,-285.00M,-169.00M,3.363B,,-567.00M,,-567.00M,0.00,-1.724B,-12.00M,-2.303B,,0.00,-468.00M,-468.00M,,-289.00M,-289.00M,,-1.35B,47.00M,,-2.06B,,12.59B,-1.00B,97.00M,11.69B,,,-187.00M,-281.00M,-289.00M,,AOR,Restated
2009-03,3.507B,,,,676.00M,676.00M,1.212B,,159.00M,22.00M,-86.00M,-336.00M,-2.155B,,,-172.00M,-2.749B,2.827B,,-435.00M,,-435.00M,-1.291B,710.00M,-60.00M,-1.076B,,-7.00M,2.219B,2.212B,,-834.00M,-834.00M,,-1.273B,27.00M,,132.00M,,10.77B,1.883B,-62.00M,12.59B,,,3.278B,-1.066B,-834.00M,,AOR,Restated
2008-12,2.714B,,,141.00M,715.00M,715.00M,376.00M,,103.00M,24.00M,54.00M,247.00M,831.00M,,,-1.204B,-72.00M,4.001B,,-1.128B,,-1.128B,-814.00M,-1.254B,682.00M,-2.514B,,-10.00M,-2.434B,-2.444B,,-878.00M,-878.00M,,-1.274B,126.00M,,-4.47B,,14.02B,-2.983B,-267.00M,10.77B,,,3.234B,-5.678B,-878.00M,,AOR,Restated
2008-09,3.31B,,,0.00,768.00M,768.00M,-32.00M,,168.00M,47.00M,-58.00M,31.00M,57.00M,,,602.00M,632.00M,4.893B,,-772.00M,,-772.00M,-354.00M,-454.00M,19.00M,-1.561B,,-12.00M,1.006B,994.00M,,-2.156B,-2.156B,,-1.284B,750.00M,,-1.696B,,12.65B,1.636B,-264.00M,14.02B,,,1.817B,-823.00M,-2.156B,,,Restated
2008-06,3.327B,,,40.00M,683.00M,683.00M,-295.00M,,193.00M,3.00M,-215.00M,-120.00M,-887.00M,,,113.00M,-1.109B,2.842B,,-687.00M,,-687.00M,-38.00M,172.00M,-11.00M,-564.00M,,1.638B,950.00M,2.588B,,-1.838B,-1.838B,,-1.292B,354.00M,,-188.00M,,10.54B,2.09B,17.00M,12.65B,,,2.98B,-392.00M,-1.838B,,,Restated
2008-03,3.598B,,,,666.00M,666.00M,-27.00M,,163.00M,12.00M,-517.00M,-259.00M,-273.00M,,,-127.00M,-1.176B,3.236B,,-479.00M,,-479.00M,-8.00M,927.00M,12.00M,452.00M,,-2.00M,1.589B,1.587B,,-1.779B,-1.779B,,-1.174B,256.00M,,-1.11B,,7.77B,2.578B,191.00M,10.54B,,,2.037B,-450.00M,-1.779B,,,Restated
2007-12,2.374B,,,0.00,875.00M,875.00M,-862.00M,,,-528.00M,-9.00M,323.00M,1.709B,,,-1.161B,862.00M,4.097B,,-1.137B,-214.00M,-1.351B,-10.00M,98.00M,,-1.174B,,,,1.761B,-961.00M,-3.026B,-3.987B,,-1.184B,,,-1.848B,,6.64B,1.075B,55.00M,7.77B,,-961.00M,,,-3.026B,,,Restated
2007-09,2.548B,,,0.00,597.00M,597.00M,-495.00M,,,190.00M,251.00M,-119.00M,1.239B,,,-20.00M,1.351B,4.191B,,-711.00M,0.00,-711.00M,-10.00M,-1.306B,,-2.027B,,,,1.413B,397.00M,-1.842B,-1.445B,,-1.199B,,1.00M,-1.23B,,5.571B,934.00M,135.00M,6.64B,,397.00M,,,-1.842B,,,
2007-06,3.081B,,,-3.00M,683.00M,683.00M,-400.00M,,,196.00M,-96.00M,-70.00M,-77.00M,,,-417.00M,-660.00M,2.897B,,-608.00M,0.00,-608.00M,0.00,-417.00M,,-1.025B,,,,-218.00M,330.00M,-444.00M,-114.00M,,-1.202B,,-1.00M,-1.535B,,5.175B,337.00M,59.00M,5.571B,,330.00M,,,-444.00M,,,
2007-03,2.573B,,,810.00M,622.00M,622.00M,-5.00M,,,164.00M,-562.00M,-120.00M,-229.00M,,,584.00M,-327.00M,3.837B,,-486.00M,214.00M,-272.00M,-1.368B,-46.00M,,-1.686B,,,,61.00M,234.00M,-295.00M,-61.00M,,-1.085B,,,-1.085B,,4.083B,1.066B,26.00M,5.175B,,234.00M,,,-295.00M,,,
2006-12,2.168B,,,320.00M,571.00M,571.00M,-487.00M,,,150.00M,15.00M,129.00M,2.148B,,,-731.00M,1.561B,4.283B,,-1.007B,509.00M,-498.00M,-16.65B,87.00M,,-17.06B,,,,4.296B,443.00M,-1.351B,-908.00M,,-1.085B,,,2.303B,,14.49B,-10.47B,63.00M,4.083B,,443.00M,,,-1.351B,,,
2006-09,2.76B,,,115.00M,539.00M,539.00M,-53.00M,,,160.00M,235.00M,-110.00M,396.00M,-83.00M,-696.00M,872.00M,614.00M,4.135B,,-697.00M,1.00M,-696.00M,-159.00M,-54.00M,37.00M,-872.00M,,,,-318.00M,360.00M,-2.403B,-2.043B,,-1.093B,,,-3.454B,,14.65B,-191.00M,35.00M,14.49B,,360.00M,,,-2.403B,,,
2006-06,2.82B,,,-62.00M,546.00M,546.00M,-475.00M,,,335.00M,-381.00M,-10.00M,-161.00M,290.00M,-546.00M,,-808.00M,2.356B,,-588.00M,0.00,-588.00M,-407.00M,184.00M,26.00M,-785.00M,,,,-316.00M,196.00M,-2.567B,-2.371B,,-1.107B,,,-3.794B,,16.82B,-2.223B,48.00M,14.65B,,196.00M,,,-2.567B,,,
