,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2018-06,20.83B,20.83B,6.927B,13.90B,5.743B,2.639B,-57.00M,253.00M,126.00M,-127.00M,8.382B,5.521B,126.00M,253.00M,-127.00M,-421.00M,-127.00M,4.973B,1.019B,3.954B,,3.954B,3.999B,6.943B,1.717B,5.226B,,1.47,,1.487,1.47,,1.45,,1.467,1.45,,2.682B,2.721B,0.90,,AOR,Restated
2018-03,20.01B,20.01B,6.614B,13.40B,5.263B,2.404B,-42.00M,259.00M,114.00M,-145.00M,7.667B,5.728B,114.00M,259.00M,-145.00M,-102.00M,-145.00M,5.481B,1.114B,4.367B,,4.367B,4.400B,7.486B,1.746B,5.74B,,1.63,,1.642,1.63,,1.60,,1.612,1.60,,2.682B,2.732B,0.84,,AOR,Restated
2017-12,20.20B,20.20B,7.259B,12.94B,6.045B,4.051B,-144.00M,274.00M,85.00M,-189.00M,10.10B,2.84B,85.00M,274.00M,-189.00M,-91.00M,-189.00M,2.56B,13.27B,-10.71B,,-10.71B,-10.63B,4.703B,1.869B,2.834B,,-3.99,,-3.958,-3.99,,-3.99,,-3.958,-3.99,,2.685B,2.742B,0.84,,AOR,Restated
2017-09,19.65B,19.65B,6.925B,12.72B,5.423B,2.585B,-69.00M,229.00M,74.00M,-155.00M,8.008B,4.717B,74.00M,229.00M,-155.00M,228.00M,-155.00M,4.79B,1.026B,3.764B,,3.764B,3.818B,6.73B,1.711B,5.019B,,1.40,,1.420,1.40,,1.37,,1.390,1.37,,2.685B,2.738B,0.84,,AOR,Restated
2017-06,18.84B,18.84B,5.846B,12.99B,5.289B,2.296B,-11.00M,227.00M,105.00M,-122.00M,7.585B,5.408B,105.00M,227.00M,-122.00M,-538.00M,-122.00M,4.748B,921.00M,3.827B,,3.827B,3.836B,6.125B,1.15B,4.975B,,1.42,,1.423,1.42,,1.40,,1.403,1.40,,2.692B,2.742B,0.84,,AOR,Restated
2017-03,17.77B,17.77B,5.409B,12.36B,4.763B,2.07B,-85.00M,204.00M,121.00M,-83.00M,6.833B,5.524B,121.00M,204.00M,-83.00M,134.00M,-83.00M,5.575B,1.153B,4.422B,,4.422B,4.489B,6.691B,912.00M,5.779B,,1.63,,1.655,1.63,,1.61,,1.634,1.61,,2.707B,2.754B,0.80,,AOR,Restated
2016-12,18.11B,18.11B,5.638B,12.47B,5.431B,2.688B,-195.00M,184.00M,100.00M,-84.00M,8.119B,4.349B,100.00M,184.00M,-84.00M,59.00M,-84.00M,4.324B,510.00M,3.814B,,3.814B,3.986B,5.563B,1.055B,4.508B,,1.402,,1.465,1.402,,1.38,,1.442,1.38,,2.714B,2.766B,0.80,,AOR,Restated
2016-09,17.82B,17.82B,5.486B,12.33B,4.772B,2.178B,-62.00M,192.00M,97.00M,-95.00M,6.95B,5.384B,97.00M,192.00M,-95.00M,-8.00M,-95.00M,5.281B,1.009B,4.272B,,4.272B,4.322B,6.381B,908.00M,5.473B,,1.56,,1.578,1.56,,1.53,,1.548,1.53,,2.732B,2.785B,0.80,,AOR,Restated
2016-06,18.48B,18.48B,5.336B,13.15B,5.176B,2.293B,-114.00M,190.00M,88.00M,-102.00M,7.469B,5.677B,88.00M,190.00M,-102.00M,-671.00M,-102.00M,4.904B,907.00M,3.997B,,3.997B,4.090B,5.994B,900.00M,5.094B,,1.46,,1.494,1.46,,1.43,,1.463,1.43,,2.745B,2.794B,0.80,,AOR,Restated
2016-03,17.48B,17.48B,5.329B,12.15B,4.688B,2.013B,-120.00M,160.00M,83.00M,-77.00M,6.701B,5.452B,83.00M,160.00M,-77.00M,-81.00M,-77.00M,5.294B,837.00M,4.457B,,4.457B,4.558B,6.345B,891.00M,5.454B,,1.62,,1.657,1.62,,1.59,,1.626,1.59,,2.757B,2.804B,0.75,,AOR,Restated
2015-12,17.81B,17.81B,5.673B,12.14B,5.891B,3.078B,,160.00M,53.00M,-107.00M,8.969B,3.169B,53.00M,160.00M,-107.00M,696.00M,-107.00M,3.758B,543.00M,3.215B,,3.215B,3.215B,4.951B,1.033B,3.918B,,1.162,,1.162,1.162,,1.15,,1.15,1.15,,2.763B,2.800B,0.75,,AOR,Restated
2015-09,17.10B,17.10B,5.224B,11.88B,5.081B,2.164B,,123.00M,32.00M,-91.00M,7.245B,4.633B,32.00M,123.00M,-91.00M,-420.00M,-91.00M,4.122B,764.00M,3.358B,,3.358B,3.358B,5.174B,929.00M,4.245B,,1.21,,1.21,1.21,,1.20,,1.20,1.20,,2.768B,2.807B,0.75,,AOR,Restated
2015-06,17.79B,17.79B,5.357B,12.43B,5.384B,2.129B,0.00,131.00M,24.00M,-107.00M,7.513B,4.917B,24.00M,131.00M,-107.00M,931.00M,-107.00M,5.741B,1.225B,4.516B,,4.516B,4.516B,6.761B,889.00M,5.872B,,1.63,,1.63,1.63,,1.61,,1.61,1.61,,2.772B,2.812B,0.75,,AOR,Restated
2015-03,17.37B,17.37B,5.282B,12.09B,4.847B,1.899B,0.00,138.00M,19.00M,-119.00M,6.746B,5.346B,19.00M,138.00M,-119.00M,348.00M,-119.00M,5.575B,1.255B,4.32B,,4.32B,4.32B,6.608B,895.00M,5.713B,,1.55,,1.55,1.55,,1.53,,1.53,1.53,,2.783B,2.826B,0.70,,AOR,Restated
2014-12,18.25B,18.25B,5.853B,12.40B,5.822B,2.791B,,139.00M,17.00M,-122.00M,8.613B,3.788B,17.00M,139.00M,-122.00M,-963.00M,-122.00M,2.703B,182.00M,2.521B,,2.521B,2.521B,3.833B,991.00M,2.842B,,0.9058,,0.9058,0.9058,,0.89,,0.89,0.89,,2.795B,2.842B,0.70,,AOR,Restated
2014-09,18.47B,18.47B,5.399B,13.07B,5.468B,2.023B,,130.00M,18.00M,-112.00M,7.491B,5.577B,18.00M,130.00M,-112.00M,1.345B,-112.00M,6.81B,2.061B,4.749B,,4.749B,4.749B,7.879B,939.00M,6.94B,,1.69,,1.69,1.69,,1.66,,1.66,1.66,,2.814B,2.864B,0.70,,AOR,Restated
2014-06,19.50B,19.50B,6.039B,13.46B,5.481B,2.009B,,128.00M,14.00M,-114.00M,7.49B,5.966B,14.00M,128.00M,-114.00M,-226.00M,-114.00M,5.626B,1.30B,4.326B,,4.326B,4.326B,6.706B,952.00M,5.754B,,1.53,,1.53,1.53,,1.51,,1.51,1.51,,2.826B,2.874B,0.70,,AOR,Restated
2014-03,18.12B,18.12B,5.455B,12.66B,5.183B,1.849B,,136.00M,18.00M,-118.00M,7.032B,5.628B,18.00M,136.00M,-118.00M,-86.00M,-118.00M,5.424B,697.00M,4.727B,,4.727B,4.727B,6.573B,1.013B,5.56B,,1.67,,1.67,1.67,,1.64,,1.64,1.64,,2.827B,2.875B,0.66,,AOR,Restated
2013-12,18.36B,18.36B,5.955B,12.40B,5.917B,2.749B,,134.00M,18.00M,-116.00M,8.666B,3.734B,18.00M,134.00M,-116.00M,-868.00M,-116.00M,2.75B,-769.00M,3.519B,,3.519B,3.519B,3.986B,1.102B,2.884B,,1.248,,1.248,1.248,,1.23,,1.23,1.23,,2.82B,2.871B,0.66,,AOR,Restated
2013-09,17.58B,17.58B,5.344B,12.23B,5.314B,2.22B,,105.00M,18.00M,-87.00M,7.534B,4.697B,18.00M,105.00M,-87.00M,-943.00M,-87.00M,3.667B,685.00M,2.982B,,2.982B,2.982B,4.748B,976.00M,3.772B,,1.06,,1.06,1.06,,1.04,,1.04,1.04,,2.818B,2.881B,0.66,,AOR,Restated
2013-06,17.88B,17.88B,5.489B,12.39B,5.376B,1.946B,,118.00M,17.00M,-101.00M,7.322B,5.066B,17.00M,118.00M,-101.00M,-172.00M,-101.00M,4.793B,960.00M,3.833B,,3.833B,3.833B,5.901B,990.00M,4.911B,,1.36,,1.36,1.36,,1.33,,1.33,1.33,,2.810B,2.893B,0.66,,AOR,Restated
2013-03,17.50B,17.50B,5.554B,11.95B,5.223B,1.848B,,125.00M,21.00M,-104.00M,7.071B,4.88B,21.00M,125.00M,-104.00M,-515.00M,-104.00M,4.261B,764.00M,3.497B,,3.497B,3.497B,5.422B,1.036B,4.386B,,1.25,,1.25,1.25,,1.22,,1.22,1.22,,2.790B,2.859B,0.61,,AOR,Restated
2012-12,17.56B,17.56B,6.003B,11.56B,5.661B,2.386B,,107.00M,18.00M,-89.00M,8.047B,3.508B,18.00M,107.00M,-89.00M,-319.00M,-89.00M,3.10B,533.00M,2.567B,0.00,2.567B,2.567B,4.243B,1.036B,3.207B,,0.9239,,0.9239,0.9239,,0.91,,0.91,0.91,,2.772B,2.835B,0.61,,AOR,Restated
2012-09,17.05B,17.05B,5.597B,11.46B,5.228B,2.602B,,135.00M,15.00M,-120.00M,7.83B,3.625B,15.00M,135.00M,-120.00M,90.00M,-120.00M,3.595B,966.00M,2.629B,339.00M,2.968B,2.968B,4.735B,1.005B,3.73B,,1.08,,1.08,1.08,,1.05,,1.05,1.05,,2.757B,2.818B,0.61,,AOR,Restated
2012-06,16.48B,16.48B,5.143B,11.33B,4.965B,2.195B,,143.00M,14.00M,-129.00M,7.16B,4.172B,14.00M,143.00M,-129.00M,-2.008B,-129.00M,2.035B,627.00M,1.408B,,1.408B,1.408B,3.03B,852.00M,2.178B,,0.51,,0.51,0.51,,0.50,,0.50,0.50,,2.747B,2.798B,0.61,,AOR,Restated
2012-03,16.14B,16.14B,4.915B,11.22B,5.015B,1.645B,,147.00M,17.00M,-130.00M,6.66B,4.564B,17.00M,147.00M,-130.00M,611.00M,-130.00M,5.045B,1.135B,3.91B,,3.91B,3.91B,5.965B,773.00M,5.192B,,1.43,,1.43,1.43,,1.41,,1.41,1.41,,2.737B,2.775B,0.57,,AOR,Restated
2011-12,16.26B,16.26B,5.338B,10.92B,5.458B,2.155B,-95.00M,183.00M,35.00M,-148.00M,7.613B,3.304B,35.00M,183.00M,-148.00M,-2.838B,-148.00M,318.00M,100.00M,218.00M,0.00,218.00M,283.13M,1.344B,843.00M,501.00M,,0.09,,0.1139,0.09,,0.09,,0.1135,0.09,,2.728B,2.768B,0.57,,AOR,Restated
2011-09,16.00B,16.00B,5.072B,10.93B,5.24B,1.773B,308.00M,134.00M,17.00M,-117.00M,7.013B,3.92B,17.00M,134.00M,-117.00M,308.00M,-117.00M,4.111B,909.00M,3.202B,0.00,3.202B,2.962B,5.028B,783.00M,4.245B,,1.17,0.00,1.082,1.17,,1.15,0.00,1.064,1.15,,2.737B,2.778B,0.57,,AOR,Restated
2011-06,16.60B,16.60B,5.172B,11.42B,5.215B,1.882B,-795.00M,129.00M,18.00M,-111.00M,7.097B,4.328B,18.00M,129.00M,-111.00M,-795.00M,-111.00M,3.422B,646.00M,2.776B,,2.776B,3.421B,4.328B,777.00M,3.551B,,1.01,0.00,1.245,1.01,,1.00,0.00,1.232,1.00,,2.740B,2.781B,0.57,,AOR,Restated
2011-03,16.17B,16.17B,4.778B,11.40B,5.056B,1.738B,13.00M,125.00M,21.00M,-104.00M,6.794B,4.601B,21.00M,125.00M,-104.00M,13.00M,-104.00M,4.51B,1.034B,3.476B,,3.476B,3.466B,5.39B,755.00M,4.635B,,1.27,0.00,1.266,1.27,,1.25,0.00,1.246,1.25,,2.738B,2.773B,0.54,,AOR,Restated
2010-12,15.64B,15.64B,5.04B,10.60B,5.18B,1.982B,-1.868B,138.00M,24.00M,-114.00M,7.162B,3.442B,24.00M,138.00M,-114.00M,-1.10B,-114.00M,2.228B,286.00M,1.942B,,1.942B,3.570B,3.135B,769.00M,2.366B,,0.71,,1.304,0.71,,0.70,,1.286,0.70,,2.743B,2.779B,0.54,,AOR,Restated
2010-09,14.98B,14.98B,4.594B,10.39B,4.709B,1.657B,292.00M,108.00M,13.00M,-95.00M,6.366B,4.022B,13.00M,108.00M,-95.00M,292.00M,-95.00M,4.219B,802.00M,3.417B,,3.417B,3.181B,5.052B,725.00M,4.327B,,1.24,0.00,1.154,1.24,,1.23,0.00,1.145,1.23,,2.752B,2.786B,0.54,,AOR,Restated
2010-06,15.33B,15.33B,4.63B,10.70B,4.756B,1.648B,-18.00M,101.00M,43.00M,-58.00M,6.404B,4.296B,43.00M,101.00M,-58.00M,-18.00M,-58.00M,4.22B,771.00M,3.449B,,3.449B,3.464B,5.032B,711.00M,4.321B,,1.25,0.00,1.255,1.25,,1.23,0.00,1.235,1.23,,2.757B,2.796B,0.54,,AOR,Restated
2010-03,15.63B,15.63B,4.528B,11.10B,4.779B,1.557B,1.594B,108.00M,27.00M,-81.00M,6.336B,4.767B,27.00M,108.00M,-81.00M,1.594B,-81.00M,6.28B,1.754B,4.526B,,4.526B,3.377B,7.122B,734.00M,6.388B,,1.64,0.00,1.223,1.64,,1.62,0.00,1.209,1.62,,2.755B,2.797B,0.49,,AOR,Restated
2009-12,16.55B,16.55B,5.312B,11.24B,5.629B,2.213B,-712.00M,93.00M,12.00M,-81.00M,7.842B,3.397B,12.00M,93.00M,-81.00M,-712.00M,-81.00M,2.604B,398.00M,2.206B,,2.206B,2.809B,3.441B,744.00M,2.697B,,0.81,0.00,1.029,0.81,,0.79,0.00,1.006,0.79,,2.758B,2.793B,0.49,,AOR,Restated
2009-09,15.08B,15.08B,4.434B,10.65B,4.767B,1.617B,96.00M,142.00M,28.00M,-114.00M,6.384B,4.263B,28.00M,142.00M,-114.00M,96.00M,-114.00M,4.245B,900.00M,3.345B,,3.345B,3.269B,5.062B,675.00M,4.387B,,1.21,0.00,1.183,1.21,,1.20,0.00,1.173,1.20,,2.756B,2.793B,0.49,,AOR,Restated
2009-06,15.24B,15.24B,4.45B,10.79B,4.797B,1.638B,-6.00M,110.00M,25.00M,-85.00M,6.435B,4.354B,25.00M,110.00M,-85.00M,-6.00M,-85.00M,4.263B,1.055B,3.208B,,3.208B,3.213B,5.052B,679.00M,4.373B,,1.16,0.00,1.162,1.16,,1.15,0.00,1.152,1.15,,2.756B,2.782B,0.49,,AOR,Restated
2009-03,15.03B,15.03B,4.251B,10.78B,4.608B,1.518B,75.00M,106.00M,25.00M,-81.00M,6.126B,4.649B,25.00M,106.00M,-81.00M,75.00M,-81.00M,4.643B,1.136B,3.507B,,3.507B,3.450B,5.425B,676.00M,4.749B,,1.27,0.00,1.250,1.27,,1.26,0.00,1.240,1.26,,2.766B,2.790B,0.46,,AOR,Restated
2008-12,15.18B,15.18B,4.372B,10.81B,5.665B,2.108B,1.211B,110.00M,93.00M,-17.00M,7.733B,3.077B,93.00M,110.00M,-17.00M,1.211B,-17.00M,3.517B,803.00M,2.714B,,2.714B,1.779B,4.342B,715.00M,3.627B,,0.98,0.00,0.6432,0.98,,0.97,0.00,0.6361,0.97,,2.774B,2.799B,0.46,,AOR,Restated
2008-09,15.92B,15.92B,4.774B,11.15B,5.195B,1.861B,224.00M,122.00M,97.00M,-25.00M,7.056B,4.091B,97.00M,122.00M,-25.00M,224.00M,-25.00M,4.29B,980.00M,3.31B,,3.31B,3.137B,5.18B,768.00M,4.412B,,1.19,0.00,1.128,1.19,,1.17,0.00,1.109,1.17,,2.791B,2.831B,0.46,,,Restated
2008-06,16.45B,16.45B,4.751B,11.70B,5.507B,1.936B,135.00M,105.00M,89.00M,-16.00M,7.443B,4.256B,89.00M,105.00M,-16.00M,135.00M,-16.00M,4.375B,1.048B,3.327B,,3.327B,3.224B,5.163B,683.00M,4.48B,,1.18,0.00,1.143,1.18,,1.17,0.00,1.134,1.17,,2.810B,2.845B,0.46,,,Restated
2008-03,16.19B,16.19B,4.614B,11.58B,5.123B,1.712B,18.00M,98.00M,82.00M,-16.00M,6.835B,4.745B,82.00M,98.00M,-16.00M,18.00M,-16.00M,4.747B,1.149B,3.598B,,3.598B,3.584B,5.511B,666.00M,4.845B,,1.27,0.00,1.265,1.27,,1.26,0.00,1.255,1.26,,2.832B,2.866B,0.415,,,Restated
2007-12,15.96B,15.96B,4.734B,11.22B,5.721B,2.328B,-877.00M,,,,8.049B,3.174B,,,,-877.00M,,2.332B,-42.00M,2.374B,,2.374B,2.944B,2.415B,875.00M,1.54B,,0.83,0.00,1.030,0.83,,0.82,0.00,1.018,0.82,,2.856B,2.885B,0.415,,,Restated
2007-09,14.97B,14.97B,4.274B,10.70B,4.899B,1.834B,-747.00M,,,,6.733B,3.963B,,,,-747.00M,,3.268B,720.00M,2.548B,,2.548B,3.130B,4.56B,597.00M,3.963B,,0.88,0.00,1.082,0.88,,0.88,0.00,1.080,0.88,,2.888B,2.913B,0.415,,,
2007-06,15.13B,15.13B,4.358B,10.77B,5.029B,1.866B,117.00M,,,,6.895B,3.878B,,,,117.00M,,4.031B,950.00M,3.081B,,3.081B,2.992B,4.561B,683.00M,3.878B,,1.06,0.00,1.029,1.06,,1.05,0.00,1.019,1.05,,2.895B,2.922B,0.415,,,
2007-03,15.04B,15.04B,4.385B,10.65B,4.802B,1.652B,-579.00M,,,,6.454B,4.198B,,,,-579.00M,,3.652B,1.079B,2.573B,,2.573B,2.981B,4.82B,622.00M,4.198B,,0.89,0.00,1.031,0.89,,0.88,0.00,1.019,0.88,,2.894B,2.924B,0.375,,,
2006-12,13.68B,13.68B,4.007B,9.675B,4.696B,2.046B,-420.00M,,,,6.742B,2.933B,,,,-420.00M,,2.708B,540.00M,2.168B,,2.168B,2.504B,3.504B,571.00M,2.933B,,0.75,0.00,0.8655,0.75,,0.74,0.00,0.8544,0.74,,2.912B,2.939B,0.375,,,
2006-09,13.29B,13.29B,3.65B,9.637B,4.291B,1.719B,-160.00M,,,,6.01B,3.627B,,,,-160.00M,,3.661B,901.00M,2.76B,,2.76B,2.881B,4.166B,539.00M,3.627B,,0.95,0.00,0.9913,0.95,,0.94,0.00,0.9809,0.94,,2.92B,2.948B,0.375,,,
2006-06,13.36B,13.36B,3.788B,9.575B,4.351B,1.828B,11.00M,,,,6.179B,3.396B,,,,11.00M,,3.603B,783.00M,2.82B,,2.82B,2.811B,3.942B,546.00M,3.396B,,0.96,0.00,0.9571,0.96,,0.95,0.00,0.9471,0.95,,2.954B,2.974B,0.375,,,
2006-03,12.99B,12.99B,3.612B,9.38B,4.095B,1.532B,681.00M,,,,5.627B,3.753B,,,,681.00M,,4.615B,1.31B,3.305B,,3.305B,2.817B,4.274B,521.00M,3.753B,,1.10,0.00,0.9360,1.10,,1.10,0.00,0.9370,1.10,,2.974B,2.993B,0.33,,,
2005-12,12.61B,12.61B,3.638B,8.972B,4.645B,2.014B,21.00M,,,,6.659B,2.313B,,,,21.00M,,2.503B,408.00M,2.095B,,2.095B,2.077B,2.82B,507.00M,2.313B,,0.70,0.00,0.6941,0.70,,0.70,0.00,0.6941,0.70,,2.985B,2.987B,0.33,,,
2005-09,12.31B,12.31B,3.354B,8.956B,4.161B,1.539B,63.00M,,,,5.70B,3.256B,,,,63.00M,,3.42B,882.00M,2.538B,,2.538B,2.491B,3.779B,523.00M,3.256B,,0.85,0.00,0.8343,0.85,,0.85,0.00,0.8344,0.85,,2.975B,3.006B,0.33,,,
2005-06,12.76B,12.76B,3.522B,9.24B,4.278B,1.525B,-265.00M,,,,5.803B,3.437B,,,,-265.00M,,3.266B,678.00M,2.588B,,2.588B,2.798B,3.985B,548.00M,3.437B,,0.87,0.00,0.9406,0.87,,0.86,0.00,0.9294,0.86,,2.974B,3.025B,0.33,,,
2005-03,12.83B,12.83B,3.496B,9.336B,4.127B,1.384B,33.00M,,,,5.511B,3.825B,,,,33.00M,,3.927B,1.088B,2.839B,,2.839B,2.815B,4.34B,515.00M,3.825B,,0.96,0.00,0.9520,0.96,,0.94,0.00,0.9321,0.94,,2.972B,3.024B,0.285,,,
2004-12,12.75B,12.75B,3.758B,8.994B,4.969B,1.868B,-51.00M,,,,6.837B,2.157B,,,,-51.00M,,2.118B,1.23B,888.00M,,888.00M,918.60M,2.775B,618.00M,2.157B,,0.2933,,0.3036,0.2933,,0.2933,0.00,0.3036,0.2933,,2.968B,2.968B,0.285,,,
2004-09,11.55B,11.55B,3.187B,8.366B,3.854B,1.198B,-59.00M,,,,5.052B,3.314B,,,,-59.00M,,3.274B,933.00M,2.341B,,2.341B,2.383B,3.793B,479.00M,3.314B,,0.79,0.00,0.8042,0.79,,0.78,0.00,0.7940,0.78,,2.968B,3.009B,0.285,,,
2004-06,11.48B,11.48B,3.162B,8.322B,3.711B,1.182B,23.00M,,,,4.893B,3.429B,,,,23.00M,,3.435B,977.00M,2.458B,,2.458B,2.442B,3.954B,525.00M,3.429B,,0.83,0.00,0.8245,0.83,,0.82,0.00,0.8145,0.82,,2.968B,3.005B,0.285,,,
2004-03,11.56B,11.56B,3.367B,8.192B,3.64B,1.095B,53.00M,,,,4.735B,3.457B,,,,53.00M,,3.504B,1.011B,2.493B,,2.493B,2.455B,3.959B,502.00M,3.457B,,0.84,0.00,0.8273,0.84,,0.83,0.00,0.8174,0.83,,2.968B,3.005B,0.24,,,
2003-12,11.25B,11.25B,3.508B,7.746B,4.054B,1.489B,182.00M,,,,5.543B,2.203B,,,,182.00M,,2.374B,529.00M,1.845B,,1.845B,1.704B,2.725B,522.00M,2.203B,,0.6249,,0.5772,0.6249,,0.51,0.00,0.4700,0.51,,2.968B,3.535B,0.24,,,
2003-09,10.46B,10.46B,2.98B,7.475B,3.428B,1.177B,91.00M,,,,4.605B,2.87B,,,,91.00M,,2.949B,877.00M,2.072B,,2.072B,2.008B,3.349B,479.00M,2.87B,,0.70,0.00,0.6785,0.70,,0.69,0.00,0.6687,0.69,,2.968B,3.008B,0.24,,,
2003-06,10.33B,10.33B,2.966B,7.366B,3.396B,1.082B,-825.00M,,,,4.478B,2.888B,,,,-825.00M,,2.056B,846.00M,1.21B,,1.21B,1.705B,3.31B,422.00M,2.888B,,0.41,0.00,0.5768,0.41,,0.40,0.00,0.5641,0.40,,2.968B,3.016B,0.24,,,
2003-03,9.821B,9.821B,2.722B,7.099B,3.253B,936.00M,19.00M,,,,4.189B,2.91B,,,,19.00M,,2.929B,859.00M,2.07B,,2.07B,2.057B,3.356B,446.00M,2.91B,,0.70,0.00,0.6955,0.70,,0.69,0.00,0.6856,0.69,,2.968B,3.018B,0.205,,,
2002-12,9.403B,9.403B,2.797B,6.606B,3.35B,1.242B,-177.00M,,,,4.592B,2.014B,,,,-177.00M,,1.849B,465.00M,1.384B,,1.384B,1.516B,2.402B,388.00M,2.014B,,0.47,0.00,0.5146,0.47,,0.46,0.00,0.5039,0.46,,2.974B,3.019B,0.205,,,
