,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2013-12,1.116B,1.116B,628.27M,487.79M,148.84M,174.48M,,,15.30M,2.828M,-12.47M,,323.32M,164.47M,2.828M,15.30M,-12.47M,8.632M,-12.47M,160.64M,11.64M,148.99M,,148.99M,148.88M,249.49M,73.55M,175.93M,,0.92,,,0.9193,0.92,,0.87,,,0.8693,0.87,,162.30M,171.76M,,,AOR,Restated
2013-09,1.015B,1.015B,583.20M,431.86M,155.88M,170.57M,,,15.30M,2.723M,-12.58M,,326.45M,105.41M,2.723M,15.30M,-12.58M,-1.683M,-12.58M,91.15M,5.64M,85.51M,,85.51M,85.71M,180.78M,74.33M,106.45M,,0.52,,,0.5213,0.52,,0.50,,,0.5012,0.50,,162.90M,171.36M,,,AOR,Restated
2013-06,986.21M,986.21M,572.29M,413.93M,147.21M,180.22M,,,15.11M,3.326M,-11.79M,,327.43M,86.50M,3.326M,15.11M,-11.79M,-0.463M,-11.79M,74.25M,-11.46M,85.71M,,85.71M,86.92M,165.41M,76.05M,89.36M,,0.53,,,0.5375,0.53,,0.50,,,0.5071,0.50,,162.68M,170.80M,,,AOR,Restated
2013-03,844.93M,844.93M,505.10M,339.83M,154.81M,174.21M,,,15.18M,3.235M,-11.94M,,329.01M,10.82M,3.235M,15.18M,-11.94M,-3.894M,-11.94M,-5.015M,-24.01M,19.00M,,19.00M,19.84M,85.02M,74.86M,10.16M,,0.12,,,0.1252,0.12,,0.11,,,0.1150,0.11,,163.03M,168.50M,,,AOR,Restated
2012-12,860.89M,860.89M,545.47M,315.41M,145.42M,165.95M,,,14.98M,4.376M,-10.60M,,311.37M,4.042M,4.376M,14.98M,-10.60M,-2.791M,-10.60M,-9.348M,-15.76M,6.408M,,6.408M,8.536M,84.02M,78.39M,5.627M,,0.04,,,0.0525,0.04,,0.04,,,0.0523,0.04,,170.70M,173.03M,,,AOR,Restated
2012-09,906.89M,906.89M,573.00M,333.89M,153.86M,163.31M,,,15.14M,3.80M,-11.34M,,317.17M,16.71M,3.80M,15.14M,-11.34M,1.406M,-11.34M,6.774M,4.006M,2.768M,,2.768M,3.007M,96.73M,74.82M,21.92M,,0.02,,,0.0213,0.02,,0.02,,,0.0213,0.02,,179.93M,181.93M,,,AOR,Restated
2012-06,741.81M,741.81M,443.60M,298.21M,142.74M,124.53M,,,10.93M,4.121M,-6.813M,,267.27M,30.94M,4.121M,10.93M,-6.813M,-1.351M,-6.813M,22.78M,4.712M,18.07M,,18.07M,17.31M,68.29M,34.58M,33.72M,,0.13,,,0.1243,0.13,,0.13,,,0.1244,0.13,,133.99M,135.44M,,,AOR,Restated
2012-03,658.96M,658.96M,391.81M,267.15M,95.58M,113.45M,,0.00,9.422M,2.959M,-6.463M,,209.03M,58.12M,2.959M,9.422M,-6.463M,2.895M,-6.463M,54.55M,8.946M,45.60M,,45.60M,45.71M,86.49M,22.52M,63.97M,,0.38,,,0.3809,0.38,,0.38,,,0.3809,0.38,,119.84M,120.96M,,,AOR,Restated
2011-12,583.98M,583.98M,349.16M,234.83M,83.26M,104.02M,,0.00,,,,,187.28M,47.55M,,,,-7.785M,,39.76M,6.549M,33.21M,,33.21M,33.21M,69.92M,22.37M,47.55M,,0.28,,,0.28,0.28,,0.27,,,0.27,0.27,,119.74M,120.87M,,,AOR,Restated
2011-09,680.44M,680.44M,396.55M,283.88M,80.20M,102.56M,,-1.725M,9.26M,2.589M,-6.671M,,182.76M,101.12M,2.589M,9.26M,-6.671M,-7.127M,-6.671M,87.33M,15.49M,71.84M,,71.84M,74.15M,117.95M,21.36M,96.59M,,0.58,,,0.5988,0.58,,0.58,,,0.5987,0.58,,123.13M,124.05M,,,AOR,Restated
2011-06,752.02M,752.02M,413.56M,338.45M,79.94M,99.58M,,-19.71M,5.062M,2.607M,-2.455M,,179.52M,158.93M,2.607M,5.062M,-2.455M,-19.36M,-2.455M,137.06M,11.13M,125.93M,,125.93M,146.62M,162.09M,19.97M,142.12M,,1.02,,,1.187,1.02,,1.01,,,1.176,1.01,,123.67M,124.78M,,,AOR,Restated
2011-03,809.09M,809.09M,435.07M,374.02M,80.14M,96.88M,,0.297M,0.107M,2.237M,2.13M,,177.02M,197.00M,2.237M,0.107M,2.13M,-0.408M,2.13M,198.66M,16.42M,182.24M,,182.24M,182.61M,216.94M,18.18M,198.77M,,1.47,0.00,,1.473,1.47,,1.45,0.00,,1.453,1.45,,123.67M,125.29M,,,AOR,Restated
2010-12,870.71M,870.71M,463.28M,407.43M,75.85M,90.48M,,1.621M,0.11M,2.635M,2.525M,,166.33M,241.10M,2.635M,0.11M,2.525M,-1.487M,2.525M,242.14M,20.29M,221.86M,,221.86M,223.22M,260.92M,18.66M,242.25M,,1.80,0.00,,1.811,1.80,,1.78,0.00,,1.791,1.78,,123.10M,124.79M,,,AOR,Restated
2010-09,805.87M,805.87M,428.55M,377.33M,72.14M,86.35M,,5.053M,0.101M,2.411M,2.31M,,158.50M,218.83M,2.411M,0.101M,2.31M,1.874M,2.31M,223.02M,29.29M,193.72M,,193.72M,192.10M,241.06M,17.95M,223.12M,,1.57,0.00,,1.557,1.57,,1.55,0.00,,1.537,1.55,,123.66M,125.20M,,,AOR,Restated
2010-06,695.29M,695.29M,373.85M,321.44M,66.78M,85.64M,,-9.78M,0.126M,1.763M,1.637M,0.00,152.42M,169.02M,1.763M,0.126M,1.637M,-11.40M,1.637M,159.26M,19.26M,140.00M,,140.00M,147.51M,177.05M,17.66M,159.38M,,1.10,,,1.159,1.10,,1.10,,,1.159,1.10,,126.35M,127.40M,,,AOR,Restated
2010-03,632.76M,632.76M,339.89M,292.87M,61.93M,81.84M,,-1.463M,0.434M,2.863M,2.429M,,143.78M,149.09M,2.863M,0.434M,2.429M,-0.813M,2.429M,150.71M,30.41M,120.30M,,120.30M,120.95M,169.02M,17.87M,151.14M,,0.94,0.00,,0.9451,0.94,,0.94,0.00,,0.9450,0.94,,127.31M,128.59M,,,AOR,Restated
2009-12,487.18M,487.18M,265.99M,221.19M,41.75M,82.17M,,-7.74M,0.245M,2.008M,1.763M,,123.92M,97.27M,2.008M,0.245M,1.763M,-7.74M,1.763M,91.29M,21.72M,69.57M,,69.57M,75.47M,109.72M,18.18M,91.54M,,0.55,0.00,,0.5963,0.55,,0.54,0.00,,0.5858,0.54,,127.30M,128.83M,,,AOR,Restated
2009-09,318.55M,318.55M,184.11M,134.44M,31.89M,71.20M,,-4.32M,0.189M,2.048M,1.859M,,103.09M,31.34M,2.048M,0.189M,1.859M,-4.32M,1.859M,28.88M,12.09M,16.80M,,16.80M,19.60M,46.75M,17.68M,29.07M,,0.13,0.00,,0.1522,0.13,,0.13,0.00,,0.1520,0.13,,126.77M,127.89M,,,AOR,Restated
2009-06,217.76M,217.76M,150.01M,67.76M,55.13M,67.49M,,-12.39M,0.315M,2.996M,2.681M,,120.37M,-52.61M,2.996M,0.315M,2.681M,-12.39M,2.681M,-62.32M,26.17M,-88.49M,,-88.49M,-80.44M,-44.31M,17.69M,-62.00M,,-0.71,0.00,,-0.6462,-0.71,,-0.71,0.00,,-0.6462,-0.71,,126.28M,126.28M,,,AOR,Restated
2009-03,174.41M,174.41M,137.90M,36.52M,58.52M,70.43M,,-92.82M,1.146M,5.36M,4.214M,0.646M,129.60M,-93.08M,5.36M,1.146M,4.214M,-92.82M,4.214M,-181.69M,16.67M,-198.36M,,-198.36M,-138.03M,-160.89M,19.65M,-180.54M,,-1.58,0.00,,-1.100,-1.58,,-1.58,0.00,,-1.100,-1.58,,125.57M,125.57M,,,AOR,Restated
2008-12,283.41M,283.41M,182.06M,101.35M,59.84M,68.78M,,-23.00M,2.483M,8.131M,5.648M,,128.62M,-27.27M,8.131M,2.483M,5.648M,-23.00M,5.648M,-44.62M,-20.45M,-24.17M,,-24.17M,-9.221M,-24.96M,17.18M,-42.14M,,-0.19,0.00,,-0.0705,-0.19,,-0.19,0.00,,-0.0705,-0.19,,125.08M,125.08M,,,,Restated
2008-09,440.36M,440.36M,257.25M,183.11M,69.06M,81.56M,,-12.19M,2.553M,7.796M,5.243M,,150.62M,32.49M,7.796M,2.553M,5.243M,-12.19M,5.243M,25.54M,16.66M,8.873M,,8.873M,16.80M,45.98M,17.90M,28.09M,,0.07,0.00,,0.1331,0.07,,0.07,0.00,,0.1325,0.07,,125.53M,126.82M,,,,Restated
2008-06,566.16M,566.16M,331.51M,234.65M,33.92M,86.65M,,-47.59M,,,,,164.36M,70.29M,,,,-47.59M,,74.27M,2.094M,72.18M,,72.18M,118.42M,87.00M,16.70M,70.29M,,0.57,0.00,,0.9398,0.57,,0.57,0.00,,0.9358,0.57,,125.06M,126.42M,,,,
2008-03,613.81M,613.81M,326.60M,287.21M,118.28M,80.58M,,37.97M,,,,,198.85M,88.36M,,,,37.97M,,135.89M,32.36M,103.52M,,103.52M,74.60M,102.24M,13.89M,88.36M,,0.83,0.00,,0.5981,0.83,,0.82,0.00,,0.5914,0.82,,124.77M,126.55M,,,,
2007-12,610.32M,610.32M,302.66M,307.66M,66.08M,80.24M,,-11.36M,,,,,146.33M,161.33M,,,,-11.36M,,161.30M,46.24M,115.06M,,115.06M,123.17M,173.29M,11.96M,161.33M,,0.92,0.00,,0.9850,0.92,,0.91,0.00,,0.9740,0.91,,124.68M,126.65M,,,,
2007-09,684.62M,684.62M,340.73M,343.89M,69.71M,76.29M,,-2.218M,,,,,146.00M,197.89M,,,,-2.218M,,205.52M,56.93M,148.59M,,148.59M,150.19M,210.04M,12.16M,197.89M,,1.20,0.00,,1.213,1.20,,1.18,0.00,,1.193,1.18,,124.06M,126.36M,,,,
2007-06,678.52M,678.52M,335.79M,342.73M,62.78M,79.60M,,1.428M,,,,,158.21M,184.52M,,,,1.428M,,211.22M,40.99M,170.23M,,170.23M,169.08M,196.27M,11.75M,184.52M,,1.30,0.00,,1.291,1.30,,1.28,0.00,,1.271,1.28,,130.31M,132.96M,,,,
2007-03,650.27M,650.27M,324.02M,326.24M,62.21M,75.06M,,-0.005M,,,,,137.27M,188.97M,,,,-0.005M,,203.72M,38.98M,164.74M,,164.74M,164.75M,200.42M,11.45M,188.97M,,1.17,0.00,,1.170,1.17,,1.15,0.00,,1.150,1.15,,140.42M,143.05M,,,,
2006-12,633.40M,633.40M,310.48M,322.92M,59.35M,69.06M,,-2.348M,,,,,128.41M,194.50M,,,,-2.348M,,207.60M,40.27M,167.33M,,167.33M,169.22M,202.33M,7.823M,194.50M,,1.18,0.00,,1.193,1.18,,1.15,0.00,,1.163,1.15,,142.31M,145.35M,,,,
2006-09,604.39M,604.39M,291.22M,313.16M,56.71M,61.62M,,16.14M,,,,,118.33M,194.83M,,,,16.14M,,225.18M,41.66M,183.52M,,183.52M,170.37M,201.24M,6.41M,194.83M,,1.29,0.00,,1.197,1.29,,1.27,0.00,,1.179,1.27,,141.93M,144.85M,,,,
2006-06,525.60M,525.60M,251.83M,273.77M,54.55M,61.31M,,-28.11M,,,,,115.86M,157.91M,,,,-28.11M,,167.31M,45.70M,121.60M,,121.60M,142.04M,164.10M,6.196M,157.91M,,0.87,0.00,,1.015,0.87,,0.84,0.00,,0.9808,0.84,,141.22M,145.14M,,,,
2006-03,437.42M,437.42M,217.77M,219.65M,48.30M,61.08M,,7.828M,,,,,109.39M,110.27M,,,,7.828M,,118.10M,31.76M,86.34M,,86.34M,80.61M,116.13M,5.861M,110.27M,,0.62,0.00,,0.5792,0.62,,0.60,0.00,,0.5605,0.60,,140.12M,144.85M,,,,
2005-12,358.24M,358.24M,180.74M,177.51M,44.86M,55.74M,,1.013M,,,,,100.60M,76.91M,,,,1.013M,,86.22M,8.439M,77.78M,,77.78M,76.86M,82.71M,5.798M,76.91M,,0.57,0.00,,0.5633,0.57,,0.55,0.00,,0.5436,0.55,,136.57M,142.52M,,,,
2005-09,320.91M,320.91M,164.83M,156.08M,45.16M,51.24M,,8.488M,,,,,96.40M,59.68M,,,,8.488M,,68.17M,18.68M,49.49M,,49.49M,43.33M,66.51M,6.828M,59.68M,,0.36,0.00,,0.3148,0.36,,0.35,0.00,,0.3064,0.35,,136.45M,141.43M,,,,
2005-06,353.77M,353.77M,178.54M,175.23M,44.91M,50.65M,,-9.953M,,,,,95.56M,79.67M,,,,-9.953M,,85.84M,21.40M,64.44M,,64.44M,71.91M,86.65M,6.976M,79.67M,,0.47,0.00,,0.5242,0.47,,0.45,0.00,,0.5027,0.45,,137.77M,141.82M,,,,
2005-03,349.34M,349.34M,174.77M,174.57M,34.52M,47.23M,,-13.56M,,,,,81.74M,92.83M,,,,-13.56M,,79.27M,19.82M,59.45M,,59.45M,69.62M,99.91M,7.085M,92.83M,,0.42,0.00,,0.4926,0.42,,0.41,0.00,,0.4802,0.41,,139.97M,144.76M,,,,
2004-12,379.80M,379.80M,180.90M,198.90M,43.28M,47.06M,,-1.447M,,,,,90.33M,108.57M,,,,-1.447M,,109.87M,26.25M,83.61M,,83.61M,84.72M,116.16M,7.593M,108.57M,,0.61,0.00,,0.6180,0.61,,0.59,0.00,,0.5977,0.59,,137.26M,142.27M,,,,
2004-09,419.55M,419.55M,204.79M,214.76M,43.13M,50.36M,,0.008M,,,,,93.48M,121.28M,,,,0.008M,,121.28M,31.53M,89.75M,,89.75M,89.74M,128.42M,7.148M,121.28M,,0.66,0.00,,0.6600,0.66,,0.64,0.00,,0.6400,0.64,,135.48M,139.81M,,,,
2004-06,329.57M,329.57M,170.37M,159.20M,40.71M,49.96M,,-3.605M,,,,,90.67M,68.53M,,,,-3.605M,,70.21M,17.55M,52.66M,,52.66M,55.36M,75.92M,7.393M,68.53M,,0.36,0.00,,0.3759,0.36,,0.32,0.00,,0.3336,0.32,,169.95M,199.14M,,,,
2004-03,231.13M,231.13M,125.02M,106.11M,37.22M,42.91M,,-0.44M,,,,,80.13M,25.98M,,,,-0.44M,,25.54M,6.385M,19.16M,,19.16M,19.49M,36.05M,10.07M,25.98M,,0.14,0.00,,0.1425,0.14,,0.13,0.00,,0.1322,0.13,,133.25M,147.36M,,,,
2003-12,191.51M,191.51M,104.29M,87.22M,34.14M,39.08M,,-5.475M,,,,,73.22M,14.00M,,,,-5.475M,,8.521M,2.13M,6.391M,,6.391M,10.50M,20.68M,6.682M,14.00M,,0.05,0.00,,0.0813,0.05,,0.05,0.00,,0.0794,0.05,,131.02M,139.66M,,,,
2003-09,183.74M,183.74M,105.22M,78.52M,33.99M,38.53M,,-1.744M,,,,,72.52M,5.999M,,,,-1.744M,,6.381M,1.595M,4.786M,,4.786M,6.094M,17.23M,11.23M,5.999M,,0.04,0.00,,0.0502,0.04,,0.04,0.00,,0.0497,0.04,,128.35M,134.89M,,,,
2003-06,186.09M,186.09M,108.96M,77.12M,34.50M,40.39M,,-17.80M,,,,,74.89M,2.232M,,,,-17.80M,,-5.863M,-9.562M,3.699M,,3.699M,14.38M,11.67M,9.439M,2.232M,,0.03,0.00,,0.1142,0.03,,0.03,0.00,,0.1142,0.03,,126.87M,126.87M,,,,
2003-03,187.06M,187.06M,111.84M,75.22M,33.24M,38.98M,,-1.933M,,,,,72.23M,2.995M,,,,-1.933M,,1.062M,0.265M,0.797M,,0.797M,2.248M,16.38M,13.38M,2.995M,,0.01,0.00,,0.0215,0.01,,0.01,0.00,,0.0212,0.01,,125.99M,129.55M,,,,
