,NetIncome,Gain/LossonSaleBusiness,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2014-12,176.94M,0.00,,0.00,,,69.54M,69.54M,3.32M,,,30.63M,0.542M,12.04M,,-131.78M,161.24M,,-61.36M,,,0.00,-321.59M,4.078M,-378.88M,,-0.674M,,-0.674M,4.223M,-65.54M,-61.31M,-29.38M,-29.38M,,0.599M,-90.77M,,1.294B,-308.40M,-3.998M,981.28M,,4.223M,,-0.674M,-65.54M,,AOR,Restated
2014-09,141.08M,-7.431M,,-7.431M,,,67.88M,67.88M,3.186M,,,32.04M,-0.543M,13.39M,,-108.44M,141.16M,,-41.87M,,,40.08M,9.645M,0.022M,7.871M,,-0.107M,,-0.107M,21.53M,-308.42M,-286.89M,-29.24M,-29.24M,,10.40M,-305.84M,,1.453B,-156.80M,-2.194M,1.294B,,21.53M,,-0.107M,-308.42M,,AOR,Restated
2014-06,233.40M,0.00,,-83.09M,,,71.12M,71.12M,-4.104M,,0.00,33.08M,-0.092M,19.07M,,-23.49M,245.89M,,-41.76M,,,-11.84M,-155.04M,134.12M,-74.51M,,-0.739M,,-0.739M,23.25M,-40.25M,-17.00M,0.00,0.00,,6.361M,-11.37M,,1.292B,160.00M,0.371M,1.453B,,23.25M,0.00,-0.739M,-40.25M,,AOR,Restated
2014-03,164.40M,0.00,,0.00,,,73.26M,73.26M,-0.816M,,4.00M,24.33M,0.00,11.05M,,13.99M,290.21M,,-41.64M,,,0.00,-82.74M,28.57M,-95.81M,,-0.112M,,-0.112M,18.32M,-52.42M,-34.09M,0.00,0.00,,-0.296M,-34.50M,,1.133B,159.90M,-0.152M,1.292B,,18.32M,0.00,-0.112M,-52.42M,,AOR,Restated
2013-12,148.99M,0.00,,0.00,,,73.55M,73.55M,12.46M,,0.628M,23.05M,0.00,5.789M,,-135.44M,129.02M,,-38.32M,,,-18.39M,-88.75M,31.64M,-113.83M,,-0.719M,,-0.719M,8.414M,-47.91M,-39.50M,0.00,0.00,,,-40.22M,,1.156B,-25.02M,1.393M,1.133B,,8.414M,,-0.719M,-47.91M,,AOR,Restated
2013-09,85.51M,0.00,,0.00,,,74.33M,74.33M,0.00,,7.004M,23.24M,0.00,12.24M,,-150.39M,51.92M,,-23.78M,,,0.00,42.57M,0.15M,18.94M,,-0.088M,,-0.088M,27.73M,-104.28M,-76.56M,0.00,0.00,,,-76.64M,,1.162B,-5.781M,-0.508M,1.156B,,27.73M,,-0.088M,-104.28M,,AOR,Restated
2013-06,85.71M,,,,,,76.05M,76.05M,-22.88M,,0.00,25.24M,,15.68M,,-4.859M,174.99M,,-43.14M,,,-0.80M,-6.442M,-10.33M,-60.71M,,-0.698M,,-0.698M,29.56M,-2.275M,27.28M,,,,0.364M,26.95M,,1.019B,141.23M,2.136M,1.162B,,29.56M,,-0.698M,-2.275M,,AOR,Restated
2013-03,19.00M,,,,,,74.86M,74.86M,-27.93M,,3.711M,25.65M,,14.11M,,-6.931M,102.46M,,-34.77M,,,-0.40M,-12.08M,-0.032M,-47.27M,,-0.756M,,-0.756M,23.63M,-243.30M,-219.67M,,,,-0.903M,-221.33M,,1.190B,-166.15M,-4.934M,1.019B,,23.63M,,-0.756M,-243.30M,,AOR,Restated
2012-12,6.408M,,,,,,78.39M,78.39M,-7.32M,,0.00,24.03M,,25.18M,,66.54M,193.23M,,-38.92M,,,-8.716M,-23.25M,0.693M,-70.20M,,-0.115M,,-0.115M,6.583M,-355.01M,-348.43M,,,,,-348.54M,,1.411B,-225.51M,4.236M,1.190B,,6.583M,,-0.115M,-355.01M,,AOR,Restated
2012-09,2.768M,,,,,,74.82M,74.82M,-12.02M,,0.00,24.41M,,16.16M,,143.12M,249.26M,,-43.96M,,,,-16.64M,0.146M,-60.46M,,-0.665M,,-0.665M,10.88M,-355.08M,-344.20M,,,,,-344.87M,,1.565B,-156.06M,2.777M,1.411B,,10.88M,,-0.665M,-355.08M,,AOR,Restated
2012-06,18.07M,,,,,,34.58M,34.58M,39.36M,,0.00,29.17M,1.035M,14.22M,,-39.72M,96.72M,,-36.88M,,,418.68M,329.69M,-0.029M,711.46M,,-1.101M,,-1.101M,63.96M,-716.25M,-652.29M,,,,0.394M,-653.00M,,1.410B,155.18M,-0.69M,1.565B,,63.96M,,-1.101M,-716.25M,,AOR,Restated
2012-03,45.60M,,,,,,22.52M,22.52M,3.723M,,0.00,16.42M,-1.185M,7.915M,,51.41M,146.40M,,-27.98M,,,0.00,-282.22M,0.003M,-310.20M,,-1.024M,,-1.024M,8.203M,60.28M,68.48M,,,,0.137M,67.60M,,1.507B,-96.21M,-0.454M,1.410B,,8.203M,,-1.024M,60.28M,,AOR,Restated
2011-12,33.21M,,,,,,22.37M,22.37M,-0.633M,,0.00,18.22M,0.266M,6.895M,,88.68M,169.02M,,-26.68M,,,0.00,-14.93M,11.06M,-30.56M,,-1.576M,,-1.576M,1.311M,30.36M,31.67M,,,,0.204M,30.30M,,1.339B,168.76M,-1.147M,1.507B,,1.311M,,-1.576M,30.36M,,AOR,Restated
2011-09,71.84M,,,,,,21.36M,21.36M,0.00,,1.724M,17.74M,-1.292M,9.741M,,-34.22M,86.90M,,-15.73M,,,,-85.26M,0.017M,-100.97M,,-1.564M,,-1.564M,9.022M,-147.05M,-138.03M,,,,1.951M,-137.64M,,1.492B,-151.72M,-1.096M,1.339B,,9.022M,,-1.564M,-147.05M,,AOR,Restated
2011-06,,,,,,,19.97M,19.97M,-25.66M,,5.163M,14.79M,20.59M,-582.21M,,21.71M,198.11M,,-34.57M,-1.544M,91.38M,,-316.79M,1.536M,-351.37M,,882.75M,,882.75M,9.697M,-203.34M,-193.64M,,,,-122.94M,699.99M,,942.71M,546.73M,2.688M,1.492B,,9.697M,,-0.081M,-203.34M,,AOR,Restated
2011-03,,,,,,,18.18M,18.18M,14.59M,0.00,0.00,12.46M,-11.88M,182.99M,,25.26M,241.59M,,-35.77M,1.544M,-91.38M,,-11.48M,-1.548M,-47.26M,,-1.038M,,-1.038M,19.66M,-8.617M,11.04M,,,,4.723M,14.72M,,729.06M,209.06M,4.591M,942.71M,,19.66M,,-1.038M,-8.617M,,AOR,Restated
2010-12,,,0.00,0.00,,,18.66M,18.66M,-3.957M,0.00,0.00,12.76M,0.711M,220.26M,,-62.85M,185.58M,,-38.02M,,,,-1.16M,1.544M,-37.64M,,-0.078M,,-0.078M,3.407M,-4.151M,-0.744M,,,,-50.71M,-51.53M,,628.28M,96.41M,4.37M,729.06M,,3.407M,,-0.078M,-4.151M,,AOR,Restated
2010-09,,,,,,,17.95M,17.95M,4.30M,0.00,-5.163M,13.01M,-3.939M,191.76M,,37.83M,255.74M,,-19.13M,,,,-24.51M,-0.01M,-43.65M,,-3.333M,,-3.333M,0.835M,-144.80M,-143.96M,,,,11.09M,-136.20M,,545.77M,75.90M,6.615M,628.28M,,0.835M,,-3.333M,-144.80M,,AOR,Restated
2010-06,140.00M,,,,,,17.66M,17.66M,-9.324M,,,12.33M,1.374M,17.39M,,-14.00M,165.43M,,-12.04M,,23.55M,,-65.18M,-0.75M,-77.97M,,-0.616M,,-0.616M,11.74M,-17.86M,-6.124M,,,,9.261M,2.521M,,461.37M,89.98M,-5.583M,545.77M,,11.74M,0.00,-0.616M,-17.86M,,AOR,Restated
2010-03,120.30M,,,,,,17.87M,17.87M,1.331M,,,10.92M,-0.37M,0.996M,,-41.78M,109.27M,,-10.82M,0.00,-23.55M,,3.236M,13.16M,5.568M,,-17.82M,,-17.82M,6.959M,-72.24M,-65.28M,,,,0.37M,-82.73M,,430.17M,32.10M,-0.90M,461.37M,,6.959M,0.00,-17.82M,-72.24M,,AOR,Restated
2009-12,69.57M,,,,,,18.18M,18.18M,9.229M,,,13.26M,-0.235M,6.395M,,-43.10M,73.31M,,-6.893M,,,,-0.919M,,-7.812M,,-0.637M,,-0.637M,4.126M,-0.576M,3.55M,,,,0.235M,3.148M,,361.16M,68.65M,0.357M,430.17M,,4.126M,0.052M,-0.689M,-0.576M,,AOR,Restated
2009-09,16.80M,,,,,,17.68M,17.68M,12.48M,,,13.96M,-0.368M,3.163M,,-61.01M,2.704M,,-5.832M,,,,-17.31M,,-23.14M,,-1.631M,,-1.631M,8.017M,-2.356M,5.661M,,,,0.368M,4.398M,,374.17M,-16.04M,3.033M,361.16M,,8.017M,0.284M,-1.915M,-2.356M,,AOR,Restated
2009-06,-88.49M,,,-60.11M,,,17.69M,17.69M,19.91M,,7.179M,13.36M,-1.41M,68.04M,,-34.30M,-58.12M,,-5.848M,,,0.00,48.60M,2.00M,44.75M,,-0.911M,,-0.911M,12.56M,-3.197M,9.361M,,,,0.237M,8.687M,,374.65M,-4.683M,4.202M,374.17M,,12.56M,0.00,-0.911M,-3.197M,,AOR,Restated
2009-03,-198.36M,,,60.11M,,,19.65M,19.65M,12.93M,,89.08M,10.23M,-6.094M,-33.91M,,22.22M,-24.15M,,-10.87M,,,-8.267M,31.08M,-8.375M,3.572M,,-239.70M,,-239.70M,7.225M,-0.546M,6.679M,,,,-7.027M,-240.05M,,652.91M,-260.63M,-17.63M,374.65M,,7.225M,0.00,-239.70M,-0.546M,,AOR,Restated
2008-12,-24.17M,,,,,,17.18M,17.18M,10.11M,,,14.05M,3.752M,14.00M,,-73.91M,-38.99M,,-12.42M,,,-8.763M,7.589M,-2.00M,-15.59M,,-12.54M,,-12.54M,1.294M,-24.45M,-23.15M,,,,-3.752M,-39.45M,,745.43M,-94.03M,1.512M,652.91M,,1.294M,0.498M,-13.04M,-24.45M,,,Restated
2008-09,8.873M,,,,,,17.90M,17.90M,-12.41M,,,15.41M,-4.269M,26.72M,,-9.089M,43.13M,,-15.15M,,,-2.427M,-9.148M,,-26.73M,,-2.263M,,-2.263M,10.73M,-2.755M,7.979M,,,,4.269M,9.985M,,732.54M,26.39M,-13.50M,745.43M,,10.73M,0.127M,-2.39M,-2.755M,,,Restated
2008-06,72.18M,,,1.929M,-35.48M,-2.526M,16.70M,16.70M,-4.652M,,,,,35.75M,4.512M,78.54M,200.45M,,-18.95M,,-18.95M,-6.918M,-32.49M,17.62M,-40.75M,,,,0.415M,3.85M,-3.59M,0.26M,,,,21.67M,22.34M,,552.35M,182.04M,-1.857M,732.54M,,3.85M,,,-3.59M,,,
2008-03,103.52M,,,-48.85M,12.91M,0.974M,13.89M,13.89M,-12.00M,,,,,10.15M,79.27M,79.27M,145.98M,,-19.29M,,-19.29M,-475.66M,87.76M,40.74M,-366.45M,,,,-0.114M,0.00,-0.737M,-0.737M,,,,-0.401M,-1.252M,,776.06M,-221.72M,-1.984M,552.35M,,0.00,,,-0.737M,,,
2007-12,115.06M,,,9.303M,11.32M,0.636M,11.96M,11.96M,0.776M,,,,,14.60M,-130.26M,-130.26M,21.44M,,-24.42M,,-24.42M,,-20.46M,-13.60M,-58.48M,,,,-0.051M,3.398M,-0.761M,2.637M,,,,16.49M,19.07M,,793.17M,-17.96M,0.851M,776.06M,,3.398M,,,-0.761M,,,
2007-09,148.59M,,,0.461M,11.24M,0.916M,12.16M,12.16M,-10.79M,,,,,25.55M,46.48M,46.48M,222.45M,,-14.14M,,-14.14M,,-15.98M,,-30.13M,,,,-0.049M,14.01M,-9.464M,4.545M,,,,21.15M,25.65M,,573.97M,217.97M,1.236M,793.17M,,14.01M,,,-9.464M,,,
2007-06,170.23M,,,-0.237M,10.92M,0.834M,11.75M,11.75M,8.334M,,,,,13.94M,60.51M,89.47M,293.49M,,-14.30M,,-14.30M,-4.00M,543.08M,0.00,524.77M,,,,-0.051M,19.01M,-768.40M,-749.39M,,,,10.45M,-738.99M,,494.81M,79.27M,-0.112M,573.97M,,19.01M,,,-768.40M,,,
2007-03,164.74M,,,1.597M,11.89M,-0.438M,11.45M,11.45M,-5.122M,,,,,19.26M,-40.53M,-40.53M,151.40M,,-18.78M,,-18.78M,0.00,-63.15M,55.00M,-26.93M,,,,-50.05M,11.19M,-239.01M,-227.82M,,,,19.19M,-258.68M,,629.12M,-134.20M,-0.106M,494.81M,,11.19M,,,-239.01M,,,
2006-12,167.33M,,,-0.614M,8.76M,-0.937M,7.823M,7.823M,7.424M,,,,,12.94M,-32.87M,-32.87M,162.04M,,-13.97M,,-13.97M,-177.11M,-340.77M,55.00M,-476.85M,,,,-50.03M,22.66M,-75.28M,-52.62M,,,,14.09M,-88.56M,,1.031B,-403.38M,1.144M,629.12M,,22.66M,,,-75.28M,,,
2006-09,183.52M,,,0.537M,6.527M,-0.117M,6.41M,6.41M,6.419M,,,,,6.859M,12.88M,12.88M,216.63M,,-12.92M,,-12.92M,,-90.92M,,-103.84M,,,,-0.044M,7.729M,-1.048M,6.681M,,,,1.264M,7.901M,,910.82M,120.68M,-0.152M,1.031B,,7.729M,,,-1.048M,,,
2006-06,121.60M,,,-16.48M,5.765M,0.431M,6.196M,6.196M,4.56M,,,,,30.22M,12.49M,-47.14M,98.96M,,-25.94M,,-25.94M,,90.30M,,-320.64M,,,,349.59M,49.22M,-37.00M,12.22M,,,,,372.91M,,757.84M,151.23M,1.74M,910.82M,,49.22M,,,-37.00M,,,
2006-03,86.34M,,,16.15M,5.208M,0.653M,5.861M,5.861M,17.94M,,,,,-11.64M,-5.01M,-5.01M,109.64M,,-6.447M,,-6.447M,,26.70M,,20.26M,,,,-0.067M,66.12M,-73.60M,-7.485M,,,,,-7.552M,,633.78M,122.34M,1.724M,757.84M,,66.12M,,,-73.60M,,,
2005-12,77.78M,,,-6.292M,5.387M,0.411M,5.798M,5.798M,-0.647M,,,,,11.64M,23.13M,23.13M,111.40M,,-5.036M,,-5.036M,,14.19M,,9.155M,,,,,61.93M,-61.92M,0.009M,,,,,0.009M,,514.82M,120.57M,-1.605M,633.78M,,61.93M,,,-61.92M,,,
2005-09,49.49M,,,6.292M,5.64M,1.188M,6.828M,6.828M,15.37M,,,,,,-30.60M,-30.60M,47.38M,,-4.658M,,-4.658M,,51.60M,,46.94M,,,,,17.31M,-78.69M,-61.38M,,,,,-61.38M,,482.25M,32.94M,-0.374M,514.82M,,17.31M,,,-78.69M,,,
2005-06,64.44M,,,-31.17M,6.305M,0.671M,6.976M,6.976M,51.14M,,,,,4.728M,45.70M,37.77M,133.88M,,-4.226M,,-4.226M,,-35.56M,,-12.36M,,,,,23.91M,-99.29M,-75.37M,,,,,-75.37M,,436.46M,46.15M,-0.361M,482.25M,,23.91M,,,-99.29M,,,
2005-03,59.45M,,,44.64M,6.324M,0.761M,7.085M,7.085M,-13.41M,,,,,0.53M,3.001M,3.001M,101.30M,,-4.64M,,-4.64M,,30.98M,,26.34M,,,,,48.92M,-67.79M,-18.87M,,,,,-18.87M,,326.17M,108.76M,1.524M,436.46M,,48.92M,,,-67.79M,,,
2004-12,83.61M,,,0.026M,7.48M,0.113M,7.593M,7.593M,21.95M,,,,,-0.53M,37.71M,37.71M,150.36M,,-8.845M,,-8.845M,,-41.41M,,-50.26M,,,,,30.99M,,30.99M,,,,,30.99M,,192.73M,131.09M,2.35M,326.17M,,30.99M,,,,,,
2004-09,89.75M,,,0.267M,5.408M,1.74M,7.148M,7.148M,29.62M,,,,,,-86.41M,-86.41M,40.38M,,-5.138M,,-5.138M,,-17.31M,,-22.45M,,,,,10.94M,,10.94M,,,,,10.94M,,163.40M,28.88M,0.451M,192.73M,,10.94M,,,,,,
2004-06,52.66M,,,-3.999M,1.447M,5.946M,7.393M,7.393M,7.417M,,,,,-0.722M,-5.589M,19.66M,82.40M,,-13.02M,,-13.02M,,53.95M,5.802M,46.74M,,,,-300.00M,13.48M,,13.48M,,,,,-275.66M,,309.08M,-146.52M,0.839M,163.40M,,13.48M,,,,,,
2004-03,19.16M,,,-1.774M,6.031M,4.036M,10.07M,10.07M,2.669M,,,,,-0.082M,10.54M,10.54M,40.58M,,-4.799M,,-4.799M,,132.45M,0.032M,127.68M,,,,0.00,11.29M,,11.29M,,,,,11.29M,,129.21M,179.55M,0.318M,309.08M,,11.29M,,,,,,
2003-12,6.391M,,,6.487M,7.478M,-0.796M,6.682M,6.682M,0.876M,,,,,0.804M,14.12M,14.12M,35.36M,,-4.423M,,-4.423M,,-20.29M,-0.167M,-24.88M,,,,-0.001M,31.07M,,31.07M,,,,,31.07M,,86.66M,41.54M,1.008M,129.21M,,31.07M,,,,,,
