,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2015-08,1.216B,,197.00M,197.00M,,399.00M,399.00M,,,13.00M,7.00M,95.00M,24.00M,,-62.00M,,,-608.00M,-551.00M,1.281B,,-323.00M,0.00,-323.00M,,-55.00M,0.00,-378.00M,,-188.00M,-268.00M,-456.00M,167.00M,-166.00M,1.00M,-196.00M,-196.00M,,3.00M,-648.00M,,298.00M,255.00M,-14.00M,539.00M,,167.00M,0.00,-188.00M,-166.00M,,,AOR,Restated
2015-05,222.00M,,12.00M,12.00M,,406.00M,406.00M,,,14.00M,8.00M,-23.00M,4.00M,,33.00M,,,839.00M,853.00M,1.515B,,-439.00M,25.00M,-414.00M,,-49.00M,10.00M,-453.00M,,-248.00M,-567.00M,-815.00M,0.00,0.00,0.00,-194.00M,-194.00M,,-3.00M,-1.012B,,280.00M,50.00M,-32.00M,298.00M,,0.00,0.00,-248.00M,0.00,,,AOR,Restated
2015-02,49.00M,,169.00M,169.00M,,401.00M,401.00M,,,11.00M,4.00M,-1.00M,7.00M,,6.00M,,,125.00M,137.00M,771.00M,,-942.00M,,-942.00M,,-57.00M,25.00M,-974.00M,,136.00M,210.00M,346.00M,,,,-194.00M,-194.00M,,-1.00M,151.00M,,331.00M,-52.00M,1.00M,280.00M,,,472.00M,-336.00M,,,,AOR,Restated
2014-11,-103.00M,17.00M,281.00M,298.00M,,408.00M,408.00M,,,15.00M,11.00M,-380.00M,-14.00M,,31.00M,,,-51.00M,8.00M,637.00M,,-906.00M,0.00,-906.00M,,-4.00M,20.00M,-890.00M,,-156.00M,522.00M,366.00M,0.00,0.00,0.00,-194.00M,-194.00M,,-12.00M,160.00M,,436.00M,-93.00M,-12.00M,331.00M,,0.00,797.00M,-953.00M,0.00,,,AOR,Restated
2014-08,1.241B,0.00,-16.00M,-16.00M,,414.00M,414.00M,,,11.00M,15.00M,134.00M,24.00M,,-9.00M,,,-694.00M,-545.00M,1.12B,,-348.00M,0.00,-348.00M,,1.00M,-2.00M,-349.00M,,-112.00M,-353.00M,-465.00M,0.00,0.00,0.00,-194.00M,-194.00M,,-10.00M,-669.00M,,343.00M,102.00M,-9.00M,436.00M,,0.00,0.00,-112.00M,0.00,,,AOR,Restated
2014-05,98.00M,-15.00M,-10.00M,-25.00M,,410.00M,410.00M,,,13.00M,4.00M,61.00M,0.00,,75.00M,,,560.00M,696.00M,1.196B,,-976.00M,42.00M,-934.00M,,0.00,15.00M,-919.00M,,-260.00M,104.00M,-156.00M,,,,-194.00M,-194.00M,,-7.00M,-357.00M,,421.00M,-80.00M,2.00M,343.00M,,,829.00M,-1.089B,,,,AOR,Restated
2014-02,-20.00M,,16.00M,16.00M,,405.00M,405.00M,,,13.00M,5.00M,260.00M,-9.00M,,-88.00M,,,-105.00M,58.00M,477.00M,,-353.00M,,-353.00M,,1.00M,3.00M,-349.00M,,-312.00M,344.00M,32.00M,,,,-194.00M,-194.00M,,,-162.00M,,462.00M,-34.00M,-7.00M,421.00M,,,0.00,-312.00M,,,,AOR,Restated
2013-11,43.00M,0.00,-31.00M,-31.00M,,404.00M,404.00M,-27.00M,,10.00M,36.00M,191.00M,20.00M,,29.00M,,,-200.00M,40.00M,475.00M,,-337.00M,0.00,-337.00M,,,88.00M,-249.00M,,-420.00M,-138.00M,-558.00M,0.00,0.00,0.00,-194.00M,-194.00M,,1.00M,-751.00M,,981.00M,-525.00M,6.00M,462.00M,,0.00,850.00M,-1.27B,0.00,,,AOR,Restated
2013-08,934.00M,176.00M,-64.00M,112.00M,,406.00M,406.00M,27.00M,,8.00M,-2.00M,35.00M,-4.00M,,-32.00M,,,-681.00M,-682.00M,803.00M,,-365.00M,0.00,-365.00M,,,-69.00M,-434.00M,,-112.00M,183.00M,71.00M,0.00,0.00,0.00,-193.00M,-193.00M,,9.00M,-113.00M,,711.00M,256.00M,14.00M,981.00M,,0.00,0.00,-112.00M,0.00,,,AOR,Restated
2013-05,41.00M,-13.00M,31.00M,18.00M,,391.00M,391.00M,,,6.00M,9.00M,128.00M,0.00,,59.00M,,,505.00M,692.00M,1.157B,,-1.206B,0.00,-1.206B,,,0.00,-1.206B,,619.00M,-108.00M,511.00M,0.00,-25.00M,-25.00M,-195.00M,-195.00M,,-4.00M,287.00M,,476.00M,238.00M,-3.00M,711.00M,,0.00,837.00M,-218.00M,-25.00M,,,AOR,Restated
2013-02,37.00M,,28.00M,28.00M,,389.00M,389.00M,,,18.00M,19.00M,-58.00M,5.00M,,23.00M,,,-62.00M,-92.00M,399.00M,,-241.00M,70.00M,-171.00M,,,4.00M,-167.00M,,388.00M,67.00M,455.00M,35.00M,-113.00M,-78.00M,-582.00M,-582.00M,,2.00M,-203.00M,,465.00M,29.00M,-18.00M,476.00M,,35.00M,1.00B,-612.00M,-113.00M,,,AOR,Restated
2012-11,93.00M,13.00M,7.00M,20.00M,,392.00M,392.00M,0.00,,9.00M,10.00M,153.00M,-23.00M,,-20.00M,,,-111.00M,-1.00M,523.00M,,-168.00M,0.00,-168.00M,,,-4.00M,-172.00M,,-299.00M,46.00M,-253.00M,0.00,-21.00M,-21.00M,-195.00M,-195.00M,,16.00M,-453.00M,,568.00M,-102.00M,-1.00M,465.00M,,0.00,0.00,-299.00M,-21.00M,,,AOR,Restated
