,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2018-03,2.832B,,,299.00M,299.00M,,1.329B,1.329B,,,,,-5.468B,-5.468B,-964.00M,,-1.563B,1.007B,-556.00M,-68.00M,-3.005B,,-9.213B,,5.367B,5.603B,10.97B,,-800.00M,-800.00M,,-650.00M,-650.00M,-376.00M,,-851.00M,20.63B,,110.05B,10.45B,120.50B,,,17.29B,-11.92B,-1.45B,326.00M,3.554B,,AOR,Restated
2017-12,-1.928B,,-6.00M,350.00M,350.00M,,159.00M,159.00M,8.65B,,,,-20.06B,-13.80B,-9.105B,,-975.00M,138.00M,-837.00M,-535.00M,-2.367B,,-8.548B,,7.454B,-56.00M,7.398B,0.00,-1.629B,-1.629B,,-850.00M,645.00M,-498.00M,,-664.00M,11.09B,,116.61B,-6.559B,110.05B,,1.495B,14.40B,-6.945B,-2.479B,754.00M,-936.00M,,AOR,Restated
2017-09,2.128B,,0.00,280.00M,280.00M,,158.00M,158.00M,5.877B,,,,-5.73B,147.00M,2.713B,,-689.00M,234.00M,-455.00M,-762.00M,-2.143B,,-11.12B,,8.794B,59.00M,8.853B,0.00,-2.174B,-2.174B,,0.00,0.00,-395.00M,,630.00M,14.13B,,110.89B,5.722B,116.61B,,0.00,15.01B,-6.218B,-2.174B,207.00M,5.83B,,AOR,Restated
2017-06,1.831B,,-108.00M,265.00M,265.00M,,180.00M,180.00M,-7.869B,,,,-5.007B,-12.88B,-10.71B,,-682.00M,125.00M,-557.00M,-574.00M,-382.00M,,-5.159B,,6.13B,1.869B,7.999B,1.00M,-1.466B,-1.465B,,0.00,0.00,-510.00M,,81.00M,3.72B,,123.04B,-12.15B,110.89B,,1.00M,14.21B,-8.083B,-1.466B,207.00M,3.97B,,AOR,Restated
2017-03,2.255B,,,257.00M,257.00M,,1.272B,1.272B,-6.658B,,,,-515.00M,-7.173B,-3.389B,,-838.00M,77.00M,-761.00M,-512.00M,542.00M,,-1.547B,,7.659B,-2.778B,4.881B,6.00M,-1.503B,-1.497B,,,,-366.00M,,-589.00M,6.26B,,121.71B,1.324B,123.04B,,6.00M,22.12B,-14.46B,-1.503B,257.00M,2.31B,,AOR,Restated
2016-12,2.347B,,,267.00M,267.00M,,168.00M,168.00M,13.52B,,,,-13.51B,11.00M,3.529B,,-802.00M,49.00M,-753.00M,-832.00M,308.00M,,-1.627B,,5.191B,-2.849B,2.342B,5.00M,-1.488B,-1.483B,0.00,0.00,0.00,-468.00M,,1.867B,1.806B,,118.00B,3.708B,121.71B,,5.00M,13.44B,-8.247B,-1.488B,293.00M,1.74B,,AOR,Restated
2016-09,2.094B,,,247.00M,247.00M,,129.00M,129.00M,-14.26B,,,,7.215B,-7.047B,-4.577B,,-821.00M,50.00M,-771.00M,-128.00M,391.00M,,-1.513B,,4.328B,-1.754B,2.574B,0.00,-1.296B,-1.296B,648.00M,-539.00M,109.00M,-378.00M,,-5.00M,1.577B,,122.52B,-4.513B,118.00B,,648.00M,13.55B,-9.223B,-1.835B,367.00M,1.93B,,AOR,Restated
2016-06,1.822B,,,245.00M,245.00M,,149.00M,149.00M,719.00M,,,,7.149B,7.868B,10.08B,,-669.00M,72.00M,-597.00M,16.44B,496.00M,,15.96B,,-1.267B,-456.00M,-1.723B,0.00,-1.738B,-1.738B,0.00,-127.00M,-127.00M,-473.00M,,-3.00M,-1.474B,,97.95B,24.56B,122.52B,,0.00,12.28B,-13.54B,-1.865B,134.00M,1.22B,,AOR,Restated
2016-03,1.135B,,,239.00M,239.00M,,1.665B,1.665B,19.00M,,,,-5.60B,-5.581B,-2.542B,,-573.00M,210.00M,-363.00M,-562.00M,322.00M,,-3.14B,,2.766B,2.745B,5.511B,1.00M,-1.556B,-1.555B,655.00M,-505.00M,150.00M,-387.00M,,-872.00M,10.19B,,93.44B,4.512B,97.95B,,656.00M,15.68B,-12.92B,-2.061B,266.00M,2.25B,,AOR,Restated
2015-12,765.00M,,0.00,285.00M,285.00M,,165.00M,165.00M,14.61B,,6.452B,,-13.38B,7.675B,9.315B,,-628.00M,108.00M,-520.00M,-124.00M,305.00M,,-3.827B,,1.992B,484.00M,2.476B,39.00M,-1.59B,-1.551B,0.00,0.00,0.00,-484.00M,,-1.551B,4.951B,,65.58B,10.44B,93.44B,,39.00M,8.141B,-6.149B,-1.59B,450.00M,730.00M,,AOR,Restated
2015-09,1.426B,,0.00,222.00M,222.00M,,135.00M,135.00M,12.35B,,-22.83B,,9.966B,-513.00M,1.27B,,-507.00M,71.00M,-436.00M,-101.00M,439.00M,,-3.331B,,4.984B,673.00M,5.657B,2.00M,-1.05B,-1.048B,0.00,0.00,0.00,-393.00M,,29.00M,6.791B,,60.84B,4.73B,65.58B,,2.00M,12.35B,-7.37B,-1.05B,290.00M,1.58B,,AOR,Restated
2015-06,1.048B,,0.00,265.00M,265.00M,,163.00M,163.00M,-13.56B,,6.983B,,-2.741B,-9.316B,-7.84B,,-396.00M,36.00M,-360.00M,-1.106B,91.00M,,-7.153B,,9.666B,-1.446B,8.22B,147.00M,-245.00M,-98.00M,1.993B,-1.00M,1.992B,-431.00M,,40.00M,12.71B,,63.13B,-2.284B,60.84B,,2.14B,18.28B,-8.617B,-246.00M,1.459B,740.00M,,AOR,Restated
2015-03,2.844B,,-34.00M,219.00M,219.00M,,1.809B,1.809B,5.733B,,9.393B,,-13.23B,1.898B,6.736B,,-302.00M,13.00M,-289.00M,-477.00M,184.00M,,-4.263B,,2.28B,-947.00M,1.333B,71.00M,-1.25B,-1.179B,0.00,0.00,0.00,-373.00M,,229.00M,3.056B,,57.60B,5.529B,63.13B,,71.00M,16.17B,-13.89B,-1.25B,451.00M,1.77B,,AOR,Restated
2014-12,2.166B,,-19.00M,352.00M,352.00M,,154.00M,154.00M,-624.00M,,-5.48B,,7.615B,1.511B,4.659B,,-170.00M,13.00M,-157.00M,-1.106B,387.00M,,-4.318B,,1.812B,-1.012B,800.00M,44.00M,-1.25B,-1.206B,0.00,,-1.611B,-409.00M,,169.00M,2.80B,,54.15B,3.141B,75.02B,,44.00M,10.66B,-8.843B,-2.861B,540.00M,980.00M,,AOR,Restated
2014-09,2.241B,,-270.00M,301.00M,301.00M,,156.00M,156.00M,6.18B,,-3.523B,,-13.98B,-11.33B,-8.899B,,-155.00M,7.00M,-148.00M,-177.00M,658.00M,,-3.778B,,7.476B,-384.00M,7.092B,23.00M,-1.25B,-1.227B,0.00,,0.00,-354.00M,,132.00M,9.844B,,56.98B,-2.833B,54.15B,,23.00M,12.88B,-5.409B,-1.25B,450.00M,2.19B,,AOR,Restated
2014-06,2.037B,,,294.00M,294.00M,,164.00M,164.00M,-17.82B,,19.51B,,-3.659B,-1.966B,529.00M,,-189.00M,5.00M,-184.00M,-140.00M,163.00M,,-3.61B,,-2.935B,874.00M,-2.061B,2.00M,-1.25B,-1.248B,1.98B,,1.98B,-343.00M,,585.00M,1.206B,,58.86B,-1.875B,56.98B,,1.982B,6.686B,-9.621B,-1.25B,660.00M,1.00B,,AOR,Restated
2014-03,2.033B,,,390.00M,390.00M,,1.611B,1.611B,24.59B,,-10.51B,,-22.34B,-8.255B,-4.221B,,-164.00M,5.00M,-159.00M,-309.00M,306.00M,,-3.203B,,4.63B,1.344B,5.974B,54.00M,-1.719B,-1.665B,,,,-348.00M,,538.00M,5.149B,,61.13B,-2.275B,58.86B,,54.00M,16.53B,-11.90B,-1.719B,1.40B,2.26B,,AOR,Restated
2013-12,2.332B,,,474.00M,474.00M,,194.00M,194.00M,-9.499B,,4.203B,,4.758B,-538.00M,2.28B,,-208.00M,5.00M,-203.00M,-1.008B,663.00M,,-2.913B,,-1.616B,344.00M,-1.272B,16.00M,-1.40B,-1.384B,0.00,,0.00,-346.00M,,53.00M,-3.712B,,65.48B,-4.345B,61.13B,,16.00M,5.994B,-7.61B,-1.40B,260.00M,1.01B,,AOR,Restated
2013-09,1.517B,,,280.00M,280.00M,,152.00M,152.00M,-4.249B,,-1.947B,,876.00M,-5.32B,-3.371B,,-169.00M,24.00M,-145.00M,-820.00M,319.00M,,-4.155B,,3.443B,-3.138B,305.00M,15.00M,-1.65B,-1.635B,0.00,,0.00,-325.00M,,86.00M,606.00M,,72.40B,-6.92B,65.48B,,15.00M,10.32B,-6.875B,-1.65B,1.20B,1.35B,,AOR,Restated
2013-06,1.931B,,,266.00M,266.00M,,160.00M,160.00M,7.049B,,-10.93B,,12.85B,8.975B,11.33B,,-158.00M,16.00M,-142.00M,-286.00M,866.00M,,-707.00M,,126.00M,2.117B,2.243B,20.00M,-1.60B,-1.58B,991.00M,,991.00M,-312.00M,,389.00M,-1.56B,,63.33B,9.065B,72.40B,,1.011B,6.245B,-6.119B,-1.60B,2.146B,1.37B,,AOR,Restated
2013-03,2.26B,,,302.00M,302.00M,,1.509B,1.509B,3.017B,,8.527B,,-21.31B,-9.769B,-5.698B,,-171.00M,17.00M,-154.00M,-160.00M,734.00M,,-953.00M,,1.399B,-5.259B,-3.86B,14.00M,-1.525B,-1.511B,,,,-319.00M,,443.00M,-2.685B,,72.67B,-9.336B,63.33B,,14.00M,14.90B,-13.50B,-1.525B,464.00M,1.96B,,AOR,Restated
2012-12,2.892B,,,500.00M,500.00M,,231.00M,231.00M,-22.12B,-1.867B,201.00M,,21.86B,-1.923B,850.00M,,-254.00M,11.00M,-243.00M,-154.00M,921.00M,,-106.00M,,-3.408B,3.324B,-84.00M,169.00M,-1.524B,-1.355B,837.00M,,837.00M,-307.00M,,597.00M,8.286B,,63.64B,9.03B,72.67B,,1.006B,6.397B,-9.805B,-1.524B,790.00M,1.38B,,AOR,Restated
2012-09,1.512B,,,396.00M,396.00M,,198.00M,198.00M,-1.942B,-7.416B,3.037B,,6.005B,-316.00M,1.79B,,-165.00M,10.00M,-155.00M,-84.00M,-97.00M,,-1.113B,,-2.208B,2.796B,588.00M,102.00M,-1.25B,-1.148B,500.00M,,500.00M,-286.00M,,189.00M,4.049B,,58.91B,4.726B,63.64B,,602.00M,8.44B,-10.65B,-1.25B,419.00M,2.15B,,AOR,Restated
2012-06,962.00M,,,409.00M,409.00M,,247.00M,247.00M,6.23B,1.993B,-3.586B,,208.00M,4.845B,6.463B,,-152.00M,15.00M,-137.00M,-316.00M,-488.00M,,-2.037B,,-4.662B,-5.18B,-9.842B,7.00M,-1.501B,-1.494B,1.75B,,1.75B,-273.00M,,762.00M,-2.651B,,57.14B,1.775B,58.91B,,1.757B,7.428B,-12.09B,-1.501B,671.00M,1.68B,,AOR,Restated
2012-03,2.109B,,,433.00M,433.00M,,643.00M,643.00M,-2.671B,7.29B,11.16B,,-15.19B,591.00M,3.776B,,-390.00M,13.00M,-377.00M,-39.00M,176.00M,,-478.00M,,-5.312B,-1.352B,-6.664B,39.00M,-365.00M,-326.00M,,,,-220.00M,,277.00M,-2.168B,,56.01B,1.13B,57.14B,,39.00M,10.16B,-15.47B,-365.00M,,4.04B,,AOR,Restated
2011-12,1.013B,,,514.00M,514.00M,,418.00M,418.00M,6.059B,-12.36B,4.518B,-21.37B,40.55B,17.40B,20.07B,,-205.00M,25.00M,-180.00M,-166.00M,843.00M,,-359.00M,,-4.777B,-7.442B,-12.22B,186.00M,-908.00M,-722.00M,,0.00,0.00,-222.00M,,946.00M,-7.907B,,44.20B,11.80B,56.01B,,186.00M,5.565B,-10.34B,-908.00M,,,,AOR,Restated
2011-09,-393.00M,,,389.00M,389.00M,,446.00M,446.00M,-6.669B,22.36B,-18.36B,12.45B,-20.45B,-10.67B,-10.22B,,-459.00M,20.00M,-439.00M,-18.00M,996.00M,,539.00M,,4.935B,2.169B,7.104B,59.00M,-2.16B,-2.101B,,0.00,0.00,-223.00M,,881.00M,8.456B,,45.43B,-1.23B,44.20B,,59.00M,13.61B,-8.674B,-2.16B,,,,AOR,Restated
2011-06,1.087B,,,372.00M,372.00M,,473.00M,473.00M,-3.738B,13.56B,-9.185B,8.919B,-728.00M,8.823B,10.76B,,-243.00M,24.00M,-219.00M,-242.00M,798.00M,,337.00M,,1.603B,-1.203B,400.00M,60.00M,-1.499B,-1.439B,,-3.857B,-3.857B,-1.968B,,-1.755B,-8.342B,,42.68B,2.75B,45.43B,,60.00M,9.708B,-8.105B,-5.356B,,,,AOR,Restated
2011-03,2.735B,,,594.00M,594.00M,,1.512B,1.512B,568.00M,-9.671B,12.49B,,-6.328B,-2.941B,1.90B,,-277.00M,9.00M,-268.00M,-5.00M,385.00M,,112.00M,,-848.00M,1.501B,653.00M,63.00M,-1.481B,-1.418B,,,,-358.00M,,1.848B,883.00M,,39.79B,2.895B,42.68B,,63.00M,10.10B,-10.94B,-1.481B,,,,AOR,Restated
2010-12,2.387B,,,731.00M,731.00M,,496.00M,496.00M,5.262B,-4.635B,-11.55B,-26.10B,23.59B,-13.44B,-8.482B,,-328.00M,9.00M,-319.00M,-25.00M,936.00M,,-208.00M,,2.115B,10.93B,13.04B,224.00M,-1.095B,-871.00M,,,0.00,-360.00M,,412.00M,12.35B,,36.13B,3.659B,39.79B,,224.00M,4.617B,-5.459B,-1.095B,,,,AOR,Restated
2010-09,1.898B,,,358.00M,358.00M,,945.00M,945.00M,-3.725B,-3.265B,-14.62B,7.957B,11.12B,-2.525B,676.00M,,-447.00M,14.00M,-433.00M,-26.00M,372.00M,,-87.00M,,876.00M,1.361B,2.237B,107.00M,-819.00M,-712.00M,,,0.00,-361.00M,,355.00M,2.939B,,32.60B,3.528B,36.13B,,107.00M,8.248B,-6.011B,-819.00M,,,,AOR,Restated
2010-06,613.00M,,,440.00M,440.00M,,434.00M,434.00M,204.00M,5.056B,12.29B,7.089B,-16.17B,8.466B,9.953B,,-174.00M,21.00M,-153.00M,-54.00M,483.00M,,276.00M,,-4.874B,1.383B,-3.491B,112.00M,0.00,112.00M,,,0.00,-359.00M,,453.00M,-4.692B,,27.06B,5.537B,32.60B,,112.00M,4.719B,-8.21B,0.00,,,,AOR,Restated
2010-03,3.456B,,,375.00M,375.00M,,2.16B,2.16B,-1.54B,-1.793B,-3.215B,11.06B,-18.00B,-13.50B,-7.504B,,-278.00M,28.00M,-250.00M,-699.00M,-17.00M,,-966.00M,,158.00M,213.00M,371.00M,138.00M,-2.269B,-2.131B,,,,-363.00M,,353.00M,-2.757B,,38.29B,-11.23B,27.06B,,138.00M,8.147B,-7.776B,-2.269B,,,,AOR,Restated
2009-12,4.948B,,,394.00M,394.00M,,664.00M,664.00M,2.264B,-1.542B,-31.59B,-21.36B,72.18B,19.95B,25.52B,,-479.00M,30.00M,-449.00M,-11.00M,199.00M,,-261.00M,,-7.508B,631.00M,-6.877B,171.00M,0.00,171.00M,,0.00,0.00,-355.00M,0.00,88.00M,-9.986B,,23.02B,15.28B,38.29B,,171.00M,2.438B,10.93B,0.00,,,,AOR,Restated
2009-09,3.188B,,,373.00M,373.00M,,438.00M,438.00M,1.286B,-8.086B,-436.00M,3.085B,7.484B,3.333B,7.332B,,-424.00M,2.00M,-422.00M,-2.00M,-104.00M,,-528.00M,,-2.667B,-3.376B,-6.043B,196.00M,0.00,196.00M,,0.00,0.00,-355.00M,-1.10B,362.00M,-5.966B,,22.18B,838.00M,23.02B,,196.00M,3.417B,-9.46B,0.00,,,,AOR,Restated
2009-06,3.435B,,,527.00M,527.00M,,439.00M,439.00M,-5.425B,-19.91B,23.06B,79.00M,10.62B,8.422B,12.82B,,-375.00M,22.00M,-353.00M,-18.00M,512.00M,,141.00M,,-1.631B,-18.04B,-19.67B,5.866B,0.00,5.866B,,-9.574B,-9.574B,-950.00M,,1.17B,-26.20B,,35.42B,-13.24B,22.18B,,5.866B,2.042B,-21.71B,-9.574B,,,,AOR,Restated
2009-03,1.814B,,,649.00M,649.00M,,468.00M,468.00M,8.14B,-17.88B,55.49B,-38.81B,-6.674B,266.00M,3.197B,,-278.00M,28.00M,-250.00M,-190.00M,-473.00M,,-913.00M,,6.251B,542.00M,6.793B,27.00M,-2.00M,25.00M,,,,-545.00M,,681.00M,19.33B,,13.80B,21.61B,35.42B,,27.00M,22.23B,-15.44B,-2.00M,,,,AOR,Restated
2008-11,-2.121B,,,579.00M,579.00M,,,8.712B,,,,,,7.091B,12.50B,,-568.00M,,-447.00M,-96.00M,213.00M,,-330.00M,,-14.44B,-12.42B,-26.86B,,,5.842B,,,,-263.00M,,703.00M,-6.988B,,12.16B,5.18B,15.74B,,,3.254B,-45.72B,,,,,,Restated
2008-08,845.00M,,,392.00M,392.00M,,,31.64B,,,,,,-30.27B,2.613B,,-481.00M,,-481.00M,-318.00M,355.00M,,-444.00M,,-2.925B,21.00M,-2.904B,,,-180.00M,,,,-194.00M,,-45.00M,-3.79B,,13.78B,-1.621B,12.16B,,,10.21B,-13.13B,,,,,,
2008-05,2.087B,,,311.00M,311.00M,,,-14.67B,,,,,,21.71B,9.432B,,-617.00M,,-617.00M,-43.00M,50.00M,,-610.00M,,8.258B,-18.89B,-10.63B,,,-94.00M,,,,-192.00M,,-10.99B,-7.756B,,12.72B,1.066B,13.78B,,,12.82B,-4.565B,,,,,,
2008-02,1.511B,,,343.00M,343.00M,,,-24.07B,,,,,,-431.00M,-22.65B,,-361.00M,,-361.00M,-2.156B,-436.00M,,-2.953B,,13.15B,3.263B,16.41B,,,-1.497B,,,,-201.00M,,11.72B,26.44B,,11.88B,833.00M,12.72B,,,23.98B,-10.83B,,,,,,
2007-11,3.215B,,,331.00M,331.00M,,,4.46B,,,,,,-12.10B,-3.968B,,-609.00M,,-609.00M,-515.00M,1.597B,,473.00M,,9.862B,-6.861B,3.001B,,,-2.426B,,,,-207.00M,,1.07B,2.722B,,12.66B,-773.00M,11.88B,,,13.88B,-4.021B,,,,,,
2007-08,2.854B,,,283.00M,283.00M,,,49.98B,,,,,,-72.18B,-19.06B,,-414.00M,,-414.00M,-754.00M,2.477B,,1.309B,,21.60B,436.00M,22.03B,,,-2.372B,,,,-205.00M,,1.783B,22.40B,,8.009B,4.646B,12.66B,,,29.46B,-7.86B,,,,,,
2007-05,2.333B,,,281.00M,281.00M,,,-38.94B,,,,,,5.177B,-31.15B,,-446.00M,,-446.00M,-576.00M,60.00M,,-962.00M,,11.90B,19.57B,31.47B,,,-990.00M,,,,-207.00M,,723.00M,33.23B,,6.887B,1.122B,8.009B,,,17.74B,-5.838B,,,,,,
2007-02,3.197B,,,272.00M,272.00M,,,-3.073B,,,,,,-14.42B,-14.02B,,-568.00M,,-568.00M,-55.00M,199.00M,,-424.00M,,13.68B,1.893B,15.58B,,,-2.377B,,,,-212.00M,,2.054B,15.04B,,6.293B,594.00M,6.887B,,,18.14B,-4.459B,,,,,,
2006-11,3.152B,,,266.00M,266.00M,,,-20.98B,,,,,,20.84B,1.773B,,-65.00M,,-65.00M,-881.00M,-5.439B,,-6.385B,,10.49B,1.348B,11.84B,,,-3.239B,,,0.00,-211.00M,,-7.546B,842.00M,,10.06B,-3.77B,6.293B,,,15.69B,-5.198B,,,,,,
2006-08,1.594B,,,251.00M,251.00M,,,10.76B,,,,,,-27.72B,-15.12B,,-576.00M,,-576.00M,-217.00M,-2.164B,,-2.957B,,6.381B,5.422B,11.80B,,,-498.00M,,,500.00M,-203.00M,,8.811B,20.41B,,7.722B,2.341B,10.06B,,,11.16B,-4.783B,,,,,,
2006-05,2.312B,,,259.00M,259.00M,,,11.65B,,,,,,-28.85B,-14.63B,,-360.00M,,-360.00M,-293.00M,1.191B,-24.00M,514.00M,,11.26B,2.117B,13.38B,,,-1.335B,,,849.00M,-192.00M,,2.569B,15.27B,,6.571B,1.151B,7.722B,,,18.20B,-6.938B,,,,,,
2006-02,2.479B,,,219.00M,219.00M,,,-13.65B,,,,,,-8.691B,-19.64B,,-674.00M,,-674.00M,-270.00M,,24.00M,-920.00M,,14.23B,3.938B,18.17B,,,-1.132B,,,,-148.00M,,-13.00M,16.87B,,10.26B,-3.69B,6.571B,,,18.24B,-4.011B,,,,,,
2005-11,1.632B,,,216.00M,216.00M,,,25.38B,,,,,,-26.23B,551.00M,,-396.00M,,-396.00M,-33.00M,,18.00M,-137.00M,,1.974B,2.061B,4.035B,,,-2.175B,,,981.00M,-126.00M,,237.00M,2.952B,,6.895B,3.366B,10.26B,,,7.508B,-5.534B,,,,,,
2005-08,1.617B,,,210.00M,210.00M,,,30.18B,,,,,,-37.50B,-5.501B,,-386.00M,,-386.00M,-523.00M,,1.031B,122.00M,,4.454B,1.34B,5.794B,,,-2.297B,,,738.00M,-131.00M,,128.00M,4.232B,,8.042B,-1.147B,6.895B,,,10.07B,-5.612B,,,,,,
2005-05,865.00M,,,230.00M,230.00M,,,-23.01B,,,,,,20.16B,-1.753B,,-132.00M,,-132.00M,517.00M,,-410.00M,-25.00M,,1.841B,2.73B,4.571B,,,-677.00M,,,,-126.00M,,521.00M,4.289B,,5.531B,2.511B,8.042B,,,6.782B,-4.941B,,,,,,
2005-02,1.512B,,,198.00M,198.00M,,,-2.117B,,,,,,-5.303B,-5.71B,,-507.00M,,-507.00M,-517.00M,,,-1.024B,,12.57B,-3.898B,8.67B,,,-816.00M,,,,-128.00M,,174.00M,7.90B,,4.365B,1.166B,5.531B,,,18.82B,-6.253B,,,,,,
2004-11,1.194B,,,211.00M,211.00M,,,-7.238B,,,,,,-2.85B,-7.643B,,-524.00M,,-524.00M,-161.00M,,,-685.00M,,9.038B,-3.777B,5.261B,,,-396.00M,,,,-125.00M,,203.00M,4.943B,,7.75B,-3.385B,4.365B,,,11.42B,-2.377B,,,,,,
