,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,TotalCurrentAssets,OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,NetLoanAssets,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,TotalDeposits,PensionLiability,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2014-03,58.86B,58.86B,86.59B,37.91B,124.50B,318.39B,18.23B,18.23B,-9.29B,8.944B,,,4.486B,,,,332.93B,,346.36B,915.66B,,228.41B,1.378B,229.79B,5.102B,234.89B,64.50B,64.50B,64.50B,438.14B,172.96B,,172.96B,71.46B,4.906B,,249.32B,836.57B,,7.208B,73.65B,49.96B,54.73B,7.20B,,,-560.00M,79.10B,,AOR,Restated
2013-12,61.13B,61.13B,74.04B,32.36B,106.40B,329.26B,18.24B,18.24B,-9.04B,9.196B,,,4.376B,15.03B,139.00M,14.90B,339.54B,,368.00B,911.51B,,204.76B,1.974B,206.74B,5.183B,211.92B,61.98B,61.98B,61.98B,438.69B,168.97B,,168.97B,70.81B,8.084B,,247.86B,833.04B,,7.208B,71.96B,49.00B,53.02B,7.20B,,,-524.00M,78.47B,,AOR,Restated
2013-09,65.48B,65.48B,74.13B,46.92B,121.05B,356.40B,14.70B,14.70B,-5.98B,8.721B,,,4.458B,,,,324.68B,,337.86B,923.22B,,201.87B,2.308B,204.18B,18.33B,222.51B,58.50B,58.50B,58.50B,438.79B,176.85B,,176.85B,71.57B,7.80B,,256.22B,845.61B,,7.208B,69.98B,48.93B,51.60B,7.20B,,,-600.00M,77.62B,,AOR,Restated
2013-06,72.40B,72.40B,74.10B,42.59B,116.70B,342.65B,14.02B,14.02B,-5.97B,8.051B,,,4.494B,,,,356.54B,,369.08B,938.46B,,209.27B,2.865B,212.14B,15.10B,227.24B,61.46B,61.46B,61.46B,447.66B,170.61B,,170.61B,69.40B,7.103B,,247.11B,860.41B,,7.208B,68.78B,48.76B,49.95B,7.20B,,,-583.00M,78.04B,,AOR,Restated
2013-03,63.33B,63.33B,77.92B,45.89B,123.81B,345.65B,14.03B,14.03B,-6.07B,7.96B,,,4.683B,,,,387.85B,,400.49B,959.22B,,203.53B,3.086B,206.61B,18.72B,225.33B,40.98B,40.98B,40.98B,421.67B,197.47B,,197.47B,72.68B,5.143B,,275.30B,882.00B,,6.208B,67.16B,48.73B,48.35B,6.20B,,,-208.00M,77.23B,,AOR,Restated
2012-12,72.67B,72.67B,72.87B,44.33B,117.21B,331.21B,17.27B,17.27B,-9.05B,8.217B,,,5.099B,,,,407.46B,,420.78B,938.56B,,194.48B,2.724B,197.21B,18.99B,216.20B,67.35B,67.35B,67.35B,455.36B,177.63B,,177.63B,70.12B,8.538B,,256.29B,862.84B,,6.208B,65.22B,48.03B,46.85B,6.20B,,,-193.00M,75.72B,,AOR,Restated
2012-09,63.64B,63.64B,84.36B,,84.36B,295.36B,,,,8.47B,3.763B,1.533B,5.296B,,,,415.81B,5.426B,429.58B,949.21B,,205.45B,2.103B,207.55B,4.638B,212.19B,47.27B,47.27B,47.27B,569.83B,197.27B,,197.27B,61.53B,8.214B,1.339B,267.01B,874.18B,,5.358B,62.64B,47.30B,45.33B,5.35B,,,-382.00M,73.69B,,AOR,Restated
2012-06,58.91B,58.91B,,,90.54B,316.80B,,,,8.616B,3.779B,1.621B,5.40B,,,,387.87B,5.757B,401.88B,948.64B,,221.68B,2.153B,223.84B,4.243B,228.08B,33.19B,33.19B,33.19B,571.66B,195.93B,,195.93B,57.32B,6.332B,,259.58B,875.78B,,4.858B,61.41B,47.06B,44.09B,4.85B,,,-506.00M,72.86B,,AOR,Restated
2012-03,57.14B,57.14B,85.60B,4.808B,90.41B,328.60B,,,,8.597B,3.782B,1.588B,5.37B,,,,386.17B,,400.14B,950.93B,,210.30B,,210.30B,,210.30B,48.72B,48.72B,48.72B,583.37B,204.73B,,204.73B,50.87B,,,255.60B,879.28B,,3.108B,60.72B,47.04B,42.59B,3.10B,,,-507.00M,71.66B,,AOR,Restated
2011-12,56.01B,56.01B,60.26B,22.53B,82.79B,326.58B,17.16B,17.16B,-8.46B,8.697B,,,5.468B,,,,364.87B,,379.04B,923.22B,,198.29B,533.00M,198.82B,4.108B,202.93B,78.22B,78.22B,78.22B,445.66B,182.81B,,182.81B,46.11B,6.006B,,234.93B,852.85B,,3.108B,58.83B,45.55B,42.28B,3.10B,,,-516.00M,70.38B,,AOR,Restated
