,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,UnrealizedGainorLoss-Total,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2018-03,1.207B,180.00M,1.387B,3.579B,,3.845B,1.337B,2.196B,3.411B,558.00M,,,9.201B,,,,,8.044B,-4.152B,3.892B,1.085B,960.00M,2.045B,1.288B,,908.00M,9.191B,18.39B,2.854B,,2.854B,1.422B,4.276B,,593.00M,,113.00M,706.00M,,706.00M,489.00M,489.00M,,5.832B,1.571B,,1.571B,,,,,615.00M,,902.00M,,2.078B,4.264B,10.10B,2.217B,11.64B,,5.061B,,,,,,-1.397B,7.394B
2017-12,1.369B,198.00M,1.567B,3.618B,,3.618B,1.216B,2.078B,3.166B,577.00M,,,8.928B,2.332B,,5.285B,441.00M,8.058B,-4.131B,3.927B,1.082B,973.00M,2.055B,1.156B,,966.00M,9.147B,18.08B,2.579B,274.00M,2.853B,1.095B,3.948B,,298.00M,,120.00M,418.00M,,418.00M,500.00M,500.00M,,5.677B,1.588B,,1.588B,391.00M,604.00M,995.00M,466.00M,770.00M,,905.00M,,134.00M,4.234B,9.911B,2.21B,11.46B,,4.905B,,,,,,-1.503B,7.259B
2017-09,1.29B,154.00M,1.444B,3.532B,,3.81B,1.243B,2.027B,3.146B,656.00M,,,9.056B,,,,,7.901B,-4.085B,3.816B,1.036B,964.00M,2.00B,1.213B,,995.00M,8.936B,17.99B,2.486B,,2.486B,1.43B,3.916B,,514.00M,,126.00M,640.00M,,640.00M,528.00M,528.00M,,5.758B,1.615B,,1.615B,,,,,647.00M,,932.00M,,1.411B,3.673B,9.431B,2.198B,11.79B,,4.849B,,,,,,-1.504B,7.629B
2017-06,1.293B,174.00M,1.467B,3.237B,,3.553B,1.192B,1.905B,2.982B,600.00M,,,8.602B,,,,,7.804B,-4.017B,3.787B,488.00M,339.00M,827.00M,1.162B,,1.03B,7.658B,16.26B,2.30B,,2.30B,1.366B,3.666B,,134.00M,,99.00M,233.00M,,233.00M,520.00M,520.00M,,4.894B,1.564B,,1.564B,,,,,645.00M,,329.00M,,1.335B,3.544B,8.438B,2.184B,11.52B,,4.586B,,,,,,-1.615B,7.493B
2017-03,1.322B,145.00M,1.467B,2.98B,,3.247B,1.145B,1.867B,2.894B,551.00M,,,8.159B,,,,,7.746B,-3.944B,3.802B,482.00M,345.00M,827.00M,1.059B,,1.002B,7.475B,15.63B,2.168B,,2.168B,1.293B,3.461B,,274.00M,,95.00M,369.00M,,369.00M,498.00M,498.00M,,4.662B,1.576B,,1.576B,,,,,642.00M,,311.00M,,1.278B,3.496B,8.158B,2.163B,11.26B,,4.524B,,,,,,-1.732B,7.165B
2016-12,1.12B,260.00M,1.38B,3.025B,,3.025B,1.005B,1.779B,2.675B,627.00M,,,7.707B,2.075B,,4.898B,662.00M,7.635B,-3.835B,3.80B,480.00M,332.00M,812.00M,946.00M,,1.015B,7.304B,15.01B,1.854B,,1.854B,1.303B,3.157B,,212.00M,,76.00M,288.00M,,288.00M,468.00M,468.00M,,4.325B,1.568B,,1.568B,76.00M,589.00M,665.00M,336.00M,806.00M,,299.00M,,137.00M,3.512B,7.837B,2.153B,11.04B,,4.489B,,,,,,-1.821B,6.875B
2016-09,1.251B,250.00M,1.501B,2.68B,,2.873B,1.146B,1.779B,2.82B,600.00M,,,7.794B,,,,,7.46B,-3.783B,3.677B,482.00M,319.00M,801.00M,1.077B,,1.014B,7.342B,15.14B,1.781B,,1.781B,1.318B,3.099B,,273.00M,,83.00M,356.00M,,356.00M,460.00M,460.00M,,4.308B,1.593B,,1.593B,,,,,627.00M,,330.00M,,1.344B,3.564B,7.872B,2.209B,10.83B,,4.468B,,,,,,-1.632B,6.934B
2016-06,1.045B,235.00M,1.28B,2.811B,,3.023B,1.106B,1.776B,2.778B,549.00M,,,7.63B,,,,,7.432B,-3.729B,3.703B,481.00M,328.00M,809.00M,1.073B,,1.041B,7.39B,15.02B,1.825B,,1.825B,1.282B,3.107B,,200.00M,,57.00M,257.00M,,257.00M,433.00M,433.00M,,4.15B,1.614B,,1.614B,,,,,627.00M,,334.00M,,1.434B,3.675B,7.825B,2.196B,10.72B,,4.422B,,,,,,-1.62B,6.861B
2016-03,915.00M,359.00M,1.274B,2.736B,,2.921B,1.033B,1.833B,2.759B,514.00M,,,7.468B,,,,,7.36B,-3.648B,3.712B,485.00M,344.00M,829.00M,1.053B,,1.002B,7.359B,14.83B,1.809B,,1.809B,1.165B,2.974B,,50.00M,100.00M,66.00M,216.00M,,216.00M,425.00M,425.00M,,3.917B,1.614B,,1.614B,,,,,637.00M,,340.00M,,1.399B,3.65B,7.567B,2.076B,10.47B,,4.203B,,,,,,-1.417B,6.92B
2015-12,1.711B,100.00M,1.811B,2.82B,,2.82B,1.022B,1.796B,2.707B,609.00M,,,7.947B,1.978B,,4.739B,605.00M,7.322B,-3.577B,3.745B,482.00M,328.00M,810.00M,975.00M,,922.00M,7.187B,15.13B,1.706B,,1.706B,1.222B,2.928B,,0.00,,63.00M,63.00M,,63.00M,403.00M,403.00M,,3.803B,1.576B,,1.576B,,583.00M,583.00M,327.00M,846.00M,,344.00M,,249.00M,3.581B,7.384B,2.178B,10.32B,,3.735B,,,,,,-1.348B,7.406B
2015-09,1.688B,35.00M,1.723B,2.915B,,3.159B,1.168B,2.001B,3.059B,921.00M,,,8.862B,,,,,7.262B,-3.545B,3.717B,481.00M,337.00M,818.00M,959.00M,,656.00M,6.935B,15.80B,1.824B,,1.824B,1.167B,2.991B,,,,58.00M,58.00M,,58.00M,414.00M,414.00M,,3.968B,1.595B,,1.595B,,,,,639.00M,,332.00M,,1.514B,3.748B,7.716B,2.173B,10.33B,,3.486B,,,,,,-1.258B,7.749B
2015-06,1.76B,89.00M,1.849B,3.118B,,3.422B,1.216B,1.888B,2.986B,746.00M,,,9.003B,,,,,7.151B,-3.498B,3.653B,473.00M,339.00M,812.00M,995.00M,,631.00M,6.875B,15.88B,1.974B,,1.974B,1.144B,3.118B,,,,101.00M,101.00M,,101.00M,402.00M,402.00M,,4.053B,1.576B,,1.576B,,,,,642.00M,,360.00M,,1.393B,3.611B,7.664B,2.164B,10.12B,,3.35B,,,,,,-1.071B,7.854B
2015-03,1.997B,115.00M,2.112B,2.93B,,3.24B,1.161B,1.896B,2.936B,712.00M,,,9.00B,,,,,7.046B,-3.409B,3.637B,470.00M,340.00M,810.00M,968.00M,,607.00M,6.736B,15.74B,2.013B,,2.013B,1.157B,3.17B,,,,104.00M,104.00M,,104.00M,393.00M,393.00M,,4.057B,1.602B,,1.602B,,,,,649.00M,,363.00M,,1.359B,3.61B,7.667B,2.146B,9.792B,,2.975B,,,,,,-1.245B,7.706B
2014-12,2.301B,93.00M,2.394B,2.946B,,2.946B,1.129B,1.859B,2.866B,849.00M,,,9.055B,1.822B,,4.722B,579.00M,7.123B,-3.437B,3.686B,479.00M,343.00M,822.00M,981.00M,,583.00M,6.709B,15.76B,1.881B,,1.881B,1.122B,3.003B,,,,109.00M,109.00M,,109.00M,401.00M,401.00M,,4.021B,1.577B,,1.577B,,513.00M,513.00M,312.00M,873.00M,,344.00M,,375.00M,3.65B,7.671B,2.139B,9.545B,,2.844B,,,,,,-1.078B,7.749B
2014-09,2.328B,53.00M,2.381B,2.774B,,3.059B,1.182B,1.775B,2.833B,795.00M,,,9.068B,,,,,6.899B,-3.435B,3.464B,465.00M,346.00M,811.00M,981.00M,,619.00M,6.576B,15.64B,1.93B,134.00M,2.064B,1.034B,3.098B,,,,105.00M,105.00M,,105.00M,328.00M,328.00M,,4.038B,1.584B,,1.584B,,,,,567.00M,,349.00M,,1.358B,3.509B,7.547B,2.125B,9.243B,,2.779B,,,-583.00M,,-244.00M,-827.00M,7.748B
2014-06,2.219B,158.00M,2.377B,2.845B,,3.188B,1.173B,1.694B,2.745B,770.00M,,,9.08B,,,,,6.739B,-3.41B,3.329B,465.00M,353.00M,818.00M,934.00M,,668.00M,6.42B,15.50B,1.905B,125.00M,2.03B,999.00M,3.029B,,,,63.00M,63.00M,,63.00M,316.00M,316.00M,,3.809B,1.627B,,1.627B,,,,,574.00M,,371.00M,,1.332B,3.533B,7.342B,2.113B,8.961B,,2.604B,,,-597.00M,,-72.00M,-669.00M,7.787B
2014-03,2.178B,129.00M,2.307B,2.661B,,2.949B,1.102B,1.598B,2.58B,663.00M,,,8.499B,,,,,6.563B,-3.331B,3.232B,464.00M,357.00M,821.00M,966.00M,,611.00M,6.252B,14.75B,1.887B,69.00M,1.956B,920.00M,2.876B,,,,61.00M,61.00M,,61.00M,295.00M,295.00M,,3.555B,1.632B,,1.632B,,,,,579.00M,,374.00M,,1.251B,3.462B,7.017B,2.101B,8.629B,,2.60B,,,-607.00M,,-148.00M,-755.00M,7.36B
2013-12,2.699B,150.00M,2.849B,2.649B,,2.649B,1.005B,1.487B,2.381B,760.00M,,,8.639B,1.427B,,4.174B,809.00M,6.41B,-3.254B,3.156B,461.00M,357.00M,818.00M,931.00M,,670.00M,6.089B,14.73B,1.557B,99.00M,1.656B,926.00M,2.582B,,,,68.00M,68.00M,,68.00M,285.00M,285.00M,,3.368B,1.672B,,1.672B,,414.00M,414.00M,275.00M,772.00M,,360.00M,,357.00M,3.49B,6.858B,2.099B,8.406B,,2.195B,,,-611.00M,,-173.00M,-784.00M,7.51B
2013-09,2.499B,162.00M,2.661B,2.449B,,2.709B,1.045B,1.581B,2.513B,643.00M,,,8.526B,,,,,6.182B,-3.234B,2.948B,457.00M,362.00M,819.00M,966.00M,,1.077B,5.81B,14.34B,1.613B,112.00M,1.725B,921.00M,2.646B,,,,62.00M,62.00M,,62.00M,269.00M,269.00M,,3.39B,1.731B,,1.731B,,,,,407.00M,,368.00M,,1.344B,3.482B,6.872B,2.095B,8.089B,,2.104B,,,-738.00M,,-230.00M,-968.00M,7.096B
2013-06,1.382B,205.00M,1.587B,2.479B,,2.745B,1.026B,1.561B,2.475B,597.00M,,,7.404B,,,,,6.077B,-3.195B,2.882B,450.00M,360.00M,810.00M,924.00M,,1.028B,5.644B,13.05B,1.669B,159.00M,1.828B,960.00M,2.788B,,,,83.00M,83.00M,,83.00M,243.00M,243.00M,,3.462B,754.00M,,754.00M,,,,,414.00M,,389.00M,,1.325B,2.493B,5.955B,2.082B,7.85B,,2.112B,,,-754.00M,,-345.00M,-1.099B,6.704B
2013-03,1.483B,196.00M,1.679B,2.25B,,2.496B,1.072B,1.43B,2.387B,658.00M,,,7.22B,,,,,5.942B,-3.173B,2.769B,444.00M,366.00M,810.00M,944.00M,,1.013B,5.536B,12.76B,1.554B,203.00M,1.757B,923.00M,2.68B,,,,67.00M,67.00M,,67.00M,230.00M,230.00M,,3.257B,736.00M,,736.00M,,,,,422.00M,,390.00M,,1.296B,2.454B,5.711B,2.064B,7.53B,,1.827B,,,-775.00M,,-320.00M,-1.095B,6.655B
2012-12,1.369B,247.00M,1.616B,2.475B,,2.475B,939.00M,1.393B,2.221B,855.00M,,,7.167B,1.228B,,3.91B,738.00M,5.876B,-3.152B,2.724B,445.00M,369.00M,814.00M,897.00M,,764.00M,5.381B,12.55B,1.339B,173.00M,1.512B,932.00M,2.444B,,,,77.00M,77.00M,,77.00M,215.00M,215.00M,,3.136B,698.00M,,698.00M,,368.00M,368.00M,282.00M,844.00M,,371.00M,,246.00M,2.438B,5.574B,2.058B,7.343B,,1.83B,,,-794.00M,,-156.00M,-950.00M,6.603B
2012-09,1.033B,239.00M,1.272B,2.266B,,2.503B,1.292B,1.39B,2.57B,770.00M,,,7.115B,,,,,5.691B,-3.134B,2.557B,443.00M,365.00M,808.00M,962.00M,,972.00M,5.299B,12.41B,1.46B,172.00M,1.632B,950.00M,2.582B,,,,131.00M,131.00M,,131.00M,208.00M,208.00M,,3.309B,670.00M,,670.00M,,1.184B,1.184B,,417.00M,,356.00M,,,2.271B,5.58B,2.027B,7.068B,,1.809B,,,-694.00M,,-114.00M,-808.00M,6.478B
2012-06,1.145B,261.00M,1.406B,2.331B,,2.62B,1.19B,1.502B,2.581B,639.00M,,,7.246B,,,,,5.475B,-3.051B,2.424B,345.00M,268.00M,613.00M,890.00M,,996.00M,4.923B,12.17B,1.634B,258.00M,1.892B,989.00M,2.881B,,,,141.00M,141.00M,,141.00M,208.00M,208.00M,,3.57B,653.00M,,653.00M,,966.00M,966.00M,,543.00M,,334.00M,,,2.162B,5.732B,2.016B,6.81B,,1.777B,,,-703.00M,,-243.00M,-946.00M,6.103B
2012-03,1.317B,252.00M,1.569B,2.388B,,2.684B,1.146B,1.348B,2.382B,682.00M,,,7.317B,,,,,5.416B,-3.025B,2.391B,342.00M,250.00M,592.00M,903.00M,,916.00M,4.802B,12.12B,1.731B,297.00M,2.028B,1.069B,3.097B,,,,33.00M,33.00M,,33.00M,211.00M,211.00M,,3.63B,650.00M,,650.00M,,896.00M,896.00M,,585.00M,,348.00M,,,2.131B,5.761B,1.997B,6.416B,,1.59B,,,-713.00M,,-100.00M,-813.00M,6.01B
2011-12,1.484B,277.00M,1.761B,2.252B,,2.526B,1.019B,1.22B,2.141B,663.00M,,,7.091B,1.001B,,3.562B,682.00M,5.245B,-2.957B,2.288B,339.00M,227.00M,566.00M,838.00M,,885.00M,4.577B,11.67B,1.546B,282.00M,1.828B,985.00M,2.813B,,,,125.00M,125.00M,,125.00M,208.00M,208.00M,,3.657B,658.00M,,658.00M,,252.00M,252.00M,279.00M,802.00M,,339.00M,,189.00M,2.18B,5.837B,2.001B,6.038B,,1.587B,,,-724.00M,,-214.00M,-938.00M,5.492B
2011-09,1.165B,273.00M,1.438B,2.398B,,2.666B,1.204B,1.192B,2.295B,350.00M,277.00M,,7.026B,,,,,5.131B,-2.963B,2.168B,346.00M,215.00M,561.00M,830.00M,125.00M,628.00M,4.312B,11.34B,1.659B,251.00M,1.91B,1.095B,3.005B,,,,48.00M,48.00M,,48.00M,208.00M,208.00M,,3.742B,665.00M,,665.00M,,866.00M,866.00M,,521.00M,,333.00M,,,2.052B,5.794B,1.982B,5.567B,,1.505B,,,,,,-811.00M,5.211B
2011-06,1.111B,363.00M,1.474B,2.511B,,2.78B,1.182B,1.196B,2.275B,303.00M,305.00M,,7.137B,,,,,5.103B,-2.986B,2.117B,348.00M,216.00M,564.00M,761.00M,115.00M,619.00M,4.176B,11.31B,1.686B,255.00M,1.941B,1.092B,3.033B,,,,59.00M,59.00M,,59.00M,202.00M,202.00M,,3.713B,702.00M,,702.00M,,839.00M,839.00M,,542.00M,,359.00M,,,2.083B,5.796B,1.945B,5.191B,,1.333B,,,,,,-645.00M,5.158B
2011-03,779.00M,307.00M,1.086B,2.288B,,2.57B,1.165B,1.13B,2.202B,329.00M,307.00M,,6.494B,,,,,5.026B,-2.962B,2.064B,368.00M,217.00M,585.00M,822.00M,187.00M,574.00M,4.232B,10.73B,1.626B,224.00M,1.85B,1.007B,2.857B,,,,82.00M,82.00M,,82.00M,189.00M,189.00M,,3.451B,685.00M,,685.00M,,810.00M,810.00M,,581.00M,,332.00M,,,2.076B,5.527B,1.925B,4.737B,,1.153B,,,-620.00M,,-22.00M,-642.00M,4.867B
2010-12,1.023B,339.00M,1.362B,1.935B,,2.243B,1.048B,1.019B,1.977B,393.00M,314.00M,,6.289B,0.00,955.00M,3.525B,447.00M,4.927B,-2.886B,2.041B,367.00M,222.00M,589.00M,734.00M,,749.00M,4.113B,10.40B,1.362B,202.00M,1.564B,964.00M,2.528B,,,,82.00M,82.00M,,82.00M,182.00M,182.00M,,3.26B,709.00M,,709.00M,,803.00M,803.00M,,634.00M,,326.00M,,,2.146B,5.406B,1.934B,4.445B,,964.00M,,,,,,-720.00M,4.67B
2010-06,924.00M,269.00M,1.193B,2.052B,,2.052B,876.00M,863.00M,1.652B,236.00M,312.00M,,5.445B,,,,,4.705B,-2.867B,1.838B,363.00M,225.00M,588.00M,622.00M,377.00M,340.00M,3.765B,9.21B,1.213B,,1.213B,1.365B,2.578B,,,,,87.00M,,87.00M,142.00M,142.00M,,2.807B,669.00M,,669.00M,,743.00M,743.00M,,831.00M,,277.00M,,,2.243B,5.05B,1.833B,3.90B,,890.00M,,,-786.00M,,-174.00M,-960.00M,3.883B
2010-03,885.00M,217.00M,1.102B,1.502B,,1.727B,771.00M,857.00M,1.549B,240.00M,302.00M,,4.92B,,,,,4.696B,-2.834B,1.862B,365.00M,239.00M,604.00M,638.00M,413.00M,332.00M,3.849B,8.769B,1.03B,,1.03B,909.00M,1.939B,,,,,95.00M,,95.00M,144.00M,144.00M,,2.486B,640.00M,,640.00M,,719.00M,719.00M,,872.00M,,261.00M,,,2.231B,4.717B,1.862B,3.689B,,769.00M,,,-794.00M,,-161.00M,-955.00M,3.791B
2009-12,930.00M,190.00M,1.12B,1.73B,,2.004B,638.00M,785.00M,1.341B,294.00M,244.00M,,5.003B,0.00,868.00M,3.494B,403.00M,4.765B,-2.879B,1.886B,364.00M,228.00M,592.00M,574.00M,436.00M,325.00M,3.813B,8.816B,957.00M,94.00M,1.051B,850.00M,1.901B,,,,37.00M,37.00M,,37.00M,128.00M,128.00M,,2.432B,637.00M,,637.00M,,760.00M,760.00M,,967.00M,,247.00M,,,2.364B,4.796B,1.824B,3.575B,,731.00M,,,-788.00M,,-107.00M,-895.00M,3.773B
2009-09,686.00M,148.00M,834.00M,,,1.731B,716.00M,833.00M,1.461B,254.00M,363.00M,,4.643B,,,,,4.736B,-2.877B,1.859B,363.00M,229.00M,592.00M,538.00M,400.00M,323.00M,3.712B,8.355B,875.00M,,875.00M,1.376B,2.251B,,,,,60.00M,,60.00M,,,,2.311B,621.00M,,621.00M,,740.00M,740.00M,,880.00M,,240.00M,,,2.241B,4.552B,1.799B,3.34B,,713.00M,,-1.00M,-741.00M,,-121.00M,-863.00M,3.563B
2009-06,534.00M,17.00M,551.00M,1.533B,192.00M,1.725B,774.00M,858.00M,1.535B,198.00M,364.00M,,4.373B,,,,,4.681B,-2.821B,1.86B,362.00M,241.00M,603.00M,527.00M,499.00M,259.00M,3.748B,8.121B,773.00M,,773.00M,1.278B,2.051B,,,,,63.00M,,63.00M,,,,2.114B,617.00M,,617.00M,,792.00M,792.00M,,1.003B,,223.00M,,,2.412B,4.526B,1.738B,3.28B,,714.00M,,-1.00M,-794.00M,,-137.00M,-932.00M,3.372B
2009-03,353.00M,65.00M,418.00M,1.538B,191.00M,1.729B,933.00M,906.00M,1.738B,196.00M,353.00M,,4.434B,,,,,4.574B,-2.741B,1.833B,,,607.00M,526.00M,507.00M,271.00M,3.744B,8.178B,912.00M,,912.00M,1.293B,2.205B,,,,,76.00M,,76.00M,,,,2.281B,651.00M,,651.00M,,781.00M,781.00M,,1.038B,,204.00M,,,2.47B,4.751B,1.732B,3.26B,,714.00M,,-3.00M,-801.00M,,-251.00M,-1.055B,3.223B
