,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,OtherCashfromOperations,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2016-06,282.00M,0.00,13.90M,,4.50M,4.50M,,,73.90M,73.90M,-21.70M,23.10M,,35.20M,,7.80M,321.20M,-160.90M,97.80M,,,,662.90M,,2016-06,-98.30M,0.00,0.00,-57.40M,0.00,15.97B,15.39B,,2016-06,-0.50M,,-0.50M,,-64.70M,-64.70M,-242.40M,-242.40M,-7.295B,-7.580B,,2016-06,8.473B,-3.20M,15.46B,,2016-06,,0.00,-64.70M,231.30M,3.50M,,2016-06,AOR,Restated
2016-03,532.50M,0.00,0.00,,4.40M,4.40M,,,73.30M,73.30M,-14.30M,23.00M,,31.70M,,13.10M,-434.60M,470.50M,19.40M,,,,719.00M,,2016-03,-82.60M,0.00,0.00,-54.40M,0.00,-9.907B,-10.39B,,2016-03,12.20M,,12.20M,,-318.00M,-318.00M,-242.40M,-242.40M,10.30B,9.806B,,2016-03,131.10M,15.40M,2.941B,,2016-03,,12.00M,-318.00M,108.40M,29.70M,,2016-03,AOR,Restated
2015-12,341.40M,0.00,-13.90M,,4.40M,-9.50M,,,72.60M,72.60M,7.30M,23.90M,,36.00M,,4.00M,-78.90M,-13.60M,23.10M,,,,406.30M,,2015-12,-104.10M,15.70M,15.70M,-60.30M,-0.30M,-5.925B,-6.185B,,2015-12,-0.70M,,-0.70M,,-464.90M,-464.90M,-229.80M,-229.80M,6.069B,5.399B,,2015-12,-380.00M,-9.80M,2.795B,,2015-12,,-0.10M,-464.90M,293.20M,1.90M,,2015-12,AOR,Restated
2015-09,336.60M,-21.80M,,,4.40M,-17.40M,,,68.80M,68.80M,29.40M,24.10M,,34.70M,,5.80M,-32.30M,-91.40M,-249.20M,,,,109.10M,,2015-09,-101.00M,,,-45.40M,162.50M,-137.80M,319.20M,,2015-09,1.986B,,1.986B,,-308.10M,-308.10M,-229.00M,-229.00M,-298.50M,1.128B,,2015-09,1.556B,-11.10M,3.185B,,2015-09,,1.986B,-308.10M,18.70M,2.40M,,2015-09,AOR,Restated
2015-06,336.20M,-78.40M,0.00,,3.90M,-74.50M,,,70.80M,70.80M,24.80M,24.90M,,32.50M,47.90M,7.10M,37.80M,4.60M,-2.30M,,,0.00,509.80M,,2015-06,-96.40M,0.00,0.00,-45.10M,98.60M,4.173B,3.716B,,2015-06,-0.50M,0.00,-0.50M,,-429.50M,-429.50M,-231.40M,-231.40M,-3.761B,-4.402B,,2015-06,-175.50M,6.20M,1.639B,,2015-06,,0.00,-429.50M,-227.30M,-1.30M,,2015-06,AOR,Restated
2015-03,489.60M,0.00,0.00,,3.90M,3.90M,,,70.00M,70.00M,-32.10M,25.10M,,35.80M,0.50M,4.40M,-26.80M,189.20M,98.20M,,,-0.70M,857.10M,,2015-03,-74.30M,0.00,0.00,-47.20M,0.00,6.248B,5.903B,,2015-03,-0.60M,0.00,-0.60M,,-665.50M,-665.50M,-234.90M,-234.90M,-5.911B,-6.753B,,2015-03,7.60M,-49.80M,1.809B,,2015-03,,0.00,-665.50M,-546.00M,-4.40M,,2015-03,AOR,Restated
2014-12,331.50M,0.00,0.00,,4.00M,4.00M,,,69.40M,69.40M,-17.30M,25.00M,,36.20M,-4.20M,16.70M,-213.90M,-37.10M,19.40M,,,-0.80M,228.90M,,2014-12,-84.80M,0.00,0.00,-40.50M,0.00,-13.38B,-13.65B,,2014-12,-0.60M,-1.937B,-1.938B,,-401.00M,-401.00M,-231.50M,-231.50M,15.68B,13.12B,,2014-12,-297.40M,-27.50M,1.851B,,2014-12,,0.00,-401.00M,,,,2014-12,AOR,Restated
2014-09,295.20M,0.00,,,5.80M,5.80M,,,67.70M,67.70M,9.30M,25.30M,,38.70M,-44.20M,200.30M,27.80M,-21.50M,-224.40M,,,-1.80M,378.20M,,2014-09,-80.00M,23.60M,23.60M,-43.90M,-8.10M,-178.50M,267.10M,,2014-09,-0.60M,-236.00M,-236.60M,,-61.20M,-61.20M,-229.80M,-229.80M,91.50M,-418.00M,,2014-09,227.30M,-35.20M,2.176B,,2014-09,,0.00,-61.20M,,,,2014-09,AOR,Restated
2014-06,299.30M,,,0.00,5.60M,-4.90M,,,70.70M,70.70M,18.20M,24.60M,,30.20M,-5.00M,5.90M,32.40M,59.60M,29.10M,,,44.40M,604.50M,,2014-06,-78.50M,0.00,0.00,-37.10M,0.00,5.829B,4.992B,,2014-06,-0.60M,2.173B,2.172B,,-208.30M,-208.30M,-231.10M,-231.10M,-7.088B,-5.294B,,2014-06,302.30M,10.30M,1.984B,,2014-06,,2.173B,-208.30M,,,,2014-06,AOR,Restated
2014-03,511.00M,,,-1.50M,6.30M,4.80M,,,64.90M,64.90M,-49.80M,23.60M,,30.30M,0.00,-0.50M,-97.00M,221.90M,31.40M,,,3.30M,743.90M,,2014-03,-84.70M,0.40M,0.40M,-35.10M,24.40M,2.551B,2.045B,,2014-03,-0.60M,0.00,-0.60M,,-41.80M,-41.80M,-231.20M,-231.20M,-2.142B,-2.381B,,2014-03,407.90M,-4.00M,1.671B,,2014-03,,,-41.80M,,,,2014-03,AOR,Restated
2013-12,377.00M,,,-11.50M,5.00M,-6.50M,,,67.00M,67.00M,-23.50M,23.40M,,33.30M,-10.10M,5.30M,-126.20M,35.70M,-23.00M,,,39.30M,391.70M,,2013-12,-74.90M,0.00,0.00,-40.50M,0.00,-8.233B,-8.728B,,2013-12,-1.50M,-2.477B,-2.478B,,-114.20M,-114.20M,-210.20M,-210.20M,11.20B,8.455B,,2013-12,118.40M,-0.30M,1.267B,,2013-12,,-2.477B,-114.20M,,,,2013-12,AOR,Restated
2013-09,328.60M,,,-3.50M,7.40M,3.90M,,,64.00M,64.00M,17.20M,22.80M,,23.30M,-34.80M,6.30M,20.10M,-43.80M,-283.70M,,,-42.60M,81.30M,,2013-09,-65.30M,0.00,0.00,-30.90M,0.00,2.390B,2.504B,,2013-09,-0.60M,2.477B,2.476B,,-303.00M,-303.00M,-210.60M,-210.60M,-5.162B,-3.138B,,2013-09,-552.10M,2.00M,1.149B,,2013-09,,2.477B,-303.00M,,,,2013-09,AOR,Restated
2013-06,227.00M,,0.00,-8.80M,4.90M,-3.90M,,,14.80M,14.80M,30.40M,21.50M,,3.90M,,-9.00M,163.00M,-4.30M,39.90M,,,65.70M,575.50M,,2013-06,-31.50M,0.00,0.00,-23.50M,-26.70M,7.735B,7.341B,,2013-06,-0.50M,0.00,-0.50M,,-245.30M,-245.30M,-210.80M,-210.80M,-7.438B,-7.863B,,2013-06,53.80M,-2.40M,1.699B,,2013-06,,0.00,-245.30M,,,,2013-06,AOR,Restated
2013-03,482.70M,,0.00,-6.00M,10.90M,4.90M,,,80.80M,80.80M,0.70M,19.90M,,27.60M,,7.20M,-136.00M,113.50M,14.50M,,,2.50M,618.30M,,2013-03,-69.40M,0.00,0.00,-22.40M,-14.60M,-6.039B,-6.776B,,2013-03,-8.30M,,-8.30M,,-95.10M,-95.10M,-210.40M,-210.40M,6.681B,6.427B,,2013-03,269.40M,-12.60M,1.648B,,2013-03,,,-95.10M,,,,2013-03,AOR,Restated
2012-12,354.10M,,-2.20M,-9.30M,10.90M,-0.60M,,,77.30M,77.30M,-4.50M,19.20M,,29.50M,,4.00M,-137.30M,103.20M,2.30M,,,1.30M,448.50M,,2012-12,-70.30M,10.00M,10.00M,-25.50M,161.40M,-2.80B,-2.860B,,2012-12,-0.50M,,-0.50M,,-112.40M,-112.40M,-192.20M,-192.20M,2.936B,2.680B,,2012-12,269.10M,4.40M,1.391B,,2012-12,,,-112.40M,,,,2012-12,AOR,Restated
2012-09,305.30M,,,-4.50M,10.90M,6.40M,,,78.30M,78.30M,7.10M,18.70M,,21.00M,,9.70M,-73.40M,-107.80M,-330.50M,,,0.10M,-65.10M,,2012-09,-64.00M,,,-33.50M,-0.70M,943.60M,715.90M,,2012-09,-8.20M,0.00,-8.20M,,-194.50M,-194.50M,-192.10M,-192.10M,-778.70M,-1.093B,,2012-09,-442.50M,11.80M,1.117B,,2012-09,,0.00,-194.50M,,,,2012-09,AOR,Restated
2012-06,258.40M,,0.00,-8.60M,9.20M,0.60M,,,82.00M,82.00M,29.80M,16.90M,0.00,28.30M,,-2.60M,-25.60M,38.60M,67.00M,,,5.70M,499.10M,,2012-06,-62.70M,5.60M,5.60M,-27.00M,-65.90M,8.766B,8.258B,,2012-06,-0.50M,,-0.50M,,-341.40M,-341.40M,-193.30M,-193.30M,-8.382B,-8.858B,,2012-06,-100.10M,-16.90M,1.548B,,2012-06,,,-341.40M,,,,2012-06,AOR,Restated
2012-03,452.40M,,0.00,-3.60M,9.20M,5.60M,,,80.20M,80.20M,0.20M,15.90M,2.20M,20.30M,,16.50M,-19.90M,102.20M,-16.00M,,,3.60M,663.20M,,2012-03,-69.10M,0.00,0.00,-31.30M,-23.50M,-5.925B,-6.583B,,2012-03,-0.50M,,-0.50M,,-102.00M,-102.00M,-192.50M,-192.50M,6.466B,6.244B,,2012-03,323.80M,10.00M,1.665B,,2012-03,,,-102.00M,,,,2012-03,AOR,Restated
2011-12,375.00M,,0.00,-8.20M,9.10M,-65.10M,,,78.20M,78.20M,-3.70M,14.40M,5.80M,27.00M,,-3.10M,-102.10M,109.70M,-5.20M,,,0.70M,431.60M,,2011-12,-60.40M,66.00M,66.00M,-27.20M,-174.40M,-4.195B,-4.314B,,2011-12,-0.50M,,-0.50M,,-48.70M,-48.70M,-176.20M,-176.20M,4.132B,3.976B,,2011-12,93.20M,-10.80M,1.331B,,2011-12,,,-48.70M,,,,2011-12,AOR,Restated
2011-09,302.70M,,,-4.00M,9.20M,5.20M,,,78.90M,78.90M,9.80M,12.80M,,18.50M,,3.80M,105.90M,-105.70M,-117.50M,,,1.90M,316.30M,,2011-09,-57.40M,,,-24.00M,-1.90M,6.192B,5.882B,,2011-09,-0.50M,,-0.50M,,-249.20M,-249.20M,-177.70M,-177.70M,-5.937B,-6.315B,,2011-09,-117.00M,-23.50M,1.249B,,2011-09,,,-249.20M,,,,2011-09,AOR,Restated
2011-06,241.80M,,0.00,-14.70M,10.20M,-4.50M,,,75.40M,75.40M,53.50M,12.80M,3.10M,31.80M,,1.10M,-66.30M,122.20M,,,91.90M,,485.50M,,2011-06,-96.70M,0.00,0.00,-36.90M,-1.30M,7.553B,7.294B,,2011-06,-0.40M,,-0.40M,,-558.00M,-558.00M,,-179.20M,-7.392B,-7.997B,,2011-06,-216.90M,5.40M,1.389B,,2011-06,,,-558.00M,,,,2011-06,AOR,Restated
2011-03,423.80M,,0.00,-4.30M,10.10M,5.80M,,,81.00M,81.00M,34.60M,13.70M,0.00,21.80M,,-1.10M,-144.30M,150.20M,,,-12.50M,,573.00M,,2011-03,-64.50M,0.00,0.00,-23.10M,-185.90M,-7.949B,-8.497B,,2011-03,-0.60M,,-0.60M,,-72.70M,-72.70M,,-177.60M,8.240B,8.206B,,2011-03,281.80M,13.40M,1.601B,,2011-03,,,-72.70M,,,,2011-03,AOR,Restated
2010-12,310.10M,,0.00,-3.60M,10.10M,6.50M,,,82.70M,82.70M,9.60M,14.10M,0.00,22.80M,,20.80M,45.90M,-114.40M,,,26.90M,,425.00M,,2010-12,-58.50M,0.10M,0.10M,-16.40M,-113.50M,-1.061B,-1.982B,,2010-12,-0.40M,,-0.40M,,-52.30M,-52.30M,,-167.60M,1.805B,1.692B,,2010-12,134.10M,-5.10M,1.306B,,2010-12,,,-52.30M,,,,2010-12,AOR,Restated
2010-09,278.50M,,-1.80M,-11.80M,10.10M,-3.50M,,,75.50M,75.50M,7.60M,13.00M,8.60M,13.90M,,12.80M,27.40M,-105.20M,,,-106.30M,,222.30M,,2010-09,-58.00M,13.00M,13.00M,-19.40M,-475.30M,-3.377B,-4.156B,,2010-09,-4.30M,,-4.30M,,-49.80M,-49.80M,,-168.00M,3.639B,3.439B,,2010-09,-494.60M,28.00M,1.177B,,2010-09,,,-49.80M,,,,2010-09,AOR,Restated
2010-06,207.90M,-0.30M,3.80M,-2.90M,8.70M,9.30M,,,76.40M,76.40M,45.30M,13.70M,9.10M,12.60M,,-0.90M,-17.20M,164.50M,-125.10M,,,0.10M,395.50M,,2010-06,-62.70M,0.00,0.00,-36.30M,20.50M,8.113B,7.702B,,2010-06,-1.60M,-10.53B,-9.801B,,-487.20M,-487.20M,,-175.30M,2.021B,-8.403B,,2010-06,-306.10M,-15.60M,1.643B,,2010-06,,-9.800B,-487.20M,,,,2010-06,AOR,Restated
2010-03,403.60M,-0.20M,0.00,-0.60M,8.60M,7.80M,,,78.00M,78.00M,8.10M,14.40M,0.00,18.30M,,-21.80M,-61.30M,156.20M,10.30M,,,0.10M,613.70M,,2010-03,-41.90M,0.00,0.00,-19.70M,-95.10M,-4.82B,-5.239B,,2010-03,-0.40M,5.112B,5.112B,,-127.30M,-127.30M,,-167.30M,,4.867B,,2010-03,241.60M,-17.70M,1.965B,,2010-03,,5.112B,-127.30M,,,,2010-03,AOR,Restated
2009-12,315.80M,,0.00,2.60M,8.70M,11.30M,,,77.30M,77.30M,19.10M,14.70M,0.00,19.20M,,24.00M,-94.60M,-107.90M,151.20M,,,-0.90M,429.20M,,2009-12,-71.10M,0.00,0.00,-51.20M,-3.50M,-4.836B,-5.210B,,2009-12,-0.50M,5.418B,4.687B,,-138.20M,-138.20M,,-165.20M,441.20M,4.932B,,2009-12,151.10M,7.20M,1.741B,,2009-12,,4.688B,-138.20M,,,,2009-12,AOR,Restated
2009-09,284.10M,,-1.50M,-0.70M,8.70M,6.50M,,,77.50M,77.50M,23.60M,14.50M,5.30M,17.50M,,7.50M,64.30M,-251.40M,-6.40M,,,0.70M,243.70M,,2009-09,-51.00M,3.10M,3.10M,-16.60M,-0.30M,-94.40M,367.70M,,2009-09,-0.40M,-730.00M,-730.40M,,-13.70M,-13.70M,,-165.60M,-441.20M,-1.306B,,2009-09,-695.00M,12.50M,1.583B,,2009-09,,,-13.70M,,,,2009-09,AOR,Restated
2009-06,352.60M,-5.40M,0.00,-2.50M,8.70M,0.80M,,,79.30M,79.30M,-19.80M,14.80M,0.00,10.50M,,38.70M,-4.50M,-4.40M,-42.20M,,,3.20M,427.50M,,2009-06,-77.60M,5.80M,5.80M,-32.20M,-40.70M,4.307B,4.994B,,2009-06,-12.20M,-4.386B,-4.398B,,0.00,0.00,,-165.50M,1.50M,-4.554B,,2009-06,866.50M,35.40M,2.265B,,2009-06,,-6.013B,0.00,,,,2009-06,AOR,Restated
2009-03,402.70M,0.00,0.00,6.60M,8.30M,14.90M,,,77.20M,77.20M,24.30M,14.60M,0.00,22.90M,,1.30M,65.70M,-167.40M,-2.00M,,,-0.70M,453.50M,,2009-03,-56.70M,0.00,0.00,-27.90M,-19.20M,3.919B,4.078B,,2009-03,-8.10M,-4.147B,-4.155B,,-129.20M,-129.20M,,-166.70M,,-4.475B,,2009-03,56.70M,1.80M,1.363B,,2009-03,,-4.147B,-129.20M,,,,2009-03,AOR,Restated
2008-12,300.40M,-0.10M,-2.20M,7.50M,8.30M,13.50M,,,73.90M,73.90M,-40.20M,14.60M,0.00,34.70M,,-5.30M,-207.70M,218.30M,-41.40M,,-77.40M,,283.40M,,2008-12,-58.00M,0.00,0.00,-19.50M,-3.00M,-9.176B,-9.214B,,2008-12,12.00M,8.797B,8.809B,,-193.70M,-193.70M,,-148.30M,406.50M,8.883B,,2008-12,-47.70M,-43.80M,1.305B,,2008-12,,8.809B,-193.70M,,,,2008-12,,Restated
2008-09,276.90M,1.10M,0.00,0.80M,8.50M,10.40M,,,77.30M,77.30M,-12.20M,14.30M,0.00,27.90M,,1.10M,-6.10M,-68.80M,,,77.40M,,398.20M,,2008-09,-61.50M,19.90M,19.90M,-16.40M,-4.20M,17.80M,-500.90M,,2008-09,-12.90M,1.351B,1.338B,,-257.50M,-257.50M,,-148.90M,-406.50M,614.10M,,2008-09,511.40M,-32.50M,1.396B,,2008-09,,1.363B,-257.50M,,,,2008-09,,Restated
2008-06,233.50M,,,1.80M,11.20M,-77.00M,,,72.90M,72.90M,-95.80M,13.20M,,28.80M,,96.60M,161.30M,37.50M,,43.80M,-40.50M,,473.60M,,2008-06,-82.90M,0.00,0.00,-28.90M,-6.90M,7.934B,7.906B,,2008-06,-0.40M,-5.175B,-5.176B,,-393.10M,-393.10M,,-147.50M,-3.468B,-9.115B,,2008-06,-735.00M,7.80M,917.50M,,2008-06,,-5.175B,-393.10M,,,,2008-06,,Restated
2008-03,413.70M,,,-0.50M,28.80M,-51.40M,,,78.60M,78.60M,37.00M,29.50M,,94.80M,,-77.40M,-113.50M,80.40M,,73.40M,79.70M,56.50M,701.30M,,2008-03,-57.30M,0.00,137.40M,-67.70M,102.40M,-4.201B,-4.683B,,2008-03,11.50M,5.175B,5.194B,-130.50M,-230.30M,-360.80M,,-151.10M,-538.90M,4.313B,,2008-03,331.80M,-7.60M,1.645B,,2008-03,-130.50M,5.196B,-230.30M,,,,2008-03,,Restated
