,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,OtherReceivables,TotalReceivables,Inventories,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,AsOriginallyReported,Restated
2013-09,1.149B,541.90M,1.691B,1.507B,78.50M,,1.586B,,16.94B,823.20M,21.04B,,,,,,,735.20M,3.096B,639.10M,3.735B,2.549B,,140.00M,,1.286B,8.446B,29.48B,,2013-09,98.40M,452.90M,1.608B,2.061B,2.477B,,2.477B,2.477B,302.90M,302.90M,17.06B,21.90B,14.20M,,14.20M,271.50M,490.70M,762.20M,612.70M,1.389B,23.29B,,13.14B,436.80M,7.518B,70.50M,6.193B,AOR,Restated
2013-06,1.699B,28.00M,1.727B,1.516B,79.10M,,1.595B,,22.23B,646.60M,26.21B,731.70M,,1.309B,,2.041B,-1.312B,728.60M,3.039B,643.20M,3.682B,314.00M,,138.70M,,1.190B,6.054B,32.27B,,2013-06,39.00M,402.20M,1.810B,2.212B,0.00,,0.00,0.00,314.60M,314.60M,22.21B,24.73B,14.70M,,14.70M,234.40M,493.20M,727.60M,603.10M,1.345B,26.08B,,13.02B,456.90M,7.367B,15.40M,6.190B,AOR,Restated
2013-03,1.648B,32.60M,1.680B,1.646B,77.60M,,1.724B,,30.34B,693.00M,34.43B,,,,,,,716.70M,3.068B,644.40M,3.713B,77.00M,,136.70M,,1.090B,5.733B,40.17B,,2013-03,85.20M,442.10M,1.648B,2.091B,,,,,324.50M,324.50M,29.70B,32.12B,15.30M,,15.30M,383.50M,488.90M,872.40M,599.00M,1.487B,33.61B,,13.00B,451.20M,7.167B,209.30M,6.561B,AOR,Restated
2012-12,1.391B,43.90M,1.435B,1.604B,,,1.604B,,23.76B,754.50M,27.55B,,,,,,,712.90M,3.101B,670.60M,3.771B,82.40M,,135.60M,,1.075B,5.778B,33.33B,,2012-12,25.90M,373.80M,1.688B,2.062B,,,,,298.40M,298.40M,23.08B,25.44B,15.80M,,15.80M,385.70M,484.60M,870.30M,610.10M,1.496B,26.93B,,12.73B,439.80M,7.155B,314.20M,6.395B,AOR,Restated
2012-09,1.117B,35.70M,1.153B,1.386B,77.40M,,1.463B,,20.47B,756.30M,23.97B,,,,,,,703.90M,3.089B,683.80M,3.773B,522.40M,,130.70M,,1.042B,6.172B,30.14B,,2012-09,95.00M,421.70M,1.457B,1.878B,,,,,298.90M,298.90M,20.17B,22.35B,16.30M,,16.30M,411.20M,466.00M,877.20M,606.80M,1.500B,23.85B,,12.55B,476.80M,7.149B,349.40M,6.293B,AOR,Restated
2012-06,1.548B,30.40M,1.578B,1.315B,76.70M,,1.392B,,21.54B,631.60M,25.27B,710.40M,,1.246B,,1.956B,-1.250B,706.30M,3.062B,688.30M,3.750B,86.90M,,129.80M,,871.50M,5.545B,30.82B,,2012-06,39.30M,395.10M,1.660B,2.055B,,,,,312.90M,312.90M,20.89B,23.25B,16.80M,,16.80M,381.50M,466.50M,848.00M,585.90M,1.451B,24.70B,,12.44B,486.40M,7.105B,230.20M,6.114B,AOR,Restated
2012-03,1.665B,28.00M,1.693B,1.297B,82.70M,,1.373B,,29.84B,643.90M,33.55B,,,,,,,710.20M,3.164B,723.10M,3.887B,96.80M,143.40M,-16.30M,,1.002B,5.823B,39.38B,,2012-03,97.20M,425.00M,1.448B,1.873B,,,,,343.50M,343.50M,29.21B,31.42B,17.30M,,17.30M,418.50M,474.70M,893.20M,585.10M,1.496B,32.92B,,12.37B,484.20M,6.823B,359.70M,6.457B,AOR,Restated
2011-12,1.331B,23.90M,1.355B,1.354B,,,1.354B,,23.35B,659.40M,26.73B,,,,,,,707.90M,3.13B,731.50M,3.862B,98.70M,,125.20M,,964.00M,5.757B,32.48B,,2011-12,45.10M,371.60M,963.00M,1.335B,,,,,325.30M,325.30M,22.69B,24.80B,25.50M,,25.50M,409.30M,464.40M,873.70M,605.30M,1.504B,26.30B,,12.11B,479.20M,6.813B,339.50M,6.182B,AOR,Restated
2011-09,1.249B,19.10M,1.268B,1.163B,81.90M,,1.237B,,19.27B,667.90M,22.45B,,,,,,,708.30M,2.998B,686.70M,3.684B,99.70M,,124.80M,,949.20M,5.566B,28.02B,,2011-09,84.10M,379.40M,869.90M,1.249B,,,,,325.50M,325.50M,18.55B,20.51B,26.00M,,26.00M,415.40M,465.70M,881.10M,582.10M,1.489B,22.00B,,11.93B,466.70M,6.849B,406.50M,6.019B,AOR,Restated
2011-06,1.389B,36.30M,1.426B,1.288B,76.40M,,1.365B,,25.14B,648.30M,28.58B,698.40M,,1.253B,,1.952B,-1.236B,716.20M,3.074B,715.70M,3.789B,98.00M,,128.70M,,922.60M,5.655B,34.24B,,2011-06,28.60M,356.10M,1.489B,1.845B,,,,,350.90M,350.90M,24.59B,26.79B,34.20M,,34.20M,373.50M,477.20M,850.70M,556.20M,1.441B,28.23B,,11.80B,489.50M,6.714B,367.10M,6.010B,AOR,Restated
2011-03,1.601B,43.60M,1.644B,1.219B,83.60M,,1.294B,,32.45B,680.80M,36.08B,,,,,,,685.40M,3.072B,718.70M,3.791B,96.60M,,125.30M,,815.10M,5.513B,41.60B,,2011-03,40.10M,348.00M,700.50M,1.048B,,,,,378.60M,378.60M,32.02B,33.97B,34.60M,,34.60M,381.70M,459.90M,841.60M,551.60M,1.428B,35.40B,,11.74B,479.30M,6.287B,198.90M,6.194B,AOR,Restated
2010-12,1.306B,36.30M,1.342B,1.058B,87.90M,,1.137B,,24.22B,662.10M,27.37B,,,,,,,676.90M,2.879B,682.80M,3.562B,99.30M,,127.70M,,823.30M,5.289B,32.66B,,2010-12,32.20M,322.70M,726.60M,1.049B,,,,,337.70M,337.70M,23.68B,25.49B,35.10M,,35.10M,361.60M,464.80M,826.40M,530.30M,1.392B,26.88B,,11.50B,464.80M,6.446B,197.50M,5.776B,AOR,Restated
2010-09,1.177B,40.40M,1.217B,1.162B,,,1.162B,,,23.30B,25.68B,,,,,,,664.90M,2.789B,684.10M,3.473B,99.10M,,126.90M,,835.60M,5.200B,30.88B,,2010-09,143.10M,439.50M,1.086B,1.525B,,,,,330.60M,330.60M,21.82B,23.68B,35.60M,,35.60M,431.20M,465.60M,896.80M,512.50M,1.445B,25.12B,,11.36B,460.60M,6.513B,382.50M,5.757B,AOR,Restated
2010-06,1.643B,27.90M,1.671B,1.037B,100.90M,,1.128B,,18.83B,673.40M,22.32B,0.00,700.10M,1.129B,,1.829B,-1.155B,673.80M,2.383B,542.40M,2.926B,104.30M,,129.40M,,712.30M,4.546B,26.86B,,2010-06,60.00M,374.50M,771.00M,1.146B,,,,,321.50M,321.50M,18.14B,20.05B,39.80M,,39.80M,306.40M,456.90M,763.30M,528.00M,1.331B,21.38B,,11.25B,493.00M,6.540B,209.50M,5.479B,AOR,Restated
2010-03,1.965B,38.50M,2.004B,1.131B,,,1.131B,,,27.18B,30.32B,,,,,,,690.00M,2.431B,554.20M,2.985B,104.10M,,133.80M,,757.90M,4.671B,34.99B,,2010-03,123.20M,390.60M,1.061B,1.452B,0.00,,0.00,0.00,333.30M,333.30M,25.96B,27.74B,41.30M,,41.30M,315.60M,474.50M,790.10M,474.50M,1.306B,29.05B,,11.21B,481.50M,6.085B,266.70M,5.938B,AOR,Restated
2009-12,1.741B,40.60M,1.782B,1.089B,,,1.089B,,,22.06B,24.93B,,,,,,,707.40M,2.413B,558.30M,2.972B,90.60M,,142.00M,,761.00M,4.672B,29.60B,,2009-12,40.50M,309.30M,1.115B,1.425B,0.00,,0.00,0.00,326.80M,326.80M,20.81B,22.56B,41.80M,,41.80M,328.20M,475.60M,803.80M,444.90M,1.290B,23.85B,,10.98B,468.70M,6.075B,311.10M,5.748B,AOR,Restated
2009-09,1.583B,36.60M,1.619B,994.30M,,,994.30M,,,17.10B,19.72B,,,,,,,723.50M,2.410B,557.40M,2.967B,99.20M,,147.70M,,780.10M,4.718B,24.44B,,2009-09,143.10M,399.90M,1.087B,1.487B,0.00,,0.00,0.00,323.40M,323.40M,15.63B,17.44B,42.20M,,42.20M,350.00M,484.00M,834.00M,461.90M,1.338B,18.78B,,10.84B,470.00M,6.055B,339.90M,5.654B,AOR,Restated
2009-06,2.265B,30.80M,2.296B,1.051B,,,1.051B,,,17.36B,20.71B,0.00,721.10M,1.188B,,1.909B,-1.175B,734.30M,2.376B,578.70M,2.954B,92.40M,,162.60M,,702.70M,4.646B,25.35B,,2009-06,230.70M,523.10M,1.180B,1.703B,730.00M,,730.00M,730.00M,329.80M,329.80M,16.00B,18.76B,42.70M,,42.70M,254.10M,491.80M,745.90M,477.10M,1.266B,20.03B,,10.72B,520.00M,6.134B,156.00M,5.323B,AOR,Restated
2009-03,1.363B,32.50M,1.396B,1.044B,,,1.044B,,,22.04B,24.48B,,,,,,,715.50M,2.270B,578.70M,2.849B,77.70M,,184.60M,,865.80M,4.692B,29.17B,,2009-03,214.70M,476.00M,1.055B,1.531B,,,,,326.30M,326.30M,21.01B,22.86B,43.10M,,43.10M,198.80M,487.30M,686.10M,588.00M,1.317B,24.18B,,10.53B,511.90M,6.138B,25.00M,4.992B,AOR,Restated
2008-12,1.305B,66.70M,1.372B,1.166B,,,1.166B,,,26.12B,28.66B,,,,,1.848B,-1.126B,721.00M,2.282B,573.20M,2.855B,,,,,1.128B,4.704B,33.36B,,2008-12,,96.40M,1.261B,1.357B,,,,,317.90M,317.90M,25.55B,27.23B,51.20M,,51.20M,148.70M,,148.70M,1.096B,1.296B,28.52B,,10.29B,500.60M,6.063B,43.90M,4.838B,,Restated
2008-09,1.396B,1.523B,2.919B,993.60M,,,993.60M,,,677.40M,4.590B,,,,,1.857B,-1.126B,730.80M,2.369B,604.50M,2.974B,,,,,15.88B,19.59B,24.18B,,2008-09,,103.80M,1.076B,1.180B,,,1.363B,1.363B,319.90M,319.90M,15.22B,18.08B,39.20M,,39.20M,103.00M,,103.00M,1.093B,1.235B,19.32B,,10.16B,465.10M,5.876B,50.00M,4.861B,,Restated
2008-06,917.50M,666.30M,1.584B,1.035B,,,1.035B,,,16.19B,18.81B,0.00,714.30M,1.155B,,1.869B,-1.126B,742.90M,2.427B,637.10M,3.064B,76.50M,,234.00M,,808.30M,4.926B,23.73B,,2008-06,258.90M,531.50M,1.148B,1.679B,0.00,,0.00,0.00,356.10M,356.10M,15.31B,17.34B,52.10M,,52.10M,170.00M,495.60M,665.60M,587.90M,1.306B,18.65B,,10.03B,522.00M,5.805B,,5.087B,,Restated
2008-03,1.645B,31.60M,1.676B,1.179B,,,1.179B,,,24.96B,27.82B,,,,,1.753B,-1.020B,732.60M,2.421B,659.20M,3.080B,,,,,1.143B,4.956B,32.78B,,2008-03,,99.40M,1.598B,1.697B,,,,,,,24.17B,25.86B,52.50M,,52.50M,281.60M,,281.60M,1.080B,1.414B,27.28B,,9.953B,463.60M,5.460B,478.10M,5.499B,,Restated
2007-12,1.320B,20.80M,1.341B,1.070B,,,1.070B,,,680.10M,3.091B,,,,,1.752B,-1.020B,731.00M,2.416B,678.90M,3.095B,,,,,20.63B,24.45B,27.55B,,2007-12,,96.00M,1.493B,1.589B,,,,,,,163.50M,1.753B,36.70M,,36.70M,184.10M,,184.10M,20.39B,20.62B,22.37B,,9.684B,436.90M,5.325B,317.10M,5.178B,,
2007-09,1.429B,146.40M,1.575B,957.80M,,,957.80M,,,545.50M,3.078B,,,,,1.743B,-1.020B,722.20M,2.374B,689.30M,3.063B,,,,,18.84B,22.62B,25.70B,,2007-09,,91.40M,1.386B,1.477B,,,345.90M,345.90M,,,135.20M,1.958B,43.50M,,43.50M,109.80M,,109.80M,18.59B,18.75B,20.71B,,9.556B,384.70M,5.088B,80.80M,4.998B,,
2007-06,1.746B,70.40M,1.816B,1.042B,,,1.042B,,,505.80M,3.364B,0.00,684.50M,1.060B,,1.744B,-1.020B,723.80M,2.354B,688.00M,3.042B,,,,,19.52B,23.28B,26.65B,,2007-06,,125.90M,1.527B,1.653B,,,,,,,137.80M,1.791B,43.50M,,43.50M,127.70M,,127.70M,19.54B,19.71B,21.50B,,9.378B,351.80M,4.613B,-33.40M,5.148B,,
