,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDiluted,,SharesData(Quarterly),DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2011-06,2.865B,2.865B,1.496B,1.369B,651.60M,,,-4.80M,1.70M,-384.40M,-386.10M,651.60M,717.80M,-384.40M,1.70M,-386.10M,12.30M,-386.10M,344.00M,111.40M,232.60M,,,241.80M,226.51M,345.70M,,2011-06,0.47,0.02,0.49,,2011-06,0.47,0.02,0.49,,2011-06,0.36,,2011-06,AOR,Restated
2011-03,2.589B,2.589B,1.521B,1.068B,577.30M,,,0.60M,1.40M,158.60M,157.20M,577.30M,490.80M,158.60M,1.40M,157.20M,5.00M,157.20M,653.00M,229.20M,423.80M,,,423.80M,420.56M,654.40M,,2011-03,0.85,0.00,0.85,,2011-03,0.85,0.00,0.85,,2011-03,0.36,,2011-03,AOR,Restated
2010-12,2.406B,2.406B,1.380B,1.025B,570.10M,,,0.60M,2.80M,27.90M,25.10M,570.10M,455.30M,27.90M,2.80M,25.10M,4.20M,25.10M,484.60M,174.50M,310.10M,,,310.10M,307.41M,487.40M,,2010-12,0.63,0.00,0.63,,2010-12,0.62,0.00,0.62,,2010-12,0.36,,2010-12,AOR,Restated
2010-09,2.229B,2.229B,1.312B,917.50M,515.60M,,,37.20M,2.70M,,-2.70M,515.60M,401.90M,,2.70M,-2.70M,37.20M,-2.70M,436.40M,157.90M,278.50M,,,278.50M,254.76M,439.10M,,2010-09,0.57,0.00,0.57,,2010-09,0.56,0.00,0.56,,2010-09,0.34,,2010-09,AOR,Restated
2010-06,2.594B,2.594B,1.282B,1.312B,611.90M,,,-106.70M,1.80M,-304.70M,-306.50M,611.90M,699.60M,-304.70M,1.80M,-306.50M,-87.60M,-306.50M,305.50M,97.90M,207.60M,0.30M,,207.90M,280.11M,307.30M,,2010-06,0.42,0.00,0.42,,2010-06,0.42,0.00,0.41,,2010-06,0.34,,2010-06,AOR,Restated
2010-03,2.295B,2.295B,1.331B,964.60M,504.90M,,,26.60M,1.20M,147.90M,146.70M,504.90M,459.70M,147.90M,1.20M,146.70M,26.60M,146.70M,633.00M,231.40M,401.60M,2.00M,,403.60M,384.72M,634.20M,,2010-03,0.80,0.00,0.80,,2010-03,0.79,0.00,0.80,,2010-03,0.34,,2010-03,AOR,Restated
2009-12,2.070B,2.070B,1.227B,843.10M,518.90M,,,29.60M,2.50M,127.70M,125.20M,518.90M,324.20M,127.70M,2.50M,125.20M,29.60M,125.20M,479.00M,164.00M,315.00M,0.80M,,315.80M,295.53M,481.50M,,2009-12,0.63,0.00,0.63,,2009-12,0.62,0.00,0.62,,2009-12,0.34,,2009-12,AOR,Restated
2009-09,1.968B,2.096B,1.190B,906.60M,491.50M,,,-3.30M,3.20M,164.20M,161.00M,491.50M,415.10M,164.20M,3.20M,161.00M,-2.60M,161.00M,445.60M,162.70M,282.90M,1.20M,,284.10M,284.55M,448.80M,,2009-09,0.56,0.01,0.57,,2009-09,0.56,0.00,0.56,,2009-09,0.33,,2009-09,AOR,Restated
2009-06,1.955B,2.101B,1.193B,907.70M,574.30M,,,-105.80M,3.50M,174.10M,170.60M,574.30M,333.40M,174.10M,3.50M,170.60M,-103.30M,170.60M,360.80M,13.60M,347.20M,5.40M,,352.60M,446.61M,364.30M,,2009-06,0.69,0.01,0.71,,2009-06,0.69,0.01,0.70,,2009-06,0.33,,2009-06,AOR,Restated
2009-03,2.204B,2.369B,1.215B,1.154B,518.90M,,,17.50M,2.50M,181.20M,178.70M,518.90M,635.10M,181.20M,2.50M,178.70M,-4.10M,178.70M,628.50M,226.40M,402.10M,0.40M,,402.50M,404.72M,631.00M,,2009-03,0.80,0.00,0.80,,2009-03,0.80,0.00,0.80,,2009-03,0.33,,2009-03,AOR,Restated
