,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,,SharesData(Quarterly),AverageBasicSharesOutstanding,,SECFilingLinks,AsOriginallyReported,Restated
2016-12,513.93M,513.93M,240.88M,273.05M,144.18M,15.69M,,-46.16M,16.36M,0.15M,-16.21M,,159.87M,113.18M,0.15M,16.36M,-16.21M,-46.16M,-16.21M,50.82M,-10.06M,60.88M,0.187M,0.00,61.06M,30.15M,67.18M,,2016-12,1.38,1.39,,2016-12,1.29,0.01,,2016-12,44.06M,,2016-12,AOR,Restated
2016-09,455.65M,455.65M,214.05M,241.60M,139.80M,15.07M,,-0.251M,12.89M,0.115M,-12.77M,,154.86M,86.74M,0.115M,12.89M,-12.77M,-0.251M,-12.77M,73.71M,7.514M,66.20M,0.122M,0.00,66.32M,29.75M,86.60M,,2016-09,1.50,1.51,,2016-09,1.40,0.00,,2016-09,44.04M,,2016-09,AOR,Restated
2016-06,473.55M,473.55M,217.15M,256.40M,142.98M,15.47M,,-18.76M,11.91M,0.129M,-11.78M,,158.46M,97.94M,0.129M,11.91M,-11.78M,-18.76M,-11.78M,67.40M,8.007M,59.40M,0.193M,-0.285M,59.30M,30.05M,79.31M,,2016-06,1.36,1.36,,2016-06,1.25,0.00,,2016-06,43.55M,,2016-06,AOR,Restated
2016-03,424.89M,424.89M,199.75M,225.15M,136.35M,12.35M,,-8.949M,13.78M,0.08M,-13.70M,,148.70M,76.45M,0.08M,13.78M,-13.70M,-8.949M,-13.70M,53.79M,2.613M,51.18M,-0.312M,-0.179M,50.69M,27.96M,67.58M,,2016-03,1.22,1.22,,2016-03,1.05,-0.01,,2016-03,41.65M,,2016-03,AOR,Restated
2015-12,484.50M,484.50M,224.18M,260.32M,148.22M,13.22M,,-2.131M,13.64M,0.079M,-13.56M,,161.44M,98.88M,0.079M,13.64M,-13.56M,-2.131M,-13.56M,83.19M,-7.577M,90.76M,10.52M,-0.158M,101.12M,29.08M,96.83M,,2015-12,2.18,2.43,,2015-12,1.88,0.21,,2015-12,41.61M,,2015-12,AOR,Restated
2015-09,443.71M,443.71M,215.50M,228.21M,138.84M,12.57M,,-0.252M,14.31M,0.13M,-14.18M,,151.41M,76.80M,0.13M,14.31M,-14.18M,-0.252M,-14.18M,62.37M,0.803M,61.57M,-0.719M,-0.028M,60.82M,27.10M,76.68M,,2015-09,1.48,1.46,,2015-09,1.27,-0.02,,2015-09,41.60M,,2015-09,AOR,Restated
2015-06,452.04M,452.04M,218.81M,233.24M,142.23M,13.44M,,-11.03M,16.21M,0.154M,-16.05M,,155.67M,77.57M,0.154M,16.21M,-16.05M,-11.03M,-16.05M,50.48M,5.28M,45.20M,-0.19M,-0.446M,44.56M,26.56M,66.69M,,2015-06,1.08,1.07,,2015-06,0.93,-0.01,,2015-06,41.56M,,2015-06,AOR,Restated
2015-03,429.43M,429.43M,206.79M,222.64M,139.70M,12.88M,,-4.448M,17.17M,0.169M,-17.00M,,152.58M,70.06M,0.169M,17.17M,-17.00M,-4.448M,-17.00M,48.60M,9.332M,39.27M,-0.703M,-0.218M,38.35M,25.66M,65.78M,,2015-03,0.94,0.92,,2015-03,0.83,-0.02,,2015-03,41.47M,,2015-03,AOR,Restated
2014-12,476.01M,476.01M,234.99M,241.02M,153.26M,17.24M,,-1.358M,16.81M,0.212M,-16.60M,,170.50M,70.51M,0.212M,16.81M,-16.60M,-1.358M,-16.60M,52.56M,0.426M,52.13M,-1.188M,-0.307M,50.64M,26.67M,69.37M,,2014-12,1.25,1.23,,2014-12,1.10,-0.02,,2014-12,41.42M,,2014-12,AOR,Restated
2014-09,457.17M,457.17M,221.01M,236.17M,138.25M,14.87M,,-1.108M,17.18M,0.161M,-17.02M,,153.12M,83.04M,0.161M,17.18M,-17.02M,-1.108M,-17.02M,64.91M,9.684M,55.23M,-0.271M,-0.126M,54.83M,28.36M,82.10M,,2014-09,1.33,1.32,,2014-09,1.18,-0.01,,2014-09,41.40M,,2014-09,AOR,Restated
2014-06,468.10M,468.10M,224.02M,244.09M,146.84M,14.87M,,-7.623M,16.06M,0.146M,-15.92M,,161.71M,82.38M,0.146M,16.06M,-15.92M,-7.623M,-15.92M,58.84M,10.01M,48.83M,-1.125M,-0.453M,47.25M,28.50M,74.90M,,2014-06,1.17,1.14,,2014-06,1.04,-0.03,,2014-06,41.38M,,2014-06,AOR,Restated
2014-03,438.55M,438.55M,217.39M,221.16M,140.30M,14.06M,,-7.78M,15.40M,0.187M,-15.22M,,154.36M,66.80M,0.187M,15.40M,-15.22M,-7.78M,-15.22M,43.80M,8.534M,35.27M,-0.125M,-0.186M,34.96M,27.60M,59.21M,,2014-03,0.85,0.85,,2014-03,0.77,-0.01,,2014-03,41.26M,,2014-03,AOR,Restated
2013-12,450.54M,450.54M,225.60M,224.94M,143.76M,17.88M,,-9.247M,14.34M,0.166M,-14.17M,,161.63M,63.31M,0.166M,14.34M,-14.17M,-9.247M,-14.17M,39.89M,4.589M,35.30M,-0.236M,-0.238M,34.83M,25.17M,54.23M,,2013-12,0.85,0.85,,2013-12,0.78,-0.01,,2013-12,41.16M,,2013-12,AOR,Restated
2013-09,413.80M,413.80M,209.80M,203.99M,115.23M,15.64M,3.354M,-8.334M,13.95M,0.144M,-13.80M,,130.87M,73.13M,0.144M,13.95M,-13.80M,-8.334M,-13.80M,50.99M,5.209M,45.78M,1.029M,-0.234M,46.57M,23.38M,64.94M,,2013-09,1.11,1.13,,2013-09,1.05,0.02,,2013-09,41.13M,,2013-09,AOR,Restated
2013-06,420.06M,420.06M,210.57M,209.49M,116.25M,16.52M,,-12.96M,14.42M,0.157M,-14.27M,,132.78M,76.71M,0.157M,14.42M,-14.27M,-12.96M,-14.27M,49.48M,6.082M,43.40M,-0.766M,-0.194M,42.44M,21.84M,63.91M,,2013-06,1.05,1.03,,2013-06,0.99,-0.02,,2013-06,41.12M,,2013-06,AOR,Restated
2013-03,411.88M,411.88M,211.36M,200.52M,126.95M,15.01M,,-9.159M,14.19M,0.157M,-14.04M,,141.96M,58.56M,0.157M,14.19M,-14.04M,-9.159M,-14.04M,35.37M,7.667M,27.70M,-0.462M,-0.201M,27.04M,22.59M,49.56M,,2013-03,0.67,0.66,,2013-03,0.64,-0.01,,2013-03,41.01M,,2013-03,AOR,Restated
2012-12,419.06M,419.06M,219.88M,199.18M,121.52M,16.26M,,-2.953M,14.62M,0.247M,-14.37M,,137.79M,61.39M,0.247M,14.62M,-14.37M,-2.953M,-14.37M,44.07M,13.45M,30.61M,-1.037M,-0.254M,29.32M,22.05M,58.69M,,2012-12,0.75,0.72,,2012-12,0.75,-0.03,,2012-12,40.94M,,2012-12,AOR,Restated
2012-09,368.05M,368.05M,187.49M,180.57M,114.88M,14.76M,0.00,-1.088M,18.49M,0.34M,-18.15M,,129.64M,50.93M,0.34M,18.49M,-18.15M,-1.088M,-18.15M,31.69M,7.237M,24.45M,-2.521M,-0.188M,21.74M,20.07M,50.18M,,2012-09,0.59,0.53,,2012-09,0.58,-0.06,,2012-09,40.89M,,2012-09,AOR,Restated
2012-06,383.33M,383.33M,198.97M,184.36M,105.95M,13.70M,,0.011M,18.24M,0.506M,-17.73M,,119.65M,64.71M,0.506M,18.24M,-17.73M,0.011M,-17.73M,46.99M,-0.278M,47.27M,-4.367M,-0.286M,42.61M,19.21M,65.23M,,2012-06,1.15,1.04,,2012-06,1.14,-0.11,,2012-06,40.83M,,2012-06,AOR,Restated
2012-03,380.57M,380.57M,196.45M,184.11M,112.14M,11.55M,,-330.80M,18.21M,0.478M,-17.73M,,123.69M,60.42M,0.478M,18.21M,-17.73M,-330.80M,-17.73M,-288.11M,-3.998M,-284.11M,0.605M,-0.227M,-283.74M,19.14M,-269.90M,,2012-03,-6.97,-6.96,,2012-03,-6.97,0.01,,2012-03,40.77M,,2012-03,AOR,Restated
2011-12,403.04M,403.04M,213.29M,189.75M,110.78M,12.91M,,-2.989M,19.21M,0.584M,-18.62M,,123.69M,66.06M,0.584M,19.21M,-18.62M,-2.989M,-18.62M,44.45M,2.644M,41.80M,126.42M,-0.425M,167.80M,20.53M,63.66M,,2011-12,1.02,4.13,,2011-12,1.02,3.08,,2011-12,40.73M,,2011-12,AOR,Restated
2011-09,362.74M,362.74M,187.11M,175.63M,101.58M,12.32M,,0.173M,19.18M,0.318M,-18.86M,,113.90M,61.73M,0.318M,19.18M,-18.86M,0.173M,-18.86M,43.05M,10.12M,32.92M,11.14M,-0.414M,43.65M,20.74M,62.22M,,2011-09,0.80,1.07,,2011-09,0.80,0.27,,2011-09,40.68M,,2011-09,AOR,Restated
2011-06,381.17M,381.17M,199.82M,181.35M,109.84M,12.46M,,-3.992M,15.78M,0.253M,-15.53M,,122.29M,59.06M,0.253M,15.78M,-15.53M,-3.992M,-15.53M,39.53M,8.436M,31.10M,3.389M,-0.417M,34.07M,20.36M,55.32M,,2011-06,0.76,0.84,,2011-06,0.75,0.08,,2011-06,40.54M,,2011-06,AOR,Restated
2011-03,354.00M,354.00M,189.50M,164.50M,103.21M,11.04M,,-15.19M,16.15M,0.105M,-16.04M,,114.24M,50.26M,0.105M,16.15M,-16.04M,-15.19M,-16.04M,19.03M,4.915M,14.11M,64.08M,-0.382M,77.81M,21.34M,35.17M,,2011-03,0.35,1.94,,2011-03,0.34,1.58,,2011-03,40.06M,,2011-03,AOR,Restated
2010-12,350.72M,350.72M,183.55M,167.16M,106.67M,12.21M,,-17.13M,21.29M,0.144M,-21.14M,,119.07M,48.10M,0.144M,21.29M,-21.14M,-17.13M,-21.14M,9.821M,-1.769M,11.59M,69.85M,-0.358M,81.08M,17.93M,31.11M,,2010-12,0.29,2.03,,2010-12,0.29,1.72,,2010-12,39.99M,,2010-12,AOR,Restated
2010-09,345.04M,345.04M,178.48M,166.56M,101.54M,10.57M,,-31.50M,20.05M,0.219M,-19.83M,-0.183M,111.93M,54.63M,0.219M,20.05M,-19.83M,-31.50M,-19.83M,3.311M,-7.676M,10.99M,11.55M,-0.339M,22.20M,21.31M,23.36M,,2010-09,0.27,0.56,,2010-09,0.27,0.28,,2010-09,39.93M,,2010-09,AOR,Restated
2010-06,358.43M,358.43M,184.13M,174.30M,99.77M,10.29M,,-0.075M,19.53M,0.15M,-19.38M,,110.06M,64.24M,0.15M,19.53M,-19.38M,-0.075M,-19.38M,44.79M,12.44M,32.35M,28.18M,-0.378M,60.15M,20.74M,64.32M,,2010-06,0.80,1.51,,2010-06,0.80,0.70,,2010-06,39.91M,,2010-06,AOR,Restated
2010-03,367.33M,367.33M,190.44M,176.90M,100.57M,9.311M,,-0.463M,18.99M,0.206M,-18.79M,,109.88M,67.02M,0.206M,18.99M,-18.79M,-0.463M,-18.79M,47.77M,14.25M,33.52M,4.438M,-0.286M,37.67M,22.00M,66.76M,,2010-03,0.84,0.95,,2010-03,0.83,0.11,,2010-03,39.79M,,2010-03,AOR,Restated
2009-12,471.31M,471.31M,278.10M,193.21M,109.96M,8.96M,,-1.645M,20.99M,0.634M,-20.36M,0.00,118.92M,74.29M,0.634M,20.99M,-20.36M,-1.645M,-20.36M,52.28M,8.197M,44.09M,-1.071M,-0.314M,42.70M,24.26M,73.28M,,2009-12,1.11,1.08,,2009-12,1.10,-0.03,,2009-12,39.74M,,2009-12,AOR,Restated
2009-09,440.74M,440.74M,244.41M,196.33M,113.63M,9.618M,0.00,-4.783M,21.07M,0.233M,-20.84M,,123.25M,73.08M,0.233M,21.07M,-20.84M,-4.783M,-20.84M,47.46M,13.24M,34.22M,4.395M,-0.305M,38.31M,24.47M,68.53M,,2009-09,0.85,0.96,,2009-09,0.85,0.11,,2009-09,39.72M,,2009-09,AOR,Restated
2009-06,439.24M,439.24M,241.18M,198.05M,117.61M,8.42M,,-12.89M,22.00M,1.459M,-20.54M,,126.03M,72.02M,1.459M,22.00M,-20.54M,-12.89M,-20.54M,38.58M,5.448M,33.14M,-26.36M,-0.302M,6.47M,21.81M,60.58M,,2009-06,0.83,0.16,,2009-06,0.82,-0.66,,2009-06,39.72M,,2009-06,AOR,Restated
2009-03,440.07M,440.07M,251.61M,188.45M,117.13M,7.565M,,-5.06M,25.40M,0.209M,-25.19M,,124.70M,63.76M,0.209M,25.40M,-25.19M,-5.06M,-25.19M,33.51M,8.912M,24.60M,201.01M,-10.10M,215.51M,27.29M,58.90M,,2009-03,0.61,5.43,,2009-03,0.61,4.79,,2009-03,39.69M,,2009-03,AOR,Restated
2008-12,242.24M,242.24M,117.56M,124.68M,103.60M,,,-15.77M,,,,,103.30M,21.38M,,,,-15.77M,,-24.36M,6.351M,-4.934M,59.33M,,19.57M,15.92M,-4.047M,,2008-12,-0.15,0.50,,2008-12,-0.15,0.63,,2008-12,39.68M,,2008-12,AOR,Restated
2008-09,595.88M,595.88M,357.06M,238.82M,144.33M,,,-0.47M,,,,,144.33M,94.49M,,,,-0.47M,,65.65M,13.70M,42.32M,,-9.627M,42.32M,28.18M,94.49M,,2008-09,1.07,1.07,,2008-09,1.06,0.00,,2008-09,39.64M,,2008-09,,
2008-06,624.08M,624.08M,365.44M,258.65M,162.85M,,,-2.591M,,,,,162.85M,95.80M,,,,-2.591M,,62.29M,15.40M,37.79M,-2.845M,-9.098M,34.94M,31.83M,95.80M,,2008-06,0.96,0.88,,2008-06,0.95,-0.07,,2008-06,39.56M,,2008-06,,
2008-03,542.11M,542.11M,328.67M,213.44M,147.57M,,,-8.874M,31.08M,0.961M,-30.12M,,147.57M,65.87M,0.961M,31.08M,-30.12M,-8.874M,-30.12M,26.87M,11.66M,15.21M,14.79M,-7.054M,22.94M,27.98M,57.95M,,2008-03,0.38,0.58,,2008-03,0.38,0.20,,2008-03,39.45M,,2008-03,,Restated
2007-12,583.11M,583.11M,381.51M,201.60M,147.77M,,,-53.78M,,,,,147.77M,53.83M,,,,-53.78M,,-43.70M,-5.407M,-46.22M,111.61M,-7.933M,65.38M,11.33M,53.83M,,2007-12,-1.18,1.66,,2007-12,-1.18,2.84,,2007-12,39.42M,,2007-12,,
2007-09,458.56M,458.56M,304.58M,153.98M,95.62M,,,-4.73M,,,,,95.62M,58.36M,,,,-4.73M,,48.33M,104.36M,-63.22M,6.188M,-7.20M,-57.04M,23.23M,58.36M,,2007-09,-1.61,-1.45,,2007-09,-1.61,0.16,,2007-09,39.37M,,2007-09,,
2007-06,452.32M,452.32M,288.99M,163.33M,103.56M,,,-3.202M,,,,,103.56M,59.77M,,,,-3.202M,,49.12M,9.166M,33.25M,60.62M,-6.708M,93.86M,29.74M,59.77M,,2007-06,0.85,2.39,,2007-06,0.84,1.53,,2007-06,39.22M,,2007-06,,
2007-03,440.34M,440.34M,278.89M,161.45M,98.31M,,,0.352M,,,,,98.31M,63.14M,,,,0.352M,,55.59M,14.65M,33.83M,10.44M,-7.108M,44.27M,14.46M,63.14M,,2007-03,0.87,1.14,,2007-03,0.86,0.27,,2007-03,39.03M,,2007-03,,
2006-12,-164.78M,-164.78M,-193.42M,28.64M,13.89M,,,-6.08M,,,,,13.89M,14.75M,,,,-6.08M,,0.028M,-4.836M,-0.132M,37.85M,-4.996M,37.72M,25.88M,14.75M,,2006-12,1.12,0.97,,2006-12,1.11,-0.15,,2006-12,38.98M,,2006-12,,
2006-09,605.52M,605.52M,424.91M,180.62M,112.93M,,,-2.822M,,,,,112.93M,67.69M,,,,-2.822M,,56.32M,15.00M,34.70M,1.27M,-6.627M,35.97M,28.45M,67.69M,,2006-09,0.88,0.91,,2006-09,0.88,0.03,,2006-09,39.46M,,2006-09,,
2006-06,650.18M,650.18M,453.33M,196.85M,127.23M,,,-10.30M,,,,,127.23M,69.62M,,,,-10.30M,,50.01M,10.09M,33.98M,2.656M,-5.935M,36.64M,22.12M,69.62M,,2006-06,0.84,0.91,,2006-06,0.84,0.07,,2006-06,40.24M,,2006-06,,
2006-03,599.88M,599.88M,420.84M,179.05M,120.91M,,,-3.85M,,,,,120.91M,58.14M,,,,-3.85M,,45.85M,12.66M,27.54M,1.565M,-5.653M,29.11M,22.55M,58.14M,,2006-03,0.68,0.72,,2006-03,0.68,0.04,,2006-03,40.35M,,2006-03,,
2005-12,-306.13M,-306.13M,-293.19M,-12.93M,-3.408M,,,4.819M,,,,,-3.408M,-9.525M,,,,4.819M,,-12.92M,-5.677M,-11.07M,48.59M,-3.821M,37.52M,23.30M,-9.525M,,2005-12,1.02,0.93,,2005-12,1.00,-0.08,,2005-12,40.41M,,2005-12,,
2005-09,587.39M,587.39M,421.33M,166.06M,104.67M,,,-0.207M,,,,,104.67M,61.40M,,,,-0.207M,,51.39M,10.36M,35.71M,-2.114M,-5.318M,33.60M,26.32M,61.40M,,2005-09,0.88,0.83,,2005-09,0.87,-0.05,,2005-09,40.57M,,2005-09,,
2005-06,657.01M,657.96M,466.77M,191.19M,116.22M,,,-6.653M,,,,,116.22M,74.96M,,,,-6.653M,,56.80M,13.48M,38.14M,-9.165M,-5.181M,28.97M,25.92M,74.96M,,2005-06,0.94,0.71,,2005-06,0.93,-0.23,,2005-06,40.64M,,2005-06,,
2005-03,623.60M,623.60M,449.86M,173.74M,116.35M,,,-7.294M,,,,,116.35M,57.40M,,,,-7.294M,,39.01M,9.45M,24.86M,13.86M,-4.698M,38.73M,25.31M,57.40M,,2005-03,0.61,0.95,,2005-03,0.61,0.34,,2005-03,40.45M,,2005-03,,
2004-12,644.95M,644.95M,465.46M,179.49M,135.58M,,,-69.40M,,,,,132.85M,46.65M,,,,-69.40M,,-37.10M,-16.98M,-26.00M,-46.61M,-5.886M,-72.61M,30.48M,46.65M,,2004-12,-0.65,-1.78,,2004-12,-0.65,-1.13,,2004-12,40.36M,,2004-12,,
2004-09,575.94M,575.94M,402.80M,173.14M,126.84M,,,-0.563M,,,,,126.84M,46.30M,,,,-0.563M,,33.15M,5.209M,23.48M,-5.991M,-4.457M,17.49M,28.78M,46.30M,,2004-09,0.58,0.43,,2004-09,0.58,-0.15,,2004-09,40.27M,,2004-09,,
2004-06,593.11M,593.11M,423.47M,169.64M,114.01M,,,5.083M,,,,,114.01M,55.63M,,,,5.083M,,54.57M,13.56M,36.24M,-2.079M,-4.764M,34.16M,22.22M,55.63M,,2004-06,0.90,0.85,,2004-06,0.89,-0.05,,2004-06,40.20M,,2004-06,,
2004-03,579.69M,579.69M,415.30M,164.39M,110.77M,,,,,,,,110.77M,53.62M,,,,,,46.84M,11.14M,31.60M,-2.123M,-4.112M,29.47M,25.07M,53.62M,,2004-03,0.79,0.74,,2004-03,0.78,-0.05,,2004-03,39.99M,,2004-03,,
2003-12,477.84M,477.84M,320.89M,156.95M,84.19M,,,0.00,,,,,81.12M,75.82M,,,,0.00,,66.17M,10.74M,38.90M,,,29.80M,19.50M,75.82M,,2003-12,0.98,0.75,,2003-12,0.97,-0.23,,2003-12,39.75M,,2003-12,,
2003-09,550.85M,550.85M,410.61M,140.24M,108.35M,,,,,,,,108.35M,31.89M,,,,,,25.31M,7.087M,18.22M,,,18.22M,27.08M,31.89M,,2003-09,0.46,0.46,,2003-09,0.45,0.00,,2003-09,39.66M,,2003-09,,
2003-06,577.94M,577.94M,423.34M,154.61M,103.17M,,,,,,,,103.17M,51.44M,,,,,,44.83M,13.00M,31.84M,,,31.84M,26.62M,51.44M,,2003-06,0.81,0.81,,2003-06,0.80,0.00,,2003-06,39.54M,,2003-06,,
2003-03,546.22M,546.22M,403.94M,142.28M,97.25M,,,3.068M,,,,,97.25M,45.03M,,,,3.068M,,41.54M,12.29M,29.24M,,,29.24M,25.41M,45.03M,,2003-03,0.74,0.74,,2003-03,0.74,0.00,,2003-03,39.45M,,2003-03,,
2002-12,399.92M,399.92M,274.55M,125.37M,64.04M,,,,,,,,53.96M,71.41M,,,,,,64.94M,12.81M,35.94M,,,35.03M,22.45M,71.41M,,2002-12,0.82,0.82,,2002-12,0.81,-0.0227,,2002-12,42.98M,,2002-12,,
2002-09,508.24M,508.24M,375.75M,132.49M,93.07M,,,,,,,,93.07M,39.42M,,,,,,33.14M,6.86M,26.28M,,,26.28M,24.82M,39.42M,,2002-09,0.67,0.67,,2002-09,0.66,0.00,,2002-09,39.34M,,2002-09,,
2002-06,546.31M,546.31M,397.39M,148.92M,94.56M,,,,,,,,94.56M,54.35M,,,,,,48.11M,14.58M,33.54M,,,33.54M,23.17M,54.35M,,2002-06,0.85,0.85,,2002-06,0.84,0.00,,2002-06,39.24M,,2002-06,,
