,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,,EndingCash(Quarterly),BeginningCash,ChangeinCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,SECFilingLinks,AsOriginallyReported,Restated
2018-03,54.93M,,,,14.83M,37.82M,52.65M,52.65M,-1.472M,,0.00,4.787M,9.498M,-3.402M,0.032M,-3.406M,-27.18M,,,0.417M,-33.54M,86.64M,,2018-03,-15.75M,,-15.75M,-3.684M,,,,2018-03,-18.50M,,-18.50M,,,,-15.45M,-15.45M,1.40M,-0.165M,,2018-03,333.56M,34.50M,378.87M,,2018-03,,,-18.50M,,2018-03,AOR,Restated
2017-12,-42.85M,,,0.00,14.11M,34.79M,48.90M,48.90M,-26.14M,,0.00,4.888M,-0.091M,-17.47M,-2.106M,4.556M,14.87M,,,122.03M,121.89M,101.32M,,2017-12,-16.93M,,-16.93M,-751.24M,,-6.332M,,2017-12,8.00M,,8.00M,,,,-15.33M,-15.33M,0.832M,-7.64M,,2017-12,1.018B,-687.32M,333.56M,,2017-12,,500.00M,-492.00M,,2017-12,AOR,Restated
2017-09,79.40M,,,0.00,14.31M,22.60M,36.91M,36.91M,-6.903M,,0.00,4.985M,-9.016M,1.357M,-8.07M,-4.013M,17.59M,,,9.786M,16.65M,121.84M,,2017-09,-17.14M,,-17.14M,-17.25M,,0.00,,2017-09,249.70M,,249.70M,,,,-15.32M,-15.32M,3.434M,-0.092M,,2017-09,676.21M,325.17M,1.018B,,2017-09,,769.00M,-519.30M,,2017-09,AOR,Restated
2017-06,78.36M,,,0.011M,13.90M,22.59M,36.49M,36.49M,-5.698M,,,5.294M,3.016M,-13.62M,-6.865M,1.228M,3.845M,,,4.682M,-10.73M,106.06M,,2017-06,-23.94M,,-23.94M,-17.94M,,0.00,,2017-06,-90.02M,,-90.02M,,,,-15.30M,-15.30M,1.81M,-0.074M,,2017-06,689.13M,-39.41M,676.21M,,2017-06,,0.00,-90.02M,,2017-06,AOR,Restated
2017-03,40.35M,,,5.582M,14.18M,18.78M,32.96M,32.96M,-3.081M,,,4.24M,6.714M,18.69M,-5.322M,-1.224M,2.696M,,,-10.67M,4.171M,90.67M,,2017-03,-12.89M,,-12.89M,-975.52M,,6.332M,,2017-03,1.056B,,1.056B,,,,-15.29M,-15.29M,-0.505M,-19.19M,,2017-03,543.79M,129.85M,689.13M,,2017-03,,1.194B,-138.25M,,2017-03,AOR,Restated
2016-12,60.88M,,,-0.194M,14.14M,16.00M,30.15M,30.15M,-20.65M,,,4.331M,-4.362M,-15.34M,12.02M,-4.797M,-1.968M,,,5.569M,-4.516M,108.33M,,2016-12,-17.22M,,-17.22M,10.20M,,-9.792M,,2016-12,-0.078M,,-0.078M,,,,-14.98M,-14.98M,1.421M,-7.149M,,2016-12,499.46M,70.73M,543.79M,,2016-12,,0.00,-0.078M,,2016-12,AOR,Restated
2016-09,66.20M,,,-2.776M,13.66M,16.09M,29.75M,29.75M,-7.407M,,,4.591M,-10.78M,14.55M,-2.333M,0.946M,20.89M,,,6.474M,40.53M,119.84M,,2016-09,-16.38M,,-16.38M,-10.92M,,5.807M,,2016-09,-51.31M,,-51.31M,,,,-14.98M,-14.98M,1.054M,-10.47M,,2016-09,476.49M,22.64M,499.46M,,2016-09,,6.70M,-58.01M,,2016-09,AOR,Restated
2016-06,59.40M,,,18.88M,14.01M,16.04M,30.05M,30.05M,-2.048M,,,4.512M,4.186M,0.331M,1.82M,3.987M,-8.002M,,,1.545M,-0.319M,113.60M,,2016-06,-11.71M,,-11.71M,-3.117M,,2.734M,,2016-06,8.53M,,8.53M,,,,-14.82M,-14.82M,3.413M,-8.254M,,2016-06,392.56M,90.37M,476.49M,,2016-06,,665.00M,-656.47M,,2016-06,AOR,Restated
2016-03,51.18M,,,-1.019M,12.60M,15.36M,27.96M,27.96M,0.756M,,,3.437M,1.64M,-10.57M,-5.104M,-3.749M,4.502M,,,-2.202M,-17.12M,66.71M,,2016-03,-7.822M,,-7.822M,0.00,,1.251M,,2016-03,-0.009M,,-0.009M,,,,-14.18M,-14.18M,3.18M,-0.061M,,2016-03,338.37M,49.07M,392.56M,,2016-03,,0.00,-0.009M,,2016-03,AOR,Restated
2015-12,90.76M,,,0.00,11.98M,17.10M,29.08M,29.08M,-32.45M,,,4.088M,0.517M,9.112M,11.53M,-4.663M,2.738M,,,15.97M,34.69M,126.00M,,2015-12,-15.88M,,-15.88M,-29.95M,,-0.408M,,2015-12,-0.13M,,-0.13M,,,,-14.15M,-14.15M,0.179M,-0.564M,,2015-12,276.46M,65.10M,338.37M,,2015-12,,0.00,-0.13M,,2015-12,AOR,Restated
2015-09,61.57M,,,-0.408M,11.65M,15.45M,27.10M,27.10M,-22.58M,,,3.253M,-8.754M,9.27M,-3.009M,0.715M,0.111M,,,-0.094M,6.993M,66.58M,,2015-09,-14.24M,,-14.24M,-25.89M,,0.408M,,2015-09,-52.65M,,-52.65M,,,,-14.15M,-14.15M,-0.028M,-4.257M,,2015-09,325.01M,-44.23M,276.46M,,2015-09,,0.00,-52.65M,,2015-09,AOR,Restated
2015-06,45.20M,,,10.45M,11.47M,15.09M,26.56M,26.56M,-0.46M,,,3.294M,-0.456M,3.922M,-2.317M,5.677M,-6.785M,,,-17.85M,-17.36M,66.99M,,2015-06,-16.88M,,-16.88M,-30.18M,,,,2015-06,7.171M,,7.171M,,,,-14.12M,-14.12M,5.132M,-9.578M,,2015-06,308.76M,8.542M,325.01M,,2015-06,,258.10M,-250.93M,,2015-06,AOR,Restated
2015-03,39.27M,,,,10.92M,14.74M,25.66M,25.66M,1.085M,,,3.832M,0.283M,-21.91M,-14.58M,-4.756M,3.819M,,,9.651M,-27.77M,41.23M,,2015-03,-14.44M,,-14.44M,-7.375M,,,,2015-03,29.95M,,29.95M,,,,-14.12M,-14.12M,-0.289M,-3.989M,,2015-03,303.24M,30.96M,308.76M,,2015-03,,30.00M,-0.052M,,2015-03,AOR,Restated
2014-12,52.13M,,,,12.80M,13.87M,26.67M,26.67M,-11.34M,,,3.102M,-0.301M,6.952M,7.553M,5.509M,-4.44M,,,-4.391M,11.18M,79.71M,,2014-12,-19.35M,,-19.35M,-11.99M,,-5.251M,,2014-12,-0.093M,,-0.093M,,,,-14.08M,-14.08M,1.309M,-0.805M,,2014-12,286.38M,29.45M,303.24M,,2014-12,,0.00,-0.093M,,2014-12,AOR,Restated
2014-09,55.23M,,,,13.41M,14.95M,28.36M,28.36M,-5.619M,,,3.399M,0.855M,1.802M,-6.699M,-6.494M,15.99M,,,1.813M,6.411M,88.22M,,2014-09,-17.37M,,-17.37M,0.02M,,1.112M,,2014-09,-0.009M,,-0.009M,,,,-14.08M,-14.08M,0.545M,-0.414M,,2014-09,237.38M,58.02M,286.38M,,2014-09,,0.00,-0.009M,,2014-09,AOR,Restated
2014-06,48.83M,,,,12.42M,16.08M,28.50M,28.50M,-0.704M,,,2.652M,0.619M,-5.326M,-8.912M,8.434M,14.40M,,,-10.25M,-1.654M,77.88M,,2014-06,-18.74M,,-18.74M,0.456M,,2.47M,,2014-06,-230.00M,,-230.00M,,,,-14.04M,-14.04M,2.068M,-4.279M,,2014-06,421.65M,-184.19M,237.38M,,2014-06,,250.00M,-480.00M,,2014-06,AOR,Restated
2014-03,35.27M,,,,11.58M,16.02M,27.60M,27.60M,3.515M,,,3.074M,-1.662M,5.966M,-7.473M,-6.027M,-16.13M,,,-2.214M,-25.88M,40.75M,,2014-03,-12.11M,,-12.11M,-29.05M,,1.669M,,2014-03,0.00,,0.00,,,,-14.05M,-14.05M,0.323M,-0.09M,,2014-03,431.98M,-12.56M,421.65M,,2014-03,,0.00,0.00,,2014-03,AOR,Restated
2013-12,35.30M,,,0.00,11.63M,13.54M,25.17M,25.17M,-8.896M,,0.106M,3.445M,10.92M,11.10M,14.64M,-0.506M,0.428M,,,3.713M,29.38M,94.27M,,2013-12,-8.94M,,-8.94M,-268.56M,,,,2013-12,298.00M,,298.00M,,,,-14.00M,-14.00M,1.441M,-0.626M,,2013-12,326.44M,101.58M,431.98M,,2013-12,,298.00M,0.00,,2013-12,AOR,Restated
2013-09,45.78M,,,1.25M,10.86M,12.52M,23.38M,23.38M,2.065M,,3.354M,2.66M,-1.286M,5.689M,5.778M,-5.723M,0.41M,,,-3.727M,2.427M,78.90M,,2013-09,-17.74M,,-17.74M,-3.496M,,,,2013-09,7.00M,,7.00M,,,,-13.97M,-13.97M,0.848M,-13.24M,,2013-09,281.42M,38.29M,326.44M,,2013-09,,382.00M,-375.00M,,2013-09,AOR,Restated
2013-06,43.40M,,,,9.723M,12.11M,21.84M,21.84M,-2.998M,,,2.975M,-3.778M,-1.664M,-15.66M,0.738M,14.36M,,,-8.232M,-10.46M,50.17M,,2013-06,-21.26M,,-21.26M,-38.50M,,,,2013-06,0.00,,0.00,,,,-13.98M,-13.98M,-1.263M,-3.044M,,2013-06,306.55M,-27.88M,281.42M,,2013-06,,0.00,0.00,,2013-06,AOR,Restated
2013-03,27.70M,,,,10.15M,12.44M,22.59M,22.59M,-0.353M,,,2.791M,-4.858M,-16.42M,-13.69M,-0.435M,-13.20M,,,1.139M,-42.61M,4.635M,,2013-03,-15.64M,,-15.64M,1.50M,,,,2013-03,,,,,,,-13.96M,-13.96M,5.155M,-7.179M,,2013-03,337.04M,-25.49M,306.55M,,2013-03,,,,,2013-03,AOR,Restated
2012-12,30.61M,,,0.00,10.04M,12.00M,22.05M,22.05M,-12.76M,,0.00,2.453M,2.606M,-4.866M,2.649M,-0.549M,2.202M,,,11.09M,10.53M,54.16M,,2012-12,-19.30M,,-19.30M,-313.69M,,,,2012-12,0.00,0.00,0.00,,,,-13.93M,-13.93M,0.524M,-10.67M,,2012-12,634.83M,-302.90M,337.04M,,2012-12,,0.00,0.00,,2012-12,AOR,Restated
2012-09,24.45M,,,0.00,9.011M,11.06M,20.07M,20.07M,-5.737M,,0.00,2.167M,3.97M,15.16M,-7.317M,1.668M,3.145M,,,-7.684M,4.971M,51.61M,,2012-09,-17.20M,,-17.20M,49.37M,,,,2012-09,0.00,0.001M,0.001M,,,,-13.90M,-13.90M,3.623M,0.00,,2012-09,544.99M,73.27M,634.83M,,2012-09,,0.00,0.00,,2012-09,AOR,Restated
2012-06,47.27M,,,-0.332M,8.518M,10.69M,19.21M,19.21M,-8.856M,,0.00,2.284M,4.674M,6.09M,0.326M,10.29M,4.08M,,,-22.11M,-1.324M,56.91M,,2012-06,-15.56M,,-15.56M,-38.54M,,,,2012-06,,-0.421M,-0.421M,,,,-13.89M,-13.89M,2.497M,-6.93M,,2012-06,590.92M,-16.36M,544.99M,,2012-06,,,,,2012-06,AOR,Restated
2012-03,-284.11M,,,,8.63M,10.51M,19.14M,19.14M,-12.62M,,332.13M,1.719M,-0.347M,-19.32M,2.372M,-1.812M,-9.272M,,,-1.56M,-29.59M,24.14M,,2012-03,-13.33M,,-13.33M,0.00,,,,2012-03,,-0.286M,-0.286M,,,,-13.87M,-13.87M,1.594M,,,2012-03,584.09M,-3.449M,590.92M,,2012-03,,,,,2012-03,AOR,Restated
2011-12,41.80M,,,-11.11M,9.982M,10.55M,20.53M,20.53M,-11.51M,-10.06M,-0.561M,2.053M,13.36M,-2.552M,7.83M,-1.05M,-9.216M,,,-5.378M,-10.37M,5.712M,,2011-12,-17.27M,,-17.27M,280.92M,,,,2011-12,0.00,-24.71M,-24.71M,-32.93M,,-32.93M,-13.86M,-13.86M,,-5.955M,,2011-12,371.70M,225.03M,584.09M,,2011-12,-32.93M,0.00,0.00,,2011-12,AOR,Restated
2011-09,32.92M,0.00,,0.00,10.03M,10.71M,20.74M,20.74M,-3.502M,3.422M,-0.001M,1.514M,-2.921M,-4.052M,-23.59M,-3.716M,9.503M,,,-7.87M,-29.73M,37.84M,,2011-09,-12.18M,,-12.18M,-0.011M,0.00,,,2011-09,0.00,0.00,0.00,2.353M,,2.353M,-13.84M,-13.84M,,0.548M,,2011-09,365.81M,14.10M,371.70M,,2011-09,2.353M,0.00,0.00,,2011-09,AOR,Restated
2011-06,30.49M,0.00,,0.816M,9.998M,10.36M,20.36M,20.36M,2.686M,3.342M,3.061M,2.056M,-0.059M,-13.82M,-7.459M,-3.218M,5.45M,,,-13.19M,-32.24M,41.97M,,2011-06,-9.241M,,-9.241M,-0.684M,,,,2011-06,125.00M,0.00,125.00M,23.81M,,23.81M,-13.82M,-13.82M,,-4.22M,,2011-06,202.30M,162.23M,365.81M,,2011-06,23.81M,250.00M,-125.00M,,2011-06,AOR,Restated
2011-03,14.11M,,,14.60M,10.33M,11.01M,21.34M,21.34M,-1.745M,3.30M,0.00,-1.091M,0.717M,-23.14M,-10.60M,-0.489M,-7.373M,,,-2.368M,-43.97M,8.953M,,2011-03,-5.891M,,-5.891M,71.03M,,,,2011-03,-65.80M,0.00,-65.80M,6.764M,,6.764M,-13.61M,-13.61M,,-14.84M,,2011-03,208.45M,-14.20M,202.30M,,2011-03,6.764M,265.00M,-330.80M,,2011-03,AOR,Restated
2010-12,11.59M,0.183M,,13.32M,8.958M,8.976M,17.93M,17.93M,-29.92M,-4.425M,0.00,1.575M,13.50M,-1.652M,-3.877M,-9.71M,7.58M,,,24.04M,16.39M,67.01M,,2010-12,-8.067M,,-8.067M,105.61M,,,,2010-12,-165.80M,-5.00M,-122.76M,-8.47M,,-8.47M,-54.31M,-13.61M,-77.34M,22.26M,,2010-12,247.76M,-36.99M,208.45M,,2010-12,-8.47M,55.30M,-255.80M,,2010-12,AOR,Restated
2010-09,10.99M,-0.183M,,32.56M,10.91M,10.40M,21.31M,21.31M,5.492M,2.535M,0.00,2.626M,-27.48M,2.434M,-12.29M,0.178M,9.367M,,,-23.59M,-23.90M,46.62M,,2010-09,-7.605M,,-7.605M,1.208M,,,,2010-09,3.40M,-5.00M,-49.64M,0.438M,,0.438M,,-13.58M,59.40M,-88.00M,,2010-09,287.13M,-53.16M,247.76M,,2010-09,0.438M,395.00M,-396.60M,,2010-09,AOR,Restated
2010-06,69.53M,,,,10.08M,10.65M,20.74M,20.74M,14.13M,0.945M,0.00,2.625M,-38.02M,-51.71M,-5.751M,3.581M,5.695M,,,23.59M,-24.59M,68.41M,,2010-06,-6.921M,,-6.921M,49.90M,,0.081M,,2010-06,-13.08M,39.70M,-13.08M,4.362M,,4.362M,13.54M,-13.58M,,-0.637M,,2010-06,210.72M,87.30M,287.13M,,2010-06,4.362M,39.70M,-13.08M,,2010-06,AOR,Restated
2010-03,-4.438M,,,,11.27M,10.73M,22.00M,22.00M,10.13M,0.945M,,1.695M,38.40M,0.836M,0.493M,-1.914M,-33.78M,,,,-34.36M,31.06M,,2010-03,-6.737M,,-6.737M,24.75M,,-0.081M,,2010-03,-51.09M,,-11.39M,3.67M,,3.67M,-13.54M,-13.54M,,,,2010-03,188.30M,27.13M,210.72M,,2010-03,3.67M,0.00,-51.09M,,2010-03,AOR,Restated
2009-12,44.09M,0.00,,0.00,12.57M,11.68M,24.26M,24.26M,-24.13M,0.955M,0.00,2.178M,2.902M,10.48M,26.35M,-1.917M,16.31M,,,,51.22M,108.59M,,2009-12,-8.411M,,-8.411M,0.00,,,,2009-12,-56.50M,,-57.96M,0.803M,,0.803M,,-13.50M,0.00,0.00,,2009-12,158.79M,29.01M,188.30M,,2009-12,0.803M,0.00,-56.50M,,2009-12,AOR,Restated
2009-09,34.22M,0.00,,0.00,13.48M,10.99M,24.47M,24.47M,9.747M,0.946M,3.314M,2.611M,-2.772M,-123.92M,13.11M,0.746M,-6.302M,,,142.30M,25.93M,97.21M,,2009-09,-6.06M,,-6.06M,14.41M,,,,2009-09,-51.26M,0.00,-51.26M,0.383M,,0.383M,,-13.51M,0.00,-0.407M,,2009-09,114.27M,39.27M,158.79M,,2009-09,0.383M,0.018M,-51.28M,,2009-09,AOR,Restated
2009-06,31.94M,2.597M,,2.597M,13.80M,8.01M,21.81M,21.81M,27.14M,0.969M,9.202M,1.849M,2.215M,22.34M,-0.224M,-0.489M,2.829M,,,-142.30M,-117.84M,-14.36M,,2009-06,-7.672M,,-7.672M,3.684M,,,,2009-06,0.008M,,0.008M,0.00,,0.00,,-13.50M,,0.00,,2009-06,143.05M,-32.23M,114.27M,,2009-06,0.00,0.00,0.008M,,2009-06,AOR,Restated
2009-03,24.60M,,,,13.77M,13.52M,27.29M,27.29M,,2.641M,,2.151M,0.717M,-21.77M,-11.00M,1.83M,-34.09M,,,,-65.03M,12.73M,,2009-03,-6.525M,,-6.525M,295.78M,,,,2009-03,-239.84M,,-239.84M,0.367M,,0.367M,,-13.51M,,-0.295M,,2009-03,107.28M,36.03M,143.05M,,2009-03,0.367M,10.00M,-249.84M,,2009-03,AOR,Restated
2008-12,-2.089M,-0.296M,,-41.39M,9.751M,6.168M,15.92M,15.92M,,5.33M,,8.464M,6.532M,-84.44M,0.552M,-5.164M,-9.007M,,134.22M,,36.16M,78.64M,,2008-12,-6.467M,,-6.467M,1.373M,0.00,,,2008-12,-134.45M,,-28.98M,0.238M,,0.238M,,-13.48M,,32.34M,,2008-12,91.40M,20.08M,107.28M,,2008-12,0.238M,92.90M,-227.84M,,2008-12,AOR,Restated
2008-09,42.32M,,,23.95M,15.29M,12.90M,28.18M,28.18M,,,,,2.337M,0.275M,-17.98M,4.502M,-1.822M,,-5.57M,,-20.60M,76.19M,,2008-09,-10.49M,,-10.49M,6.681M,-0.07M,,,2008-09,,,-65.64M,2.131M,,2.131M,,-13.48M,,-8.137M,,2008-09,103.24M,-12.81M,91.40M,,2008-09,2.131M,,,,2008-09,,
2008-06,42.68M,-0.018M,,17.13M,17.44M,14.38M,31.83M,31.83M,,-1.468M,,-1.797M,2.035M,16.24M,-12.87M,4.448M,69.78M,,-128.65M,,-51.04M,22.31M,,2008-06,-10.75M,,-10.75M,-5.323M,-0.15M,,,2008-06,13.42M,,-26.90M,3.984M,,3.984M,,-13.46M,,-34.66M,,2008-06,154.11M,-52.41M,103.24M,,2008-06,3.984M,,13.42M,,2008-06,,
2008-03,15.21M,0.018M,,0.018M,16.27M,11.72M,27.98M,27.98M,,1.468M,,1.797M,2.206M,-29.16M,16.00M,0.669M,-56.44M,,,,-68.93M,-5.967M,,2008-03,-7.468M,,-7.468M,-0.35M,-0.10M,,,2008-03,-13.42M,,-13.42M,1.602M,,1.602M,,-12.62M,,9.717M,,2008-03,201.34M,-41.15M,154.11M,,2008-03,1.602M,0.00,-13.42M,,2008-03,,Restated
2007-12,65.38M,,,45.71M,-4.539M,15.87M,11.33M,11.33M,,,,,22.80M,30.55M,65.64M,7.656M,-0.926M,,-119.25M,,-16.34M,185.55M,,2007-12,-7.625M,,-7.625M,-1.571B,-0.115M,,,2007-12,,,1.147B,1.004M,,1.004M,,-12.61M,,-21.56M,,2007-12,497.72M,-302.46M,201.34M,,2007-12,1.004M,,,,2007-12,,
2007-09,-57.04M,,,6.555M,18.79M,4.439M,23.23M,23.23M,,,,,6.317M,17.10M,7.384M,-10.30M,-17.66M,,97.95M,,94.48M,68.13M,,2007-09,-12.54M,,-12.54M,-0.746M,0.291M,,,2007-09,,,20.40M,2.708M,,2.708M,,-12.61M,,-21.26M,,2007-09,444.67M,49.98M,497.72M,,2007-09,2.708M,,,,2007-09,,
2007-06,93.86M,,,8.892M,25.21M,4.528M,29.74M,29.74M,,,,,2.182M,-12.57M,-1.576M,0.605M,28.89M,,-13.03M,,2.315M,114.38M,,2007-06,-14.85M,,-14.85M,91.18M,-5.796M,,,2007-06,,,0.088M,16.81M,,16.81M,,-12.60M,,,,2007-06,254.68M,188.03M,444.67M,,2007-06,16.81M,,,,2007-06,,
2007-03,44.27M,,,5.799M,11.50M,2.967M,14.46M,14.46M,,,,,2.023M,-29.68M,-8.995M,1.579M,-0.825M,,20.73M,,-17.20M,25.53M,,2007-03,-9.727M,,-9.727M,8.18M,0.066M,,,2007-03,,,-9.243M,3.649M,,3.649M,,-11.11M,,,,2007-03,248.41M,3.894M,254.68M,,2007-03,3.649M,,,,2007-03,,
2006-12,37.72M,,,8.913M,21.60M,4.284M,25.88M,25.88M,,,,,5.893M,41.63M,17.10M,-1.952M,-9.45M,,-9.849M,,37.48M,130.11M,,2006-12,-20.89M,,-20.89M,-33.06M,-3.002M,2.597M,,2006-12,,,-29.60M,3.013M,0.00,3.013M,,-11.09M,,0.00,,2006-12,202.42M,38.08M,248.41M,,2006-12,3.013M,,,0.00,2006-12,,
2006-09,35.97M,,,8.458M,24.80M,3.645M,28.45M,28.45M,,,,,2.268M,29.69M,-4.143M,-7.212M,-7.033M,,2.129M,,13.43M,82.94M,,2006-09,-16.24M,,-16.24M,2.344M,0.452M,,,2006-09,,,-28.87M,0.664M,-70.94M,-70.28M,,-11.40M,,-0.618M,,2006-09,240.94M,-39.73M,202.42M,,2006-09,0.664M,,,-70.94M,2006-09,,
