,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,UnearnedIncome,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,TotalDeposits,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2011-09,,5.198B,137.00M,5.335B,,4.00B,4.00B,,9.335B,,,,,,685.00M,635.00M,35.00M,670.00M,41.22B,767.00M,,40.46B,9.869B,51.68B,60.89B,,1.304B,1.304B,164.00M,164.00M,164.00M,1.468B,5.009B,5.009B,47.45B,52.46B,53.94B,1.141B,5.471B,2.162B,1.593B,,-230.00M,6.951B
2011-06,,3.466B,124.00M,3.59B,,3.822B,3.822B,,7.412B,,,,,,641.00M,150.00M,4.00M,154.00M,39.19B,806.00M,,38.39B,7.661B,46.84B,54.14B,,1.062B,1.062B,67.00M,67.00M,67.00M,1.129B,5.206B,5.206B,41.76B,46.96B,48.10B,1.019B,5.395B,1.472B,1.54B,,-308.00M,6.038B
2011-03,,4.445B,154.00M,4.599B,,3.879B,3.879B,,8.478B,,,,,,637.00M,150.00M,5.00M,155.00M,39.18B,849.00M,,38.33B,7.56B,46.68B,55.02B,,1.076B,1.076B,61.00M,61.00M,61.00M,1.137B,6.116B,6.116B,41.87B,47.99B,49.14B,1.019B,5.317B,1.464B,1.541B,,-382.00M,5.877B
2010-12,,2.083B,141.00M,2.224B,,3.762B,3.762B,,5.986B,92.00M,778.00M,503.00M,1.373B,-743.00M,630.00M,150.00M,6.00M,156.00M,40.24B,901.00M,,39.34B,7.701B,47.82B,53.67B,,1.135B,1.135B,130.00M,130.00M,130.00M,1.265B,6.138B,6.138B,40.47B,46.61B,47.87B,1.019B,5.247B,1.481B,1.565B,,-389.00M,5.793B
2010-09,,3.894B,115.00M,4.009B,,,,4.104B,8.213B,,,,,,639.00M,,,,40.28B,957.00M,,39.32B,6.931B,46.89B,55.00B,,1.085B,1.085B,179.00M,179.00M,179.00M,1.264B,7.239B,7.239B,40.63B,47.87B,49.15B,1.019B,5.171B,1.473B,1.568B,,-238.00M,5.857B
2010-06,,4.225B,134.00M,4.359B,,,,4.045B,8.404B,,,,,,634.00M,,,,40.60B,967.00M,,39.64B,7.322B,47.59B,55.88B,,1.048B,1.048B,200.00M,200.00M,200.00M,1.248B,9.041B,9.041B,39.78B,48.82B,50.09B,1.019B,5.124B,1.467B,1.578B,,-240.00M,5.792B
2010-03,,4.629B,165.00M,4.794B,,,,4.45B,9.244B,,,,,,637.00M,,,,40.84B,987.00M,,39.86B,7.511B,48.01B,57.11B,,1.047B,1.047B,489.00M,489.00M,489.00M,1.536B,9.915B,9.915B,39.97B,49.88B,51.44B,1.019B,5.064B,1.468B,1.58B,,-303.00M,5.668B
2009-12,,5.617B,138.00M,5.755B,,4.089B,4.089B,,9.844B,93.00M,754.00M,508.00M,1.355B,-711.00M,644.00M,150.00M,8.00M,158.00M,42.16B,985.00M,,41.18B,7.554B,49.53B,59.25B,,1.022B,1.022B,462.00M,462.00M,462.00M,1.484B,11.06B,11.06B,39.66B,50.72B,52.22B,3.045B,5.161B,740.00M,1.581B,2.151B,-336.00M,7.029B
2009-09,,3.018B,142.00M,3.16B,,,,4.261B,7.421B,,,,,,657.00M,,,,43.57B,953.00M,,42.62B,9.024B,52.30B,59.59B,,1.252B,1.252B,425.00M,425.00M,425.00M,1.677B,11.25B,11.25B,39.61B,50.87B,52.56B,3.039B,5.205B,738.00M,1.586B,2.145B,-361.00M,7.035B
2009-06,,4.49B,129.00M,4.619B,,,,4.258B,9.527B,,,,,,667.00M,,,,46.55B,880.00M,,45.67B,7.886B,54.22B,63.63B,,1.478B,1.478B,490.00M,490.00M,490.00M,1.968B,13.57B,13.57B,40.99B,54.56B,56.54B,3.034B,5.257B,731.00M,1.587B,2.14B,-342.00M,7.093B
2009-03,,3.51B,248.00M,3.758B,,,,4.274B,8.032B,,,,,,676.00M,,,,48.62B,816.00M,,47.81B,11.09B,59.58B,67.37B,,1.464B,1.464B,2.207B,2.207B,2.207B,3.671B,14.61B,14.61B,41.89B,56.51B,60.19B,3.028B,5.252B,727.00M,1.586B,2.134B,-238.00M,7.183B
2008-12,,3.221B,158.00M,3.379B,,,,4.334B,7.915B,92.00M,753.00M,494.00M,1.339B,-656.00M,683.00M,,,,50.50B,770.00M,,49.74B,9.359B,59.78B,67.55B,,1.625B,1.625B,1.749B,1.749B,1.749B,3.374B,15.05B,15.05B,41.96B,57.01B,60.40B,3.023B,5.345B,722.00M,1.629B,2.129B,-309.00M,7.152B
2008-09,,1.404B,,1.404B,,,,,1.407B,,,,,,668.00M,,,,51.56B,712.00M,,50.84B,8.405B,63.72B,65.15B,,,,3.625B,3.625B,3.625B,3.625B,15.38B,15.38B,39.54B,54.92B,60.05B,894.00M,5.379B,586.00M,1.63B,,-129.00M,5.10B
2008-06,,1.698B,,1.698B,,,,,1.775B,,,,,,674.00M,,,,51.75B,663.00M,,51.09B,8.492B,64.21B,66.00B,,,,4.075B,4.075B,4.075B,4.075B,12.86B,12.86B,42.32B,55.18B,60.92B,894.00M,5.451B,576.00M,1.632B,,-207.00M,5.082B
2008-03,,1.929B,,1.929B,,,,,1.974B,,,,,,670.00M,,,,52.35B,605.00M,,51.75B,8.919B,65.02B,67.02B,,,,2.434B,2.434B,2.434B,2.434B,10.80B,10.80B,46.82B,57.62B,61.76B,894.00M,5.496B,565.00M,1.631B,,-67.00M,5.257B
2007-12,,1.478B,335.00M,1.813B,,,,3.302B,5.151B,95.00M,707.00M,465.00M,1.267B,-617.00M,650.00M,,,,50.74B,557.00M,,50.19B,6.631B,57.47B,62.33B,,1.26B,1.26B,2.807B,2.807B,2.807B,4.067B,8.821B,8.821B,44.28B,53.10B,57.21B,894.00M,5.497B,564.00M,1.661B,,-177.00M,5.117B
2007-09,,1.271B,,1.271B,,,,,1.40B,,,,,,635.00M,,,,49.60B,512.00M,,49.08B,5.235B,58.58B,60.02B,,,,2.813B,2.813B,2.813B,2.813B,8.906B,8.906B,41.92B,50.83B,54.94B,894.00M,5.484B,551.00M,1.614B,,-238.00M,5.077B
2007-06,,1.372B,,1.372B,,,,,2.589B,,,,,,616.00M,,,,48.76B,507.00M,,48.26B,4.619B,55.94B,58.57B,,,,297.00M,297.00M,297.00M,297.00M,8.748B,8.748B,43.21B,51.96B,53.55B,894.00M,5.40B,539.00M,1.507B,,-308.00M,5.018B
2007-03,,1.334B,,1.334B,,,,,2.791B,,,,,,596.00M,,,,47.99B,500.00M,,47.49B,4.209B,54.68B,57.53B,,,,329.00M,329.00M,329.00M,329.00M,7.148B,7.148B,43.67B,50.82B,52.41B,894.00M,5.311B,524.00M,1.325B,,-284.00M,5.12B
2006-12,,1.434B,,1.434B,,,,,4.066B,,,,,,568.00M,,,,47.43B,493.00M,,46.94B,3.989B,53.88B,58.00B,,,,635.00M,635.00M,635.00M,635.00M,5.949B,5.949B,44.93B,50.88B,52.85B,894.00M,5.282B,520.00M,1.219B,,-324.00M,5.153B
2006-09,,1.456B,,1.456B,,,,,1.456B,,,,,,540.00M,,,,46.52B,493.00M,,46.02B,7.663B,56.95B,58.47B,,,,225.00M,225.00M,225.00M,225.00M,6.755B,6.755B,44.93B,51.68B,53.27B,894.00M,5.079B,507.00M,1.144B,,-128.00M,5.208B
2006-06,,1.664B,,1.664B,,,,,1.664B,,,,,,522.00M,,,,46.40B,481.00M,,45.92B,6.361B,55.34B,57.08B,,,,442.00M,442.00M,442.00M,442.00M,6.087B,6.087B,44.13B,50.21B,51.89B,894.00M,4.978B,494.00M,951.00M,,-226.00M,5.189B
2006-03,,1.685B,,1.685B,,,,,1.685B,,,,,,516.00M,,,,44.74B,472.00M,,44.27B,7.278B,54.70B,56.44B,,,,1.901B,1.901B,1.901B,1.901B,4.062B,4.062B,44.10B,48.16B,51.35B,894.00M,4.88B,466.00M,948.00M,,-198.00M,5.094B
2005-12,,1.609B,,1.609B,,,,,1.609B,,,,,,510.00M,,,,43.25B,516.00M,,42.73B,5.399B,51.34B,53.01B,,,,302.00M,302.00M,302.00M,302.00M,3.961B,3.961B,42.43B,46.39B,47.94B,894.00M,4.796B,461.00M,913.00M,,-170.00M,5.068B
2005-09,,1.795B,,1.795B,,,,,1.795B,,,,,,499.00M,,,,42.14B,558.00M,,41.58B,7.707B,52.52B,54.35B,,,,241.00M,241.00M,241.00M,241.00M,4.066B,4.066B,43.67B,47.74B,49.26B,894.00M,4.683B,448.00M,776.00M,,-158.00M,5.091B
2005-06,,1.687B,,1.687B,,,,,1.687B,,,,,,481.00M,,,,43.02B,609.00M,,42.42B,7.349B,52.97B,54.69B,,,,108.00M,108.00M,108.00M,108.00M,4.309B,4.309B,44.05B,48.36B,49.57B,894.00M,4.546B,433.00M,657.00M,,-99.00M,5.117B
2005-03,,1.835B,,1.835B,,,,,1.835B,,,,,,463.00M,,,,41.74B,636.00M,,41.10B,7.481B,51.64B,53.51B,,,,408.00M,408.00M,408.00M,408.00M,4.283B,4.283B,42.71B,46.99B,48.48B,894.00M,4.427B,433.00M,570.00M,,-154.00M,5.03B
2004-12,,1.139B,,1.139B,,,,,1.139B,,,,,,415.00M,,,,40.84B,673.00M,,40.17B,7.173B,50.57B,51.77B,,,,193.00M,193.00M,193.00M,193.00M,4.286B,4.286B,40.94B,45.22B,46.66B,894.00M,4.331B,421.00M,472.00M,,-69.00M,5.105B
2004-09,,1.56B,,1.56B,,,,,1.56B,,,,,,399.00M,,,,39.72B,729.00M,,38.99B,9.253B,51.36B,52.96B,,,,225.00M,225.00M,225.00M,225.00M,4.401B,4.401B,42.24B,46.64B,47.92B,894.00M,4.222B,408.00M,464.00M,,-24.00M,5.036B
2004-06,,1.865B,,1.865B,,,,,1.865B,,,,,,389.00M,,,,40.10B,762.00M,,39.34B,10.31B,52.63B,54.54B,,,,210.00M,210.00M,210.00M,210.00M,4.597B,4.597B,43.91B,48.51B,49.61B,894.00M,4.125B,398.00M,401.00M,,-82.00M,4.934B
2004-03,,1.661B,,1.661B,,,,,1.661B,,,,,,378.00M,,,,40.01B,798.00M,,39.21B,10.37B,52.78B,54.47B,,,,251.00M,251.00M,251.00M,251.00M,4.597B,4.597B,43.52B,48.12B,49.38B,894.00M,4.03B,395.00M,318.00M,,92.00M,5.093B
2003-12,,1.527B,,1.527B,,,,,1.527B,,,,,,374.00M,,,,40.30B,803.00M,,39.50B,8.502B,51.04B,52.59B,,,,262.00M,262.00M,262.00M,262.00M,4.801B,4.801B,41.46B,46.26B,47.48B,894.00M,3.973B,384.00M,215.00M,,74.00M,5.11B
2003-09,,1.955B,,1.955B,,,,,1.955B,,,,,,368.00M,,,,40.64B,802.00M,,39.83B,9.891B,52.82B,54.80B,,,,296.00M,296.00M,296.00M,296.00M,4.818B,4.818B,43.70B,48.51B,49.70B,894.00M,3.909B,378.00M,199.00M,,111.00M,5.093B
2003-06,,4.556B,,4.556B,,,,,4.556B,,,,,,371.00M,,,,42.46B,802.00M,,41.66B,9.358B,54.14B,58.73B,,,,362.00M,362.00M,362.00M,362.00M,5.40B,5.40B,47.06B,52.46B,53.64B,894.00M,3.842B,372.00M,203.00M,,181.00M,5.086B
2003-03,,2.264B,,2.264B,,,,,2.264B,,,,,,369.00M,,,,42.57B,801.00M,,41.77B,8.474B,53.51B,55.80B,,,,545.00M,545.00M,545.00M,545.00M,5.068B,5.068B,44.37B,49.44B,50.80B,894.00M,3.761B,365.00M,209.00M,,192.00M,5.003B
2002-12,,1.902B,,1.902B,,,,,1.902B,,,,,,371.00M,,,,42.28B,791.00M,,41.49B,5.499B,51.37B,53.30B,,,,540.00M,540.00M,540.00M,540.00M,5.216B,5.216B,41.78B,46.99B,48.35B,894.00M,3.684B,363.00M,231.00M,,237.00M,4.947B
2002-09,,2.171B,,2.171B,,,,,2.171B,,,,,,356.00M,,,,41.59B,789.00M,,40.80B,6.366B,50.36B,52.57B,,,,689.00M,689.00M,689.00M,689.00M,5.487B,5.487B,40.65B,46.14B,47.70B,894.00M,3.565B,356.00M,237.00M,,292.00M,4.87B
2002-06,,1.748B,,1.748B,,,,,1.748B,,,,,,354.00M,,,,41.17B,744.00M,,40.43B,5.314B,48.82B,50.60B,,,,755.00M,755.00M,755.00M,755.00M,5.921B,5.921B,38.18B,44.10B,45.69B,894.00M,3.654B,356.00M,218.00M,,229.00M,4.915B
2002-03,,1.806B,,1.806B,,,,,1.806B,,,,,,353.00M,,,,40.74B,670.00M,,40.07B,4.506B,48.38B,50.21B,,,,786.00M,786.00M,786.00M,786.00M,6.261B,6.261B,37.46B,43.72B,45.42B,894.00M,3.563B,353.00M,155.00M,,134.00M,4.789B
2001-12,,1.925B,,1.925B,,,,,1.925B,,,,,,353.00M,,,,41.20B,655.00M,,40.54B,4.291B,48.78B,50.73B,,,,1.986B,1.986B,1.986B,1.986B,5.503B,5.503B,37.57B,43.07B,45.92B,894.00M,3.448B,345.00M,91.00M,,211.00M,4.807B
2001-09,,2.160B,,2.160B,,,,,2.160B,,,,,,349.64M,,,,40.57B,645.18M,,39.92B,4.593B,47.54B,49.73B,,,,1.347B,1.347B,1.347B,1.347B,5.551B,5.551B,37.13B,42.68B,44.94B,893.75M,3.329B,344.49M,39.36M,,269.96M,4.798B
