,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2018-03,1.94B,1.94B,2.874B,2.874B,491.00M,190.00M,743.00M,1.335B,274.00M,,,6.423B,,,,,,,,,,1.829B,4.795B,1.226B,6.021B,,658.00M,1.232B,9.74B,16.16B,655.00M,264.00M,96.00M,1.015B,1.25B,2.265B,,,,,660.00M,,660.00M,,,,,2.925B,6.889B,,6.889B,689.00M,689.00M,,4.00M,883.00M,9.075B,12.00B,6.00M,20.23B,1.22B,16.06B,,,-1.24B,4.159B
2017-12,3.094B,3.094B,2.628B,2.819B,465.00M,141.00M,703.00M,1.22B,26.00M,,119.00M,7.278B,0.0,203.00M,1.37B,3.465B,,123.00M,,5.161B,-3.383B,1.778B,4.752B,1.272B,6.024B,53.00M,505.00M,805.00M,9.502B,16.78B,590.00M,266.00M,89.00M,945.00M,626.00M,1.571B,,849.00M,0.00,1.00M,850.00M,,850.00M,205.00M,205.00M,,,3.053B,7.478B,,7.478B,164.00M,164.00M,393.00M,4.00M,489.00M,9.138B,12.19B,6.00M,20.21B,1.218B,15.56B,,,-1.287B,4.585B
2017-09,2.785B,2.785B,2.672B,2.672B,453.00M,148.00M,709.00M,1.225B,230.00M,,,6.912B,,,,,,,,,,1.759B,4.732B,1.319B,6.051B,,473.00M,1.119B,9.402B,16.31B,585.00M,267.00M,86.00M,938.00M,1.231B,2.169B,,,,,698.00M,,698.00M,,,,,2.867B,7.439B,,7.439B,112.00M,112.00M,,3.00M,870.00M,8.421B,11.29B,6.00M,20.55B,1.207B,15.34B,,,-1.407B,5.023B
2017-06,2.496B,2.496B,2.629B,2.629B,452.00M,139.00M,692.00M,1.199B,246.00M,,,6.57B,,,,,,,,,,1.726B,4.675B,1.366B,6.041B,,488.00M,1.097B,9.352B,15.92B,582.00M,224.00M,157.00M,963.00M,1.172B,2.135B,,,,,691.00M,,691.00M,,,,,2.826B,7.36B,,7.36B,121.00M,121.00M,,3.00M,841.00M,8.322B,11.15B,6.00M,20.18B,1.196B,15.10B,,,-1.516B,4.771B
2017-03,2.493B,2.493B,2.534B,2.534B,427.00M,139.00M,676.00M,1.158B,245.00M,,,6.43B,,,,,,,,,,1.674B,4.605B,1.411B,6.016B,,425.00M,984.00M,9.099B,15.53B,574.00M,225.00M,256.00M,1.055B,1.149B,2.204B,,,,,671.00M,,671.00M,,,,,2.875B,7.205B,,7.205B,121.00M,121.00M,,5.00M,830.00M,8.156B,11.03B,6.00M,19.82B,1.184B,14.87B,,,-1.643B,4.493B
2016-12,2.472B,2.472B,2.357B,2.433B,407.00M,126.00M,629.00M,1.076B,20.00M,,122.00M,6.123B,0.0,186.00M,1.297B,3.196B,,104.00M,,4.783B,-3.131B,1.652B,4.558B,1.463B,6.021B,73.00M,449.00M,752.00M,9.078B,15.20B,511.00M,226.00M,169.00M,906.00M,627.00M,1.533B,,,,652.00M,652.00M,,652.00M,180.00M,180.00M,,,2.76B,7.177B,,7.177B,134.00M,134.00M,453.00M,5.00M,418.00M,8.182B,10.94B,6.00M,19.50B,1.188B,14.64B,,,-1.807B,4.254B
2016-09,2.299B,2.299B,2.496B,2.496B,430.00M,145.00M,674.00M,1.167B,223.00M,,,6.185B,,,,,,,,,,1.702B,4.711B,1.48B,6.191B,,467.00M,1.164B,9.524B,15.71B,582.00M,228.00M,132.00M,942.00M,1.18B,2.122B,,,,,1.364B,,1.364B,,,,,3.486B,6.329B,,6.329B,131.00M,131.00M,,5.00M,970.00M,7.43B,10.92B,6.00M,19.22B,1.174B,14.15B,,,-1.468B,4.788B
2016-06,2.355B,2.355B,2.413B,2.413B,418.00M,142.00M,667.00M,1.145B,254.00M,,,6.167B,,,,,,,,,,1.58B,4.466B,1.441B,5.907B,,466.00M,1.102B,9.055B,15.22B,519.00M,195.00M,130.00M,844.00M,1.116B,1.96B,,,,,864.00M,,864.00M,,,,,2.824B,6.30B,,6.30B,149.00M,149.00M,,4.00M,999.00M,7.448B,10.27B,6.00M,18.92B,1.158B,13.66B,,,-1.47B,4.946B
2016-03,2.448B,2.448B,2.394B,2.394B,418.00M,145.00M,653.00M,1.134B,265.00M,,,6.241B,,,,,,,,,,1.598B,4.504B,1.501B,6.005B,,505.00M,1.088B,9.196B,15.44B,525.00M,198.00M,257.00M,980.00M,1.086B,2.066B,,,,,650.00M,,650.00M,,,,,2.716B,6.353B,,6.353B,151.00M,151.00M,,4.00M,995.00M,7.499B,10.22B,6.00M,18.59B,1.141B,13.18B,,,-1.332B,5.218B
2015-12,3.09B,3.09B,2.203B,2.398B,415.00M,130.00M,622.00M,1.086B,22.00M,,124.00M,6.72B,0.0,179.00M,1.272B,3.128B,,76.00M,,4.655B,-3.078B,1.577B,4.439B,1.56B,5.999B,212.00M,346.00M,684.00M,9.009B,15.73B,449.00M,200.00M,57.00M,706.00M,589.00M,1.295B,,498.00M,25.00M,3.00M,526.00M,,526.00M,169.00M,169.00M,,,2.368B,6.896B,,6.896B,256.00M,256.00M,462.00M,4.00M,519.00M,8.133B,10.50B,6.00M,18.32B,1.135B,12.73B,,,-1.504B,5.224B
2015-09,3.001B,3.001B,2.339B,2.339B,446.00M,145.00M,650.00M,1.153B,287.00M,189.00M,,6.969B,,,,,,,,,,1.601B,4.47B,1.618B,6.088B,,286.00M,1.16B,9.135B,16.10B,498.00M,200.00M,71.00M,769.00M,1.137B,1.906B,,,,,812.00M,,812.00M,,6.00M,6.00M,,2.724B,7.00B,,7.00B,342.00M,342.00M,,4.00M,948.00M,8.29B,11.01B,6.00M,18.07B,1.124B,12.74B,,,-1.37B,5.086B
2015-06,2.858B,2.858B,2.412B,2.412B,454.00M,142.00M,683.00M,1.191B,387.00M,185.00M,,7.033B,,,,,,,,,,1.636B,4.543B,1.679B,6.222B,,298.00M,1.159B,9.315B,16.35B,533.00M,178.00M,61.00M,772.00M,1.147B,1.919B,,,,,819.00M,,819.00M,,8.00M,8.00M,,2.746B,6.994B,,6.994B,363.00M,363.00M,,4.00M,939.00M,8.296B,11.04B,6.00M,17.76B,1.113B,12.53B,,,-1.046B,5.302B
2015-03,2.672B,2.672B,2.367B,2.367B,456.00M,140.00M,679.00M,1.187B,253.00M,188.00M,,6.667B,,,,,,,,,,1.624B,4.498B,1.733B,6.231B,,278.00M,1.137B,9.27B,15.94B,670.00M,179.00M,96.00M,945.00M,1.083B,2.028B,,,,,1.708B,,1.708B,,8.00M,8.00M,,3.744B,5.845B,,5.845B,380.00M,380.00M,,4.00M,986.00M,7.211B,10.96B,6.00M,17.45B,1.102B,12.36B,,,-1.226B,4.978B
2014-12,3.99B,3.99B,2.293B,2.472B,458.00M,133.00M,677.00M,1.18B,30.00M,,192.00M,7.864B,0.0,177.00M,1.20B,3.192B,,230.00M,,4.799B,-3.113B,1.686B,4.667B,1.799B,6.466B,251.00M,338.00M,695.00M,9.601B,17.46B,512.00M,186.00M,64.00M,762.00M,638.00M,1.40B,,1.413B,62.00M,1.00M,1.476B,,1.476B,194.00M,194.00M,,,3.525B,5.943B,,5.943B,171.00M,171.00M,477.00M,5.00M,525.00M,7.116B,10.64B,6.00M,17.17B,1.096B,10.80B,,,-658.00M,6.819B
2014-09,4.82B,4.82B,2.519B,2.519B,445.00M,150.00M,670.00M,1.265B,282.00M,266.00M,,9.152B,,,,,,,,,,1.693B,4.771B,1.825B,6.596B,,329.00M,1.258B,9.876B,19.03B,594.00M,190.00M,277.00M,1.061B,1.307B,2.368B,,,,,1.496B,,1.496B,,10.00M,10.00M,,3.874B,6.034B,,6.034B,418.00M,418.00M,,5.00M,901.00M,7.353B,11.23B,6.00M,16.91B,1.076B,10.05B,,,-148.00M,7.796B
2014-06,5.297B,5.297B,2.598B,2.598B,456.00M,153.00M,696.00M,1.305B,284.00M,307.00M,,9.791B,,,,,,,,,,1.70B,4.904B,1.876B,6.78B,,368.00M,1.297B,10.14B,19.94B,683.00M,167.00M,715.00M,1.565B,1.278B,2.843B,,,,,1.07B,,1.07B,,10.00M,10.00M,,3.923B,6.14B,,6.14B,515.00M,515.00M,,5.00M,918.00M,7.573B,11.50B,6.00M,16.57B,1.064B,9.562B,,,359.00M,8.435B
2014-03,3.547B,3.547B,2.563B,2.563B,448.00M,162.00M,688.00M,1.298B,345.00M,335.00M,,10.03B,,,,,,,,,,1.699B,4.893B,1.936B,6.829B,,383.00M,1.231B,10.14B,20.17B,689.00M,174.00M,84.00M,947.00M,1.204B,2.151B,,,,,2.833B,,2.833B,,15.00M,15.00M,361.00M,5.36B,4.789B,,4.789B,522.00M,522.00M,,6.00M,919.00M,6.23B,11.59B,6.00M,15.24B,1.043B,8.138B,,,420.00M,8.574B
2013-12,3.618B,3.618B,2.365B,2.553B,482.00M,150.00M,700.00M,1.247B,30.00M,384.00M,148.00M,9.816B,0.0,189.00M,1.235B,3.305B,,143.00M,,4.872B,-3.163B,1.709B,4.886B,1.999B,6.885B,294.00M,359.00M,769.00M,10.15B,19.97B,634.00M,181.00M,69.00M,884.00M,582.00M,1.466B,,1.652B,65.00M,1.834B,3.551B,,3.551B,207.00M,217.00M,10.00M,317.00M,6.034B,2.793B,,2.793B,507.00M,507.00M,340.00M,6.00M,583.00M,4.223B,10.26B,6.00M,14.94B,1.046B,6.676B,,,384.00M,9.703B
2013-09,3.018B,3.018B,2.493B,2.493B,460.00M,151.00M,697.00M,1.308B,421.00M,391.00M,,9.582B,,,,,,,,,,1.667B,4.854B,2.121B,6.975B,,353.00M,1.174B,10.17B,19.75B,616.00M,187.00M,75.00M,878.00M,1.282B,2.16B,,,,,1.328B,,1.328B,,59.00M,59.00M,394.00M,3.941B,3.808B,,3.808B,453.00M,453.00M,,6.00M,1.081B,5.342B,9.283B,6.00M,14.72B,1.032B,5.584B,,,292.00M,10.46B
2013-06,2.768B,2.768B,2.907B,2.907B,524.00M,149.00M,817.00M,1.49B,452.00M,361.00M,,8.213B,,,,,,,,,,1.936B,5.359B,2.132B,7.491B,,366.00M,1.193B,10.99B,19.20B,717.00M,170.00M,91.00M,978.00M,1.336B,2.314B,,,,,1.301B,,1.301B,,32.00M,32.00M,64.00M,3.711B,3.771B,,3.771B,383.00M,383.00M,,6.00M,1.103B,5.257B,8.968B,6.00M,14.45B,1.019B,5.263B,,,12.00M,10.22B
2013-03,2.662B,2.662B,2.789B,2.789B,521.00M,156.00M,837.00M,1.514B,486.00M,343.00M,,8.11B,,,,,,,,,,1.96B,5.392B,2.182B,7.574B,,390.00M,1.172B,11.10B,19.21B,749.00M,171.00M,99.00M,1.019B,1.235B,2.254B,,,,,456.00M,,456.00M,,8.00M,8.00M,84.00M,2.802B,4.556B,,4.556B,309.00M,309.00M,,5.00M,1.26B,6.125B,8.927B,6.00M,14.16B,1.012B,5.055B,,,155.00M,10.27B
2012-12,2.779B,2.779B,2.742B,3.044B,539.00M,152.00M,894.00M,1.585B,52.00M,332.00M,168.00M,7.96B,0.0,237.00M,1.496B,3.941B,,157.00M,,5.831B,-3.837B,1.994B,5.53B,2.258B,7.788B,320.00M,391.00M,799.00M,11.35B,19.31B,676.00M,0.00,116.00M,792.00M,601.00M,1.393B,,408.00M,40.00M,11.00M,459.00M,,459.00M,243.00M,251.00M,8.00M,,2.651B,4.589B,,4.589B,244.00M,244.00M,731.00M,9.00M,524.00M,6.088B,8.739B,5.00M,13.97B,1.012B,4.722B,,,293.00M,10.56B
2012-09,2.054B,2.054B,3.062B,3.062B,614.00M,176.00M,970.00M,1.76B,364.00M,410.00M,,7.65B,,,,,,,,,,2.081B,5.506B,2.302B,7.808B,226.00M,473.00M,785.00M,11.37B,19.02B,770.00M,176.00M,48.00M,994.00M,1.504B,2.498B,,,,,424.00M,,424.00M,,6.00M,6.00M,,2.928B,4.572B,,4.572B,120.00M,120.00M,,9.00M,1.141B,5.833B,8.761B,5.00M,13.17B,921.00M,4.118B,,,277.00M,10.25B
2012-06,1.692B,1.692B,3.164B,3.164B,626.00M,170.00M,1.00B,1.796B,449.00M,373.00M,,7.551B,,,,,,,,,,2.067B,5.456B,2.368B,7.824B,271.00M,514.00M,694.00M,11.37B,18.92B,785.00M,169.00M,54.00M,1.008B,1.479B,2.487B,,,,,1.438B,,1.438B,,5.00M,5.00M,6.00M,3.936B,3.468B,,3.468B,118.00M,118.00M,,17.00M,1.298B,4.884B,8.82B,5.00M,12.82B,825.00M,3.702B,,,135.00M,10.08B
2012-03,1.304B,1.304B,3.134B,3.134B,629.00M,173.00M,1.022B,1.824B,360.00M,370.00M,,7.389B,,,,,,,,,,2.10B,5.489B,2.40B,7.889B,287.00M,593.00M,686.00M,11.56B,18.94B,831.00M,172.00M,39.00M,1.042B,1.388B,2.43B,,,,,1.244B,,1.244B,,5.00M,5.00M,98.00M,3.777B,3.521B,,3.521B,120.00M,120.00M,,17.00M,1.391B,5.032B,8.809B,5.00M,12.11B,770.00M,3.175B,,,410.00M,10.12B
2011-12,1.178B,1.178B,2.819B,2.996B,596.00M,156.00M,964.00M,1.716B,40.00M,366.00M,167.00M,6.849B,0.0,248.00M,1.567B,4.159B,,113.00M,,6.087B,-4.062B,2.025B,5.198B,2.233B,7.431B,409.00M,634.00M,595.00M,11.14B,17.98B,697.00M,174.00M,57.00M,928.00M,611.00M,1.539B,,192.00M,38.00M,272.00M,502.00M,,502.00M,245.00M,250.00M,5.00M,107.00M,2.977B,3.488B,,3.488B,117.00M,117.00M,753.00M,17.00M,615.00M,4.973B,7.95B,5.00M,11.79B,686.00M,2.692B,,,224.00M,10.02B
2011-09,1.319B,1.319B,2.985B,2.985B,613.55M,176.14M,1.005B,1.794B,498.11M,326.23M,,7.334B,0.0,250.90M,1.569B,3.976B,,113.98M,187.42M,6.097B,-4.059B,2.038B,5.123B,2.308B,7.432B,424.44M,519.10M,615.67M,11.03B,18.36B,770.39M,173.95M,65.74M,1.010B,1.483B,2.493B,,,,,1.041B,,1.041B,,4.686M,4.686M,97.09M,3.636B,3.522B,,3.522B,122.57M,122.57M,,14.56M,1.231B,4.875B,8.511B,5.421M,11.53B,656.71M,2.692B,,,341.21M,9.837B
2011-06,1.231B,1.231B,3.146B,3.146B,644.36M,177.27M,1.098B,1.920B,507.44M,329.52M,,7.557B,0.0,263.33M,1.618B,4.084B,,121.35M,194.56M,6.282B,-4.150B,2.132B,5.101B,2.106B,7.207B,435.58M,566.62M,628.02M,10.97B,18.53B,864.96M,167.08M,43.67M,1.076B,1.431B,2.507B,,,,,1.450B,,1.450B,,3.097M,3.097M,102.18M,4.062B,2.623B,,2.623B,114.12M,114.12M,,13.54M,1.305B,4.042B,8.104B,5.418M,11.19B,631.62M,2.292B,,,870.88M,10.41B
2011-03,1.084B,1.084B,2.981B,2.981B,598.78M,182.76M,1.043B,1.824B,394.89M,311.76M,,6.596B,0.0,271.78M,1.616B,4.052B,,118.47M,190.33M,6.248B,-4.126B,2.122B,5.156B,2.080B,7.235B,430.98M,613.42M,642.62M,11.04B,17.64B,866.65M,170.02M,66.50M,1.103B,1.391B,2.495B,,,,,750.77M,,750.77M,,4.135M,4.135M,,3.250B,2.597B,,2.597B,111.77M,111.77M,,12.43M,1.303B,4.012B,7.262B,5.408M,10.86B,573.72M,1.741B,,,667.53M,10.37B
2010-12,1.190B,1.190B,,2.678B,530.96M,157.22M,859.26M,1.547B,251.24M,301.59M,,5.968B,0.0,259.11M,1.548B,3.871B,,97.88M,184.94M,5.961B,-3.938B,2.023B,4.879B,1.695B,6.574B,441.61M,623.34M,619.93M,10.28B,16.25B,754.12M,169.23M,459.06M,1.382B,1.393B,2.776B,,,,,317.79M,,317.79M,,,,,3.094B,2.512B,,2.512B,186.94M,186.94M,,10.97M,1.077B,3.775B,6.869B,5.385M,10.40B,460.81M,1.741B,,,245.54M,9.370B
2010-09,1.649B,1.649B,2.628B,2.628B,523.83M,154.65M,866.25M,1.545B,285.98M,227.34M,,6.335B,0.0,239.52M,1.501B,3.781B,,98.00M,181.72M,5.802B,-3.849B,1.953B,4.730B,1.670B,6.399B,437.97M,594.04M,585.10M,9.969B,16.30B,722.92M,168.62M,292.48M,1.184B,1.392B,2.576B,,,,,644.88M,,644.88M,,,,,3.221B,2.737B,,2.737B,182.33M,182.33M,,10.33M,1.272B,4.192B,7.413B,5.367M,10.18B,377.41M,1.741B,,,62.67M,8.880B
2010-06,1.265B,1.265B,2.583B,2.583B,477.76M,141.64M,838.78M,1.458B,243.36M,217.03M,,5.766B,0.0,232.12M,1.487B,3.719B,,89.08M,176.89M,5.704B,-3.760B,1.944B,4.672B,1.713B,6.385B,445.16M,589.75M,541.52M,9.905B,15.67B,731.71M,156.09M,309.80M,1.198B,1.273B,2.471B,,,,,305.92M,,305.92M,,,,,2.777B,2.724B,,2.724B,179.67M,179.67M,,9.80M,1.260B,4.164B,6.940B,5.362M,9.925B,344.47M,1.391B,,,-162.18M,8.722B
2010-03,1.418B,1.418B,2.450B,2.450B,447.17M,144.87M,821.05M,1.413B,282.21M,229.05M,,5.792B,0.0,242.86M,1.535B,3.839B,,82.15M,179.20M,5.879B,-3.843B,2.036B,4.742B,1.677B,6.419B,445.71M,623.20M,550.42M,10.07B,15.87B,696.29M,155.77M,381.48M,1.234B,1.283B,2.516B,,,,,324.39M,,324.39M,,,,,2.841B,2.807B,,2.807B,187.06M,187.06M,,9.735M,1.289B,4.283B,7.124B,5.352M,9.660B,288.69M,1.391B,,,169.49M,8.733B
2009-12,1.319B,1.319B,,2.491B,417.31M,137.46M,801.46M,1.356B,276.24M,231.86M,,5.675B,0.0,247.91M,1.590B,3.946B,,90.91M,182.48M,6.057B,-3.920B,2.137B,4.861B,1.723B,6.584B,451.29M,673.04M,562.38M,10.41B,16.08B,689.57M,155.72M,417.27M,1.263B,1.359B,2.622B,,,,,213.68M,,213.68M,,,,,2.836B,2.915B,,2.915B,207.68M,207.68M,,9.669M,1.306B,4.428B,7.264B,5.35M,9.522B,270.98M,1.391B,,,400.73M,8.808B
2009-09,942.86M,942.86M,2.411B,2.411B,428.41M,144.22M,788.57M,1.361B,327.08M,243.28M,,5.285B,0.0,236.08M,1.532B,3.904B,,103.47M,172.40M,5.948B,-3.841B,2.107B,4.722B,1.652B,6.374B,456.45M,81.87M,579.63M,9.599B,14.88B,626.31M,155.28M,225.75M,1.007B,1.392B,2.399B,,,,,67.46M,,67.46M,,,,,2.467B,2.869B,,2.869B,71.47M,71.47M,,8.757M,1.234B,4.175B,6.642B,5.336M,9.170B,199.26M,1.391B,,,249.47M,8.234B
2009-06,616.40M,616.40M,2.393B,2.393B,461.91M,141.84M,834.88M,1.439B,453.42M,218.12M,12.23M,5.132B,0.0,234.41M,1.520B,3.904B,,101.28M,170.42M,5.931B,-3.793B,2.138B,4.677B,1.697B,6.374B,450.89M,82.45M,564.58M,9.610B,14.74B,575.00M,154.89M,206.22M,936.11M,1.326B,2.262B,,,,,180.51M,,180.51M,,,,5.454M,2.448B,2.856B,,2.856B,139.17M,139.17M,,11.99M,1.372B,4.367B,6.816B,5.323M,9.023B,146.12M,1.391B,,,130.36M,7.914B
2009-03,1.121B,1.121B,2.076B,2.076B,472.89M,149.85M,848.20M,1.471B,363.48M,196.42M,457.76M,5.686B,0.0,210.61M,1.342B,3.342B,,102.55M,164.77M,5.161B,-3.235B,1.926B,4.398B,1.702B,6.100B,458.50M,80.73M,506.28M,9.072B,14.76B,495.44M,154.78M,173.54M,823.76M,1.123B,1.947B,,,,,1.131B,,1.131B,,,,157.08M,3.235B,2.740B,,2.740B,79.55M,79.55M,,,1.330B,4.149B,7.384B,5.32M,9.001B,122.51M,1.391B,,,-376.22M,7.374B
