,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2018-06,2.866B,2.866B,2.031B,835.10M,395.20M,58.50M,-12.20M,63.10M,,-63.10M,453.70M,381.40M,,63.10M,-63.10M,-5.60M,-63.10M,312.70M,78.60M,234.10M,-0.30M,,233.80M,242.34M,514.30M,138.50M,375.80M,,2.29,,,2.374,2.29,,2.27,,,2.353,2.27,,101.90M,103.00M,0.00,,AOR,Restated
2018-03,2.848B,2.848B,2.069B,779.00M,397.00M,62.30M,-14.30M,63.50M,,-63.50M,459.30M,319.70M,,63.50M,-63.50M,-14.70M,-63.50M,241.50M,69.00M,172.50M,0.70M,,173.20M,182.98M,447.80M,142.80M,305.00M,,1.70,,,1.796,1.70,,1.67,,,1.765,1.67,,101.90M,103.40M,0.00,,AOR,Restated
2017-12,2.745B,2.745B,1.928B,817.10M,417.30M,62.90M,-6.30M,67.80M,,-67.80M,480.20M,336.90M,,67.80M,-67.80M,-2.90M,-67.80M,266.20M,-424.00M,690.20M,-2.40M,,687.80M,691.16M,479.00M,145.00M,334.00M,,6.91,,,6.943,6.91,,6.81,,,6.842,6.81,,102.40M,103.90M,0.00,,AOR,Restated
2017-09,2.621B,2.621B,1.837B,784.20M,381.30M,54.60M,-21.60M,59.90M,,-59.90M,435.90M,348.30M,,59.90M,-59.90M,-21.60M,-59.90M,266.80M,92.50M,174.30M,-2.80M,,171.50M,185.15M,459.80M,133.10M,326.70M,,1.68,,,1.814,1.68,,1.65,,,1.782,1.65,,102.20M,103.70M,0.00,,AOR,Restated
2017-06,2.528B,2.528B,1.750B,778.00M,357.70M,51.40M,-39.10M,55.00M,,-55.00M,409.10M,368.90M,,55.00M,-55.00M,-34.70M,-55.00M,279.20M,94.10M,185.10M,-0.30M,,184.80M,210.46M,461.20M,127.00M,334.20M,,1.80,,,2.051,1.80,,1.78,,,2.027,1.78,,102.40M,103.70M,0.00,,AOR,Restated
2017-03,2.414B,2.414B,1.701B,712.50M,342.90M,47.60M,-3.90M,52.40M,,-52.40M,390.50M,322.00M,,52.40M,-52.40M,-4.30M,-52.40M,265.30M,82.00M,183.30M,-0.30M,,183.00M,185.49M,445.80M,128.10M,317.70M,,1.79,,,1.814,1.79,,1.75,,,1.774,1.75,,102.50M,104.30M,0.00,,AOR,Restated
2016-12,2.504B,2.340B,1.878B,461.50M,121.30M,48.80M,-9.80M,52.90M,,-52.90M,170.10M,291.40M,,52.90M,-52.90M,6.20M,-52.90M,244.70M,80.40M,164.30M,-0.20M,,164.10M,170.55M,427.90M,130.30M,297.60M,,1.79,,,1.853,1.79,,1.75,,,1.812,1.75,,103.10M,104.60M,0.00,,AOR,Restated
2016-09,2.373B,2.415B,1.626B,788.40M,400.50M,41.10M,-22.80M,58.20M,,-58.20M,441.60M,346.80M,,58.20M,-58.20M,-25.20M,-58.20M,263.40M,83.60M,179.80M,-0.30M,,179.50M,194.66M,442.70M,121.10M,321.60M,,1.74,,,1.887,1.74,,1.71,,,1.855,1.71,,102.90M,104.90M,0.00,,AOR,Restated
2016-06,2.382B,2.431B,1.604B,826.80M,409.40M,45.30M,-6.60M,53.50M,,-53.50M,454.70M,372.10M,,53.50M,-53.50M,-6.70M,-53.50M,311.90M,107.50M,204.40M,-0.30M,,204.10M,208.16M,490.80M,125.40M,365.40M,,2.00,,,2.040,2.00,,1.96,,,1.999,1.96,,102.20M,104.10M,0.00,,AOR,Restated
2016-03,2.295B,2.368B,1.591B,777.30M,414.30M,44.30M,-19.20M,54.50M,,-54.50M,458.60M,318.70M,,54.50M,-54.50M,-10.60M,-54.50M,253.60M,89.20M,164.40M,-0.30M,,164.10M,176.22M,430.50M,122.40M,308.10M,,1.61,,,1.729,1.61,,1.58,,,1.697,1.58,,101.60M,103.80M,0.00,,AOR,Restated
2015-12,2.245B,2.300B,1.560B,740.60M,406.20M,43.90M,-54.00M,56.80M,,-56.80M,450.10M,290.50M,,56.80M,-56.80M,-54.50M,-56.80M,179.20M,69.00M,110.20M,-0.20M,,110.00M,142.90M,354.30M,118.30M,236.00M,,1.13,,,1.454,1.13,,1.11,,,1.428,1.11,,101.50M,103.30M,0.00,,AOR,Restated
2015-09,2.270B,2.317B,1.552B,764.90M,385.60M,44.90M,-26.30M,55.90M,,-55.90M,430.50M,334.40M,,55.90M,-55.90M,-27.00M,-55.90M,251.50M,96.50M,155.00M,-0.30M,,154.70M,170.59M,427.00M,119.60M,307.40M,,1.53,,,1.687,1.53,,1.50,,,1.654,1.50,,101.10M,102.90M,0.00,,AOR,Restated
2015-06,2.219B,2.269B,1.496B,772.70M,390.50M,44.60M,-14.30M,57.90M,,-57.90M,435.10M,337.60M,,57.90M,-57.90M,-13.40M,-57.90M,266.30M,96.20M,170.10M,-0.30M,,169.80M,178.75M,441.50M,117.30M,324.20M,,1.69,,,1.779,1.69,,1.66,,,1.747,1.66,,100.70M,102.50M,0.00,,AOR,Restated
2015-03,1.772B,1.793B,1.168B,625.10M,442.30M,31.10M,-19.30M,104.30M,,-104.30M,473.40M,151.70M,,104.30M,-104.30M,-14.90M,-104.30M,32.50M,29.10M,3.40M,-0.30M,,3.10M,14.32M,239.40M,102.60M,136.80M,,0.04,,,0.1621,0.04,,0.04,,,0.1596,0.04,,91.90M,93.80M,0.00,,AOR,Restated
2014-12,1.513B,1.513B,966.20M,546.50M,315.80M,15.40M,-2.40M,32.10M,,-32.10M,331.20M,215.30M,,32.10M,-32.10M,-1.80M,-32.10M,181.40M,61.50M,119.90M,-0.30M,,119.60M,121.05M,277.00M,63.50M,213.50M,,1.41,,,1.427,1.41,,1.39,,,1.407,1.39,,84.50M,86.10M,0.00,,AOR,Restated
2014-09,1.552B,1.552B,980.60M,571.20M,305.70M,18.30M,-5.80M,25.90M,,-25.90M,324.00M,247.20M,,25.90M,-25.90M,-2.30M,-25.90M,219.00M,81.50M,137.50M,-0.30M,,137.20M,140.65M,303.40M,58.50M,244.90M,,1.62,,,1.661,1.62,,1.59,,,1.630,1.59,,84.90M,86.50M,0.00,,AOR,Restated
2014-06,1.516B,1.516B,947.80M,568.60M,297.90M,22.00M,-2.00M,25.80M,,-25.80M,319.90M,248.70M,,25.80M,-25.80M,9.60M,-25.80M,232.50M,90.80M,141.70M,-0.40M,,141.30M,142.27M,321.10M,62.80M,258.30M,,1.67,,,1.682,1.67,,1.64,,,1.651,1.64,,84.70M,86.30M,0.00,,AOR,Restated
2014-03,1.431B,1.431B,913.90M,516.80M,284.90M,21.00M,-7.60M,25.70M,,-25.70M,305.90M,210.90M,,25.70M,-25.70M,2.50M,-25.70M,187.70M,74.20M,113.50M,-0.40M,,113.10M,117.58M,274.10M,60.70M,213.40M,,1.33,,,1.383,1.33,,1.31,,,1.362,1.31,,85.20M,86.60M,0.00,,AOR,Restated
2013-12,1.437B,1.437B,910.90M,526.10M,285.70M,21.40M,-4.00M,24.20M,,-24.20M,307.10M,219.00M,,24.20M,-24.20M,4.60M,-24.20M,194.20M,67.50M,126.70M,-0.40M,,126.30M,128.91M,278.20M,59.80M,218.40M,,1.474,,,1.504,1.474,,1.43,,,1.460,1.43,,86.60M,88.20M,0.00,,AOR,Restated
2013-09,1.462B,1.462B,914.60M,547.60M,279.00M,20.30M,-3.70M,24.70M,,-24.70M,299.30M,248.30M,,24.70M,-24.70M,6.40M,-24.70M,230.00M,81.30M,148.70M,-0.40M,,148.30M,149.53M,312.60M,57.90M,254.70M,,1.66,,,1.674,1.66,,1.63,,,1.644,1.63,,89.20M,90.90M,0.00,,AOR,Restated
2013-06,1.468B,1.468B,890.90M,577.30M,280.90M,20.50M,-6.60M,23.10M,,-23.10M,301.40M,275.90M,,23.10M,-23.10M,-2.80M,-23.10M,250.00M,97.70M,152.30M,-0.40M,,151.90M,155.80M,330.00M,56.90M,273.10M,,1.65,,,1.692,1.65,,1.62,,,1.662,1.62,,92.00M,93.70M,0.00,,AOR,Restated
2013-03,1.441B,1.441B,868.70M,572.20M,283.20M,19.50M,-7.50M,24.50M,,-24.50M,302.70M,269.50M,,24.50M,-24.50M,-3.60M,-24.50M,241.40M,93.80M,147.60M,-0.40M,,147.20M,151.66M,321.40M,55.50M,265.90M,,1.58,,,1.628,1.58,,1.56,,,1.607,1.56,,92.90M,94.50M,0.00,,AOR,Restated
2012-12,1.405B,1.405B,867.30M,538.00M,278.80M,23.20M,-20.70M,27.60M,,-27.60M,302.00M,236.00M,,27.60M,-27.60M,-16.90M,-27.60M,191.50M,70.90M,120.60M,-0.40M,,120.20M,133.05M,278.50M,59.40M,219.10M,,1.286,,,1.422,1.286,,1.26,,,1.395,1.26,,93.90M,95.30M,0.00,,AOR,Restated
2012-09,1.419B,1.419B,863.30M,556.10M,285.10M,21.10M,-4.80M,24.10M,,-24.10M,306.20M,249.90M,,24.10M,-24.10M,1.10M,-24.10M,226.90M,78.50M,148.40M,-0.40M,,148.00M,150.94M,308.60M,57.60M,251.00M,,1.56,,,1.591,1.56,,1.53,,,1.560,1.53,,95.10M,96.80M,0.00,,AOR,Restated
2012-06,1.423B,1.423B,843.90M,579.50M,279.50M,20.60M,-3.40M,21.30M,,-21.30M,300.10M,279.40M,,21.30M,-21.30M,-1.90M,-21.30M,256.20M,102.40M,153.80M,-0.50M,,153.30M,155.22M,333.60M,56.10M,277.50M,,1.59,,,1.610,1.59,,1.56,,,1.580,1.56,,96.30M,98.00M,0.00,,AOR,Restated
2012-03,1.423B,1.423B,847.20M,576.10M,271.20M,21.40M,3.60M,21.50M,,-21.50M,292.60M,283.50M,,21.50M,-21.50M,7.60M,-21.50M,269.60M,107.60M,162.00M,-0.40M,,161.60M,159.32M,347.80M,56.70M,291.10M,,1.66,,,1.637,1.66,,1.63,,,1.607,1.63,,97.20M,99.10M,0.00,,AOR,Restated
2011-12,1.366B,1.366B,816.50M,549.60M,270.30M,21.20M,-8.80M,22.20M,,-22.90M,291.50M,258.10M,,22.20M,-22.90M,-10.20M,-22.90M,225.00M,86.80M,138.20M,-2.80M,,135.40M,140.81M,305.00M,57.80M,247.20M,,1.38,,,1.435,1.38,,1.35,,,1.404,1.35,,98.50M,100.30M,0.00,,AOR,Restated
2011-09,1.404B,1.404B,836.00M,568.50M,283.80M,21.20M,-25.80M,20.30M,0.20M,-20.10M,305.00M,263.50M,0.20M,20.30M,-20.10M,-23.30M,-20.10M,220.10M,82.50M,137.60M,-3.30M,,134.30M,150.43M,298.10M,57.70M,240.40M,,1.34,0.00,,1.500,1.34,,1.31,0.00,,1.468,1.31,,100.60M,102.20M,0.00,,AOR,Restated
2011-06,1.403B,1.403B,815.10M,588.20M,322.70M,21.50M,-18.50M,21.00M,0.20M,-20.80M,344.20M,244.00M,0.20M,21.00M,-20.80M,-15.90M,-20.80M,207.30M,80.60M,126.70M,-3.80M,,122.90M,134.21M,286.10M,57.80M,228.30M,,1.22,0.00,,1.332,1.22,,1.20,0.00,,1.310,1.20,,100.60M,102.80M,0.00,,AOR,Restated
2011-03,1.368B,1.368B,800.00M,568.40M,282.80M,21.90M,-27.50M,24.00M,,-24.00M,304.70M,263.70M,,24.00M,-24.00M,-26.00M,-24.00M,213.70M,83.10M,130.60M,-3.50M,,127.10M,143.91M,295.80M,58.10M,237.70M,,1.27,0.00,,1.438,1.27,,1.23,0.00,,1.393,1.23,,100.30M,103.20M,0.00,,AOR,Restated
2010-12,1.295B,1.295B,765.80M,529.60M,272.40M,19.60M,3.40M,19.30M,,-19.30M,292.00M,237.60M,,19.30M,-19.30M,-2.40M,-19.30M,215.90M,80.80M,135.10M,-3.30M,,131.80M,129.67M,288.10M,52.90M,235.20M,,1.30,,,1.279,1.30,,1.24,,,1.220,1.24,,101.80M,105.40M,0.00,,AOR,Restated
2010-09,1.276B,1.276B,748.80M,527.70M,270.50M,18.00M,-5.20M,21.60M,,-21.60M,288.50M,239.20M,,21.60M,-21.60M,-1.00M,-21.60M,216.60M,73.50M,143.10M,-3.10M,,140.00M,143.44M,288.80M,50.60M,238.20M,,1.37,0.00,,1.404,1.37,,1.34,0.00,,1.373,1.34,,102.10M,104.10M,0.00,,AOR,Restated
2010-06,1.238B,1.238B,704.80M,533.60M,245.40M,17.70M,-0.60M,14.50M,,-14.50M,263.10M,270.50M,,14.50M,-14.50M,4.00M,-14.50M,260.00M,102.80M,157.20M,-3.50M,,153.70M,154.06M,324.60M,50.10M,274.50M,,1.48,0.00,,1.484,1.48,,1.46,0.00,,1.463,1.46,,103.50M,105.40M,0.00,,AOR,Restated
2010-03,1.194B,1.194B,686.70M,506.90M,246.00M,17.40M,-9.90M,14.60M,0.30M,-14.30M,263.40M,243.50M,0.30M,14.60M,-14.30M,-6.10M,-14.30M,223.10M,86.90M,136.20M,-3.50M,,132.70M,138.74M,287.70M,50.00M,237.70M,,1.27,0.00,,1.328,1.27,,1.25,0.00,,1.307,1.25,,104.60M,106.50M,0.00,,AOR,Restated
2009-12,1.165B,1.165B,689.10M,476.00M,240.50M,16.40M,-4.60M,14.70M,0.50M,-14.20M,256.90M,219.10M,0.50M,14.70M,-14.20M,-1.70M,-14.20M,203.20M,57.40M,145.80M,-3.10M,,142.70M,146.00M,267.70M,49.80M,217.90M,,1.35,0.00,,1.381,1.35,,1.31,0.00,,1.340,1.31,,105.60M,109.10M,0.00,,AOR,Restated
2009-09,1.185B,1.185B,687.00M,498.10M,247.30M,15.90M,-1.30M,15.00M,0.30M,-14.70M,263.20M,234.90M,0.30M,15.00M,-14.70M,2.90M,-14.70M,223.10M,88.50M,134.60M,-3.20M,,131.40M,132.18M,287.60M,49.50M,238.10M,,1.22,0.00,,1.227,1.22,,1.21,0.00,,1.217,1.21,,107.60M,108.80M,0.00,,AOR,Restated
2009-06,1.189B,1.189B,681.40M,507.40M,237.30M,15.20M,-10.90M,16.20M,0.40M,-15.80M,252.50M,254.90M,0.40M,16.20M,-15.80M,-7.00M,-15.80M,232.10M,92.70M,139.40M,-3.00M,,136.40M,142.95M,296.80M,48.50M,248.30M,,1.26,0.00,,1.320,1.26,,1.24,0.00,,1.300,1.24,,108.30M,109.50M,0.00,,AOR,Restated
2009-03,1.156B,1.156B,666.30M,489.40M,233.80M,15.10M,-0.50M,17.00M,0.40M,-16.60M,248.90M,240.50M,0.40M,17.00M,-16.60M,2.30M,-16.60M,226.20M,90.40M,135.80M,-3.00M,,132.80M,133.10M,290.50M,47.30M,243.20M,,1.23,0.00,,1.233,1.23,,1.22,0.00,,1.223,1.22,,108.10M,108.80M,0.00,,AOR,Restated
2008-12,1.119B,1.119B,669.20M,449.90M,226.40M,14.90M,-4.80M,18.00M,0.40M,-17.60M,241.30M,208.60M,0.40M,18.00M,-17.60M,-2.10M,-17.60M,188.90M,67.70M,121.20M,-3.10M,,118.10M,121.18M,253.10M,46.20M,206.90M,,1.09,0.00,,1.119,1.09,,1.09,0.00,,1.119,1.09,,107.60M,107.60M,0.00,,AOR,Restated
2008-09,1.135B,1.135B,673.50M,461.60M,227.10M,14.60M,-17.90M,16.80M,1.00M,-15.80M,241.70M,219.90M,1.00M,16.80M,-15.80M,-14.20M,-15.80M,189.90M,75.00M,114.90M,-3.00M,,111.90M,122.73M,251.90M,45.20M,206.70M,,1.02,0.00,,1.119,1.02,,1.00,0.00,,1.097,1.00,,109.60M,112.00M,0.00,,,Restated
2008-06,1.148B,1.148B,656.00M,491.80M,266.00M,14.60M,-16.10M,,,,280.60M,211.20M,,,,-12.50M,,177.80M,73.60M,104.20M,-3.60M,,104.20M,114.66M,256.00M,44.80M,211.20M,,0.94,0.00,,1.034,0.94,,0.92,0.00,,1.012,0.92,,110.85M,113.26M,0.00,,,
2008-03,1.103B,1.103B,632.70M,470.50M,215.60M,13.80M,-0.60M,19.90M,0.50M,-19.40M,229.40M,241.10M,0.50M,19.90M,-19.40M,3.80M,-19.40M,225.50M,91.60M,133.90M,-3.60M,,130.30M,130.69M,288.90M,43.50M,245.40M,,1.18,0.00,,1.184,1.18,,1.14,0.00,,1.143,1.14,,110.40M,114.40M,0.00,,,Restated
2007-12,1.006B,1.006B,600.40M,405.40M,196.60M,14.30M,-10.10M,,,,210.90M,194.50M,,,,11.20M,,186.90M,72.50M,114.40M,,,114.40M,120.58M,237.10M,42.60M,194.50M,,1.01,0.00,,1.065,1.01,,0.98,0.00,,1.033,0.98,,113.31M,116.75M,0.00,,,
2007-09,1.021B,1.021B,598.50M,422.10M,198.00M,13.90M,-31.40M,,,,211.90M,210.20M,,,,-10.50M,,187.10M,75.90M,111.20M,,,111.20M,131.61M,250.50M,40.30M,210.20M,,0.95,0.00,,1.124,0.95,,0.92,0.00,,1.089,0.92,,117.05M,120.87M,0.00,,,
2007-06,1.043B,1.043B,601.10M,442.00M,209.10M,13.40M,-6.80M,,,,222.50M,219.50M,,,,12.50M,,219.40M,90.70M,128.70M,,,128.70M,133.12M,259.40M,39.90M,219.50M,,1.10,0.00,,1.138,1.10,,1.05,0.00,,1.086,1.05,,117.00M,122.57M,0.00,,,
2007-03,998.70M,998.70M,577.00M,421.70M,205.00M,13.30M,1.70M,,,,218.30M,203.40M,,,,18.10M,,208.90M,86.40M,122.50M,,,122.50M,121.40M,243.40M,40.00M,203.40M,,1.01,0.00,,1.001,1.01,,0.98,0.00,,0.9712,0.98,,121.29M,125.00M,0.00,,,
2006-12,898.60M,898.60M,519.60M,379.00M,203.10M,13.20M,2.40M,,,,216.30M,162.70M,,,,19.50M,,169.80M,66.10M,103.70M,,,103.70M,102.23M,202.10M,39.40M,162.70M,,0.85,0.00,,0.8380,0.85,,0.81,0.00,,0.7986,0.81,,122.06M,128.02M,0.00,,,
2006-09,909.90M,909.90M,525.00M,384.90M,194.90M,13.00M,1.70M,,,,207.90M,177.00M,,,,18.00M,,183.10M,73.50M,109.60M,,,109.60M,108.58M,215.50M,38.50M,177.00M,,0.88,0.00,,0.8718,0.88,,0.81,0.00,,0.8025,0.81,,124.55M,135.31M,0.00,,,
2006-06,903.70M,903.70M,510.90M,392.80M,190.20M,13.00M,,,,,203.20M,189.60M,,,,17.90M,,195.90M,79.50M,116.40M,,,116.40M,116.40M,228.30M,38.70M,189.60M,,0.94,0.00,,0.94,0.94,,0.87,0.00,,0.87,0.87,,123.83M,133.79M,0.00,,,
2006-03,878.50M,878.50M,505.80M,372.70M,190.90M,13.00M,-0.20M,,,,203.90M,168.80M,,,,15.20M,,172.10M,70.20M,101.90M,,,101.90M,102.02M,207.20M,38.40M,168.80M,,0.82,0.00,,0.8210,0.82,,0.76,0.00,,0.7609,0.76,,124.27M,134.08M,0.00,,,
2005-12,822.30M,822.30M,489.80M,332.50M,176.70M,13.10M,-6.10M,,,,189.80M,142.70M,,,,10.80M,,144.60M,55.70M,88.90M,,,88.90M,92.65M,181.80M,39.10M,142.70M,,0.68,0.00,,0.7086,0.68,,0.64,0.00,,0.6669,0.64,,130.96M,139.17M,0.00,,,
2005-09,852.90M,852.90M,498.30M,354.60M,179.90M,13.10M,-9.60M,,,,193.00M,161.60M,,,,4.20M,,157.40M,62.70M,94.70M,,,94.70M,100.48M,199.20M,37.60M,161.60M,,0.71,0.00,,0.7533,0.71,,0.66,0.00,,0.7003,0.66,,133.38M,143.48M,0.00,,,
2005-06,853.30M,853.30M,488.40M,364.90M,178.70M,13.10M,-2.60M,,,,191.80M,173.10M,,,,11.30M,,175.80M,69.80M,106.00M,,,106.00M,107.57M,210.60M,37.50M,173.10M,,0.79,0.00,,0.8017,0.79,,0.74,0.00,,0.7509,0.74,,134.18M,143.24M,0.00,,,
2005-03,799.10M,799.10M,460.80M,338.30M,168.60M,12.10M,0.10M,,,,180.70M,157.60M,,,,13.80M,,162.90M,66.30M,96.60M,,,96.60M,96.54M,193.20M,35.60M,157.60M,,0.72,0.00,,0.7196,0.72,,0.67,0.00,,0.6696,0.67,,134.17M,144.18M,0.00,,,
2004-12,766.50M,766.50M,460.40M,306.10M,158.90M,11.00M,2.30M,,,,169.90M,136.20M,,,,16.00M,,143.70M,58.90M,84.80M,,,84.80M,83.42M,170.10M,33.90M,136.20M,,0.61,0.00,,0.6001,0.61,,0.58,0.00,,0.5706,0.58,,139.06M,146.34M,0.00,,,
2004-09,781.50M,781.50M,455.60M,325.90M,162.20M,10.90M,0.30M,,,,173.10M,152.80M,,,,13.20M,,157.00M,64.40M,92.60M,,,92.60M,92.42M,188.10M,35.30M,152.80M,,0.67,0.00,,0.6687,0.67,,0.63,0.00,,0.6288,0.63,,138.21M,146.98M,0.00,,,
2004-06,784.30M,784.30M,444.60M,339.70M,165.00M,10.50M,-0.40M,,,,175.50M,164.20M,,,,11.70M,,166.60M,68.30M,98.30M,,,98.30M,98.54M,199.30M,35.10M,164.20M,,0.70,0.00,,0.7017,0.70,,0.66,0.00,,0.6616,0.66,,140.43M,148.94M,0.00,,,
2004-03,752.50M,752.50M,434.90M,317.60M,163.00M,10.30M,0.40M,,,,173.30M,144.30M,,,,13.00M,,148.00M,60.70M,87.30M,,,87.30M,87.06M,178.80M,34.50M,144.30M,,0.62,0.00,,0.6183,0.62,,0.58,0.00,,0.5784,0.58,,140.81M,150.52M,0.00,,,
2003-12,731.50M,731.50M,430.80M,300.70M,161.70M,10.10M,1.50M,,,,171.80M,128.90M,,,,12.60M,,131.50M,53.90M,77.60M,,,77.60M,76.70M,163.60M,34.70M,128.90M,,0.55,0.00,,0.5436,0.55,,0.44,0.00,,0.4347,0.44,,141.14M,171.29M,0.00,,,
2003-09,752.00M,752.00M,441.10M,310.90M,162.70M,9.50M,-3.50M,,,,172.20M,138.70M,,,,8.00M,,137.20M,54.10M,83.10M,,,83.10M,85.22M,172.90M,34.20M,138.70M,,0.58,0.00,,0.5948,0.58,,0.58,0.00,,0.5948,0.58,,143.28M,143.28M,0.00,,,
2003-06,743.70M,743.70M,427.20M,316.50M,164.10M,9.50M,-0.20M,,,,173.60M,142.90M,,,,11.10M,,146.40M,60.00M,86.40M,,,86.40M,86.52M,176.50M,33.60M,142.90M,,0.60,0.00,,0.6008,0.60,,0.60,0.00,,0.6008,0.60,,144.00M,144.00M,0.00,,,
