,NetIncome,Gain/LossonSaleBusiness,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2016-09,179.80M,,0.30M,5.90M,121.10M,121.10M,121.10M,-9.80M,0.00,24.30M,0.40M,-18.90M,-5.40M,-22.90M,-15.30M,,,-9.30M,-71.80M,249.90M,,-66.20M,,,0.00,-254.90M,0.80M,2.60M,-317.70M,,-20.80M,,-20.80M,,0.00,0.00,,26.70M,0.80M,6.70M,,639.60M,-61.10M,-10.90M,567.60M,,,0.00,-20.80M,0.00,99.30M,75.90M,,AOR,Restated
2016-06,204.40M,,-0.10M,0.40M,125.40M,125.40M,125.40M,-3.20M,0.00,25.80M,0.40M,-29.50M,-1.80M,25.90M,-11.20M,,,12.90M,-3.70M,349.50M,,-67.00M,,,0.00,-58.60M,0.00,18.80M,-106.80M,,-340.20M,,-340.20M,,0.00,0.00,,28.80M,3.70M,-307.70M,,696.30M,-65.00M,8.30M,639.60M,,,0.00,-340.20M,0.00,128.70M,32.00M,,AOR,Restated
2016-03,164.40M,,0.20M,-8.20M,122.40M,122.40M,122.40M,18.20M,,31.80M,0.50M,-120.50M,2.40M,-22.50M,-80.70M,,,19.80M,-201.50M,127.60M,,-71.40M,,,0.00,-95.40M,12.70M,2.50M,-151.60M,,-1.50M,,-1.50M,,0.00,0.00,,11.90M,-11.10M,-0.70M,,716.40M,-24.70M,4.60M,696.30M,,,0.00,-1.50M,0.00,32.90M,71.60M,,AOR,Restated
2015-12,110.20M,,1.90M,3.60M,118.30M,118.30M,118.30M,-18.10M,24.90M,24.40M,0.50M,24.20M,-9.80M,38.80M,63.90M,,,3.70M,120.80M,384.60M,,-85.10M,,,,-43.60M,0.00,0.10M,-128.60M,,-252.30M,,-252.30M,,,,,9.70M,3.00M,-239.60M,,713.00M,16.40M,-13.00M,716.40M,,,0.00,-252.30M,,0.00,39.60M,,AOR,Restated
2015-09,155.00M,,0.80M,3.80M,119.60M,119.60M,119.60M,-11.10M,0.00,23.70M,0.50M,-34.40M,0.10M,8.60M,23.10M,,,-0.90M,-3.50M,288.00M,,-67.80M,,,,-14.90M,0.00,0.00,-82.70M,,-126.10M,,-126.10M,,,,,33.20M,6.20M,-86.70M,,619.00M,118.60M,-24.60M,713.00M,,,0.00,-126.10M,,147.00M,72.00M,,AOR,Restated
2015-06,170.40M,,-1.40M,-0.20M,117.30M,117.30M,117.30M,-22.30M,0.00,27.70M,0.50M,-12.70M,5.30M,22.60M,99.60M,,,-11.50M,103.30M,396.70M,,-69.10M,,,,-63.40M,0.00,0.20M,-132.30M,,-146.00M,,-146.00M,,,,,25.50M,1.70M,-118.80M,,446.40M,145.60M,27.00M,619.00M,,,0.00,-146.00M,,67.50M,39.60M,,AOR,Restated
2015-03,3.10M,,-1.20M,-2.50M,102.60M,102.60M,102.60M,17.40M,14.80M,26.30M,0.50M,-65.80M,4.20M,-7.70M,-193.90M,,,14.10M,-249.10M,-86.90M,,-33.80M,,,,-3.626B,8.00M,0.30M,-3.651B,,3.634B,,3.634B,,,,,30.50M,-34.60M,3.630B,,580.00M,-108.50M,-25.10M,446.40M,,,4.36B,-726.20M,,23.10M,14.90M,,AOR,Restated
2014-12,119.90M,,-2.50M,1.00M,63.50M,63.50M,63.50M,31.20M,0.00,10.60M,0.50M,28.60M,1.00M,-14.60M,-28.00M,,,,-13.00M,213.70M,,-46.30M,,,,-101.40M,-0.10M,0.50M,-147.30M,,-2.90M,,-2.90M,,-39.10M,-39.10M,,8.60M,-25.40M,-58.80M,,575.70M,7.60M,-3.30M,580.00M,,,0.00,-2.90M,-39.10M,73.00M,43.10M,,AOR,Restated
2014-09,137.50M,,-0.10M,0.10M,58.50M,58.50M,58.50M,-2.40M,0.00,11.50M,0.40M,-11.70M,-4.70M,-22.60M,9.00M,,,,-30.00M,175.60M,,-52.60M,,,,-4.00M,0.40M,0.60M,-55.60M,,-1.30M,,-1.30M,,-65.70M,-65.70M,,47.30M,1.30M,-18.40M,,479.50M,101.60M,-5.40M,575.70M,,,0.00,-1.30M,-65.70M,211.10M,74.70M,,AOR,Restated
2014-06,141.70M,,-1.90M,-11.00M,62.80M,62.80M,62.80M,-11.20M,0.00,11.90M,0.60M,-8.80M,0.50M,12.10M,8.80M,,,,12.60M,207.40M,,-48.10M,,,,-7.40M,16.30M,0.10M,-39.10M,,-9.20M,,-9.20M,,-56.50M,-56.50M,,42.50M,-2.20M,-25.40M,,338.90M,142.90M,-2.30M,479.50M,,,0.00,-9.20M,-56.50M,-8.60M,-18.80M,,AOR,Restated
2014-03,113.50M,,-1.30M,-8.40M,60.70M,60.70M,60.70M,10.10M,0.00,11.70M,0.50M,-39.20M,2.90M,12.20M,-21.70M,,,,-45.80M,142.30M,,-56.50M,,,,-66.80M,15.00M,0.20M,-108.10M,,-6.90M,,-6.90M,,-107.70M,-107.70M,,16.40M,0.20M,-98.00M,,404.00M,-63.80M,-1.30M,338.90M,,,0.00,-6.90M,-107.70M,8.60M,18.80M,,AOR,Restated
2013-12,126.70M,,-2.50M,-2.10M,59.80M,59.80M,59.80M,27.90M,,8.40M,0.50M,28.00M,-9.70M,-27.00M,36.20M,,,,27.50M,248.70M,,-59.60M,,,,-53.70M,0.00,0.50M,-112.80M,,327.40M,,327.40M,,-250.10M,-250.10M,,25.40M,-7.30M,95.40M,,174.10M,231.30M,-1.40M,404.00M,,,700.00M,-372.60M,-250.10M,,,,AOR,Restated
2013-09,148.70M,,2.00M,-3.00M,57.90M,57.90M,57.90M,0.00,,6.80M,0.60M,4.20M,0.10M,-4.40M,23.30M,,,,23.20M,234.20M,,-52.10M,,,,-2.80M,7.50M,0.20M,-47.20M,,147.00M,,147.00M,,-286.30M,-286.30M,,17.50M,-5.00M,-126.80M,,111.30M,60.20M,2.60M,174.10M,,,157.00M,-10.00M,-286.30M,,,,AOR,Restated
2013-06,152.40M,,-3.10M,-2.60M,56.90M,56.90M,56.90M,18.00M,,10.80M,0.60M,-23.90M,-2.50M,-7.90M,-64.20M,,,,-98.50M,137.60M,,-48.80M,,,,-89.50M,0.00,0.20M,-138.10M,,186.60M,,186.60M,,-365.30M,-365.30M,,102.30M,2.30M,-74.10M,,185.80M,-74.60M,0.10M,111.30M,,,225.00M,-38.40M,-365.30M,,,,AOR,Restated
2013-03,147.60M,,-0.60M,-0.40M,55.50M,55.50M,55.50M,10.30M,,11.30M,0.60M,-75.80M,-3.20M,7.00M,45.30M,,,,-26.70M,198.20M,,-41.70M,,,,-20.00M,0.00,0.20M,-61.50M,,-332.90M,,-332.90M,,-113.90M,-113.90M,,28.80M,5.20M,-412.80M,,466.80M,-276.10M,-4.90M,185.80M,,,30.00M,-362.90M,-113.90M,,,,AOR,Restated
2012-12,120.60M,,2.30M,2.50M,59.40M,59.40M,59.40M,8.40M,,5.90M,0.70M,49.80M,-2.00M,3.60M,5.30M,,,,56.70M,254.20M,,-61.80M,,,-0.40M,-60.40M,0.00,0.30M,-121.90M,,-5.70M,,-5.70M,,-136.00M,-136.00M,,10.70M,0.30M,-130.70M,,466.00M,1.60M,-0.80M,466.80M,,,0.00,-5.70M,-136.00M,,,,AOR,Restated
2012-09,148.40M,,0.60M,-0.50M,57.60M,57.60M,57.60M,11.60M,,11.10M,0.70M,-14.20M,-1.00M,-8.00M,-1.90M,,,,-25.10M,203.80M,,-44.20M,,,-0.10M,-267.90M,0.00,1.40M,-310.70M,,550.00M,,550.00M,,-127.90M,-127.90M,,31.70M,-7.20M,446.60M,,124.40M,339.70M,1.90M,466.00M,,,1.22B,-670.00M,-127.90M,,,,AOR,Restated
2012-06,153.80M,,-3.80M,2.40M,56.10M,56.10M,56.10M,12.70M,,11.90M,0.60M,15.50M,-7.20M,1.70M,-61.20M,,,,-51.20M,186.30M,,-35.10M,,,-1.00M,-31.30M,,1.00M,-65.40M,,-12.30M,,-12.30M,,-130.30M,-130.30M,,17.20M,0.30M,-125.10M,,129.90M,-4.20M,-1.30M,124.40M,,,85.00M,-97.30M,-130.30M,,,,AOR,Restated
2012-03,162.00M,,0.50M,0.70M,56.70M,56.70M,56.70M,20.60M,,11.80M,0.70M,-50.50M,3.90M,9.80M,-18.60M,,,,-55.40M,197.10M,,-35.20M,,,-1.00M,-1.50M,,0.50M,-36.20M,,-100.20M,,-100.20M,,-122.30M,-122.30M,,26.20M,4.70M,-191.60M,,159.30M,-30.70M,1.30M,129.90M,,,0.00,-100.20M,-122.30M,,,,AOR,Restated
2011-12,138.20M,,1.70M,7.70M,,57.80M,57.80M,13.20M,,11.70M,0.70M,28.80M,-5.20M,-0.70M,26.40M,,,,49.30M,278.60M,,-30.10M,,,0.00,-91.30M,0.00,0.10M,-121.30M,,236.60M,,236.60M,-111.30M,-175.10M,-286.40M,,,-152.00M,-83.40M,,85.80M,73.90M,-0.40M,159.30M,,-111.30M,795.00M,-558.40M,-175.10M,,,,AOR,Restated
2011-09,137.60M,,-0.70M,0.10M,,57.70M,57.70M,8.50M,,11.70M,0.70M,-7.50M,1.80M,-14.20M,-19.60M,,,,-39.50M,176.80M,,-40.40M,,,0.00,-1.80M,0.00,0.50M,-41.70M,,-20.20M,,-20.20M,8.40M,-146.00M,-137.60M,,,-8.90M,-166.70M,,118.90M,-31.60M,-1.50M,85.80M,,8.40M,0.00,-20.20M,-146.00M,,,,AOR,Restated
2011-06,126.70M,,0.80M,1.60M,,57.80M,57.80M,-18.50M,,12.40M,1.10M,10.10M,-8.30M,8.00M,-6.00M,,,,3.80M,184.90M,,-45.80M,,,0.00,-29.70M,0.00,2.70M,-72.80M,,-202.40M,,-202.40M,64.20M,-60.50M,3.70M,,,10.90M,-187.80M,,195.40M,-75.70M,-0.80M,118.90M,,64.20M,0.00,-202.40M,-60.50M,,,,AOR,Restated
2011-03,130.60M,,-0.40M,-0.80M,,58.10M,58.10M,-1.00M,,13.10M,1.40M,-68.50M,5.60M,16.70M,60.10M,,,,13.90M,215.30M,,-29.40M,,,0.00,-15.50M,,0.40M,-44.50M,,15.00M,,15.00M,38.70M,-262.30M,-223.60M,,,1.50M,-207.10M,,230.70M,-36.30M,1.00M,195.40M,,38.70M,85.00M,-70.00M,-262.30M,,,,AOR,Restated
2010-12,135.10M,,5.70M,7.40M,,52.90M,52.90M,15.00M,,10.50M,1.40M,23.70M,-8.10M,-24.90M,46.20M,,,,36.90M,259.20M,,-32.80M,,,0.00,-973.10M,10.00M,0.90M,-995.00M,,841.00M,,841.00M,-44.40M,0.00,-44.40M,,,-11.10M,868.90M,,96.90M,133.10M,0.70M,230.70M,,-44.40M,925.00M,-84.00M,0.00,,,,AOR,Restated
2010-09,143.10M,,0.60M,1.70M,,50.60M,50.60M,-5.60M,,10.10M,1.50M,-12.00M,-1.50M,0.40M,-12.10M,,,,-25.20M,176.20M,,-34.30M,,,0.00,-45.80M,-10.00M,1.50M,-88.60M,,21.80M,,21.80M,7.70M,-121.90M,-114.20M,,,-2.80M,-95.20M,,103.80M,-7.60M,0.70M,96.90M,,7.70M,65.00M,-43.20M,-121.90M,,,,AOR,Restated
2010-06,157.20M,,-0.40M,0.40M,,50.10M,50.10M,-6.50M,,10.70M,1.40M,1.40M,-3.90M,6.00M,-0.60M,,,,2.90M,216.20M,,-34.90M,,,-0.40M,-143.30M,,0.80M,-177.40M,,-6.80M,0.00,-6.80M,18.60M,-115.90M,-97.30M,,,-1.40M,-105.50M,,172.20M,-66.70M,-1.70M,103.80M,,18.60M,30.00M,-36.80M,-115.90M,,,,AOR,Restated
2010-03,136.20M,,0.40M,0.90M,,50.00M,50.00M,10.00M,,8.70M,1.50M,-38.40M,7.70M,5.00M,50.40M,,,,24.70M,232.00M,,-24.50M,,,,-33.60M,,1.60M,-56.50M,,-67.50M,,-67.50M,18.10M,-100.30M,-82.20M,,,-3.20M,-152.90M,,148.50M,22.60M,1.10M,172.20M,,18.10M,65.00M,-132.50M,-100.30M,,,,AOR,Restated
2009-12,145.80M,,,3.30M,,49.80M,49.80M,-0.30M,,10.30M,1.70M,60.00M,-7.60M,-5.50M,-32.80M,,,,14.10M,224.70M,,-37.60M,,,0.00,-46.60M,0.00,0.00,-84.20M,,-12.60M,4.20M,-8.40M,6.70M,-113.90M,-107.20M,7.70M,,-10.90M,-118.80M,,126.80M,21.70M,0.00,148.50M,,6.70M,4.20M,-12.60M,-113.90M,,,,AOR,Restated
2009-09,134.60M,,,0.60M,,49.50M,49.50M,1.60M,,9.30M,1.20M,36.20M,-8.60M,-5.20M,27.20M,,,,49.60M,246.40M,,-22.70M,,,0.00,-160.90M,0.00,0.70M,-182.90M,,-12.50M,0.00,-12.50M,9.90M,-159.10M,-149.20M,-2.70M,,0.30M,-164.10M,,226.60M,-100.60M,0.80M,126.80M,,9.90M,0.00,-12.50M,-159.10M,-134.90M,-25.60M,,AOR,Restated
2009-06,139.40M,,,0.60M,,48.50M,48.50M,-2.00M,,9.60M,2.00M,16.20M,4.20M,2.90M,-39.00M,,,,-15.70M,182.40M,,-23.70M,,,0.00,-2.10M,0.00,0.20M,-25.60M,,-301.90M,-1.10M,-303.00M,2.50M,0.00,2.50M,-3.00M,,-1.40M,-304.90M,,373.20M,-148.10M,1.50M,226.60M,,2.50M,0.00,-303.00M,0.00,134.90M,25.60M,,AOR,Restated
2009-03,135.80M,,,0.30M,,47.30M,47.30M,10.30M,,7.20M,3.40M,-38.40M,7.70M,13.70M,21.60M,,,,4.60M,208.90M,,-30.70M,0.00,0.00,,-6.30M,-4.30M,,-41.30M,,-12.50M,-3.90M,-16.40M,5.70M,0.00,5.70M,-2.00M,,-0.40M,-13.10M,,219.70M,154.50M,-1.00M,373.20M,,5.70M,0.00,-16.40M,0.00,,,,AOR,Restated
2008-12,121.20M,,,0.70M,,46.20M,46.20M,41.00M,,9.20M,2.80M,28.10M,-3.80M,-21.50M,-8.60M,,,,-5.80M,215.30M,,-36.30M,,,0.00,-8.60M,0.00,0.10M,-44.80M,,-8.40M,2.50M,-5.90M,11.10M,0.00,11.10M,10.90M,,-13.60M,2.50M,,49.40M,173.00M,-2.70M,219.70M,,11.10M,11.90M,-17.80M,0.00,,,,AOR,Restated
2008-09,122.10M,,,-7.00M,,45.20M,45.20M,12.00M,,27.00M,-15.00M,11.20M,-2.80M,-5.50M,-1.00M,,8.20M,,10.10M,194.40M,,-41.70M,-0.30M,79.20M,-0.80M,-74.50M,0.00,2.80M,-113.70M,,-18.80M,73.30M,67.00M,17.10M,-268.60M,-251.50M,-10.90M,,9.40M,-186.00M,,155.30M,-105.30M,-0.60M,49.40M,,17.10M,138.30M,-83.80M,-268.60M,,,,,Restated
2008-06,100.60M,,,8.80M,,44.80M,44.80M,-17.60M,,-8.90M,20.70M,41.50M,-1.70M,0.90M,13.80M,,-8.20M,,46.30M,194.70M,,-41.60M,0.30M,-79.20M,,-15.80M,0.00,-2.60M,-59.70M,,6.20M,-20.00M,-26.30M,7.10M,-6.30M,0.80M,3.10M,,-7.10M,-29.50M,,50.10M,105.50M,-0.30M,155.30M,,7.10M,-65.00M,51.20M,-6.30M,,,,,
2008-03,133.90M,,,-2.00M,,43.50M,43.50M,34.20M,,8.90M,2.80M,-52.80M,-0.30M,11.00M,-2.70M,,,,-44.80M,176.50M,,-37.90M,,,,-250.00M,109.90M,0.20M,-177.80M,,-6.20M,20.00M,13.80M,29.10M,-58.70M,-29.60M,-3.10M,,13.40M,-5.50M,,56.40M,-6.80M,0.50M,50.10M,,29.10M,65.00M,-51.20M,-58.70M,,,,,Restated
2007-12,114.40M,,,0.20M,,42.60M,42.60M,9.20M,,,11.90M,39.50M,2.40M,2.40M,9.10M,,8.70M,,62.10M,240.40M,,-34.20M,0.90M,-33.30M,,-80.40M,-87.20M,1.20M,-199.70M,,,,398.70M,10.00M,-402.50M,-392.50M,,,-3.20M,3.00M,,12.50M,43.70M,0.20M,56.40M,,10.00M,,,-402.50M,,,,,
2007-09,111.20M,,,-1.50M,,40.30M,40.30M,14.30M,,,11.80M,-25.30M,-0.20M,-27.90M,-7.40M,,15.10M,,-45.70M,130.40M,,-35.70M,0.30M,-35.40M,,-124.60M,20.50M,-0.30M,-139.80M,,,,96.70M,22.70M,-111.60M,-88.90M,,,5.40M,13.20M,,8.50M,3.80M,0.20M,12.50M,,22.70M,,,-111.60M,,,,,
2007-06,128.70M,,,1.00M,,39.90M,39.90M,3.80M,,,12.00M,-24.30M,-3.90M,4.00M,36.20M,,-44.30M,,-32.30M,153.10M,,-32.60M,0.00,-32.60M,,-8.30M,27.00M,-0.90M,-14.80M,,,,-104.90M,15.60M,-51.70M,-36.10M,,,4.80M,-136.20M,,6.50M,2.10M,-0.10M,8.50M,,15.60M,,,-51.70M,,,,,
2007-03,122.50M,,,-8.10M,,40.00M,40.00M,-0.80M,,,10.80M,-68.60M,6.50M,5.20M,-4.00M,,82.30M,,21.40M,185.80M,,-40.80M,0.20M,-40.60M,,-11.80M,65.20M,,12.80M,,,,74.50M,29.30M,-355.40M,-326.10M,,,7.90M,-243.70M,,51.50M,-45.10M,0.10M,6.50M,,29.30M,,,-355.40M,,,,,
2006-12,103.70M,,,-3.30M,,39.40M,39.40M,18.70M,,,21.50M,26.50M,-8.70M,-9.30M,-17.20M,,-1.10M,,-9.80M,170.20M,,-48.10M,0.00,-48.10M,,-32.10M,176.70M,2.60M,99.10M,,,,20.90M,4.30M,-253.60M,-249.30M,,,1.80M,-226.60M,,8.60M,42.70M,0.20M,51.50M,,4.30M,,,-253.60M,,,,,
2006-09,109.60M,,,4.10M,,38.50M,38.50M,12.00M,,,16.50M,-30.80M,0.70M,-5.60M,-8.00M,,18.00M,,-25.70M,155.00M,,-25.50M,0.00,-25.50M,,-3.80M,-126.40M,-2.60M,-158.30M,,,,-16.70M,11.40M,0.00,11.40M,,,1.00M,-4.30M,,16.60M,-7.60M,-0.40M,8.60M,,11.40M,,,0.00,,,,,
