,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,,Liabilities(Quarterly),AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,DerivativeContractLiabilities,MinorityInterestOwnership,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,,2.024B,27.03M,2.051B,645.47M,,645.47M,,,,247.18M,2.943B,,,,,,,,,,9.697B,4.485B,2.357B,6.842B,12.17M,,,,447.82M,,2018-03,686.61M,,,,686.61M,257.81M,944.42M,,79.70M,79.70M,77.39M,157.08M,,,,144.96M,1.246B,,9.317B,1.630B,,,,,,12.80B,,2018-03,0.08M,587.48M,10.19B,145.70M,,-718.17M,7.141B,,2018-03,AOR,Restated
2017-12,985.38M,1.413B,28.27M,1.441B,576.31M,7.797M,695.07M,64.83M,26.92M,,17.34M,2.249B,798.13M,423.54M,3.907B,,6.335B,425.43M,1.850B,13.74B,-4.344B,9.395B,4.412B,2.385B,6.797B,9.243M,,4.11M,76.70M,22.86M,,2017-12,101.74M,11.18M,130.27M,,243.20M,493.02M,736.22M,1.716M,64.49M,64.49M,78.70M,143.20M,103.90M,110.44M,,36.57M,1.243B,96.82M,8.317B,1.620B,132.11M,482.18M,,6.381M,,11.84B,,2017-12,0.079M,252.69M,10.12B,146.32M,,-785.19M,6.850B,,2017-12,AOR,Restated
2017-09,,1.600B,29.57M,1.630B,597.24M,,597.24M,,,,217.01M,2.444B,,,,,,,,,,9.006B,4.226B,2.335B,6.562B,10.88M,,,,285.97M,,2017-09,657.23M,,,,657.23M,205.44M,862.67M,,84.46M,84.46M,60.20M,144.66M,,,,149.30M,1.157B,,8.269B,1.612B,,,,,,11.77B,,2017-09,0.079M,187.47M,9.719B,146.37M,,-783.95M,6.542B,,2017-09,AOR,Restated
2017-06,,1.064B,4.242M,1.068B,545.73M,,545.73M,,,,235.87M,1.850B,,,,,,,,,,8.747B,4.226B,2.382B,6.608B,6.389M,,,,263.55M,,2017-06,612.59M,,,,612.59M,192.38M,804.97M,,83.02M,83.02M,62.94M,145.96M,,,,140.50M,1.091B,,7.559B,1.584B,,,,,,10.95B,,2017-06,0.078M,107.57M,9.649B,146.98M,,-811.32M,6.524B,,2017-06,AOR,Restated
2017-03,,4.923B,14.74M,4.938B,429.99M,,429.99M,,,,206.03M,5.574B,,,,,,,,,,7.606B,3.053B,710.71M,3.764B,6.461M,,,,234.64M,,2017-03,515.96M,,,,515.96M,190.18M,706.14M,,80.80M,80.80M,99.20M,180.00M,,,,133.93M,1.020B,,7.478B,1.523B,,,,,,10.67B,,2017-03,0.078M,61.77M,9.602B,146.94M,,-882.74M,6.518B,,2017-03,AOR,Restated
2016-12,345.12M,748.48M,3.409M,751.88M,396.24M,46.81M,545.06M,79.26M,15.06M,,22.19M,1.468B,622.07M,237.35M,2.786B,,4.761B,645.39M,1.599B,10.65B,-3.452B,7.199B,2.986B,719.23M,3.705B,10.04M,,15.91M,68.92M,19.69M,,2016-12,60.21M,12.00M,133.56M,,205.77M,360.00M,565.77M,10.04M,67.93M,67.93M,101.05M,168.97M,94.00M,98.16M,,12.95M,1.029B,92.98M,5.180B,1.411B,104.20M,455.10M,,0.14M,,8.243B,,2016-12,0.072M,18.58M,7.414B,147.56M,,-949.14M,4.366B,,2016-12,AOR,Restated
2016-09,,987.92M,0.443M,988.36M,377.53M,,377.53M,,25.30M,,172.37M,1.660B,,,,,,,,,,7.251B,3.119B,803.26M,3.922B,15.04M,,,,248.69M,,2016-09,534.60M,,,,534.60M,185.68M,720.28M,,518.98M,518.98M,92.12M,611.10M,,,,164.18M,1.496B,,4.868B,1.446B,,,,,,8.474B,,2016-09,0.072M,-43.17M,7.371B,147.62M,,-713.77M,4.624B,,2016-09,AOR,Restated
2016-06,,483.16M,3.328M,486.49M,346.99M,,346.99M,,3.411M,,233.87M,2.095B,,,,,,,,,,6.959B,3.190B,788.96M,3.979B,7.694M,,,,227.98M,,2016-06,498.21M,,,,498.21M,163.39M,661.60M,,511.33M,511.33M,92.61M,603.94M,,,,294.24M,1.560B,,4.882B,1.515B,,,,,,8.564B,,2016-06,0.071M,-94.62M,7.308B,148.25M,,-643.79M,4.705B,,2016-06,AOR,Restated
2016-03,,633.76M,12.35M,646.11M,326.44M,,326.44M,,3.42M,,236.47M,2.168B,,,,,,,,,,6.888B,3.337B,867.54M,4.205B,3.969M,,,,230.79M,,2016-03,475.34M,,,,475.34M,124.68M,600.03M,,635.35M,635.35M,48.32M,683.67M,,,,296.50M,1.580B,,4.946B,1.552B,,,,,,8.677B,,2016-03,0.069M,-139.33M,6.973B,6.635M,,-416.55M,4.819B,,2016-03,AOR,Restated
2015-12,1.140B,2.229B,12.88M,2.242B,291.96M,1.925M,327.87M,48.32M,479.42M,,68.54M,3.259B,450.91M,183.95M,2.383B,,3.821B,351.70M,1.205B,8.396B,-2.789B,5.606B,1.063B,224.56M,1.288B,4.584M,,8.735M,80.86M,21.53M,,2015-12,49.89M,13.67M,37.00M,,100.57M,285.96M,386.52M,,916.36M,916.36M,40.12M,956.48M,92.25M,95.82M,,86.33M,1.656B,78.48M,4.277B,1.287B,95.01M,264.42M,,0.669M,,7.611B,,2015-12,0.062M,-108.22M,4.838B,7.373M,,-509.06M,2.745B,,2015-12,AOR,Restated
2015-09,,335.47M,0.00,335.47M,293.12M,,293.12M,,493.42M,,120.00M,1.242B,,,,,,,,,,5.219B,983.53M,123.45M,1.107B,4.077M,,,,133.99M,,2015-09,340.37M,640.06M,,,980.43M,131.61M,1.112B,,206.56M,206.56M,26.78M,233.33M,,,,118.74M,1.464B,,3.204B,1.199B,,,,,,6.217B,,2015-09,0.057M,-118.95M,3.467B,9.913M,,-488.01M,1.489B,,2015-09,AOR,Restated
2015-06,,336.13M,95.40M,431.53M,293.86M,,293.86M,,523.00M,,81.73M,1.330B,,,,,,,,,,5.185B,1.008B,131.38M,1.139B,4.039M,,,,167.94M,,2015-06,315.55M,,,,315.55M,128.19M,443.75M,,208.82M,208.82M,26.83M,235.65M,,,,138.33M,817.73M,,3.257B,1.218B,,,,,,5.623B,,2015-06,0.057M,-160.08M,3.418B,10.65M,,-423.17M,2.203B,,2015-06,AOR,Restated
2015-03,,536.71M,522.34M,1.059B,277.90M,,277.90M,,,,102.59M,1.440B,,,,,,,,,,4.991B,984.44M,136.01M,1.120B,10.69M,,,,166.13M,,2015-03,321.94M,,,,321.94M,123.66M,445.60M,,54.94M,54.94M,23.82M,78.76M,,,,142.00M,666.36M,,3.410B,1.178B,,,,,,5.566B,,2015-03,0.057M,-219.54M,3.383B,10.69M,,-468.04M,2.162B,,2015-03,AOR,Restated
2014-12,207.95M,610.92M,529.40M,1.140B,262.57M,2.324M,281.96M,29.50M,3.057M,6.579M,11.80M,1.491B,387.91M,160.04M,2.074B,,3.253B,460.26M,1.053B,7.389B,-2.390B,4.998B,1.002B,147.53M,1.150B,0.439M,,5.007M,54.16M,20.43M,,2014-12,30.22M,4.559M,41.30M,,76.08M,213.56M,289.64M,0.945M,59.47M,59.47M,21.36M,80.83M,69.08M,155.02M,83.26M,2.143M,643.76M,63.91M,3.395B,1.168B,81.81M,203.99M,,0.00,,5.512B,,2014-12,0.057M,-295.99M,3.334B,11.41M,,-332.44M,2.270B,,2014-12,AOR,Restated
2014-09,327.88M,354.18M,130.86M,485.04M,275.26M,2.113M,312.47M,28.05M,3.199M,7.442M,8.905M,857.71M,,,,,,,,,,4.983B,1.025B,157.48M,1.182B,16.08M,,4.008M,334.99M,21.29M,,2014-09,42.30M,,43.76M,,86.07M,262.01M,348.08M,2.106M,57.77M,57.77M,20.13M,77.90M,65.64M,139.94M,72.00M,5.632M,668.20M,61.58M,2.733B,1.172B,81.18M,199.06M,,,,4.864B,,2014-09,0.054M,59.11M,2.871B,94.76M,,-237.48M,2.598B,,2014-09,AOR,Restated
2014-06,361.38M,408.33M,207.32M,615.66M,237.83M,2.575M,286.71M,31.32M,3.287M,7.442M,1.85M,954.53M,0.00,122.04M,2.034B,3.557B,,387.66M,1.069B,7.169B,-2.245B,4.924B,1.058B,170.13M,1.228B,88.69M,,3.224M,335.72M,22.54M,,2014-06,21.02M,,39.61M,,60.63M,196.40M,257.03M,1.226M,54.47M,54.47M,18.38M,72.85M,63.16M,137.91M,72.00M,7.413M,563.32M,60.96M,2.747B,1.116B,81.91M,196.60M,,,,4.957B,,2014-06,0.053M,16.27M,2.797B,52.94M,,-77.51M,2.683B,,2014-06,AOR,Restated
2014-03,232.84M,495.17M,322.37M,817.55M,213.56M,2.142M,226.00M,23.30M,3.287M,7.442M,1.306M,1.086B,0.00,122.08M,1.968B,3.468B,,269.58M,1.069B,6.897B,-2.131B,4.766B,1.048B,176.91M,1.224B,224.18M,,3.678M,316.66M,23.45M,,2014-03,34.36M,,57.72M,,92.09M,209.33M,301.42M,1.306M,54.12M,54.12M,17.88M,72.00M,66.65M,141.30M,72.00M,6.74M,595.16M,58.89M,3.170B,1.037B,71.31M,182.54M,,,,5.214B,,2014-03,0.051M,4.944M,2.743B,131.41M,,-99.82M,2.517B,,2014-03,AOR,Restated
2013-12,,261.89M,369.81M,631.70M,184.84M,4.181M,210.60M,26.58M,3.21M,7.442M,4.666M,888.66M,260.77M,146.90M,1.886B,,3.071B,219.39M,1.034B,6.618B,-2.026B,4.592B,1.042B,184.18M,1.226B,398.39M,,4.118M,271.82M,24.80M,,2013-12,30.29M,0.00,32.05M,,62.34M,173.38M,235.72M,1.29M,53.51M,53.51M,17.21M,70.72M,63.33M,139.20M,72.00M,7.473M,546.50M,58.26M,3.174B,914.03M,68.03M,175.80M,,,,5.033B,,2013-12,0.05M,-36.44M,2.694B,84.66M,,-113.77M,2.459B,,2013-12,AOR,Restated
2013-09,234.19M,399.74M,346.04M,745.78M,199.64M,5.703M,215.39M,24.68M,3.211M,8.448M,4.538M,1.005B,0.00,116.51M,1.157B,3.171B,537.11M,307.54M,1.016B,6.305B,-1.924B,4.381B,1.036B,182.34M,1.219B,442.20M,,3.428M,251.43M,26.63M,,2013-09,28.48M,,59.99M,,88.47M,222.38M,310.86M,,40.18M,40.18M,16.98M,57.16M,60.98M,132.75M,68.20M,1.711M,582.22M,59.58M,3.127B,862.41M,69.09M,169.98M,0.00,0.056M,,4.936B,,2013-09,0.05M,-81.63M,2.692B,35.90M,,-121.73M,2.453B,,2013-09,AOR,Restated
2013-06,160.49M,517.50M,323.46M,840.96M,201.34M,9.301M,218.12M,20.68M,4.302M,8.107M,2.876M,1.098B,0.00,113.85M,980.77M,3.077B,425.00M,217.54M,1.101B,5.916B,-1.812B,4.103B,1.012B,184.74M,1.197B,375.97M,,3.879M,217.25M,18.24M,,2013-06,34.22M,,35.58M,,69.80M,214.00M,283.81M,,40.36M,40.36M,85.26M,125.62M,46.05M,121.49M,69.69M,1.383M,607.54M,63.86M,3.131B,684.87M,55.90M,156.11M,0.00,0.039M,,4.766B,,2013-06,0.05M,-103.20M,2.651B,36.28M,,-200.08M,2.312B,,2013-06,AOR,Restated
2013-03,155.28M,685.02M,233.29M,918.31M,185.16M,8.247M,199.32M,23.99M,843.48M,8.107M,1.912M,2.006B,0.00,96.91M,794.07M,3.000B,401.66M,230.05M,1.088B,5.611B,-1.721B,3.890B,1.019B,191.94M,1.211B,293.75M,,3.372M,131.06M,17.19M,,2013-03,28.81M,,59.09M,,87.90M,163.83M,251.73M,,797.35M,797.35M,16.30M,813.65M,60.76M,135.53M,69.69M,1.108M,1.266B,63.38M,3.142B,568.07M,36.61M,104.18M,2.789M,0.121M,,5.271B,,2013-03,0.05M,-74.55M,2.627B,36.31M,,-174.27M,2.342B,,2013-03,AOR,Restated
2012-12,150.86M,252.21M,166.49M,418.70M,163.84M,3.428M,176.10M,21.35M,9.38M,8.448M,2.908M,640.09M,0.00,98.01M,1.115B,2.876B,,379.75M,1.079B,5.547B,-1.631B,3.916B,1.043B,201.56M,1.244B,127.82M,,0.00,127.69M,18.79M,,2012-12,27.66M,,47.48M,,75.14M,173.99M,249.12M,,52.16M,52.16M,15.21M,67.37M,71.29M,144.91M,68.20M,2.059M,549.07M,63.15M,2.398B,545.85M,53.52M,152.87M,3.30M,,,3.822B,,2012-12,0.049M,-131.13M,2.582B,36.68M,,-101.04M,2.313B,,2012-12,AOR,Restated
2012-09,,239.69M,164.79M,404.47M,181.97M,,181.97M,,,,69.75M,725.19M,0.00,97.34M,727.35M,3.136B,,273.21M,1.062B,5.297B,-1.505B,3.791B,1.043B,200.65M,1.244B,115.36M,,,,115.43M,,2012-09,26.39M,,52.43M,,78.82M,238.19M,317.01M,,49.33M,49.33M,14.85M,64.18M,,70.30M,70.30M,92.23M,612.46M,,2.404B,487.87M,,,,,78.19M,3.679B,,2012-09,0.049M,-155.29M,2.539B,36.71M,,-113.64M,2.234B,,2012-09,AOR,Restated
2012-06,,654.10M,115.46M,769.56M,169.81M,,169.81M,,,,70.22M,1.010B,0.00,94.73M,584.53M,2.744B,,611.30M,976.76M,5.011B,-1.486B,3.526B,863.19M,138.20M,1.001B,53.46M,,,,134.41M,,2012-06,27.52M,,45.10M,,72.62M,211.08M,283.69M,,72.79M,72.79M,12.98M,85.77M,,,,60.70M,491.16M,,2.343B,464.62M,,,,,75.85M,3.581B,,2012-06,0.049M,-184.12M,2.445B,37.17M,,-155.78M,2.068B,,2012-06,AOR,Restated
2012-03,,632.94M,283.91M,916.85M,158.56M,,158.56M,,,,98.61M,1.174B,0.00,96.04M,535.71M,2.722B,,473.21M,975.44M,4.802B,-1.415B,3.387B,879.91M,145.35M,1.025B,166.44M,,,,131.25M,,2012-03,26.42M,,41.22M,,67.64M,252.12M,319.77M,,324.84M,324.84M,11.96M,336.80M,,,,61.52M,718.08M,,2.343B,402.91M,,,,,69.07M,3.755B,,2012-03,0.048M,-220.57M,2.490B,99.03M,,-110.37M,2.060B,,2012-03,AOR,Restated
2011-12,74.10M,278.82M,635.72M,914.54M,139.06M,2.999M,166.37M,19.44M,88.28M,42.74M,4.381M,1.236B,0.00,91.31M,509.36M,2.359B,305.17M,330.78M,958.39M,4.554B,-1.328B,3.226B,866.50M,148.64M,1.015B,161.80M,,,58.30M,5.045M,,2011-12,23.27M,,43.54M,,66.81M,191.70M,258.50M,0.344M,333.76M,333.76M,11.54M,345.30M,52.29M,54.26M,0.394M,0.518M,725.25M,56.24M,2.364B,390.27M,33.96M,200.33M,5.255M,,,3.833B,,2011-12,0.048M,-255.10M,2.438B,86.67M,,-143.70M,1.952B,,2011-12,AOR,Restated
2011-09,,370.52M,700.25M,1.071B,144.18M,,144.18M,,,,115.34M,1.330B,0.00,92.09M,525.77M,2.594B,,199.56M,947.32M,4.358B,-1.236B,3.122B,867.28M,153.50M,1.021B,99.42M,,,,158.09M,,2011-09,21.52M,,34.59M,,56.12M,161.97M,218.08M,,317.83M,317.83M,11.37M,329.20M,,,,55.69M,656.16M,,2.354B,376.85M,,,,,66.37M,3.640B,,2011-09,0.047M,-272.90M,2.418B,,,-120.42M,2.025B,,2011-09,AOR,Restated
2011-06,,297.87M,94.25M,392.12M,140.32M,1.199M,152.84M,15.91M,61.66M,22.09M,4.466M,649.09M,0.00,96.21M,495.04M,2.568B,,125.55M,965.98M,4.251B,-1.166B,3.085B,897.46M,163.77M,1.061B,30.96M,,,52.21M,68.47M,,2011-06,21.20M,,49.58M,1.291M,72.07M,162.52M,234.59M,0.378M,271.59M,271.59M,9.461M,281.05M,52.58M,53.57M,0.993M,1.196M,620.45M,53.74M,1.640B,337.27M,74.51M,170.18M,3.277M,,69.05M,2.836B,,2011-06,0.047M,-293.22M,2.399B,,,-41.68M,2.064B,,2011-06,AOR,Restated
2011-03,,304.47M,150.04M,454.51M,114.21M,3.489M,135.52M,16.12M,60.24M,22.79M,5.812M,694.99M,0.00,93.00M,452.78M,2.322B,,255.95M,854.81M,3.978B,-1.097B,2.881B,789.88M,148.87M,938.75M,2.145M,,,17.65M,107.64M,,2011-03,17.22M,,21.71M,0.328M,39.25M,186.94M,226.20M,0.453M,20.20M,20.20M,8.381M,28.58M,36.90M,37.89M,0.993M,14.21M,343.27M,48.93M,1.799B,296.91M,71.26M,166.40M,3.76M,,,2.665B,,2011-03,0.047M,-323.95M,2.373B,,,-61.36M,1.987B,,2011-03,AOR,Restated
2010-12,,442.84M,147.19M,590.03M,116.36M,,116.36M,,,38.70M,32.96M,778.05M,0.00,89.31M,339.64M,1.916B,307.93M,128.54M,884.65M,3.666B,-1.016B,2.651B,774.36M,150.94M,925.31M,2.806M,,,16.96M,73.94M,,2010-12,,,,,145.85M,91.67M,237.52M,,19.98M,19.98M,7.988M,27.97M,,,,52.63M,318.12M,,1.767B,253.94M,,103.72M,,,,2.567B,,2010-12,0.046M,-349.10M,2.342B,,,-112.02M,1.881B,,2010-12,AOR,Restated
2010-09,,389.15M,322.98M,712.13M,115.62M,1.397M,120.52M,17.80M,,38.79M,2.576M,891.81M,0.00,329.10M,318.38M,1.762B,,190.45M,936.44M,3.536B,-953.03M,2.583B,778.26M,155.60M,933.86M,3.223M,,,2.408M,63.64M,,2010-09,11.65M,,20.73M,,32.38M,202.74M,235.12M,,22.48M,22.48M,7.624M,30.10M,33.00M,33.82M,0.814M,11.99M,311.02M,,1.840B,261.93M,66.42M,157.54M,3.954M,,,2.627B,,2010-09,0.046M,-362.86M,2.320B,,,-103.32M,1.854B,,2010-09,AOR,Restated
2010-06,,511.34M,206.11M,717.45M,106.26M,3.199M,115.58M,11.23M,,42.40M,1.561M,888.24M,0.00,317.43M,263.59M,1.582B,,236.78M,875.05M,3.275B,-874.19M,2.401B,760.09M,157.34M,917.43M,4.497M,,,1.051M,67.06M,,2010-06,18.37M,,19.03M,,37.40M,190.37M,227.76M,,21.97M,21.97M,7.995M,29.96M,30.42M,31.23M,0.814M,10.61M,299.57M,,1.822B,207.30M,61.64M,150.47M,3.688M,,,2.532B,,2010-06,0.046M,-374.06M,2.289B,,,-164.61M,1.750B,,2010-06,AOR,Restated
2010-03,,1.039B,140.61M,1.180B,69.72M,2.741M,78.69M,11.75M,,41.84M,1.459M,1.314B,0.00,278.42M,274.46M,1.255B,,315.53M,571.40M,2.695B,-820.44M,1.874B,359.32M,46.66M,405.98M,5.225M,,,1.589M,63.87M,,2010-03,23.07M,,16.84M,,39.91M,174.00M,213.91M,,56.22M,56.22M,6.49M,62.72M,29.36M,30.18M,0.814M,9.301M,316.11M,,1.897B,152.17M,56.90M,81.32M,7.949M,,,2.480B,,2010-03,0.04M,-371.78M,1.692B,,,-132.50M,1.187B,,2010-03,AOR,Restated
2009-12,,346.06M,248.51M,594.56M,64.77M,,64.77M,,,46.82M,21.73M,727.89M,0.00,84.68M,277.25M,1.197B,231.44M,243.13M,552.55M,2.586B,-778.22M,1.808B,381.05M,51.02M,432.06M,9.803M,,,5.171M,55.11M,,2009-12,,,,,99.05M,109.88M,208.93M,,58.91M,58.91M,6.452M,65.36M,,,,41.17M,315.46M,,1.265B,154.58M,,25.94M,,,,1.856B,,2009-12,0.039M,-385.98M,1.666B,,,-97.24M,1.182B,,2009-12,AOR,Restated
2009-09,,283.15M,326.23M,609.38M,67.59M,2.177M,74.75M,13.08M,,15.16M,1.723M,714.09M,0.00,316.77M,277.91M,1.163B,,147.47M,536.67M,2.442B,-739.26M,1.703B,377.56M,52.06M,429.62M,18.06M,,,43.94M,50.49M,,2009-09,18.22M,,16.89M,1.93M,37.04M,135.74M,172.78M,,53.10M,53.10M,6.347M,59.45M,32.06M,39.40M,7.342M,8.528M,280.16M,,1.283B,154.18M,54.96M,72.58M,14.17M,,,1.828B,,2009-09,0.039M,-403.70M,1.637B,,,-98.89M,1.134B,,2009-09,AOR,Restated
