,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2004-09,87.51M,,,,,,126.12M,0.179M,126.30M,126.30M,2.006M,,,,-45.11M,-1.207M,30.68M,-5.955M,48.44M,-29.48M,42.48M,213.19M,-294.80M,152.15M,-142.65M,0.0,26.38M,-3.116M,-2.467M,-121.85M,1.428B,-1.077B,350.90M,19.41M,0.00,19.41M,,,,-145.62M,-13.65M,-159.27M,,-380.63M,-169.60M,143.25M,-78.26M,64.99M,19.41M,2.466B,-2.115B,0.00,,
2004-06,122.21M,,,,,,124.58M,0.467M,125.04M,125.04M,1.611M,,,,-62.16M,0.585M,-3.164M,0.539M,-0.233M,2.579M,0.306M,187.00M,-301.17M,215.09M,-86.08M,0.0,-68.97M,5.585M,114.74M,-34.72M,335.31M,657.00M,992.31M,6.235M,0.00,6.235M,,,,-146.75M,-8.527M,-155.28M,,-923.83M,-80.56M,71.53M,71.72M,143.25M,6.235M,1.435B,-443.07M,0.00,,
2004-03,111.98M,,,,,,117.18M,0.123M,117.31M,117.31M,1.374M,,,,-49.16M,-1.534M,15.05M,-9.936M,6.432M,-13.51M,-3.504M,178.00M,-231.82M,291.53M,59.71M,,23.42M,-401.39M,-40.84M,-359.11M,-70.82M,410.00M,339.18M,24.46M,-0.024M,24.44M,,,,-137.92M,-18.83M,-156.75M,,-3.814M,203.06M,49.58M,21.95M,71.53M,24.46M,1.114B,-775.27M,-0.024M,,
2003-12,-393.61M,,,,,,-354.90M,-0.556M,-355.45M,-355.45M,-3.816M,,,,163.37M,-1.58M,-33.81M,19.95M,-28.31M,35.39M,-8.361M,146.45M,462.43M,-750.43M,-288.00M,,308.69M,-1.07M,164.08M,183.70M,-106.26M,140.00M,33.74M,-56.23M,5.273M,-50.96M,-150.00M,100.00M,-50.00M,400.28M,55.01M,455.29M,,-1.041B,-653.16M,372.59M,-342.71M,,-206.23M,-791.50M,825.24M,105.27M,,
2003-09,121.87M,,,,,,117.51M,0.556M,118.06M,118.06M,1.157M,,,,-47.04M,1.068M,25.15M,1.852M,31.62M,-26.22M,33.47M,227.52M,-125.46M,277.25M,151.79M,,-323.25M,-7.702M,355.82M,176.66M,-22.47M,172.00M,149.53M,38.36M,-0.174M,38.18M,0.00,0.00,0.00,-400.28M,-55.01M,-150.35M,,-312.80M,-275.44M,243.84M,128.75M,372.59M,38.36M,172.00M,-334.47M,-0.174M,,
2003-06,136.39M,,,,,,118.47M,,118.47M,118.47M,1.49M,,,,-58.38M,-1.004M,4.957M,-21.80M,-3.305M,-0.28M,-21.44M,176.54M,-218.28M,282.28M,64.00M,,8.516M,5.909M,-156.31M,-77.88M,-208.50M,-172.00M,-380.50M,11.00M,-5.028M,5.969M,150.00M,-100.00M,50.00M,,,-152.32M,,311.72M,-165.13M,310.31M,-66.47M,243.84M,161.00M,0.00,-68.50M,-105.03M,,
2003-03,135.35M,,,,,,118.92M,,118.92M,118.92M,1.169M,,,,-57.96M,1.516M,3.701M,,,-8.89M,-3.673M,193.80M,-118.70M,190.91M,72.21M,,6.041M,2.863M,-29.56M,51.55M,337.23M,-140.00M,197.23M,6.876M,-0.071M,6.805M,,,,,,-152.62M,,-16.34M,35.08M,29.88M,280.43M,310.31M,6.876M,619.50M,-422.27M,-0.071M,,
2002-12,118.48M,,,,,,,,121.46M,121.46M,,,,,6.096M,4.373M,-38.62M,4.373M,-38.62M,,-68.49M,177.55M,-183.47M,,-183.47M,,-39.46M,,273.91M,50.98M,-122.64M,160.00M,37.36M,2.022M,-114.83M,-112.81M,,,,,,-154.29M,,9.334M,-220.41M,21.76M,8.119M,29.88M,2.022M,848.07M,-970.71M,-114.83M,,
2002-09,88.66M,,,,,,,,119.50M,119.50M,,,,,-37.34M,3.705M,36.67M,3.705M,36.67M,,80.75M,251.57M,-347.95M,,-347.95M,,-0.197M,,268.80M,-79.35M,75.15M,-160.00M,-84.85M,3.583M,-0.17M,3.413M,,,,,,-157.31M,,-0.656M,-239.40M,88.94M,-67.19M,21.76M,3.583M,-234.64M,309.79M,-0.17M,,
2002-06,113.30M,,,,,,,,119.50M,119.50M,,,,,13.21M,-17.84M,-6.423M,-17.84M,-6.423M,,-48.54M,197.47M,55.25M,,55.25M,,25.64M,,-86.36M,-5.479M,-207.69M,,-207.69M,19.37M,,19.37M,,,,,,-153.93M,,-8.849M,-351.10M,249.76M,-159.10M,88.94M,19.37M,73.44M,-281.13M,,,
