,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDiluted,,SharesData(Quarterly),DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2017-09,627.42M,627.42M,185.68M,441.73M,91.05M,157.98M,0.51M,,11.03M,13.83M,2.803M,,249.55M,192.19M,13.83M,11.03M,2.803M,-0.972M,2.803M,194.02M,20.27M,173.75M,,173.75M,173.75M,205.05M,,2017-09,0.70,,0.70,,2017-09,0.67,,0.67,,2017-09,0.35,,2017-09,AOR,Restated
2017-06,602.81M,602.81M,190.82M,411.99M,89.18M,153.05M,0.705M,,12.08M,13.41M,1.333M,,242.93M,169.06M,13.41M,12.08M,1.333M,0.506M,1.333M,170.89M,13.65M,157.24M,,157.24M,157.24M,182.98M,,2017-06,0.63,,0.63,,2017-06,0.59,,0.59,,2017-06,0.35,,2017-06,AOR,Restated
2017-03,616.86M,616.86M,186.23M,430.64M,84.80M,164.26M,1.184M,,12.34M,13.05M,0.71M,,250.24M,180.40M,13.05M,12.34M,0.71M,-2.894M,0.71M,178.22M,19.17M,159.05M,,159.05M,159.05M,190.56M,,2017-03,0.62,,0.62,,2017-03,0.57,,0.57,,2017-03,0.33,,2017-03,AOR,Restated
2016-12,585.69M,585.69M,178.23M,407.46M,83.78M,159.25M,1.455M,,13.87M,14.50M,0.632M,,244.48M,162.97M,14.50M,13.87M,0.632M,-1.024M,0.632M,162.58M,20.73M,141.85M,,141.85M,141.85M,176.45M,,2016-12,0.57,,0.57,,2016-12,0.52,,0.52,,2016-12,0.33,,2016-12,AOR,Restated
2016-09,579.21M,579.21M,175.88M,403.33M,83.46M,141.81M,1.244M,,13.87M,12.10M,-1.772M,,226.52M,176.81M,12.10M,13.87M,-1.772M,0.621M,-1.772M,175.66M,11.47M,164.19M,,164.19M,164.19M,189.53M,,2016-09,0.65,,0.65,,2016-09,0.61,,0.61,,2016-09,0.33,,2016-09,AOR,Restated
2016-06,574.98M,574.98M,168.30M,406.68M,83.11M,136.12M,1.244M,,13.87M,11.47M,-2.402M,,220.48M,186.20M,11.47M,13.87M,-2.402M,-2.185M,-2.402M,181.62M,18.57M,163.05M,,163.05M,163.05M,195.49M,,2016-06,0.64,,0.64,,2016-06,0.61,,0.61,,2016-06,0.33,,2016-06,AOR,Restated
2016-03,571.07M,571.07M,175.80M,395.27M,80.28M,135.64M,1.244M,,13.86M,11.44M,-2.424M,,217.17M,178.10M,11.44M,13.86M,-2.424M,-5.839M,-2.424M,169.84M,24.80M,145.03M,,145.03M,145.03M,183.70M,,2016-03,0.57,,0.57,,2016-03,0.54,,0.54,,2016-03,0.31,,2016-03,AOR,Restated
2015-12,566.24M,566.24M,178.51M,387.72M,84.47M,141.38M,1.769M,,13.87M,12.64M,-1.226M,,227.62M,160.10M,12.64M,13.87M,-1.226M,-3.827M,-1.226M,155.05M,24.23M,130.82M,,130.82M,130.82M,168.92M,,2015-12,0.51,,0.51,,2015-12,0.49,,0.49,,2015-12,0.31,,2015-12,AOR,Restated
2015-09,527.57M,527.57M,157.64M,369.93M,84.76M,130.22M,1.769M,,13.86M,8.124M,-5.738M,,216.75M,153.18M,8.124M,13.86M,-5.738M,-3.475M,-5.738M,143.97M,16.67M,127.30M,,127.30M,127.30M,157.83M,,2015-09,0.49,,0.49,,2015-09,0.48,,0.48,,2015-09,0.31,,2015-09,AOR,Restated
2015-06,549.01M,549.01M,159.95M,389.05M,82.14M,126.65M,1.769M,,13.86M,7.975M,-5.887M,,210.56M,178.49M,7.975M,13.86M,-5.887M,-4.64M,-5.887M,167.97M,20.25M,147.72M,,147.72M,147.72M,181.83M,,2015-06,0.57,,0.57,,2015-06,0.55,,0.55,,2015-06,0.31,,2015-06,AOR,Restated
2015-03,566.90M,566.90M,170.38M,396.52M,79.20M,131.94M,2.37M,,13.86M,7.608M,-6.256M,,213.51M,183.01M,7.608M,13.86M,-6.256M,-17.28M,-6.256M,159.48M,24.86M,134.62M,,134.62M,134.62M,173.34M,,2015-03,0.52,,0.52,,2015-03,0.50,,0.50,,2015-03,0.29,,2015-03,AOR,Restated
2014-12,593.55M,593.55M,179.64M,413.91M,88.08M,133.46M,2.371M,,13.86M,11.38M,-2.484M,,223.90M,190.01M,11.38M,13.86M,-2.484M,-1.523M,-2.484M,186.00M,17.54M,168.47M,,168.47M,168.47M,199.86M,,2014-12,0.64,,0.64,,2014-12,0.62,,0.62,,2014-12,0.29,,2014-12,AOR,Restated
2014-09,604.26M,604.26M,169.62M,434.64M,93.88M,138.34M,2.378M,,13.84M,8.392M,-5.453M,,234.60M,200.05M,8.392M,13.84M,-5.453M,-0.278M,-5.453M,194.32M,22.80M,171.52M,,171.52M,171.52M,208.16M,,2014-09,0.64,,0.64,,2014-09,0.62,,0.62,,2014-09,0.29,,2014-09,AOR,Restated
2014-06,612.63M,612.63M,189.19M,423.44M,92.51M,122.01M,2.418M,,13.86M,8.501M,-5.364M,,216.94M,206.50M,8.501M,13.86M,-5.364M,-0.858M,-5.364M,200.28M,26.67M,173.61M,,173.61M,173.61M,214.14M,,2014-06,0.65,,0.65,,2014-06,0.62,,0.62,,2014-06,0.29,,2014-06,AOR,Restated
2014-03,617.82M,617.82M,199.94M,417.88M,98.09M,127.81M,2.462M,-9.848M,13.08M,7.568M,-5.512M,,228.36M,189.52M,7.568M,13.08M,-5.512M,-8.155M,-5.512M,175.85M,19.82M,156.03M,,156.03M,164.76M,188.93M,,2014-03,0.58,,0.58,,2014-03,0.53,,0.53,,2014-03,0.25,,2014-03,AOR,Restated
2013-12,586.82M,586.82M,180.79M,406.02M,91.79M,128.09M,2.589M,19.19M,14.05M,9.545M,-4.505M,,222.48M,183.55M,9.545M,14.05M,-4.505M,18.89M,-4.505M,197.93M,22.06M,175.88M,,175.88M,158.80M,211.98M,,2013-12,0.66,,0.66,,2013-12,0.61,,0.61,,2013-12,0.25,,2013-12,AOR,Restated
2013-09,598.94M,598.94M,182.82M,416.12M,96.34M,125.00M,2.418M,-28.60M,13.05M,5.363M,-7.684M,,223.76M,192.36M,5.363M,13.05M,-7.684M,-31.91M,-7.684M,152.76M,11.30M,141.46M,,141.46M,168.06M,165.81M,,2013-09,0.53,,0.53,,2013-09,0.49,,0.49,,2013-09,0.25,,2013-09,AOR,Restated
2013-06,578.96M,578.96M,179.70M,399.26M,92.39M,111.54M,2.418M,,13.86M,5.603M,-8.256M,,206.35M,192.91M,5.603M,13.86M,-8.256M,-1.674M,-8.256M,182.98M,25.96M,157.02M,,157.02M,157.02M,196.84M,,2013-06,0.59,,0.59,,2013-06,0.56,,0.56,,2013-06,0.25,,2013-06,AOR,Restated
2013-03,532.17M,532.17M,180.59M,351.58M,90.73M,111.13M,2.487M,0.00,13.53M,6.391M,-7.135M,,204.35M,147.23M,6.391M,13.53M,-7.135M,-1.767M,-7.135M,138.32M,7.705M,130.62M,,130.62M,130.62M,151.85M,,2013-03,0.50,,0.50,,2013-03,0.47,,0.47,,2013-03,0.22,,2013-03,AOR,Restated
2012-12,509.77M,509.77M,170.49M,339.27M,86.82M,129.06M,2.554M,0.00,13.52M,7.12M,-6.397M,,218.43M,120.84M,7.12M,13.52M,-6.397M,1.248M,-6.397M,115.69M,12.04M,103.65M,,103.65M,103.65M,129.21M,,2012-12,0.40,,0.40,,2012-12,0.38,,0.38,,2012-12,0.22,,2012-12,AOR,Restated
2012-09,543.93M,543.93M,187.71M,356.22M,91.93M,113.89M,2.319M,0.00,13.72M,6.271M,-7.446M,,208.13M,148.09M,6.271M,13.72M,-7.446M,-2.557M,-7.446M,138.08M,14.65M,123.44M,,123.44M,123.44M,151.80M,,2012-09,0.47,,0.47,,2012-09,0.46,,0.46,,2012-09,0.22,,2012-09,AOR,Restated
2012-06,582.78M,582.78M,198.41M,384.37M,96.20M,121.45M,2.148M,,13.70M,5.792M,-7.903M,,219.80M,164.58M,5.792M,13.70M,-7.903M,-1.769M,-7.903M,154.90M,25.07M,129.83M,,129.83M,129.83M,168.60M,,2012-06,0.49,,0.49,,2012-06,0.47,,0.47,,2012-06,0.22,,2012-06,AOR,Restated
2012-03,558.97M,558.97M,187.58M,371.40M,91.26M,115.24M,1.981M,-15.40M,13.67M,6.269M,-7.405M,,208.48M,162.91M,6.269M,13.67M,-7.405M,-15.12M,-7.405M,140.39M,17.98M,122.40M,,122.40M,135.83M,154.06M,,2012-03,0.47,,0.47,,2012-03,0.45,,0.45,,2012-03,0.19,,2012-03,AOR,Restated
2011-12,511.09M,511.09M,174.80M,336.29M,88.93M,108.24M,1.982M,0.00,13.65M,5.886M,-7.768M,,199.16M,137.12M,5.886M,13.65M,-7.768M,0.581M,-7.768M,129.94M,2.924M,127.01M,,127.01M,127.01M,143.59M,,2011-12,0.49,,0.49,,2011-12,0.47,,0.47,,2011-12,0.19,,2011-12,AOR,Restated
2011-09,555.21M,555.21M,200.56M,354.64M,88.68M,105.77M,1.982M,-4.533M,13.63M,6.20M,-7.434M,,196.44M,158.21M,6.20M,13.63M,-7.434M,-4.533M,-7.434M,146.24M,19.96M,126.29M,,126.29M,130.18M,159.88M,,2011-09,0.48,0.00,0.48,,2011-09,0.47,0.00,0.47,,2011-09,0.19,,2011-09,AOR,Restated
2011-06,615.46M,615.46M,223.13M,392.33M,96.40M,106.02M,1.623M,0.461M,13.61M,5.342M,-8.272M,,204.04M,188.30M,5.342M,13.61M,-8.272M,0.461M,-8.272M,180.48M,26.11M,154.37M,,154.37M,153.98M,194.10M,,2011-06,0.58,0.00,0.58,,2011-06,0.56,0.00,0.56,,2011-06,0.19,,2011-06,AOR,Restated
2011-03,587.85M,587.85M,203.70M,384.15M,92.86M,102.97M,1.034M,-11.66M,13.59M,4.815M,-8.779M,,196.86M,187.28M,4.815M,13.59M,-8.779M,-9.694M,-8.779M,168.81M,8.76M,160.05M,,160.05M,171.11M,182.41M,,2011-03,0.61,,0.61,,2011-03,0.60,,0.60,,2011-03,0.16,,2011-03,AOR,Restated
2010-12,567.19M,567.19M,194.42M,372.77M,86.53M,98.45M,0.00,1.213M,13.34M,4.55M,-8.791M,,184.98M,187.79M,4.55M,13.34M,-8.791M,1.213M,-8.791M,180.21M,27.87M,152.34M,,152.34M,151.32M,193.55M,,2010-12,0.59,0.00,0.59,,2010-12,0.58,0.00,0.58,,2010-12,0.16,,2010-12,AOR,Restated
2010-09,619.67M,619.67M,213.26M,406.41M,87.17M,96.58M,0.00,1.98M,10.01M,4.542M,-5.464M,,183.75M,222.65M,4.542M,10.01M,-5.464M,1.98M,-5.464M,219.17M,48.28M,170.90M,,170.90M,169.35M,229.18M,,2010-09,0.66,0.00,0.66,,2010-09,0.65,0.00,0.65,,2010-09,0.16,,2010-09,AOR,Restated
2010-06,594.74M,594.74M,208.18M,386.56M,84.06M,94.48M,0.00,-5.13M,7.773M,4.519M,-3.254M,,178.54M,208.02M,4.519M,7.773M,-3.254M,-5.13M,-3.254M,202.89M,44.30M,158.59M,,158.59M,162.60M,210.66M,,2010-06,0.58,0.00,0.58,,2010-06,0.58,0.00,0.58,,2010-06,0.16,,2010-06,AOR,Restated
2010-03,529.02M,529.02M,185.48M,343.54M,90.35M,94.24M,0.00,4.762M,6.457M,4.739M,-1.718M,,184.59M,158.95M,4.739M,6.457M,-1.718M,4.762M,-1.718M,161.99M,13.46M,148.53M,,148.53M,144.17M,168.45M,,2010-03,0.54,0.00,0.54,,2010-03,0.54,0.00,0.54,,2010-03,0.16,,2010-03,AOR,Restated
2009-12,513.35M,513.35M,184.32M,329.03M,85.04M,101.87M,0.00,-7.127M,6.44M,4.453M,-1.987M,,186.90M,142.12M,4.453M,6.44M,-1.987M,-7.127M,-1.987M,133.01M,26.10M,106.91M,,106.91M,112.64M,139.45M,,2009-12,0.39,0.00,0.39,,2009-12,0.38,0.00,0.38,,2009-12,0.16,,2009-12,AOR,Restated
2009-09,414.95M,414.95M,158.18M,256.77M,78.62M,90.14M,0.00,-5.613M,6.363M,4.279M,-2.084M,,168.77M,88.01M,4.279M,6.363M,-2.084M,-5.613M,-2.084M,80.31M,16.27M,64.04M,,64.04M,68.51M,86.67M,,2009-09,0.23,0.00,0.23,,2009-09,0.23,0.00,0.23,,2009-09,0.14,,2009-09,AOR,Restated
2009-06,376.24M,376.24M,143.82M,232.41M,73.56M,83.23M,2.493M,-25.26M,6.729M,5.311M,-1.418M,,159.28M,73.13M,5.311M,6.729M,-1.418M,-25.26M,-1.418M,46.45M,8.444M,38.01M,,38.01M,58.68M,53.18M,,2009-06,0.14,0.00,0.14,,2009-06,0.14,0.00,0.14,,2009-06,0.14,,2009-06,AOR,Restated
2009-03,395.01M,395.01M,149.91M,245.11M,77.65M,88.19M,1.006M,12.87M,6.565M,7.103M,0.538M,,166.85M,78.26M,7.103M,6.565M,0.538M,12.87M,0.538M,91.66M,13.63M,78.04M,,78.04M,67.08M,98.23M,,2009-03,0.28,0.00,0.28,,2009-03,0.28,0.00,0.28,,2009-03,0.14,,2009-03,AOR,Restated
2008-12,458.39M,458.39M,165.33M,293.06M,85.03M,86.97M,1.475M,33.12M,8.492M,12.38M,3.886M,,173.47M,119.58M,12.38M,8.492M,3.886M,33.12M,3.886M,156.59M,37.14M,119.44M,,119.44M,94.18M,165.08M,,2008-12,0.44,0.00,0.44,,2008-12,0.44,0.00,0.44,,2008-12,0.14,,2008-12,,Restated
2008-09,483.54M,483.54M,177.41M,306.13M,88.08M,89.50M,1.426M,-31.49M,9.251M,16.49M,7.24M,,179.01M,127.12M,16.49M,9.251M,7.24M,-31.49M,7.24M,102.88M,21.82M,81.06M,,81.06M,105.87M,112.13M,,2008-09,0.29,0.00,0.29,,2008-09,0.29,0.00,0.29,,2008-09,0.14,,2008-09,,Restated
2008-06,488.25M,488.25M,176.51M,311.74M,93.00M,90.73M,1.425M,-24.75M,9.227M,14.30M,5.068M,,185.16M,126.58M,14.30M,9.227M,5.068M,-24.75M,5.068M,106.90M,23.72M,83.18M,,83.18M,102.43M,116.12M,,2008-06,0.30,0.00,0.30,,2008-06,0.30,0.00,0.30,,2008-06,0.14,,2008-06,,Restated
2008-03,475.76M,475.76M,173.97M,301.79M,92.47M,90.89M,1.426M,-8.827M,,,,,184.78M,117.00M,,,,-8.827M,,119.48M,23.00M,96.48M,,96.48M,103.61M,198.90M,,2008-03,0.33,0.00,0.33,,2008-03,0.33,0.00,0.33,,2008-03,0.12,,2008-03,,Restated
2007-12,474.81M,474.81M,174.41M,300.39M,92.45M,91.01M,1.582M,-1.908M,,,,,185.05M,115.35M,,,,-1.908M,,129.73M,26.14M,103.59M,,103.59M,105.12M,115.35M,,2007-12,0.36,0.00,0.36,,2007-12,0.35,0.00,0.35,,2007-12,0.12,,2007-12,,
2007-09,444.89M,444.89M,170.12M,274.77M,90.20M,88.29M,1.897M,2.009M,,,,,180.40M,94.38M,,,,2.009M,,113.88M,24.18M,89.70M,,89.70M,88.12M,94.38M,,2007-09,0.30,0.00,0.30,,2007-09,0.30,0.00,0.30,,2007-09,0.12,,2007-09,,
2007-06,445.91M,445.91M,168.48M,277.43M,90.20M,87.87M,1.897M,-3.395M,,,,,179.97M,97.47M,,,,-3.395M,,111.00M,26.72M,84.28M,,84.28M,86.86M,97.47M,,2007-06,0.28,0.00,0.28,,2007-06,0.28,0.00,0.28,,2007-06,0.12,,2007-06,,
2007-03,443.47M,443.47M,168.04M,275.43M,95.66M,98.48M,1.94M,0.00,,,,0.00,196.07M,79.36M,,,,0.00,,101.27M,13.65M,87.63M,,87.63M,87.63M,79.36M,,2007-03,0.27,0.00,0.27,,2007-03,0.26,0.00,0.26,,2007-03,0.09,,2007-03,,
2006-12,450.72M,450.72M,177.96M,272.76M,89.97M,96.09M,2.007M,-4.013M,,,,2.50M,190.57M,82.19M,,,,-4.013M,,103.12M,15.61M,87.51M,,87.51M,90.91M,82.19M,,2006-12,0.26,0.00,0.26,,2006-12,0.26,0.00,0.26,,2006-12,0.09,,2006-12,,
2006-09,467.18M,467.18M,180.58M,286.60M,95.46M,95.95M,2.031M,,,,,,193.44M,93.16M,,,,,,119.29M,26.24M,93.05M,,93.05M,93.05M,93.16M,,2006-09,0.27,0.00,0.27,,2006-09,0.27,0.00,0.27,,2006-09,0.09,,2006-09,,
2006-06,481.36M,481.36M,192.06M,289.30M,96.63M,97.58M,2.031M,-2.15M,,,,,196.24M,93.06M,,,,-2.15M,,107.47M,24.98M,82.49M,,82.49M,84.14M,93.06M,,2006-06,0.24,0.00,0.24,,2006-06,0.24,0.00,0.24,,2006-06,0.09,,2006-06,,
2006-03,472.34M,472.34M,178.19M,294.14M,81.89M,86.40M,1.929M,-5.918M,,,,0.00,170.21M,123.93M,,,,-5.918M,,127.78M,17.03M,110.74M,,110.74M,115.87M,123.93M,,2006-03,0.31,0.00,0.31,,2006-03,0.31,0.00,0.31,,2006-03,0.07,,2006-03,,
2005-12,449.60M,449.60M,166.48M,283.13M,80.68M,81.07M,1.536M,,,,,,163.29M,119.84M,,,,,,130.78M,49.81M,80.97M,,80.97M,80.97M,119.84M,,2005-12,0.23,0.00,0.23,,2005-12,0.23,0.00,0.23,,2005-12,0.07,,2005-12,,
2005-09,398.93M,398.93M,153.97M,244.96M,77.74M,79.95M,1.755M,-3.165M,,,,3.165M,162.62M,82.34M,,,,-3.165M,,98.25M,12.66M,85.60M,,85.60M,88.36M,82.34M,,2005-09,0.25,0.00,0.25,,2005-09,0.24,0.00,0.24,,2005-09,0.07,,2005-09,,
2005-06,405.38M,405.38M,158.48M,246.90M,75.99M,78.70M,1.756M,,,,,,156.45M,90.45M,,,,,,99.79M,22.95M,76.84M,,76.84M,76.84M,90.45M,,2005-06,0.22,0.00,0.22,,2005-06,0.21,0.00,0.21,,2005-06,0.07,,2005-06,,
2005-03,390.98M,390.98M,152.00M,238.98M,74.06M,80.03M,1.75M,0.00,,,,0.00,155.85M,83.13M,,,,0.00,,92.76M,25.55M,67.20M,,67.20M,67.20M,83.13M,,2005-03,0.19,0.00,0.19,,2005-03,0.19,0.00,0.19,,2005-03,0.05,,2005-03,,
2004-12,355.40M,355.40M,135.10M,220.30M,71.86M,77.36M,1.759M,-3.099M,,,,,150.97M,69.33M,,,,-3.099M,,75.04M,10.98M,64.06M,,64.06M,66.70M,69.33M,,2004-12,0.18,0.00,0.18,,2004-12,0.18,0.00,0.18,,2004-12,0.05,,2004-12,,
2004-09,403.28M,403.28M,145.02M,258.25M,77.09M,78.14M,1.757M,,,,,,156.98M,101.28M,,,,,,108.60M,22.39M,86.21M,,86.21M,86.21M,101.28M,,2004-09,0.25,0.00,0.25,,2004-09,0.24,0.00,0.24,,2004-09,0.05,,2004-09,,
2004-06,423.58M,423.58M,144.16M,279.42M,80.59M,71.92M,,-7.198M,,,,,153.92M,125.50M,,,,-7.198M,,124.15M,28.90M,95.25M,,95.25M,100.77M,125.50M,,2004-06,0.27,0.00,0.27,,2004-06,0.26,0.00,0.26,,2004-06,0.05,,2004-06,,
2004-03,403.38M,403.38M,142.30M,261.08M,74.82M,62.60M,0.942M,-6.969M,,,,0.00,138.36M,122.72M,,,,-6.969M,,121.08M,-9.812M,130.89M,,130.89M,135.07M,122.72M,,2004-03,0.38,0.00,0.38,,2004-03,0.36,0.00,0.36,,2004-03,,,2004-03,,
2003-12,365.63M,365.63M,139.67M,225.96M,68.99M,66.18M,1.713M,-3.376M,,,,3.376M,140.26M,85.69M,,,,-3.376M,,92.60M,23.15M,69.45M,,69.45M,71.98M,85.69M,,2003-12,0.20,0.00,0.20,,2003-12,0.19,0.00,0.19,,2003-12,,,2003-12,,
2003-09,315.55M,315.55M,122.90M,192.65M,60.83M,59.29M,3.535M,,,,,,123.65M,69.00M,,,,,,75.21M,18.80M,56.41M,,56.41M,56.41M,69.00M,,2003-09,0.17,0.00,0.17,,2003-09,0.16,0.00,0.16,,2003-09,,,2003-09,,
2003-06,313.29M,313.29M,125.10M,188.19M,62.01M,59.54M,3.535M,-6.40M,,,,6.40M,131.49M,56.70M,,,,-6.40M,,61.66M,15.41M,46.24M,,46.24M,51.04M,56.70M,,2003-06,0.14,0.00,0.14,,2003-06,0.13,0.00,0.13,,2003-06,,,2003-06,,
2003-03,305.51M,305.51M,122.35M,183.16M,61.65M,57.00M,3.539M,-2.171M,,,,0.00,122.19M,60.97M,,,,-2.171M,,66.77M,17.36M,49.41M,,49.41M,51.02M,60.97M,,2003-03,0.14,0.00,0.14,,2003-03,0.14,0.00,0.14,,2003-03,,,2003-03,,
2002-12,282.74M,282.74M,117.12M,165.62M,56.22M,53.09M,3.597M,-62.94M,,,,54.69M,167.60M,-1.981M,,,,-62.94M,,-4.635M,-1.205M,-3.43M,,-3.43M,43.15M,-1.981M,,2002-12,-0.01,0.00,-0.01,,2002-12,-0.01,0.00,-0.01,,2002-12,,,2002-12,,
2002-09,277.87M,277.87M,113.74M,164.13M,58.58M,55.27M,3.722M,,,,,-10.00M,107.58M,56.55M,,,,,,52.32M,13.60M,38.72M,,38.72M,38.72M,56.55M,,2002-09,0.11,0.00,0.11,,2002-09,0.11,0.00,0.11,,2002-09,,,2002-09,,
2002-06,289.85M,289.85M,120.34M,169.52M,58.90M,56.78M,3.722M,,,,,,119.40M,50.12M,,,,,,55.41M,14.41M,41.01M,,41.01M,41.01M,50.12M,,2002-06,0.12,0.00,0.12,,2002-06,0.12,0.00,0.12,,2002-06,,,2002-06,,
2002-03,273.50M,273.50M,115.32M,158.18M,55.68M,52.21M,10.75M,0.00,,,,0.00,118.64M,39.54M,,,,0.00,,45.04M,10.76M,34.28M,,34.28M,34.28M,39.54M,,2002-03,0.10,0.00,0.10,,2002-03,0.10,0.00,0.10,,2002-03,,,2002-03,,
