,NetIncome,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,InterestPaidSupplementalData
2016-12,261.09M,0.00,,39.32M,-33.52M,5.799M,,233.20M,233.20M,1.007M,,10.62M,-12.57M,-5.064M,4.70M,20.31M,0.72M,,,-8.645M,12.02M,515.74M,-180.53M,0.00,-180.53M,-0.544M,-40.32M,14.07M,-207.33M,-247.31M,,-247.31M,,-0.001M,-0.001M,-102.93M,-102.93M,0.476M,-3.378M,-353.14M,178.43M,-44.74M,-1.089M,132.60M,,1.30B,-1.547B,-0.001M,116.44M
2016-09,693.26M,,,2.374M,-46.54M,-44.17M,,229.33M,229.33M,1.253M,,8.711M,61.56M,-24.11M,-7.773M,45.93M,-11.18M,,,-270.26M,-267.39M,730.04M,-266.64M,0.00,-266.64M,-8.611M,-11.57M,-18.29M,-305.11M,-341.36M,,-341.36M,,-49.91M,-49.91M,0.00,0.00,0.27M,-12.52M,-403.51M,175.16M,21.42M,-32.68M,178.43M,,738.00M,-1.079B,-49.91M,23.80M
2016-06,229.90M,0.00,,18.43M,-27.27M,-8.832M,,221.62M,221.62M,-0.479M,,7.565M,-6.12M,23.84M,1.12M,-0.284M,12.38M,,,289.22M,326.27M,793.02M,-1.797B,0.00,-1.797B,,-174.41M,-3.941M,-1.976B,1.425B,,1.425B,,-50.01M,-50.01M,-80.67M,-80.67M,0.167M,-47.19M,1.247B,117.36M,64.54M,7.788M,175.16M,,3.782B,-2.357B,-50.01M,97.86M
2016-03,99.14M,0.00,,-14.46M,-21.03M,-35.48M,,210.76M,210.76M,0.827M,,5.765M,5.639M,10.09M,0.274M,-54.44M,56.21M,,,178.32M,190.45M,477.90M,-249.84M,0.00,-249.84M,,13.10M,-0.007M,-236.75M,136.73M,,136.73M,,-200.04M,-200.04M,-162.89M,-162.89M,1.345M,-21.91M,-246.76M,121.56M,-5.612M,1.407M,117.36M,,1.519B,-1.382B,-200.04M,18.67M
2015-12,206.80M,,,9.555M,,-71.47M,,209.33M,209.33M,3.465M,0.00,,32.67M,38.97M,9.574M,28.39M,-25.02M,,,-158.36M,-106.44M,338.43M,-252.70M,,-252.70M,-1.913M,-19.71M,1.057M,-273.27M,205.68M,,205.68M,,-200.00M,-200.00M,-82.49M,-82.49M,4.35M,-10.13M,-82.59M,147.42M,-17.43M,-8.426M,121.56M,,1.437B,-1.231B,-200.00M,96.95M
2015-09,228.79M,,,32.70M,,32.70M,,210.74M,210.74M,-16.00M,411.27M,,-10.75M,-30.14M,9.146M,28.07M,42.66M,,,-340.24M,-290.51M,567.59M,-209.02M,,-209.02M,0.00,-40.37M,-3.747M,-253.14M,-308.50M,,-308.50M,,,,0.00,0.00,1.835M,-15.35M,-322.02M,159.36M,-7.569M,-4.372M,147.42M,,586.50M,-895.00M,,31.57M
2015-06,184.97M,,,-11.18M,,-11.18M,,206.47M,206.47M,3.054M,,,3.223M,36.18M,-14.91M,9.05M,-4.242M,,,197.33M,223.41M,613.92M,-846.97M,,-846.97M,0.00,-73.34M,103.32M,-817.00M,221.08M,,221.08M,,0.00,0.00,-65.97M,-65.97M,0.452M,-24.11M,131.45M,229.70M,-71.63M,1.283M,159.36M,,1.626B,-1.405B,0.00,86.42M
2015-03,45.23M,,,28.08M,,28.08M,,200.47M,200.47M,-0.52M,,,12.60M,18.10M,-2.615M,-67.77M,-15.57M,,,208.42M,140.56M,426.43M,-304.64M,,-304.64M,-54.25M,-45.18M,4.50M,-399.58M,162.69M,,162.69M,,0.00,0.00,-131.74M,-131.74M,4.615M,-15.91M,19.65M,189.24M,46.50M,-6.04M,229.70M,,749.80M,-587.11M,0.00,33.66M
2014-12,109.77M,0.00,,24.40M,,-27.24M,,193.38M,193.38M,-42.18M,0.00,,51.23M,30.26M,12.35M,24.83M,-10.82M,,,-89.33M,-32.70M,284.20M,-1.252B,0.00,-1.252B,-118.85M,-53.29M,-1.046M,-1.426B,1.471B,,1.471B,,,,-67.10M,-67.10M,4.994M,-22.73M,1.150B,183.18M,8.345M,-2.285M,189.24M,,2.236B,-765.79M,,68.62M
2014-09,490.25M,17.40M,,35.08M,,52.48M,,192.45M,192.45M,-1.757M,0.00,,4.69M,53.93M,6.123M,32.20M,32.76M,,,-284.48M,-159.47M,578.64M,-216.55M,220.00M,3.454M,-0.863M,-32.90M,11.34M,-18.97M,-552.68M,,-552.68M,,,,0.00,0.00,10.95M,-15.53M,-557.27M,185.26M,2.396M,-4.477M,183.18M,,71.35M,-624.03M,,34.84M
2014-06,137.67M,,,-8.951M,,-8.951M,,192.88M,192.88M,0.301M,,,11.01M,52.24M,1.673M,-5.234M,-16.77M,,,200.33M,232.23M,565.14M,-164.68M,,-164.68M,-34.62M,13.86M,56.97M,-128.47M,-410.05M,,-410.05M,,,,-55.59M,-55.59M,8.308M,-10.13M,-467.46M,216.51M,-30.79M,-0.455M,185.26M,,286.20M,-696.25M,,79.26M
2014-03,26.46M,,,-1.89M,,-1.89M,,193.74M,193.74M,2.633M,,,5.023M,-36.33M,6.104M,-30.56M,-37.75M,,,188.37M,89.83M,315.79M,-177.79M,,-177.79M,-34.26M,4.236M,10.44M,-197.37M,-78.15M,,-78.15M,,,,-76.26M,-76.26M,46.63M,0.275M,-107.50M,204.69M,10.91M,0.91M,216.51M,,1.56B,-1.638B,,94.20M
2013-12,7.018M,,,10.65M,,10.65M,,190.62M,190.62M,,,,9.922M,81.12M,9.22M,5.706M,-78.23M,,,-94.16M,-76.34M,181.96M,-229.73M,,-229.73M,-10.20M,-8.887M,2.684M,-246.13M,139.48M,,139.48M,,,,-89.47M,-89.47M,16.50M,-5.525M,60.99M,209.57M,-3.182M,-1.698M,204.69M,,930.00M,-790.52M,,86.71M
2013-09,365.70M,0.00,,-16.86M,,-12.65M,,188.54M,188.54M,,,,-4.513M,-6.806M,-18.22M,25.19M,161.17M,,,-141.09M,20.24M,557.32M,-137.97M,0.00,-137.97M,-24.67M,17.39M,11.74M,-133.50M,-395.72M,,-395.72M,,,,-0.061M,-0.061M,6.708M,-30.77M,-419.84M,205.17M,3.973M,0.42M,209.57M,,0.00,-395.72M,,33.48M
2013-06,24.75M,,,16.97M,,16.97M,,186.18M,186.18M,,,,9.775M,18.83M,4.527M,-33.56M,-12.51M,,,216.58M,193.85M,431.53M,-217.70M,,-217.70M,-16.27M,-17.10M,-0.323M,-251.39M,-164.65M,,-164.65M,,,,-26.36M,-26.36M,3.579M,-4.673M,-192.10M,215.89M,-11.96M,1.245M,205.17M,,1.399B,-1.564B,,111.06M
2013-03,76.23M,,,8.523M,,8.523M,,189.36M,189.36M,,,,-9.502M,2.257M,0.152M,-19.99M,-61.52M,,,55.75M,-23.35M,241.26M,-178.38M,,-178.38M,-19.49M,-8.747M,13.10M,-193.51M,13.86M,,13.86M,,,,-27.74M,-27.74M,3.339M,-15.14M,-25.67M,194.86M,22.07M,-1.039M,215.89M,,120.00M,-106.14M,,88.23M
2012-12,-392.80M,,,1.038M,,1.054M,,188.54M,188.54M,,,,-23.36M,-34.46M,-2.068M,37.80M,-2.343M,,,22.74M,21.67M,209.48M,-862.19M,0.00,-862.19M,0.00,-29.94M,12.13M,-880.00M,690.10M,,690.10M,,,,-52.41M,-52.41M,11.44M,-27.28M,621.85M,241.24M,-48.67M,2.286M,194.86M,,1.643B,-953.37M,,98.37M
2012-09,367.78M,,,-6.33M,,1.155M,,182.05M,182.05M,,,,64.09M,-14.17M,2.874M,19.08M,109.75M,,,-143.88M,-26.34M,588.74M,-106.56M,9.811M,-96.75M,0.00,14.41M,12.18M,-70.15M,-462.33M,,-462.33M,,,,0.00,0.00,1.935M,-26.01M,-486.40M,212.21M,32.18M,-3.15M,241.24M,,570.00M,-1.032B,,48.34M
2012-06,-3.653M,,,5.959M,,5.959M,,180.51M,180.51M,,,,24.62M,35.58M,0.69M,-27.88M,4.961M,,,147.51M,160.86M,368.30M,-145.52M,,-145.52M,0.00,-3.381M,-5.829M,-154.73M,-243.78M,,-243.78M,,,,-21.79M,-21.79M,0.211M,-5.12M,-270.47M,277.53M,-56.89M,-8.431M,212.21M,,200.00M,-443.78M,,93.28M
2012-03,46.96M,,,-2.681M,,-2.681M,,179.39M,179.39M,,,,-14.64M,21.07M,-3.141M,-30.61M,-58.50M,,,77.36M,6.181M,215.22M,-177.24M,,-177.24M,0.00,8.027M,10.76M,-158.44M,13.19M,,13.19M,,,,-43.51M,-43.51M,1.557M,-15.84M,-44.60M,262.19M,12.18M,3.17M,277.53M,,145.00M,-131.81M,,101.06M
2011-12,36.56M,,,-7.219M,,-7.219M,,179.93M,179.93M,,,,-3.023M,32.81M,7.067M,55.49M,-40.99M,,,-77.61M,-23.23M,183.02M,-143.52M,0.00,-143.52M,-110.66M,-3.865M,108.72M,-149.33M,-222.63M,,-222.63M,,,,0.00,0.00,0.516M,-3.387M,-225.50M,451.46M,-191.81M,2.535M,262.19M,,170.00M,-392.63M,,91.27M
2011-09,398.96M,,,-11.70M,,13.10M,,177.19M,177.19M,,,,25.80M,-8.741M,-8.174M,11.20M,84.47M,,,-208.98M,-130.22M,505.98M,-778.54M,0.00,-778.54M,69.68M,-5.078M,-107.26M,-821.20M,296.31M,,296.31M,,,,-21.71M,-21.71M,1.024M,-42.32M,233.31M,551.46M,-81.91M,-18.09M,451.46M,,705.93M,-409.61M,,46.19M
2011-06,93.49M,,,,,-0.633M,,172.05M,172.05M,,,,-8.523M,28.16M,-4.658M,-45.73M,-28.77M,,50.39M,225.55M,224.94M,481.32M,-185.26M,0.00,-185.26M,-13.15M,25.25M,1.369M,-171.79M,-215.59M,,-215.59M,,,,,0.00,0.664M,-16.73M,-231.66M,470.26M,77.88M,3.327M,551.46M,,216.94M,-432.53M,,100.66M
2011-03,78.41M,,,,,-24.17M,,173.25M,173.25M,,,,4.013M,35.65M,-12.66M,-38.01M,38.80M,,-50.39M,80.52M,53.91M,285.42M,-66.30M,345.00M,278.70M,-56.53M,0.00,-4.413M,217.75M,-458.77M,,-458.77M,,,,,0.00,17.26M,-11.16M,-452.67M,419.93M,50.50M,-0.173M,470.26M,,485.50M,-944.27M,,122.78M
2010-12,515.65M,,,,,-1.341M,,163.88M,163.88M,,,,-478.80M,55.30M,-14.02M,22.50M,45.77M,,-59.86M,-21.98M,27.72M,227.11M,-1.261B,,-1.261B,,-89.80M,2.653M,-1.349B,1.117B,,1.117B,,,,,0.00,14.36M,-33.10M,1.098B,441.93M,-23.12M,1.123M,419.93M,,1.339B,-222.17M,,86.79M
2010-09,,,,,,-3.181M,,162.23M,162.23M,,,,344.13M,-35.94M,-0.648M,4.481M,42.93M,,73.43M,-162.43M,-78.17M,425.00M,-78.28M,0.00,-78.28M,,5.60M,-3.791M,-76.48M,-209.17M,,-209.17M,,,,,0.00,0.425M,-19.91M,-228.66M,318.82M,119.87M,3.236M,441.93M,,0.00,-209.17M,,51.40M
2010-06,-87.45M,,,,,4.25M,,160.03M,160.03M,,,,314.43M,38.00M,-0.982M,-32.64M,35.90M,,2.35M,164.09M,206.72M,597.98M,-681.14M,0.00,-681.14M,,-7.867M,-5.19M,-694.20M,155.70M,,155.70M,,,,,,2.777M,-20.52M,137.96M,278.10M,41.74M,-1.023M,318.82M,,946.04M,-790.33M,,85.35M
2010-03,87.45M,,,,,3.098M,,157.58M,157.58M,,,,,89.14M,-4.625M,-5.298M,-54.78M,,-15.92M,156.29M,164.80M,412.92M,-166.40M,0.00,-166.40M,,0.746M,-3.076M,-168.73M,-243.56M,,-243.56M,,,,,,8.60M,-15.66M,-250.62M,284.62M,-6.428M,-0.087M,278.10M,,135.03M,-378.60M,,73.94M
2009-12,3.353M,,,,,,,146.41M,146.41M,,,,49.74M,14.40M,1.244M,6.348M,-3.529M,,-16.23M,-20.63M,-18.40M,181.10M,-1.324B,0.00,-1.324B,0.00,4.866M,-16.88M,-1.336B,1.181B,,1.216B,,,,,,0.279M,-60.88M,1.156B,285.86M,0.427M,-1.671M,284.62M,,1.325B,-144.11M,,82.58M
2009-09,230.39M,,,,,,,144.02M,144.02M,,,,,-64.87M,-6.227M,10.76M,68.88M,,55.08M,-117.11M,-53.49M,320.92M,-829.50M,0.00,-829.50M,0.00,56.66M,5.783M,-767.06M,439.94M,,419.58M,,,,,,0.29M,3.106M,422.98M,309.76M,-23.16M,-0.734M,285.86M,,916.65M,-476.71M,,34.02M
2009-06,-35.09M,,,,,,,137.92M,137.92M,,,,-27.24M,-18.11M,-9.271M,-19.70M,20.96M,,-23.45M,202.92M,153.35M,228.95M,-104.25M,290.93M,186.68M,-320.40M,22.64M,0.551M,-110.53M,-251.04M,,-266.50M,,,,,,0.00,1.288M,-265.21M,455.88M,-146.79M,0.661M,309.76M,,75.00M,-326.04M,,100.97M
2009-03,-36.24M,,,,,,,139.86M,139.86M,,,,27.24M,64.95M,2.959M,-0.50M,-51.22M,,,-33.14M,-16.95M,113.91M,-219.34M,,-219.34M,138.72M,26.66M,-6.434M,-60.40M,-0.794M,,-0.794M,,,,,,0.00,-0.567M,-1.361M,402.88M,52.15M,0.855M,455.88M,,0.813M,-1.607M,,70.88M
2008-12,1.479M,,,,,,,133.98M,133.98M,,,,4.716M,44.98M,18.39M,22.05M,-7.161M,,,-191.94M,-113.68M,26.49M,-810.19M,,-810.19M,40.51M,13.48M,-11.29M,-767.49M,844.53M,,844.53M,,,,,0.00,0.161M,-0.051M,844.64M,301.96M,103.63M,-2.719M,402.88M,,1.080B,-235.19M,,95.03M
2008-09,411.89M,,,,,,,134.71M,134.71M,,,,8.602M,-84.98M,1.813M,38.58M,54.22M,,,-281.49M,-271.86M,283.33M,-100.18M,,-100.18M,-20.66M,2.466M,-3.573M,-121.94M,-207.01M,,-207.01M,,,,,-32.03M,0.284M,-4.813M,-243.57M,387.16M,-82.18M,-3.018M,301.96M,,45.58M,-252.59M,,53.72M
2008-06,84.75M,,,,,,,127.28M,127.28M,,,,-15.15M,-12.88M,-20.11M,-30.15M,83.10M,-112.09M,,354.89M,262.75M,459.63M,-1.052B,,-1.052B,-4.771M,99.37M,1.388M,-956.39M,506.43M,,506.43M,,,,,-64.00M,0.584M,0.319M,443.33M,441.13M,-53.43M,-0.537M,387.16M,,753.10M,-246.67M,,84.66M
2008-03,75.61M,,,,,,,124.39M,124.39M,,,,-1.856M,81.03M,-0.227M,-17.59M,-71.64M,112.09M,,,103.66M,301.80M,-260.79M,,-260.79M,-16.00M,154.50M,-9.132M,-131.42M,68.03M,,68.03M,,,,,-32.02M,2.788M,0.176M,38.98M,230.78M,209.37M,0.976M,441.13M,,345.00M,-276.97M,,87.79M
2007-12,70.83M,,,,,,,123.04M,123.04M,,,,-0.392M,23.89M,-7.892M,22.37M,-34.55M,,,-273.37M,-84.84M,108.64M,-92.32M,,-92.32M,100.00M,9.61M,-5.82M,11.47M,-260.71M,,-260.71M,,,0.00,,-31.96M,2.70M,-1.94M,-291.91M,411.91M,-171.79M,-9.329M,230.78M,,30.00M,-290.71M,,94.21M
2007-09,395.00M,,,,,,,122.34M,122.34M,,,,5.087M,-120.64M,-1.374M,52.06M,124.54M,,,-240.12M,-185.53M,336.91M,-149.25M,,-149.25M,0.00,4.726M,3.359M,-141.17M,6.698M,,6.698M,,,,,0.00,0.505M,-4.411M,2.792M,212.36M,198.53M,1.008M,411.91M,,7.199M,-0.501M,,53.50M
2007-06,128.74M,,,,,,,121.72M,121.72M,,,,-3.957M,-5.431M,-6.476M,-47.26M,83.32M,,,192.62M,216.77M,463.28M,-921.65M,,-921.65M,,45.06M,-4.737M,-881.33M,447.37M,,447.37M,-3.107M,,-3.107M,,-31.95M,16.43M,2.416M,431.16M,199.62M,13.10M,-0.349M,212.36M,-3.107M,589.26M,-141.89M,,137.50M
2007-03,8.825M,,,,,,,115.96M,115.96M,,,,2.935M,-20.50M,-3.682M,-64.82M,0.279M,,,320.87M,232.15M,359.87M,-154.16M,,-154.16M,,,-5.371M,-159.53M,-74.32M,,-74.32M,3.107M,,3.107M,,-34.39M,,0.177M,-105.43M,104.52M,94.91M,0.187M,199.62M,3.107M,1.309B,-1.383B,,
2006-12,46.62M,,,,,,,108.13M,108.13M,,,,0.324M,-27.42M,4.188M,19.63M,-38.48M,,,-72.52M,-114.61M,40.47M,-161.12M,,-161.12M,,,-555.30M,-716.41M,608.60M,8.804M,617.40M,3.865M,0.00,3.865M,,-60.92M,,-0.426M,559.92M,220.54M,-116.02M,0.00,104.52M,3.865M,1.128B,-510.30M,0.00,
2006-09,345.37M,,,,,,,109.33M,109.33M,,,,1.819M,-22.29M,5.434M,44.88M,-28.99M,,,-231.24M,-232.21M,224.32M,-188.51M,,-188.51M,,,-20.31M,-208.82M,-114.16M,-8.804M,-122.96M,-3.485M,0.00,-3.485M,,0.002M,,8.308M,-118.14M,323.18M,-102.64M,0.00,220.54M,-3.485M,215.00M,-337.96M,0.00,
2006-06,122.43M,,,,,,,102.02M,102.02M,,,,7.492M,-2.139M,-15.84M,-23.65M,62.51M,,,87.01M,107.89M,339.83M,-695.06M,,-695.06M,,,8.465M,-686.59M,599.28M,,599.28M,5.907M,-164.58M,-158.68M,,-31.79M,,-10.85M,397.97M,271.98M,51.21M,0.00,323.18M,5.907M,1.466B,-866.93M,-164.58M,
2006-03,119.50M,,,,,,,102.16M,102.16M,,,,8.267M,13.00M,-1.224M,-40.15M,-24.71M,,,167.06M,113.96M,343.89M,-135.90M,,-135.90M,,,-101.36M,-237.25M,44.42M,,44.42M,16.74M,,16.74M,,-31.75M,,10.55M,39.96M,125.38M,146.59M,0.00,271.98M,16.74M,125.00M,-80.58M,,
2005-12,-3.604M,,,,,-50.98M,402.07M,101.31M,101.31M,,,,59.41M,-19.57M,11.08M,21.53M,18.42M,-5.009M,41.68M,-46.75M,21.38M,127.52M,-109.25M,,-109.25M,,0.00,-2.885M,-112.14M,-17.47M,,-17.47M,2.061M,0.00,2.061M,,-63.96M,,0.161M,-79.20M,189.21M,-63.82M,,125.38M,2.061M,290.00M,-307.47M,0.00,236.48M
2005-09,374.71M,,,,,52.49M,-199.74M,101.02M,101.02M,,,,-86.02M,1.63M,-1.336M,17.66M,-1.686M,39.20M,-273.94M,-11.13M,-229.60M,212.60M,-168.20M,,-168.20M,,0.00,351.61M,183.41M,-262.26M,,-262.26M,4.616M,-249.12M,-244.51M,,0.00,,1.94M,-504.83M,298.03M,-108.82M,,189.21M,4.616M,100.00M,-362.26M,-249.12M,-125.29M
