,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,Inventories,PrepaidExpenses,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2016-12,132.60M,,132.60M,291.90M,291.90M,114.09M,209.72M,,748.30M,341.60M,,1.108B,,354.42M,28.14B,-7.981B,20.16B,288.39M,,288.39M,1.112B,21.56B,22.31B,305.31M,305.31M,738.49M,1.044B,,1.286B,1.286B,,1.286B,1.965B,1.965B,146.59M,4.442B,8.102B,,8.102B,,645.61M,8.747B,13.19B,2.346M,7.860B,3.329B,1.153B,,-916.48M,9.121B
2016-09,178.43M,,178.43M,273.42M,273.42M,118.85M,231.44M,,803.07M,,,,,,,,20.23B,288.46M,,288.46M,1.128B,21.65B,22.45B,259.03M,259.03M,773.99M,1.033B,,1.298B,1.298B,,1.298B,1.968B,1.968B,201.88M,4.501B,8.420B,,8.420B,,739.69M,9.160B,13.66B,2.346M,7.702B,3.316B,1.153B,,-1.078B,8.790B
2016-06,175.16M,,175.16M,215.80M,215.80M,112.38M,265.06M,,857.94M,,,,,,,,20.19B,288.40M,,288.40M,1.139B,21.61B,22.47B,319.61M,319.61M,598.71M,918.31M,,895.41M,895.41M,,895.41M,2.222B,2.222B,337.71M,4.374B,9.153B,,9.153B,,798.70M,9.952B,14.33B,2.346M,7.112B,3.307B,1.103B,,-1.172B,8.146B
2016-03,117.36M,,117.36M,253.30M,253.30M,121.39M,279.71M,,892.29M,,,,,,,,18.83B,286.85M,,286.85M,955.53M,20.07B,20.96B,371.85M,371.85M,606.44M,978.29M,,895.49M,895.49M,,895.49M,1.947B,1.947B,577.49M,4.398B,7.807B,,7.807B,,871.01M,8.678B,13.08B,2.345M,6.963B,3.299B,1.053B,,-1.323B,7.888B
2015-12,121.56M,,121.56M,238.97M,238.97M,121.33M,220.58M,,837.02M,337.11M,,1.025B,,735.00M,26.22B,-7.441B,18.78B,286.76M,,286.76M,880.48M,19.95B,20.78B,302.07M,302.07M,696.93M,999.00M,,899.54M,899.54M,,899.54M,1.742B,1.742B,651.87M,4.293B,7.628B,,7.628B,,798.61M,8.426B,12.72B,2.339M,6.945B,3.298B,853.35M,,-1.328B,8.063B
2015-09,147.42M,,147.42M,241.64M,241.64M,131.11M,269.91M,,900.83M,,,,,,,,18.78B,286.71M,,286.71M,994.53M,20.06B,20.96B,305.75M,305.75M,713.74M,1.019B,,905.13M,905.13M,,905.13M,1.886B,1.886B,549.52M,4.360B,7.585B,,7.585B,,757.76M,8.343B,12.70B,2.338M,6.820B,3.280B,649.78M,,-1.196B,8.256B
2015-06,159.36M,,159.36M,212.45M,212.45M,140.23M,292.43M,,913.39M,,,,,,,,18.89B,409.84M,,409.84M,1.182B,20.48B,21.40B,343.98M,343.98M,573.15M,917.13M,,1.189B,1.189B,,1.189B,2.217B,2.217B,468.61M,4.792B,7.592B,,7.592B,,691.09M,8.283B,13.07B,2.337M,6.674B,3.267B,649.78M,,-973.02M,8.320B
2015-03,229.70M,,229.70M,297.07M,297.07M,125.06M,299.36M,,951.20M,,,,,,,,18.23B,405.42M,,405.42M,1.281B,19.92B,20.87B,336.87M,336.87M,599.26M,936.12M,,1.089B,1.089B,,1.089B,1.993B,1.993B,318.25M,4.336B,7.470B,,7.470B,,1.089B,8.559B,12.90B,2.337M,6.555B,3.258B,649.78M,,-1.191B,7.974B
2014-12,189.24M,,189.24M,261.39M,261.39M,123.49M,226.96M,,801.08M,303.39M,,889.58M,,561.78M,25.28B,-7.086B,18.19B,420.54M,,420.54M,1.298B,19.91B,20.71B,331.50M,331.50M,684.21M,1.016B,,799.63M,799.63M,,799.63M,1.767B,1.767B,266.99M,3.849B,7.644B,,7.644B,,935.27M,8.580B,12.43B,2.331M,6.575B,3.254B,649.78M,,-896.99M,8.284B
2014-09,183.18M,,183.18M,252.92M,252.92M,136.16M,273.11M,,860.23M,,,,,,,,17.21B,426.54M,,426.54M,1.101B,18.74B,19.60B,340.70M,340.70M,785.68M,1.126B,,,772.24M,,772.24M,1.839B,1.839B,,3.738B,6.214B,,6.214B,,627.31M,6.841B,10.58B,2.329M,6.532B,3.242B,413.70M,,-340.89M,9.021B
2014-06,185.26M,,185.26M,293.52M,293.52M,143.38M,299.88M,,978.34M,,,,,,,,17.47B,438.37M,,438.37M,1.121B,19.03B,20.01B,331.46M,331.46M,620.24M,951.70M,,,494.58M,,494.58M,2.103B,2.103B,,3.549B,7.099B,,7.099B,,514.28M,7.614B,11.16B,2.326M,6.108B,3.224B,413.70M,,-71.33M,8.849B
2014-03,216.51M,,216.51M,299.04M,299.04M,145.16M,293.91M,,1.011B,,,,,,,,17.50B,439.34M,,439.34M,1.172B,19.12B,20.13B,359.52M,359.52M,630.85M,990.36M,,,535.83M,,535.83M,1.857B,1.857B,,3.383B,7.462B,,7.462B,,504.90M,7.966B,11.35B,2.324M,6.026B,3.209B,413.70M,,-46.80M,8.777B
2013-12,204.69M,,204.69M,259.75M,259.75M,151.24M,252.85M,,956.37M,394.12M,,771.30M,,563.68M,24.27B,-6.754B,17.52B,439.23M,,439.23M,1.160B,19.12B,20.07B,372.23M,372.23M,642.44M,1.015B,,1.563B,1.563B,,1.563B,1.665B,1.665B,24.29M,4.267B,6.511B,,6.511B,,486.25M,6.998B,11.26B,2.308M,6.055B,3.159B,413.70M,,5.671M,8.808B
2013-09,209.57M,,209.57M,342.02M,342.02M,160.22M,258.57M,,1.019B,,,,,,,,17.49B,436.65M,,436.65M,1.137B,19.07B,20.09B,396.48M,396.48M,744.25M,1.141B,,,1.943B,,1.943B,1.761B,1.761B,,4.845B,5.981B,,5.981B,,498.68M,6.480B,11.32B,2.302M,6.103B,3.137B,413.70M,,-66.92M,8.762B
2013-06,205.17M,,205.17M,310.05M,310.05M,141.44M,270.39M,,953.09M,,,,,,,,17.51B,430.67M,,430.67M,1.055B,19.00B,19.95B,314.20M,314.20M,616.81M,931.00M,,,1.906B,,1.906B,1.875B,1.875B,,4.712B,6.348B,,6.348B,,524.72M,6.872B,11.58B,2.299M,5.793B,3.125B,413.70M,,-140.08M,8.366B
2013-03,215.89M,,215.89M,308.03M,308.03M,145.92M,236.95M,,958.61M,,,,,,,,17.47B,429.20M,,429.20M,1.004B,18.91B,19.87B,337.44M,337.44M,597.63M,935.07M,,,2.491B,,2.491B,1.634B,1.634B,,5.061B,5.976B,,5.976B,,491.17M,6.467B,11.53B,2.297M,5.794B,3.117B,413.70M,,-161.36M,8.339B
2012-12,194.86M,,194.86M,281.42M,281.42M,146.30M,207.66M,,888.06M,377.82M,,698.86M,,169.27M,23.44B,-5.992B,17.45B,432.98M,,432.98M,1.056B,18.94B,19.83B,351.59M,351.59M,648.09M,999.68M,,,1.519B,,1.519B,1.547B,1.547B,,4.066B,6.970B,,6.970B,,482.57M,7.453B,11.52B,2.291M,5.745B,3.110B,413.70M,,-134.52M,8.309B
2012-09,241.24M,,241.24M,301.11M,301.11M,143.95M,249.08M,,1.033B,,,,,,,,16.82B,742.47M,,742.47M,1.072B,18.64B,19.67B,361.09M,361.09M,725.55M,1.087B,,,1.155B,,1.155B,1.585B,1.585B,,3.826B,6.624B,,6.624B,,515.46M,7.139B,10.97B,2.284M,6.164B,3.093B,413.70M,,-143.09M,8.703B
2012-06,212.21M,0.00,212.21M,284.66M,284.66M,146.71M,255.27M,,954.15M,,,,,,,,16.89B,736.28M,,736.28M,1.118B,18.74B,19.70B,316.41M,316.41M,631.03M,947.44M,,,1.157B,,1.157B,1.705B,1.705B,,3.809B,7.069B,,7.069B,,546.42M,7.615B,11.42B,2.282M,5.823B,3.086B,413.70M,,-225.74M,8.272B
2012-03,277.53M,0.00,277.53M,313.00M,313.00M,147.90M,229.66M,,1.123B,,,,,,,,16.95B,758.44M,,758.44M,1.197B,18.91B,20.03B,291.03M,291.03M,621.92M,912.95M,,,639.36M,,639.36M,1.548B,1.548B,,3.100B,7.899B,,7.899B,,437.69M,8.337B,11.44B,2.282M,5.849B,3.081B,413.70M,,74.87M,8.593B
2011-12,262.19M,,262.19M,292.45M,292.45M,144.55M,185.46M,,969.29M,360.40M,,748.10M,,227.12M,22.27B,-5.335B,16.93B,746.54M,,746.54M,1.154B,18.84B,19.80B,304.62M,304.62M,688.12M,992.75M,,,638.89M,,638.89M,1.436B,1.436B,,3.068B,7.857B,,7.857B,,471.98M,8.329B,11.40B,2.276M,5.823B,3.072B,413.70M,,-75.94M,8.408B
2011-09,451.46M,0.00,451.46M,303.92M,303.92M,152.27M,241.39M,,1.223B,,,,,,,,16.99B,760.77M,,760.77M,1.197B,18.95B,20.17B,323.08M,323.08M,672.69M,995.78M,,,639.50M,,639.50M,,,1.480B,3.115B,8.136B,,8.136B,,480.48M,8.617B,11.73B,2.275M,5.809B,3.066B,413.70M,,-25.79M,8.438B
2011-06,551.46M,0.00,551.46M,273.71M,273.71M,145.55M,225.33M,,1.327B,,,,,,,,16.44B,800.44M,,800.44M,1.380B,18.62B,19.95B,343.16M,343.16M,580.91M,924.07M,,,703.24M,,703.24M,1.661B,1.661B,,3.288B,7.902B,,7.902B,,410.64M,8.312B,11.60B,2.273M,5.432B,3.055B,413.70M,,273.01M,8.348B
2011-03,470.26M,0.00,470.26M,276.88M,276.88M,140.56M,182.08M,,1.215B,,,,,,,,16.40B,786.72M,,786.72M,1.373B,18.56B,19.78B,334.98M,334.98M,569.38M,904.36M,,,702.48M,,702.48M,1.404B,1.404B,,3.011B,8.077B,,8.077B,,409.84M,8.487B,11.50B,2.273M,5.393B,3.049B,413.70M,,247.22M,8.278B
2010-12,419.93M,0.00,419.93M,266.71M,266.71M,126.80M,145.14M,,1.015B,905.07M,16.69M,,20.45B,250.70M,21.63B,-4.858B,16.77B,759.33M,,759.33M,1.151B,18.68B,19.69B,249.05M,249.05M,713.45M,962.50M,,,1.199B,,1.199B,1.283B,1.283B,,3.444B,7.951B,,7.951B,,356.72M,8.308B,11.75B,2.262M,5.302B,3.027B,413.70M,,25.07M,7.943B
2010-06,318.82M,45.52M,364.34M,212.20M,212.20M,110.70M,223.91M,,911.15M,,,,,,,,15.68B,718.40M,,718.40M,990.17M,17.39B,18.30B,292.05M,292.05M,763.44M,1.055B,,,1.001B,,1.001B,,,1.398B,3.455B,7.109B,,7.109B,,491.40M,7.600B,11.06B,2.254M,4.903B,3.002B,413.70M,,-245.83M,7.248B
2010-03,278.10M,83.11M,361.21M,257.59M,257.59M,111.35M,187.08M,,917.23M,,,,,,,,15.23B,763.55M,,763.55M,1.127B,17.12B,18.04B,242.35M,242.35M,644.02M,886.37M,,,1.256B,,1.256B,,,1.230B,3.372B,6.848B,,6.848B,,351.84M,7.200B,10.57B,2.252M,4.842B,2.994B,413.70M,,40.45M,7.465B
2009-12,284.62M,0.00,284.62M,338.80M,338.80M,107.88M,181.00M,,1.026B,880.19M,16.69M,,18.10B,562.53M,19.56B,-4.292B,15.27B,792.37M,,792.37M,1.147B,17.21B,18.23B,264.55M,264.55M,668.74M,933.29M,,,756.22M,,756.22M,1.060B,1.060B,,2.749B,7.664B,,7.664B,,321.19M,7.985B,10.73B,2.243M,4.755B,2.973B,413.70M,,182.73M,7.500B
2009-09,285.86M,,285.86M,334.67M,334.67M,109.66M,185.36M,105.08M,1.021B,,,,,,,,14.20B,803.19M,,803.19M,1.159B,16.17B,17.19B,270.47M,270.47M,658.93M,929.40M,,,667.61M,,667.61M,,,1.166B,2.763B,6.628B,,6.628B,,351.29M,6.980B,9.743B,2.242M,4.752B,2.970B,413.70M,,133.95M,7.444B
2009-06,309.76M,,309.76M,241.22M,241.22M,102.52M,145.04M,111.92M,910.46M,,,,,,,,13.59B,781.61M,,781.61M,1.051B,15.43B,16.34B,262.65M,262.65M,574.74M,837.39M,,,723.28M,,723.28M,,,1.302B,2.863B,6.045B,,6.045B,,379.74M,6.425B,9.288B,2.241M,4.521B,2.963B,413.70M,,-23.52M,7.049B
2009-03,455.88M,,455.88M,194.51M,194.51M,91.96M,124.78M,33.03M,900.16M,,,,,,,,13.58B,753.77M,,753.77M,958.39M,15.29B,16.19B,241.43M,241.43M,673.62M,915.06M,,,473.58M,,473.58M,,,1.074B,2.463B,6.494B,,6.494B,,484.78M,6.978B,9.441B,2.241M,4.556B,2.958B,413.70M,,-353.56M,6.750B
2008-12,402.88M,81.94M,484.81M,271.29M,271.29M,96.08M,125.16M,,977.34M,862.13M,16.29M,,16.21B,749.82M,17.84B,-3.964B,13.88B,779.25M,,779.25M,827.73M,15.49B,16.46B,245.22M,245.22M,816.25M,1.061B,,,471.89M,,471.89M,,,1.141B,2.674B,6.540B,,6.540B,,446.56M,6.986B,9.660B,0.00,4.593B,2.953B,424.36M,,,6.803B
2008-09,301.96M,158.63M,460.59M,324.13M,324.13M,114.29M,146.84M,,1.046B,,,,,,,,13.14B,782.18M,,782.18M,799.59M,14.72B,15.77B,222.63M,222.63M,590.05M,812.68M,,,430.86M,,430.86M,,,1.298B,2.541B,5.598B,,5.598B,,611.10M,6.209B,8.750B,2.239M,4.591B,2.948B,424.22M,,-96.29M,7.020B
2008-06,387.16M,300.31M,687.47M,250.56M,250.56M,118.34M,187.45M,,1.244B,,,,,,,,13.24B,844.16M,,844.16M,1.128B,15.22B,16.46B,255.49M,255.49M,489.74M,745.22M,,,430.75M,,430.75M,,,1.607B,2.783B,5.941B,,5.941B,,689.78M,6.631B,9.414B,2.238M,4.211B,2.943B,424.08M,,315.04M,7.047B
2008-03,441.13M,316.29M,757.42M,,236.29M,98.04M,157.31M,,1.249B,,,,,,15.73B,-3.405B,12.33B,842.94M,,842.94M,1.130B,14.30B,15.55B,207.34M,207.34M,484.96M,692.30M,,,201.61M,,201.61M,,,1.456B,2.350B,5.747B,,5.747B,,547.17M,6.295B,8.645B,2.238M,4.158B,2.949B,423.94M,,221.44M,6.907B
2007-12,230.78M,213.89M,444.68M,313.64M,313.64M,96.81M,137.66M,,992.79M,705.30M,16.29M,,14.28B,652.13M,15.66B,-3.405B,12.25B,797.79M,,797.79M,937.92M,13.99B,14.98B,222.90M,222.90M,533.67M,756.57M,,,351.72M,,351.72M,,,1.231B,2.339B,5.347B,,5.347B,,539.10M,5.886B,8.225B,2.235M,4.115B,2.943B,423.66M,,120.96M,6.757B
2007-09,411.91M,,411.91M,,337.89M,88.80M,221.68M,,1.060B,,,,,,15.23B,-2.954B,12.27B,772.82M,,772.82M,1.059B,14.11B,15.17B,192.42M,192.42M,644.49M,836.92M,,,558.62M,,558.62M,,,1.175B,2.571B,5.351B,,5.351B,,589.04M,5.940B,8.510B,2.234M,4.076B,2.935B,423.52M,,65.59M,6.655B
2007-06,212.36M,,212.36M,,212.68M,86.57M,235.91M,,747.52M,,,,,,15.19B,-2.954B,12.24B,741.60M,,741.60M,832.10M,13.81B,14.56B,202.65M,202.65M,453.47M,656.12M,,,553.47M,,553.47M,,,1.412B,2.621B,5.242B,,5.242B,,471.18M,5.714B,8.335B,2.233M,3.713B,2.929B,423.38M,,3.946M,6.225B
2007-03,199.62M,,199.62M,,207.02M,80.78M,206.95M,,694.37M,,,,,,14.42B,-2.954B,11.47B,732.10M,,732.10M,799.39M,13.00B,13.69B,194.27M,194.27M,443.72M,637.99M,,,523.14M,,523.14M,,,1.178B,2.339B,4.846B,,4.846B,,412.82M,5.259B,7.598B,2.227M,3.616B,2.911B,423.24M,,-10.38M,6.096B
2006-12,104.52M,36.15M,140.67M,,185.89M,76.97M,98.38M,,501.90M,,,,,,11.43B,,11.43B,721.51M,,721.51M,740.56M,12.89B,13.39B,193.79M,193.79M,351.13M,544.92M,,,373.42M,,373.42M,,,954.02M,1.872B,5.040B,,5.040B,,388.82M,5.429B,7.302B,2.225M,3.639B,2.904B,423.10M,,-30.80M,6.092B
2006-09,220.54M,,220.54M,,106.69M,69.43M,122.44M,,519.10M,,,,,,13.56B,-2.573B,10.98B,283.13M,,283.13M,425.66M,11.69B,12.21B,168.72M,168.72M,424.39M,593.11M,,,268.64M,,268.64M,,,959.87M,1.822B,4.182B,,4.182B,,165.47M,4.347B,6.169B,2.212M,3.624B,2.858B,422.96M,,-18.80M,6.043B
2006-06,323.18M,,323.18M,,84.40M,74.87M,187.23M,,669.68M,,,,,,13.48B,-2.573B,10.90B,283.13M,,283.13M,442.81M,11.63B,12.30B,204.56M,204.56M,340.20M,544.76M,,,482.87M,,482.87M,,,1.254B,2.282B,4.172B,,4.172B,,195.92M,4.368B,6.650B,2.181M,3.311B,2.757B,422.82M,,3.188M,5.650B
2006-03,271.98M,,271.98M,,82.26M,59.03M,140.57M,,553.84M,,,,,,12.88B,-2.573B,10.31B,283.13M,,283.13M,403.70M,11.00B,11.55B,150.09M,150.09M,309.26M,459.35M,,,1.646B,,1.646B,,,,2.105B,3.593B,,3.593B,,158.81M,3.752B,5.857B,2.176M,3.220B,2.737B,258.10M,,-5.922M,5.695B
2005-12,125.38M,,125.38M,,95.25M,57.80M,98.57M,,377.01M,,,,,,12.85B,-2.573B,10.28B,283.13M,,283.13M,318.68M,10.88B,11.26B,159.91M,159.91M,343.00M,502.90M,,,600.88M,,600.88M,,,884.99M,1.989B,3.554B,,3.554B,,158.63M,3.713B,5.701B,2.165M,3.132B,2.706B,257.96M,,-28.26M,5.554B
2005-09,189.21M,,189.21M,,74.81M,68.88M,118.20M,,451.10M,,,,,,12.44B,-2.213B,10.22B,278.56M,,278.56M,292.29M,10.79B,11.24B,155.19M,155.19M,1.243B,1.398B,,,559.28M,,559.28M,,,,1.957B,3.594B,,3.594B,,121.95M,3.716B,5.673B,2.154M,3.168B,2.672B,257.82M,,-12.71M,5.571B
2005-06,298.03M,,298.03M,,82.93M,67.54M,130.20M,,578.71M,,,,,,12.37B,-2.213B,10.15B,278.56M,,278.56M,580.85M,11.01B,11.59B,1.331B,1.331B,321.17M,1.652B,,,404.58M,,404.58M,,,,2.057B,4.330B,,4.330B,,103.20M,4.434B,6.490B,2.059M,2.770B,2.342B,8.557M,,-4.558M,5.101B
2005-03,311.34M,,311.34M,,82.24M,59.58M,109.02M,,562.19M,,,,,,12.39B,-2.213B,10.17B,278.56M,,278.56M,586.80M,11.04B,11.60B,1.190B,1.190B,320.54M,1.511B,,,330.42M,,330.42M,,,,1.841B,4.795B,,4.795B,,66.13M,4.861B,6.702B,2.018M,2.642B,2.223B,8.417M,,39.90M,4.898B
2004-12,628.58M,,628.58M,,84.90M,60.26M,86.87M,,860.61M,,,,,,12.41B,-2.213B,10.19B,278.56M,,278.56M,631.47M,11.10B,11.96B,162.97M,162.97M,330.07M,493.05M,,,1.780B,,1.780B,,,,2.274B,4.827B,,4.827B,,59.49M,4.886B,7.160B,2.012M,2.533B,2.206B,8.277M,,71.36M,4.805B
2004-09,740.87M,,740.87M,,86.70M,60.07M,,95.67M,983.31M,,,,,,11.98B,-1.806B,10.18B,,278.56M,278.56M,563.36M,11.02B,12.00B,175.09M,175.09M,,175.09M,,,955.31M,,955.31M,,,1.167B,2.298B,4.888B,,4.888B,,37.34M,4.925B,7.223B,1.993M,2.585B,2.166B,8.137M,,,4.779B
