,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2007-03,440.34M,440.34M,278.89M,161.45M,98.31M,,,0.352M,,,,,98.31M,63.14M,,,,0.352M,,55.59M,14.65M,33.83M,10.44M,-7.108M,44.27M,33.57M,77.60M,14.46M,63.14M,0.87,0.27,0.8634,1.14,0.86,0.27,0.8534,1.13,39.03M,39.40M,0.285
2006-12,-164.78M,-164.78M,-193.42M,28.64M,13.89M,,,-6.08M,,,,,13.89M,14.75M,,,,-6.08M,,0.028M,-4.836M,-0.132M,37.85M,-4.996M,37.72M,3.516M,40.64M,25.88M,14.75M,1.12,-0.15,1.214,0.97,1.11,-0.15,1.203,0.96,38.98M,39.23M,0.285
2006-09,605.52M,605.52M,424.91M,180.62M,112.93M,,,-2.822M,,,,,112.93M,67.69M,,,,-2.822M,,56.32M,15.00M,34.70M,1.27M,-6.627M,35.97M,36.77M,96.14M,28.45M,67.69M,0.88,0.03,0.9325,0.91,0.88,0.03,0.9323,0.91,39.46M,39.57M,0.285
2006-06,650.18M,650.18M,453.33M,196.85M,127.23M,,,-10.30M,,,,,127.23M,69.62M,,,,-10.30M,,50.01M,10.09M,33.98M,2.656M,-5.935M,36.64M,42.21M,91.74M,22.12M,69.62M,0.84,0.07,1.044,0.91,0.84,0.07,1.043,0.9,40.24M,40.50M,0.285
2006-03,599.88M,599.88M,420.84M,179.05M,120.91M,,,-3.85M,,,,,120.91M,58.14M,,,,-3.85M,,45.85M,12.66M,27.54M,1.565M,-5.653M,29.11M,30.33M,80.69M,22.55M,58.14M,0.68,0.04,0.7491,0.72,0.68,0.04,0.7486,0.72,40.35M,40.63M,0.25
2005-12,-306.13M,-306.13M,-293.19M,-12.93M,-3.408M,,,4.819M,,,,,-3.408M,-9.525M,,,,4.819M,,-12.92M,-5.677M,-11.07M,48.59M,-3.821M,37.52M,-13.96M,13.77M,23.30M,-9.525M,1.02,-0.08,0.9484,0.93,1.0,-0.08,0.9293,0.92,40.41M,40.92M,0.25
2005-09,587.39M,587.39M,421.33M,166.06M,104.67M,,,-0.207M,,,,,104.67M,61.40M,,,,-0.207M,,51.39M,10.36M,35.71M,-2.114M,-5.318M,33.60M,35.88M,87.72M,26.32M,61.40M,0.88,-0.05,0.8841,0.83,0.87,-0.05,0.874,0.82,40.57M,41.18M,0.25
2005-06,657.01M,657.96M,466.77M,191.19M,116.22M,,,-6.653M,,,,,116.22M,74.96M,,,,-6.653M,,56.80M,13.48M,38.14M,-9.165M,-5.181M,28.97M,43.21M,100.89M,25.92M,74.96M,0.94,-0.23,1.065,0.71,0.93,-0.23,1.054,0.71,40.64M,41.03M,0.25
2005-03,623.60M,623.60M,449.86M,173.74M,116.35M,,,-7.294M,,,,,116.35M,57.40M,,,,-7.294M,,39.01M,9.45M,24.86M,13.86M,-4.698M,38.73M,30.39M,82.70M,25.31M,57.40M,0.61,0.34,0.7466,0.95,0.61,0.34,0.7458,0.95,40.45M,40.70M,0.22
2004-12,644.95M,644.95M,465.46M,179.49M,135.58M,,,-69.40M,,,,,132.85M,46.65M,,,,-69.40M,,-37.10M,-16.98M,-26.00M,-46.61M,-5.886M,-72.61M,15.64M,77.12M,30.48M,46.65M,-0.65,-1.13,0.3818,-1.78,-0.65,-1.13,0.3764,-1.78,40.36M,40.57M,0.22
2004-09,575.94M,575.94M,402.80M,173.14M,126.84M,,,-0.563M,,,,,126.84M,46.30M,,,,-0.563M,,33.15M,5.209M,23.48M,-5.991M,-4.457M,17.49M,23.96M,75.08M,28.78M,46.30M,0.58,-0.15,0.5918,0.43,0.58,-0.15,0.5917,0.43,40.27M,40.41M,0.22
2004-06,593.11M,593.11M,423.47M,169.64M,114.01M,,,5.083M,,,,,114.01M,55.63M,,,,5.083M,,54.57M,13.56M,36.24M,-2.079M,-4.764M,34.16M,32.42M,77.85M,22.22M,55.63M,0.9,-0.05,0.805,0.85,0.89,-0.05,0.7958,0.84,40.20M,40.54M,0.22
2004-03,579.69M,579.69M,415.30M,164.39M,110.77M,,,,,,,,110.77M,53.62M,,,,,,46.84M,11.14M,31.60M,-2.123M,-4.112M,29.47M,31.60M,78.69M,25.07M,53.62M,0.79,-0.05,0.79,0.74,0.78,-0.05,0.78,0.73,39.99M,40.46M,0.2
2003-12,477.84M,477.84M,320.89M,156.95M,84.19M,,,0.00,,,,,81.12M,75.82M,,,,0.00,,66.17M,10.74M,38.90M,,,29.80M,38.90M,95.32M,19.50M,75.82M,0.98,-0.23,0.98,0.75,0.97,-0.23,0.97,0.74,39.75M,40.16M,0.2
2003-09,550.85M,550.85M,410.61M,140.24M,108.35M,,,,,,,,108.35M,31.89M,,,,,,25.31M,7.087M,18.22M,,,18.22M,18.22M,58.97M,27.08M,31.89M,0.46,0.0,0.46,0.46,0.45,0.0,0.45,0.45,39.66M,40.07M,0.2
2003-06,577.94M,577.94M,423.34M,154.61M,103.17M,,,,,,,,103.17M,51.44M,,,,,,44.83M,13.00M,31.84M,,,31.84M,31.84M,78.06M,26.62M,51.44M,0.81,0.0,0.81,0.81,0.8,0.0,0.8,0.8,39.54M,39.84M,0.2
