,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2014-09,55.23M,,,,13.41M,14.95M,28.36M,28.36M,-5.619M,,,3.399M,0.855M,1.802M,-6.699M,-6.494M,15.99M,,,1.813M,6.411M,-0.415M,88.22M,-17.37M,,-17.37M,0.02M,,1.112M,-16.24M,-0.009M,,-0.009M,,,,-14.08M,-14.08M,0.545M,-0.414M,-13.96M,237.38M,58.02M,-9.025M,286.38M,,0.00,-0.009M,
2014-06,48.83M,,,,12.42M,16.08M,28.50M,28.50M,-0.704M,,,2.652M,0.619M,-5.326M,-8.912M,8.434M,14.40M,,,-10.25M,-1.654M,-0.364M,77.88M,-18.74M,,-18.74M,0.456M,,2.47M,-15.82M,-230.00M,,-230.00M,,,,-14.04M,-14.04M,2.068M,-4.279M,-246.25M,421.65M,-184.19M,-0.078M,237.38M,,250.00M,-480.00M,
2014-03,35.27M,,,,11.58M,16.02M,27.60M,27.60M,3.515M,,,3.074M,-1.662M,5.966M,-7.473M,-6.027M,-16.13M,,,-2.214M,-25.88M,-1.167M,40.75M,-12.11M,,-12.11M,-29.05M,,1.669M,-39.49M,0.00,,0.00,,,,-14.05M,-14.05M,0.323M,-0.09M,-13.82M,431.98M,-12.56M,2.223M,421.65M,,0.00,0.00,
2013-12,35.30M,,,0.00,11.63M,13.54M,25.17M,25.17M,-8.896M,,0.106M,3.445M,10.92M,11.10M,14.64M,-0.506M,0.428M,,,3.713M,29.38M,-1.16M,94.27M,-8.94M,,-8.94M,-268.56M,,,-277.50M,298.00M,,298.00M,,,,-14.00M,-14.00M,1.441M,-0.626M,284.81M,326.44M,101.58M,3.965M,431.98M,,298.00M,0.00,
2013-09,45.78M,,,1.25M,10.86M,12.52M,23.38M,23.38M,2.065M,,3.354M,2.66M,-1.286M,5.689M,5.778M,-5.723M,0.41M,,,-3.727M,2.427M,-0.73M,78.90M,-17.74M,,-17.74M,-3.496M,,,-21.24M,7.00M,,7.00M,,,,-13.97M,-13.97M,0.848M,-13.24M,-19.37M,281.42M,38.29M,6.727M,326.44M,,382.00M,-375.00M,
2013-06,43.40M,,,,9.723M,12.11M,21.84M,21.84M,-2.998M,,,2.975M,-3.778M,-1.664M,-15.66M,0.738M,14.36M,,,-8.232M,-10.46M,-0.808M,50.17M,-21.26M,,-21.26M,-38.50M,,,-59.77M,0.00,,0.00,,,,-13.98M,-13.98M,-1.263M,-3.044M,-18.29M,306.55M,-27.88M,2.746M,281.42M,,0.00,0.00,
2013-03,27.70M,,,,10.15M,12.44M,22.59M,22.59M,-0.353M,,,2.791M,-4.858M,-16.42M,-13.69M,-0.435M,-13.20M,,,1.139M,-42.61M,-0.629M,4.635M,-15.64M,,-15.64M,1.50M,,,-14.14M,,,,,,,-13.96M,-13.96M,5.155M,-7.179M,-15.99M,337.04M,-25.49M,-4.997M,306.55M,,,,
2012-12,30.61M,,,0.00,10.04M,12.00M,22.05M,22.05M,-12.76M,,0.00,2.453M,2.606M,-4.866M,2.649M,-0.549M,2.202M,,,11.09M,10.53M,-1.322M,54.16M,-19.30M,,-19.30M,-313.69M,,,-332.99M,0.00,0.00,0.00,,,,-13.93M,-13.93M,0.524M,-10.67M,-24.07M,634.83M,-302.90M,5.11M,337.04M,,0.00,0.00,
2012-09,24.45M,,,0.00,9.011M,11.06M,20.07M,20.07M,-5.737M,,0.00,2.167M,3.97M,15.16M,-7.317M,1.668M,3.145M,,,-7.684M,4.971M,1.714M,51.61M,-17.20M,,-17.20M,49.37M,,,31.94M,0.00,0.001M,0.001M,,,,-13.90M,-13.90M,3.623M,0.00,-10.28M,544.99M,73.27M,16.57M,634.83M,,0.00,0.00,
2012-06,47.27M,,,-0.332M,8.518M,10.69M,19.21M,19.21M,-8.856M,,0.00,2.284M,4.674M,6.09M,0.326M,10.29M,4.08M,,,-22.11M,-1.324M,-6.013M,56.91M,-15.56M,,-15.56M,-38.54M,,,-54.53M,,-0.421M,-0.421M,,,,-13.89M,-13.89M,2.497M,-6.93M,-18.74M,590.92M,-16.36M,-29.57M,544.99M,,,,
2012-03,-284.11M,,,,8.63M,10.51M,19.14M,19.14M,-12.62M,,332.13M,1.719M,-0.347M,-19.32M,2.372M,-1.812M,-9.272M,,,-1.56M,-29.59M,-2.178M,24.14M,-13.33M,,-13.33M,0.00,,,-15.03M,,-0.286M,-0.286M,,,,-13.87M,-13.87M,1.594M,,-12.56M,584.09M,-3.449M,10.28M,590.92M,,,,
2011-12,41.80M,,,-11.11M,9.982M,10.55M,20.53M,20.53M,-11.51M,-10.06M,-0.561M,2.053M,13.36M,-2.552M,7.83M,-1.05M,-9.216M,,,-5.378M,-10.37M,-28.42M,5.712M,-17.27M,,-17.27M,280.92M,,,262.76M,0.00,-24.71M,-24.71M,-32.93M,,-32.93M,-13.86M,-13.86M,,-5.955M,-43.45M,371.70M,225.03M,-12.64M,584.09M,-32.93M,0.00,0.00,
2011-09,32.92M,0.00,,0.00,10.03M,10.71M,20.74M,20.74M,-3.502M,3.422M,-0.001M,1.514M,-2.921M,-4.052M,-23.59M,-3.716M,9.503M,,,-7.87M,-29.73M,15.40M,37.84M,-12.18M,,-12.18M,-0.011M,0.00,,-12.80M,0.00,0.00,0.00,2.353M,,2.353M,-13.84M,-13.84M,,0.548M,-10.94M,365.81M,14.10M,-8.215M,371.70M,2.353M,0.00,0.00,
2011-06,30.49M,0.00,,0.816M,9.998M,10.36M,20.36M,20.36M,2.686M,3.342M,3.061M,2.056M,-0.059M,-13.82M,-7.459M,-3.218M,5.45M,,,-13.19M,-32.24M,11.46M,41.97M,-9.241M,,-9.241M,-0.684M,,,-10.51M,125.00M,0.00,125.00M,23.81M,,23.81M,-13.82M,-13.82M,,-4.22M,130.77M,202.30M,162.23M,1.28M,365.81M,23.81M,250.00M,-125.00M,
2011-03,14.11M,,,14.60M,10.33M,11.01M,21.34M,21.34M,-1.745M,3.30M,0.00,-1.091M,0.717M,-23.14M,-10.60M,-0.489M,-7.373M,,,-2.368M,-43.97M,1.693M,8.953M,-5.891M,,-5.891M,71.03M,,,64.34M,-65.80M,0.00,-65.80M,6.764M,,6.764M,-13.61M,-13.61M,,-14.84M,-87.49M,208.45M,-14.20M,8.044M,202.30M,6.764M,265.00M,-330.80M,
2010-12,11.59M,0.183M,,13.32M,8.958M,8.976M,17.93M,17.93M,-29.92M,-4.425M,0.00,1.575M,13.50M,-1.652M,-3.877M,-9.71M,7.58M,,,24.04M,16.39M,27.04M,67.01M,-8.067M,,-8.067M,105.61M,,,95.93M,-165.80M,-5.00M,-122.76M,-8.47M,,-8.47M,-54.31M,-13.61M,-77.34M,22.26M,-199.92M,247.76M,-36.99M,-2.316M,208.45M,-8.47M,55.30M,-255.80M,
2010-09,10.99M,-0.183M,,32.56M,10.91M,10.40M,21.31M,21.31M,5.492M,2.535M,0.00,2.626M,-27.48M,2.434M,-12.29M,0.178M,9.367M,,,-23.59M,-23.90M,22.48M,46.62M,-7.605M,,-7.605M,1.208M,,,-7.273M,3.40M,-5.00M,-49.64M,0.438M,,0.438M,,-13.58M,59.40M,-88.00M,-92.51M,287.13M,-53.16M,13.79M,247.76M,0.438M,395.00M,-396.60M,
2010-06,69.53M,,,,10.08M,10.65M,20.74M,20.74M,14.13M,0.945M,0.00,2.625M,-38.02M,-51.71M,-5.751M,3.581M,5.695M,,,23.59M,-24.59M,23.05M,68.41M,-6.921M,,-6.921M,49.90M,,0.081M,41.83M,-13.08M,39.70M,-13.08M,4.362M,,4.362M,13.54M,-13.58M,,-0.637M,-22.94M,210.72M,87.30M,-10.89M,287.13M,4.362M,39.70M,-13.08M,
2010-03,-4.438M,,,,11.27M,10.73M,22.00M,22.00M,10.13M,0.945M,,1.695M,38.40M,0.836M,0.493M,-1.914M,-33.78M,,,,-34.36M,-3.314M,31.06M,-6.737M,,-6.737M,24.75M,,-0.081M,17.32M,-51.09M,,-11.39M,3.67M,,3.67M,-13.54M,-13.54M,,,-21.26M,188.30M,27.13M,-4.714M,210.72M,3.67M,0.00,-51.09M,
2009-12,44.09M,0.00,,0.00,12.57M,11.68M,24.26M,24.26M,-24.13M,0.955M,0.00,2.178M,2.902M,10.48M,26.35M,-1.917M,16.31M,,,,51.22M,7.121M,108.59M,-8.411M,,-8.411M,0.00,,,-8.924M,-56.50M,,-57.96M,0.803M,,0.803M,,-13.50M,0.00,0.00,-70.65M,158.79M,29.01M,0.502M,188.30M,0.803M,0.00,-56.50M,
2009-09,34.22M,0.00,,0.00,13.48M,10.99M,24.47M,24.47M,9.747M,0.946M,3.314M,2.611M,-2.772M,-123.92M,13.11M,0.746M,-6.302M,,,142.30M,25.93M,-1.265M,97.21M,-6.06M,,-6.06M,14.41M,,,6.847M,-51.26M,0.00,-51.26M,0.383M,,0.383M,,-13.51M,0.00,-0.407M,-64.79M,114.27M,39.27M,5.252M,158.79M,0.383M,0.018M,-51.28M,
2009-06,31.94M,2.597M,,2.597M,13.80M,8.01M,21.81M,21.81M,27.14M,0.969M,9.202M,1.849M,2.215M,22.34M,-0.224M,-0.489M,2.829M,,,-142.30M,-117.84M,5.756M,-14.36M,-7.672M,,-7.672M,3.684M,,,-4.374M,0.008M,,0.008M,0.00,,0.00,,-13.50M,,0.00,-13.50M,143.05M,-32.23M,3.446M,114.27M,0.00,0.00,0.008M,
2009-03,24.60M,,,,13.77M,13.52M,27.29M,27.29M,,2.641M,,2.151M,0.717M,-21.77M,-11.00M,1.83M,-34.09M,,,,-65.03M,20.37M,12.73M,-6.525M,,-6.525M,295.78M,,,287.65M,-239.84M,,-239.84M,0.367M,,0.367M,,-13.51M,,-0.295M,-264.35M,107.28M,36.03M,-0.254M,143.05M,0.367M,10.00M,-249.84M,
2008-12,-2.089M,-0.296M,,-41.39M,9.751M,6.168M,15.92M,15.92M,,5.33M,,8.464M,6.532M,-84.44M,0.552M,-5.164M,-9.007M,,134.22M,,36.16M,68.28M,78.64M,-6.467M,,-6.467M,1.373M,0.00,,-11.44M,-134.45M,,-28.98M,0.238M,,0.238M,,-13.48M,,32.34M,-47.12M,91.40M,20.08M,-4.202M,107.28M,0.238M,92.90M,-227.84M,
2008-09,42.32M,,,23.95M,15.29M,12.90M,28.18M,28.18M,,,,,2.337M,0.275M,-17.98M,4.502M,-1.822M,,-5.57M,,-20.60M,0.00,76.19M,-10.49M,,-10.49M,6.681M,-0.07M,,-3.876M,,,-65.64M,2.131M,,2.131M,,-13.48M,,-8.137M,-85.12M,103.24M,-12.81M,0.962M,91.40M,2.131M,,,
2008-06,42.68M,-0.018M,,17.13M,17.44M,14.38M,31.83M,31.83M,,-1.468M,,-1.797M,2.035M,16.24M,-12.87M,4.448M,69.78M,,-128.65M,,-51.04M,-17.05M,22.31M,-10.75M,,-10.75M,-5.323M,-0.15M,,-15.93M,13.42M,,-26.90M,3.984M,,3.984M,,-13.46M,,-34.66M,-58.79M,154.11M,-52.41M,1.549M,103.24M,3.984M,,13.42M,
2008-03,15.21M,0.018M,,0.018M,16.27M,11.72M,27.98M,27.98M,,1.468M,,1.797M,2.206M,-29.16M,16.00M,0.669M,-56.44M,,,,-68.93M,14.28M,-5.967M,-7.468M,,-7.468M,-0.35M,-0.10M,,-8.209M,-13.42M,,-13.42M,1.602M,,1.602M,,-12.62M,,9.717M,-26.97M,201.34M,-41.15M,-6.085M,154.11M,1.602M,0.00,-13.42M,
2007-12,65.38M,,,45.71M,-4.539M,15.87M,11.33M,11.33M,,,,,22.80M,30.55M,65.64M,7.656M,-0.926M,,-119.25M,,-16.34M,-26.50M,185.55M,-7.625M,,-7.625M,-1.571B,-0.115M,,-1.597B,,,1.147B,1.004M,,1.004M,,-12.61M,,-21.56M,1.109B,497.72M,-302.46M,6.078M,201.34M,1.004M,,,
2007-09,-57.04M,,,6.555M,18.79M,4.439M,23.23M,23.23M,,,,,6.317M,17.10M,7.384M,-10.30M,-17.66M,,97.95M,,94.48M,-5.41M,68.13M,-12.54M,,-12.54M,-0.746M,0.291M,,-7.384M,,,20.40M,2.708M,,2.708M,,-12.61M,,-21.26M,-10.76M,444.67M,49.98M,3.071M,497.72M,2.708M,,,
2007-06,93.86M,,,8.892M,25.21M,4.528M,29.74M,29.74M,,,,,2.182M,-12.57M,-1.576M,0.605M,28.89M,,-13.03M,,2.315M,-22.61M,114.38M,-14.85M,,-14.85M,91.18M,-5.796M,,69.40M,,,0.088M,16.81M,,16.81M,,-12.60M,,,4.26M,254.68M,188.03M,1.958M,444.67M,16.81M,,,
2007-03,44.27M,,,5.799M,11.50M,2.967M,14.46M,14.46M,,,,,2.023M,-29.68M,-8.995M,1.579M,-0.825M,,20.73M,,-17.20M,-23.83M,25.53M,-9.727M,,-9.727M,8.18M,0.066M,,-4.97M,,,-9.243M,3.649M,,3.649M,,-11.11M,,,-16.67M,248.41M,3.894M,2.374M,254.68M,3.649M,,,
2006-12,37.72M,,,8.913M,21.60M,4.284M,25.88M,25.88M,,,,,5.893M,41.63M,17.10M,-1.952M,-9.45M,,-9.849M,,37.48M,0.838M,130.11M,-20.89M,,-20.89M,-33.06M,-3.002M,2.597M,-54.35M,,,-29.60M,3.013M,0.00,3.013M,,-11.09M,,0.00,-37.68M,202.42M,38.08M,7.905M,248.41M,3.013M,,,0.00
2006-09,35.97M,,,8.458M,24.80M,3.645M,28.45M,28.45M,,,,,2.268M,29.69M,-4.143M,-7.212M,-7.033M,,2.129M,,13.43M,-5.636M,82.94M,-16.24M,,-16.24M,2.344M,0.452M,,-11.50M,,,-28.87M,0.664M,-70.94M,-70.28M,,-11.40M,,-0.618M,-111.17M,240.94M,-39.73M,1.217M,202.42M,0.664M,,,-70.94M
2006-06,36.64M,,,6.796M,18.64M,3.478M,22.12M,22.12M,,,,,5.546M,17.28M,6.461M,1.602M,9.57M,,-5.271M,-8.64M,21.00M,4.891M,96.99M,-12.91M,-0.968M,-13.88M,-4.73M,-0.146M,5.629M,-14.14M,,,-23.18M,4.367M,-4.432M,-0.065M,,-11.50M,,,-34.75M,188.86M,48.11M,3.973M,240.94M,4.367M,,,-4.432M
2006-03,29.11M,,,4.342M,18.67M,3.877M,22.55M,22.55M,,,,,2.516M,-16.91M,-9.156M,1.142M,-8.794M,,,8.64M,-25.08M,1.194M,34.63M,-13.20M,0.968M,-12.23M,-4.334M,2.696M,-5.629M,-20.52M,,,-42.13M,3.908M,-18.18M,-14.27M,,-10.11M,,,-66.52M,239.54M,-52.41M,1.729M,188.86M,3.908M,,,-18.18M
2005-12,37.52M,,,-6.029M,20.00M,3.297M,23.30M,23.30M,,,,,5.324M,-24.41M,16.36M,4.225M,36.40M,,-6.117M,,26.46M,5.795M,106.46M,-24.16M,-124.42M,-148.58M,142.93M,,0.72M,-7.631M,,,-25.53M,1.982M,-7.255M,-5.273M,,-10.12M,,-63.04M,-105.55M,246.08M,-6.717M,0.175M,239.54M,1.982M,,,-7.255M
2005-09,33.60M,,,4.527M,22.55M,3.776M,26.32M,26.32M,,,,,-2.664M,34.62M,-10.38M,2.853M,-29.66M,,1.41M,,-1.155M,-2.875M,57.76M,-19.30M,124.42M,105.12M,-96.95M,0.011M,-5.386M,4.817M,,,-0.398M,9.736M,-39.26M,-29.53M,,-10.10M,,9.075M,-29.42M,212.46M,33.15M,0.469M,246.08M,9.736M,,,-39.26M
