,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,AsOriginallyReported,Restated
2015-06,1.004B,1.004B,316.40M,687.70M,648.90M,,,,-6.30M,,648.90M,38.80M,,,-6.30M,,-6.30M,32.50M,20.80M,11.70M,,,11.70M,11.70M,93.40M,,2015-06,0.04,,0.04,2015-06,0.04,,0.04,0.04,276.30M,278.40M,0.3375,AOR,Restated
2015-03,929.30M,929.30M,263.80M,665.50M,541.50M,,,,-1.20M,,541.50M,124.00M,,,-1.20M,,-1.20M,122.80M,34.70M,88.10M,,,88.10M,88.10M,171.40M,,2015-03,0.32,,0.32,2015-03,0.32,,0.32,0.32,275.90M,277.40M,0.3375,AOR,Restated
2014-12,1.219B,1.219B,379.40M,840.00M,564.60M,,,,0.40M,,564.60M,275.40M,,,0.40M,,0.40M,275.80M,92.30M,183.50M,,,183.50M,183.50M,321.90M,,2014-12,0.67,,0.67,2014-12,0.66,,0.66,0.66,275.60M,276.50M,0.3375,AOR,Restated
2014-09,1.039B,1.039B,323.40M,715.40M,535.60M,,,,0.70M,,535.60M,179.80M,,,0.70M,,0.70M,180.50M,61.40M,119.10M,,,119.10M,119.10M,223.10M,,2014-09,0.43,,0.43,2014-09,0.43,,0.43,0.43,275.00M,276.40M,0.3375,AOR,Restated
2014-06,1.136B,1.136B,429.80M,706.40M,606.60M,,,,0.60M,,606.60M,99.80M,,,0.60M,,0.60M,100.40M,25.20M,75.20M,,,75.20M,75.20M,151.10M,,2014-06,0.27,,0.27,2014-06,0.27,,0.27,0.27,274.50M,276.80M,0.3375,AOR,Restated
2014-03,1.100B,1.100B,318.30M,781.30M,518.60M,,,,-2.00M,,518.60M,262.70M,,,-2.00M,,-2.00M,260.70M,70.00M,190.70M,,,190.70M,190.70M,307.90M,,2014-03,0.69,,0.69,2014-03,0.68,,0.68,0.68,276.10M,278.80M,0.3375,AOR,Restated
2013-12,1.420B,1.420B,436.90M,982.70M,546.70M,,,,1.90M,,546.70M,436.00M,,,1.90M,,1.90M,437.90M,140.50M,297.40M,,,297.40M,297.40M,483.90M,,2013-12,1.07,,1.07,2013-12,1.06,,1.06,1.06,279.10M,281.50M,0.3375,AOR,Restated
2013-09,1.151B,1.151B,324.20M,826.60M,505.00M,,,,1.70M,,505.00M,321.60M,,,1.70M,,1.70M,323.30M,105.40M,217.90M,,,217.90M,217.90M,366.60M,,2013-09,0.77,,0.77,2013-09,0.77,,0.77,0.77,281.40M,284.50M,0.3375,AOR,Restated
2013-06,1.223B,1.223B,335.34M,887.36M,569.65M,,,,1.077M,,569.65M,317.71M,,,1.077M,-1.059M,1.077M,317.73M,96.41M,221.32M,,,221.32M,221.32M,365.05M,,2013-06,0.79,,0.79,2013-06,0.78,,0.78,0.78,281.58M,285.52M,0.3375,AOR,Restated
2013-03,1.188B,1.188B,307.39M,880.19M,531.70M,,,,1.021M,,531.70M,348.49M,,,1.021M,-1.764M,1.021M,347.75M,108.82M,238.93M,,,238.93M,238.93M,387.28M,,2013-03,0.85,,0.85,2013-03,0.84,,0.84,0.84,280.82M,284.62M,0.30,AOR,Restated
2012-12,1.504B,1.504B,418.39M,1.085B,558.80M,,,,0.266M,,558.80M,526.58M,,,0.266M,-1.505M,0.266M,525.34M,172.57M,352.76M,,,352.76M,352.76M,567.35M,,2012-12,1.25,,1.25,2012-12,1.23,,1.23,1.23,282.69M,286.22M,0.30,AOR,Restated
2012-09,1.161B,1.161B,316.18M,845.17M,513.45M,,,,0.036M,,513.45M,331.72M,,,0.036M,-2.072M,0.036M,329.68M,108.30M,221.38M,,,221.38M,221.38M,367.82M,,2012-09,0.78,,0.78,2012-09,0.77,,0.77,0.77,284.57M,288.50M,0.30,AOR,Restated
2012-06,1.155B,1.155B,317.04M,838.15M,486.52M,,,,0.365M,,486.52M,351.63M,,,0.365M,-1.886M,0.365M,350.11M,98.68M,251.43M,,,251.43M,251.43M,385.81M,,2012-06,0.87,,0.87,2012-06,0.86,,0.86,0.86,286.19M,291.66M,0.30,AOR,Restated
2012-03,1.109B,1.109B,290.91M,818.07M,480.58M,,,,0.257M,,480.58M,337.49M,,,0.257M,-1.929M,0.257M,335.82M,110.82M,225.00M,,,225.00M,225.00M,371.14M,,2012-03,0.78,,0.78,2012-03,0.77,,0.77,0.77,287.57M,293.50M,0.225,AOR,Restated
2011-12,1.449B,1.449B,403.44M,1.045B,544.31M,,,,-0.016M,,544.31M,500.90M,,,-0.016M,-1.755M,-0.016M,499.13M,151.64M,347.50M,,,347.50M,347.50M,533.93M,,2011-12,1.20,,1.20,2011-12,1.18,,1.18,1.18,289.81M,295.51M,0.225,AOR,Restated
2011-09,1.050B,1.050B,285.71M,764.65M,442.69M,-1.476M,,,0.114M,,442.69M,321.97M,,,0.114M,-1.476M,0.114M,320.60M,105.62M,214.98M,,,214.98M,215.97M,354.02M,,2011-09,0.74,0.00,0.7434,2011-09,0.73,0.00,0.7333,0.73,289.78M,296.07M,0.225,AOR,Restated
2011-06,1.032B,1.032B,291.14M,740.54M,428.45M,,,0.261M,0.261M,,428.45M,312.09M,0.261M,,0.261M,-1.668M,0.261M,310.68M,108.20M,202.48M,,,202.48M,202.48M,343.35M,,2011-06,0.70,,0.70,2011-06,0.68,,0.68,0.68,290.91M,298.46M,0.225,AOR,Restated
2011-03,950.71M,950.71M,259.05M,691.66M,437.82M,-1.134M,,0.292M,0.292M,,437.82M,253.84M,0.292M,,0.292M,-1.134M,0.292M,253.00M,66.98M,186.02M,,,186.02M,186.85M,284.21M,,2011-03,0.63,0.00,0.6328,2011-03,0.62,0.00,0.6228,0.62,294.84M,301.62M,0.15,AOR,Restated
2010-12,1.264B,1.264B,349.28M,915.18M,461.84M,-1.124M,,,0.23M,,461.84M,453.34M,,,0.23M,-1.124M,0.23M,452.44M,149.01M,303.43M,,,303.43M,304.18M,484.56M,,2010-12,1.02,0.00,1.023,2010-12,1.00,0.00,1.002,1.00,297.21M,304.66M,0.15,AOR,Restated
2010-09,911.67M,911.67M,235.50M,676.17M,390.51M,-0.81M,,0.248M,0.248M,,390.51M,285.66M,0.248M,,0.248M,-0.81M,0.248M,285.10M,96.22M,188.88M,,,188.88M,189.41M,317.91M,,2010-09,0.64,0.00,0.6418,2010-09,0.63,0.00,0.6318,0.63,296.30M,301.25M,0.15,AOR,Restated
2010-06,950.52M,950.52M,253.53M,697.00M,400.03M,0.00,,2.196M,2.196M,,400.03M,296.96M,2.196M,,2.196M,,2.196M,299.16M,103.63M,195.53M,,,195.53M,195.53M,329.70M,,2010-06,0.65,0.00,0.65,2010-06,0.64,0.00,0.64,0.64,301.45M,307.73M,0.15,AOR,Restated
2010-03,830.67M,830.67M,215.09M,615.58M,366.45M,0.00,,2.026M,2.026M,,366.45M,249.12M,2.026M,,2.026M,,2.026M,251.15M,93.51M,157.64M,,,157.64M,157.64M,281.70M,,2010-03,0.51,0.00,0.51,2010-03,0.50,0.00,0.50,0.50,309.25M,313.96M,0.075,AOR,Restated
2009-12,1.065B,1.065B,294.07M,770.94M,390.10M,0.00,,1.904M,1.904M,,390.10M,380.84M,1.904M,,1.904M,,1.904M,382.74M,141.79M,240.95M,,,240.95M,240.95M,408.89M,,2009-12,0.76,0.00,0.76,2009-12,0.75,0.00,0.75,0.75,317.46M,321.38M,0.075,AOR,Restated
2009-09,761.44M,761.44M,211.26M,550.18M,326.93M,0.00,,1.835M,1.835M,,326.93M,223.25M,1.835M,,1.835M,,1.835M,225.08M,84.26M,140.83M,,,140.83M,140.83M,256.63M,,2009-09,0.44,0.00,0.44,2009-09,0.44,0.00,0.44,0.44,318.29M,321.12M,0.075,AOR,Restated
2009-06,777.74M,777.74M,230.43M,547.32M,342.63M,,,,2.111M,,342.63M,204.69M,,,2.111M,,2.111M,206.80M,61.00M,145.79M,,,145.79M,145.79M,235.88M,,2009-06,0.46,0.00,0.46,2009-06,0.45,0.00,0.45,0.45,318.41M,321.17M,0.075,AOR,Restated
2009-03,739.94M,739.94M,214.88M,525.06M,339.69M,,,,-0.121M,,339.69M,185.38M,,,-0.121M,,-0.121M,185.26M,70.40M,114.86M,,,114.86M,114.86M,216.11M,,2009-03,0.36,0.00,0.36,2009-03,0.36,0.00,0.36,0.36,320.16M,321.36M,,AOR,Restated
2008-12,960.26M,960.26M,268.22M,692.04M,343.67M,,,,0.532M,,343.67M,348.36M,,,0.532M,,0.532M,348.90M,131.99M,216.91M,,,216.91M,216.91M,378.76M,,2008-12,0.67,0.00,0.67,2008-12,0.67,0.00,0.67,0.67,323.66M,325.17M,,,Restated
2008-09,752.53M,752.53M,194.34M,558.19M,324.71M,,,,,,324.71M,233.49M,,,,,,236.13M,90.32M,145.81M,,,145.81M,145.81M,264.18M,,2008-09,0.44,0.00,0.44,2008-09,0.44,0.00,0.44,0.44,331.86M,334.02M,,,
2008-06,781.50M,781.50M,188.21M,593.29M,344.68M,,,,,,344.68M,248.62M,,,,,,261.32M,47.80M,213.52M,0.00,,213.52M,213.52M,274.37M,,2008-06,0.62,0.00,0.62,2008-06,0.61,0.00,0.61,0.61,341.40M,344.84M,,,
2008-03,744.52M,744.52M,186.20M,558.32M,301.63M,,,,,,301.63M,256.69M,,,,,,266.24M,103.83M,162.41M,-0.004M,,162.41M,162.41M,282.50M,,2008-03,0.47,0.00,0.47,2008-03,0.46,0.00,0.46,0.46,348.12M,351.59M,,,
2007-12,978.02M,978.02M,240.74M,737.27M,334.21M,,,,,,334.21M,403.06M,,,,,,413.63M,161.31M,252.32M,,,252.32M,252.32M,427.47M,,2007-12,0.70,0.00,0.70,2007-12,0.69,0.00,0.69,0.69,362.17M,366.57M,,,
2007-09,676.72M,676.72M,158.50M,518.22M,279.46M,,,,,,279.46M,238.76M,,,,,,253.75M,98.97M,154.79M,0.02M,,154.81M,154.79M,263.49M,,2007-09,0.42,0.00,0.42,2007-09,0.41,0.00,0.41,0.41,372.19M,379.28M,,,
2007-06,652.13M,652.13M,142.85M,509.28M,263.88M,,,,,,263.88M,245.40M,,,,,,259.21M,99.81M,159.40M,1.209M,,160.61M,159.40M,266.73M,,2007-06,0.43,0.00,0.43,2007-06,0.42,0.00,0.42,0.42,371.53M,380.42M,,,
2007-03,625.30M,625.30M,138.89M,486.41M,259.78M,,,,,,259.78M,226.63M,,,,,,239.62M,92.22M,147.39M,2.574M,,149.96M,147.39M,247.25M,,2007-03,0.40,0.01,0.40,2007-03,0.39,0.01,0.39,0.40,370.26M,379.29M,,,
2006-12,805.60M,805.60M,184.31M,621.30M,280.58M,,,,,,280.58M,340.72M,,,,,,348.60M,134.11M,214.50M,12.98M,,227.47M,214.50M,360.81M,,2006-12,0.58,0.04,0.58,2006-12,0.57,0.03,0.57,0.61,368.14M,375.50M,,,
2006-09,529.42M,529.42M,123.42M,406.00M,225.35M,,,,,,225.35M,180.65M,,,,,,187.24M,72.00M,115.24M,10.38M,,125.62M,115.24M,199.49M,,2006-09,0.31,0.03,0.31,2006-09,0.31,0.03,0.31,0.34,368.17M,373.67M,,,
2006-06,501.57M,501.57M,108.05M,393.52M,221.35M,,,,,,221.35M,172.17M,,,,,,181.80M,69.00M,112.80M,4.847M,,117.64M,112.80M,189.25M,,2006-06,0.30,0.01,0.30,2006-06,0.29,0.01,0.29,0.30,374.55M,382.07M,,,
2006-03,479.72M,479.72M,103.52M,376.20M,222.52M,,,,,,222.52M,153.68M,,,,,,163.79M,62.12M,101.67M,7.174M,,108.85M,101.67M,170.08M,,2006-03,0.26,0.02,0.26,2006-03,0.26,0.02,0.26,0.28,383.74M,391.45M,,,
2005-12,650.34M,650.34M,145.66M,504.68M,230.73M,,,,,,230.73M,273.94M,,,,,,280.93M,106.76M,174.17M,,,174.17M,174.17M,291.58M,,2005-12,0.46,0.00,0.46,2005-12,0.45,0.00,0.45,0.45,380.84M,390.62M,,,
2005-09,448.95M,448.95M,107.59M,341.36M,196.25M,,,,,,196.25M,145.11M,,,,,,151.00M,57.38M,93.62M,,,93.62M,93.62M,159.10M,,2005-09,0.25,0.00,0.25,2005-09,0.24,0.00,0.24,0.24,379.55M,389.97M,,,
2005-06,359.94M,359.94M,78.20M,281.74M,190.46M,,,,,,190.46M,91.28M,,,,,,96.11M,28.12M,67.89M,,-0.107M,89.86M,67.89M,103.18M,,2005-06,0.18,0.0580,0.18,2005-06,0.17,0.0563,0.17,0.17,378.02M,389.52M,,,
2005-03,415.94M,415.94M,91.27M,324.67M,192.34M,,,,,,192.34M,132.34M,,,,,,137.28M,52.17M,80.87M,,-4.241M,80.87M,80.87M,145.03M,,2005-03,0.21,0.00,0.21,2005-03,0.21,0.00,0.21,0.21,379.70M,391.61M,,,
2004-12,531.76M,531.76M,128.79M,402.97M,191.48M,,,,,,191.48M,211.49M,,,,,,214.96M,81.68M,126.90M,,-6.372M,126.90M,126.90M,224.70M,,2004-12,0.33,0.00,0.33,2004-12,0.32,0.00,0.32,0.32,379.35M,390.51M,,,
2004-09,344.06M,344.06M,85.89M,258.17M,157.62M,,,,,100.00M,257.62M,0.557M,,,,,,103.07M,39.16M,60.98M,,-2.921M,60.98M,60.98M,13.16M,,2004-09,0.16,0.00,0.16,2004-09,0.16,0.00,0.16,0.16,377.98M,389.49M,,,
2004-06,338.14M,338.14M,78.63M,259.51M,187.41M,,,,,,187.41M,72.11M,,,,,,73.66M,26.94M,41.87M,,-4.851M,41.87M,41.87M,80.42M,,2004-06,0.06,,0.06,2004-06,0.06,,0.06,0.06,376.97M,389.35M,,,
2004-03,313.07M,313.07M,75.56M,237.52M,136.65M,,,,,,136.65M,100.87M,,,,,,101.64M,38.11M,58.31M,,-5.212M,58.31M,58.31M,114.13M,,2004-03,0.155,0.00,0.155,2004-03,0.15,0.00,0.15,0.15,374.01M,387.14M,,,
2003-12,411.51M,411.51M,106.37M,305.14M,144.44M,,,,,,144.44M,160.70M,,,,,,161.17M,60.44M,95.44M,,-5.287M,95.44M,95.44M,170.38M,,2003-12,0.26,0.00,0.26,2003-12,0.25,0.00,0.25,0.25,370.46M,383.97M,,,
2003-09,258.38M,258.38M,70.47M,187.91M,116.28M,,,,,,116.28M,71.62M,,,,,,72.03M,27.01M,42.33M,,-2.693M,42.33M,42.33M,80.47M,,2003-09,0.115,0.00,0.115,2003-09,0.11,0.00,0.11,0.11,367.18M,381.92M,,,
2003-06,231.52M,231.52M,61.96M,169.56M,118.75M,,,,,,118.75M,50.81M,,,,,,51.25M,18.96M,29.86M,,-2.422M,29.86M,29.86M,60.12M,,2003-06,0.0125,,0.0125,2003-06,0.0125,,0.0125,0.0125,363.82M,377.17M,,,
2003-03,220.40M,220.40M,60.59M,159.81M,107.06M,,,,,,107.06M,52.75M,,,,,,53.09M,19.64M,31.85M,,-1.594M,31.85M,31.85M,60.16M,,2003-03,0.0875,0.00,0.0875,2003-03,0.085,0.00,0.085,0.085,360.92M,372.98M,,,
2002-12,308.52M,308.52M,91.68M,216.84M,114.24M,,,,,,114.24M,102.60M,,,,,,102.71M,38.00M,62.43M,,-2.276M,62.43M,62.43M,109.63M,,2002-12,0.175,0.00,0.175,2002-12,0.17,0.00,0.17,0.17,355.91M,367.72M,,,
2002-09,192.79M,192.79M,61.57M,131.22M,93.62M,,,,,,93.62M,37.61M,,,,,,37.77M,13.98M,22.48M,,-1.316M,22.48M,22.48M,44.09M,,2002-09,0.0625,0.00,0.0625,2002-09,0.06,0.00,0.06,0.06,354.92M,367.97M,,,
2002-06,171.38M,171.38M,57.31M,114.07M,90.20M,1.094M,,,,,90.20M,23.87M,,,,1.094M,,25.20M,8.937M,17.31M,,1.039M,17.31M,16.60M,30.69M,,2002-06,0.0475,0.00,0.0455,2002-06,0.045,0.00,0.0431,0.045,356.30M,370.19M,,,
2002-03,161.57M,161.57M,50.46M,111.11M,87.38M,-4.467M,,,,,87.38M,23.73M,,,,-4.467M,,19.39M,6.883M,11.82M,,-0.689M,11.82M,14.70M,30.10M,,2002-03,0.0338,0.00,0.0419,2002-03,0.0325,0.00,0.0404,0.0325,353.70M,366.58M,,,
2001-12,235.75M,235.75M,74.13M,161.62M,91.68M,,,,,,91.68M,69.94M,,,,,,69.72M,24.75M,44.17M,,-0.802M,44.17M,44.17M,76.30M,,2001-12,0.1262,0.00,0.1262,2001-12,0.1238,0.00,0.1238,0.1238,349.52M,357.66M,,,
2001-09,150.70M,150.70M,54.13M,96.57M,77.10M,,,,,,77.10M,19.47M,,,,,,19.29M,6.753M,12.54M,,0.268M,12.54M,12.54M,25.40M,,2001-09,0.0362,0.00,0.0362,2001-09,0.035,0.00,0.035,0.035,349.26M,360.80M,,,
2001-06,136.77M,136.77M,65.85M,70.92M,71.81M,0.018M,,,,-0.018M,55.47M,15.46M,,,,0.018M,,15.14M,5.90M,9.242M,,,9.242M,9.231M,22.60M,,2001-06,0.0262,0.00,0.0262,2001-06,0.025,0.00,0.0250,0.025,333.34M,349.61M,,,
2001-03,130.60M,130.60M,39.95M,90.64M,72.96M,0.363M,,,,-0.363M,77.92M,12.73M,,,,0.363M,,12.30M,4.303M,7.993M,,,7.993M,7.757M,18.27M,,2001-03,0.0225,0.00,0.0218,2001-03,0.0225,0.00,0.0218,0.0225,348.10M,363.08M,,,
2000-12,214.16M,214.16M,68.54M,145.62M,78.30M,,,,,,83.90M,61.71M,,,,,,60.31M,21.11M,39.20M,,,39.20M,39.20M,67.54M,,2000-12,0.1125,0.00,0.1125,2000-12,0.11,0.00,0.11,0.11,348.10M,356.10M,,,
2000-09,134.55M,134.55M,44.17M,90.38M,68.25M,-4.95M,,,,,73.64M,16.74M,,,,-4.95M,,11.68M,4.088M,7.591M,,,7.591M,10.81M,22.36M,,2000-09,0.0212,0.00,0.0305,2000-09,0.0212,0.00,0.0305,0.0212,348.10M,349.36M,,,
