,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,EndingCash(Quarterly),BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2016-12,199.70M,,,,,,47.90M,47.90M,7.90M,,20.20M,0.70M,11.60M,-35.70M,59.20M,45.40M,-7.70M,,16.90M,78.10M,366.20M,2016-12,-51.50M,,-54.10M,2.60M,126.00M,-30.30M,,44.20M,2016-12,0.00,,0.00,,,,-94.50M,-94.50M,6.00M,-1.10M,-89.60M,2016-12,1.00B,320.80M,-11.10M,,2016-12,,0.00,0.00,,64.30M,,2016-12,AOR,Restated
2016-09,117.40M,,,,,,52.30M,52.30M,4.80M,,16.00M,-0.40M,6.40M,0.60M,-86.10M,-122.30M,-12.90M,,-13.90M,-234.60M,-38.10M,2016-09,-74.40M,,-67.60M,-6.80M,0.00,630.00M,,555.60M,2016-09,-285.00M,,-285.00M,,,,-94.00M,-94.00M,20.70M,-19.10M,-377.40M,2016-09,859.00M,140.10M,0.90M,,2016-09,,0.00,-285.00M,,75.10M,,2016-09,AOR,Restated
2016-06,81.50M,,,,,,54.00M,54.00M,-69.70M,,21.10M,-1.30M,-0.60M,18.90M,19.60M,69.00M,-18.70M,,74.10M,162.90M,249.40M,2016-06,-120.60M,,-120.00M,-0.60M,-47.80M,33.30M,,-135.10M,2016-06,-7.50M,,-7.50M,,,,-93.80M,-93.80M,20.30M,0.70M,-80.30M,2016-06,821.60M,34.00M,3.40M,,2016-06,,,-7.50M,,34.20M,,2016-06,AOR,Restated
2016-03,112.50M,,,,,,49.50M,49.50M,8.70M,,21.20M,0.70M,-0.40M,40.70M,-17.80M,37.70M,-39.70M,,-16.00M,4.90M,199.20M,2016-03,-109.20M,,-100.90M,-8.30M,-31.50M,11.50M,,-129.20M,2016-03,-3.80M,,-3.80M,,,,-93.70M,-93.70M,4.10M,-2.30M,-95.70M,2016-03,843.80M,-25.70M,3.50M,,2016-03,,,-3.80M,,63.90M,,2016-03,AOR,Restated
2015-12,170.10M,,,,,,52.70M,52.70M,-11.50M,,21.60M,1.40M,3.20M,-58.60M,134.40M,-53.00M,52.10M,,-10.80M,64.10M,302.00M,2015-12,-106.00M,,-106.00M,0.00,-35.20M,-184.10M,,-325.30M,2015-12,-3.70M,,-3.70M,,,,-93.70M,-93.70M,1.80M,-2.60M,-98.20M,2015-12,966.00M,-121.50M,-0.70M,,2015-12,,,-3.70M,,58.90M,,2015-12,AOR,Restated
2015-09,96.40M,,,,,,54.40M,54.40M,20.20M,,22.90M,8.20M,0.80M,-29.30M,-95.50M,-72.00M,,,2.20M,-194.60M,8.00M,2015-09,-69.50M,,-69.50M,0.00,-51.40M,-99.50M,,-220.40M,2015-09,0.00,,0.00,,,,-93.30M,-93.30M,2.90M,-20.30M,-110.70M,2015-09,1.292B,-323.10M,-2.70M,,2015-09,,,0.00,,1.90M,,2015-09,AOR,Restated
2015-06,11.70M,-38.90M,,-38.90M,,,54.60M,54.60M,4.80M,,21.90M,0.90M,62.90M,10.30M,-2.20M,90.30M,,,-29.90M,68.50M,186.60M,2015-06,-73.70M,,-74.80M,1.10M,-561.30M,40.30M,,-594.70M,2015-06,0.00,,0.00,,,,-93.20M,-93.20M,14.80M,-1.60M,-80.00M,2015-06,1.782B,-488.10M,-2.10M,,2015-06,,0.00,0.00,,47.00M,,2015-06,AOR,Restated
2015-03,88.10M,11.20M,,11.20M,,,47.40M,47.40M,-1.90M,,22.70M,-0.10M,4.80M,32.10M,-17.30M,-2.20M,,,-18.60M,-6.00M,167.20M,2015-03,-56.50M,,-44.90M,-11.60M,-32.60M,84.00M,,-5.10M,2015-03,756.20M,120.50M,876.70M,,,,-93.00M,-93.00M,9.30M,-9.00M,784.00M,2015-03,836.30M,946.10M,-0.40M,,2015-03,,1.007B,-130.00M,,65.50M,,2015-03,AOR,Restated
2014-12,183.50M,8.80M,,8.80M,,,46.50M,46.50M,-3.40M,,22.40M,3.20M,-6.10M,-28.00M,141.40M,45.70M,,,30.40M,189.50M,444.70M,2014-12,-39.20M,,-39.20M,,-35.90M,56.00M,,-19.10M,2014-12,,-150.00M,-150.00M,,,,-93.00M,-93.00M,3.40M,-3.60M,-243.20M,2014-12,660.90M,182.40M,-7.00M,,2014-12,,130.00M,-280.00M,,57.20M,,2014-12,AOR,Restated
2014-09,119.10M,18.90M,,18.90M,,,43.30M,43.30M,22.00M,,21.90M,1.60M,-5.10M,-14.10M,-92.70M,-6.20M,,,30.00M,-83.00M,138.90M,2014-09,-40.40M,,-40.40M,,-28.90M,75.30M,,6.00M,2014-09,,29.50M,29.50M,,,,-92.60M,-92.60M,9.00M,-17.40M,-71.50M,2014-09,591.90M,73.40M,-4.40M,,2014-09,,100.00M,-70.50M,,10.60M,,2014-09,AOR,Restated
2014-06,75.20M,0.90M,,0.90M,,,51.30M,51.30M,-51.10M,,26.30M,-11.00M,110.90M,0.20M,-8.60M,137.20M,,15.40M,-31.00M,113.20M,316.10M,2014-06,-62.00M,,-62.00M,0.00,-26.10M,54.30M,,-33.80M,2014-06,0.00,-70.00M,-70.00M,,0.00,0.00,-92.80M,-92.80M,3.60M,4.30M,-154.90M,2014-06,463.50M,127.40M,1.00M,,2014-06,,90.00M,-160.00M,0.00,68.10M,,2014-06,AOR,Restated
2014-03,190.80M,0.00,,0.00,,,45.20M,45.20M,1.00M,,25.80M,2.20M,9.90M,31.40M,-34.50M,-155.80M,,-15.40M,3.60M,-170.70M,104.80M,2014-03,-50.90M,,-50.90M,0.00,-21.60M,-77.90M,-0.50M,-150.90M,2014-03,0.50M,209.50M,210.00M,,-175.00M,-175.00M,-93.90M,-93.90M,5.70M,-3.90M,-57.10M,2014-03,568.20M,-103.20M,-1.50M,,2014-03,,210.00M,0.00,-175.00M,187.70M,,2014-03,AOR,Restated
2013-12,297.40M,0.00,,0.00,,,47.90M,47.90M,10.90M,,25.50M,-1.80M,-4.00M,-54.70M,83.80M,3.20M,,,-8.20M,24.10M,400.40M,2013-12,-60.80M,,-60.80M,,-23.10M,-207.70M,0.00,-291.60M,2013-12,-0.50M,,-0.50M,,-174.90M,-174.90M,-94.80M,-94.80M,14.80M,0.80M,-254.60M,2013-12,714.60M,-145.80M,-0.60M,,2013-12,,150.00M,-150.50M,-174.90M,104.00M,,2013-12,AOR,Restated
2013-09,217.90M,-0.90M,,-0.90M,,,45.00M,45.00M,16.40M,,17.50M,-0.90M,-2.10M,-0.60M,-104.80M,-0.70M,,,-22.90M,-129.00M,164.10M,2013-09,-45.90M,,-45.90M,,-20.20M,-165.80M,0.50M,-231.40M,2013-09,0.00,,0.00,,-175.00M,-175.00M,-95.00M,-95.00M,24.50M,-36.00M,-281.50M,2013-09,1.063B,-348.80M,0.60M,,2013-09,,0.00,0.00,-175.00M,24.40M,,2013-09,AOR,Restated
2013-06,221.32M,,,,,,47.33M,47.33M,0.905M,,31.29M,-15.02M,-17.24M,-3.658M,-29.23M,104.00M,-8.236M,,17.32M,80.20M,374.59M,2013-06,-81.47M,,-81.47M,,-93.86M,-20.61M,-0.012M,-195.95M,2013-06,-21.55M,,-21.55M,,0.00,0.00,0.024M,0.024M,20.87M,9.007M,8.352M,2013-06,876.36M,187.00M,-0.539M,,2013-06,,0.00,-21.55M,0.00,,,2013-06,AOR,Restated
2013-03,238.93M,,,,,,38.78M,38.78M,-12.07M,,30.18M,-0.951M,13.01M,42.63M,-35.64M,-125.03M,29.18M,,-10.09M,-98.94M,209.40M,2013-03,-42.83M,,-42.83M,,-7.893M,-50.77M,-4.601M,-106.10M,2013-03,-0.103M,,-0.103M,,0.00,0.00,-84.27M,-84.27M,5.006M,-1.109M,-80.48M,2013-03,858.66M,22.82M,-5.121M,,2013-03,,0.00,-0.103M,0.00,,,2013-03,AOR,Restated
2012-12,352.76M,,,,,,40.78M,40.78M,-3.196M,,30.49M,-5.337M,1.508M,-48.90M,97.80M,151.38M,2.346M,,7.713M,210.34M,627.84M,2012-12,-60.81M,,-60.81M,,0.00,-99.42M,-6.487M,-166.72M,2012-12,-0.554M,,-0.554M,,-225.00M,-225.00M,-169.69M,-169.69M,31.22M,4.728M,-359.29M,2012-12,760.76M,101.83M,-3.925M,,2012-12,,0.00,-0.554M,-225.00M,,,2012-12,AOR,Restated
2012-09,221.38M,,,,,,36.10M,36.10M,7.858M,,28.53M,-5.491M,3.921M,-4.277M,-71.52M,-1.062M,-23.29M,,11.55M,-88.60M,202.17M,2012-09,-56.29M,,-56.29M,,-45.44M,0.00,,-101.73M,2012-09,-0.096M,,-0.096M,,-175.00M,-175.00M,-85.77M,-85.77M,23.30M,-20.13M,-257.68M,2012-09,917.22M,-157.24M,0.785M,,2012-09,,,-0.096M,-175.00M,,,2012-09,AOR,Restated
2012-06,251.43M,,,,,,34.18M,34.18M,28.32M,,28.42M,-15.77M,-6.562M,-0.321M,-7.405M,38.62M,-16.89M,,-48.44M,-34.44M,282.82M,2012-06,-72.73M,,-72.73M,,0.00,0.00,-13.90M,-86.63M,2012-06,-0.094M,,-0.094M,,-169.00M,-169.00M,-64.70M,-64.70M,8.167M,14.36M,-211.27M,2012-06,929.67M,-15.08M,2.627M,,2012-06,,,-0.094M,-169.00M,,,2012-06,AOR,Restated
2012-03,225.00M,,,,,,33.65M,33.65M,-24.96M,,27.49M,-30.58M,-2.414M,44.58M,-48.23M,-135.20M,6.59M,0.103M,8.052M,-124.11M,102.80M,2012-03,-41.39M,,-41.39M,,-45.64M,0.00,-3.418M,-90.45M,2012-03,-0.516M,,-0.516M,,-172.00M,-172.00M,-65.01M,-65.01M,52.89M,23.50M,-161.14M,2012-03,1.086B,-148.79M,-7.133M,,2012-03,,,-0.516M,-172.00M,,,2012-03,AOR,Restated
2011-12,347.50M,,,,,,65.08M,33.03M,-10.08M,,26.99M,-6.738M,7.827M,-60.00M,85.97M,191.37M,10.30M,-0.103M,-16.51M,211.03M,611.10M,2011-12,-39.29M,,-39.29M,,0.00,2.256M,-6.819M,-43.85M,2011-12,-0.094M,,-0.094M,,-300.00M,-300.00M,-130.56M,-65.31M,124.01M,-85.57M,-326.96M,2011-12,845.72M,240.29M,-0.411M,,2011-12,,,-0.094M,-300.00M,,,2011-12,AOR,Restated
2011-09,214.98M,,,,,,,32.05M,34.29M,,24.61M,-14.97M,1.366M,-10.82M,-102.02M,25.88M,,,16.51M,-70.45M,224.97M,2011-09,-30.90M,,-30.90M,,-7.595M,,,-38.49M,2011-09,-0.091M,,-0.091M,,-59.00M,-59.00M,,-65.25M,,81.84M,-42.51M,2011-09,699.78M,143.97M,1.968M,,2011-09,,,-0.091M,-59.00M,,,2011-09,AOR,Restated
2011-06,202.48M,,,,,,31.26M,31.26M,27.95M,,24.46M,-17.89M,9.131M,-7.756M,-32.83M,26.06M,,,1.476M,-55.23M,220.65M,2011-06,-56.77M,,-56.77M,,-9.559M,79.09M,,12.77M,2011-06,-0.09M,,-0.09M,,-380.56M,-380.56M,,-44.23M,77.12M,-0.699M,-348.46M,2011-06,812.74M,-115.04M,2.086M,,2011-06,,,-0.09M,-380.56M,,,2011-06,AOR,Restated
2011-03,186.02M,,,,,,30.37M,30.37M,-3.488M,,24.04M,-2.262M,11.46M,45.95M,-31.21M,5.375M,,,-39.14M,-19.02M,227.41M,2011-03,-41.78M,,-41.78M,,0.00,78.18M,,36.40M,2011-03,-27.21M,,-27.21M,-257.94M,-192.44M,-450.38M,,-44.83M,285.04M,2.262M,-235.12M,2011-03,784.23M,28.69M,-0.179M,,2011-03,-257.94M,-27.12M,-0.094M,-192.44M,,,2011-03,AOR,Restated
2010-12,303.43M,,,,,,31.23M,31.23M,5.364M,,24.98M,-35.43M,-6.389M,-46.28M,97.00M,18.89M,,,13.74M,83.35M,407.76M,2010-12,-26.12M,,-26.12M,,0.00,-68.16M,,-94.28M,2010-12,26.64M,,26.64M,257.94M,-387.50M,-129.56M,,-44.28M,-39.48M,35.43M,-151.25M,2010-12,621.37M,162.23M,0.63M,,2010-12,257.94M,27.12M,-0.476M,-387.50M,,,2010-12,AOR,Restated
2010-09,188.88M,,,,,,32.25M,32.25M,9.896M,,22.34M,-2.587M,-4.408M,-23.75M,-97.68M,13.16M,,,37.34M,-70.93M,177.46M,2010-09,-23.08M,,-23.08M,,0.00,8.56M,,-14.52M,2010-09,-0.086M,,-0.086M,,-137.50M,-137.50M,,-44.77M,39.48M,2.587M,-140.30M,2010-09,596.47M,22.64M,2.261M,,2010-09,,,-0.086M,-137.50M,,,2010-09,AOR,Restated
2010-06,195.53M,,,,,,32.73M,32.73M,12.93M,,22.48M,-8.342M,-7.25M,13.31M,-55.60M,-57.51M,,,34.98M,-64.82M,181.52M,2010-06,-29.50M,,-29.50M,,0.00,104.95M,,75.45M,2010-06,7.411M,,-0.085M,,-450.00M,-450.00M,,-22.87M,106.33M,0.028M,-366.59M,2010-06,702.78M,-109.61M,3.306M,,2010-06,,,-0.085M,-450.00M,,,2010-06,AOR,Restated
2010-03,157.64M,,,,,,32.58M,32.58M,-15.60M,,20.05M,-0.28M,4.639M,60.62M,-37.82M,-20.54M,,,4.241M,6.509M,205.12M,2010-03,-14.72M,,-14.72M,,0.00,-204.88M,,-219.60M,2010-03,-0.09M,,-0.09M,,-400.00M,-400.00M,,-23.73M,39.56M,0.28M,-383.98M,2010-03,1.103B,-398.46M,-1.938M,,2010-03,,,-0.09M,-400.00M,,,2010-03,AOR,Restated
2009-12,240.95M,,,,,,28.05M,28.05M,-5.417M,,19.92M,-18.63M,-2.587M,-74.83M,65.88M,88.41M,,,21.35M,100.80M,363.70M,2009-12,-16.86M,,-16.86M,,-1.20M,0.00,,-18.06M,2009-12,-0.057M,,-0.057M,,-300.00M,-300.00M,,-23.88M,68.41M,18.63M,-236.89M,2009-12,994.68M,108.74M,-0.241M,,2009-12,,,-0.057M,-300.00M,,,2009-12,AOR,Restated
2009-09,140.83M,,,,,,33.38M,33.38M,-9.047M,,18.97M,-0.362M,-5.251M,5.238M,-6.331M,58.72M,,,3.547M,61.18M,240.54M,2009-09,-20.03M,,-20.03M,,0.00,0.00,,-20.03M,2009-09,-7.943M,,-7.943M,,,,,-23.84M,-1.01M,0.362M,-32.43M,2009-09,800.36M,188.07M,6.247M,,2009-09,,,-7.943M,,,,2009-09,AOR,Restated
2009-06,145.79M,,,-7.195M,,,31.19M,31.19M,13.00M,,17.89M,2.028M,9.073M,21.12M,37.68M,-22.29M,,,21.90M,58.42M,270.20M,2009-06,-25.57M,,-25.57M,,-9.893M,,,-35.46M,2009-06,0.00,5.60M,5.60M,,0.00,0.00,,,,-3.731M,9.232M,2009-06,551.27M,243.97M,5.129M,,2009-06,,-1.896M,0.00,0.00,,,2009-06,AOR,Restated
2009-03,114.86M,,,3.593M,,,30.73M,30.73M,16.33M,,17.68M,0.197M,-1.945M,59.77M,20.64M,-61.43M,,,6.515M,25.50M,206.94M,2009-03,-26.57M,,-26.57M,,0.00,0.00,,-26.57M,2009-03,0.00,0.00,0.00,,-50.00M,-50.00M,,0.00,,-0.61M,-50.61M,2009-03,424.15M,129.76M,-2.648M,,2009-03,,0.00,0.00,-50.00M,,,2009-03,AOR,Restated
2008-12,216.91M,,,4.534M,,,30.40M,30.40M,-4.89M,,31.97M,-1.354M,-8.827M,-26.55M,24.16M,25.67M,,-37.68M,1.182M,-13.21M,255.53M,2008-12,-142.64M,,-142.64M,,-5.981M,,12.80M,-135.82M,2008-12,-0.285M,1.896M,1.896M,,-103.35M,-103.35M,,0.00,,1.827M,-99.63M,2008-12,409.51M,20.08M,-5.442M,,2008-12,,1.896M,-0.285M,-103.35M,,,2008-12,,Restated
2008-09,145.81M,,,-0.932M,,,30.69M,30.69M,-10.78M,,,,12.76M,-51.03M,-78.42M,-11.06M,,37.68M,1.766M,-101.07M,76.48M,2008-09,-45.55M,,-45.55M,,-8.526M,,-12.80M,-66.88M,2008-09,,,-0.285M,,-300.44M,-300.44M,,,,1.643M,-299.08M,2008-09,698.90M,-289.47M,0.078M,,2008-09,,,,-300.44M,,,2008-09,,
2008-06,213.52M,,,,,,25.76M,25.76M,19.97M,,,,25.87M,37.67M,-38.31M,74.20M,,14.81M,-50.44M,37.92M,323.04M,2008-06,-54.94M,,-54.94M,,,0.00,,-54.94M,2008-06,,,-9.563M,2.336M,-170.00M,-167.66M,,,,1.716M,-175.51M,2008-06,608.20M,92.59M,-1.882M,,2008-06,2.336M,,,-170.00M,,,2008-06,,
2008-03,162.41M,,,,,,25.81M,25.81M,-8.21M,,,,2.647M,1.183M,4.643M,-18.93M,,-51.50M,-32.63M,-97.24M,85.42M,2008-03,-33.28M,,-33.28M,,,12.50M,,-20.78M,2008-03,,,-3.999M,1.53M,-327.44M,-325.92M,,,,0.723M,-329.19M,2008-03,870.25M,-264.55M,2.501M,,2008-03,1.53M,,,-327.44M,,,2008-03,,
2007-12,252.32M,,,-6.126M,,,24.41M,24.41M,-30.90M,,,,24.89M,12.46M,73.44M,-20.98M,,44.06M,16.09M,125.08M,389.66M,2007-12,-47.78M,,-47.78M,,,427.60M,,379.82M,2007-12,,,13.56M,4.835M,-706.87M,-702.04M,,,,-0.109M,-688.58M,2007-12,786.56M,80.90M,2.79M,,2007-12,4.835M,,,-706.87M,,,2007-12,,
2007-09,154.81M,,,6.126M,,,24.73M,24.73M,2.238M,,,,-2.545M,-43.10M,-71.86M,-13.87M,,67.74M,0.981M,-60.11M,125.24M,2007-09,-38.72M,,-38.72M,,,180.06M,,141.34M,2007-09,,,-0.235M,74.62M,-132.28M,-57.66M,,,,20.92M,-36.98M,2007-09,556.96M,229.60M,,,2007-09,74.62M,,,-132.28M,,,2007-09,,
2007-06,160.61M,,,,,,21.33M,21.33M,12.47M,,,,-5.389M,18.60M,-38.86M,46.50M,,38.72M,7.749M,72.71M,256.36M,2007-06,-42.48M,0.123M,-42.36M,,,85.00M,,42.64M,2007-06,,,0.00,15.20M,0.00,15.20M,,,,20.20M,35.40M,2007-06,222.32M,334.40M,0.244M,,2007-06,15.20M,,,0.00,,,2007-06,,
