,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,Liabilities(Quarterly),AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2015-09,966.00M,310.20M,1.276B,246.90M,246.90M,,,,574.70M,85.20M,79.40M,89.20M,2.352B,,,,,,,,,,727.40M,436.30M,354.00M,790.30M,480.40M,,204.70M,2.203B,2015-09,215.70M,,,215.70M,520.30M,736.00M,,0.00,15.50M,15.50M,,15.50M,-0.50M,751.00M,875.60M,,875.60M,,,,,2.081B,,2015-09,2.80M,-186.80M,,-103.10M,2.474B,,2015-09,AOR,Restated
2015-06,1.292B,234.00M,1.526B,219.50M,219.50M,,,,485.10M,73.10M,98.40M,104.60M,2.506B,0.00,168.50M,,675.60M,,78.80M,650.70M,1.574B,-841.00M,732.60M,434.20M,360.00M,794.20M,406.00M,115.80M,111.90M,2.160B,2015-06,222.80M,93.30M,,316.10M,507.30M,823.40M,,,11.30M,11.30M,,11.30M,,834.70M,879.10M,,879.10M,60.00M,,182.40M,,2.177B,,2015-06,2.80M,-189.60M,,-77.70M,2.490B,,2015-06,AOR,Restated
2015-03,1.782B,239.20M,2.021B,196.90M,196.90M,,,,456.90M,,94.00M,129.00M,2.898B,,,,,,,,,,668.40M,315.60M,,315.60M,399.70M,,231.00M,1.615B,2015-03,165.30M,,,165.30M,518.20M,683.50M,,0.00,7.50M,7.50M,,7.50M,,691.00M,889.20M,,889.20M,,,,,1.972B,,2015-03,2.80M,-107.90M,,-74.30M,2.540B,,2015-03,AOR,Restated
2014-12,836.30M,228.60M,1.065B,228.50M,228.50M,,,,447.20M,,99.20M,107.60M,1.947B,,,,,,,,,,684.00M,315.50M,,315.50M,464.60M,,205.70M,1.670B,2014-12,160.50M,,,160.50M,534.90M,695.40M,,,,20.00M,,20.00M,,715.40M,,,,,,,,1.099B,,2014-12,2.80M,-102.90M,,-70.30M,2.518B,,2014-12,AOR,Restated
2014-09,660.90M,246.60M,907.50M,209.00M,209.00M,,,,597.40M,,88.90M,136.00M,1.939B,,,,,,,,,,701.20M,339.40M,,339.40M,467.70M,,223.90M,1.732B,2014-09,173.70M,,,173.70M,473.80M,647.50M,,,,170.00M,,170.00M,,817.50M,,,,,,,,1.231B,,2014-09,2.80M,-193.30M,,-35.60M,2.440B,,2014-09,AOR,Restated
2014-06,591.90M,276.70M,868.60M,198.60M,198.60M,,,,526.20M,45.50M,112.60M,103.70M,1.855B,0.00,168.60M,,579.30M,,85.10M,648.60M,1.482B,-767.70M,713.90M,361.40M,9.80M,371.20M,484.50M,111.60M,126.70M,1.808B,2014-06,153.90M,92.60M,,246.50M,426.10M,672.60M,,140.00M,0.50M,140.50M,,140.50M,,813.10M,,,,59.70M,,194.90M,,1.242B,,2014-06,2.70M,-219.50M,,-8.70M,2.421B,,2014-06,AOR,Restated
2014-03,463.46M,311.44M,774.90M,197.74M,197.74M,,,,583.74M,,74.08M,159.61M,1.790B,,,,,,,,,,742.02M,363.42M,,363.42M,479.30M,,205.80M,1.791B,2014-03,109.80M,,,109.80M,467.66M,577.46M,,,,210.48M,,210.48M,,787.95M,,,,,,,,1.191B,,2014-03,2.742M,-202.15M,,-16.30M,2.389B,,2014-03,AOR,Restated
2013-12,568.23M,230.61M,798.84M,228.63M,228.63M,,,,553.03M,,,207.18M,1.788B,,,,,,,,,,748.34M,357.85M,,357.85M,456.17M,61.70M,132.08M,1.756B,2013-12,135.13M,,,135.13M,567.28M,702.41M,,,,0.485M,,0.485M,,702.90M,,,,,,,,1.113B,,2013-12,2.776M,-125.16M,,-24.23M,2.431B,,2013-12,AOR,Restated
2013-09,714.62M,140.13M,854.74M,177.98M,177.98M,,,,637.21M,46.23M,109.15M,46.76M,1.872B,,,,,,,,,,720.89M,372.88M,,372.88M,316.64M,,204.92M,1.615B,2013-09,164.84M,,,164.84M,542.08M,706.93M,,,,0.50M,,0.50M,,707.43M,0.485M,,0.485M,,,,,1.109B,,2013-09,2.804M,-153.76M,,-6.765M,2.379B,,2013-09,AOR,Restated
2013-06,1.063B,72.11M,1.135B,175.48M,175.48M,,,,524.71M,37.96M,111.12M,86.80M,2.071B,0.00,168.55M,,597.75M,,67.66M,632.55M,1.467B,-771.74M,694.77M,345.04M,9.788M,354.83M,197.34M,84.84M,129.17M,1.461B,2013-06,178.86M,95.00M,,273.86M,448.16M,722.01M,,,,0.50M,,0.50M,,722.51M,0.485M,,0.485M,52.22M,,169.73M,,1.123B,,2013-06,2.819M,-101.88M,,-12.25M,2.409B,,2013-06,AOR,Restated
2013-03,876.36M,52.14M,928.50M,177.14M,177.14M,,,,515.92M,,,272.64M,1.894B,,,,,,,,,,686.60M,359.68M,,359.68M,103.66M,,228.00M,1.378B,2013-03,137.14M,,,137.14M,455.25M,592.39M,,,,22.12M,,22.12M,,614.51M,0.485M,,0.485M,,,,,1.028B,,2013-03,2.809M,-228.23M,,10.13M,2.244B,,2013-03,AOR,Restated
2012-12,858.66M,,858.66M,223.04M,223.04M,,,,493.66M,,,273.01M,1.848B,,,,,,,,,,701.27M,386.70M,,386.70M,99.73M,,243.36M,1.431B,2012-12,152.57M,,,152.57M,594.14M,746.71M,,,,22.22M,,22.22M,,768.94M,0.485M,,0.485M,,,,,1.197B,,2012-12,2.806M,-382.89M,,37.23M,2.082B,,2012-12,AOR,Restated
2012-09,760.76M,0.00,760.76M,178.31M,178.31M,,,,598.13M,,,231.40M,1.769B,,,,,,,,,,687.48M,416.46M,9.788M,426.24M,,,269.07M,1.383B,2012-09,133.00M,,,133.00M,575.63M,708.62M,,,,22.28M,,22.28M,,730.90M,0.985M,,0.985M,,,,,1.157B,,2012-09,2.836M,-426.18M,,58.68M,1.994B,,2012-09,AOR,Restated
2012-06,917.22M,0.00,917.22M,174.46M,174.46M,,,,504.49M,39.36M,95.42M,73.58M,1.805B,0.00,168.55M,,524.95M,,19.77M,618.58M,1.332B,-687.41M,644.45M,376.04M,9.788M,385.82M,6.00M,95.22M,168.30M,1.300B,2012-06,155.39M,85.80M,,241.18M,454.60M,695.78M,,,,22.38M,,22.38M,,718.16M,0.985M,,0.985M,22.52M,,138.82M,,1.111B,,2012-06,2.851M,-387.45M,,50.48M,1.993B,,2012-06,AOR,Restated
2012-03,929.67M,0.00,929.67M,169.47M,169.47M,,,,475.36M,,,185.05M,1.760B,,,,,,,,,,602.68M,364.69M,9.788M,374.48M,,,248.16M,1.225B,2012-03,107.39M,,,107.39M,514.99M,622.39M,,,,0.847M,,0.847M,,623.23M,22.61M,,22.61M,,,,,1.046B,,2012-03,2.874M,-384.14M,,44.06M,1.939B,,2012-03,AOR,Restated
2011-12,1.086B,0.00,1.086B,212.04M,212.04M,,,,429.03M,,,169.34M,1.896B,,,,,,,,,,595.83M,351.99M,9.788M,361.78M,,,247.27M,1.205B,2011-12,136.73M,,,136.73M,673.46M,810.19M,,,,0.804M,,0.804M,,811.00M,23.16M,,23.16M,,,,,1.232B,,2011-12,2.875M,-372.44M,,66.04M,1.869B,,2011-12,AOR,Restated
2011-09,845.72M,2.256M,847.98M,153.06M,153.06M,,,,519.59M,,,168.53M,1.689B,,,,,,,,,,586.91M,351.98M,9.788M,361.77M,,,240.25M,1.189B,2011-09,144.24M,,,144.24M,486.33M,630.57M,,,,0.80M,,0.80M,,631.37M,23.26M,,23.26M,,,,,1.062B,,2011-09,2.914M,-354.97M,,61.73M,1.817B,,2011-09,AOR,Restated
2011-06,699.78M,2.256M,702.04M,142.90M,142.90M,,,,421.83M,38.20M,93.90M,53.52M,1.452B,0.00,168.55M,,426.89M,,17.57M,552.86M,1.166B,-583.51M,582.35M,331.00M,9.788M,340.79M,,103.66M,155.93M,1.183B,2011-06,118.61M,65.26M,,183.87M,230.94M,414.81M,,,,0.795M,,0.795M,,593.02M,23.36M,,23.36M,,162.57M,162.57M,,1.023B,,2011-06,2.886M,-445.65M,,54.91M,1.613B,,2011-06,AOR,Restated
2011-03,812.74M,73.42M,886.16M,131.73M,131.73M,,,,391.44M,,,153.07M,1.562B,,,,,,,,,,552.84M,319.04M,9.788M,328.82M,,,277.80M,1.159B,2011-03,92.63M,,,92.63M,456.61M,549.24M,,,,0.791M,,0.791M,,550.03M,23.45M,,23.45M,,,,,979.21M,,2011-03,2.933M,-202.38M,,42.55M,1.743B,,2011-03,AOR,Restated
2010-12,784.23M,155.60M,939.83M,180.58M,180.58M,,,,367.41M,,,134.80M,1.623B,,,,,,,,,,541.47M,330.03M,9.788M,339.82M,,,290.76M,1.172B,2010-12,103.88M,,,103.88M,461.49M,565.36M,,27.12M,0.79M,27.91M,,27.91M,,593.27M,23.55M,,23.55M,,,,,1.056B,,2010-12,2.958M,-151.76M,,41.10M,1.738B,,2010-12,AOR,Restated
2010-09,621.37M,90.59M,711.96M,133.17M,133.17M,,,,458.92M,,,121.19M,1.425B,,,,,,,,,,546.25M,321.67M,,321.67M,,,316.66M,1.185B,2010-09,105.45M,,,105.45M,463.45M,568.90M,,,,0.75M,,0.75M,,569.65M,24.06M,,24.06M,,,,,1.027B,,2010-09,2.957M,-22.94M,,35.29M,1.583B,,2010-09,AOR,Restated
2010-06,596.47M,99.93M,696.40M,109.07M,109.07M,,,,363.28M,30.38M,77.36M,26.16M,1.303B,0.00,154.87M,,363.90M,,15.70M,499.12M,1.034B,-485.12M,548.47M,305.86M,9.788M,315.65M,6.00M,156.46M,137.89M,1.164B,2010-06,105.57M,,,105.57M,422.72M,528.29M,,,,0.742M,,0.742M,,529.04M,24.16M,,24.16M,,,,,961.82M,,2010-06,2.969M,-30.05M,,29.40M,1.505B,,2010-06,AOR,Restated
2010-03,702.78M,204.88M,907.66M,118.15M,118.15M,,,,306.67M,,76.87M,100.74M,1.510B,,,,,,,,,,544.36M,291.03M,,291.03M,6.00M,,290.51M,1.132B,2010-03,111.19M,,,111.19M,439.30M,550.50M,,,,0.742M,,0.742M,,551.24M,24.24M,,24.24M,,,,,978.59M,,2010-03,3.042M,269.08M,,17.09M,1.663B,,2010-03,AOR,Restated
2009-12,1.103B,,1.103B,,178.85M,,,,269.20M,,66.23M,98.94M,1.716B,,,,,,,,,,564.48M,293.91M,,293.91M,6.00M,,288.34M,1.153B,2009-12,120.17M,,,120.17M,457.56M,577.72M,,,,0.737M,,0.737M,,578.46M,24.34M,,24.34M,,,,,1.004B,,2009-12,3.14M,534.20M,,13.92M,1.866B,,2009-12,AOR,Restated
2009-09,994.68M,,994.68M,105.12M,105.12M,,,,337.54M,,,173.13M,1.610B,,,,,,,,,,582.23M,299.23M,9.788M,309.02M,6.00M,161.28M,125.62M,1.184B,2009-09,94.20M,,,94.20M,437.26M,531.46M,,,,0.704M,,0.704M,,532.16M,24.43M,,24.43M,,,,,953.64M,,2009-09,3.186M,616.90M,,13.52M,1.841B,,2009-09,AOR,Restated
2009-06,800.36M,,800.36M,108.71M,108.71M,,,,326.15M,48.34M,49.48M,63.37M,1.396B,0.00,154.87M,,338.97M,,22.73M,461.43M,978.00M,-385.02M,592.98M,283.39M,9.788M,293.18M,6.00M,159.09M,116.68M,1.168B,2009-06,103.03M,,,103.03M,348.62M,451.65M,,7.496M,0.508M,8.004M,,8.004M,,459.65M,25.07M,,25.07M,,,,,868.29M,,2009-06,3.18M,499.95M,,3.851M,1.696B,,2009-06,AOR,Restated
2009-03,551.27M,,551.27M,127.15M,127.15M,,,,357.67M,,,195.23M,1.231B,,,,,,,,,,587.11M,271.42M,11.30M,282.73M,6.00M,110.26M,98.59M,1.085B,2009-03,67.62M,,,67.62M,348.16M,415.78M,,,,2.49M,,2.49M,,418.27M,24.99M,,24.99M,30.61M,,30.61M,,774.09M,,2009-03,3.175M,376.93M,,-5.739M,1.542B,,2009-03,AOR,Restated
2008-12,424.15M,,424.15M,192.02M,192.02M,,,,383.08M,,,221.58M,1.221B,,,,,,,,890.98M,-290.55M,600.44M,303.52M,,303.52M,,111.07M,102.10M,1.117B,2008-12,125.65M,,,125.65M,391.26M,516.91M,,,,2.399M,,2.399M,,519.31M,25.08M,,25.08M,35.54M,,35.54M,,871.95M,,2008-12,3.21M,312.04M,,0.292M,1.466B,,2008-12,,Restated
2008-09,409.51M,,409.51M,156.48M,156.48M,,,,401.80M,,,243.31M,1.211B,,,,,,,,755.43M,-290.55M,464.88M,262.48M,,262.48M,,,172.45M,899.81M,2008-09,129.49M,,,129.49M,331.11M,460.60M,,,,0.335M,,0.335M,,460.94M,2.245M,,2.245M,,,,,759.88M,,2008-09,3.269M,198.45M,7.91M,19.43M,1.351B,,2008-09,,
2008-06,698.90M,,698.90M,106.74M,106.74M,,,,318.49M,,,235.08M,1.359B,0.00,27.95M,373.26M,288.07M,,65.49M,,754.77M,-290.55M,464.23M,258.91M,,258.91M,,81.35M,83.66M,888.14M,2008-06,134.73M,,,134.73M,315.93M,450.66M,,,,0.285M,,0.285M,,450.94M,2.58M,,2.58M,25.37M,,25.37M,,756.98M,,2008-06,3.367M,353.12M,,18.84M,1.490B,,2008-06,,
2008-03,608.20M,8.002M,616.20M,148.07M,148.07M,,,,319.66M,49.30M,,137.72M,1.271B,,,,,,,,652.01M,-231.07M,420.94M,263.20M,12.36M,275.57M,,,188.78M,885.29M,2008-03,63.68M,,,63.68M,289.55M,353.23M,,,,11.36M,,11.36M,,364.59M,2.58M,,2.58M,,,,,697.79M,,2008-03,3.412M,332.38M,-3.624M,33.94M,1.458B,,2008-03,,
2007-12,870.25M,21.01M,891.26M,142.10M,142.10M,,,,300.73M,,,146.46M,1.481B,,,,,,,,638.69M,-231.07M,407.62M,232.79M,12.06M,244.85M,,,177.70M,830.17M,2007-12,77.36M,,,77.36M,335.16M,412.52M,,,,14.48M,,14.48M,,427.00M,2.58M,,2.58M,23.72M,,23.72M,,728.87M,,2007-12,3.523M,497.30M,0.128M,9.983M,1.582B,,2007-12,,
2007-09,786.56M,448.80M,1.235B,148.94M,148.94M,,,,363.05M,,,138.55M,1.886B,,,,,,,,631.88M,-231.07M,400.81M,228.46M,12.01M,240.48M,,,151.85M,793.13M,2007-09,95.44M,,,95.44M,306.40M,401.84M,,,,0.285M,,0.285M,,402.12M,2.58M,,2.58M,23.03M,,23.03M,,673.20M,,2007-09,3.725M,920.53M,-1.478M,0.838M,2.006B,,2007-09,,
2007-06,556.96M,628.86M,1.186B,107.81M,107.81M,,,,291.19M,87.07M,68.30M,,1.740B,0.00,27.95M,267.94M,155.45M,,148.19M,,599.53M,-231.07M,368.46M,213.79M,11.86M,225.66M,,86.05M,29.15M,709.32M,2007-06,109.31M,,,109.31M,298.45M,407.76M,,,,0.235M,,0.235M,,408.00M,2.865M,,2.865M,36.45M,,36.45M,,539.16M,,2007-06,3.725M,940.76M,-0.342M,-12.79M,1.910B,,2007-06,,
2007-03,222.32M,713.86M,936.17M,124.86M,124.86M,,,,249.82M,,,155.41M,1.466B,,,,,,,,561.47M,-216.81M,344.66M,222.89M,11.96M,234.85M,,,97.42M,676.93M,2007-03,62.11M,,,62.11M,275.92M,338.03M,,,,0.235M,,0.235M,,338.26M,2.865M,,2.865M,,,,,437.75M,,2007-03,3.711M,780.14M,-0.687M,-7.012M,1.705B,,2007-03,,
2006-12,265.34M,554.59M,819.92M,125.10M,125.10M,,,,249.58M,,,144.11M,1.339B,,,,,,,,546.14M,-216.81M,329.32M,221.23M,11.94M,233.16M,,,99.70M,662.19M,2006-12,82.09M,,,82.09M,328.02M,410.11M,,,,14.54M,,14.54M,,424.66M,2.865M,,2.865M,,,,,518.00M,,2006-12,3.691M,630.18M,,-6.068M,1.483B,,2006-12,,
2006-09,95.55M,360.78M,456.33M,118.08M,118.08M,,,,300.86M,,,148.14M,1.023B,,,,,,,,537.81M,-216.81M,321.00M,222.78M,11.96M,234.73M,,,97.36M,653.09M,2006-09,86.17M,,,86.17M,301.16M,387.33M,,,,7.615M,,7.615M,,394.94M,2.865M,,2.865M,,,,,484.39M,,2006-09,3.668M,402.71M,,-7.379M,1.192B,,2006-09,,
