,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,EndingCash(Quarterly),BeginningCash,ChangeinCash,EndingCash,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,SECFilingLinks,AsOriginallyReported,Restated
2007-03,93.00M,,,,139.00M,-4.00M,135.00M,135.00M,42.00M,,,,,,-153.00M,-37.00M,383.00M,-56.00M,,210.00M,500.00M,,2007-03,-325.00M,,-325.00M,,54.00M,,-271.00M,2007-03,-9.00M,,-9.00M,78.00M,-209.00M,-131.00M,,-7.00M,,29.00M,-118.00M,2007-03,1.39B,228.00M,1.618B,2007-03,78.00M,,-9.00M,-209.00M,,,2007-03,AOR,Restated
2006-12,57.00M,,,,138.00M,-4.00M,134.00M,134.00M,39.00M,,,,,,68.00M,24.00M,-50.00M,40.00M,,-169.00M,-155.00M,,2006-12,-353.00M,,-353.00M,,-14.00M,0.00,-367.00M,2006-12,-170.00M,,-170.00M,34.00M,-200.00M,-166.00M,,0.00,,3.00M,-333.00M,2006-12,1.947B,-557.00M,1.39B,2006-12,34.00M,,-470.00M,-200.00M,,,2006-12,AOR,Restated
2006-09,48.00M,,,,393.00M,-12.00M,131.00M,131.00M,24.00M,,,,,,89.00M,2.00M,-744.00M,120.00M,,10.00M,-612.00M,,2006-09,-381.00M,,-381.00M,-20.00M,42.00M,20.00M,-339.00M,2006-09,-1.00M,,-1.00M,90.00M,-97.00M,-7.00M,,-3.00M,,25.00M,14.00M,2006-09,2.592B,-645.00M,1.947B,2006-09,90.00M,,-1.00M,-97.00M,,,2006-09,AOR,Restated
2006-06,333.00M,,,,,,126.00M,126.00M,179.00M,,,,,,16.00M,-18.00M,254.00M,-87.00M,,29.00M,178.00M,,2006-06,-403.00M,,-403.00M,0.00,-77.00M,0.00,-480.00M,2006-06,-99.00M,,-99.00M,29.00M,-289.00M,-260.00M,,-4.00M,,3.00M,-360.00M,2006-06,2.60B,-8.00M,2.592B,2006-06,29.00M,,-99.00M,-289.00M,,,2006-06,AOR,Restated
2006-03,61.00M,,,,,,124.00M,124.00M,35.00M,,,,,,-67.00M,-13.00M,317.00M,14.00M,,280.00M,598.00M,,2006-03,-262.00M,,-262.00M,20.00M,-68.00M,1.00M,-309.00M,2006-03,-37.00M,,-37.00M,107.00M,-214.00M,-107.00M,,-7.00M,,29.00M,-122.00M,2006-03,2.28B,320.00M,2.60B,2006-03,107.00M,,-37.00M,-214.00M,,,2006-03,AOR,Restated
2005-12,70.00M,,,,-348.00M,,121.00M,121.00M,44.00M,,,,,,-60.00M,76.00M,-151.00M,34.00M,-246.00M,143.00M,-144.00M,,2005-12,-204.00M,,-204.00M,6.00M,-66.00M,-6.00M,-270.00M,2005-12,-13.00M,,-13.00M,74.00M,0.00,74.00M,,0.00,,30.00M,91.00M,2005-12,2.428B,-148.00M,2.28B,2005-12,74.00M,0.00,-13.00M,0.00,-3.00M,-53.00M,2005-12,AOR,Restated
2005-09,210.00M,,,,121.00M,,121.00M,121.00M,131.00M,,,,,,-948.00M,-42.00M,215.00M,-84.00M,28.00M,946.00M,1.063B,,2005-09,-255.00M,,-255.00M,-6.00M,-185.00M,6.00M,-440.00M,2005-09,-1.00M,,-1.00M,21.00M,0.00,21.00M,,-3.00M,,5.00M,22.00M,2005-09,2.269B,159.00M,2.428B,2005-09,21.00M,0.00,-1.00M,0.00,3.00M,21.00M,2005-09,AOR,Restated
2005-06,145.00M,,,,227.00M,,115.00M,115.00M,86.00M,,,,,,1.003B,42.00M,198.00M,3.00M,218.00M,-1.164B,-703.00M,,2005-06,-280.00M,,-280.00M,,0.00,0.00,-280.00M,2005-06,-27.00M,,-27.00M,18.00M,0.00,18.00M,,-4.00M,,8.00M,-5.00M,2005-06,1.908B,361.00M,2.269B,2005-06,18.00M,0.00,-27.00M,0.00,,32.00M,2005-06,AOR,Restated
2005-03,59.00M,,,,,,112.00M,112.00M,30.00M,,,,,,-28.00M,-85.00M,593.00M,-12.00M,,195.00M,691.00M,,2005-03,-407.00M,,-407.00M,,257.00M,-6.00M,-156.00M,2005-03,192.00M,,192.00M,19.00M,-55.00M,-36.00M,,-7.00M,,3.00M,152.00M,2005-03,1.048B,860.00M,1.908B,2005-03,19.00M,300.00M,-108.00M,-55.00M,,,2005-03,AOR,Restated
2004-12,55.00M,,,,431.00M,,113.00M,113.00M,-87.00M,,,,,,123.00M,-1.00M,-162.00M,-11.00M,68.00M,-182.00M,-288.00M,,2004-12,-409.00M,,-409.00M,,-36.00M,,-520.00M,2004-12,-73.00M,,-73.00M,36.00M,0.00,36.00M,,0.00,,-1.00M,-38.00M,2004-12,1.531B,-607.00M,1.305B,2004-12,36.00M,112.00M,-185.00M,0.00,,38.00M,2004-12,AOR,
2004-09,119.00M,,,,,,109.00M,109.00M,190.00M,,,,,,-109.00M,-24.00M,111.00M,-22.00M,,-15.00M,50.00M,,2004-09,-496.00M,,-496.00M,,16.00M,,-480.00M,2004-09,349.00M,,349.00M,12.00M,-110.00M,-98.00M,,-3.00M,,-3.00M,245.00M,2004-09,1.407B,124.00M,1.531B,2004-09,12.00M,350.00M,-1.00M,-110.00M,,,2004-09,AOR,Restated
2004-06,113.00M,,,,-103.00M,,106.00M,106.00M,65.00M,,,,,,27.00M,-3.00M,159.00M,4.00M,-238.00M,197.00M,119.00M,,2004-06,-510.00M,,-510.00M,,-19.00M,,-529.00M,2004-06,15.00M,,15.00M,27.00M,-11.00M,16.00M,,-4.00M,,-3.00M,24.00M,2004-06,1.482B,-75.00M,1.407B,2004-06,27.00M,29.00M,-14.00M,-11.00M,,-13.00M,2004-06,AOR,Restated
2004-03,26.00M,,,,103.00M,,103.00M,103.00M,16.00M,,,,,,-27.00M,-47.00M,123.00M,-15.00M,238.00M,,299.00M,,2004-03,-360.00M,,-360.00M,,39.00M,,-321.00M,2004-03,22.00M,,22.00M,13.00M,-125.00M,-112.00M,,-7.00M,,-1.00M,-98.00M,2004-03,1.484B,-2.00M,1.482B,2004-03,13.00M,29.00M,-7.00M,-125.00M,,13.00M,2004-03,AOR,Restated
2003-12,66.00M,,,,99.00M,,99.00M,99.00M,6.00M,,,,,,33.00M,11.00M,149.00M,-4.00M,-111.00M,,45.00M,,2003-12,-383.00M,,-383.00M,,,,-383.00M,2003-12,-109.00M,,-109.00M,32.00M,,32.00M,,0.00,,1.00M,-76.00M,2003-12,2.034B,-169.00M,1.865B,2003-12,32.00M,0.00,-109.00M,,-2.00M,10.00M,2003-12,AOR,Restated
2003-09,106.00M,,,,97.00M,,97.00M,97.00M,29.00M,,,,,,16.00M,-15.00M,-72.00M,-7.00M,-13.00M,,-107.00M,,2003-09,-337.00M,,-337.00M,,,,-337.00M,2003-09,-1.00M,,-1.00M,29.00M,0.00,29.00M,,-3.00M,,1.00M,26.00M,2003-09,2.204B,-170.00M,2.034B,2003-09,29.00M,0.00,-1.00M,0.00,49.00M,15.00M,2003-09,AOR,Restated
2003-06,246.00M,,,,188.00M,,95.00M,95.00M,136.00M,,,,,,27.00M,31.00M,59.00M,-7.00M,174.00M,-123.00M,134.00M,,2003-06,-325.00M,,-325.00M,,,,-325.00M,2003-06,-14.00M,,-14.00M,20.00M,0.00,20.00M,,-4.00M,,0.00,2.00M,2003-06,1.889B,315.00M,2.204B,2003-06,20.00M,0.00,-14.00M,0.00,4.00M,37.00M,2003-06,AOR,Restated
2003-03,24.00M,,,,,,93.00M,93.00M,12.00M,,,,,,7.00M,16.00M,-7.00M,-1.00M,,123.00M,131.00M,,2003-03,-193.00M,,-193.00M,,,,-193.00M,2003-03,-6.00M,,-6.00M,12.00M,0.00,12.00M,,-7.00M,,1.00M,0.00,2003-03,1.815B,74.00M,1.889B,2003-03,12.00M,0.00,-6.00M,0.00,,,2003-03,AOR,Restated
2002-12,42.00M,,,,-93.00M,,-93.00M,-93.00M,47.00M,,,,,,337.00M,-49.00M,-11.00M,5.00M,-85.00M,-118.00M,-258.00M,,2002-12,-231.00M,,-231.00M,,,,-231.00M,2002-12,-9.00M,,-9.00M,16.00M,,16.00M,,0.00,,-19.00M,-12.00M,2002-12,1.944B,-129.00M,1.815B,2002-12,16.00M,0.00,-9.00M,,1.00M,19.00M,2002-12,AOR,Restated
2002-09,76.00M,,,,-92.00M,,-92.00M,-92.00M,47.00M,,,,,,51.00M,4.00M,-129.00M,-21.00M,-34.00M,118.00M,-62.00M,,2002-09,-119.00M,,-119.00M,,,,-119.00M,2002-09,-1.00M,,-1.00M,10.00M,,10.00M,,-4.00M,,-80.00M,-75.00M,2002-09,2.118B,-174.00M,1.944B,2002-09,10.00M,0.00,-1.00M,,0.00,23.00M,2002-09,AOR,
2002-06,102.00M,,,,-86.00M,,-86.00M,-86.00M,62.00M,,,,,,175.00M,4.00M,77.00M,-11.00M,-30.00M,,40.00M,,2002-06,-144.00M,,-144.00M,,,,-144.00M,2002-06,-50.00M,,-50.00M,11.00M,,11.00M,,-3.00M,,-103.00M,-145.00M,2002-06,2.114B,4.00M,2.118B,2002-06,11.00M,0.00,-50.00M,,2.00M,21.00M,2002-06,AOR,
2002-03,21.00M,,,,-85.00M,,-85.00M,-85.00M,14.00M,,,,,,163.00M,-62.00M,-86.00M,17.00M,111.00M,,-20.00M,,2002-03,-109.00M,,-109.00M,,,,-109.00M,2002-03,-95.00M,,-95.00M,20.00M,,20.00M,,-7.00M,,-68.00M,-150.00M,2002-03,2.28B,-166.00M,2.114B,2002-03,20.00M,385.00M,-480.00M,,,17.00M,2002-03,AOR,
2001-12,63.50M,,,-30.74M,555.46M,,555.46M,555.46M,-2.072M,,,,,,-392.97M,24.00M,135.47M,-11.31M,-180.24M,73.35M,41.27M,,2001-12,-331.05M,,-331.05M,,,,-331.05M,2001-12,136.44M,,611.44M,14.28M,0.00,14.28M,,0.00,,,887.07M,2001-12,1.489B,790.47M,2.280B,2001-12,14.28M,614.25M,-2.808M,0.00,-12.15M,-38.30M,2001-12,AOR,Restated
2001-09,150.96M,,,30.74M,-237.63M,,-237.63M,-237.63M,209.99M,,,,,,-101.07M,42.78M,67.03M,2.279M,180.24M,,292.34M,,2001-09,-206.03M,,-206.03M,,,,-206.03M,2001-09,374.04M,,374.04M,11.13M,,11.13M,,-3.438M,,,381.74M,2001-09,968.35M,521.04M,1.489B,2001-09,11.13M,475.00M,-100.96M,,1.549M,15.77M,2001-09,AOR,
2001-06,175.63M,,,,-77.69M,,-77.69M,-77.69M,,,,,,,685.83M,,,,,-299.55M,-299.55M,,2001-06,-206.43M,,-206.43M,,,,-206.43M,2001-06,-1.815M,,-1.815M,11.13M,0.00,11.13M,,-3.432M,,,5.88M,2001-06,684.68M,283.67M,968.35M,2001-06,11.13M,,-1.815M,0.00,7.492M,4.444M,2001-06,AOR,
2001-03,121.04M,,,,77.69M,,77.69M,77.69M,,,,,,,-77.69M,,,,,299.55M,299.55M,,2001-03,-254.33M,,-254.33M,,,,-254.33M,2001-03,-5.019M,,-5.019M,7.002M,0.00,7.002M,,-6.57M,,,-4.587M,2001-03,523.00M,161.68M,684.68M,2001-03,7.002M,,-5.019M,0.00,3.109M,18.09M,2001-03,AOR,
2000-12,132.53M,,,,74.54M,,74.54M,74.54M,,,,,,,-328.91M,,129.44M,,,,161.87M,,2000-12,-335.14M,,-335.14M,,,,-335.14M,2000-12,-1.62M,,-1.62M,23.99M,-0.001M,23.99M,,0.00,,,22.37M,2000-12,580.61M,-57.61M,523.00M,2000-12,23.99M,,-1.62M,-0.001M,36.22M,4.532M,2000-12,AOR,Restated
2000-09,184.30M,,,,206.73M,,206.73M,206.73M,,,,,,,-138.11M,,-21.33M,,,,-21.33M,,2000-09,-303.49M,,-303.49M,,,,-303.49M,2000-09,-0.828M,,-0.828M,20.48M,-1.076M,19.41M,,-2.731M,,,15.85M,2000-09,636.65M,-56.04M,580.61M,2000-09,20.48M,,-0.828M,-1.076M,92.45M,16.05M,2000-09,AOR,
2000-06,190.62M,,,,,,,,,,,,,,184.02M,,21.33M,,,,21.33M,,2000-06,-304.21M,,-304.21M,,,,-304.21M,2000-06,-3.379M,,-3.379M,14.68M,-6.234M,8.442M,,-2.737M,,,2.326M,2000-06,542.56M,94.09M,636.65M,2000-06,14.68M,,-3.379M,-6.234M,20.73M,3.862M,2000-06,AOR,
2000-03,95.64M,,,,,,,,,,,,,,319.92M,,,,,,,,2000-03,-191.81M,,-191.81M,,,,-191.81M,2000-03,-4.411M,,-4.411M,11.27M,-101.36M,-90.09M,,-5.51M,,,-100.01M,2000-03,418.82M,123.74M,542.56M,2000-03,11.27M,,-4.411M,-101.36M,0.60M,12.50M,2000-03,AOR,
1999-12,93.80M,,,,-82.30M,,-82.30M,-82.30M,,,,,,,-57.20M,,,,,,,,1999-12,-265.40M,,-265.40M,,,,-265.40M,1999-12,254.80M,,254.80M,33.60M,-90.10M,-56.50M,,0.00,,,198.20M,1999-12,266.70M,152.00M,418.80M,1999-12,33.60M,,-0.80M,-90.10M,28.40M,3.90M,1999-12,AOR,Restated
1999-09,127.00M,,,,-63.80M,,-63.80M,-63.80M,,,,,,,46.20M,,,,,,,,1999-09,-333.60M,,-333.60M,,,,-333.60M,1999-09,-0.70M,,-0.70M,4.80M,-0.40M,4.40M,,-0.30M,,,3.40M,1999-09,487.60M,-220.80M,266.70M,1999-09,4.80M,,-0.70M,-0.40M,74.40M,11.30M,1999-09,,
1999-06,157.80M,,,,-59.50M,,-59.50M,-59.50M,,,,,,,264.10M,,,,,,,,1999-06,-279.70M,,-279.70M,,,,-279.70M,1999-06,-3.20M,,-3.20M,8.00M,,8.00M,,-5.50M,,,-0.70M,1999-06,405.60M,82.00M,487.60M,1999-06,8.00M,,-3.20M,,28.20M,-3.20M,1999-06,,
1999-03,95.80M,,,,-56.80M,,-56.80M,-56.80M,,,,,,,271.70M,,,,,,,,1999-03,-289.10M,,-289.10M,,,,-289.10M,1999-03,-7.40M,,-7.40M,17.90M,,17.90M,,-5.00M,,,5.50M,1999-03,378.50M,27.10M,405.60M,1999-03,17.90M,,-7.40M,,1.00M,14.60M,1999-03,,
1998-12,100.43M,,,,390.81M,,390.81M,390.81M,,,,,,,-514.29M,,,,,,,,1998-12,-274.10M,,-274.10M,,,,-274.10M,1998-12,-1.959M,,-1.959M,8.572M,0.00,8.572M,,0.016M,,,6.629M,1998-12,452.20M,-73.63M,378.51M,1998-12,8.572M,,-1.959M,0.00,56.20M,-1.10M,1998-12,AOR,Restated
1998-09,129.60M,,,,-59.60M,,-59.60M,-59.60M,,,,,,,113.90M,,,,,,,,1998-09,-201.20M,,-201.20M,,,,-201.20M,1998-09,-4.90M,,-4.90M,9.90M,-100.00M,-90.10M,,-2.60M,,-0.10M,-97.70M,1998-09,567.20M,-115.00M,452.20M,1998-09,9.90M,,-4.90M,-100.00M,59.90M,14.10M,1998-09,,
1998-06,133.40M,,,,-54.00M,,-54.00M,-54.00M,,,,,,,213.70M,,,,,,,,1998-06,-235.80M,,-235.80M,,,,-235.80M,1998-06,-1.90M,,-1.90M,7.00M,,7.00M,,-2.30M,,0.10M,2.90M,1998-06,506.90M,60.20M,567.20M,1998-06,7.00M,,-1.90M,,30.70M,-0.40M,1998-06,,
