,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,RentandLandingExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",EBITDA,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2015-03,4.222B,4.414B,3.114B,1.30B,,,,,,-23.00M,26.00M,1.00M,-25.00M,497.00M,497.00M,803.00M,1.00M,26.00M,-25.00M,-55.00M,-25.00M,723.00M,270.00M,453.00M,,993.00M,244.00M,749.00M,,2015-03,,0.7212,0.67,,2015-03,,0.7106,0.66,674.00M,682.00M,0.06,,2015-03,AOR,Restated
2014-12,4.456B,4.628B,3.383B,1.245B,,,,,,-48.00M,28.00M,2.00M,-26.00M,577.00M,577.00M,668.00M,2.00M,28.00M,-26.00M,-341.00M,-26.00M,301.00M,111.00M,190.00M,,580.00M,251.00M,329.00M,,2014-12,,0.6003,0.28,,2014-12,,0.5961,0.28,678.00M,687.00M,0.06,,2014-12,AOR,Restated
2014-09,4.609B,4.80B,3.595B,1.205B,,,,,,-23.00M,25.00M,2.00M,-23.00M,568.00M,568.00M,637.00M,2.00M,25.00M,-23.00M,-89.00M,-23.00M,525.00M,196.00M,329.00M,,788.00M,238.00M,550.00M,,2014-09,,0.5608,0.48,,2014-09,,0.5598,0.48,683.00M,691.00M,0.06,,2014-09,AOR,Restated
2014-06,4.796B,5.011B,3.665B,1.346B,,,,,,-38.00M,28.00M,2.00M,-26.00M,533.00M,533.00M,813.00M,2.00M,28.00M,-26.00M,-41.00M,-26.00M,746.00M,281.00M,465.00M,,1.002B,228.00M,774.00M,,2014-06,,0.7088,0.67,,2014-06,,0.7084,0.67,690.00M,698.00M,0.06,,2014-06,AOR,Restated
2014-03,3.973B,4.166B,3.407B,759.00M,,,,,,-18.00M,26.00M,2.00M,-24.00M,526.00M,526.00M,233.00M,2.00M,26.00M,-24.00M,35.00M,-24.00M,244.00M,92.00M,152.00M,,491.00M,221.00M,270.00M,,2014-03,,0.1896,0.22,,2014-03,,0.1899,0.22,698.00M,707.00M,0.04,,2014-03,AOR,Restated
2013-12,4.238B,4.428B,3.452B,976.00M,,,,,,-20.00M,27.00M,1.00M,-26.00M,571.00M,571.00M,405.00M,1.00M,27.00M,-26.00M,-46.00M,-26.00M,333.00M,121.00M,212.00M,,584.00M,224.00M,360.00M,,2013-12,,0.3429,0.30,,2013-12,,0.3424,0.30,698.00M,706.00M,0.04,,2013-12,AOR,Restated
2013-09,4.347B,4.545B,3.595B,950.00M,,,,,,-28.00M,31.00M,1.00M,-30.00M,532.00M,532.00M,418.00M,1.00M,31.00M,-30.00M,31.00M,-30.00M,419.00M,160.00M,259.00M,,671.00M,221.00M,450.00M,,2013-09,,0.3454,0.37,,2013-09,,0.3457,0.37,703.00M,711.00M,0.04,,2013-09,AOR,Restated
2013-06,4.423B,4.643B,3.665B,978.00M,,,,,,-26.00M,25.00M,2.00M,-23.00M,519.00M,519.00M,459.00M,2.00M,25.00M,-23.00M,-73.00M,-23.00M,363.00M,139.00M,224.00M,,601.00M,213.00M,388.00M,,2013-06,,0.3731,0.31,,2013-06,,0.3724,0.31,714.00M,722.00M,0.04,,2013-06,AOR,Restated
2013-03,3.877B,4.084B,3.50B,584.00M,,,,,,-13.00M,24.00M,2.00M,-22.00M,501.00M,501.00M,83.00M,2.00M,24.00M,-22.00M,33.00M,-22.00M,94.00M,35.00M,59.00M,,328.00M,210.00M,118.00M,,2013-03,,0.0515,0.08,,2013-03,,0.0516,0.08,725.00M,727.00M,0.01,,2013-03,AOR,Restated
2012-12,3.981B,4.173B,3.533B,640.00M,,,,,,-15.00M,30.00M,2.00M,-28.00M,534.00M,534.00M,106.00M,2.00M,30.00M,-28.00M,47.00M,-28.00M,125.00M,47.00M,78.00M,,379.00M,224.00M,155.00M,,2012-12,,0.0699,0.11,,2012-12,,0.0705,0.11,732.00M,742.00M,0.01,,2012-12,AOR,Restated
2012-09,4.096B,4.309B,3.604B,705.00M,,,,,,-145.00M,30.00M,2.00M,-28.00M,509.00M,509.00M,196.00M,2.00M,30.00M,-28.00M,-135.00M,-28.00M,33.00M,17.00M,16.00M,,280.00M,217.00M,63.00M,,2012-09,,0.1361,0.02,,2012-09,,0.1359,0.02,739.00M,740.00M,0.01,,2012-09,AOR,Restated
2012-06,4.389B,4.616B,3.642B,974.00M,,,,,,-11.00M,32.00M,2.00M,-30.00M,503.00M,503.00M,471.00M,2.00M,32.00M,-30.00M,-73.00M,-30.00M,368.00M,140.00M,228.00M,,602.00M,202.00M,400.00M,,2012-06,,0.3582,0.30,,2012-06,,0.3576,0.30,757.00M,764.00M,0.01,,2012-06,AOR,Restated
2012-03,3.788B,3.991B,3.466B,525.00M,,,,,,-13.00M,35.00M,2.00M,-33.00M,490.00M,490.00M,35.00M,2.00M,35.00M,-33.00M,157.00M,-33.00M,159.00M,61.00M,98.00M,,395.00M,201.00M,194.00M,,2012-03,,0.0042,0.13,,2012-03,,0.0043,0.13,771.00M,772.00M,0.0045,,2012-03,AOR,Restated
2011-12,3.343B,4.108B,7.166B,-3.058B,,,,,,314.00M,47.00M,2.00M,-45.00M,,-3.242B,184.00M,2.00M,47.00M,-45.00M,116.00M,-45.00M,255.00M,103.00M,152.00M,,494.00M,192.00M,302.00M,,2011-12,,-0.0425,0.20,,2011-12,,-0.0422,0.20,777.00M,778.00M,0.0045,,2011-12,AOR,Restated
2011-09,4.311B,4.311B,2.205B,2.106B,,1.668B,1.668B,,,-427.00M,47.00M,1.00M,-46.00M,,1.859B,247.00M,1.00M,47.00M,-46.00M,-427.00M,-46.00M,-226.00M,-86.00M,-140.00M,,12.00M,191.00M,-179.00M,,2011-09,,0.1540,-0.18,,2011-09,,0.1540,-0.18,792.00M,792.00M,0.0045,,2011-09,AOR,Restated
2011-06,4.136B,4.136B,2.099B,2.037B,,1.596B,1.596B,,,55.00M,49.00M,4.00M,-45.00M,,1.772B,265.00M,4.00M,49.00M,-45.00M,55.00M,-45.00M,275.00M,114.00M,161.00M,,500.00M,176.00M,324.00M,,2011-06,,0.1642,0.21,,2011-06,,0.1646,0.21,780.00M,787.00M,0.0045,,2011-06,AOR,Restated
2011-03,3.103B,3.103B,1.484B,1.619B,,1.333B,1.333B,,,-76.00M,40.00M,3.00M,-37.00M,,1.488B,131.00M,3.00M,40.00M,-37.00M,-76.00M,-37.00M,18.00M,13.00M,5.00M,,213.00M,155.00M,58.00M,,2011-03,,0.0760,0.01,,2011-03,,0.0760,0.01,748.00M,749.00M,0.0045,,2011-03,AOR,Restated
2010-12,2.624B,3.114B,5.712B,-2.598B,,,,,,131.00M,38.00M,3.00M,-35.00M,396.00M,-2.821B,223.00M,3.00M,38.00M,-35.00M,25.00M,-35.00M,213.00M,82.00M,131.00M,,410.00M,159.00M,251.00M,,2010-12,,0.0724,0.18,,2010-12,,0.0626,0.17,749.00M,750.00M,0.0045,,2010-12,AOR,Restated
2010-09,3.192B,3.192B,1.375B,1.817B,,938.00M,938.00M,,,12.00M,38.00M,2.00M,-36.00M,362.00M,1.461B,356.00M,2.00M,38.00M,-36.00M,12.00M,-36.00M,332.00M,127.00M,205.00M,,531.00M,161.00M,370.00M,,2010-09,,0.2601,0.27,,2010-09,,0.2601,0.27,746.00M,747.00M,0.0045,,2010-09,AOR,Restated
2010-06,3.168B,3.168B,1.378B,1.79B,,1.273B,1.273B,,,-146.00M,37.00M,4.00M,-33.00M,,1.427B,363.00M,4.00M,37.00M,-33.00M,-146.00M,-33.00M,184.00M,72.00M,112.00M,,375.00M,154.00M,221.00M,,2010-06,,0.2693,0.15,,2010-06,,0.2691,0.15,745.00M,746.00M,0.0045,,2010-06,AOR,Restated
2010-03,2.63B,2.63B,1.224B,1.406B,,1.198B,1.198B,,,-4.00M,36.00M,3.00M,-33.00M,,1.352B,54.00M,3.00M,36.00M,-33.00M,-4.00M,-33.00M,17.00M,6.00M,11.00M,,207.00M,154.00M,53.00M,,2010-03,,0.0135,0.01,,2010-03,,0.0135,0.01,743.00M,744.00M,0.0045,,2010-03,AOR,Restated
2009-12,2.712B,2.712B,2.537B,175.00M,,861.00M,861.00M,,,56.00M,41.00M,2.00M,-39.00M,347.00M,1.362B,-1.187B,2.00M,41.00M,-39.00M,56.00M,-39.00M,184.00M,69.00M,115.00M,,379.00M,154.00M,225.00M,,2009-12,,0.1028,0.15,,2009-12,,0.1028,0.15,741.00M,741.00M,0.0045,,2009-12,AOR,Restated
2009-09,2.666B,2.666B,771.00M,1.895B,,909.00M,909.00M,,239.00M,-2.00M,43.00M,3.00M,-40.00M,324.00M,1.395B,500.00M,3.00M,43.00M,-40.00M,-2.00M,-40.00M,-20.00M,-4.00M,-16.00M,,185.00M,162.00M,23.00M,,2009-09,,-0.0178,-0.02,,2009-09,,-0.0178,-0.02,742.00M,742.00M,0.0045,,2009-09,AOR,Restated
2009-06,2.616B,2.616B,690.00M,1.926B,,863.00M,863.00M,,226.00M,23.00M,47.00M,8.00M,-39.00M,338.00M,1.351B,575.00M,8.00M,47.00M,-39.00M,23.00M,-39.00M,107.00M,16.00M,91.00M,,304.00M,150.00M,154.00M,,2009-06,,0.0936,0.12,,2009-06,,0.0936,0.12,741.00M,741.00M,0.0045,,2009-06,AOR,Restated
2009-03,2.357B,2.357B,671.00M,1.686B,,836.00M,836.00M,,211.00M,-23.00M,38.00M,4.00M,-34.00M,328.00M,1.314B,372.00M,4.00M,38.00M,-34.00M,-23.00M,-34.00M,-107.00M,-16.00M,-91.00M,,81.00M,150.00M,-69.00M,,2009-03,,-0.0936,-0.12,,2009-03,,-0.0936,-0.12,740.00M,740.00M,0.0045,,2009-03,AOR,Restated
2008-12,2.734B,2.734B,912.00M,1.822B,,846.00M,846.00M,,204.00M,-130.00M,30.00M,8.00M,-22.00M,345.00M,1.345B,477.00M,8.00M,30.00M,-22.00M,-130.00M,-22.00M,-83.00M,-27.00M,-56.00M,,101.00M,154.00M,-53.00M,,2008-12,,0.0388,-0.08,,2008-12,,0.0387,-0.08,738.00M,739.00M,0.0045,,2008-12,AOR,Restated
2008-09,2.891B,2.891B,1.036B,1.855B,,856.00M,856.00M,,205.00M,-269.00M,29.00M,7.00M,-22.00M,351.00M,1.359B,496.00M,7.00M,29.00M,-22.00M,-269.00M,-22.00M,-205.00M,-85.00M,-120.00M,,-24.00M,152.00M,-176.00M,,2008-09,,0.0776,-0.16,,2008-09,,0.0776,-0.16,736.00M,736.00M,0.0045,,2008-09,AOR,Restated
2008-06,2.869B,2.869B,939.00M,1.93B,,839.00M,839.00M,,197.00M,345.00M,26.00M,5.00M,-21.00M,344.00M,1.331B,599.00M,5.00M,26.00M,-21.00M,345.00M,-21.00M,529.00M,208.00M,321.00M,,703.00M,148.00M,555.00M,,2008-06,,0.1540,0.44,,2008-06,,0.1559,0.44,732.00M,737.00M,0.0045,,2008-06,AOR,Restated
2008-03,2.53B,2.53B,734.00M,1.796B,,800.00M,800.00M,,209.00M,-38.00M,28.00M,15.00M,-13.00M,345.00M,1.29B,506.00M,15.00M,28.00M,-13.00M,-38.00M,-13.00M,37.00M,3.00M,34.00M,,210.00M,145.00M,65.00M,,2008-03,,0.0976,0.05,,2008-03,,0.0976,0.05,733.00M,734.00M,0.0045,,2008-03,AOR,Restated
2007-12,2.492B,2.492B,847.00M,1.645B,,800.00M,800.00M,,178.00M,71.00M,33.00M,19.00M,-14.00M,218.00M,1.162B,483.00M,19.00M,33.00M,-14.00M,71.00M,-14.00M,184.00M,72.00M,112.00M,,361.00M,144.00M,217.00M,,2007-12,,0.0916,0.15,,2007-12,,0.0916,0.15,740.29M,740.43M,0.0045,,2007-12,AOR,Restated
2007-09,2.588B,2.588B,637.00M,1.951B,,832.00M,832.00M,,183.00M,32.00M,28.00M,22.00M,-6.00M,362.00M,1.334B,617.00M,22.00M,28.00M,-6.00M,32.00M,-6.00M,277.00M,115.00M,162.00M,,445.00M,139.00M,305.00M,,2007-09,,0.1919,0.22,,2007-09,,0.1923,0.22,739.00M,752.00M,0.0045,,2007-09,AOR,Restated
2007-06,2.583B,2.583B,581.00M,2.002B,,814.00M,814.00M,,180.00M,120.00M,29.00M,28.00M,-1.00M,363.00M,1.314B,688.00M,28.00M,29.00M,-1.00M,120.00M,-1.00M,447.00M,169.00M,278.00M,,613.00M,137.00M,476.00M,,2007-06,,0.2630,0.36,,2007-06,,0.2643,0.36,769.00M,780.00M,0.0045,,2007-06,AOR,Restated
2007-03,2.198B,2.198B,,,,,,,,-49.00M,,,,1.979B,2.114B,84.00M,,,,-49.00M,,149.00M,56.00M,93.00M,,219.00M,135.00M,84.00M,,2007-03,,0.1589,0.12,,2007-03,,0.1582,0.12,786.00M,800.00M,0.0045,,2007-03,AOR,Restated
2006-12,2.276B,2.276B,,,,,,,,79.00M,,,,1.968B,2.102B,174.00M,,,,79.00M,,101.00M,44.00M,57.00M,,308.00M,134.00M,174.00M,,2006-12,,0.0093,0.07,,2006-12,,0.0101,0.07,780.25M,791.13M,0.0045,,2006-12,AOR,Restated
2006-09,2.342B,2.342B,,,,,,,,192.00M,,,,1.95B,2.081B,261.00M,,,,192.00M,,78.00M,30.00M,48.00M,,392.00M,131.00M,261.00M,,2006-09,,-0.0898,0.06,,2006-09,,-0.0839,0.06,789.00M,821.00M,0.0045,,2006-09,AOR,Restated
2006-06,2.449B,2.449B,,,,,,,,-100.00M,,,,1.92B,2.047B,402.00M,,,,-100.00M,,515.00M,182.00M,333.00M,,529.00M,126.00M,402.00M,,2006-06,,0.5010,0.42,,2006-06,,0.4784,0.40,798.00M,825.00M,0.0045,,2006-06,AOR,Restated
2006-03,2.019B,2.019B,,,,,,,,18.00M,,,,1.797B,1.921B,98.00M,,,,18.00M,,96.00M,35.00M,61.00M,,222.00M,124.00M,98.00M,,2006-03,,0.0658,0.08,,2006-03,,0.0563,0.07,803.00M,836.00M,0.0045,,2006-03,AOR,Restated
2005-12,1.988B,1.988B,,,,,,121.00M,,45.00M,,,,3.783B,1.382B,3.679B,,,,45.00M,,112.00M,42.00M,70.00M,,3.80B,121.00M,3.679B,,2005-12,,0.0455,0.08,,2005-12,,0.0457,0.08,815.77M,820.67M,0.0045,,2005-12,AOR,Restated
2005-09,1.989B,1.989B,,,,,,121.00M,,-76.00M,,,,1.62B,1.741B,248.00M,,,,-76.00M,,343.00M,133.00M,210.00M,,369.00M,121.00M,248.00M,,2005-09,,0.3290,0.27,,2005-09,,0.3180,0.26,789.00M,802.00M,0.0045,,2005-09,AOR,Restated
2005-06,1.944B,1.944B,,,,,,116.00M,,40.00M,,,,1.572B,1.688B,256.00M,,,,40.00M,,235.00M,91.00M,144.00M,,372.00M,115.00M,256.00M,,2005-06,,0.1488,0.18,,2005-06,,0.1494,0.18,786.00M,802.00M,0.0045,,2005-06,AOR,Restated
2005-03,1.663B,1.663B,,,,,,112.00M,,12.00M,,,,1.47B,1.582B,81.00M,,,,12.00M,,89.00M,30.00M,59.00M,,193.00M,112.00M,81.00M,,2005-03,,0.0699,0.08,,2005-03,,0.0601,0.07,784.00M,802.00M,0.0045,,2005-03,AOR,Restated
2004-12,1.655B,1.655B,,,,,,,,50.00M,,,,-1.022B,2.123B,-4.155B,,,,50.00M,,88.00M,33.00M,55.00M,,-4.042B,113.00M,-4.155B,,2004-12,,0.0298,0.07,,2004-12,,0.0232,0.06,778.00M,849.74M,0.0045,,2004-12,AOR,
2004-09,1.674B,1.674B,,,,,,,,26.00M,,,,1.375B,1.483B,191.00M,,,,26.00M,,181.00M,62.00M,119.00M,,300.00M,109.00M,191.00M,,2004-09,,0.1281,0.15,,2004-09,,0.1289,0.15,781.00M,812.00M,0.0045,,2004-09,AOR,Restated
2004-06,1.716B,1.716B,,,,,622.00M,,,35.00M,,,,790.00M,1.519B,197.00M,,,,35.00M,,179.00M,66.00M,113.00M,,304.00M,106.00M,197.00M,,2004-06,,0.1118,0.14,,2004-06,,0.1130,0.14,784.00M,817.00M,0.0045,,2004-06,AOR,Restated
2004-03,1.484B,1.484B,894.00M,590.00M,,737.00M,737.00M,103.00M,-148.00M,20.00M,,,,746.00M,1.586B,-996.00M,,,,20.00M,,41.00M,15.00M,26.00M,,-893.00M,103.00M,-996.00M,,2004-03,,0.0138,0.03,,2004-03,,0.0145,0.03,785.00M,817.00M,0.0045,,2004-03,AOR,Restated
2003-12,1.517B,1.517B,,,,,,,,,,,,,1.097B,2.903B,,,,,,-3.00M,1.00M,-4.00M,,3.002B,99.00M,2.903B,,2003-12,,0.00,0.00,,2003-12,,0.00,0.00,757.00M,780.78M,0.0045,,2003-12,AOR,Restated
2003-09,1.553B,1.553B,847.00M,706.00M,-11.00M,706.00M,695.00M,97.00M,-141.00M,-7.00M,,,,717.00M,1.509B,-803.00M,,,,-7.00M,,171.00M,65.00M,106.00M,,-706.00M,97.00M,-803.00M,,2003-09,,0.1455,0.14,,2003-09,,0.1352,0.13,784.00M,827.00M,0.0045,,2003-09,AOR,Restated
2003-06,1.515B,1.515B,817.00M,698.00M,-13.00M,737.00M,724.00M,95.00M,-137.00M,265.00M,,,,693.00M,1.512B,-814.00M,,,,265.00M,,397.00M,151.00M,246.00M,,-719.00M,95.00M,-814.00M,,2003-06,,0.1095,0.32,,2003-06,,0.0997,0.30,780.00M,820.00M,0.0045,,2003-06,AOR,Restated
2003-03,1.351B,1.351B,,,,,516.00M,,,,,,,696.00M,1.305B,46.00M,,,,,,39.00M,15.00M,24.00M,,139.00M,93.00M,46.00M,,2003-03,,0.03,0.03,,2003-03,,0.03,0.03,778.00M,808.00M,0.0045,,2003-03,AOR,Restated
2002-12,1.401B,1.401B,822.00M,579.00M,-13.00M,679.00M,666.00M,93.00M,-134.00M,-9.00M,,,,2.021B,2.78B,-2.201B,,,,-9.00M,,-12.00M,22.00M,42.00M,,-2.108B,-93.00M,-2.201B,,2002-12,,0.0610,0.0541,,2002-12,,-0.0133,-0.02,776.66M,808.27M,0.0045,,2002-12,AOR,Restated
