,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,DerivativeInstruments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,1.822B,1.421B,3.243B,680.00M,,680.00M,430.00M,448.00M,,,4.801B,,4.506B,,,1.607B,28.17B,-9.396B,18.77B,970.00M,410.00M,1.38B,,72.00M,175.00M,172.00M,20.70B,25.50B,,2018-03,338.00M,772.00M,1.299B,678.00M,1.977B,,365.00M,,365.00M,4.42B,4.42B,,,7.162B,3.227B,,3.227B,2.216B,1.01B,3.467B,282.00M,24.00M,15.88B,,2018-03,808.00M,14.24B,78.00M,9.619B,,2018-03,AOR,Restated
2017-12,1.495B,1.778B,3.273B,662.00M,,662.00M,420.00M,460.00M,,,4.815B,,4.399B,,,1.543B,28.23B,-9.69B,18.54B,970.00M,413.00M,1.383B,,76.00M,136.00M,161.00M,20.30B,25.11B,,2017-12,260.00M,931.00M,1.377B,892.00M,2.269B,,348.00M,,348.00M,3.495B,3.495B,,,6.863B,3.32B,,3.32B,2.119B,1.07B,3.426B,275.00M,21.00M,15.47B,,2017-12,808.00M,13.83B,12.00M,9.641B,,2017-12,AOR,Restated
2017-09,1.46B,1.58B,3.04B,579.00M,,579.00M,438.00M,223.00M,,,4.28B,,4.219B,,,1.46B,27.80B,-9.645B,18.16B,970.00M,416.00M,1.386B,,79.00M,84.00M,151.00M,19.97B,24.25B,,2017-09,259.00M,779.00M,1.203B,741.00M,1.944B,316.00M,316.00M,,316.00M,3.932B,3.932B,,80.00M,6.965B,2.763B,,2.763B,3.697B,,3.922B,274.00M,21.00M,15.45B,,2017-09,808.00M,12.81B,-136.00M,8.80B,,2017-09,AOR,Restated
2017-06,1.537B,1.615B,3.152B,576.00M,,576.00M,365.00M,250.00M,,,4.343B,,4.085B,,,1.404B,27.20B,-9.523B,17.68B,970.00M,419.00M,1.389B,,83.00M,92.00M,149.00M,19.58B,23.92B,,2017-06,400.00M,780.00M,1.351B,758.00M,2.109B,307.00M,307.00M,,307.00M,4.012B,4.012B,,169.00M,7.097B,2.788B,,2.788B,3.54B,,3.758B,267.00M,24.00M,15.39B,,2017-06,808.00M,12.38B,-263.00M,8.53B,,2017-06,AOR,Restated
2017-03,1.851B,1.631B,3.482B,585.00M,,585.00M,356.00M,235.00M,,,4.658B,,3.908B,,,1.319B,26.78B,-9.497B,17.29B,970.00M,423.00M,1.393B,,86.00M,77.00M,131.00M,19.10B,23.76B,,2017-03,425.00M,753.00M,1.359B,755.00M,2.114B,285.00M,285.00M,,285.00M,4.012B,4.012B,,153.00M,7.458B,2.781B,,2.781B,3.442B,,3.637B,261.00M,30.00M,15.56B,,2017-03,808.00M,11.71B,-312.00M,8.204B,,2017-03,AOR,Restated
2016-12,1.68B,1.625B,3.305B,546.00M,,546.00M,337.00M,310.00M,,,4.498B,,3.779B,,,1.22B,26.46B,-9.42B,17.04B,970.00M,426.00M,1.396B,,90.00M,120.00M,138.00M,18.79B,23.29B,,2016-12,252.00M,856.00M,1.246B,743.00M,1.989B,566.00M,566.00M,,566.00M,3.115B,3.115B,,158.00M,6.844B,2.821B,,2.821B,3.374B,,3.578B,256.00M,35.00M,14.84B,,2016-12,808.00M,11.42B,-323.00M,8.441B,,2016-12,AOR,Restated
2016-09,1.966B,1.48B,3.446B,848.00M,,848.00M,331.00M,214.00M,,,4.839B,,3.60B,,,1.15B,25.84B,-9.295B,16.55B,970.00M,430.00M,1.40B,35.00M,,,225.00M,18.21B,23.04B,,2016-09,228.00M,708.00M,1.084B,1.233B,2.317B,972.00M,972.00M,,972.00M,3.677B,3.677B,,154.00M,7.816B,2.323B,,2.323B,3.209B,33.00M,3.437B,215.00M,1.00M,15.00B,,2016-09,808.00M,10.96B,-499.00M,8.047B,,2016-09,AOR,Restated
2016-06,2.04B,1.375B,3.415B,524.00M,,524.00M,328.00M,202.00M,,,4.469B,,3.435B,,,1.067B,25.66B,-9.364B,16.29B,970.00M,434.00M,1.404B,45.00M,,,235.00M,17.98B,22.45B,,2016-06,379.00M,781.00M,1.387B,892.00M,2.279B,963.00M,963.00M,,963.00M,3.754B,3.754B,,265.00M,7.833B,2.391B,,2.391B,2.818B,38.00M,3.046B,211.00M,17.00M,14.63B,,2016-06,808.00M,10.63B,-628.00M,7.821B,,2016-06,AOR,Restated
2016-03,2.388B,1.194B,3.582B,511.00M,,511.00M,289.00M,192.00M,,,4.574B,,3.308B,,,986.00M,25.23B,-9.267B,15.96B,970.00M,460.00M,1.43B,41.00M,,,232.00M,17.67B,22.24B,,2016-03,478.00M,716.00M,1.385B,893.00M,2.278B,953.00M,953.00M,,953.00M,3.675B,3.675B,,358.00M,8.253B,2.355B,,2.355B,2.609B,40.00M,2.817B,206.00M,46.00M,14.74B,,2016-03,808.00M,9.872B,-894.00M,7.496B,,2016-03,AOR,Restated
2015-12,1.583B,1.468B,3.051B,474.00M,,474.00M,311.00M,188.00M,,,4.024B,,3.219B,,,915.00M,24.68B,-9.084B,15.60B,970.00M,464.00M,1.434B,,94.00M,9.00M,150.00M,17.29B,21.31B,,2015-12,241.00M,831.00M,1.25B,1.044B,2.294B,637.00M,637.00M,,637.00M,2.99B,2.99B,,643.00M,7.406B,2.541B,,2.541B,2.49B,43.00M,2.712B,201.00M,74.00M,13.95B,,2015-12,808.00M,9.409B,-1.051B,7.358B,,2015-12,AOR,Restated
2015-09,1.74B,1.356B,3.096B,465.00M,,465.00M,308.00M,239.00M,465.00M,,4.573B,,3.066B,,,823.00M,23.82B,-8.896B,14.93B,970.00M,469.00M,1.439B,40.00M,,6.00M,172.00M,16.59B,21.16B,,2015-09,286.00M,908.00M,1.364B,692.00M,2.056B,287.00M,287.00M,,287.00M,3.513B,3.513B,,541.00M,7.084B,2.381B,,2.381B,3.111B,45.00M,3.327B,179.00M,265.00M,14.19B,,2015-09,808.00M,8.922B,-903.00M,6.968B,,2015-09,AOR,Restated
2015-06,1.772B,1.36B,3.132B,462.00M,,462.00M,326.00M,255.00M,421.00M,,4.596B,,2.972B,,,745.00M,23.52B,-8.663B,14.86B,970.00M,474.00M,1.444B,40.00M,,1.00M,134.00M,16.48B,21.08B,,2015-06,355.00M,730.00M,1.255B,724.00M,1.979B,276.00M,276.00M,,276.00M,3.815B,3.815B,,317.00M,6.876B,2.411B,,2.411B,3.29B,48.00M,3.51B,176.00M,105.00M,13.92B,,2015-06,808.00M,8.387B,-664.00M,7.158B,,2015-06,AOR,Restated
2015-03,2.025B,1.413B,3.438B,499.00M,,499.00M,304.00M,270.00M,452.00M,,4.963B,,2.899B,,,686.00M,23.06B,-8.455B,14.61B,970.00M,479.00M,1.449B,31.00M,,4.00M,109.00M,16.20B,21.16B,,2015-03,429.00M,735.00M,1.345B,661.00M,2.006B,271.00M,271.00M,,271.00M,3.613B,3.613B,,356.00M,6.903B,2.416B,,2.416B,3.252B,51.00M,3.467B,172.00M,488.00M,14.26B,,2015-03,808.00M,7.829B,-742.00M,6.902B,,2015-03,AOR,Restated
2014-12,1.282B,1.706B,2.988B,365.00M,,365.00M,342.00M,232.00M,,,3.927B,,2.853B,,,621.00M,22.51B,-8.221B,14.29B,970.00M,363.00M,1.333B,35.00M,,,136.00M,15.80B,19.72B,,2014-12,244.00M,917.00M,1.284B,771.00M,2.055B,258.00M,258.00M,,258.00M,2.897B,2.897B,,174.00M,5.923B,2.434B,,2.434B,2.782B,53.00M,3.009B,169.00M,622.00M,12.95B,,2014-12,808.00M,7.416B,-738.00M,6.775B,,2014-12,AOR,Restated
2014-09,1.832B,1.728B,3.56B,468.00M,,468.00M,429.00M,291.00M,237.00M,,4.985B,,2.866B,,,570.00M,22.06B,-8.091B,13.96B,970.00M,366.00M,1.336B,36.00M,,86.00M,131.00M,15.55B,20.54B,,2014-09,192.00M,854.00M,1.235B,768.00M,2.003B,607.00M,607.00M,,607.00M,3.377B,3.377B,,31.00M,6.446B,2.125B,,2.125B,3.36B,57.00M,3.584B,143.00M,37.00M,13.11B,,2014-09,808.00M,7.266B,-92.00M,7.429B,,2014-09,AOR,Restated
2014-06,1.882B,2.112B,3.994B,447.00M,,447.00M,435.00M,276.00M,165.00M,,5.317B,,2.792B,,,515.00M,21.59B,-7.86B,13.73B,970.00M,369.00M,1.339B,39.00M,,271.00M,198.00M,15.57B,20.89B,,2014-06,592.00M,857.00M,1.67B,714.00M,2.384B,605.00M,605.00M,,605.00M,3.485B,3.485B,,,7.027B,2.153B,,2.153B,3.017B,59.00M,3.236B,144.00M,40.00M,13.38B,,2014-06,808.00M,6.979B,111.00M,7.516B,,2014-06,AOR,Restated
2014-03,1.741B,1.757B,3.498B,457.00M,,457.00M,438.00M,241.00M,180.00M,,4.814B,,2.716B,,,478.00M,21.06B,-7.643B,13.42B,970.00M,372.00M,1.342B,37.00M,,183.00M,180.00M,15.16B,19.98B,,2014-03,278.00M,894.00M,1.359B,679.00M,2.038B,642.00M,642.00M,,642.00M,3.332B,3.332B,,,6.441B,2.172B,,2.172B,2.997B,62.00M,3.215B,140.00M,41.00M,12.79B,,2014-03,808.00M,6.555B,-12.00M,7.19B,,2014-03,AOR,Restated
2013-12,1.355B,1.797B,3.152B,419.00M,,419.00M,467.00M,250.00M,168.00M,,4.456B,,2.666B,,,453.00M,20.82B,-7.431B,13.39B,970.00M,166.00M,1.136B,44.00M,,145.00M,175.00M,14.89B,19.34B,,2013-12,211.00M,912.00M,1.312B,747.00M,2.059B,629.00M,629.00M,,629.00M,2.571B,2.571B,,12.00M,5.676B,2.191B,,2.191B,2.934B,65.00M,3.162B,138.00M,45.00M,12.01B,,2013-12,808.00M,6.431B,-3.00M,7.336B,,2013-12,AOR,Restated
2013-09,1.333B,1.995B,3.328B,463.00M,,463.00M,521.00M,228.00M,233.00M,,4.773B,,2.963B,,,,20.44B,-7.235B,13.20B,970.00M,123.00M,1.093B,44.00M,14.00M,80.00M,157.00M,14.59B,19.36B,,2013-09,116.00M,,1.25B,722.00M,1.972B,259.00M,259.00M,,259.00M,2.981B,2.981B,,3.00M,5.546B,2.616B,,2.616B,2.937B,54.00M,3.144B,169.00M,72.00M,12.35B,,2013-09,808.00M,6.246B,-114.00M,7.013B,,2013-09,AOR,Restated
2013-06,1.489B,1.904B,3.393B,514.00M,,514.00M,461.00M,209.00M,287.00M,,4.864B,,2.883B,,,,20.22B,-7.059B,13.16B,970.00M,127.00M,1.097B,41.00M,27.00M,31.00M,158.00M,14.52B,19.38B,,2013-06,119.00M,,1.351B,674.00M,2.025B,263.00M,263.00M,,263.00M,3.077B,3.077B,,36.00M,5.779B,2.671B,,2.671B,2.883B,57.00M,3.087B,162.00M,79.00M,12.60B,,2013-06,808.00M,6.015B,-248.00M,6.781B,,2013-06,AOR,Restated
2013-03,1.338B,1.797B,3.135B,429.00M,,429.00M,480.00M,215.00M,255.00M,,4.514B,,2.754B,,,,19.99B,-6.861B,13.13B,970.00M,132.00M,1.102B,43.00M,54.00M,201.00M,153.00M,14.68B,19.20B,,2013-03,58.00M,,1.308B,644.00M,1.952B,280.00M,280.00M,,280.00M,2.877B,2.877B,,,5.411B,2.708B,,2.708B,2.904B,60.00M,3.108B,154.00M,66.00M,12.24B,,2013-03,808.00M,5.818B,-111.00M,6.961B,,2013-03,AOR,Restated
2012-12,1.113B,1.857B,2.97B,332.00M,,332.00M,469.00M,210.00M,246.00M,,4.227B,,2.383B,,,331.00M,19.50B,-6.731B,12.77B,970.00M,138.00M,1.108B,41.00M,,306.00M,148.00M,14.37B,18.60B,,2012-12,195.00M,805.00M,1.174B,691.00M,1.865B,271.00M,271.00M,,271.00M,2.17B,2.17B,,50.00M,4.65B,2.883B,,2.883B,2.884B,63.00M,3.088B,148.00M,,11.60B,,2012-12,808.00M,5.768B,-119.00M,6.992B,,2012-12,AOR,Restated
2012-09,1.168B,2.067B,3.235B,,,430.00M,544.00M,224.00M,219.00M,,4.652B,,,2.671B,,,19.29B,-6.722B,12.57B,970.00M,144.00M,1.114B,42.00M,,294.00M,139.00M,14.16B,18.81B,,2012-09,,,1.14B,1.04B,2.18B,,265.00M,,265.00M,,,,2.524B,4.969B,2.961B,,2.961B,2.701B,66.00M,2.767B,,,11.81B,,2012-09,808.00M,5.70B,-125.00M,7.002B,,2012-09,AOR,Restated
2012-06,1.083B,2.173B,3.256B,,,502.00M,446.00M,203.00M,284.00M,,4.691B,2.57B,,,,,18.94B,-6.60B,12.34B,970.00M,151.00M,1.121B,59.00M,,154.00M,149.00M,13.82B,18.52B,,2012-06,138.00M,,1.291B,630.00M,1.921B,257.00M,257.00M,,257.00M,,,,2.561B,5.08B,3.019B,,3.019B,2.563B,69.00M,2.632B,112.00M,,11.68B,,2012-06,808.00M,5.692B,-320.00M,6.84B,,2012-06,AOR,Restated
2012-03,1.558B,2.226B,3.784B,,,367.00M,432.00M,318.00M,219.00M,,5.12B,2.507B,,,,,18.55B,-6.456B,12.10B,970.00M,147.00M,1.117B,73.00M,,264.00M,157.00M,13.71B,18.83B,,2012-03,,,1.208B,1.024B,2.232B,,259.00M,,259.00M,,,,2.556B,5.047B,3.048B,,3.048B,2.638B,72.00M,2.71B,,,11.73B,,2012-03,808.00M,5.486B,-57.00M,7.097B,,2012-03,AOR,Restated
2011-12,829.00M,2.315B,3.144B,299.00M,,299.00M,401.00M,238.00M,263.00M,,4.345B,,2.423B,,,,18.42B,-6.294B,12.13B,970.00M,155.00M,1.125B,97.00M,,253.00M,121.00M,13.72B,18.07B,,2011-12,69.00M,,1.126B,570.00M,1.696B,644.00M,644.00M,,644.00M,1.836B,1.836B,,85.00M,4.533B,3.107B,,3.107B,2.566B,75.00M,2.766B,107.00M,,11.19B,,2011-12,808.00M,5.395B,-224.00M,6.877B,,2011-12,AOR,Restated
2011-09,1.016B,2.64B,3.656B,369.00M,,369.00M,459.00M,110.00M,0.00,,4.594B,,,,2.303B,,17.98B,-6.149B,11.83B,970.00M,,970.00M,,,,487.00M,13.29B,17.88B,,2011-09,,,1.083B,1.193B,2.276B,,986.00M,,986.00M,,,,2.058B,5.32B,3.22B,,3.22B,1.856B,78.00M,1.934B,,,11.40B,,2011-09,808.00M,5.251B,-513.00M,6.485B,,2011-09,AOR,Restated
2011-06,1.595B,2.779B,4.374B,,,389.00M,394.00M,264.00M,0.00,,5.421B,2.286B,,,,,17.77B,-6.046B,11.72B,971.00M,184.00M,1.155B,89.00M,,312.00M,247.00M,13.52B,18.94B,,2011-06,,,1.049B,637.00M,1.686B,990.00M,990.00M,,990.00M,32.00M,134.00M,102.00M,2.154B,5.318B,3.242B,,3.242B,2.263B,82.00M,2.345B,98.00M,,11.74B,,2011-06,808.00M,5.398B,-107.00M,7.202B,,2011-06,AOR,Restated
2011-03,2.039B,2.426B,4.465B,,,282.00M,320.00M,262.00M,0.00,,5.329B,2.153B,,,172.00M,,16.42B,-5.919B,10.50B,,,,,,,589.00M,11.08B,16.41B,,2011-03,,,916.00M,827.00M,1.743B,,905.00M,,905.00M,,,,1.71B,4.358B,2.428B,,2.428B,2.496B,85.00M,2.581B,,,9.827B,,2011-03,808.00M,5.399B,79.00M,6.587B,,2011-03,AOR,Restated
2010-12,1.261B,2.277B,3.538B,195.00M,,195.00M,243.00M,89.00M,214.00M,,4.279B,,,,2.122B,,16.34B,-5.765B,10.58B,,,,,,,606.00M,11.18B,15.46B,,2010-12,,,739.00M,863.00M,1.602B,,505.00M,,505.00M,,,,1.198B,3.305B,2.875B,,2.875B,2.493B,88.00M,2.581B,,,9.226B,,2010-12,808.00M,5.399B,-262.00M,6.237B,,2010-12,AOR,Restated
2010-09,1.031B,2.348B,3.379B,289.00M,,289.00M,231.00M,80.00M,63.00M,,4.042B,,,,,,16.25B,-5.682B,10.57B,,,,,,,535.00M,11.10B,15.14B,,2010-09,,,707.00M,944.00M,1.651B,,113.00M,,113.00M,,,,1.423B,3.187B,3.35B,,3.35B,2.14B,92.00M,2.232B,,,9.193B,,2010-09,808.00M,5.273B,-453.00M,5.95B,,2010-09,AOR,Restated
2010-06,989.00M,2.135B,3.124B,277.00M,,277.00M,226.00M,92.00M,252.00M,,3.971B,2.024B,,,14.16B,,16.18B,-5.555B,10.63B,,,,,,,389.00M,11.02B,14.99B,,2010-06,,,787.00M,942.00M,1.729B,,123.00M,,123.00M,,,,1.486B,3.338B,3.324B,,3.324B,2.192B,95.00M,2.287B,,,9.439B,,2010-06,808.00M,5.075B,-641.00M,5.548B,,2010-06,AOR,Restated
2010-03,1.11B,1.663B,2.773B,235.00M,,235.00M,227.00M,95.00M,291.00M,,3.621B,1.965B,,,14.06B,,16.02B,-5.402B,10.62B,,,,,,,288.00M,10.91B,14.53B,,2010-03,,,690.00M,657.00M,1.347B,,170.00M,,170.00M,,,,1.40B,2.917B,3.305B,,3.305B,2.25B,98.00M,2.348B,,,8.993B,,2010-03,808.00M,4.973B,-518.00M,5.537B,,2010-03,AOR,Restated
2009-12,1.114B,1.479B,2.593B,169.00M,,169.00M,221.00M,84.00M,291.00M,,3.358B,,,,,,15.89B,-5.254B,10.63B,,,,,,,277.00M,10.91B,14.27B,,2009-12,,,746.00M,696.00M,1.442B,,190.00M,,190.00M,,,,1.044B,2.676B,3.325B,,3.325B,2.207B,102.00M,2.309B,,,8.803B,,2009-12,808.00M,4.983B,-578.00M,5.466B,,2009-12,AOR,Restated
2009-09,902.00M,1.352B,2.254B,225.00M,,225.00M,196.00M,87.00M,365.00M,,3.127B,,,,,,15.86B,-5.166B,10.70B,,,,,,,275.00M,10.97B,14.10B,,2009-09,,,694.00M,918.00M,1.612B,,198.00M,,198.00M,,,,1.214B,3.024B,3.378B,,3.378B,1.947B,125.00M,2.072B,,,8.883B,,2009-09,808.00M,4.876B,-715.00M,5.217B,,2009-09,AOR,Restated
2009-06,946.00M,1.252B,2.198B,237.00M,,237.00M,200.00M,94.00M,365.00M,,3.094B,,,,,,15.74B,-5.082B,10.66B,,,,,,,272.00M,10.93B,14.03B,,2009-06,,,732.00M,1.029B,1.761B,,105.00M,,105.00M,,,,1.207B,3.073B,3.278B,,3.278B,1.921B,128.00M,2.53B,,,8.881B,,2009-06,808.00M,4.863B,-762.00M,5.146B,,2009-06,AOR,Restated
2009-03,1.145B,989.00M,2.134B,231.00M,,231.00M,171.00M,95.00M,365.00M,,2.996B,,,,,,15.78B,-4.968B,10.81B,,,,,,,370.00M,11.18B,14.18B,,2009-03,,,693.00M,1.016B,1.709B,,163.00M,,163.00M,,,,1.251B,3.123B,3.447B,,3.447B,1.895B,111.00M,2.681B,,,9.251B,,2009-03,808.00M,4.819B,-922.00M,4.928B,,2009-03,AOR,Restated
2008-12,1.368B,435.00M,1.803B,209.00M,,209.00M,203.00M,73.00M,365.00M,,2.653B,,,,,,15.87B,-4.831B,11.04B,,,,,,,375.00M,11.42B,14.07B,,2008-12,,,668.00M,1.012B,1.68B,,163.00M,,163.00M,,,,963.00M,2.806B,3.498B,,3.498B,1.904B,105.00M,2.009B,,,9.115B,,2008-12,808.00M,4.919B,-984.00M,4.953B,,2008-12,AOR,Restated
2008-09,2.39B,1.041B,3.431B,385.00M,,385.00M,286.00M,77.00M,,1.122B,5.301B,1.655B,,,14.24B,,15.89B,-4.692B,11.20B,,,,,,,1.676B,12.87B,18.18B,,2008-09,,,701.00M,3.54B,4.241B,,72.00M,,72.00M,,,,1.275B,5.588B,2.58B,,2.58B,2.568B,97.00M,2.943B,,,11.11B,,2008-09,808.00M,4.98B,1.066B,7.064B,,2008-09,AOR,Restated
2008-06,4.653B,1.185B,5.838B,447.00M,,447.00M,301.00M,65.00M,,2.278B,8.929B,,,,,,15.72B,-4.551B,11.17B,,,,,,,3.163B,14.33B,23.26B,,2008-06,,,903.00M,6.097B,7.00B,,71.00M,,71.00M,,,,1.303B,8.374B,2.59B,,2.59B,3.193B,100.00M,3.293B,,,14.53B,,2008-06,808.00M,5.123B,2.699B,8.73B,,2008-06,AOR,Restated
