,NetIncome,Gain/LossonSaleBusiness,NetForeignCurrencyExchangeGain/Loss,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2018-03,110.13M,,,0.00,0.00,,,29.31M,29.31M,,,1.366M,11.98M,,-25.83M,-13.28M,9.614M,-69.47M,69.05M,,,-4.085M,149.08M,-15.08M,,-12.96M,-2.119M,-0.482M,-4.057M,,-19.62M,-210.00M,-210.00M,3.634M,-19.36M,-15.72M,-49.97M,-49.97M,,-0.823M,-276.52M,858.90M,-147.06M,-7.556M,704.28M,3.634M,70.00M,-280.00M,-19.36M,23.66M,7.718M
2017-12,9.526M,,,0.00,0.00,,,29.37M,29.37M,,,1.292M,12.01M,,13.30M,-49.46M,6.182M,12.55M,111.08M,,,80.35M,132.55M,-18.35M,,-15.97M,-2.382M,3.225M,-13.13M,,-28.26M,0.00,0.00,16.82M,-8.541M,8.284M,-49.86M,-49.86M,,-13.85M,-55.42M,811.10M,48.87M,-1.075M,858.90M,16.82M,0.00,0.00,-8.541M,21.30M,7.37M
2017-09,86.12M,,,,,,,29.57M,29.57M,,,0.962M,11.95M,,12.91M,23.32M,-26.94M,-15.41M,-15.59M,,,-34.62M,93.98M,-18.27M,,-16.03M,-2.242M,-3.225M,6.073M,,-15.42M,-60.00M,-60.00M,3.615M,0.00,3.615M,-49.70M,-49.70M,,,-106.08M,821.94M,-27.52M,16.69M,811.10M,3.615M,50.00M,-110.00M,0.00,30.16M,7.785M
2017-06,101.61M,,,,,,,28.17M,28.17M,,,1.367M,11.66M,,0.00,-30.81M,-3.453M,9.297M,22.47M,,,-2.496M,140.31M,-20.64M,,-18.36M,-2.277M,-3.88M,-6.761M,,-31.28M,-90.00M,-90.00M,23.06M,0.00,23.06M,-46.80M,-46.80M,,-8.159M,-121.89M,827.31M,-12.86M,7.486M,821.94M,23.06M,100.00M,-190.00M,0.00,16.18M,7.756M
2017-03,87.82M,,,,,,,28.48M,28.48M,,,0.382M,11.46M,,-8.46M,-25.71M,-2.042M,-13.36M,-10.98M,,,-52.09M,67.60M,-16.99M,,-14.61M,-2.377M,-0.21M,-0.721M,,-17.92M,0.00,0.00,5.439M,0.00,5.439M,-46.68M,-46.68M,,-11.68M,-52.92M,788.15M,-3.244M,42.41M,827.31M,5.439M,275.00M,-275.00M,0.00,16.44M,7.382M
2016-12,76.74M,,,,,,,27.73M,27.73M,,,0.206M,10.75M,,-1.973M,-43.29M,-8.031M,3.918M,41.79M,,,-5.607M,119.90M,-16.82M,,-14.69M,-2.132M,-0.094M,-2.61M,,-19.52M,-5.00M,-5.00M,3.486M,0.00,3.486M,-46.49M,-46.49M,,,-48.00M,781.66M,52.38M,-45.89M,788.15M,3.486M,50.00M,-55.00M,0.00,32.02M,6.697M
2016-09,76.11M,,,,,,,27.78M,27.78M,,,0.00,12.05M,,12.05M,36.21M,-28.07M,-19.12M,-18.71M,,,-29.69M,86.24M,-17.03M,,-14.56M,-2.471M,-3.09M,6.952M,,-13.17M,0.00,0.00,6.33M,,6.33M,-46.38M,-46.38M,,,-40.05M,731.43M,33.03M,17.20M,781.66M,6.33M,25.00M,-25.00M,,28.26M,6.401M
2016-06,83.13M,,,,,,,27.02M,27.02M,,,0.00,11.63M,,-2.832M,-30.10M,4.48M,12.02M,37.62M,,,24.02M,142.96M,-16.80M,,-14.40M,-2.404M,-799.22M,-2.135M,,-818.16M,739.40M,739.40M,10.76M,0.00,10.76M,-42.10M,-42.10M,,0.00,708.05M,718.50M,32.85M,-19.91M,731.43M,10.76M,830.00M,-90.60M,0.00,13.29M,6.319M
2016-03,90.79M,,,,,,,19.91M,19.91M,,,0.00,10.94M,,-0.049M,-21.74M,17.26M,-14.30M,21.94M,,,3.165M,124.75M,-15.19M,,-13.20M,-1.989M,-90.53M,21.98M,,-83.73M,17.07M,17.07M,8.871M,0.00,8.871M,-41.97M,-41.97M,,-0.108M,-16.14M,658.80M,24.88M,34.81M,718.50M,8.871M,110.00M,-92.93M,0.00,16.50M,1.891M
2015-12,95.58M,,,,,,,21.52M,21.52M,,,3.565M,11.46M,,-12.49M,-5.965M,25.94M,17.92M,-14.30M,,,23.60M,155.61M,-17.01M,,-14.53M,-2.479M,-152.12M,8.015M,,-161.11M,-100.15M,-100.15M,3.714M,-44.20M,-40.49M,-41.98M,-41.98M,,-1.12M,-183.73M,822.05M,-189.23M,25.98M,658.80M,3.714M,0.00,-100.15M,-44.20M,21.06M,1.749M
2015-09,82.92M,,,,,,,18.40M,18.40M,,,,12.38M,,12.38M,30.50M,-17.19M,-3.526M,1.127M,,,10.90M,124.61M,-18.83M,,-16.40M,-2.423M,0.00,-43.92M,,-62.75M,199.99M,199.99M,4.352M,-57.86M,-53.50M,-42.08M,-42.08M,,,104.41M,717.25M,166.27M,-61.46M,822.05M,4.352M,200.00M,-0.008M,-57.86M,18.12M,1.247M
2015-06,87.46M,0.00,,,0.00,,,17.75M,17.75M,,,0.00,13.05M,-4.221M,-14.20M,-13.44M,-18.73M,-19.36M,37.33M,,,-14.21M,99.70M,-14.57M,,-12.24M,-2.333M,-2.919M,-5.988M,,-23.48M,-160.01M,-160.01M,15.63M,-57.00M,-41.38M,-39.40M,-39.40M,,4.221M,-236.56M,866.32M,-160.34M,11.26M,717.25M,15.63M,20.00M,-180.01M,-57.00M,14.70M,1.525M
2015-03,90.98M,0.00,,,0.00,,,17.86M,17.86M,,,0.00,11.72M,-9.849M,1.869M,-25.88M,-16.39M,0.822M,21.68M,,,-19.77M,90.94M,-12.89M,,-10.59M,-2.299M,-9.175M,3.068M,,-19.00M,9.492M,9.492M,13.24M,-19.24M,-5.995M,-39.38M,-39.38M,,9.849M,-26.04M,880.70M,45.90M,-60.28M,866.32M,13.24M,11.00M,-1.508M,-19.24M,4.901M,1.509M
2014-12,91.18M,0.00,,,0.00,,,18.87M,18.87M,,,0.00,11.72M,-8.314M,3.403M,-9.737M,-26.51M,10.86M,17.94M,,,-7.45M,106.00M,-21.44M,,-18.99M,-2.444M,-10.46M,-27.09M,,-59.00M,73.99M,73.99M,5.001M,-37.25M,-32.25M,-39.28M,-39.28M,,8.314M,10.78M,881.69M,57.78M,-58.78M,880.70M,5.001M,74.00M,-0.009M,-37.25M,14.56M,1.511M
2014-09,83.26M,-0.709M,,,-0.709M,,,18.58M,18.58M,,,,11.37M,-2.575M,8.792M,20.80M,-37.90M,-15.17M,8.872M,,,-23.39M,86.54M,-23.05M,,-20.68M,-2.366M,-6.85M,-11.71M,,-41.60M,74.99M,74.99M,4.93M,-46.80M,-41.87M,-39.20M,-39.20M,,2.117M,-3.965M,905.73M,40.97M,-65.00M,881.69M,4.93M,75.00M,-0.01M,-46.80M,14.37M,1.233M
2014-06,87.74M,0.00,3.305M,,3.305M,,,19.82M,19.82M,,,,10.78M,-4.947M,-27.57M,-22.24M,-0.116M,9.834M,17.69M,,,5.169M,115.58M,-21.26M,,-18.51M,-2.743M,-0.68M,-0.901M,,-22.84M,-95.01M,-95.01M,17.73M,-32.77M,-15.04M,-35.13M,-35.13M,,4.947M,-140.24M,938.56M,-47.49M,14.66M,905.73M,17.73M,50.00M,-145.01M,-32.77M,14.06M,1.449M
2014-03,89.97M,0.00,-5.275M,,-5.275M,,,17.18M,17.18M,,,,11.22M,-1.902M,9.317M,-34.93M,13.90M,-6.114M,17.05M,,,-10.10M,101.10M,-20.13M,,-17.78M,-2.348M,0.00,-3.069M,,-23.20M,-40.08M,-40.08M,5.488M,-75.81M,-70.32M,-35.26M,-35.26M,,1.227M,-144.43M,972.68M,-66.54M,32.43M,938.56M,5.488M,14.93M,-55.01M,-75.81M,14.40M,1.442M
2013-12,86.64M,0.00,3.623M,,3.623M,,,18.58M,18.58M,,,,10.64M,-7.245M,3.399M,-18.21M,-2.787M,6.545M,-13.62M,,,-28.07M,84.16M,-21.34M,,-19.67M,-1.664M,-3.172M,-2.848M,,-27.36M,72.90M,72.90M,3.666M,-70.77M,-67.10M,-35.65M,-35.65M,,7.245M,-22.61M,976.57M,34.20M,-38.10M,972.68M,3.666M,432.91M,-360.01M,-70.77M,22.11M,1.639M
2013-09,80.93M,0.00,-1.653M,,-1.653M,,,17.87M,17.87M,,,,10.82M,-2.241M,8.575M,40.27M,-26.85M,-4.451M,-24.27M,,,-15.30M,90.42M,-18.43M,,-16.75M,-1.679M,0.00,-3.161M,,-21.59M,59.99M,59.99M,6.47M,-22.82M,-16.35M,-35.48M,-35.48M,,1.799M,9.96M,876.05M,78.79M,21.73M,976.57M,6.47M,60.00M,-0.009M,-22.82M,39.61M,1.599M
2013-06,73.01M,,5.728M,,5.728M,,,19.66M,19.66M,,,0.25M,10.50M,-5.55M,-16.95M,-28.05M,17.28M,-24.80M,57.72M,,,22.15M,123.92M,-18.35M,,-16.00M,-2.35M,0.00,-8.132M,,-26.48M,-40.04M,-40.04M,19.36M,-70.92M,-51.56M,-24.26M,-24.26M,,-0.599M,-116.47M,1.013B,-19.04M,-117.62M,876.05M,19.36M,60.00M,-100.04M,-70.92M,23.35M,1.747M
2013-03,84.91M,,-5.351M,,-5.351M,,,20.67M,20.67M,,,0.00,10.22M,-4.538M,5.677M,-14.97M,26.36M,-1.131M,-9.17M,,,1.087M,107.00M,-20.99M,,-19.94M,-1.052M,0.00,-0.011M,,-21.00M,39.99M,39.99M,16.58M,-67.29M,-50.71M,-24.25M,-24.25M,,4.538M,-30.44M,958.28M,55.56M,-1.143M,1.013B,16.58M,40.00M,-0.009M,-67.29M,18.14M,1.72M
2012-12,77.94M,,1.364M,,1.364M,,,19.30M,19.30M,,,0.225M,9.522M,-4.459M,5.288M,-12.64M,0.201M,-0.263M,2.457M,,,-10.24M,93.65M,-17.57M,,-13.80M,-3.766M,0.00,2.042M,,-15.53M,34.99M,34.99M,11.64M,-39.96M,-28.32M,-25.84M,-25.84M,,4.459M,-14.71M,890.63M,63.41M,4.242M,958.28M,11.64M,35.00M,-0.009M,-39.96M,19.67M,1.557M
2012-09,71.26M,,-1.741M,,-1.741M,,,18.65M,18.65M,,,,7.921M,-3.76M,4.161M,18.40M,-16.70M,-2.487M,-13.29M,,,-14.08M,78.25M,-14.87M,,-13.83M,-1.035M,-5.418M,5.301M,,-14.98M,14.84M,14.84M,21.67M,-8.095M,13.57M,-22.84M,-22.84M,,2.119M,7.69M,809.54M,70.96M,10.13M,890.63M,21.67M,15.00M,-0.158M,-8.095M,24.56M,1.363M
2012-06,76.85M,,-4.888M,0.00,-4.888M,,,22.43M,22.43M,,,1.717M,8.141M,-4.871M,-22.44M,-20.05M,6.032M,-10.90M,24.09M,,,-0.824M,96.98M,-13.53M,,-12.07M,-1.466M,0.00,5.383M,,-8.151M,14.90M,14.90M,25.05M,-91.72M,-66.66M,0.00,0.00,,4.871M,-46.89M,776.07M,41.94M,-8.463M,809.54M,25.05M,85.00M,-70.10M,-91.72M,26.98M,1.69M
2012-03,64.61M,,0.74M,0.00,0.74M,,,20.03M,20.03M,,,0.00,7.855M,-2.081M,5.774M,-26.55M,3.838M,-5.475M,23.06M,,,-5.127M,86.03M,-11.60M,,-9.878M,-1.725M,-1.399M,7.191M,,-5.811M,9.506M,9.506M,17.50M,-65.06M,-47.55M,0.00,0.00,,2.081M,-35.97M,723.23M,44.25M,8.586M,776.07M,17.50M,10.00M,-0.494M,-65.06M,6.366M,1.304M
2011-12,62.87M,,-12.27M,0.00,-12.27M,,,22.99M,22.99M,,,2.299M,7.385M,-0.94M,8.744M,12.02M,4.693M,9.47M,2.114M,,,28.30M,110.63M,-14.41M,,-12.31M,-2.095M,0.00,-1.562M,,-15.97M,92.45M,92.45M,10.58M,-114.27M,-103.69M,0.00,0.00,,0.94M,-10.31M,610.06M,84.36M,28.81M,723.23M,10.58M,95.38M,-2.937M,-114.27M,17.56M,1.086M
2011-09,50.52M,,2.77M,-2.07M,0.70M,,,20.41M,20.41M,,,,7.205M,-0.856M,6.349M,14.29M,4.243M,-31.04M,24.05M,,,11.55M,89.52M,-21.56M,,-12.88M,-8.686M,-51.92M,1.802M,,-71.68M,27.54M,27.54M,9.354M,-121.70M,-112.34M,0.00,0.00,,0.856M,-83.94M,735.27M,-66.10M,-59.10M,610.06M,9.354M,80.00M,-52.46M,-121.70M,4.294M,0.706M
2011-06,226.99M,,-3.869M,,-3.869M,,,,19.51M,11.57M,,0.00,7.613M,,-149.48M,-19.31M,7.815M,-0.705M,7.265M,,,-4.935M,74.33M,-18.88M,,-17.45M,-1.439M,0.00,3.748M,,-15.14M,98.36M,19.66M,20.29M,-62.45M,-42.16M,,,,2.944M,-19.55M,671.70M,39.64M,23.92M,735.27M,20.29M,98.43M,-0.072M,-62.45M,85.10M,1.758M
2011-03,,,-1.10M,,-1.10M,,,,18.12M,-3.016M,,0.00,6.693M,,52.87M,-13.21M,12.62M,9.26M,-0.822M,,,7.844M,81.41M,-16.30M,,-16.04M,-0.253M,-1.30M,3.001M,,-14.60M,-64.14M,14.56M,20.62M,-59.53M,-38.91M,,,,3.016M,-21.34M,616.20M,45.47M,10.03M,671.70M,20.62M,,-64.14M,-59.53M,-43.55M,-0.694M
2010-12,-56.71M,,-4.773M,,-4.773M,,,,17.35M,-6.153M,,0.00,8.153M,,104.56M,-9.995M,3.519M,-1.942M,3.70M,,,-4.718M,68.31M,-21.06M,,-17.79M,-3.275M,0.00,9.446M,-4.255M,-15.87M,-29.38M,-29.38M,39.99M,-18.72M,21.26M,,,,6.153M,-1.967M,540.00M,50.47M,25.72M,616.20M,39.99M,0.00,-29.38M,-18.72M,21.26M,0.275M
2010-09,56.71M,,-7.519M,,-7.519M,,,,15.64M,-2.397M,,2.257M,8.35M,,10.61M,11.72M,-12.56M,5.421M,-18.48M,,,-13.90M,59.14M,-16.80M,,-15.33M,-1.464M,-21.15M,2.784M,4.255M,-30.91M,-30.00M,-30.00M,13.76M,-22.64M,-8.881M,,,,2.397M,-36.48M,488.78M,-8.249M,59.48M,540.00M,13.76M,0.00,-30.00M,-22.64M,22.29M,0.419M
2010-06,53.17M,,1.534M,,1.534M,,,61.56M,15.47M,11.46M,,0.00,7.884M,,-5.285M,-11.51M,2.634M,-4.529M,-4.938M,,,-18.35M,58.96M,-17.63M,,-16.32M,-1.308M,0.454M,3.161M,-0.284M,-14.30M,-20.00M,-20.00M,29.87M,-54.55M,-24.68M,,,,5.027M,-39.65M,520.94M,5.011M,-37.17M,488.78M,29.87M,,-20.00M,-54.55M,19.16M,1.006M
2010-03,48.83M,,-3.548M,,-3.548M,,,-29.97M,16.12M,-2.979M,,0.00,8.038M,,8.038M,-18.88M,-15.44M,-5.982M,27.64M,,,-12.66M,53.54M,-12.83M,,-11.94M,-0.893M,0.00,3.142M,0.284M,-9.407M,-0.175M,-0.175M,26.84M,-10.70M,16.14M,,,,2.979M,18.94M,451.43M,63.08M,6.427M,520.94M,26.84M,,-0.175M,-10.70M,7.451M,0.56M
2009-12,45.98M,,-1.924M,,-1.924M,,,15.88M,15.88M,-3.094M,-0.28M,0.00,7.289M,,7.009M,-1.569M,-7.601M,-5.247M,-38.86M,,,-53.27M,11.57M,-15.77M,,-14.52M,-1.257M,-10.66M,5.223M,,-21.21M,-18.26M,-18.26M,25.13M,-32.37M,-7.242M,,,,3.094M,-22.41M,477.82M,-32.05M,5.659M,451.43M,25.13M,,-18.26M,-32.37M,61.38M,0.64M
2009-09,42.10M,,-3.349M,,-3.349M,,,14.09M,14.09M,-2.069M,0.28M,0.25M,6.523M,,7.053M,7.226M,-11.87M,-0.254M,9.696M,,,4.801M,64.14M,-15.41M,,-14.08M,-1.328M,0.00,2.01M,,-13.40M,0.00,0.00,13.38M,-33.46M,-20.08M,,,,2.069M,-18.01M,415.65M,32.74M,29.44M,477.82M,13.38M,,0.00,-33.46M,8.679M,0.461M
2009-06,45.37M,,-3.721M,,-3.721M,,,-39.06M,14.90M,,,,6.431M,3.385M,23.41M,-8.299M,-0.035M,21.11M,21.51M,,,34.28M,70.23M,-30.98M,0.693M,-25.15M,-2.283M,-2.072M,7.495M,1.954M,-21.66M,-80.14M,0.00,4.972M,-12.99M,-8.017M,,,-3.385M,3.87M,-7.532M,327.07M,41.04M,47.54M,415.65M,4.972M,-80.14M,0.00,-12.99M,16.93M,5.967M
2009-03,39.20M,,0.403M,,0.403M,-26.02M,-0.11M,12.94M,12.94M,,,,6.662M,-1.945M,1.299M,-13.46M,-9.094M,-0.105M,8.352M,,,-14.31M,44.25M,-23.16M,1.07M,-20.92M,-0.852M,0.00,0.00,-0.857M,-22.63M,8.614M,8.614M,7.181M,-26.63M,-19.45M,,,1.945M,,-8.887M,320.48M,12.73M,-6.143M,327.07M,7.181M,9.137M,-0.523M,-26.63M,-0.148M,-2.675M
2008-12,33.85M,,20.15M,,20.15M,11.74M,0.032M,11.77M,11.77M,,,,12.42M,-1.44M,-19.58M,-15.70M,-4.944M,-4.601M,24.57M,,,-0.679M,56.49M,-29.67M,-1.441M,-28.84M,-0.827M,-0.322M,-0.899M,0.818M,-30.07M,33.09M,15.86M,3.636M,-1.961M,1.675M,,,1.44M,-1.07M,17.90M,302.07M,44.33M,-25.92M,320.48M,3.636M,71.00M,-37.91M,-1.961M,0.148M,2.675M
2008-09,28.03M,,,,,14.28M,0.078M,14.36M,14.36M,,,,,,21.70M,4.566M,-2.068M,4.516M,-3.188M,,,3.826M,67.91M,-34.46M,1.441M,-33.02M,,,,-1.915M,-34.94M,,17.23M,9.103M,-27.02M,-17.91M,,,,1.07M,0.387M,321.08M,33.36M,-52.36M,302.07M,9.103M,,,-27.02M,,
2008-06,29.63M,,,,,16.51M,0.043M,16.55M,16.55M,,,,,,5.871M,-13.96M,8.541M,12.87M,-13.42M,,,-5.975M,56.85M,-12.98M,0.00,-12.98M,,-0.001M,0.00,-1.864M,-14.85M,,5.468M,4.733M,-48.75M,-44.02M,,,,0.486M,-38.06M,307.49M,3.938M,9.646M,321.08M,4.733M,,,-48.75M,,
2008-03,29.68M,,,,,14.70M,0.041M,14.74M,14.74M,,,,,,8.067M,-4.048M,4.723M,0.284M,-19.51M,,,-18.55M,33.93M,-19.56M,24.71M,5.148M,,-0.855M,5.318M,1.542M,11.15M,,-8.00M,3.072M,-23.25M,-20.17M,,,,0.53M,-27.64M,278.50M,17.44M,11.55M,307.49M,3.072M,,,-23.25M,,
2007-12,26.86M,,,,,13.83M,-0.018M,13.81M,13.81M,,,,,,5.075M,-1.943M,0.584M,-1.618M,-23.84M,,,-26.82M,18.92M,-24.86M,,-24.86M,,,16.56M,0.921M,-7.38M,,15.00M,8.205M,-8.058M,0.147M,,,,1.74M,16.89M,251.31M,28.43M,-1.24M,278.50M,8.205M,,,-8.058M,,
2007-09,24.12M,,,,,14.29M,0.099M,14.39M,14.39M,,,,,,3.143M,3.872M,-4.243M,-0.896M,-12.26M,,,-13.53M,28.13M,-18.37M,,-18.37M,,,-6.932M,-1.478M,-26.78M,,-5.108M,5.617M,-16.50M,-10.88M,,,,1.057M,-14.94M,257.79M,-13.58M,7.106M,251.31M,5.617M,,,-16.50M,,
2007-06,27.67M,,,,0.00,13.10M,0.035M,13.14M,13.14M,,,,,,3.448M,-14.03M,2.78M,20.24M,-7.251M,,,1.748M,27.11M,-14.73M,,-14.73M,,0.00,-0.559M,-4.026M,-19.31M,,-0.059M,5.582M,,3.49M,,,,1.108M,4.539M,240.11M,12.33M,5.355M,257.79M,5.582M,,,,,
2007-03,-15.36M,,,,60.35M,12.22M,0.038M,12.26M,12.26M,,,,,,0.455M,-8.591M,-14.26M,-19.98M,5.437M,,,-37.39M,20.30M,-15.72M,,-15.72M,,-1.332M,1.931M,0.00,-15.12M,,-20.00M,14.82M,,14.82M,,,,3.92M,-1.259M,232.67M,3.928M,3.51M,240.11M,14.82M,,,,,
2006-12,29.00M,,,,-0.647M,12.00M,0.039M,12.04M,12.04M,,,,,,-1.653M,-10.21M,-13.80M,-5.906M,8.749M,,,-21.17M,17.56M,-18.96M,,-18.96M,,-0.257M,-2.944M,1.392M,-20.77M,,9.589M,13.50M,,13.50M,,,,5.824M,28.92M,201.16M,25.71M,5.807M,232.67M,13.50M,,,,,
2006-09,25.00M,,,,,10.63M,0.081M,10.71M,10.71M,,,,,,3.308M,7.218M,-5.188M,-6.396M,-8.516M,,,-12.88M,26.13M,-28.15M,,-28.15M,,-0.323M,-20.00M,-1.743M,-50.21M,,,4.354M,,4.354M,,,,1.546M,5.90M,219.54M,-18.18M,-0.209M,201.16M,4.354M,,,,,
2006-06,23.09M,,,,-17.73M,11.07M,0.02M,11.09M,11.09M,,,,,,,-8.087M,-7.298M,8.744M,15.26M,,,8.621M,35.31M,-23.61M,,-23.61M,,-0.158M,2.143M,-0.063M,-22.79M,,53.62M,7.66M,,7.66M,,,,-25.22M,36.06M,166.16M,48.58M,4.805M,219.54M,7.66M,,,,,
