,NetIncome,Gain/LossonSaleBusiness,EarningsLossfromEq.Investments,OperatingGainsLosses,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2013-09,2.282B,,-0.39M,3.468M,,8.05M,8.05M,-2.109B,,5.805M,3.328M,,56.12M,26.37M,-56.75M,,0.369M,26.11M,,219.88M,,-7.337M,0.00,0.00,-0.25M,,-3.129M,-10.72M,,30.96M,30.96M,,-83.49M,-83.49M,-19.32M,-19.32M,0.005M,,-71.84M,,1.213B,137.33M,,1.350B,,,,30.96M,-83.49M,,-2.309M,,AOR,Restated
2013-06,36.42M,,0.638M,23.71M,,7.745M,7.745M,0.00,,8.624M,5.951M,,-66.84M,80.04M,-31.63M,,0.425M,-18.00M,,64.44M,,-5.639M,-0.05M,-0.05M,-0.214M,,-0.283M,-6.186M,,-449.50M,-449.50M,,-0.02M,-0.02M,0.00,0.00,11.01M,,-438.52M,,1.593B,-380.26M,,1.213B,,,,-449.50M,-0.02M,,2.309M,,AOR,Restated
2013-03,81.76M,,1.163M,1.163M,,7.339M,7.339M,0.00,,7.141M,3.035M,,99.76M,-10.80M,80.36M,,0.86M,170.18M,,270.62M,,-5.378M,0.059M,0.059M,-0.593M,,4.523M,-1.189M,,-82.38M,-82.38M,,-6.427M,-6.427M,0.00,0.00,7.537M,,-81.27M,,1.405B,188.16M,,1.593B,,,,-82.38M,-6.427M,,,,AOR,Restated
2012-12,58.74M,,0.042M,32.11M,,7.749M,7.749M,0.00,4.572M,8.529M,5.102M,,294.25M,-46.44M,-27.93M,,2.223M,222.10M,,338.91M,,-3.345M,2.881M,2.881M,-15.19M,,2.657M,-12.66M,,-490.51M,-490.51M,,0.00,0.00,0.00,0.00,5.377M,,-485.14M,,1.564B,-158.89M,,1.405B,,,35.80M,-526.31M,0.00,,,,AOR,Restated
2012-09,116.63M,,1.157M,1.157M,,7.45M,7.45M,0.00,3.405M,5.482M,4.404M,,88.75M,24.84M,-42.68M,,0.249M,71.16M,,209.69M,,-3.60M,0.078M,0.078M,-0.408M,,9.925M,5.995M,,10.11M,10.11M,,-0.053M,-0.053M,0.00,0.00,27.43M,,37.49M,,1.310B,253.17M,,1.564B,,,102.60M,-92.49M,-0.053M,,,,AOR,Restated
2012-06,42.44M,,0.708M,0.708M,,7.435M,7.435M,,3.322M,5.167M,0.429M,,26.25M,60.59M,-48.22M,,-1.268M,37.35M,,96.85M,,-3.239M,0.152M,0.152M,-0.809M,,4.676M,3.476M,,-1.52M,-1.52M,,-0.063M,-0.063M,,,0.00,,-1.583M,,1.212B,98.74M,,1.310B,,,-1.52M,,-0.063M,,,,AOR,Restated
2012-03,-11.67M,,1.522M,1.522M,,7.393M,7.393M,,5.896M,3.719M,0.421M,,45.97M,-22.63M,84.01M,,0.053M,107.40M,,114.69M,,-3.758M,4.475M,4.475M,-0.049M,,12.23M,12.90M,,1.92M,1.92M,,-0.845M,-0.845M,,,0.00,,1.075M,,1.083B,128.66M,,1.212B,,,1.92M,,-0.845M,,,,AOR,Restated
2011-12,13.82M,,0.744M,2.845M,,7.469M,7.469M,,24.37M,2.526M,9.447M,,229.12M,-107.58M,,,-105.13M,116.77M,,177.24M,,-6.076M,1.106M,1.106M,,3.30M,2.123M,0.381M,,-321.13M,-252.78M,,-0.815M,-0.815M,,,,,-253.60M,,1.159B,-75.97M,,1.083B,,,0.00,-321.13M,-0.815M,-5.665M,-29.46M,,AOR,Restated
2011-09,-224.21M,,4.905M,4.905M,,7.656M,7.656M,,251.96M,3.039M,89.01M,,6.733M,-69.21M,,,-10.52M,-73.00M,,59.36M,,-4.314M,0.271M,0.271M,,-4.491M,18.94M,10.41M,,68.83M,0.48M,0.00,-0.065M,-0.065M,,,,,0.415M,,1.089B,70.18M,,1.159B,,0.00,0.00,68.83M,-0.065M,1.814M,23.54M,,AOR,Restated
2011-06,,,-1.164M,2.373M,,8.003M,8.003M,,,5.895M,-48.25M,,-170.65M,23.88M,,,9.057M,-137.71M,,-169.69M,,-4.72M,6.737M,6.737M,,1.883M,5.727M,9.627M,,-55.52M,-55.52M,,-0.987M,-0.987M,,,,,-56.51M,,1.305B,-216.56M,,1.089B,,,,-55.52M,-0.987M,0.929M,-17.92M,,AOR,Restated
2011-03,,,-0.698M,-0.698M,,8.97M,8.97M,,,5.51M,-38.02M,,-10.32M,-127.63M,,,112.54M,-25.40M,,-49.64M,,-6.128M,2.441M,2.441M,,-0.692M,-109.67M,-114.05M,,-13.31M,-13.31M,,-0.969M,-0.969M,,,,,-14.28M,,1.483B,-177.97M,,1.305B,,,,-13.31M,-0.969M,2.922M,23.83M,,AOR,Restated
2010-12,-1.097B,,0.814M,39.73M,,10.73M,10.73M,,214.44M,4.601M,844.63M,-818.00M,36.87M,-321.39M,,,-83.67M,-223.87M,,-206.46M,,-3.532M,0.54M,0.54M,,12.77M,8.71M,-0.173M,,-934.50M,-934.50M,-8.668M,-0.908M,-9.576M,,,,,-935.41M,,2.623B,-1.142B,,1.483B,,-8.668M,18.39M,-952.90M,-0.908M,-884.60M,5.496M,,AOR,Restated
2010-09,,,5.22M,5.22M,,10.57M,10.57M,,654.92M,11.00M,-933.35M,-50.55M,-96.07M,234.97M,,,111.81M,200.16M,,-51.48M,,-2.949M,0.172M,0.172M,,7.382M,0.20M,4.805M,,-75.35M,-75.35M,0.051M,-1.366M,-1.315M,,,,,-76.67M,,2.747B,-123.34M,,2.623B,,0.051M,-75.40M,0.049M,-1.366M,-5.507M,8.459M,,AOR,Restated
2010-06,12.49M,,-3.527M,-3.527M,,11.47M,11.47M,,1.375M,8.376M,92.67M,104.54M,130.90M,-88.74M,,,-97.07M,49.64M,,172.50M,,-5.373M,0.592M,0.592M,,-19.50M,0.851M,-23.43M,,15.42M,15.42M,0.528M,-0.052M,0.476M,,,,,15.90M,,2.582B,164.97M,,2.747B,,0.528M,16.76M,-1.334M,-0.052M,103.88M,-6.575M,,AOR,Restated
2010-03,-12.49M,,0.094M,0.094M,,12.89M,12.89M,,,8.109M,7.586M,764.01M,-100.46M,-78.87M,,,76.70M,661.38M,,677.57M,,-3.325M,0.476M,0.476M,,-0.654M,2.842M,-0.661M,,40.12M,40.12M,8.089M,-1.697M,6.392M,,,,,46.51M,,1.858B,723.42M,,2.582B,,8.089M,40.25M,-0.13M,-1.697M,786.23M,10.99M,,AOR,Restated
2009-12,-116.90M,-57.20M,49.67M,-7.43M,,14.90M,14.90M,,1.482B,10.74M,-638.36M,-916.10M,453.50M,-55.29M,-10.46M,,144.47M,-383.89M,,398.84M,,-13.79M,0.504M,0.504M,0.00,-13.81M,,-18.49M,,172.97M,172.97M,2.177M,-0.929M,1.248M,,,,,-48.01M,,1.517B,332.35M,-0.57M,1.860B,,2.177M,,172.97M,-0.929M,-5.674M,16.06M,,AOR,Restated
2009-09,-361.39M,4.17M,0.786M,52.36M,,14.54M,14.54M,,0.00,18.70M,163.99M,-3.219M,-92.23M,34.23M,10.46M,,93.11M,42.35M,,-69.44M,,-3.138M,0.435M,0.435M,1.749B,-2.158M,,1.744B,,-1.790B,-1.790B,2.014M,-4.85M,-2.836M,,,,,-1.793B,,1.636B,-118.33M,-1.09M,1.517B,,2.014M,,-1.790B,-4.85M,-1.167M,22.57M,,AOR,Restated
2009-06,-189.46M,53.03M,-50.43M,-13.30M,,11.82M,11.82M,,0.00,8.413M,115.42M,2.62M,78.86M,23.15M,0.00,,71.68M,176.31M,,109.20M,,-2.596M,0.566M,0.566M,,-2.05M,,-4.08M,,-217.18M,-217.18M,0.127M,-0.058M,0.069M,,,,,-217.11M,,1.746B,-111.99M,2.235M,1.636B,,0.127M,,-217.18M,-0.058M,1.463M,-15.46M,,AOR,Restated
2009-03,-514.82M,,50.53M,50.53M,,12.98M,12.98M,,,8.485M,361.46M,363.91M,53.89M,-219.50M,0.00,,173.81M,372.12M,,290.75M,,-19.72M,0.546M,0.546M,,-8.324M,,-27.50M,,-171.06M,-171.06M,0.464M,-1.547M,-1.083M,,,,,-172.14M,,1.655B,91.11M,-0.575M,1.746B,,0.464M,,-171.06M,-1.547M,362.57M,19.20M,,AOR,Restated
2008-12,-338.16M,,13.96M,13.96M,,16.44M,16.44M,248.20M,,3.545M,368.79M,-341.82M,547.16M,-163.62M,0.00,,96.94M,138.66M,,457.08M,,-4.371M,0.411M,0.411M,0.00,-0.949M,,-4.909M,,40.38M,40.38M,2.676M,-1.236M,1.44M,,-10.27M,,,31.56M,,1.174B,483.72M,-2.353M,1.655B,,2.676M,,40.38M,-1.236M,10.96M,-18.88M,,,Restated
2008-09,-280.39M,,-0.857M,-0.854M,,18.71M,18.71M,-78.64M,,10.48M,264.95M,25.96M,217.10M,-1.882M,0.00,,98.53M,339.71M,,273.97M,,-3.063M,0.396M,0.396M,0.00,-5.834M,,-8.501M,,-70.10M,-70.10M,1.284M,-0.408M,0.876M,,-10.29M,,,-79.52M,,988.34M,185.95M,-0.404M,1.174B,,1.284M,,-70.10M,-0.408M,2.63M,19.25M,,,Restated
2008-06,-854.56M,,7.877M,4.697M,,19.11M,19.11M,-63.66M,,12.73M,914.52M,0.037M,238.92M,-3.034M,,,0.722M,236.65M,,269.49M,,-6.181M,1.708M,1.708M,,-28.49M,,-33.78M,,-309.34M,-309.34M,0.136M,0.00,0.136M,,-10.26M,,,-319.46M,,1.071B,-83.75M,0.929M,988.34M,,0.136M,,-309.34M,0.00,-2.087M,-13.57M,,,Restated
2008-03,,,-3.746M,1.025M,,19.72M,19.72M,,,12.35M,-33.13M,205.42M,111.50M,-292.40M,,,195.37M,219.89M,,219.85M,,-5.263M,2.799M,2.799M,,-7.11M,,-8.755M,,-186.76M,-186.76M,0.447M,-3.616M,-3.169M,,-10.30M,,,-200.23M,,1.060B,10.87M,-0.013M,1.071B,,0.447M,,-186.76M,-3.616M,183.16M,23.20M,,,Restated
2007-12,-874.66M,,,78.78M,19.74M,19.74M,19.74M,596.30M,,,479.66M,,922.54M,-154.08M,,-1.283M,-173.42M,593.76M,,893.59M,,-15.72M,10.08M,-5.639M,,-1.734M,-42.80M,-50.17M,,,126.93M,1.982M,-1.02M,0.962M,,-10.28M,,-2.474M,115.13M,,101.79M,958.54M,-0.019M,1.060B,,1.982M,,,-1.02M,,,,,
2007-09,-787.87M,,,50.74M,20.84M,20.84M,20.84M,-262.00M,,,1.144B,,219.58M,-106.91M,,127.52M,-88.45M,151.73M,,317.44M,,-21.79M,4.518M,-17.27M,,-60.64M,0.233M,-77.67M,,,-202.10M,0.26M,-0.112M,0.148M,,-10.24M,,-0.417M,-212.61M,,74.65M,27.16M,-0.024M,101.79M,,0.26M,,,-0.112M,,,,,
2007-06,-507.55M,,,63.46M,21.61M,21.61M,21.61M,-268.78M,,,710.69M,,-334.87M,156.78M,,-33.15M,-3.093M,-214.33M,,-194.91M,,-16.30M,2.748M,-13.55M,,-13.28M,26.94M,0.104M,,,159.95M,3.178M,-0.351M,2.827M,,-10.23M,,-0.033M,152.51M,,116.95M,-42.30M,0.00,74.65M,,3.178M,,,-0.351M,,,,,
2007-03,-85.67M,,,1.478M,21.66M,21.66M,21.66M,7.644M,,,151.29M,,-184.89M,-292.34M,,-72.50M,655.46M,105.74M,,202.14M,,-16.31M,2.419M,-13.89M,,-81.68M,1.899M,-93.68M,,,-533.56M,2.442M,-4.762M,-2.32M,,-10.24M,,3.447M,-542.67M,,551.29M,-434.21M,-0.136M,116.95M,,2.442M,,,-4.762M,,,,,
2006-12,-8.412M,,,94.78M,25.17M,25.17M,25.17M,-130.72M,,,281.22M,,1.196B,-215.70M,,4.385M,-247.58M,737.14M,,999.18M,,-20.18M,12.14M,-8.04M,,78.82M,-37.46M,16.76M,,,-553.24M,3.526M,-2.799M,0.727M,,-10.19M,,4.025M,-558.67M,,94.63M,457.27M,-0.61M,551.29M,,3.526M,,,-2.799M,,,,,
2006-09,190.22M,,,-0.354M,20.52M,20.52M,20.52M,-27.06M,,,108.32M,,-243.99M,-101.33M,,-43.60M,-115.98M,-504.90M,,-213.25M,,-24.05M,6.415M,-17.64M,,-32.30M,6.125M,-43.82M,,,274.18M,1.372M,-19.88M,-18.51M,,-10.20M,,0.877M,246.35M,,104.46M,-10.72M,0.892M,94.63M,,1.372M,,,-19.88M,,,,,
2006-06,243.02M,,,-11.19M,19.62M,19.62M,19.62M,-18.97M,,,100.80M,,-1.014B,101.42M,,-134.45M,56.47M,-990.21M,,-656.92M,,-39.13M,0.259M,-38.87M,,-7.237M,29.61M,-16.50M,,,716.08M,1.124M,-49.91M,-48.79M,,-10.22M,,1.794M,657.46M,,121.01M,-15.96M,-0.596M,104.46M,,1.124M,,,-49.91M,,,,,
2006-03,262.64M,,,-13.74M,18.36M,18.36M,18.36M,18.92M,,,,,-1.090B,-165.37M,,,573.02M,-682.72M,,-396.53M,,-15.26M,0.275M,-14.99M,,-30.07M,1.725M,-43.33M,,,-385.07M,2.328M,-49.70M,-47.37M,,-10.27M,,,-441.32M,,1.002B,-881.18M,-0.071M,121.01M,,2.328M,,,-49.70M,,,,,
2005-12,574.54M,,,90.72M,16.70M,16.70M,16.70M,19.67M,,,-53.26M,,317.98M,51.47M,,6.88M,-29.96M,-130.40M,,517.98M,,-27.81M,145.20M,117.38M,,130.90M,-189.07M,59.21M,,,322.39M,5.417M,-102.18M,-96.76M,,-10.13M,,,215.50M,,209.44M,792.69M,0.139M,1.002B,,5.417M,,,-102.18M,,,,,
