,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2004-06,2.515B,2.515B,2.222B,293.58M,,,,,,,,,,293.58M,,,,10.38M,,303.96M,115.49M,188.47M,-0.867M,,187.60M,188.47M,305.44M,11.87M,293.58M,,0.745,-0.005,,,0.745,0.745,,0.73,-0.005,,,0.73,0.725,,252.51M,258.71M,0.025,,,
2004-03,2.032B,2.032B,1.826B,205.95M,,,,,,,,,,205.95M,,,,7.223M,,213.17M,81.00M,132.18M,-0.548M,,131.63M,132.18M,216.11M,10.16M,205.95M,,0.525,0.00,,,0.525,0.525,,0.51,0.00,,,0.51,0.51,,250.60M,257.66M,0.025,,,
2003-12,2.910B,2.910B,2.447B,462.88M,,,,,,,,,,384.24M,,,,14.11M,,398.35M,150.14M,248.21M,-0.318M,,247.89M,248.21M,394.30M,10.05M,384.24M,,1.015,0.00,,,1.015,1.015,,0.985,0.00,,,0.985,0.975,,246.91M,255.73M,0.025,,,
2003-09,2.400B,2.400B,2.152B,248.11M,,,,,,,,,,248.11M,,,,11.56M,,259.66M,98.63M,161.04M,7.851M,,168.89M,161.04M,258.82M,10.71M,248.11M,,0.66,0.03,,,0.66,0.69,,0.64,0.03,,,0.64,0.67,,244.50M,251.56M,0.01,,,
2003-06,1.958B,1.958B,1.766B,192.36M,,,,,,,,,,192.36M,,,,4.475M,,196.83M,74.83M,122.00M,-0.283M,,121.72M,122.00M,202.68M,10.33M,192.36M,,0.5025,0.00,,,0.5025,0.5025,,0.4875,0.00,,,0.4875,0.4875,,242.74M,249.89M,0.01,,,
2003-03,1.553B,1.553B,1.422B,130.50M,,,,,,,,,,130.50M,,,,8.66M,,139.16M,52.86M,86.30M,-0.164M,,86.14M,86.30M,138.83M,8.331M,130.50M,,0.355,0.00,,,0.355,0.355,,0.35,0.00,,,0.35,0.345,,242.67M,248.08M,0.01,,,
2002-12,2.522B,2.522B,2.180B,342.24M,,,,,,,,,,279.08M,,,,3.199M,,282.27M,110.05M,172.23M,-0.344M,,171.88M,172.23M,294.78M,15.70M,279.08M,,0.70,0.0125,,,0.70,0.7125,,0.685,0.0125,,,0.685,0.6975,,243.13M,247.37M,0.01,,,
2002-09,1.860B,1.860B,1.676B,183.80M,,,,,,,,,,183.80M,,,,2.29M,,186.09M,72.58M,113.51M,9.937M,,123.45M,113.51M,190.28M,6.472M,183.80M,,0.4675,0.04,,,0.4675,0.5075,,0.4575,0.04,,,0.4575,0.4975,,243.17M,247.80M,0.01,,,
2002-06,1.686B,1.686B,1.541B,144.98M,,,,,,,,,,144.98M,,,,3.244M,,148.22M,57.81M,90.41M,-0.205M,,90.20M,90.41M,150.74M,5.764M,144.98M,,0.3725,0.00,,,0.3725,0.3725,,0.3625,0.00,,,0.3625,0.3625,,242.00M,249.44M,0.01,,,
2002-03,1.379B,1.379B,1.270B,108.85M,,,,,,,,,,108.85M,,,,3.685M,,112.53M,43.89M,68.64M,-0.528M,,68.11M,68.64M,119.84M,10.99M,108.85M,,0.2875,-0.0025,,,0.2875,0.285,,0.28,-0.0025,,,0.28,0.2775,,239.45M,245.89M,0.01,,,
2001-12,2.009B,2.009B,1.721B,288.02M,,,,,,,,,,228.36M,,,,10.57M,,194.39M,74.85M,119.54M,-0.095M,,119.44M,119.54M,240.12M,11.76M,228.36M,,0.5625,-0.025,,,0.5625,0.5375,,0.5475,-0.025,,,0.5475,0.5325,,236.24M,241.60M,0.01,,,
2001-09,1.482B,1.482B,1.348B,134.28M,,,,,,,,,,134.28M,,,,0.947M,,135.22M,52.07M,83.15M,-0.364M,,82.79M,83.15M,144.96M,10.69M,134.28M,,0.39,-0.0025,,,0.39,0.3875,,0.3825,-0.0025,,,0.3825,0.38,,213.68M,218.07M,0.01,,,
2001-06,1.059B,1.059B,966.07M,92.65M,,,,,,,,,,92.65M,,,,5.918M,,98.57M,37.95M,60.62M,-0.825M,,59.79M,60.62M,97.54M,4.892M,92.65M,,0.36,-0.005,,,0.36,0.355,,0.35,-0.005,,,0.35,0.345,,167.95M,173.46M,0.01,,,
2001-03,840.48M,840.48M,779.67M,60.80M,,,,,,,,,,60.80M,,,,2.806M,,63.61M,24.49M,39.12M,0.252M,,39.37M,39.12M,65.85M,5.045M,60.80M,,0.235,0.0025,,,0.235,0.2375,,0.2275,0.0025,,,0.2275,0.23,,167.18M,172.00M,0.01,,,
2000-12,1.435B,1.435B,1.223B,211.33M,,,,,,,,,47.23M,164.11M,,,,5.141M,,139.19M,53.60M,85.60M,-0.003M,,85.59M,85.60M,168.64M,4.528M,164.11M,,0.52,-0.0025,,,0.52,0.5175,,0.505,-0.0025,,,0.505,0.505,,164.10M,170.36M,0.01,,,
2000-09,1.054B,1.054B,955.08M,98.80M,,,,2.317M,,,,,2.171M,96.63M,,,,2.317M,,98.95M,38.09M,60.86M,-29.97M,,30.89M,59.43M,98.80M,2.171M,96.63M,,0.375,-0.185,,,0.3662,0.19,,0.3675,-0.185,,,0.3589,0.185,,161.90M,166.11M,0.01,,,
2000-06,982.58M,982.58M,902.83M,79.76M,,,,1.639M,,,,,3.905M,75.85M,,,,1.639M,,77.49M,29.83M,47.66M,0.032M,,47.69M,46.65M,79.76M,3.905M,75.85M,,0.29,0.00,,,0.2839,0.29,,0.2875,0.00,,,0.2814,0.2875,,164.21M,166.28M,0.01,,,
2000-03,775.82M,775.82M,733.26M,42.56M,,,,0.531M,,,,,3.626M,38.93M,,,,0.531M,,39.46M,15.19M,24.27M,0.067M,,24.34M,23.94M,42.56M,3.626M,38.93M,,0.1425,0.00,,,0.1406,0.1425,,0.1425,0.00,,,0.1406,0.1425,,170.78M,171.48M,0.01,,,
1999-12,1.274B,1.274B,1.120B,153.92M,,,,,,,,,45.13M,108.79M,,,,4.016M,,112.80M,43.02M,69.79M,,,69.66M,69.79M,113.69M,4.90M,108.79M,,0.4025,0.00,,,0.4025,0.4025,,0.3975,0.00,,,0.3975,0.3975,,173.21M,174.04M,0.01,,,
1999-09,973.10M,973.10M,895.30M,77.80M,,,,0.60M,,,,,2.50M,75.30M,,,,0.60M,,76.00M,28.50M,47.50M,-0.40M,,47.10M,47.12M,77.80M,2.50M,75.30M,,0.275,-0.0025,,,0.2728,0.2725,,0.27,-0.0025,,,0.2679,0.2675,,172.84M,176.07M,0.01,,,
1999-06,834.15M,834.15M,773.40M,60.75M,,,,0.30M,,,,,3.00M,57.75M,,,,0.30M,,58.10M,21.00M,37.10M,0.10M,,37.20M,36.91M,60.75M,3.00M,57.75M,,0.215,0.00,,,0.2139,0.215,,0.2125,0.00,,,0.2114,0.2125,,173.02M,175.06M,0.01,,,
1999-03,682.47M,682.47M,641.60M,40.87M,,,,1.90M,,,,,3.10M,37.77M,,,,1.90M,,39.60M,15.60M,24.00M,0.40M,,24.40M,22.85M,40.87M,3.10M,37.77M,,0.1375,0.0025,,,0.1309,0.14,,0.135,0.0025,,,0.1285,0.1375,,174.29M,177.45M,0.01,,,
1998-12,906.90M,906.90M,844.00M,62.90M,,,,0.40M,,,,,0.80M,62.10M,,,,0.40M,,62.50M,24.40M,38.10M,0.30M,,38.40M,37.86M,62.90M,0.80M,62.10M,,0.22,0.005,,,0.2186,0.225,,0.215,0.005,,,0.2136,0.22,,171.26M,174.97M,0.01,,,
1998-09,759.30M,759.30M,707.20M,52.10M,,,,-3.10M,,,,,2.40M,49.70M,,,,-3.10M,,46.70M,18.20M,28.50M,0.10M,,28.60M,30.39M,52.10M,2.40M,49.70M,,0.165,0.00,,,0.1759,0.165,,0.16,0.00,,,0.1706,0.16,,173.33M,178.75M,0.01,,,
1998-06,679.70M,679.70M,641.10M,38.60M,,,,0.20M,,,,,0.10M,38.50M,,,,0.20M,,38.60M,15.00M,23.60M,0.20M,,23.80M,23.48M,38.60M,0.10M,38.50M,,0.1375,0.00,,,0.1368,0.1375,,0.135,0.00,,,0.1343,0.135,,173.09M,176.30M,0.01,,,
1998-03,520.60M,520.60M,503.20M,17.40M,,,,2.20M,,,,,1.70M,15.70M,,,,2.20M,,17.90M,7.00M,10.90M,0.40M,,11.30M,9.560M,17.40M,1.70M,15.70M,,0.065,0.0025,,,0.0570,0.0675,,0.0625,0.0025,,,0.0548,0.065,,167.41M,173.85M,0.0075,,,
1997-12,846.10M,846.10M,793.30M,52.80M,,,,,,,,,2.60M,50.20M,,,,,,28.20M,10.90M,17.30M,-0.30M,,17.00M,17.30M,52.80M,2.60M,50.20M,,0.0975,-0.0025,,,0.0975,0.095,,0.095,-0.0025,,,0.095,0.0925,,180.59M,186.41M,0.0075,,,
1997-09,669.90M,669.90M,638.10M,31.80M,,,,,,,,,1.60M,30.20M,,,,,,30.20M,11.60M,18.60M,1.10M,,19.70M,18.60M,31.80M,1.60M,30.20M,,0.1075,0.0075,,,0.1075,0.115,,0.1075,0.0075,,,0.1075,0.115,,171.30M,171.30M,0.0075,,,
1997-06,576.30M,576.30M,552.40M,23.90M,,,,,,,,,3.30M,20.60M,,,,,,20.60M,7.90M,12.70M,1.20M,,13.90M,12.70M,23.90M,3.30M,20.60M,,0.075,0.0075,,,0.075,0.0825,,0.075,0.0075,,,0.075,0.0825,,168.48M,168.48M,0.0075,,,
1997-03,431.70M,431.70M,429.40M,2.30M,,,,,,,,,0.30M,2.00M,,,,,,2.00M,0.80M,1.20M,1.00M,,2.20M,1.20M,2.30M,0.30M,2.00M,,0.0075,0.005,,,0.0075,0.0125,,0.0075,0.005,,,0.0075,0.0125,,176.00M,176.00M,0.0075,,,
1996-12,738.30M,738.30M,698.10M,40.20M,,,,,,,,,1.20M,39.00M,,,,,,38.90M,13.60M,25.30M,1.40M,,26.70M,25.30M,40.20M,1.20M,39.00M,,0.1325,0.025,,,0.1325,0.1575,,0.13,0.02,,,0.13,0.15,,187.44M,194.11M,0.0075,,,
1996-09,625.20M,625.20M,595.60M,29.60M,,,,,,,,,2.20M,27.40M,,,,,,27.40M,11.00M,16.40M,111.20M,,127.60M,16.40M,29.60M,2.20M,27.40M,,0.085,0.5775,,,0.085,0.6625,,0.085,0.5775,,,0.085,0.6625,,202.86M,202.86M,0.0075,,,
1996-06,588.40M,588.40M,559.10M,29.30M,,,,,,,,,1.70M,27.60M,,,,,,27.60M,11.20M,16.40M,1.80M,,18.20M,16.40M,29.30M,1.70M,27.60M,,0.08,0.01,,,0.08,0.09,,0.08,0.01,,,0.08,0.09,,202.86M,202.86M,0.0075,,,
1996-03,432.50M,432.50M,422.30M,10.20M,,,,,,,,,1.60M,8.60M,,,,,,8.60M,3.50M,5.10M,2.00M,,7.10M,5.10M,10.20M,1.60M,8.60M,,0.025,0.01,,,0.025,0.035,,0.025,0.01,,,0.025,0.035,,202.86M,202.86M,0.0075,,,
1995-12,667.40M,667.40M,627.50M,39.90M,,,,,,,,,0.50M,39.40M,,,,,,39.50M,16.00M,23.50M,1.90M,,25.40M,23.50M,39.90M,0.50M,39.40M,,0.1075,0.01,,,0.1075,0.1175,,0.105,0.01,,,0.105,0.115,,216.49M,224.56M,0.0075,,,
1995-09,543.30M,543.30M,514.00M,29.30M,,,,,,,,,2.10M,27.20M,,,,,,27.30M,11.00M,16.30M,2.50M,,18.80M,16.30M,29.50M,2.30M,27.20M,,0.075,0.0125,,,0.075,0.0875,,0.075,0.0125,,,0.075,0.0875,,214.86M,214.86M,0.0075,,,
1995-06,485.50M,485.50M,466.90M,18.60M,,,,,,,,,2.50M,16.10M,,,,,,16.00M,6.50M,9.50M,1.20M,,10.70M,9.50M,18.60M,2.30M,16.10M,,0.0425,0.005,,,0.0425,0.0475,,0.0425,0.005,,,0.0425,0.0475,,225.26M,225.26M,0.0075,,,
1995-03,332.90M,332.90M,332.40M,0.50M,,,,,,,,,1.20M,-0.70M,,,,,,-0.70M,-0.30M,-0.40M,3.90M,,3.50M,-0.40M,0.50M,1.20M,-0.70M,,-0.0025,0.0175,,,-0.0025,0.015,,-0.0025,0.0175,,,-0.0025,0.015,,233.33M,233.33M,0.0075,,,
1994-12,534.80M,534.80M,496.20M,38.60M,,,,,,,,,9.10M,29.50M,,,,,,29.50M,12.20M,17.30M,26.30M,,43.60M,17.30M,38.60M,9.10M,29.50M,,0.0775,0.1175,,0.0000,0.0775,0.195,,0.0775,0.1175,,0.0000,0.0775,0.195,,223.64M,223.64M,0.0075,,,
1994-09,452.60M,452.60M,422.90M,29.70M,,,,,,,,,0.20M,29.50M,,,,,,29.50M,11.60M,17.90M,,,16.40M,17.90M,29.70M,0.20M,29.50M,,0.0825,-0.0075,,-0.0069,0.0825,0.075,,0.0825,-0.0075,,-0.0069,0.0825,0.075,,218.67M,218.67M,0.0075,,,
1994-06,427.90M,427.90M,399.90M,28.00M,,,,,,,,,2.00M,26.00M,,,,,,26.10M,10.20M,15.90M,72.00M,,87.90M,15.90M,28.00M,2.00M,26.00M,,0.0725,0.3225,,,0.0725,0.395,,0.0725,0.3225,,,0.0725,0.395,,222.53M,222.53M,0.0075,,,
1994-03,340.60M,340.60M,320.10M,20.50M,,,,,,,,,1.90M,18.60M,,,,,,18.60M,7.30M,11.30M,4.70M,,15.00M,11.30M,20.50M,1.90M,18.60M,,0.05,0.0225,,-0.0045,0.05,0.0675,,0.05,0.0225,,-0.0045,0.05,0.0675,,222.22M,222.22M,0.0075,,,
1993-12,480.60M,480.60M,,,,,,,,,,,488.80M,-8.20M,,,,,,36.30M,11.70M,24.60M,,0.00,21.20M,24.60M,-8.20M,,-8.20M,,0.1075,-0.015,0.00,,0.1075,0.0925,,0.1075,-0.015,-0.0002,,0.1075,0.0925,,229.51M,229.51M,0.0075,,,
1993-09,431.60M,431.60M,,,,,,,,,,,346.90M,84.70M,,,,,,29.30M,9.60M,19.70M,,,19.70M,19.70M,84.70M,,84.70M,,0.09,0.00,,,0.09,0.09,,0.09,0.00,,,0.09,0.09,,218.89M,218.89M,0.0075,,,
1993-06,405.00M,405.00M,,,,,,,,,,,314.70M,90.30M,,,,,,32.20M,9.70M,22.50M,,,22.50M,22.50M,90.30M,,90.30M,,0.1025,0.00,,,0.1025,0.1025,,0.1025,0.00,,,0.1025,0.1025,,219.51M,219.51M,0.0075,,,
1993-03,315.60M,315.60M,,,,,,,,,,,268.00M,47.60M,,,,,,15.60M,4.70M,10.90M,,5.00M,15.90M,10.90M,47.60M,,47.60M,,0.05,0.0225,0.00,,0.05,0.0725,,0.05,0.0225,0.0228,,0.05,0.0725,,219.31M,219.31M,0.0075,,,
1992-12,439.40M,439.40M,,,,,,,,,,,378.40M,61.00M,,,,,,26.50M,2.70M,23.80M,,,23.20M,23.80M,61.00M,,61.00M,,0.1075,-0.0025,,-0.0027,0.1075,0.105,,0.1075,-0.0025,,-0.0027,0.1075,0.105,,222.56M,222.56M,0.0075,,,
1992-09,357.30M,357.30M,,,,,,,,,,,303.90M,53.40M,,,,,,24.20M,1.40M,22.80M,,,21.30M,22.80M,53.40M,,53.40M,,0.105,-0.0075,,-0.0069,0.105,0.0975,,0.1025,-0.0075,,-0.0069,0.1025,0.095,,218.46M,224.21M,0.0075,,,
1992-06,316.10M,316.10M,,,,,,,,,,,267.30M,48.80M,,,,,,17.00M,1.00M,16.00M,,,16.00M,16.00M,48.80M,,48.80M,,0.075,0.00,,,0.075,0.075,,0.0725,0.00,,,0.0725,0.0725,,213.33M,220.69M,0.0075,,,
1992-03,257.10M,257.10M,,,,,,,,,,,214.70M,42.40M,,,,,,10.20M,0.70M,9.50M,,,9.50M,9.50M,42.40M,,42.40M,,0.0475,0.00,,,0.0475,0.0475,,0.045,0.00,,,0.045,0.045,,200.00M,211.11M,0.0038,,,
1991-12,353.80M,353.80M,,,,,,,,,,,298.20M,55.60M,,,,,,22.20M,1.30M,20.90M,,,20.90M,20.90M,55.60M,,55.60M,,0.105,0.00,,0.0000,0.105,0.105,,0.1025,0.00,,0.0000,0.1025,0.1025,,200.15M,209.95M,0.0038,,,
1991-09,309.20M,309.20M,,,,,,,,,,,258.40M,50.80M,,,,,,14.40M,0.90M,13.50M,,,11.60M,13.50M,50.80M,,50.80M,,0.07,-0.01,,-0.0098,0.07,0.06,,0.07,-0.01,,-0.0098,0.07,0.06,,193.33M,193.33M,0.0038,,,
1991-06,296.60M,296.60M,,,,,,,,,,,250.50M,46.10M,,,,,,8.10M,0.20M,7.90M,,,7.90M,7.90M,46.10M,,46.10M,,0.04,0.00,,,0.04,0.04,,0.04,0.00,,,0.04,0.04,,197.50M,197.50M,0.0038,,,
1991-03,254.20M,254.20M,,,,,,,,,,,215.90M,38.30M,,,,,,,,0.30M,,,0.30M,0.30M,38.30M,,38.30M,,0.0025,0.00,,,0.0025,0.0025,,0.0025,0.00,,,0.0025,0.0025,,188.63M,188.63M,0.0038,,,
1990-12,322.30M,322.30M,,,,,,,,,,,294.40M,27.90M,,,,,,3.50M,-0.20M,3.70M,,,3.70M,3.70M,27.90M,,27.90M,,0.0175,0.00,,,0.0175,0.0175,,0.0175,0.00,,,0.0175,0.0175,,205.42M,205.42M,0.0038,,,
1990-09,299.60M,299.60M,,,,,,,,,,,248.20M,51.40M,,,,,,5.90M,0.70M,5.20M,,,5.20M,5.20M,51.40M,,51.40M,,0.0275,0.00,,,0.0275,0.0275,,0.0275,0.00,,,0.0275,0.0275,,189.09M,189.09M,0.0038,,,
1990-06,282.40M,282.40M,,,,,,,,,,,228.40M,54.00M,,,,,,9.20M,0.70M,8.50M,,,8.50M,8.50M,54.00M,,54.00M,,0.045,0.00,,,0.045,0.045,,0.045,0.00,,,0.045,0.045,,188.89M,188.89M,0.0038,,,
1990-03,247.70M,247.70M,,,,,,,,,,,188.20M,59.50M,,,,,,12.90M,0.70M,12.20M,,,12.20M,12.20M,59.50M,,59.50M,,0.0575,0.00,,,0.0575,0.0575,,0.0575,0.00,,,0.0575,0.0575,,212.17M,212.17M,0.0038,,,
1989-12,284.30M,284.30M,,,,,,,,,,,,-582.60M,,,,,,,,9.50M,,,9.50M,,-582.60M,,-582.60M,,,,,,,,,,,,,,,,202.32M,202.32M,0.0038,,,
1989-09,290.70M,290.70M,,,,,,,,,,,,290.70M,,,,,,,,12.20M,,,12.20M,,290.70M,,290.70M,,0.0575,0.00,,,0.0575,0.0575,,0.0575,0.00,,,0.0575,0.0575,,202.24M,202.24M,0.0038,,,
1989-06,289.20M,289.20M,,,,,,,,,,,,289.20M,,,,,,,,23.40M,,,23.40M,,289.20M,,289.20M,,0.11,0.00,,,0.11,0.11,,0.11,0.00,,,0.11,0.11,,200.64M,200.64M,0.0038,,,
1989-03,274.00M,274.00M,,,,,,,,,,,,274.00M,,,,,,,,10.80M,,,10.80M,,274.00M,,274.00M,,0.0525,0.00,,,0.0525,0.0525,,0.0525,0.00,,,0.0525,0.0525,,200.64M,200.64M,0.0038,,,
1988-12,390.30M,390.30M,,,,,,,,,,,,-694.70M,,,,,,,,20.70M,,,20.70M,,-694.70M,,-694.70M,,,,,,,,,,,,,,,,198.14M,198.14M,0.0038,,,
1988-09,297.70M,297.70M,,,,,,,,,,,,297.70M,,,,,,,,5.00M,,,5.00M,,297.70M,,297.70M,,0.025,0.00,,,0.025,0.025,,0.025,0.00,,,0.025,0.025,,198.08M,198.08M,0.0038,,,
1988-06,274.70M,274.70M,,,,,,,,,,,,274.70M,,,,,,,,6.10M,,,6.10M,,274.70M,,274.70M,,0.03,0.00,,,0.03,0.03,,0.03,0.00,,,0.03,0.03,,198.08M,198.08M,0.0038,,,
1988-03,216.50M,216.50M,,,,,,,,,,,,216.50M,,,,,,,,1.30M,,,1.30M,,216.50M,,216.50M,,0.0075,0.00,,,0.0075,0.0075,,0.0075,0.00,,,0.0075,0.0075,,190.88M,190.88M,0.0038,,,
1987-12,234.70M,234.70M,,,,,,,,,,,,-575.80M,,,,,,,,-7.00M,,,-7.00M,,-575.80M,,-575.80M,,,,,,,,,,,,,,,,197.44M,197.44M,,,,
1987-09,189.70M,189.70M,,,,,,,,,,,,189.70M,,,,,,,,3.80M,,,3.80M,,189.70M,,189.70M,,0.0175,0.00,,,0.0175,0.0175,,0.0175,0.00,,,0.0175,0.0175,,190.72M,190.72M,,,,
1987-06,200.90M,200.90M,,,,,,,,,,,,200.90M,,,,,,,,8.10M,,,8.10M,,200.90M,,200.90M,,0.04,0.00,,,0.04,0.04,,0.04,0.00,,,0.04,0.04,,189.90M,189.90M,,,,
1987-03,160.10M,160.10M,,,,,,,,,,,,160.10M,,,,,,,,2.60M,,,2.60M,,160.10M,,160.10M,,0.0125,0.00,,,0.0125,0.0125,,0.0125,0.00,,,0.0125,0.0125,,189.90M,189.90M,,,,
1986-12,266.50M,266.50M,,,,,,,,,,,,-533.20M,,,,,,,,9.10M,,,9.10M,,-533.20M,,-533.20M,,,,,,,,,,,,,,,,189.58M,189.58M,,,,
1986-09,233.60M,233.60M,,,,,,,,,,,,233.60M,,,,,,,,7.90M,,,7.90M,,233.60M,,233.60M,,0.0375,0.00,,,0.0375,0.0375,,0.0375,0.00,,,0.0375,0.0375,,189.55M,189.55M,,,,
1986-06,201.80M,201.80M,,,,,,,,,,,,201.80M,,,,,,,,2.70M,,,2.70M,,201.80M,,201.80M,,0.0125,0.00,,,0.0125,0.0125,,0.0125,0.00,,,0.0125,0.0125,,189.55M,189.55M,,,,
1986-03,135.10M,135.10M,,,,,,,,,,,,135.10M,,,,,,,,1.00M,,,1.00M,,135.10M,,135.10M,,0.005,0.00,,,0.005,0.005,,0.005,0.00,,,0.005,0.005,,188.52M,188.52M,,,,
1985-12,231.50M,231.50M,,,,,,,,,,,,-515.90M,,,,,,,,8.30M,,,8.30M,,-515.90M,,-515.90M,,,,,,,,,,,,,,,,188.52M,188.52M,,,,
1985-09,188.70M,188.70M,,,,,,,,,,,,188.70M,,,,,,,,6.20M,,,6.20M,,188.70M,,188.70M,,0.03,0.00,,,0.03,0.03,,0.03,0.00,,,0.03,0.03,,188.52M,188.52M,,,,
1985-06,189.70M,189.70M,,,,,,,,,,,,189.70M,,,,,,,,6.10M,,,6.10M,,189.70M,,189.70M,,0.03,0.00,,,0.03,0.03,,0.03,0.00,,,0.03,0.03,,188.52M,188.52M,,,,
1985-03,163.40M,163.40M,,,,,,,,,,,,163.40M,,,,,,,,3.00M,,,3.00M,,163.40M,,163.40M,,0.015,0.00,,,0.015,0.015,,0.015,0.00,,,0.015,0.015,,188.07M,188.07M,,,,
1984-12,228.20M,228.20M,,,,,,,,,,,,-599.50M,,,,,,,,7.80M,,,7.80M,,-599.50M,,-599.50M,,,,,,,,,,,,,,,,188.07M,188.07M,,,,
1984-09,203.40M,203.40M,,,,,,,,,,,,203.40M,,,,,,,,3.90M,,,3.90M,,203.40M,,203.40M,,0.02,0.00,,,0.02,0.02,,0.02,0.00,,,0.02,0.02,,188.06M,188.06M,,,,
1984-06,214.00M,214.00M,,,,,,,,,,,,214.00M,,,,,,,,3.10M,,,3.10M,,214.00M,,214.00M,,0.015,0.00,,,0.015,0.015,,0.015,0.00,,,0.015,0.015,,188.04M,188.04M,,,,
1984-03,193.50M,193.50M,,,,,,,,,,,,193.50M,,,,,,,,2.50M,,,2.50M,,193.50M,,193.50M,,0.0125,0.00,,,0.0125,0.0125,,0.0125,0.00,,,0.0125,0.0125,,188.04M,188.04M,,,,
