,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2015-12,754.16M,442.72M,1.197B,362.68M,28.29M,81.58M,497.63M,782.73M,4.667B,,5.450B,271.23M,21.27M,,,7.519B,,,272.11M,272.11M,-185.80M,86.31M,,110.22M,110.22M,41.27M,,,1.395B,38.17M,1.671B,9.189B,,327.72M,31.57M,57.05M,416.34M,1.218B,1.634B,46.38M,46.38M,46.38M,186.14M,186.14M,,,1.866B,61.18M,2.378B,,2.378B,,,124.80M,,,2.564B,4.430B,,3.491M,1.663B,3.094B,,,-0.609M,4.759B,,AOR,Restated
2015-09,734.15M,270.66M,1.005B,,,,,764.14M,4.477B,,5.241B,,25.94M,,,6.357B,0.00,102.55M,,102.55M,,102.55M,,,113.44M,41.51M,,,1.549B,637.96M,2.445B,8.802B,,372.50M,,50.91M,423.40M,1.374B,1.797B,,,,241.05M,241.05M,,,2.038B,,2.192B,,2.192B,,,,,,2.192B,4.230B,,3.492M,1.466B,3.103B,,,-0.627M,4.572B,,AOR,Restated
2015-06,460.36M,269.54M,729.90M,,,,,710.26M,4.178B,,4.889B,,17.17M,,,5.724B,0.00,98.26M,,98.26M,,98.26M,,,116.66M,40.23M,,,1.618B,561.03M,2.434B,8.158B,,290.44M,,48.77M,339.21M,1.292B,1.632B,,,,217.32M,217.32M,,,1.849B,,1.703B,,1.703B,,,,,,1.703B,3.552B,,3.548M,1.507B,3.096B,,,-0.648M,4.606B,,AOR,Restated
2015-03,1.054B,226.29M,1.280B,,,,,768.99M,3.864B,,4.633B,,14.33M,,,6.018B,0.00,62.26M,,62.26M,,62.26M,,,119.89M,41.47M,,,1.680B,511.66M,2.415B,8.433B,,271.16M,,47.35M,318.51M,1.307B,1.626B,,,,177.76M,177.76M,,,1.804B,,1.888B,,1.888B,,,,,,1.888B,3.691B,,3.654M,1.647B,3.092B,,,-0.669M,4.742B,,AOR,Restated
2014-12,1.293B,339.53M,1.632B,60.60M,30.70M,63.87M,176.49M,762.91M,3.629B,,4.392B,199.86M,16.36M,,,6.518B,,,267.42M,267.42M,-192.20M,75.22M,,123.12M,123.12M,40.37M,,,1.721B,91.64M,2.051B,8.569B,,270.52M,29.68M,48.72M,348.92M,1.026B,1.375B,58.22M,58.22M,58.22M,142.64M,142.64M,,,1.575B,65.39M,1.981B,,1.981B,,,142.59M,,,2.189B,3.764B,,3.695M,1.729B,3.073B,,,-0.69M,4.805B,,AOR,Restated
2014-09,1.222B,236.37M,1.458B,,,,,783.54M,3.648B,,4.432B,,25.00M,,,6.008B,0.00,16.82M,,16.82M,,16.82M,,,126.34M,40.30M,,,1.922B,500.74M,2.606B,8.615B,,299.00M,,196.21M,495.22M,1.328B,1.823B,,,,192.55M,192.55M,,,2.016B,,1.889B,,1.889B,,,,,,1.889B,3.904B,,3.738M,1.639B,3.068B,,,-0.713M,4.710B,,AOR,Restated
2014-06,1.171B,221.61M,1.393B,,,,,774.51M,3.423B,,4.197B,,101.61M,,,5.772B,0.00,27.29M,,27.29M,,27.29M,,,129.60M,40.13M,,,2.002B,496.99M,2.696B,8.467B,,253.92M,,193.15M,447.06M,1.301B,1.748B,,,,206.99M,206.99M,,,1.955B,,1.874B,,1.874B,,,,,,1.874B,3.829B,,3.764M,1.569B,3.066B,,,-0.734M,4.638B,,AOR,Restated
2014-03,1.268B,209.92M,1.478B,,,,,761.34M,3.273B,,4.034B,,75.60M,,,5.661B,0.00,22.20M,,22.20M,,22.20M,,,132.87M,40.12M,,,2.035B,461.05M,2.691B,8.351B,,205.23M,,205.81M,411.04M,1.258B,1.669B,,,,168.57M,168.57M,,,1.837B,,1.850B,,1.850B,,,,,,1.850B,3.687B,,3.792M,1.600B,3.061B,,,-0.755M,4.664B,,AOR,Restated
2013-12,1.580B,287.93M,1.868B,51.76M,32.94M,52.72M,172.86M,747.03M,3.232B,,3.979B,157.00M,72.72M,,,6.311B,0.00,24.02M,235.05M,259.08M,-182.00M,77.08M,,136.15M,136.15M,45.32M,,,2.087B,77.71M,2.423B,8.734B,,202.74M,,206.02M,408.75M,985.57M,1.394B,124.96M,124.96M,124.96M,134.86M,134.86M,,,1.654B,63.99M,2.171B,,2.171B,,,171.69M,,24.02M,2.431B,4.085B,,3.813M,1.594B,3.052B,,,-0.795M,4.649B,,AOR,Restated
2013-09,1.350B,296.92M,1.647B,,,,,755.66M,3.395B,,4.151B,,69.42M,,,5.932B,0.00,27.61M,,27.61M,,27.61M,,,139.42M,45.01M,,,2.109B,440.52M,2.761B,8.694B,,214.10M,,196.87M,410.97M,1.446B,1.857B,,,,173.66M,173.66M,,,2.030B,,2.172B,,2.172B,,,,,,2.172B,4.202B,,3.831M,1.431B,3.058B,,,-0.719M,4.492B,,AOR,Restated
