,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2017-03,5.132B,5.132B,3.638B,1.494B,348.00M,393.00M,741.00M,,6.00M,42.00M,187.00M,45.00M,-142.00M,,1.103B,391.00M,45.00M,187.00M,-142.00M,-32.00M,-142.00M,217.00M,73.00M,192.00M,17.00M,,0.00,209.00M,188.04M,749.00M,345.00M,404.00M,,0.47,0.04,,,0.4604,0.51,,0.46,0.04,,,0.4505,0.50,,412.10M,416.00M,0.4625,,AOR,Restated
2016-12,3.797B,3.797B,2.074B,1.723B,225.00M,316.00M,541.00M,,-7.00M,31.00M,182.00M,46.00M,-136.00M,,797.00M,926.00M,46.00M,182.00M,-136.00M,-671.00M,-136.00M,119.00M,54.00M,112.00M,107.00M,,-1.00M,218.00M,115.20M,629.00M,328.00M,301.00M,,0.53,0.00,,,0.5402,0.53,,0.53,0.00,,,0.5401,0.53,,411.40M,415.90M,0.463,,AOR,Restated
2016-09,5.266B,5.266B,3.622B,1.644B,353.00M,380.00M,733.00M,,-51.00M,41.00M,181.00M,49.00M,-132.00M,,1.088B,556.00M,49.00M,181.00M,-132.00M,-51.00M,-132.00M,373.00M,107.00M,309.00M,0.00,,3.00M,312.00M,348.21M,868.00M,314.00M,554.00M,,0.76,0.00,,,0.8481,0.76,,0.75,0.00,,,0.8372,0.75,,411.20M,415.30M,0.44,,AOR,Restated
2016-06,5.322B,5.322B,4.112B,1.21B,339.00M,386.00M,725.00M,,-28.00M,41.00M,172.00M,43.00M,-129.00M,,1.067B,143.00M,43.00M,172.00M,-129.00M,-28.00M,-129.00M,-14.00M,-9.00M,40.00M,0.00,,0.00,40.00M,56.80M,459.00M,301.00M,158.00M,,0.10,0.00,,,0.1409,0.10,,0.10,0.00,,,0.1405,0.10,,411.20M,414.70M,0.44,,AOR,Restated
2016-03,5.11B,5.11B,3.611B,1.499B,320.00M,376.00M,696.00M,,-38.00M,41.00M,160.00M,37.00M,-123.00M,,1.021B,478.00M,37.00M,160.00M,-123.00M,-38.00M,-123.00M,317.00M,41.00M,339.00M,-5.00M,,0.00,334.00M,372.06M,761.00M,284.00M,477.00M,,0.82,-0.01,,,0.9005,0.81,,0.82,-0.01,,,0.8999,0.81,,410.80M,414.00M,0.44,,AOR,Restated
2015-12,3.753B,3.753B,2.61B,1.143B,190.00M,313.00M,503.00M,,-158.00M,31.00M,163.00M,30.00M,-133.00M,,721.00M,422.00M,30.00M,163.00M,-133.00M,-158.00M,-133.00M,131.00M,71.00M,93.00M,,,0.00,178.00M,187.80M,608.00M,314.00M,294.00M,,0.43,0.00,,,0.6593,0.43,,0.43,0.00,,,0.6575,0.43,,413.50M,416.70M,0.44,,AOR,Restated
2015-09,5.691B,5.691B,3.891B,1.80B,334.00M,417.00M,751.00M,,-211.00M,39.00M,158.00M,17.00M,-141.00M,,1.119B,681.00M,17.00M,158.00M,-141.00M,-211.00M,-141.00M,329.00M,106.00M,210.00M,,,10.00M,220.00M,361.37M,816.00M,329.00M,487.00M,,0.53,0.00,,,0.8706,0.53,,0.53,0.00,,,0.8686,0.53,,415.10M,417.50M,0.40,,AOR,Restated
2015-06,5.714B,5.714B,3.968B,1.746B,367.00M,403.00M,770.00M,,-194.00M,44.00M,164.00M,20.00M,-144.00M,,1.142B,604.00M,20.00M,164.00M,-144.00M,-194.00M,-144.00M,266.00M,110.00M,218.00M,0.00,,9.00M,227.00M,356.98M,758.00M,328.00M,430.00M,,0.54,0.00,,,0.8495,0.54,,0.54,0.00,,,0.8481,0.54,,420.00M,421.90M,0.40,,AOR,Restated
2015-03,5.517B,5.517B,3.844B,1.673B,357.00M,406.00M,763.00M,,0.00,44.00M,159.00M,22.00M,-137.00M,,1.13B,543.00M,22.00M,159.00M,-137.00M,0.00,-137.00M,406.00M,130.00M,311.00M,0.00,,2.00M,313.00M,313.00M,888.00M,323.00M,565.00M,,0.74,0.00,,,0.74,0.74,,0.74,0.00,,,0.74,0.74,,421.20M,423.70M,0.40,,AOR,Restated
2014-12,5.943B,5.943B,4.105B,1.838B,384.00M,462.00M,846.00M,,-154.00M,43.00M,165.00M,23.00M,-142.00M,,1.235B,603.00M,23.00M,165.00M,-142.00M,-154.00M,-142.00M,307.00M,34.00M,137.00M,-9.00M,,6.00M,134.00M,279.94M,818.00M,346.00M,472.00M,,0.34,-0.02,,,0.6652,0.32,,0.34,-0.02,,,0.6608,0.32,,421.10M,426.90M,0.40,,AOR,Restated
2014-09,6.051B,6.051B,4.055B,1.996B,394.00M,467.00M,861.00M,0.00,-24.00M,43.00M,172.00M,14.00M,-158.00M,,1.262B,734.00M,14.00M,172.00M,-158.00M,-24.00M,-158.00M,552.00M,147.00M,333.00M,16.00M,,6.00M,355.00M,355.68M,1.082B,357.00M,724.00M,,0.80,0.04,,,0.8392,0.84,,0.79,0.04,,,0.8289,0.83,,425.30M,428.60M,0.35,,AOR,Restated
2014-06,5.899B,5.899B,4.06B,1.839B,377.00M,436.00M,813.00M,,-307.00M,48.00M,176.00M,12.00M,-164.00M,,1.216B,623.00M,12.00M,176.00M,-164.00M,-307.00M,-164.00M,152.00M,22.00M,171.00M,-13.00M,,3.00M,161.00M,382.76M,687.00M,359.00M,328.00M,,0.40,-0.03,,,0.8867,0.37,,0.40,-0.03,,,0.8831,0.37,,428.90M,432.10M,0.35,,AOR,Restated
2014-03,5.724B,5.724B,4.034B,1.69B,366.00M,428.00M,794.00M,,-499.00M,46.00M,164.00M,21.00M,-143.00M,,1.187B,503.00M,21.00M,164.00M,-143.00M,-499.00M,-143.00M,-139.00M,-80.00M,-92.00M,-7.00M,,4.00M,-95.00M,256.31M,377.00M,352.00M,25.00M,,-0.20,-0.01,,,0.5904,-0.21,,-0.20,-0.01,,,0.5904,-0.21,,435.60M,435.60M,0.35,,AOR,Restated
2013-12,5.848B,5.848B,4.04B,1.808B,386.00M,444.00M,830.00M,,-198.00M,40.00M,149.00M,16.00M,-133.00M,,1.237B,571.00M,16.00M,149.00M,-133.00M,-198.00M,-133.00M,239.00M,-559.00M,789.00M,-359.00M,,6.00M,436.00M,923.70M,759.00M,371.00M,388.00M,,0.98,0.01,,,1.272,0.99,,0.97,0.01,,,1.258,0.98,,440.90M,446.30M,0.35,,AOR,Restated
2013-09,5.975B,5.975B,4.048B,1.927B,402.00M,473.00M,875.00M,,-60.00M,46.00M,162.00M,15.00M,-147.00M,,1.318B,609.00M,15.00M,162.00M,-147.00M,-60.00M,-147.00M,403.00M,38.00M,381.00M,-5.00M,,6.00M,382.00M,433.20M,966.00M,401.00M,565.00M,,0.87,-0.01,,,0.9736,0.86,,0.86,-0.01,,,0.9627,0.85,,445.90M,449.70M,0.30,,AOR,Restated
2013-06,7.335B,7.335B,5.414B,1.921B,449.00M,515.00M,964.00M,,17.00M,47.00M,181.00M,13.00M,-168.00M,,1.407B,514.00M,13.00M,181.00M,-168.00M,17.00M,-168.00M,363.00M,94.00M,233.00M,24.00M,,2.00M,259.00M,223.10M,940.00M,396.00M,544.00M,,0.53,0.05,,,0.5033,0.58,,0.52,0.05,,,0.4935,0.57,,444.90M,448.50M,0.30,,AOR,Restated
2013-03,7.09B,7.09B,5.22B,1.87B,422.00M,567.00M,989.00M,,-59.00M,49.00M,177.00M,13.00M,-164.00M,,1.417B,453.00M,13.00M,177.00M,-164.00M,-59.00M,-164.00M,230.00M,-69.00M,289.00M,26.00M,,3.00M,318.00M,330.35M,786.00M,379.00M,407.00M,,0.66,0.06,,,0.7469,0.72,,0.65,0.06,,,0.7360,0.71,,441.50M,446.10M,0.30,,AOR,Restated
2012-12,1.094B,1.094B,-107.00M,1.201B,272.00M,160.00M,432.00M,,26.00M,35.00M,183.00M,15.00M,-168.00M,,829.00M,372.00M,15.00M,183.00M,-168.00M,26.00M,-168.00M,230.00M,49.00M,190.00M,42.00M,,3.00M,235.00M,172.54M,788.00M,375.00M,413.00M,,0.52,0.02,,,0.4731,0.54,,0.51,0.02,,,0.4637,0.53,,436.70M,441.70M,0.30,,AOR,Restated
2012-09,7.026B,7.026B,5.14B,1.886B,403.00M,527.00M,930.00M,,-51.00M,39.00M,197.00M,34.00M,-163.00M,,1.352B,534.00M,34.00M,197.00M,-163.00M,-51.00M,-163.00M,320.00M,130.00M,224.00M,14.00M,,-1.00M,237.00M,258.19M,900.00M,383.00M,517.00M,,0.51,0.03,,,0.5909,0.54,,0.51,0.03,,,0.5900,0.54,,435.10M,439.80M,0.2625,,AOR,Restated
2012-06,7.077B,7.077B,5.27B,1.807B,448.00M,474.00M,922.00M,,-99.00M,44.00M,179.00M,7.00M,-172.00M,,1.332B,475.00M,7.00M,179.00M,-172.00M,-99.00M,-172.00M,204.00M,57.00M,121.00M,16.00M,,-3.00M,134.00M,185.32M,749.00M,366.00M,383.00M,,0.27,0.04,,,0.4248,0.31,,0.27,0.04,,,0.4236,0.31,,434.80M,438.20M,0.2625,,AOR,Restated
2012-03,6.655B,6.655B,4.984B,1.671B,347.00M,513.00M,860.00M,,-27.00M,41.00M,183.00M,15.00M,-168.00M,,1.263B,408.00M,15.00M,183.00M,-168.00M,-27.00M,-168.00M,213.00M,70.00M,187.00M,5.00M,,-4.00M,188.00M,201.36M,758.00M,362.00M,396.00M,,0.42,0.01,,,0.4623,0.43,,0.42,0.01,,,0.4619,0.43,,434.10M,438.60M,0.2625,,AOR,Restated
2011-12,6.367B,6.367B,4.662B,1.705B,,,778.00M,,-17.00M,35.00M,193.00M,,-138.00M,,1.134B,571.00M,,193.00M,-138.00M,-17.00M,-138.00M,416.00M,154.00M,285.00M,0.00,,-4.00M,281.00M,291.71M,930.00M,321.00M,609.00M,,0.65,0.00,,,0.6748,0.65,,0.65,0.00,,,0.6744,0.65,,432.20M,437.90M,0.2625,,AOR,Restated
2011-09,6.632B,6.632B,4.793B,1.839B,,,829.00M,,-131.00M,33.00M,130.00M,,-130.00M,,1.197B,642.00M,,130.00M,-130.00M,-131.00M,-130.00M,381.00M,-84.00M,465.00M,0.00,,3.00M,468.00M,553.15M,846.00M,335.00M,511.00M,,1.08,0.00,,,1.277,1.08,,1.08,0.00,,,1.276,1.08,,432.30M,435.20M,0.2625,,AOR,Restated
2011-06,6.648B,6.648B,4.88B,1.768B,,,845.00M,,-119.00M,38.00M,137.00M,,-137.00M,,1.219B,549.00M,,137.00M,-137.00M,-119.00M,-137.00M,293.00M,118.00M,227.00M,0.00,,-8.00M,219.00M,290.40M,766.00M,336.00M,430.00M,,0.51,0.00,,,0.6759,0.51,,0.51,0.00,,,0.6759,0.51,,430.50M,430.50M,0.2625,,AOR,Restated
2011-03,6.387B,6.387B,4.625B,1.762B,,,825.00M,,-53.00M,40.00M,136.00M,,-136.00M,,1.205B,557.00M,,136.00M,-136.00M,-53.00M,-136.00M,368.00M,123.00M,310.00M,49.00M,,-5.00M,354.00M,340.29M,844.00M,340.00M,504.00M,,0.71,0.11,,,0.7920,0.82,,0.70,0.11,,,0.7813,0.81,,430.20M,433.80M,0.1875,,AOR,Restated
2010-12,6.531B,6.531B,4.77B,1.761B,,,865.00M,,-12.00M,42.00M,185.00M,,-150.00M,,1.267B,494.00M,,185.00M,-150.00M,-12.00M,-150.00M,332.00M,50.00M,366.00M,0.00,,-3.00M,363.00M,373.19M,877.00M,360.00M,517.00M,,0.85,0.00,,,0.8737,0.85,,0.83,0.00,,,0.8534,0.83,,430.70M,435.40M,0.125,,AOR,Restated
2010-09,6.72B,6.72B,4.758B,1.962B,,,843.00M,,0.00,58.00M,152.00M,,-152.00M,,1.263B,699.00M,,152.00M,-152.00M,,-152.00M,547.00M,170.00M,399.00M,0.00,,-2.00M,397.00M,397.00M,1.061B,362.00M,699.00M,,0.92,0.00,,,0.92,0.92,,0.91,0.00,,,0.91,0.91,,430.10M,433.80M,0.125,,AOR,Restated
2010-06,6.121B,6.121B,4.49B,1.631B,,,802.00M,,-144.00M,47.00M,157.00M,,-157.00M,,1.212B,419.00M,,157.00M,-157.00M,-144.00M,-157.00M,118.00M,25.00M,100.00M,0.00,,-7.00M,93.00M,206.49M,638.00M,363.00M,275.00M,,0.22,0.00,,,0.4842,0.22,,0.21,0.00,,,0.4719,0.21,,429.60M,433.40M,0.125,,AOR,Restated
2010-03,5.807B,5.807B,4.464B,1.343B,,,738.00M,,-215.00M,45.00M,149.00M,,-149.00M,,1.154B,189.00M,,149.00M,-149.00M,-215.00M,-149.00M,-175.00M,-24.00M,-153.00M,0.00,,-9.00M,-162.00M,23.51M,345.00M,371.00M,-26.00M,,-0.38,0.00,,,0.0526,-0.38,,-0.38,0.00,,,0.0526,-0.38,,428.80M,428.80M,0.025,,AOR,Restated
2009-12,5.977B,5.977B,3.95B,2.027B,,,814.00M,,-1.051B,43.00M,163.00M,,-163.00M,,1.241B,786.00M,,163.00M,-163.00M,-1.051B,-163.00M,-428.00M,-321.00M,-97.00M,,,-4.00M,-101.00M,582.15M,119.00M,384.00M,-265.00M,,-0.24,0.00,,,1.381,-0.24,,-0.24,0.00,,,1.341,-0.24,,421.40M,432.20M,0.025,,AOR,Restated
2009-09,5.919B,5.919B,3.758B,2.161B,,,826.00M,,-151.00M,48.00M,169.00M,,-169.00M,,1.252B,909.00M,,169.00M,-169.00M,-151.00M,-169.00M,589.00M,212.00M,377.00M,,,-6.00M,371.00M,467.65M,1.136B,378.00M,758.00M,,0.87,0.00,,,1.095,0.87,,0.87,0.00,,,1.095,0.87,,428.70M,428.70M,0.025,,AOR,Restated
2009-06,5.802B,5.802B,3.781B,2.021B,,,787.00M,,-79.00M,47.00M,173.00M,,-173.00M,48.00M,1.249B,772.00M,,173.00M,-173.00M,-79.00M,-173.00M,520.00M,348.00M,140.00M,,,-4.00M,136.00M,187.35M,1.06B,367.00M,693.00M,,0.32,0.00,,,0.4407,0.32,,0.32,0.00,,,0.4407,0.32,,425.40M,425.40M,0.025,,AOR,Restated
2009-03,5.668B,5.668B,3.731B,1.937B,,,779.00M,,-83.00M,50.00M,164.00M,,-164.00M,,1.172B,765.00M,,164.00M,-164.00M,-83.00M,-164.00M,518.00M,230.00M,261.00M,,,-4.00M,257.00M,310.95M,1.025B,343.00M,682.00M,,0.61,0.00,,,0.7375,0.61,,0.61,0.00,,,0.7375,0.61,,423.10M,423.10M,0.25,,AOR,Restated
2008-12,6.546B,6.546B,5.022B,1.524B,,,833.00M,,-1.995B,46.00M,266.00M,,-186.00M,,1.261B,263.00M,,266.00M,-186.00M,-1.995B,-186.00M,-1.918B,-112.00M,-1.808B,5.00M,,12.00M,-1.791B,82.50M,-1.27B,382.00M,-1.652B,,-4.27,0.01,,,0.1920,-4.26,,-4.27,0.01,,,0.1920,-4.26,,421.00M,421.00M,0.25,,AOR,Restated
2008-09,6.808B,6.808B,5.154B,1.654B,376.00M,507.00M,883.00M,,60.00M,48.00M,144.00M,,-144.00M,,1.305B,349.00M,,144.00M,-144.00M,60.00M,-144.00M,265.00M,118.00M,152.00M,0.00,,-3.00M,149.00M,110.00M,783.00M,374.00M,409.00M,,0.35,0.00,,,0.2574,0.35,,0.35,0.00,,,0.2579,0.35,,421.20M,423.40M,0.25,,AOR,
2008-06,5.807B,5.807B,4.305B,1.502B,,,760.00M,,-10.00M,44.00M,81.00M,,-81.00M,,1.109B,393.00M,,81.00M,-81.00M,-10.00M,-81.00M,332.00M,97.00M,235.00M,-1.00M,,-7.00M,227.00M,235.08M,718.00M,305.00M,413.00M,,0.54,0.00,,,0.5567,0.54,,0.54,0.00,,,0.5567,0.54,,422.60M,422.60M,0.25,,AOR,Restated
2008-03,5.668B,5.668B,4.261B,1.407B,,,757.00M,,-26.00M,44.00M,99.00M,18.00M,-81.00M,-1.00M,1.086B,321.00M,18.00M,99.00M,-81.00M,-26.00M,-81.00M,198.00M,59.00M,155.00M,-17.00M,,-5.00M,133.00M,168.25M,583.00M,286.00M,297.00M,,0.36,-0.04,,,0.4031,0.32,,0.35,-0.04,,,0.3931,0.31,,423.30M,423.30M,0.25,,AOR,Restated
2007-12,5.841B,5.841B,4.242B,1.599B,,,769.00M,,4.00M,38.00M,233.00M,,-79.00M,,1.085B,514.00M,,233.00M,-79.00M,4.00M,-79.00M,439.00M,94.00M,321.00M,-11.00M,,,327.00M,334.86M,950.00M,278.00M,672.00M,,0.80,-0.03,,,0.7925,0.77,,0.80,-0.03,,,0.7926,0.77,,420.20M,424.90M,0.25,,AOR,Restated
2007-09,5.541B,5.541B,4.086B,1.455B,255.00M,455.00M,710.00M,,-34.00M,42.00M,77.00M,,-77.00M,,1.029B,426.00M,,77.00M,-77.00M,-34.00M,-77.00M,315.00M,89.00M,226.00M,-3.00M,,-6.00M,217.00M,244.39M,669.00M,277.00M,392.00M,,0.52,-0.01,,,0.5778,0.51,,0.52,-0.01,,,0.5773,0.51,,422.30M,425.60M,0.25,,AOR,Restated
2007-06,5.291B,5.291B,3.881B,1.41B,254.00M,441.00M,695.00M,,-25.00M,47.00M,80.00M,,-80.00M,,1.011B,399.00M,,80.00M,-80.00M,-25.00M,-80.00M,294.00M,89.00M,205.00M,-10.00M,,-5.00M,190.00M,217.43M,643.00M,269.00M,374.00M,,0.46,0.42,,,0.5007,0.88,,0.46,-0.02,,,0.5004,0.44,,428.00M,431.20M,0.25,,AOR,Restated
2007-03,5.217B,5.217B,3.851B,1.366B,256.00M,435.00M,691.00M,,296.00M,42.00M,61.00M,,-61.00M,,995.00M,371.00M,,61.00M,-61.00M,296.00M,-61.00M,606.00M,143.00M,463.00M,-23.00M,,-6.00M,434.00M,230.85M,929.00M,262.00M,667.00M,,1.03,-0.05,,,0.5221,0.98,,1.02,-0.05,,,0.5156,0.97,,445.30M,448.40M,0.25,,AOR,Restated
2006-12,5.324B,5.324B,3.903B,1.421B,,,701.00M,,3.408B,55.00M,210.00M,,-80.00M,,1.031B,390.00M,,210.00M,-80.00M,3.408B,-80.00M,3.718B,1.668B,2.033B,-68.00M,,,1.979B,2.20M,4.203B,275.00M,3.928B,,4.26,-0.14,,,-0.2962,4.12,,4.22,-0.14,,,0.1238,4.09,,448.80M,499.20M,0.25,,AOR,Restated
2006-09,5.429B,5.429B,3.906B,1.523B,267.00M,465.00M,732.00M,,286.00M,52.00M,144.00M,,-144.00M,,1.071B,452.00M,,144.00M,-144.00M,286.00M,-144.00M,594.00M,204.00M,390.00M,-161.00M,,-5.00M,224.00M,197.22M,1.025B,287.00M,738.00M,,0.81,-0.34,,,0.4208,0.47,,0.80,-0.34,,,0.4127,0.46,,482.50M,484.90M,0.25,,AOR,Restated
2006-06,5.716B,5.716B,4.271B,1.445B,276.00M,457.00M,733.00M,,-128.00M,55.00M,148.00M,,-148.00M,,1.07B,375.00M,,148.00M,-148.00M,-128.00M,-148.00M,99.00M,33.00M,66.00M,21.00M,,-4.00M,83.00M,147.33M,529.00M,282.00M,247.00M,,0.13,0.04,,,0.3053,0.17,,0.13,0.04,,,0.3052,0.17,,486.90M,487.20M,0.25,,AOR,Restated
