,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2016-09,-15.03M,0.00,,-4.533M,,,-4.533M,24.80M,4.083M,28.89M,28.89M,,,73.45M,6.001M,,79.45M,27.43M,12.69M,-32.74M,-34.11M,,,-1.799M,-28.53M,60.24M,-27.56M,-0.795M,-0.795M,0.00,,,-28.36M,-15.00M,,-15.00M,,,,-24.78M,-24.78M,,4.30M,-35.48M,263.07M,-3.593M,1.389M,260.87M,,,-15.00M,
2016-06,54.36M,7.664M,,-6.742M,,,0.922M,25.57M,4.218M,29.78M,29.78M,,,,8.008M,,8.008M,-49.01M,23.77M,-29.96M,-40.56M,,,22.01M,-73.76M,19.32M,-16.70M,1.326M,1.326M,-5.064M,,,-20.44M,-15.00M,,-15.00M,,,,-24.77M,-24.77M,,-1.095M,-40.86M,307.38M,-41.98M,-2.326M,263.07M,,,-15.00M,
2016-03,34.29M,,,10.24M,,,10.24M,24.50M,4.123M,28.63M,28.63M,,,,15.96M,,15.96M,91.40M,-67.92M,3.96M,-106.43M,,,-18.75M,-97.74M,-8.625M,-20.21M,0.101M,0.101M,,,,-20.11M,-15.00M,,-15.00M,,,,-23.42M,-23.42M,,0.494M,-37.92M,366.44M,-66.66M,7.591M,307.38M,,,-15.00M,
2015-12,63.20M,,,19.75M,,,19.75M,25.85M,1.668M,27.52M,27.52M,,,,8.789M,6.822M,15.61M,-13.60M,98.27M,28.48M,98.35M,,,-27.86M,183.64M,309.72M,-43.33M,6.117M,6.117M,0.00,,,-37.21M,-15.00M,,-15.00M,,-53.97M,-53.97M,-23.65M,-23.65M,,-40.92M,-133.53M,237.84M,138.97M,-10.37M,366.44M,,0.00,-15.00M,-53.97M
2015-09,94.54M,0.00,,4.841M,,,4.841M,24.38M,8.085M,32.47M,32.47M,,,0.00,8.631M,-0.964M,7.667M,21.28M,-6.525M,-21.35M,-31.44M,,,11.50M,-26.53M,112.98M,-24.74M,2.231M,2.231M,-12.11M,,,-34.62M,-10.00M,,-10.00M,,-110.04M,-110.04M,-24.07M,-24.07M,,-1.642M,-145.75M,315.30M,-67.39M,-10.07M,237.84M,,0.00,-10.00M,-110.04M
2015-06,76.63M,0.00,,21.26M,,,21.26M,24.67M,8.589M,33.26M,33.26M,,,,8.301M,-0.058M,8.243M,-14.02M,4.843M,1.766M,-0.964M,,,-19.75M,-28.12M,111.26M,-29.83M,0.223M,0.223M,0.00,,,-29.60M,-7.086M,,-7.086M,,-59.74M,-59.74M,-24.24M,-24.24M,,-10.86M,-101.93M,333.78M,-20.27M,1.801M,315.30M,,2.914M,-10.00M,-59.74M
2015-03,29.64M,,,28.54M,,,28.54M,24.60M,9.244M,33.84M,33.84M,,,,9.095M,-5.80M,3.295M,59.40M,-117.85M,-22.78M,-128.51M,,,21.22M,-188.52M,-93.20M,-83.97M,1.649M,1.649M,-341.54M,,,-423.86M,513.42M,,513.42M,,-79.90M,-79.90M,-21.69M,-21.69M,,7.042M,418.88M,450.35M,-98.19M,-18.38M,333.78M,,523.42M,-10.00M,-79.90M
2014-12,155.08M,0.00,,17.77M,,,17.77M,23.56M,3.415M,26.97M,26.97M,,,,15.99M,8.49M,24.48M,-40.86M,93.14M,13.09M,177.48M,,,-2.526M,240.33M,464.63M,-49.02M,0.118M,0.118M,0.00,,,-48.90M,-10.00M,,-10.00M,,-58.18M,-58.18M,-21.83M,-21.83M,,-23.56M,-113.57M,162.87M,302.16M,-14.68M,450.35M,,0.00,-10.00M,-58.18M
2014-09,130.60M,0.00,,10.68M,,,10.68M,23.43M,4.228M,27.66M,27.66M,,,,8.413M,0.00,8.413M,-24.10M,-9.43M,-9.53M,33.10M,,,-26.27M,-36.24M,141.12M,-29.94M,0.824M,0.824M,0.00,,,-29.11M,-10.00M,,-10.00M,,-35.26M,-35.26M,-21.90M,-21.90M,,-10.43M,-77.59M,143.57M,34.41M,-15.11M,162.87M,,0.00,-10.00M,-35.26M
2014-06,125.16M,0.00,,3.948M,,,3.948M,23.26M,5.022M,28.28M,28.28M,,,,8.356M,-0.137M,8.219M,-91.96M,-38.12M,-1.141M,38.40M,,,0.609M,-92.21M,73.40M,-22.00M,0.488M,0.488M,0.00,,,-21.52M,-10.00M,,-10.00M,,-43.46M,-43.46M,-22.00M,-22.00M,,4.658M,-70.80M,164.42M,-18.92M,-1.93M,143.57M,,0.00,-10.00M,-43.46M
2014-03,108.59M,-13.40M,,7.541M,,,-5.862M,23.06M,4.305M,27.36M,27.36M,,,,9.916M,-8.353M,1.563M,77.26M,-76.99M,-6.897M,-210.06M,,,0.361M,-216.32M,-84.66M,-31.66M,0.301M,0.301M,46.80M,,,15.44M,-10.00M,,-10.00M,,-109.60M,-109.60M,-19.39M,-19.39M,,9.777M,-129.22M,363.80M,-198.44M,-0.951M,164.42M,,0.00,-10.00M,-109.60M
2013-12,141.99M,0.00,,,,3.397M,2.183M,24.00M,3.813M,27.81M,27.81M,,,,11.36M,-0.007M,11.36M,-64.65M,130.36M,0.046M,106.77M,,,23.00M,195.53M,378.87M,-44.39M,0.684M,0.684M,-66.66M,,,-110.36M,288.60M,-196.00M,92.60M,,-88.18M,-88.18M,-19.56M,-19.56M,,-3.668M,-18.82M,113.75M,249.69M,0.359M,363.80M,,102.60M,-10.00M,-88.18M
2013-09,126.53M,0.00,,,,-0.649M,-1.244M,22.93M,4.03M,26.96M,26.96M,,,,8.11M,-1.705M,6.405M,4.936M,18.93M,3.121M,-24.00M,,,-19.92M,-16.94M,141.71M,-33.54M,0.633M,0.633M,0.00,,,-32.91M,-5.00M,-13.00M,-18.00M,,-63.81M,-63.81M,-19.72M,-19.72M,,0.50M,-101.03M,104.71M,7.778M,1.261M,113.75M,,-13.00M,-5.00M,-63.81M
2013-06,120.90M,0.00,,,,0.318M,0.429M,22.37M,4.047M,26.41M,26.41M,,,,8.25M,-1.581M,6.669M,-34.33M,-37.17M,-0.16M,-4.816M,,,-2.686M,-79.16M,75.24M,-26.90M,0.124M,0.124M,0.00,,,-26.78M,-155.00M,209.00M,54.00M,,-150.76M,-150.76M,-20.11M,-20.11M,,6.271M,-110.60M,169.44M,-62.13M,-2.591M,104.71M,,59.00M,-5.00M,-150.76M
2013-03,98.90M,-13.00M,,,,-3.066M,-31.14M,21.40M,3.807M,25.21M,25.21M,,,,8.035M,-6.818M,1.217M,40.22M,-83.50M,-9.831M,-159.29M,,,10.15M,-202.26M,-108.07M,-34.26M,0.212M,0.212M,36.10M,,,2.051M,145.00M,,145.00M,,-155.55M,-155.55M,-17.51M,-17.51M,,2.684M,-25.38M,304.25M,-131.40M,-3.414M,169.44M,,150.00M,-5.00M,-155.55M
2012-12,141.94M,0.00,,,,5.798M,-9.16M,22.54M,3.903M,26.45M,26.45M,,,,9.461M,-0.151M,9.31M,10.49M,76.55M,4.105M,164.43M,,,-29.54M,226.03M,394.57M,-51.36M,5.46M,5.46M,0.00,,,-45.90M,-5.00M,,-5.00M,,-238.08M,-238.08M,-18.20M,-18.20M,,-2.735M,-264.01M,217.42M,84.66M,2.174M,304.25M,,0.00,-5.00M,-238.08M
2012-09,106.83M,0.00,,,,-1.075M,0.306M,21.69M,4.579M,26.27M,26.27M,,,,10.52M,-0.11M,10.41M,-32.25M,6.485M,7.649M,-52.26M,,,-11.25M,-81.62M,62.19M,-27.30M,3.571M,3.571M,-2.205M,,,-25.93M,435.58M,-300.00M,135.58M,,-100.97M,-100.97M,-18.49M,-18.49M,,-13.87M,2.255M,175.21M,38.52M,3.692M,217.42M,,598.08M,-462.50M,-100.97M
2012-06,108.48M,0.00,,,,-1.674M,-1.813M,21.77M,5.014M,26.78M,26.78M,,,,7.629M,-0.057M,7.572M,-51.01M,-43.23M,-1.205M,127.34M,,,-4.663M,27.24M,168.27M,-28.20M,0.114M,0.114M,0.00,,,-28.08M,-6.25M,300.00M,293.75M,,-410.85M,-410.85M,-19.67M,-19.67M,,4.168M,-132.60M,172.69M,7.579M,-5.06M,175.21M,,300.00M,-6.25M,-410.85M
2012-03,93.54M,0.00,,,,-3.049M,-13.46M,22.57M,5.158M,27.73M,27.73M,,,,7.796M,-10.89M,-3.093M,37.69M,-112.51M,-15.41M,-124.20M,,,1.82M,-212.61M,-107.89M,-28.69M,7.788M,7.788M,-5.616M,,,-26.51M,-6.25M,,-6.25M,,-22.05M,-22.05M,-17.41M,-17.41M,,11.14M,-34.57M,337.36M,-168.97M,4.309M,172.69M,,0.00,-6.25M,-22.05M
2011-12,125.56M,,,,,-5.685M,-5.834M,23.49M,4.523M,28.01M,28.01M,,,,8.435M,-0.467M,26.91M,-41.48M,66.32M,9.379M,184.26M,,,-6.371M,212.11M,368.30M,-36.80M,4.269M,4.269M,-89.62M,,-3.53M,-125.68M,-6.25M,,-6.25M,,-108.91M,-108.91M,,-17.76M,,4.005M,-128.92M,227.88M,113.70M,-4.228M,337.36M,,0.00,-6.25M,-108.91M
2011-09,107.96M,,,,,-1.151M,-0.556M,22.79M,4.086M,26.88M,26.88M,,,,7.384M,-0.18M,-11.73M,-80.10M,-44.78M,11.06M,44.77M,,,15.76M,-53.29M,87.71M,-22.67M,-3.735M,-3.735M,0.00,0.00,3.53M,-22.87M,-10.60M,0.00,-10.60M,,-15.06M,-15.06M,,-17.82M,,-3.649M,-47.13M,221.31M,17.71M,-11.14M,227.88M,,-4.348M,-6.25M,-15.06M
2011-06,98.72M,,,,,2.462M,2.36M,22.57M,4.979M,27.54M,27.54M,,-0.723M,,7.661M,-0.034M,6.904M,-77.78M,-54.61M,5.417M,-16.32M,,,-1.844M,-145.14M,-9.608M,-25.00M,0.962M,0.962M,-0.89M,0.00,,-24.92M,-5.362M,0.00,-5.362M,,-12.21M,-12.21M,,-17.84M,-0.223M,0.258M,-35.38M,288.86M,-69.91M,2.365M,221.31M,,0.888M,-6.25M,-12.21M
2011-03,97.00M,,,,,-0.839M,-1.332M,21.81M,3.32M,25.13M,25.13M,,0.723M,,8.61M,-4.987M,4.346M,-43.75M,-106.69M,-38.09M,-173.77M,,,8.972M,-353.32M,-228.19M,-23.50M,2.773M,2.773M,0.00,0.00,,-20.73M,-2.79M,,-2.79M,,-13.82M,-13.82M,,-16.13M,0.223M,4.987M,-27.53M,557.58M,-276.45M,7.725M,288.86M,,3.46M,-6.25M,-13.82M
2010-12,112.45M,,,,-1.375M,-4.121M,-3.442M,25.78M,6.84M,32.62M,32.62M,,-2.699M,,8.133M,-0.077M,5.357M,-4.091M,59.62M,14.67M,145.53M,,,9.678M,225.41M,372.39M,-55.57M,4.282M,4.282M,3.651M,-4.326M,,-51.97M,-39.76M,,-40.19M,,-11.94M,-11.94M,,-16.16M,-5.576M,-0.666M,-74.54M,310.61M,245.89M,1.077M,557.58M,,500.00M,-539.76M,-11.94M
2010-09,104.22M,,,,-2.618M,-5.869M,-8.414M,22.30M,2.388M,24.69M,24.69M,,0.578M,,9.208M,0.267M,24.02M,-11.71M,-48.73M,-15.30M,-8.99M,,,-16.75M,-101.48M,36.08M,-21.20M,3.858M,3.858M,-199.40M,-0.747M,,-217.48M,-3.352M,,-2.914M,,-10.97M,-10.97M,,-16.25M,0.105M,0.854M,-29.18M,503.50M,-210.58M,17.69M,310.61M,,-1.932M,-1.42M,-10.97M
2010-06,91.80M,,,,,5.104M,5.055M,21.14M,2.379M,23.52M,23.52M,,1.206M,,6.789M,-0.378M,-6.352M,10.37M,-40.55M,23.91M,-18.62M,,,0.156M,-24.73M,96.26M,-10.30M,0.00,0.00,0.00,0.00,,-10.30M,-0.264M,,-0.264M,,-11.11M,-11.11M,,-16.16M,0.859M,0.652M,-26.02M,468.36M,59.94M,-24.80M,503.50M,,1.157M,-1.421M,-11.11M
2010-03,80.20M,,,,,-5.104M,-5.225M,21.29M,2.425M,23.71M,23.71M,,0.915M,,8.298M,-9.86M,-0.647M,-46.54M,-23.25M,-25.65M,-172.77M,,,21.21M,-247.00M,-148.96M,-14.93M,2.89M,2.89M,,5.073M,,-6.97M,-0.645M,,-0.645M,,-11.99M,-11.99M,,-15.02M,4.612M,9.86M,-13.18M,654.32M,-169.11M,-16.86M,468.36M,,0.775M,-1.42M,-11.99M
2009-12,110.26M,,-0.666M,,,-0.384M,-0.186M,22.06M,2.572M,24.63M,24.63M,,0.896M,,9.358M,-0.134M,-36.11M,42.59M,82.76M,41.72M,114.64M,-2.571M,,6.953M,286.09M,426.47M,-21.38M,0.556M,0.556M,0.00,,,-20.82M,-2.193M,,-2.193M,,-13.43M,-13.43M,,-17.02M,0.443M,-2.303M,-34.50M,291.22M,371.15M,-8.053M,654.32M,,-0.772M,-1.421M,-13.43M
2009-09,116.64M,,0.218M,,,-0.598M,-0.38M,21.24M,2.461M,23.71M,23.71M,,0.473M,,9.898M,-0.625M,9.746M,36.57M,31.87M,-11.21M,-57.70M,-1.803M,,-65.71M,-67.98M,81.73M,-22.81M,,,-2.381M,,,-25.19M,-2.10M,,-2.10M,,-11.37M,-11.37M,,-15.22M,1.869M,0.625M,-26.20M,251.54M,30.35M,9.339M,291.22M,,-0.68M,-1.42M,-11.37M
2009-06,108.60M,-0.27M,0.448M,,,-0.293M,-0.115M,24.14M,2.397M,26.53M,26.53M,,0.442M,,11.42M,-0.125M,11.74M,15.55M,35.75M,0.898M,-66.38M,-0.576M,,-28.91M,-43.66M,103.10M,-20.01M,0.00,0.00,-28.37M,,,-48.38M,1.611M,,1.611M,,-9.083M,-9.083M,,-15.15M,0.425M,0.125M,-22.07M,201.54M,32.65M,17.35M,251.54M,,0.768M,0.843M,-9.083M
2009-03,92.82M,0.27M,,,,-2.914M,-2.644M,18.14M,2.43M,20.58M,20.58M,,0.397M,,10.07M,-0.29M,10.18M,-43.98M,-75.70M,-10.57M,-202.06M,6.509M,,24.84M,-300.96M,-180.03M,-44.25M,0.00,0.00,,,,-44.25M,-3.684M,,-3.684M,,-7.071M,-7.071M,,-14.05M,0.202M,0.29M,-24.31M,472.06M,-248.59M,-21.93M,201.54M,,,-3.684M,-7.071M
2008-12,112.18M,,,,,5.911M,-1.505M,17.17M,2.339M,19.51M,19.51M,,0.557M,,8.722M,3.883M,13.16M,85.25M,-5.237M,5.099M,148.98M,-25.75M,,59.15M,267.48M,410.83M,-54.43M,-0.245M,-0.245M,0.00,,,-52.27M,3.873M,,3.873M,,-29.95M,-29.95M,,-14.13M,0.726M,-3.883M,-43.37M,153.95M,315.19M,5.319M,471.79M,,5.294M,-1.421M,-29.95M
2008-09,117.92M,,,,,-1.148M,-6.33M,17.91M,2.498M,20.41M,20.41M,,0.357M,,7.589M,-6.348M,1.598M,-69.30M,-25.05M,-17.39M,182.51M,11.74M,,-42.67M,39.85M,173.45M,-34.80M,5.378M,5.378M,0.00,,,-29.42M,8.224M,,8.224M,,-100.02M,-100.02M,,-14.35M,1.285M,-4.468M,-109.33M,137.10M,34.70M,-17.85M,153.95M,,9.644M,-1.42M,-100.02M
2008-06,124.24M,,,,,-0.073M,-0.425M,18.37M,2.518M,20.88M,20.88M,,0.454M,,9.42M,-1.788M,8.086M,-130.11M,-56.36M,-0.604M,71.10M,4.822M,,-47.46M,-158.61M,-5.823M,-23.45M,2.178M,2.178M,0.00,,,-21.27M,-2.033M,,-2.033M,,-34.98M,-34.98M,,-14.40M,1.697M,12.60M,-37.12M,199.39M,-64.21M,1.92M,137.10M,,-0.612M,-1.421M,-34.98M
2008-03,88.06M,,,,,-4.69M,-8.756M,18.13M,2.503M,20.64M,20.64M,,0.454M,,6.972M,-8.278M,-0.852M,-80.94M,-108.88M,-8.772M,-73.88M,-8.991M,,9.934M,-271.52M,-172.43M,-14.26M,,,,,,-14.26M,-0.808M,,-0.808M,,0.00,0.00,,-8.592M,8.232M,8.278M,7.11M,373.24M,-179.58M,5.733M,199.39M,,0.612M,-1.42M,0.00
2007-12,95.90M,,,,,,-9.872M,18.81M,2.525M,21.33M,21.33M,-7.06M,,,,,2.802M,36.65M,45.95M,8.263M,99.31M,,77.69M,1.30M,269.16M,372.26M,-28.03M,9.498M,-18.54M,,,1.068M,-19.78M,,,-59.42M,3.352M,0.00,3.352M,,-8.505M,,3.095M,-61.48M,71.11M,291.01M,8.462M,370.58M,3.352M,,,0.00
2007-09,63.06M,,,,,,-4.709M,16.23M,3.318M,19.55M,19.55M,-8.912M,,,,,4.606M,-18.77M,-27.10M,-5.917M,-7.639M,,98.16M,-5.552M,33.18M,106.77M,-15.44M,2.64M,-12.80M,,,-0.707M,-13.51M,,,-63.01M,0.773M,0.00,0.773M,,-8.588M,,-1.715M,-72.54M,47.96M,20.72M,2.432M,71.11M,0.773M,,,0.00
2007-06,63.20M,,,,,,0.504M,16.56M,2.896M,19.46M,19.46M,-2.066M,,,,,4.165M,-75.98M,-44.64M,-10.46M,23.58M,,30.31M,4.07M,-73.12M,12.15M,-23.06M,1.266M,-21.79M,,,-0.555M,-22.34M,,,33.38M,5.426M,-14.22M,-8.793M,,-8.588M,,2.389M,18.38M,37.99M,8.187M,1.774M,47.96M,5.426M,,,-14.22M
2007-03,33.61M,,,,,,-4.152M,16.24M,2.888M,19.12M,19.12M,0.355M,,,,,2.265M,-24.27M,-75.99M,-18.46M,-40.05M,,24.40M,9.348M,-125.02M,-73.81M,-22.45M,,-22.45M,,,0.988M,-21.46M,,,86.21M,7.142M,-30.58M,-23.44M,,,,3.017M,65.79M,67.00M,-29.48M,0.472M,37.99M,7.142M,,,-30.58M
2006-12,33.54M,,,,,,-1.229M,15.90M,2.73M,18.63M,18.63M,3.505M,,,,,-10.39M,-12.34M,2.728M,0.72M,52.34M,,74.09M,-11.18M,106.36M,148.77M,-30.01M,,-30.01M,,,0.223M,-34.11M,,,-88.38M,,,,,,,12.82M,-98.82M,48.74M,15.84M,2.421M,67.00M,,,,
2006-09,29.28M,,,,,,-1.75M,15.31M,3.355M,18.66M,18.66M,-9.347M,,,,,9.443M,-13.65M,-61.00M,-3.617M,21.73M,,37.63M,-20.90M,-39.81M,6.478M,-14.06M,,-14.06M,,,-1.244M,-15.31M,,,-1.041M,,,,,,,1.177M,0.136M,58.25M,-8.692M,-0.818M,48.74M,,,,
2006-06,33.61M,,,,,,1.254M,14.68M,3.051M,17.73M,17.73M,12.16M,,,,,5.439M,-11.02M,-26.84M,0.435M,-3.365M,,17.46M,6.763M,-16.56M,53.62M,-16.98M,,-16.98M,,,0.484M,-16.49M,,,-25.07M,,,,,,,,-25.07M,45.78M,12.06M,0.404M,58.25M,,,,
