,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,LandandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2017-06,2.492B,,2.492B,801.00M,137.00M,938.00M,242.00M,,134.00M,,376.00M,,,124.00M,4.27B,,,,47.06B,-24.26B,22.79B,350.00M,,350.00M,,,25.00M,360.00M,23.53B,27.80B,,504.00M,63.00M,567.00M,1.43B,1.997B,,,121.00M,,121.00M,,,,2.118B,1.919B,6.612B,,6.612B,1.115B,1.115B,1.298B,956.00M,10.60B,12.72B,,319.00M,9.153B,5.826B,1.00M,,-1.518B,13.78B,,AOR,Restated
2017-03,2.686B,,2.686B,775.00M,137.00M,912.00M,240.00M,,137.00M,,377.00M,,,196.00M,4.171B,,,,47.25B,-24.05B,23.20B,375.00M,,375.00M,,,23.00M,330.00M,23.93B,28.10B,,565.00M,102.00M,667.00M,1.343B,2.01B,,,116.00M,,116.00M,,,,2.126B,1.943B,6.669B,,6.669B,1.125B,1.125B,1.085B,1.004B,10.74B,12.87B,,319.00M,9.692B,5.804B,1.00M,,-1.667B,14.15B,,AOR,Restated
2016-12,2.732B,,2.732B,940.00M,86.00M,1.026B,246.00M,,77.00M,,323.00M,,,195.00M,4.276B,,,100.00M,46.91B,-23.31B,23.60B,375.00M,,375.00M,,,59.00M,316.00M,24.34B,28.62B,,433.00M,97.00M,530.00M,1.609B,2.139B,,,112.00M,,112.00M,,,,2.251B,1.912B,6.694B,,6.694B,1.144B,1.144B,1.057B,1.029B,10.78B,13.03B,,318.00M,10.15B,5.773B,1.00M,,-1.704B,14.53B,,AOR,Restated
2016-09,3.529B,,3.529B,771.00M,82.00M,853.00M,299.00M,,104.00M,,403.00M,,,108.00M,4.893B,,,,48.42B,-22.88B,25.54B,375.00M,,375.00M,,,3.257B,397.00M,29.57B,34.46B,,458.00M,60.00M,518.00M,1.433B,1.951B,,,666.00M,,666.00M,,,,2.617B,2.098B,6.671B,,6.671B,1.214B,1.214B,1.077B,944.00M,10.93B,13.54B,,318.00M,15.13B,5.763B,1.00M,,-1.372B,19.84B,,AOR,Restated
2016-06,3.095B,,3.095B,843.00M,205.00M,1.048B,282.00M,,95.00M,,377.00M,,,111.00M,4.631B,,,,47.91B,-22.14B,25.77B,375.00M,,375.00M,,,3.043B,416.00M,29.60B,34.23B,,525.00M,91.00M,616.00M,1.421B,2.037B,,,102.00M,,102.00M,,,,2.139B,2.238B,6.45B,,6.45B,1.227B,1.227B,1.055B,1.006B,10.92B,13.06B,,318.00M,15.56B,5.741B,1.00M,,-1.499B,20.12B,,AOR,Restated
2016-03,3.557B,,3.557B,612.00M,240.00M,852.00M,272.00M,,144.00M,,416.00M,,,120.00M,4.945B,,,,47.69B,-21.45B,26.24B,375.00M,,375.00M,,,2.832B,415.00M,29.86B,34.81B,,346.00M,93.00M,439.00M,1.66B,2.099B,,,94.00M,,94.00M,,,,2.193B,2.175B,6.498B,,6.498B,1.32B,1.32B,1.036B,988.00M,10.98B,13.17B,,318.00M,16.04B,5.722B,1.00M,,-1.484B,20.60B,,AOR,Restated
2015-12,2.716B,,2.716B,847.00M,312.00M,1.159B,255.00M,,144.00M,,399.00M,,,130.00M,4.404B,,,171.00M,46.83B,-20.47B,26.35B,375.00M,,375.00M,,,2.653B,373.00M,29.75B,34.16B,,457.00M,88.00M,545.00M,1.997B,2.542B,,,86.00M,,86.00M,,,,2.628B,2.158B,6.506B,,6.506B,1.334B,1.334B,1.015B,1.13B,11.13B,13.76B,,286.00M,16.64B,4.127B,,,-1.664B,19.39B,,AOR,Restated
2015-09,3.013B,,3.013B,1.211B,311.00M,1.522B,318.00M,,217.00M,,535.00M,,,527.00M,5.597B,,,,48.14B,-21.26B,26.88B,1.473B,,1.473B,,,2.109B,394.00M,30.86B,36.46B,,537.00M,79.00M,616.00M,1.93B,2.546B,,,78.00M,,78.00M,,,,2.624B,2.161B,6.474B,,6.474B,1.618B,1.618B,1.032B,1.216B,11.47B,14.09B,,286.00M,18.53B,4.097B,,,-1.582B,21.33B,,AOR,Restated
2015-06,931.00M,,931.00M,1.492B,302.00M,1.794B,280.00M,,289.00M,,569.00M,,,632.00M,3.926B,,,,47.88B,-20.58B,27.30B,1.473B,,1.473B,,,2.504B,357.00M,31.63B,35.56B,,616.00M,313.00M,929.00M,2.495B,3.424B,,,69.00M,,69.00M,,,,3.493B,2.011B,5.888B,,5.888B,1.825B,1.825B,0.00,1.238B,10.96B,14.46B,,287.00M,18.92B,3.329B,,,-1.436B,21.10B,,AOR,Restated
2015-03,1.506B,,1.506B,1.405B,306.00M,1.711B,262.00M,,284.00M,,546.00M,,,560.00M,4.323B,,,,46.96B,-19.75B,27.21B,1.858B,,1.858B,,,2.356B,356.00M,31.78B,36.10B,,681.00M,290.00M,971.00M,2.427B,3.398B,,,69.00M,,69.00M,,,,3.467B,2.086B,5.911B,,5.911B,1.794B,1.794B,0.00,1.176B,10.97B,14.43B,,287.00M,19.58B,3.306B,,,-1.504B,21.67B,,AOR,Restated
2014-12,2.444B,,2.444B,1.642B,431.00M,2.073B,281.00M,,246.00M,,527.00M,,,1.269B,6.313B,,,194.00M,46.52B,-19.00B,27.52B,1.858B,,1.858B,,,2.371B,348.00M,32.09B,38.41B,,708.00M,294.00M,1.002B,3.781B,4.783B,,,68.00M,,68.00M,,,,4.851B,2.281B,5.919B,,5.919B,1.838B,1.838B,115.00M,1.198B,11.24B,16.09B,,286.00M,20.05B,3.277B,,,-1.41B,22.20B,,AOR,Restated
2014-09,4.12B,,4.12B,2.674B,385.00M,3.059B,318.00M,,543.00M,,817.00M,,,869.00M,8.865B,,,,46.14B,-18.48B,27.67B,1.858B,,1.858B,145.00M,,1.94B,500.00M,32.11B,40.98B,,1.712B,282.00M,1.994B,2.954B,4.948B,,,67.00M,,67.00M,,,,5.015B,2.313B,5.929B,,5.929B,2.316B,2.316B,116.00M,1.037B,11.60B,16.61B,,299.00M,21.02B,3.417B,,,-487.00M,24.25B,,AOR,Restated
2014-06,2.205B,,2.205B,2.348B,350.00M,2.698B,316.00M,,800.00M,,842.00M,,,871.00M,8.767B,,,,45.16B,-17.92B,27.24B,1.858B,,1.858B,213.00M,,2.499B,498.00M,32.30B,41.07B,,1.529B,278.00M,1.807B,3.063B,4.87B,,,124.00M,,124.00M,,,263.00M,5.257B,2.117B,5.953B,,5.953B,2.416B,2.416B,97.00M,974.00M,11.46B,16.72B,,308.00M,20.88B,3.454B,,,-384.00M,24.26B,,AOR,Restated
2014-03,1.288B,,1.288B,2.808B,417.00M,3.225B,431.00M,,954.00M,,1.055B,,,1.114B,7.048B,,,,47.06B,-17.89B,29.17B,1.984B,,1.984B,485.00M,,2.207B,534.00M,34.38B,41.42B,,2.067B,578.00M,2.645B,3.001B,5.646B,,,142.00M,,142.00M,,,193.00M,5.981B,2.198B,5.434B,,5.434B,2.469B,2.469B,98.00M,1.10B,11.20B,17.18B,,314.00M,20.69B,3.413B,,,-276.00M,24.14B,,AOR,Restated
2013-12,1.814B,,1.814B,3.093B,432.00M,3.525B,384.00M,,909.00M,,954.00M,,,2.306B,8.599B,,,2.095B,45.95B,-17.18B,28.77B,1.869B,,1.869B,,,2.319B,1.196B,34.16B,42.75B,,2.109B,520.00M,2.629B,3.551B,6.18B,,,378.00M,,378.00M,,,,6.558B,2.249B,5.42B,,5.42B,2.292B,2.292B,64.00M,1.451B,11.41B,17.97B,,325.00M,21.24B,3.498B,,,-338.00M,24.72B,,AOR,Restated
2013-09,321.00M,,321.00M,1.418B,359.00M,1.777B,361.00M,,334.00M,,695.00M,,,822.00M,9.257B,,,,43.12B,-15.71B,27.41B,1.869B,,1.869B,441.00M,,2.617B,298.00M,32.64B,41.90B,,453.00M,385.00M,838.00M,2.783B,3.621B,,,791.00M,,791.00M,,,2.511B,6.923B,2.277B,5.418B,,5.418B,2.257B,2.257B,73.00M,1.179B,11.13B,18.05B,,338.00M,20.28B,3.599B,,,-447.00M,23.77B,,AOR,Restated
2013-06,725.00M,,725.00M,1.64B,314.00M,1.954B,390.00M,,293.00M,,683.00M,,,750.00M,9.992B,,,,41.20B,-15.02B,26.17B,1.869B,,1.869B,380.00M,,2.753B,264.00M,31.44B,41.43B,,565.00M,358.00M,923.00M,2.792B,3.715B,,,354.00M,,354.00M,,,2.664B,6.733B,1.971B,5.446B,,5.446B,2.106B,2.106B,76.00M,1.199B,10.72B,17.46B,,343.00M,20.37B,3.604B,,,-419.00M,23.90B,,AOR,Restated
2013-03,444.00M,,444.00M,1.567B,273.00M,1.84B,402.00M,,284.00M,,686.00M,,,903.00M,11.42B,,,,40.26B,-14.60B,25.65B,1.869B,,1.869B,337.00M,,2.742B,362.00M,30.96B,42.38B,,571.00M,751.00M,1.322B,2.616B,3.938B,,,1.904B,,1.904B,,,3.064B,8.906B,1.994B,5.472B,,5.472B,2.21B,2.21B,107.00M,1.272B,10.95B,19.85B,,343.00M,18.96B,3.569B,,,-452.00M,22.42B,,AOR,Restated
2012-12,642.00M,,642.00M,4.057B,281.00M,4.338B,527.00M,,1.855B,,1.259B,,,1.056B,8.387B,,,2.538B,45.55B,-16.75B,28.81B,2.208B,,2.208B,443.00M,,3.126B,470.00M,35.05B,43.44B,,2.809B,960.00M,3.769B,3.287B,7.056B,,,787.00M,,787.00M,,,539.00M,8.382B,2.212B,7.324B,,7.324B,2.662B,2.662B,113.00M,1.658B,13.86B,22.24B,,342.00M,17.72B,3.524B,,,-493.00M,21.09B,,AOR,Restated
2012-09,528.00M,,528.00M,3.908B,336.00M,4.244B,1.06B,,1.367B,,1.218B,,,2.167B,8.157B,,,,44.27B,-16.12B,28.14B,2.208B,,2.208B,401.00M,,2.872B,430.00M,34.06B,42.21B,,2.543B,779.00M,3.322B,3.905B,7.227B,,,621.00M,,621.00M,,,,7.848B,2.295B,7.22B,,7.22B,2.696B,2.696B,110.00M,1.501B,13.71B,21.56B,,342.00M,17.38B,3.498B,,,-675.00M,20.54B,,AOR,Restated
2012-06,409.00M,,409.00M,4.187B,321.00M,4.508B,1.066B,,1.497B,,1.309B,,,1.699B,7.925B,,,,42.13B,-15.57B,26.56B,2.266B,,2.266B,450.00M,,2.973B,444.00M,32.69B,40.61B,,2.707B,700.00M,3.407B,3.378B,6.785B,,,299.00M,,299.00M,,,,7.084B,1.781B,7.546B,,7.546B,2.654B,2.654B,72.00M,1.59B,13.57B,20.66B,,342.00M,16.85B,3.47B,,,-779.00M,19.89B,,AOR,Restated
2012-03,396.00M,,396.00M,4.743B,241.00M,4.984B,1.115B,,1.698B,,1.411B,,,1.421B,8.212B,,,,41.59B,-15.54B,26.05B,2.293B,,2.293B,415.00M,,3.231B,444.00M,32.44B,40.65B,,3.891B,1.178B,5.069B,3.084B,8.153B,,,38.00M,,38.00M,,,,8.191B,1.823B,6.94B,,6.94B,2.908B,2.908B,94.00M,1.628B,13.30B,21.49B,,342.00M,16.34B,3.441B,,,-1.057B,19.06B,,AOR,Restated
2011-12,351.00M,,351.00M,4.761B,250.00M,5.011B,486.00M,,2.213B,,1.423B,,,1.554B,8.339B,,,2.432B,39.71B,-15.00B,24.71B,2.305B,,2.305B,384.00M,,2.941B,455.00M,30.80B,39.14B,,3.712B,812.00M,4.524B,3.524B,8.048B,,,52.00M,,52.00M,,,,8.10B,1.844B,6.005B,,6.005B,2.843B,2.843B,76.00M,1.752B,12.44B,20.54B,,340.00M,15.83B,3.417B,,,-1.067B,18.52B,,AOR,Restated
2011-09,827.00M,,827.00M,3.828B,335.00M,4.163B,1.087B,,1.747B,,1.516B,,,973.00M,7.479B,,,,40.43B,-16.26B,24.17B,2.383B,,2.383B,391.00M,,2.322B,597.00M,29.86B,37.34B,,3.486B,818.00M,4.304B,2.258B,6.562B,,,44.00M,,44.00M,,,,6.606B,1.881B,5.548B,,5.548B,3.157B,3.157B,81.00M,1.233B,11.82B,18.42B,,340.00M,15.99B,3.369B,,,-867.00M,18.83B,,AOR,Restated
2011-06,2.194B,,2.194B,4.133B,320.00M,4.453B,946.00M,,1.788B,,1.432B,,,807.00M,8.886B,,,,38.38B,-15.85B,22.53B,2.388B,,2.388B,417.00M,,2.285B,487.00M,28.10B,36.99B,,3.761B,849.00M,4.61B,2.151B,6.761B,,,35.00M,,35.00M,,,,6.796B,1.218B,5.506B,,5.506B,3.369B,3.369B,128.00M,1.198B,11.29B,18.09B,,340.00M,15.72B,3.373B,,,-662.00M,18.78B,,AOR,Restated
2011-03,1.968B,,1.968B,4.917B,240.00M,5.157B,967.00M,,1.829B,,1.552B,,,759.00M,9.436B,,,,37.03B,-15.27B,21.76B,2.394B,,2.394B,446.00M,,2.123B,479.00M,27.20B,36.64B,,4.304B,913.00M,5.217B,2.099B,7.316B,,,35.00M,,35.00M,,,,7.351B,1.228B,5.517B,,5.517B,3.21B,3.21B,168.00M,1.214B,11.17B,18.52B,,340.00M,15.15B,3.331B,,,-873.00M,17.95B,,AOR,Restated
2010-12,1.608B,,1.608B,4.478B,240.00M,4.718B,919.00M,,1.528B,,1.452B,,,1.002B,8.78B,,26.06B,2.347B,35.70B,-14.58B,21.13B,2.408B,,2.408B,443.00M,,2.167B,471.00M,26.62B,35.40B,,4.274B,726.00M,5.00B,2.567B,7.567B,,,46.00M,,46.00M,,,,7.613B,1.203B,5.537B,,5.537B,2.995B,2.995B,120.00M,1.239B,10.97B,18.59B,,338.00M,14.25B,3.256B,,,-1.159B,16.69B,,AOR,Restated
2010-09,2.353B,,2.353B,3.939B,,3.939B,798.00M,,1.71B,,1.682B,,,865.00M,8.839B,,,,33.04B,-13.96B,19.08B,2.045B,,2.045B,775.00M,,2.47B,272.00M,24.65B,33.48B,,4.071B,537.00M,4.608B,1.916B,6.524B,,,43.00M,,43.00M,,,,6.567B,1.336B,5.541B,,5.541B,3.059B,3.059B,98.00M,1.154B,11.09B,17.66B,,328.00M,14.23B,2.55B,,,-1.377B,15.73B,,AOR,Restated
2010-06,1.363B,,1.363B,3.871B,,3.871B,917.00M,,1.561B,,1.628B,,,1.434B,8.296B,,,,29.54B,-13.00B,16.54B,1.218B,,1.218B,590.00M,,2.316B,545.00M,21.20B,29.50B,,3.855B,486.00M,4.341B,1.956B,6.297B,,,33.00M,,33.00M,,,,6.33B,1.043B,4.293B,,4.293B,2.079B,2.079B,165.00M,1.225B,8.64B,14.97B,,328.00M,13.10B,2.535B,,,-1.603B,14.36B,,AOR,Restated
2010-03,1.37B,,1.37B,4.503B,,4.503B,915.00M,,1.352B,,1.405B,,,1.502B,8.78B,,,,29.10B,-12.56B,16.54B,1.218B,,1.218B,597.00M,,2.283B,535.00M,21.17B,29.95B,,4.501B,627.00M,5.128B,2.005B,7.133B,,,32.00M,,32.00M,,,,7.165B,1.015B,4.303B,,4.303B,2.171B,2.171B,172.00M,1.268B,8.757B,15.92B,,328.00M,12.76B,2.515B,,,-1.749B,13.86B,,AOR,Restated
2009-12,1.362B,,1.362B,3.65B,274.00M,3.924B,824.00M,,1.429B,,1.438B,,,1.263B,7.987B,,22.12B,2.285B,29.87B,-13.24B,16.63B,1.225B,,1.225B,913.00M,,2.409B,304.00M,21.48B,29.46B,,4.223B,525.00M,4.748B,1.954B,6.702B,,,148.00M,,148.00M,,,,6.85B,1.234B,4.319B,,4.319B,2.222B,2.222B,144.00M,1.312B,9.087B,15.94B,,327.00M,12.25B,2.481B,,,-1.675B,13.38B,,AOR,Restated
2009-09,957.00M,,957.00M,3.552B,,3.552B,834.00M,,1.299B,,1.424B,,,993.00M,6.926B,,,,29.36B,-12.71B,16.65B,1.225B,,1.225B,975.00M,,2.327B,338.00M,21.51B,28.44B,,4.248B,403.00M,4.651B,1.681B,6.332B,,,136.00M,,136.00M,,,,6.468B,1.22B,4.243B,,4.243B,2.259B,2.259B,133.00M,1.24B,8.962B,15.43B,,327.00M,11.93B,2.448B,,,-1.827B,12.87B,,AOR,Restated
2009-06,1.063B,,1.063B,4.097B,,4.097B,829.00M,,1.193B,,1.358B,,,990.00M,7.508B,,,,28.39B,-11.97B,16.42B,1.225B,,1.225B,1.013B,,2.413B,336.00M,21.41B,28.92B,,5.331B,468.00M,5.799B,1.679B,7.478B,,,135.00M,,135.00M,,,,7.613B,1.249B,4.178B,,4.178B,2.235B,2.235B,119.00M,1.263B,8.925B,16.54B,,327.00M,11.62B,2.415B,,,-2.10B,12.26B,,AOR,Restated
2009-03,1.157B,,1.157B,3.899B,,3.899B,838.00M,,721.00M,,1.102B,,,979.00M,7.137B,,,,27.69B,-11.33B,16.36B,1.225B,,1.225B,1.084B,,2.298B,333.00M,21.30B,28.43B,,5.089B,604.00M,5.693B,1.616B,7.309B,,,135.00M,,135.00M,,,,7.444B,1.158B,4.193B,,4.193B,2.286B,2.286B,111.00M,1.221B,8.858B,16.30B,,327.00M,11.55B,2.381B,,,-2.238B,12.02B,,AOR,Restated
2008-12,908.00M,,908.00M,4.059B,238.00M,4.297B,820.00M,,988.00M,,1.308B,,,819.00M,7.332B,,22.16B,,27.44B,-11.17B,16.27B,1.225B,,1.225B,1.127B,,2.292B,342.00M,21.26B,28.59B,,5.045B,637.00M,5.682B,1.905B,7.587B,,,143.00M,,143.00M,,,,7.73B,1.164B,3.812B,,3.812B,2.241B,2.241B,84.00M,1.251B,8.468B,16.20B,,326.00M,11.64B,2.347B,,,-2.008B,12.31B,,,Restated
2008-09,1.38B,,1.38B,4.652B,,4.652B,519.00M,,2.193B,441.00M,1.817B,,,317.00M,8.166B,,,,28.15B,-11.50B,16.66B,1.225B,,1.225B,,,2.109B,1.422B,21.41B,29.58B,,6.108B,,6.108B,1.716B,7.824B,,,39.00M,,39.00M,,,897.00M,8.76B,,3.893B,,3.893B,2.503B,2.503B,,2.191B,8.587B,17.35B,,326.00M,11.75B,2.074B,,,-1.918B,12.23B,,,Restated
2008-06,1.479B,,1.479B,6.266B,,6.266B,509.00M,,2.03B,415.00M,1.473B,,,474.00M,9.692B,,,,26.97B,-11.21B,15.75B,1.225B,,1.225B,,,2.704B,1.364B,21.05B,30.74B,,7.804B,,7.804B,2.03B,9.834B,,,68.00M,,68.00M,,,1.335B,11.24B,,3.877B,,3.877B,2.463B,2.463B,,2.06B,8.40B,19.64B,,325.00M,11.01B,2.038B,,,-2.268B,11.10B,,,Restated
