,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2015-06,1.953B,1.953B,1.932B,21.00M,,151.00M,151.00M,-385.00M,86.00M,-86.00M,90.00M,241.00M,-220.00M,86.00M,-86.00M,-403.00M,-86.00M,-709.00M,-156.00M,-553.00M,-14.00M,,0.00,,-567.00M,-252.71M,405.00M,1.028B,-623.00M,,-1.94,-0.05,,-0.8838,-1.99,,-1.94,-0.05,,-0.8838,-1.99,,284.30M,284.30M,0.25,,AOR,Restated
2015-03,1.538B,1.538B,1.776B,-238.00M,,147.00M,147.00M,,85.00M,-85.00M,269.00M,416.00M,-654.00M,85.00M,-85.00M,12.00M,-85.00M,-727.00M,-351.00M,-376.00M,-13.00M,,0.00,,-389.00M,-376.00M,314.00M,956.00M,-642.00M,,-1.32,-0.05,,-1.32,-1.37,,-1.32,-0.05,,-1.32,-1.37,,283.50M,283.50M,0.25,,AOR,Restated
2014-12,2.557B,2.557B,1.935B,622.00M,,164.00M,164.00M,3.00M,82.00M,-82.00M,171.00M,335.00M,287.00M,82.00M,-82.00M,-29.00M,-82.00M,176.00M,181.00M,-5.00M,-2.00M,,-1.00M,,-8.00M,-7.95M,1.133B,875.00M,258.00M,,-0.0210,-0.0070,,-0.0277,-0.0280,,-0.0210,-0.01,,-0.0277,-0.03,,289.00M,292.70M,0.25,,AOR,Restated
2014-09,2.678B,2.678B,1.841B,837.00M,,139.00M,139.00M,31.00M,75.00M,-75.00M,90.00M,229.00M,608.00M,75.00M,-75.00M,58.00M,-75.00M,591.00M,232.00M,359.00M,671.00M,,-22.00M,,1.008B,318.17M,1.504B,838.00M,666.00M,,1.19,2.16,,1.127,3.35,,1.18,2.13,,1.118,3.31,,300.70M,305.00M,0.25,,AOR,Restated
2014-06,2.829B,2.829B,1.829B,1.00B,,143.00M,143.00M,779.00M,85.00M,-85.00M,460.00M,603.00M,397.00M,85.00M,-85.00M,754.00M,-85.00M,1.066B,92.00M,974.00M,-44.00M,,1.00M,,931.00M,263.23M,1.936B,785.00M,1.151B,,3.15,-0.14,,0.8517,3.01,,3.10,-0.14,,0.8339,2.96,,309.70M,314.10M,0.25,,AOR,Restated
2014-03,2.673B,2.673B,1.647B,1.026B,,142.00M,142.00M,,81.00M,-81.00M,119.00M,261.00M,765.00M,81.00M,-81.00M,-81.00M,-81.00M,603.00M,239.00M,364.00M,57.00M,,-35.00M,,386.00M,329.00M,1.41B,726.00M,684.00M,,1.14,0.07,,1.14,1.21,,1.13,0.07,,1.13,1.20,,318.10M,322.60M,0.25,,AOR,Restated
2013-12,2.648B,2.648B,1.781B,867.00M,,204.00M,117.00M,91.00M,97.00M,-97.00M,458.00M,575.00M,292.00M,97.00M,-97.00M,96.00M,-97.00M,291.00M,-627.00M,918.00M,997.00M,,10.00M,,1.925B,868.85M,1.101B,713.00M,388.00M,,2.653,3.265,,2.473,5.917,,2.582,3.177,,2.404,5.76,,328.50M,333.70M,0.25,,AOR,Restated
2013-09,2.72B,2.72B,1.615B,1.105B,27.00M,152.00M,179.00M,-5.00M,86.00M,-86.00M,154.00M,333.00M,772.00M,86.00M,-86.00M,-6.00M,-86.00M,680.00M,324.00M,356.00M,62.00M,,2.00M,,420.00M,361.25M,1.447B,681.00M,766.00M,,1.06,0.18,,1.070,1.24,,1.05,0.18,,1.059,1.23,,339.00M,343.30M,0.25,,AOR,Restated
2013-06,3.069B,3.069B,1.642B,1.427B,28.00M,168.00M,196.00M,1.111B,117.00M,-117.00M,200.00M,396.00M,1.031B,117.00M,-117.00M,1.093B,-117.00M,2.007B,407.00M,1.60B,16.00M,,-185.00M,,1.431B,529.30M,2.728B,604.00M,2.124B,,4.16,0.05,,1.556,4.21,,4.11,0.05,,1.535,4.16,,340.10M,344.00M,0.10,,AOR,Restated
2013-03,6.106B,6.106B,4.458B,1.648B,225.00M,158.00M,383.00M,688.00M,106.00M,-106.00M,219.00M,602.00M,1.046B,106.00M,-106.00M,654.00M,-106.00M,1.594B,451.00M,1.143B,130.00M,,3.00M,,1.276B,652.66M,2.389B,689.00M,1.70B,,3.38,0.38,,1.926,3.76,,3.34,0.38,,1.900,3.72,,339.20M,342.60M,0.10,,AOR,Restated
2012-12,2.953B,2.953B,1.792B,1.161B,,166.00M,166.00M,-143.00M,106.00M,-106.00M,362.00M,528.00M,633.00M,106.00M,-106.00M,-109.00M,-106.00M,418.00M,199.00M,219.00M,157.00M,,-2.00M,,374.00M,309.95M,1.254B,730.00M,524.00M,,1.657,0.46,,1.932,1.657,,1.657,0.46,,1.930,1.657,,338.70M,340.30M,0.10,,AOR,Restated
