,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermNotesReceivable,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,112.30M,112.30M,1.269B,,1.269B,127.10M,50.70M,566.90M,668.30M,105.70M,,,2.155B,24.10M,364.50M,924.50M,,1.313B,-833.70M,479.40M,911.00M,240.90M,1.152B,,1.384B,51.70M,49.70M,3.117B,5.272B,,198.50M,,198.50M,464.10M,662.60M,12.10M,115.50M,,,127.60M,,127.60M,,,68.70M,927.00M,945.40M,,945.40M,27.20M,27.20M,152.30M,18.40M,108.50M,1.233B,2.160B,,67.40M,4.019B,352.60M,968.40M,-377.30M,3.093B,,AOR,Restated
2018-03,97.50M,97.50M,1.285B,,1.285B,126.50M,50.70M,577.30M,678.80M,107.10M,,,2.168B,25.30M,371.30M,928.20M,,1.325B,-835.10M,489.70M,941.40M,251.70M,1.193B,,1.362B,52.10M,52.30M,3.149B,5.318B,,188.20M,,188.20M,489.00M,677.20M,13.20M,132.00M,,,145.20M,,145.20M,,,66.80M,951.60M,946.30M,,946.30M,31.70M,31.70M,181.80M,18.40M,103.90M,1.264B,2.215B,,67.40M,3.887B,343.90M,928.70M,-285.40M,3.084B,,AOR,Restated
2017-12,92.00M,92.00M,1.278B,,1.278B,122.70M,49.30M,541.90M,638.80M,110.70M,,,2.119B,24.50M,357.40M,889.20M,,1.271B,-786.70M,484.40M,924.10M,253.70M,1.178B,,1.362B,52.00M,53.80M,3.130B,5.249B,,178.20M,87.00M,265.20M,318.00M,583.20M,32.20M,151.00M,,250.00M,433.20M,,433.20M,38.90M,38.90M,66.50M,1.193B,753.60M,,753.60M,28.40M,28.40M,194.90M,18.40M,106.60M,1.084B,2.277B,,67.40M,3.772B,343.20M,900.00M,-329.00M,2.954B,,AOR,Restated
2017-09,94.10M,94.10M,1.281B,,1.281B,118.20M,49.50M,556.60M,649.90M,121.10M,,,2.146B,24.40M,350.30M,872.80M,,1.248B,-773.30M,474.20M,924.00M,258.30M,1.182B,,1.329B,81.20M,43.60M,3.110B,5.256B,,204.70M,,204.70M,413.80M,618.50M,33.40M,170.00M,,250.00M,453.40M,,453.40M,,,76.10M,1.223B,755.00M,,755.00M,28.50M,28.50M,216.10M,18.20M,93.80M,1.093B,2.316B,,67.40M,3.690B,344.40M,837.70M,-341.80M,2.922B,,AOR,Restated
2017-06,89.00M,89.00M,1.224B,,1.224B,108.00M,46.40M,521.00M,601.40M,119.50M,,,2.034B,23.90M,342.90M,850.10M,,1.217B,-753.50M,463.40M,899.20M,256.30M,1.156B,,1.298B,71.80M,44.30M,3.033B,5.067B,,202.30M,,202.30M,386.10M,588.40M,16.70M,83.50M,,250.00M,350.20M,,350.20M,,,65.70M,1.074B,755.60M,,755.60M,21.90M,21.90M,249.00M,18.10M,93.80M,1.120B,2.194B,,67.40M,3.597B,337.10M,749.60M,-397.00M,2.855B,,AOR,Restated
2017-03,123.00M,123.00M,1.177B,,1.177B,96.90M,45.00M,488.60M,556.80M,117.00M,,,1.974B,20.90M,323.50M,826.20M,,1.171B,-733.10M,437.50M,859.80M,240.40M,1.100B,,1.259B,68.00M,39.10M,2.904B,4.878B,,189.90M,,189.90M,386.80M,576.70M,17.20M,0.00,,250.00M,267.20M,,267.20M,,,66.10M,971.50M,755.40M,,755.40M,24.40M,24.40M,266.60M,18.10M,94.10M,1.140B,2.112B,,67.40M,3.485B,320.80M,675.30M,-450.40M,2.748B,,AOR,Restated
2016-12,77.60M,77.60M,1.159B,,1.159B,93.60M,42.70M,467.40M,530.50M,116.50M,,,1.884B,19.10M,309.40M,809.60M,,1.138B,-712.90M,425.20M,895.50M,184.60M,1.080B,,1.221B,72.80M,39.90M,2.839B,4.723B,,170.90M,57.50M,228.40M,260.20M,488.60M,21.40M,130.00M,,150.00M,301.40M,,301.40M,43.00M,43.00M,66.70M,989.50M,708.80M,,708.80M,13.10M,13.10M,283.20M,18.00M,93.40M,1.098B,2.088B,,67.40M,3.385B,317.30M,653.90M,-498.50M,2.617B,,AOR,Restated
2016-09,117.50M,117.50M,1.156B,,1.156B,96.10M,42.30M,458.50M,523.60M,111.40M,,,1.909B,19.30M,308.80M,807.30M,,1.135B,-716.20M,419.20M,788.30M,185.50M,973.80M,,1.184B,66.00M,48.60M,2.691B,4.600B,,172.60M,,172.60M,359.60M,532.20M,,,,,182.60M,,182.60M,,,78.70M,878.60M,713.40M,,713.40M,13.40M,13.40M,215.00M,18.00M,91.10M,1.033B,1.912B,,67.40M,3.28B,319.10M,623.00M,-372.90M,2.671B,,AOR,Restated
2016-06,119.90M,119.90M,1.106B,,1.106B,94.90M,42.80M,442.70M,507.10M,119.60M,,,1.852B,19.40M,304.80M,802.40M,,1.127B,-708.10M,418.50M,788.20M,189.20M,977.40M,,1.145B,61.60M,50.40M,2.653B,4.505B,,169.10M,,169.10M,366.80M,535.90M,,,,,174.40M,,174.40M,,,68.90M,853.10M,715.20M,,715.20M,13.50M,13.50M,229.30M,18.00M,92.40M,1.050B,1.904B,,67.40M,3.184B,311.10M,609.00M,-369.80M,2.584B,,AOR,Restated
2016-03,106.30M,106.30M,1.101B,,1.101B,92.00M,43.50M,449.40M,511.60M,122.90M,,,1.842B,19.90M,303.00M,796.40M,,1.119B,-701.90M,417.40M,797.10M,192.90M,990.00M,,1.089B,49.60M,48.80M,2.595B,4.436B,,161.70M,,161.70M,374.80M,536.50M,,,,,170.80M,,170.80M,,,65.90M,837.20M,714.60M,,714.60M,14.50M,14.50M,243.90M,18.00M,91.10M,1.064B,1.901B,,67.40M,3.080B,294.20M,584.00M,-340.10M,2.517B,,AOR,Restated
2015-12,92.80M,92.80M,1.092B,,1.092B,90.30M,42.90M,437.90M,497.80M,106.30M,,,1.789B,19.70M,297.90M,780.30M,,1.098B,-684.40M,413.50M,790.10M,195.00M,985.10M,,1.039B,60.40M,44.00M,2.542B,4.331B,,148.30M,68.20M,216.50M,239.20M,455.70M,18.40M,0.00,,,18.40M,,18.40M,40.70M,40.70M,64.40M,670.20M,861.70M,,861.70M,14.30M,14.30M,265.70M,18.00M,88.50M,1.230B,1.900B,,67.40M,2.987B,296.30M,573.70M,-364.20M,2.413B,,AOR,Restated
2015-09,119.20M,119.20M,1.088B,,1.088B,94.90M,44.00M,462.00M,527.70M,116.10M,102.20M,,1.953B,20.00M,296.60M,776.10M,,1.093B,-679.50M,413.20M,798.70M,195.40M,994.10M,,995.20M,88.80M,47.20M,2.538B,4.491B,,178.10M,,178.10M,374.50M,552.60M,,,,73.60M,73.60M,,73.60M,,,72.10M,785.50M,864.10M,,864.10M,161.00M,161.00M,215.10M,17.80M,86.90M,1.327B,2.113B,,67.40M,2.891B,293.70M,569.10M,-322.20M,2.361B,,AOR,Restated
2015-06,124.60M,124.60M,1.049B,,1.049B,88.90M,45.70M,437.60M,499.20M,128.60M,96.70M,,1.898B,20.00M,294.50M,766.10M,,1.081B,-669.40M,411.20M,787.80M,198.00M,985.80M,,961.70M,88.20M,45.90M,2.493B,4.391B,,166.10M,,166.10M,367.70M,533.80M,,,,61.00M,61.00M,,61.00M,,,68.40M,739.80M,861.40M,,861.40M,160.40M,160.40M,224.90M,17.70M,88.00M,1.335B,2.074B,,67.40M,2.806B,285.50M,557.90M,-302.00M,2.298B,,AOR,Restated
2015-03,114.40M,114.40M,1.027B,,1.027B,85.70M,44.90M,424.60M,482.30M,127.30M,92.10M,,1.843B,17.10M,286.10M,745.00M,,1.048B,-652.00M,396.20M,778.30M,198.80M,977.10M,,911.90M,87.80M,46.10M,2.419B,4.262B,,162.00M,,162.00M,346.90M,508.90M,,,,78.80M,78.80M,,78.80M,,,66.90M,726.50M,864.40M,,864.40M,158.70M,158.70M,237.70M,17.70M,86.80M,1.348B,2.074B,,67.40M,2.717B,261.50M,535.70M,-339.20M,2.171B,,AOR,Restated
2014-12,132.90M,132.90M,1.028B,,1.028B,87.50M,45.30M,415.30M,475.50M,121.50M,101.00M,,1.859B,18.30M,294.00M,750.80M,,1.063B,-658.60M,404.50M,810.70M,203.30M,1.014B,,892.50M,93.20M,47.30M,2.452B,4.310B,,145.00M,57.00M,202.00M,261.00M,463.00M,,,,56.60M,56.60M,,56.60M,34.10M,34.10M,65.80M,718.70M,862.70M,,862.70M,159.20M,159.20M,260.40M,17.50M,83.80M,1.366B,2.085B,,67.40M,2.637B,254.70M,503.30M,-248.20M,2.208B,,AOR,Restated
2014-09,124.70M,124.70M,1.058B,,1.058B,89.10M,47.50M,420.60M,484.60M,96.90M,96.10M,,1.860B,18.90M,291.70M,754.00M,,1.065B,-660.50M,404.10M,828.50M,207.10M,1.036B,,866.80M,48.10M,53.70M,2.408B,4.268B,,167.60M,,167.60M,344.40M,512.00M,,,,,58.70M,,58.70M,,,71.10M,733.90M,860.50M,,860.50M,148.20M,148.20M,147.10M,17.50M,84.30M,1.240B,1.974B,,67.40M,2.552B,252.10M,496.70M,-97.90M,2.277B,,AOR,Restated
2014-06,115.80M,115.80M,1.032B,,1.032B,86.30M,47.80M,406.00M,467.50M,104.50M,88.50M,,1.809B,19.60M,293.70M,751.10M,,1.064B,-662.60M,401.80M,870.50M,188.60M,1.059B,,844.90M,56.50M,57.20M,2.420B,4.228B,,171.90M,,171.90M,334.60M,506.50M,,,,,46.30M,,46.30M,,,60.50M,696.70M,861.50M,,861.50M,147.10M,147.10M,162.30M,17.40M,87.90M,1.259B,1.956B,,67.40M,2.474B,243.70M,493.50M,-36.50M,2.255B,,AOR,Restated
2014-03,127.80M,127.80M,1.008B,,1.008B,86.20M,48.00M,391.00M,452.60M,99.00M,82.00M,,1.770B,19.70M,294.00M,738.60M,,1.052B,-658.00M,394.30M,841.80M,189.60M,1.031B,,798.70M,53.40M,56.60M,2.334B,4.104B,,160.10M,,160.10M,326.90M,487.00M,,,,,16.40M,,16.40M,,,59.00M,632.90M,859.90M,,859.90M,145.30M,145.30M,176.00M,17.00M,86.30M,1.268B,1.900B,,67.40M,2.394B,227.10M,465.00M,-36.90M,2.187B,,AOR,Restated
2013-12,217.60M,217.60M,974.60M,,974.60M,87.30M,45.00M,374.70M,434.40M,84.20M,85.40M,,1.796B,19.60M,292.00M,725.40M,,1.037B,-644.50M,392.50M,838.80M,190.50M,1.029B,,777.70M,57.10M,57.20M,2.314B,4.11B,,155.60M,39.00M,194.60M,226.20M,420.80M,,,,,113.10M,,113.10M,26.60M,26.60M,59.40M,715.40M,858.90M,,858.90M,143.80M,143.80M,177.50M,17.20M,84.00M,1.264B,1.980B,,67.40M,2.324B,225.10M,458.60M,-44.80M,2.113B,,AOR,Restated
2013-09,182.50M,182.50M,962.40M,,962.40M,89.20M,43.10M,380.20M,440.30M,109.10M,88.80M,,1.783B,19.50M,290.90M,714.00M,,1.024B,-640.00M,384.40M,837.40M,192.50M,1.030B,,752.20M,95.00M,56.40M,2.318B,4.101B,,161.80M,,161.80M,297.60M,459.40M,,,,,117.70M,,117.70M,,,64.40M,725.70M,861.10M,,861.10M,137.90M,137.90M,284.60M,16.90M,85.60M,1.369B,2.095B,,67.40M,2.255B,226.60M,449.10M,-111.10M,1.989B,,AOR,Restated
2013-06,174.70M,174.70M,911.40M,,911.40M,85.20M,41.70M,363.30M,418.10M,105.00M,77.00M,,1.686B,19.10M,283.80M,699.80M,,1.003B,-627.60M,375.10M,823.90M,192.20M,1.016B,,723.80M,104.40M,55.90M,2.275B,3.962B,,157.60M,,157.60M,295.50M,453.10M,,,,,114.90M,,114.90M,,,54.80M,696.10M,861.40M,,861.40M,138.50M,138.50M,285.70M,17.10M,83.90M,1.370B,2.066B,,67.40M,2.193B,219.60M,445.50M,-155.90M,1.879B,,AOR,Restated
2013-03,213.60M,213.60M,888.10M,,888.10M,80.50M,40.30M,352.30M,401.30M,99.70M,73.10M,,1.676B,19.00M,283.10M,691.10M,,993.20M,-620.90M,372.30M,800.30M,185.50M,985.80M,,704.20M,107.20M,57.90M,2.227B,3.903B,,148.70M,,148.70M,295.90M,444.60M,,,,,111.40M,,111.40M,,,51.50M,669.70M,868.00M,,868.00M,133.80M,133.80M,300.10M,16.90M,85.20M,1.387B,2.057B,,67.40M,2.127B,203.10M,421.80M,-146.50M,1.830B,,AOR,Restated
2012-12,214.50M,214.50M,883.70M,,883.70M,83.80M,38.60M,353.60M,404.20M,84.80M,81.80M,,1.669B,19.40M,286.20M,684.60M,,990.20M,-615.00M,375.20M,807.40M,187.20M,994.60M,,689.00M,110.40M,64.10M,2.233B,3.902B,,142.50M,52.50M,195.00M,221.20M,416.20M,,,,,5.20M,,5.20M,24.80M,24.80M,54.70M,589.20M,970.40M,,970.40M,127.10M,127.10M,309.10M,16.90M,87.50M,1.494B,2.083B,,67.40M,2.067B,204.60M,412.70M,-124.20M,1.802B,,AOR,Restated
2012-09,176.10M,176.10M,872.00M,,853.70M,87.50M,40.00M,361.50M,417.50M,85.30M,91.30M,,1.624B,19.80M,280.30M,678.10M,,978.20M,-604.90M,373.30M,799.90M,187.50M,987.40M,481.90M,192.40M,120.50M,92.50M,2.248B,3.872B,,146.90M,,146.90M,314.30M,461.20M,18.70M,,,,18.70M,,18.70M,,,57.90M,621.60M,971.20M,,971.20M,119.40M,119.40M,304.80M,16.60M,98.60M,1.494B,2.116B,,67.40M,2.005B,205.00M,406.50M,-131.00M,1.740B,,AOR,Restated
2012-06,173.60M,173.60M,831.90M,,810.90M,81.60M,38.60M,352.20M,401.40M,82.40M,86.50M,,1.555B,19.30M,274.20M,658.30M,,951.80M,-590.20M,361.60M,786.20M,186.00M,972.20M,463.70M,178.40M,123.30M,87.70M,2.187B,3.742B,,141.40M,,141.40M,317.30M,458.70M,14.20M,,,,14.20M,,14.20M,,,49.10M,596.10M,970.20M,,970.20M,112.00M,112.00M,320.70M,16.50M,92.80M,1.496B,2.092B,,67.30M,1.951B,196.90M,400.90M,-180.80M,1.633B,,AOR,Restated
2012-03,161.60M,161.60M,463.10M,339.90M,803.00M,82.50M,37.70M,346.20M,395.80M,90.30M,83.90M,,1.535B,20.10M,276.90M,654.10M,,951.10M,-590.40M,360.70M,804.90M,188.40M,993.30M,445.20M,171.50M,122.70M,81.90M,2.175B,3.710B,,139.00M,,139.00M,299.50M,438.50M,14.00M,,,,14.00M,,14.00M,,,48.40M,565.90M,965.50M,,965.50M,110.60M,110.60M,357.80M,16.50M,90.20M,1.524B,2.09B,,67.30M,1.895B,188.50M,400.90M,-146.10M,1.603B,,AOR,Restated
2011-12,185.60M,185.60M,790.40M,,790.40M,80.50M,32.20M,343.80M,386.40M,75.70M,92.60M,,1.531B,19.80M,274.90M,632.30M,,927.00M,-574.10M,352.90M,795.80M,188.30M,984.10M,,596.90M,125.20M,83.10M,2.142B,3.673B,,124.60M,42.10M,166.70M,237.70M,404.40M,,,,16.20M,16.20M,,16.20M,24.90M,24.90M,47.30M,583.80M,967.90M,,967.90M,108.10M,108.10M,370.50M,16.40M,95.30M,1.542B,2.126B,,67.30M,1.844B,181.40M,386.90M,-174.60M,1.531B,,AOR,Restated
2011-09,185.70M,185.70M,474.70M,312.40M,762.00M,83.00M,34.90M,351.90M,399.70M,81.10M,94.80M,,1.523B,20.70M,275.30M,629.90M,,925.90M,-572.60M,353.30M,808.20M,189.80M,998.00M,,572.00M,96.20M,87.30M,2.107B,3.630B,,132.00M,,132.00M,376.60M,508.60M,13.90M,,,,13.90M,,13.90M,,,46.90M,569.40M,968.00M,,968.00M,97.60M,97.60M,331.90M,16.30M,89.00M,1.486B,2.056B,,67.30M,1.790B,195.60M,407.60M,-87.00M,1.558B,,AOR,Restated
2011-06,418.20M,418.20M,452.20M,296.30M,748.50M,82.20M,32.90M,347.20M,392.20M,86.20M,90.80M,,1.736B,21.60M,273.90M,634.70M,,930.20M,-573.00M,357.20M,827.20M,193.00M,1.020B,398.10M,143.10M,94.60M,77.40M,2.091B,3.826B,,139.00M,,139.00M,295.50M,434.50M,215.00M,,,,215.00M,,215.00M,,,41.50M,771.00M,955.50M,,955.50M,97.90M,97.90M,326.20M,16.30M,93.00M,1.473B,2.244B,,67.30M,1.741B,190.60M,406.00M,-26.10M,1.567B,,AOR,Restated
2011-03,517.30M,517.30M,457.60M,275.20M,732.80M,77.30M,30.70M,330.00M,368.60M,101.10M,83.50M,,1.803B,21.40M,268.80M,643.10M,,933.30M,-580.70M,352.60M,822.80M,194.00M,1.017B,370.70M,131.60M,91.70M,73.30M,2.037B,3.84B,,141.50M,,141.50M,409.70M,551.20M,217.50M,,,,217.50M,,217.50M,,,39.50M,874.90M,953.00M,,953.00M,96.60M,96.60M,317.80M,15.90M,92.10M,1.460B,2.334B,,67.30M,1.681B,174.50M,393.10M,-40.40M,1.490B,,AOR,Restated
2010-12,572.20M,572.20M,443.30M,260.90M,704.20M,64.10M,25.00M,308.70M,329.40M,72.70M,87.00M,,1.766B,20.50M,261.90M,620.90M,,903.30M,-559.30M,344.00M,798.40M,192.80M,991.20M,,465.00M,91.50M,72.20M,1.964B,3.729B,,253.90M,12.50M,266.40M,339.70M,606.10M,216.00M,,,,216.00M,,216.00M,18.60M,18.60M,40.40M,881.10M,954.80M,,954.80M,94.40M,94.40M,305.70M,15.90M,89.00M,1.444B,2.325B,,67.30M,1.644B,169.20M,387.30M,-104.80M,1.388B,,AOR,Restated
2010-09,359.90M,359.90M,435.00M,240.90M,675.90M,63.00M,27.00M,303.30M,324.80M,92.50M,78.80M,,1.532B,20.80M,268.50M,620.10M,,909.40M,-580.10M,329.30M,808.70M,197.00M,1.006B,318.10M,102.90M,92.00M,77.90M,1.926B,3.458B,,127.80M,,127.80M,461.70M,589.50M,218.30M,,,,218.30M,,218.30M,,,39.60M,847.40M,712.30M,,712.30M,85.70M,85.70M,332.70M,15.60M,82.80M,1.214B,2.061B,,67.30M,1.605B,166.50M,385.70M,-71.70M,1.381B,,AOR,Restated
2010-06,430.80M,430.80M,407.50M,204.70M,612.20M,60.60M,25.50M,278.80M,296.50M,72.40M,74.20M,,1.486B,21.10M,254.60M,593.30M,,869.00M,-544.80M,324.20M,773.10M,195.00M,968.10M,278.60M,91.20M,92.10M,73.00M,1.827B,3.313B,,128.50M,,128.50M,404.20M,532.70M,13.60M,,,,13.60M,,13.60M,,,35.40M,646.40M,909.80M,,909.80M,87.90M,87.90M,262.30M,15.60M,142.60M,1.403B,2.049B,,67.30M,1.576B,163.60M,387.70M,-170.50M,1.249B,,AOR,Restated
2010-03,472.30M,472.30M,422.80M,187.00M,609.80M,62.30M,25.80M,271.30M,291.00M,67.10M,66.80M,,1.507B,22.10M,257.30M,609.50M,,888.90M,-551.60M,337.30M,796.50M,201.90M,998.40M,229.80M,79.10M,91.10M,63.50M,1.799B,3.306B,,123.80M,,123.80M,391.40M,515.20M,15.60M,,,,15.60M,,15.60M,,,36.60M,617.70M,900.60M,,900.60M,93.00M,93.00M,260.20M,15.60M,147.30M,1.401B,2.019B,,67.30M,1.548B,156.90M,390.00M,-110.70M,1.272B,,AOR,Restated
