,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-03,1.742B,1.742B,519.90M,1.222B,,204.90M,,0.00,199.90M,18.40M,-181.50M,167.80M,819.00M,402.90M,18.40M,199.90M,-181.50M,27.80M,-181.50M,249.20M,-31.10M,280.30M,,,4.90M,9.40M,285.20M,285.20M,895.40M,446.30M,449.10M,0.63,,,,0.63,0.63,0.63,,,,0.63,0.63,435.12M,438.52M,0.75
2017-12,1.704B,1.704B,526.90M,1.178B,,171.10M,,-0.30M,198.30M,19.60M,-178.70M,211.40M,848.60M,329.00M,19.60M,198.30M,-178.70M,-8.90M,-178.70M,141.40M,-53.40M,194.80M,,,43.70M,18.90M,238.50M,238.68M,805.80M,466.10M,339.70M,0.51,,,,0.5104,0.51,0.51,,,,0.5104,0.51,428.84M,432.80M,0.7
2017-09,1.681B,1.681B,519.80M,1.161B,,148.00M,,-14.20M,186.10M,8.40M,-177.70M,19.50M,599.80M,561.10M,8.40M,186.10M,-177.70M,-15.30M,-177.70M,368.10M,33.40M,334.70M,,,-17.40M,18.90M,317.30M,330.21M,986.50M,432.30M,554.20M,0.7,,,,0.7301,0.7,0.69,,,,0.7198,0.69,429.28M,432.83M,0.66
2017-06,1.662B,1.662B,517.20M,1.145B,,153.10M,,-0.30M,184.20M,8.30M,-175.90M,18.90M,568.40M,576.90M,8.30M,184.20M,-175.90M,11.40M,-175.90M,412.40M,23.90M,388.50M,,,-21.50M,22.80M,367.00M,367.28M,993.00M,396.40M,596.60M,0.81,,,,0.8107,0.81,0.8,,,,0.8007,0.8,427.30M,430.49M,0.64
2017-03,1.616B,1.616B,492.70M,1.124B,,164.80M,,-55.40M,181.00M,9.90M,-171.10M,6.20M,592.10M,531.40M,9.90M,181.00M,-171.10M,-26.10M,-171.10M,334.20M,26.80M,307.40M,,,8.70M,26.80M,316.10M,367.07M,936.30M,421.10M,515.20M,0.68,,,,0.7993,0.68,0.67,,,,0.7885,0.67,427.28M,430.20M,0.62
2016-12,1.540B,1.540B,488.01M,1.052B,138.31M,138.31M,,0.37M,186.38M,12.27M,-174.11M,35.79M,562.31M,489.27M,12.27M,186.38M,-174.11M,-21.44M,-174.11M,293.72M,60.83M,232.89M,,,-3.712M,26.76M,229.18M,228.89M,868.30M,388.20M,480.10M,0.48,,,,0.4793,0.48,0.47,,,,0.4693,0.47,426.08M,430.08M,0.58
2016-09,1.515B,1.515B,491.24M,1.024B,131.54M,131.54M,,0.00,190.44M,9.397M,-181.04M,15.00M,544.53M,479.07M,9.397M,190.44M,-181.04M,-12.26M,-181.04M,285.77M,22.04M,263.74M,,,0.774M,26.78M,264.51M,264.51M,874.21M,398.00M,476.21M,0.56,,,,0.56,0.56,0.55,,,,0.55,0.55,425.52M,429.92M,0.55
2016-06,1.442B,1.442B,459.71M,982.52M,138.23M,138.23M,,0.83M,181.32M,9.50M,-171.82M,13.71M,549.71M,432.81M,9.50M,181.32M,-171.82M,-25.01M,-171.82M,235.97M,43.51M,192.46M,,,-4.914M,26.78M,187.55M,186.87M,815.06M,397.76M,417.29M,0.38,,,,0.3784,0.38,0.37,,,,0.3684,0.37,424.91M,429.00M,0.53
2016-03,1.289B,1.289B,351.44M,937.60M,135.32M,135.32M,,0.00,160.16M,6.533M,-153.63M,8.80M,485.75M,451.85M,6.533M,160.16M,-153.63M,12.21M,-153.63M,310.43M,29.12M,281.31M,,,-6.148M,26.78M,275.16M,275.16M,812.23M,341.63M,470.59M,0.59,,,,0.59,0.59,0.58,,,,0.58,0.58,424.06M,427.89M,0.51
2015-12,1.280B,1.280B,356.31M,923.71M,143.34M,143.34M,,-0.807M,149.69M,7.598M,-142.09M,25.91M,521.58M,402.14M,7.598M,149.69M,-142.09M,-12.52M,-142.09M,247.52M,25.94M,221.59M,,,11.14M,26.82M,232.73M,233.45M,749.54M,352.33M,397.22M,0.49,,,,0.4917,0.49,0.48,,,,0.4817,0.48,423.79M,428.00M,0.49
2015-09,1.238B,1.238B,365.39M,872.52M,114.83M,114.83M,,,149.83M,7.536M,-142.29M,15.67M,471.60M,400.92M,7.536M,149.83M,-142.29M,-66.66M,-142.29M,191.98M,94.24M,97.74M,,,5.259M,26.78M,103.00M,103.00M,682.90M,341.10M,341.80M,0.18,,,,0.18,0.18,0.18,,,,0.18,0.18,423.38M,427.23M,0.46
2015-06,1.174B,1.174B,322.46M,851.92M,116.34M,116.34M,,-75.07M,148.88M,7.436M,-141.44M,17.45M,462.14M,389.77M,7.436M,148.88M,-141.44M,-77.20M,-141.44M,171.14M,13.96M,157.18M,,,-1.124M,26.78M,156.06M,224.97M,648.37M,328.36M,320.01M,0.31,,,,0.4729,0.31,0.3,,,,0.4614,0.3,423.15M,426.93M,0.44
2015-03,1.079B,1.079B,264.64M,814.55M,123.29M,123.29M,,-3.725M,148.30M,5.93M,-142.37M,7.774M,394.58M,419.97M,5.93M,148.30M,-142.37M,-58.23M,-142.37M,219.36M,23.87M,195.49M,,,-2.175M,9.819M,193.32M,196.64M,631.19M,263.52M,367.67M,0.45,,,,0.4582,0.45,0.45,,,,0.4581,0.45,405.11M,409.40M,0.42
2014-12,1.046B,1.046B,277.02M,769.30M,129.10M,129.10M,,-4.92M,147.85M,8.852M,-139.00M,30.66M,423.32M,345.98M,8.852M,147.85M,-139.00M,-12.76M,-139.00M,194.22M,12.63M,181.60M,,,-1.21M,11.81M,180.39M,184.99M,605.62M,263.55M,342.08M,0.43,,,,0.4416,0.43,0.42,,,,0.4315,0.42,396.56M,400.93M,0.38
2014-09,1.038B,1.038B,284.20M,753.99M,108.91M,108.91M,,2.969M,143.58M,6.882M,-136.70M,11.20M,369.18M,384.81M,6.882M,143.58M,-136.70M,-31.05M,-136.70M,217.06M,10.43M,206.63M,,,0.963M,7.70M,207.59M,204.77M,609.70M,249.07M,360.64M,0.5,,,,0.4929,0.5,0.5,,,,0.4929,0.5,396.24M,400.40M,0.36
2014-06,1.031B,1.031B,272.28M,759.18M,98.50M,98.50M,,-1.284M,146.60M,5.313M,-141.29M,12.76M,356.68M,402.50M,5.313M,146.60M,-141.29M,-17.75M,-141.29M,243.46M,21.80M,221.66M,,,12.77M,4.375M,234.43M,235.60M,635.49M,245.43M,390.06M,0.58,,,,0.583,0.58,0.58,,,,0.5829,0.58,395.87M,399.59M,0.34
2014-03,984.09M,984.09M,260.77M,723.32M,110.03M,110.03M,,-0.238M,143.68M,4.984M,-138.69M,13.89M,369.68M,353.64M,4.984M,143.68M,-138.69M,-3.981M,-138.69M,210.96M,17.65M,193.31M,,,9.186M,,202.50M,202.72M,600.40M,245.76M,354.64M,0.51,,,,0.5106,0.51,0.51,,,,0.5105,0.51,395.15M,399.12M,0.32
2013-12,941.97M,941.97M,251.57M,690.40M,116.81M,116.81M,,-0.734M,139.75M,16.17M,-123.58M,35.85M,397.47M,292.93M,16.17M,139.75M,-123.58M,-59.24M,-123.58M,110.10M,36.18M,73.92M,,,26.06M,,99.98M,100.47M,494.67M,244.81M,249.86M,0.25,,,,0.2512,0.25,0.25,,,,0.2512,0.25,394.75M,398.76M,0.29
2013-09,807.88M,807.88M,200.83M,607.05M,97.78M,97.78M,,0.00,106.71M,6.257M,-100.45M,15.47M,298.17M,308.88M,6.257M,106.71M,-100.45M,-29.62M,-100.45M,178.81M,15.59M,163.22M,,,16.90M,,180.12M,180.12M,470.44M,184.92M,285.51M,0.46,,,,0.46,0.46,0.45,,,,0.45,0.45,394.76M,398.35M,0.28
2013-06,808.83M,808.83M,205.71M,603.12M,99.80M,99.80M,,-2.669M,101.19M,5.369M,-95.82M,5.898M,290.31M,312.81M,5.369M,101.19M,-95.82M,-144.33M,-95.82M,72.67M,-11.45M,84.11M,,,15.71M,,99.82M,102.07M,358.46M,184.61M,173.85M,0.25,,,,0.2557,0.25,0.25,,,,0.2556,0.25,395.42M,399.46M,0.27
2013-03,802.73M,802.73M,201.77M,600.96M,101.15M,101.15M,,-35.30M,108.22M,1.714M,-106.51M,14.32M,301.28M,299.69M,1.714M,108.22M,-106.51M,-13.01M,-106.51M,180.17M,19.22M,160.95M,,,10.46M,,171.41M,202.93M,474.20M,185.80M,288.39M,0.43,,,,0.5098,0.43,0.43,,,,0.5089,0.43,395.24M,399.66M,0.26
2012-12,768.37M,768.37M,194.21M,574.17M,89.41M,89.41M,,0.00,116.24M,17.17M,-99.07M,27.04M,294.93M,279.24M,17.17M,116.24M,-99.07M,-18.83M,-99.07M,161.33M,43.19M,118.15M,,,17.53M,,135.68M,135.68M,456.06M,178.49M,277.57M,0.34,,,,0.34,0.34,0.34,,,,0.34,0.34,395.21M,399.90M,0.24
2012-09,713.34M,713.34M,184.90M,528.43M,81.46M,81.46M,,0.00,98.69M,1.717M,-96.97M,7.359M,232.88M,295.55M,1.717M,98.69M,-96.97M,46.29M,-96.97M,244.88M,13.05M,231.82M,,,0.264M,,232.09M,232.09M,487.62M,144.06M,343.56M,0.59,,,,0.59,0.59,0.58,,,,0.58,0.58,395.24M,399.49M,0.23
2012-06,697.73M,697.73M,172.38M,525.35M,76.85M,76.85M,,0.00,96.65M,2.283M,-94.36M,5.944M,254.86M,270.49M,2.283M,96.65M,-94.36M,-118.62M,-94.36M,57.50M,23.82M,33.69M,,,14.52M,,48.21M,48.21M,326.22M,172.07M,154.15M,0.12,,,,0.12,0.12,0.12,,,,0.12,0.12,394.74M,398.81M,0.43
2012-03,696.52M,696.52M,170.98M,525.53M,79.58M,79.58M,,-0.398M,91.57M,2.253M,-89.32M,21.85M,251.09M,274.45M,2.253M,91.57M,-89.32M,52.46M,-89.32M,237.59M,27.25M,210.36M,,,10.95M,,221.31M,221.66M,478.82M,149.66M,329.16M,0.56,,,,0.5609,0.56,0.56,,,,0.5609,0.56,393.88M,398.45M,
2011-12,653.20M,653.20M,165.62M,487.58M,,73.90M,,-29.43M,86.14M,5.184M,-80.95M,22.33M,239.84M,247.74M,5.184M,86.14M,-80.95M,-7.265M,-80.95M,159.52M,-36.90M,196.43M,,,8.676M,,205.11M,224.24M,389.27M,143.62M,245.66M,0.52,,,,0.5686,0.52,0.51,,,,0.5579,0.51,393.32M,399.38M,
2011-09,630.40M,630.40M,168.93M,461.47M,,76.48M,,-49.37M,78.98M,6.506M,-72.48M,14.58M,233.16M,228.30M,6.506M,78.98M,-72.48M,-150.88M,-72.48M,4.953M,24.68M,-19.73M,,,4.025M,,-15.70M,82.37M,226.05M,142.11M,83.94M,-0.04,0.0,,,0.2082,-0.04,-0.04,0.0,,,0.2082,-0.04,395.18M,395.18M,
2011-06,597.24M,597.24M,151.08M,446.16M,,72.32M,,21.46M,74.51M,6.301M,-68.21M,9.49M,220.37M,225.79M,6.301M,74.51M,-68.21M,21.46M,-68.21M,179.04M,65.88M,113.17M,,,2.04M,,115.21M,101.65M,392.11M,138.56M,253.55M,0.29,0.0,,,0.2558,0.29,0.29,0.0,,,0.2561,0.29,396.60M,400.25M,
2011-03,562.70M,562.70M,135.33M,427.37M,,66.13M,,13.71M,74.43M,5.803M,-68.62M,11.70M,209.07M,218.30M,5.803M,74.43M,-68.62M,13.71M,-68.62M,163.38M,71.42M,91.96M,,,-0.119M,,91.84M,82.93M,369.04M,131.23M,237.81M,0.23,0.0,,,0.2076,0.23,0.23,0.0,,,0.2078,0.23,397.77M,401.90M,
2010-12,547.64M,547.64M,153.00M,394.64M,,65.36M,,-3.764M,69.74M,7.275M,-62.46M,21.79M,191.20M,203.44M,7.275M,69.74M,-62.46M,-3.449M,-62.46M,136.79M,53.10M,83.70M,0.00,,-0.189M,,83.51M,85.82M,330.63M,124.10M,206.52M,0.21,0.0,,,0.2158,0.21,0.21,0.0,,,0.2157,0.21,398.95M,401.13M,
2010-09,513.32M,513.32M,115.39M,397.93M,,57.30M,7.583M,8.236M,64.02M,4.424M,-59.60M,4.299M,184.56M,213.37M,4.424M,64.02M,-59.60M,8.236M,-59.60M,164.24M,70.65M,93.60M,0.001M,,-0.162M,,93.44M,88.08M,343.64M,115.38M,228.26M,0.23,0.0,,,0.2166,0.23,0.23,0.0,,,0.2167,0.23,400.60M,403.46M,
2010-06,469.94M,469.94M,112.20M,357.74M,,53.58M,,-6.754M,56.07M,4.279M,-51.80M,5.037M,169.02M,188.72M,4.279M,56.07M,-51.80M,-6.754M,-51.80M,130.17M,30.35M,99.82M,-0.006M,,-0.154M,,99.66M,104.85M,296.64M,110.40M,186.24M,0.25,0.0,,,0.2629,0.25,0.25,0.0,,,0.2628,0.25,402.73M,405.02M,
2010-03,454.43M,454.43M,106.47M,347.96M,,53.53M,,0.396M,58.42M,4.001M,-54.42M,4.754M,169.12M,178.85M,4.001M,58.42M,-54.42M,0.396M,-54.42M,124.83M,28.39M,96.45M,0.035M,,-0.165M,,96.32M,95.98M,294.08M,110.84M,183.25M,0.24,0.0,,,0.2392,0.24,0.24,0.0,,,0.2392,0.24,402.35M,406.08M,
2009-12,447.97M,447.97M,107.50M,340.47M,,46.34M,,-11.61M,61.46M,3.546M,-57.91M,10.94M,164.02M,176.45M,3.546M,61.46M,-57.91M,-11.61M,-57.91M,106.93M,42.68M,64.25M,0.052M,,0.048M,,64.35M,71.27M,275.13M,106.74M,168.38M,0.16,0.0,,,0.1774,0.16,0.16,0.0,,,0.1773,0.16,401.58M,402.88M,
2009-09,444.10M,444.10M,108.59M,335.51M,,47.86M,,-0.349M,64.12M,4.321M,-59.80M,3.026M,156.43M,179.08M,4.321M,64.12M,-59.80M,-0.349M,-59.80M,118.93M,51.35M,67.58M,-0.004M,,-0.223M,,67.36M,67.59M,288.59M,105.54M,183.05M,0.17,0.0,,,0.1706,0.17,0.17,0.0,,,0.1706,0.17,397.32M,405.73M,
2009-06,423.36M,423.36M,102.57M,320.78M,,49.86M,,-5.011M,62.65M,4.067M,-58.59M,2.014M,154.34M,166.45M,4.067M,62.65M,-58.59M,-5.011M,-58.59M,102.85M,51.43M,51.43M,5.06M,,-0.199M,,56.29M,54.49M,267.97M,102.46M,165.50M,0.13,0.01,,,0.1382,0.14,0.13,0.01,,,0.138,0.14,397.42M,408.83M,
2009-03,408.68M,408.68M,97.70M,310.97M,,57.63M,,0.071M,61.57M,3.998M,-57.57M,3.189M,160.69M,150.28M,3.998M,61.57M,-57.57M,0.071M,-57.57M,92.79M,37.11M,55.69M,3.07M,,-0.158M,,58.60M,55.49M,254.22M,99.87M,154.35M,0.14,0.01,,,0.1399,0.15,0.14,0.01,,,0.1399,0.15,397.18M,408.25M,
2008-12,408.32M,408.32M,98.57M,309.76M,,44.96M,,8.228M,62.02M,3.996M,-58.02M,7.881M,157.02M,152.74M,3.996M,62.02M,-58.02M,3.324M,-58.02M,98.04M,15.26M,82.79M,2.948M,,0.097M,,85.84M,75.94M,264.24M,104.17M,160.06M,0.21,0.01,,,0.1924,0.22,0.21,0.01,,,0.193,0.22,395.23M,408.32M,
2008-09,409.27M,409.27M,103.86M,305.41M,,44.72M,,0.10M,63.55M,4.603M,-58.94M,1.936M,151.04M,154.37M,4.603M,63.55M,-58.94M,0.10M,-58.94M,95.52M,34.92M,60.61M,-0.05M,,-0.095M,,60.47M,60.45M,263.46M,104.39M,159.07M,0.15,0.0,,,0.1498,0.15,0.15,0.0,,,0.1498,0.15,393.57M,416.54M,
2008-06,393.73M,393.73M,96.87M,296.85M,,41.78M,,-1.537M,62.51M,4.563M,-57.94M,0.583M,142.06M,154.79M,4.563M,62.51M,-57.94M,-1.537M,-57.94M,95.31M,44.54M,50.78M,108.10M,,-0.098M,,158.79M,51.68M,257.51M,99.70M,157.82M,0.13,0.27,,,0.1325,0.4,0.12,0.26,,,0.1224,0.38,396.94M,421.62M,
2008-03,382.18M,382.18M,90.56M,291.63M,,48.91M,,-0.803M,65.51M,4.504M,-61.01M,0.789M,146.77M,144.86M,4.504M,65.51M,-61.01M,-0.803M,-61.01M,83.04M,40.80M,42.25M,-0.019M,,-0.073M,,42.16M,42.70M,245.63M,97.07M,148.56M,0.11,0.0,,,0.1113,0.11,0.1,0.0,,,0.1012,0.1,397.13M,421.62M,
2007-12,378.11M,378.11M,93.52M,284.59M,,46.75M,,-7.565M,,,,7.766M,184.13M,100.47M,,,,-7.556M,,41.62M,42.10M,-0.537M,-5.012M,,-0.074M,,-5.549M,4.380M,237.87M,137.40M,100.47M,0.0,-0.02,,,0.0122,-0.01,0.0,-0.02,,,0.0116,-0.02,403.41M,425.03M,
2007-09,367.58M,367.58M,88.78M,278.81M,,49.03M,,1.43M,,,,-0.197M,180.32M,98.49M,,,,1.432M,,45.73M,-14.48M,60.14M,-0.511M,,-0.08M,,59.63M,59.21M,229.98M,131.48M,98.49M,0.15,0.0,,,0.1477,0.15,0.14,0.0,,,0.1378,0.14,410.07M,418.01M,
2007-06,358.42M,358.42M,90.04M,268.38M,,42.06M,,-16.42M,,,,1.385M,175.08M,93.30M,,,,-16.41M,,26.69M,14.57M,12.03M,-32.02M,,-0.096M,,-19.99M,22.70M,224.93M,131.64M,93.30M,0.03,-0.08,,,0.0556,-0.05,0.03,-0.08,,,0.0548,-0.05,417.68M,429.85M,
2007-03,352.47M,352.47M,87.28M,265.19M,,48.64M,,-1.398M,,,,0.244M,179.08M,86.11M,,,,-1.396M,,38.80M,17.63M,21.08M,1.148M,,-0.088M,,22.23M,21.99M,216.30M,130.19M,86.11M,0.05,0.0,,,0.0522,0.05,0.05,0.0,,,0.0521,0.05,421.63M,439.56M,
2006-12,337.65M,337.65M,88.63M,249.02M,,44.02M,,3.421M,,,,,173.04M,75.98M,,,,3.431M,,32.08M,13.66M,18.24M,0.041M,,-0.187M,,18.28M,16.19M,206.61M,130.62M,75.98M,0.04,0.0,,,0.0352,0.04,0.04,0.0,,,0.0353,0.04,427.26M,439.76M,
2006-09,333.47M,333.47M,87.56M,245.90M,,42.38M,,-6.466M,,,,0.157M,173.90M,72.01M,,,,-6.46M,,17.13M,13.35M,3.722M,-0.25M,,-0.06M,,3.472M,7.602M,203.36M,131.36M,72.01M,0.01,0.0,,,0.0191,0.01,0.0086,-0.0006,,,0.0175,0.008,425.94M,435.14M,
2006-06,325.86M,325.86M,85.74M,240.13M,,36.61M,,-0.769M,,,,-0.067M,169.35M,70.77M,,,,-0.763M,,21.20M,12.94M,7.991M,-0.327M,,-0.28M,,7.664M,8.452M,203.58M,132.81M,70.77M,0.02,0.0,,,0.0211,0.02,0.0183,-0.0008,,,0.0194,0.0176,423.25M,435.60M,
2006-03,320.41M,320.41M,81.61M,238.80M,,36.31M,,-19.36M,,,,1.514M,171.09M,67.71M,,,,-19.36M,,0.46M,1.826M,-1.619M,-0.318M,,-0.257M,,-1.937M,9.998M,200.97M,133.26M,67.71M,-0.01,0.0,,,0.0178,-0.01,-0.01,0.0,,,0.0178,-0.01,417.38M,417.38M,
2005-12,307.62M,307.62M,91.53M,216.10M,,32.20M,,-45.55M,,,,-18.42M,135.64M,80.46M,,,,-45.51M,,-35.43M,19.49M,-55.21M,-0.01M,,-0.336M,,-90.75M,-27.88M,208.20M,127.75M,80.46M,-0.14,0.0,,,-0.074,-0.26,-0.1415,0.0,,,-0.0755,-0.26,413.81M,413.81M,
2005-09,264.75M,264.75M,69.78M,194.97M,,32.59M,2.364M,-19.40M,,,,6.087M,157.80M,37.17M,,,,-19.46M,,-28.83M,-7.666M,-21.36M,-0.722M,,-0.128M,,-22.08M,-7.121M,153.92M,116.75M,37.17M,-0.07,0.0,,,-0.0274,-0.07,-0.07,-0.0022,,,-0.0274,-0.07,334.14M,334.14M,
2005-06,188.06M,188.06M,48.69M,139.37M,,22.36M,,-19.02M,,,,1.473M,108.62M,30.75M,,,,-19.97M,,-35.45M,-1.404M,-35.05M,-1.098M,,-0.056M,,-36.15M,-16.79M,115.53M,84.78M,30.75M,-0.15,-0.01,,,-0.0708,-0.16,-0.1519,-0.01,,,-0.0727,-0.16,230.79M,230.79M,
2005-03,184.36M,184.36M,49.66M,134.70M,,19.70M,,-18.25M,,,,2.777M,104.45M,30.25M,,,,-18.25M,,-34.64M,-4.338M,-31.45M,-0.107M,,-0.055M,,-31.56M,-15.49M,112.22M,81.97M,30.25M,-0.14,0.0,,,-0.0706,-0.14,-0.14,0.0,,,-0.0706,-0.14,230.16M,230.16M,
2004-12,184.70M,184.70M,67.04M,117.66M,,7.077M,,-62.37M,,,,,112.02M,5.633M,,,,-60.52M,,-84.40M,-17.49M,-68.15M,-5.881M,,-0.182M,,-74.03M,-18.70M,86.70M,81.07M,5.633M,-0.3,-0.02,,,-0.0836,-0.32,-0.3,-0.0256,,,-0.0846,-0.3224,228.50M,229.60M,
2004-09,180.88M,180.88M,64.97M,115.91M,,6.861M,,-55.64M,,,,,88.43M,27.48M,,,,-56.26M,,-89.05M,-30.40M,-59.53M,-0.59M,,-0.271M,,-60.12M,-22.88M,109.05M,81.57M,27.48M,-0.26,-0.01,,,-0.097,-0.27,-0.26,-0.01,,,-0.097,-0.27,224.84M,224.84M,
2004-06,172.29M,172.29M,61.66M,110.63M,,6.651M,,-37.42M,,,,5.373M,97.49M,13.14M,,,,-38.04M,,-82.15M,-19.27M,-63.99M,-1.203M,,-0.49M,,-65.20M,-35.35M,98.60M,85.46M,13.14M,-0.29,0.0,,,-0.1619,-0.29,-0.29,0.0,,,-0.1619,-0.29,223.58M,223.58M,
2004-03,168.79M,168.79M,62.44M,106.35M,,6.879M,,-12.79M,,,,3.914M,92.14M,14.22M,,,,-12.79M,,-58.54M,-13.02M,-47.57M,-0.671M,,-1.423M,,-48.24M,-37.62M,95.56M,81.34M,14.22M,-0.22,0.0,,,-0.1749,-0.22,-0.22,0.0,,,-0.1749,-0.22,220.41M,220.41M,
