,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2018-03,1.125B,389.40M,1.515B,557.90M,110.70M,732.20M,,,,,329.60M,153.50M,,67.30M,2.797B,,,,,11.29B,,11.29B,,11.29B,5.647B,11.94B,17.59B,990.30M,1.703B,,31.58B,34.37B,118.70M,335.00M,228.10M,62.00M,743.80M,666.30M,1.410B,,,2.803B,,2.803B,331.40M,331.40M,,4.545B,1.215B,18.57B,,18.57B,791.70M,,791.70M,607.10M,1.065B,1.246B,22.89B,27.43B,4.50M,-1.086B,10.22B,974.00M,,-1.835B,6.334B
2017-12,802.10M,1.00M,803.10M,513.60M,107.90M,685.70M,,,,,324.70M,152.80M,,71.80M,2.038B,12.50B,2.113B,631.40M,1.423B,,282.10M,16.95B,-5.849B,11.10B,5.638B,11.78B,17.42B,83.70M,1.703B,313.60M,31.18B,33.21B,142.90M,304.40M,195.00M,60.80M,703.10M,765.40M,1.468B,,,774.80M,,774.80M,268.80M,268.80M,,2.512B,1.175B,19.43B,,19.43B,898.10M,509.20M,1.874B,586.60M,1.126B,268.00M,23.87B,26.39B,4.40M,-1.058B,10.25B,974.00M,,-1.978B,6.242B
2017-09,799.47M,1.032M,800.50M,508.63M,109.14M,644.96M,,,,,306.80M,155.21M,,56.11M,1.964B,,,,,10.80B,,10.80B,,10.80B,5.372B,11.58B,16.95B,931.48M,1.677B,,30.36B,32.32B,119.74M,286.91M,195.45M,47.38M,649.48M,634.49M,1.284B,,,687.38M,,687.38M,288.88M,288.88M,,2.260B,1.054B,18.58B,,18.58B,976.72M,,976.72M,591.51M,1.147B,1.190B,22.95B,25.21B,4.389M,-975.16M,10.21B,884.61M,0.014M,-1.839B,6.518B
2017-06,770.02M,1.012M,771.04M,322.06M,131.83M,477.39M,,,,,330.28M,143.28M,,80.78M,1.803B,,,,,10.73B,,10.73B,,10.73B,5.371B,11.73B,17.10B,888.85M,1.621B,,30.34B,32.14B,102.73M,277.77M,182.30M,39.51M,602.31M,661.08M,1.263B,,,1.732B,,1.732B,283.49M,283.49M,,3.279B,1.027B,17.51B,,17.51B,950.30M,,950.30M,562.41M,1.156B,1.172B,21.81B,25.09B,4.386M,-989.15M,10.17B,849.06M,0.014M,-1.849B,6.483B
2017-03,712.78M,5.294M,718.07M,369.97M,78.76M,481.49M,,,,,302.76M,145.48M,,63.39M,1.711B,,,,,10.72B,,10.72B,,10.72B,5.380B,11.83B,17.21B,863.35M,1.559B,,30.35B,32.06B,109.42M,267.37M,156.97M,35.36M,569.12M,648.39M,1.218B,,,1.707B,,1.707B,284.22M,284.22M,,3.209B,1.011B,17.18B,,17.18B,952.89M,,952.89M,532.37M,1.130B,1.187B,21.46B,24.67B,4.383M,-1.054B,10.09B,432.73M,0.074M,-1.759B,6.852B
2016-12,787.20M,4.00M,791.20M,308.40M,57.70M,397.70M,,,,,297.60M,149.30M,,54.10M,1.690B,11.74B,1.910B,621.90M,1.176B,,203.40M,15.65B,-5.134B,10.52B,5.071B,11.27B,16.35B,83.70M,1.485B,290.00M,29.19B,30.88B,118.70M,250.60M,151.00M,32.30M,552.60M,594.50M,1.147B,,,238.80M,,238.80M,245.40M,245.40M,,1.631B,965.50M,18.29B,,18.29B,777.60M,457.30M,1.642B,212.30M,1.091B,278.10M,22.27B,23.90B,4.40M,-1.077B,10.04B,207.70M,0.10M,-1.999B,6.764B
2016-09,530.36M,,530.36M,273.91M,59.93M,358.35M,,,,,294.05M,150.66M,,37.34M,1.371B,,,,,10.45B,,10.45B,,10.45B,4.997B,11.56B,16.56B,813.93M,1.464B,,29.28B,30.66B,105.55M,236.61M,117.32M,,459.48M,562.75M,1.022B,,,242.99M,,242.99M,254.34M,254.34M,,1.520B,965.09M,18.44B,,18.44B,792.14M,,792.14M,66.88M,1.100B,1.068B,22.36B,23.88B,4.358M,-1.031B,9.818B,207.74M,0.074M,-1.876B,6.707B
2016-06,410.54M,,410.54M,285.42M,59.12M,376.80M,,,,,343.52M,142.76M,,46.98M,1.321B,,,,,10.58B,,10.58B,,10.58B,4.982B,11.59B,16.57B,809.29M,1.462B,,29.42B,30.74B,120.59M,227.59M,179.13M,,527.31M,589.95M,1.117B,,,314.06M,,314.06M,224.31M,224.31M,,1.656B,951.80M,18.40B,,18.40B,745.94M,,745.94M,66.71M,1.085B,1.058B,22.24B,23.90B,4.354M,-1.033B,9.781B,207.74M,0.074M,-1.771B,6.774B
2016-03,336.40M,,336.40M,217.46M,33.56M,275.31M,,,,,217.14M,140.86M,,66.80M,1.037B,,,,,9.918B,,9.918B,,9.918B,4.123B,9.814B,13.94B,753.94M,1.418B,,26.03B,27.06B,94.05M,218.42M,81.80M,,394.27M,443.65M,837.92M,,,137.85M,,137.85M,222.39M,222.39M,,1.198B,888.04M,16.88B,,16.88B,,,,66.97M,,1.094B,18.87B,20.06B,4.347M,-967.72M,9.715B,207.74M,0.074M,-1.611B,6.933B
2015-12,320.69M,0.00,320.69M,227.35M,34.17M,291.77M,,,,,206.49M,142.19M,,35.33M,996.47M,10.73B,1.728B,607.66M,1.096B,,238.96M,14.40B,-4.531B,9.866B,4.092B,9.838B,13.93B,83.66M,1.379B,260.46M,25.91B,26.90B,96.71M,210.03M,87.53M,58.68M,452.96M,485.87M,938.83M,,,50.20M,,50.20M,211.00M,211.00M,,1.200B,856.94M,17.07B,,17.07B,106.33M,451.84M,906.71M,61.14M,0.00,158.97M,18.99B,20.19B,4.341M,-998.54M,9.691B,207.74M,0.074M,-1.837B,6.652B
2015-09,287.40M,14.48M,301.89M,206.15M,31.88M,258.76M,,,,,188.59M,137.93M,12.32M,40.87M,940.36M,,,,,9.806B,,9.806B,,9.806B,4.055B,10.01B,14.07B,788.78M,1.324B,,25.99B,26.93B,99.59M,196.83M,74.35M,,370.78M,749.59M,1.120B,,,45.85M,,45.85M,203.30M,203.30M,,1.370B,811.62M,16.98B,,16.98B,,,,66.31M,,1.080B,18.87B,20.24B,4.337M,-995.93M,9.650B,207.74M,0.074M,-1.833B,6.618B
2015-06,274.70M,40.39M,315.09M,212.92M,29.40M,265.48M,,,,,176.52M,135.15M,14.14M,34.20M,940.58M,,,,,9.586B,,9.586B,,9.586B,4.037B,9.853B,13.89B,736.82M,1.316B,,25.53B,26.47B,82.85M,187.99M,76.07M,,346.91M,457.39M,804.30M,,,38.81M,,38.81M,193.51M,193.51M,,1.037B,824.99M,16.19B,,16.19B,,,,62.29M,,1.050B,18.06B,19.10B,4.334M,-876.61M,9.619B,207.74M,0.074M,-1.229B,7.311B
2015-03,323.40M,14.39M,337.79M,175.78M,26.76M,224.47M,,,,,167.20M,129.50M,13.56M,53.30M,925.82M,,,,,9.423B,,9.423B,,9.423B,3.980B,9.537B,13.52B,778.12M,1.287B,,25.00B,25.93B,72.51M,179.19M,65.16M,,316.86M,404.95M,721.81M,,,789.15M,,789.15M,220.45M,220.45M,,1.731B,792.99M,14.93B,,14.93B,,,,79.95M,,1.043B,16.77B,18.50B,4.333M,-822.54M,9.583B,207.74M,0.074M,-1.206B,7.352B
2014-12,313.49M,6.302M,319.79M,199.07M,25.35M,247.65M,,,,,146.41M,160.21M,14.00M,69.80M,957.87M,8.266B,1.566B,617.06M,995.67M,,214.76M,11.66B,-4.069B,7.590B,4.032B,6.824B,10.86B,87.52M,1.284B,176.23M,20.31B,21.26B,90.37M,159.86M,61.21M,,311.44M,486.90M,798.33M,,,897.39M,,897.39M,233.82M,233.82M,,1.930B,609.04M,13.64B,,13.64B,,415.81M,719.25M,99.79M,,309.44M,15.28B,17.21B,4.055M,-837.32M,5.789B,207.74M,0.06M,-794.22M,3.954B
2014-09,295.61M,29.01M,324.62M,198.12M,27.87M,245.71M,,,,,220.36M,135.24M,22.80M,48.22M,996.94M,,,,,7.552B,,7.552B,,7.552B,3.867B,6.389B,10.26B,528.84M,1.263B,,19.60B,20.60B,111.00M,147.68M,64.62M,,323.30M,463.54M,786.84M,,,960.46M,,960.46M,190.62M,190.62M,,1.938B,566.32M,12.97B,,12.97B,,,,-9.313M,,933.22M,14.47B,16.41B,4.052M,-854.58M,5.757B,207.74M,0.06M,-504.34M,4.195B
2014-06,282.96M,15.30M,298.26M,174.61M,37.87M,228.21M,,,,,235.01M,158.99M,23.79M,54.19M,998.44M,,,,,7.590B,,7.590B,,7.590B,3.855B,6.638B,10.49B,515.18M,1.251B,,19.85B,20.85B,132.73M,139.84M,65.53M,,338.10M,474.71M,812.82M,,,1.226B,,1.226B,204.44M,204.44M,,2.243B,556.88M,12.75B,,12.75B,,,,1.67M,,889.98M,14.20B,16.44B,4.048M,-911.16M,5.772B,207.74M,0.06M,-250.92M,4.406B
2014-03,333.44M,34.43M,367.87M,227.16M,37.12M,281.92M,,,,,165.55M,161.26M,21.64M,44.74M,1.043B,,,,,7.344B,,7.344B,,7.344B,3.738B,6.618B,10.36B,453.60M,1.222B,,19.37B,20.42B,115.73M,127.29M,57.94M,,300.96M,433.45M,734.41M,,,325.17M,,325.17M,215.43M,215.43M,,1.275B,538.24M,14.01B,,14.01B,,,,30.43M,,893.55M,15.44B,16.72B,3.984M,-1.006B,5.153B,207.74M,,-272.41M,3.671B
2013-12,293.58M,18.61M,312.19M,151.16M,25.41M,253.59M,,,,,183.74M,152.92M,22.40M,61.25M,986.09M,7.934B,1.370B,607.54M,762.74M,,170.29M,10.84B,-3.667B,7.178B,3.855B,6.570B,10.42B,89.38M,1.186B,201.81M,19.30B,20.28B,172.94M,0.575M,54.53M,,228.04M,472.41M,700.45M,,,70.13M,,70.13M,162.08M,162.08M,,932.66M,549.55M,14.41B,,14.41B,,278.30M,551.61M,55.88M,,251.66M,15.76B,16.69B,3.976M,-1.081B,5.131B,207.74M,,-311.22M,3.534B
2013-09,4.040B,27.38M,4.068B,152.56M,27.92M,197.25M,,,,,281.56M,132.02M,23.93M,39.54M,4.742B,,,,,5.879B,,5.879B,,5.879B,2.815B,3.195B,6.010B,452.58M,1.097B,,13.44B,18.18B,90.84M,110.94M,46.97M,,248.75M,368.87M,617.62M,,,67.28M,,67.28M,138.42M,138.42M,,823.32M,461.59M,12.58B,,12.58B,,,,82.95M,,705.97M,13.75B,14.57B,3.973M,-1.067B,5.097B,207.74M,,-298.02M,3.529B
2013-06,448.45M,14.26M,462.70M,130.86M,35.88M,181.30M,,,,,151.10M,97.28M,22.77M,30.90M,946.05M,,,,,5.811B,,5.811B,,5.811B,2.832B,3.214B,6.047B,476.93M,1.059B,,13.39B,14.34B,91.02M,107.05M,44.56M,,242.64M,338.74M,581.38M,,,57.35M,,57.35M,142.31M,142.31M,,781.04M,451.55M,8.799B,,8.799B,,,,101.54M,,688.33M,9.938B,10.72B,3.969M,-1.136B,5.062B,137.35M,,-274.26M,3.518B
2013-03,441.71M,13.00M,454.71M,145.45M,,161.86M,,,,,149.18M,46.73M,24.62M,66.52M,903.62M,,,,,5.880B,,5.880B,,5.880B,2.899B,3.272B,6.171B,482.53M,1.027B,,13.56B,14.46B,86.77M,103.10M,39.28M,,229.14M,303.97M,533.12M,,,57.60M,,57.60M,148.40M,148.40M,,739.12M,455.98M,8.792B,,8.792B,,,,109.91M,,695.59M,9.943B,10.68B,3.966M,-1.128B,5.029B,75.21M,,-158.04M,3.672B
2012-12,368.62M,6.018M,374.64M,143.56M,32.59M,198.59M,,,,,133.62M,69.32M,25.75M,34.35M,836.27M,6.887B,1.023B,423.64M,562.40M,,151.29M,9.047B,-3.281B,5.766B,2.843B,3.206B,6.049B,114.26M,985.79M,179.60M,13.25B,14.09B,89.58M,0.189M,36.81M,,126.58M,321.42M,448.00M,,,60.03M,,60.03M,124.15M,124.15M,,632.18M,435.62M,8.693B,,8.693B,,164.03M,418.53M,111.08M,,225.58M,9.773B,10.41B,3.959M,-1.197B,5.012B,62.73M,,-183.35M,3.573B
2012-09,382.31M,0.00,382.31M,148.81M,,148.81M,,,,,270.54M,43.48M,27.64M,,872.78M,,,,,,,,,5.243B,2.764B,2.544B,5.307B,522.16M,964.82M,51.34M,12.09B,12.96B,87.38M,,,91.06M,178.44M,408.38M,586.82M,,,130.21M,,130.21M,133.90M,133.90M,,850.92M,397.36M,7.359B,,7.359B,,,,129.23M,,667.68M,8.424B,9.275B,3.956M,-1.238B,4.971B,16.73M,,-164.08M,3.557B
2012-06,481.94M,29.49M,511.43M,99.18M,,99.18M,,,,,240.65M,38.76M,28.99M,,919.01M,,,,,,,,,5.080B,2.715B,2.570B,5.285B,524.63M,901.28M,,11.79B,12.71B,201.39M,,,86.99M,288.38M,398.83M,687.21M,,,127.87M,,127.87M,91.41M,91.41M,,906.49M,379.36M,7.338B,,7.338B,,,,128.64M,,599.77M,8.317B,9.223B,3.952M,-1.379B,4.946B,10.84M,,-203.30M,3.358B
2012-03,471.26M,32.82M,504.08M,105.12M,,105.12M,,,,,279.52M,56.34M,30.32M,,975.37M,,,,,,,,,5.007B,2.768B,2.523B,5.291B,480.20M,885.12M,,11.66B,12.64B,226.28M,,,82.91M,309.19M,409.82M,719.01M,,,127.32M,,127.32M,92.94M,92.94M,,939.27M,368.96M,7.161B,,7.161B,,,,107.44M,,582.45M,8.113B,9.052B,3.946M,-1.340B,4.917B,4.924M,,-97.68M,3.479B
2011-12,330.19M,22.27M,352.46M,100.61M,,181.89M,,,,,109.00M,42.22M,29.60M,60.00M,775.16M,6.036B,868.66M,369.56M,459.07M,,155.58M,7.889B,-2.908B,4.982B,2.676B,2.495B,5.171B,118.89M,818.56M,208.75M,11.47B,12.24B,215.93M,0.00,46.93M,,262.86M,324.34M,587.20M,,,101.82M,,101.82M,92.48M,92.48M,,781.50M,344.18M,7.134B,,7.134B,,125.47M,351.86M,122.92M,,220.23M,8.051B,8.832B,3.936M,-1.478B,4.904B,0.00,,-142.62M,3.287B
2011-09,177.51M,4.726M,182.23M,100.06M,,100.06M,,,,,228.59M,50.22M,252.70M,,813.80M,,,,,,,,,4.126B,2.674B,2.165B,4.839B,336.08M,780.82M,,10.08B,10.90B,352.78M,,,,352.78M,61.54M,414.32M,,,861.16M,,861.16M,95.85M,95.85M,,1.371B,400.22M,,,,,,,84.35M,,5.776B,6.176B,7.548B,4.884M,-1.545B,8.666B,3.775B,,-87.07M,3.263B
2011-06,332.54M,1.357M,333.90M,99.82M,,99.82M,,,,,172.01M,50.21M,256.15M,,912.08M,,,,,,,,,3.910B,2.779B,2.347B,5.126B,882.28M,143.96M,,10.06B,10.97B,339.93M,,,,339.93M,61.70M,401.63M,,,782.78M,,782.78M,125.47M,125.47M,,1.310B,405.49M,4.919B,,4.919B,,,,37.92M,,739.55M,6.064B,7.374B,4.877M,-1.530B,8.631B,3.607B,,62.47M,3.562B
2011-03,362.82M,10.70M,373.52M,97.83M,,97.83M,,,,,150.39M,79.43M,250.25M,,951.42M,,,,,,,,,3.771B,2.670B,2.440B,5.110B,849.34M,77.02M,,9.807B,10.76B,431.41M,,,,431.41M,61.29M,492.69M,,,178.10M,,178.10M,155.61M,155.61M,,826.41M,,,5.388B,5.388B,,,,9.822M,,1.036B,6.423B,7.250B,4.868M,-1.645B,8.589B,3.505B,,54.42M,3.499B
2010-12,883.96M,46.43M,930.39M,80.96M,,80.96M,,,,,147.84M,75.97M,169.01M,,1.404B,5.177B,473.48M,210.08M,368.86M,,86.36M,6.316B,-2.692B,3.624B,2.490B,1.985B,4.476B,785.87M,78.48M,,8.964B,10.37B,292.54M,,,,292.54M,40.62M,333.16M,,,74.90M,,74.90M,134.14M,134.14M,,542.20M,,5.512B,,5.512B,,,,3.114M,,808.77M,6.321B,6.863B,4.86M,-1.737B,8.577B,3.382B,,38.05M,3.501B
2010-09,371.88M,42.72M,414.60M,92.87M,,92.87M,,,,,157.44M,69.16M,210.24M,,944.31M,,,,,,,,,3.494B,2.459B,1.778B,4.237B,720.90M,52.55M,,8.505B,9.449B,245.95M,,,,245.95M,49.78M,295.73M,,,178.66M,,178.66M,140.48M,140.48M,,614.87M,,,,,,,,3.05M,,,5.380B,5.995B,4.855M,-1.820B,8.549B,3.307B,,24.40M,3.451B
2010-06,302.89M,27.89M,330.78M,48.87M,,48.87M,,,,,113.84M,52.57M,224.47M,,770.54M,,,,,,,,,3.188B,2.256B,1.596B,3.852B,678.12M,96.37M,,7.815B,8.586B,205.04M,,,,205.04M,23.66M,228.70M,,,1.61M,,1.61M,128.51M,128.51M,,358.82M,,4.152B,,4.152B,,,,3.011M,,645.05M,4.797B,5.156B,4.845M,-1.914B,8.503B,3.158B,,-9.829M,3.427B
2010-03,352.89M,18.94M,371.83M,73.54M,,73.54M,,,,,107.21M,49.79M,216.82M,,819.20M,,,,,,,,,3.179B,2.246B,1.656B,3.902B,668.10M,105.98M,,7.855B,8.674B,183.85M,,,,183.85M,44.02M,227.88M,,,77.90M,,77.90M,117.03M,117.03M,,422.81M,,4.152B,,4.152B,,,,2.936M,,641.56M,4.794B,5.216B,4.83M,-2.013B,8.448B,3.013B,,28.32M,3.455B
2009-12,247.29M,9.776M,257.07M,67.95M,,67.95M,,,,,92.79M,47.84M,189.45M,,655.10M,4.682B,374.62M,207.33M,309.79M,,47.06M,5.621B,-2.451B,3.170B,2.251B,1.595B,3.845B,651.86M,198.18M,,7.865B,8.520B,185.14M,,,,185.14M,23.54M,208.68M,,,70.52M,,70.52M,112.05M,112.05M,,391.24M,,4.141B,,4.141B,,,,3.043M,,669.50M,4.811B,5.202B,4.797M,-2.110B,8.394B,2.961B,,-12.65M,3.315B
2009-09,229.67M,3.844M,233.52M,71.27M,,71.27M,,,,,78.72M,50.80M,191.62M,,625.93M,,,,,,,,,3.128B,2.239B,1.532B,3.772B,643.23M,225.73M,,7.769B,8.395B,165.96M,,,,165.96M,47.27M,213.23M,,,7.717M,,7.717M,120.06M,120.06M,,341.00M,,,,,,,,3.336M,,,4.819B,5.160B,4.785M,-2.174B,8.353B,2.934B,,-18.42M,3.232B
2009-06,323.64M,8.99M,332.63M,72.53M,,72.53M,,,,,70.97M,50.77M,191.16M,,718.06M,,,,,,,,,3.088B,2.233B,1.548B,3.781B,632.55M,267.35M,,7.768B,8.486B,172.66M,,,,172.66M,26.81M,199.48M,,,22.58M,,22.58M,125.97M,125.97M,,348.02M,,4.422B,,4.422B,,,,3.254M,,625.74M,5.047B,5.395B,4.697M,-2.241B,8.160B,2.816B,,-19.53M,3.088B
2009-03,303.04M,0.962M,304.00M,60.06M,,60.06M,,,,,70.18M,61.48M,163.98M,,659.69M,,,,,,,,,3.003B,2.186B,1.533B,3.719B,594.41M,349.45M,,7.666B,8.326B,144.27M,,,,144.27M,47.99M,192.26M,,,1.527M,,1.527M,125.52M,125.52M,,319.31M,,4.331B,,4.331B,,,,3.15M,,593.49M,4.924B,5.244B,4.692M,-2.298B,8.140B,2.748B,,-19.90M,3.079B
