,NetIncome,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2015-12,221.59M,147.21M,,352.33M,352.33M,,18.25M,-136.51M,106.54M,,-56.71M,-17.28M,623.28M,-210.78M,,-210.78M,-344.90M,18.61M,-0.352M,-537.42M,152.99M,0.718M,153.71M,-0.027M,,-0.027M,-0.046M,-0.046M,-194.89M,-26.73M,-221.62M,21.38M,7.265M,-39.35M,287.40M,46.51M,-31.23M,462.90M,-0.073M,453.27M,-300.28M,,-130.23M,-472.08M
2015-09,97.74M,0.00,,341.10M,341.10M,,18.34M,67.88M,-7.356M,,-10.55M,-17.91M,507.16M,-206.90M,,-206.90M,-945.96M,25.46M,2.555M,-1.125B,826.21M,8.282M,834.50M,0.00,,0.00,0.00,0.00,-186.25M,-26.78M,-213.03M,11.96M,8.802M,642.23M,274.70M,24.55M,-11.85M,287.40M,0.00,987.52M,-161.31M,,160.14M,763.18M
2015-06,157.18M,75.07M,,328.36M,328.36M,,24.04M,9.222M,-96.40M,,29.06M,-67.34M,526.53M,-151.94M,,-151.94M,-649.30M,-24.70M,-4.087M,-830.02M,430.87M,0.00,430.87M,-0.063M,,-0.063M,-0.063M,-0.063M,-177.73M,-23.21M,-200.94M,12.26M,-11.97M,230.09M,323.40M,-73.40M,24.70M,274.70M,-0.126M,3.958B,-3.527B,,-15.20M,-92.08M
2015-03,195.49M,3.725M,,263.52M,263.52M,,29.86M,66.31M,-2.779M,,-46.20M,-48.98M,509.93M,-159.18M,,-159.18M,-20.95M,-9.873M,-5.059B,-5.249B,1.159B,0.00,1.159B,2.440B,,2.440B,1.338B,1.338B,-152.04M,-7.875M,-159.91M,5.106M,-22.70M,4.760B,313.49M,20.64M,-10.73M,323.40M,3.778B,3.65B,-2.491B,,-14.71M,-199.02M
2014-12,181.60M,68.96M,,263.55M,263.55M,,18.44M,-78.70M,42.93M,,46.41M,83.60M,564.98M,-251.05M,,-251.05M,-685.70M,46.80M,43.81M,-846.14M,521.50M,0.00,521.50M,0.00,,0.00,0.00,-59.11M,-142.72M,-7.875M,-150.59M,14.34M,1.111M,327.25M,295.61M,46.09M,-28.21M,313.49M,0.00,1.501B,-979.54M,,52.38M,438.40M
2014-09,206.63M,-2.716M,,249.07M,249.07M,,18.27M,25.19M,-14.46M,,15.24M,0.786M,497.22M,-257.11M,,-257.11M,-9.409M,-13.39M,13.30M,-266.60M,-18.50M,0.00,-18.50M,0.00,,0.00,-0.221M,-0.221M,-134.64M,-8.138M,-142.78M,17.20M,-68.30M,-212.60M,282.96M,18.01M,-5.36M,295.61M,-0.221M,1.071B,-1.090B,,-16.60M,-168.15M
2014-06,221.66M,1.031M,,245.43M,245.43M,,18.84M,43.58M,14.98M,,50.30M,65.27M,595.80M,-252.36M,,-252.36M,-252.77M,19.14M,-59.76M,-545.75M,-568.86M,0.172M,-568.69M,0.00,,0.00,583.33M,583.33M,-126.72M,0.00,-126.72M,16.94M,-1.194M,-96.33M,333.44M,-46.28M,-4.20M,282.96M,583.33M,360.00M,-928.69M,,-16.68M,-115.76M
2014-03,193.31M,0.238M,,245.76M,245.76M,,24.60M,5.06M,-43.45M,,51.05M,7.604M,476.58M,-213.89M,,-213.89M,-62.76M,-13.04M,-1.369M,-291.06M,-143.96M,-0.172M,-144.13M,0.00,,0.00,0.00,0.00,-0.554M,0.00,-0.554M,13.80M,-22.01M,-152.90M,293.58M,32.62M,7.238M,333.44M,0.00,772.67M,-916.80M,,-19.09M,-154.50M
2013-12,73.92M,222.39M,,244.81M,244.81M,,14.98M,-156.81M,59.27M,,-25.44M,53.53M,454.60M,-276.28M,,-276.28M,-4.096B,16.78M,140.91M,-4.215B,242.83M,0.647M,243.48M,,0.00,0.00,,,-224.98M,,-224.98M,12.52M,-0.22M,30.81M,4.040B,-3.729B,-17.49M,293.58M,,1.875B,-1.632B,0.00,23.17M,283.14M
2013-09,163.22M,0.00,,184.92M,184.92M,,15.06M,36.46M,-49.04M,,9.298M,-39.74M,359.92M,-167.64M,,-167.64M,-54.49M,-13.43M,-121.30M,-356.86M,3.742B,7.544M,3.749B,,-70.39M,-70.39M,0.00,0.00,-106.73M,0.00,-106.73M,13.22M,4.314M,3.590B,448.45M,3.593B,-0.771M,4.040B,0.00,4.508B,-766.76M,-70.39M,-6.019M,-101.83M
2013-06,84.11M,0.00,,184.61M,184.61M,,17.06M,135.44M,-2.855M,,-27.88M,-30.73M,390.48M,-156.70M,,-156.70M,-66.08M,-1.403M,-0.967M,-225.15M,15.04M,,15.04M,,-62.14M,-62.14M,0.00,0.00,-102.98M,,-102.98M,13.61M,6.983M,-129.49M,441.71M,35.85M,-29.11M,448.45M,0.00,16.00M,-0.955M,-62.14M,-3.61M,-86.06M
2013-03,160.95M,35.29M,,185.80M,185.80M,,21.04M,-7.496M,-7.374M,,5.824M,-1.55M,394.04M,-123.90M,,-123.90M,-245.09M,-7.50M,-0.129M,-376.63M,43.87M,0.00,43.87M,,-12.48M,-12.48M,,,0.00,,0.00,6.14M,-2.903M,34.63M,368.62M,52.04M,21.05M,441.71M,,3.011B,-2.967B,-12.48M,-13.54M,-95.25M
2012-12,118.15M,,,178.49M,178.49M,,12.33M,-68.56M,36.14M,,-186.00M,-61.99M,297.84M,-191.02M,,-191.02M,-1.175B,-5.99M,-11.87M,-1.384B,1.332B,-75.36M,1.257B,,-46.00M,-46.00M,,,-185.76M,,-185.76M,12.62M,20.80M,1.058B,382.31M,-28.00M,14.31M,368.62M,,1.335B,-3.199M,-46.00M,28.46M,265.44M
2012-09,231.82M,,,144.06M,144.06M,,13.06M,-33.00M,-69.62M,,67.35M,-2.267M,353.67M,-150.62M,,-150.62M,-289.85M,33.56M,-0.442M,-407.36M,18.52M,2.972M,21.50M,,-5.895M,-5.895M,,,-86.94M,,-86.94M,11.69M,1.448M,-58.20M,481.94M,-111.88M,12.26M,382.31M,,21.43M,-2.909M,-5.895M,-41.24M,-437.10M
2012-06,33.69M,,,172.07M,172.07M,,13.55M,141.00M,-21.65M,,22.19M,0.544M,360.86M,-105.37M,,-105.37M,-373.46M,3.793M,-0.579M,-475.61M,177.41M,0.00,177.41M,,9.827M,9.827M,,,-82.88M,,-82.88M,15.52M,22.97M,142.85M,471.26M,28.10M,-17.42M,481.94M,,811.02M,-633.61M,9.827M,12.78M,93.72M
2012-03,210.36M,,,149.66M,149.66M,,13.04M,-28.34M,55.13M,,2.175M,57.30M,402.02M,-121.03M,,-121.03M,-159.40M,-8.99M,-1.871M,-291.30M,21.50M,17.13M,38.63M,,-20.66M,-20.66M,,,,,,15.62M,-6.136M,27.44M,330.19M,138.16M,2.906M,471.26M,,2.040B,-2.019B,-20.66M,,77.94M
2011-12,196.43M,,,143.62M,143.62M,,11.25M,-274.19M,,,-27.26M,8.281M,315.94M,-125.93M,,-125.93M,-1.100B,-17.43M,12.28M,-1.231B,1.168B,26.99M,1.195B,,-46.30M,-46.30M,,,,,-137.76M,24.72M,46.20M,1.082B,177.51M,166.59M,-13.91M,330.19M,,1.255B,-188.26M,-46.30M,,
2011-09,-19.73M,,,411.90M,142.11M,,12.14M,185.50M,45.06M,,-74.43M,-29.37M,290.66M,-160.51M,,-160.51M,-328.02M,-27.04M,13.22M,-502.34M,151.03M,-0.001M,151.02M,,-159.52M,-159.52M,,,,,0.00,20.70M,49.44M,61.64M,332.54M,-150.04M,-4.997M,177.51M,,230.59M,-79.56M,-159.52M,-28.30M,-121.42M
2011-06,113.17M,,,,138.56M,,11.69M,48.45M,-22.35M,,-13.99M,-36.34M,275.52M,-138.68M,,-138.68M,-275.21M,34.70M,-3.567M,-382.76M,129.35M,0.00,129.35M,,-103.86M,-103.86M,,,,,,30.06M,24.60M,80.15M,362.82M,-27.09M,-3.192M,332.54M,,130.24M,-0.89M,-103.86M,14.82M,70.61M
2011-03,91.96M,,,,131.23M,,12.36M,53.34M,-22.70M,,17.64M,-5.069M,283.82M,-97.90M,,-97.90M,-617.35M,37.15M,3.567M,-674.53M,-126.67M,101.13M,-25.54M,,-127.72M,-127.72M,,,,,,10.17M,5.564M,-137.53M,883.96M,-528.24M,7.10M,362.82M,,101.13M,-126.67M,-127.72M,13.48M,50.81M
2010-12,83.70M,,,,124.10M,,12.41M,-135.27M,49.40M,,-52.66M,-52.83M,246.36M,-118.18M,,-118.18M,-315.34M,-3.39M,-4.832M,-441.74M,780.91M,0.00,780.91M,,-80.17M,-80.17M,,,,,,16.17M,-6.541M,710.37M,371.88M,514.99M,-2.903M,883.96M,,1.043B,-261.71M,-80.17M,-22.92M,-144.24M
2010-09,93.60M,,,,115.38M,,13.35M,69.83M,-22.47M,,-11.47M,-33.95M,258.22M,-95.97M,,-95.97M,-451.80M,-5.157M,-19.32M,-572.25M,498.34M,0.00,498.34M,,-149.92M,-149.92M,,,,,,32.26M,-5.863M,374.82M,302.89M,60.79M,8.191M,371.88M,,1.081B,-582.97M,-149.92M,11.66M,34.31M
2010-06,196.30M,,,,110.40M,,13.23M,-56.26M,-20.50M,,19.58M,-0.92M,262.75M,-77.45M,,-77.45M,-43.98M,-14.79M,,-136.23M,-78.35M,0.00,-78.35M,,-141.70M,-141.70M,,,,,,42.61M,-0.077M,-177.51M,352.89M,-51.00M,1.002M,302.89M,,0.00,-78.35M,-141.70M,11.26M,109.92M
2010-03,,,,,110.84M,,13.56M,131.11M,-6.43M,,4.571M,-1.859M,253.65M,-55.06M,,-55.06M,-88.49M,-7.136M,,-150.68M,14.29M,0.00,14.29M,,-58.84M,-58.84M,,,,,,47.47M,-0.274M,2.65M,247.29M,105.62M,-0.025M,352.89M,,75.00M,-60.71M,-58.84M,,
2009-12,64.30M,,,,106.74M,159.95M,10.55M,-134.22M,-27.98M,,32.88M,-35.61M,192.73M,-67.84M,,-67.84M,-134.43M,3.578M,,-198.68M,23.44M,,23.44M,,-23.62M,-23.62M,,,,,,29.99M,-6.30M,23.51M,229.67M,17.56M,0.064M,247.29M,,600.00M,-576.56M,-23.62M,-32.76M,-160.57M
2009-09,67.58M,,,,105.54M,-0.003M,12.95M,58.06M,-4.824M,,0.746M,-4.078M,240.05M,-68.57M,,-68.57M,-67.91M,3.882M,,-132.60M,-97.16M,,-97.16M,,-123.92M,-123.92M,,,,,,19.89M,-0.409M,-201.61M,323.64M,-94.16M,0.192M,229.67M,,0.00,-97.16M,-123.92M,13.76M,40.69M
2009-06,56.49M,,,,102.46M,-3.171M,12.84M,50.56M,8.821M,,-24.39M,-15.57M,203.61M,-64.23M,,-64.23M,-92.12M,-5.805M,-1.12M,-163.27M,43.67M,,43.67M,,-61.08M,-61.08M,,,,,,7.203M,-9.62M,-19.83M,303.04M,20.50M,0.094M,323.64M,,300.00M,-256.33M,-61.08M,11.50M,80.77M
2009-03,58.76M,,,,99.87M,,24.34M,38.52M,-12.33M,,-3.426M,-15.75M,205.74M,-49.63M,,-49.63M,-1.145M,1.144M,1.12M,-48.51M,-1.155M,,-1.155M,,-4.661M,-4.661M,,,,,,8.898M,-0.099M,2.983M,143.08M,160.21M,-0.252M,303.04M,,0.00,-1.155M,-4.661M,7.494M,39.11M
2008-12,85.74M,,,,104.17M,197.48M,11.70M,-219.44M,-33.72M,,10.03M,-13.68M,186.93M,-78.29M,,-78.29M,-10.18M,0.856M,4.145M,-83.47M,49.48M,,49.48M,,-82.75M,-82.75M,,,,,,7.018M,-0.165M,-26.42M,66.24M,77.03M,-0.192M,143.08M,,50.00M,-0.524M,-82.75M,-27.44M,-168.82M
2008-09,60.56M,,,,104.39M,-0.028M,13.25M,41.63M,-3.668M,,11.06M,7.392M,227.19M,-67.88M,,-67.88M,-0.498M,4.012M,1.843M,-62.52M,49.40M,,49.40M,,-335.34M,-335.34M,,,,,,35.53M,-0.165M,-250.57M,152.13M,-85.90M,0.00,66.24M,,50.00M,-0.603M,-335.34M,5.636M,42.41M
2008-06,158.88M,,,,99.70M,-104.94M,13.60M,36.77M,-6.493M,,-20.77M,-27.26M,176.75M,-52.69M,,-52.69M,-3.823M,-3.701M,,-60.22M,-0.686M,,-0.686M,,-113.82M,-113.82M,,,,,,28.73M,-0.267M,-86.04M,121.63M,30.50M,0.00,152.13M,,0.00,-0.686M,-113.82M,10.09M,80.10M
2008-03,42.23M,,,,97.07M,,16.26M,33.63M,-6.49M,,-0.321M,-6.811M,182.38M,-44.62M,,-44.62M,-28.31M,4.206M,,-68.73M,149.36M,,149.36M,,-182.75M,-182.75M,,,,,,11.64M,-3.395M,-25.14M,33.12M,88.51M,0.00,121.63M,,475.00M,-325.64M,-182.75M,11.72M,46.30M
2007-12,-5.549M,,,137.40M,137.40M,20.91M,,-70.08M,34.97M,,-36.69M,55.33M,128.88M,-47.42M,,-47.42M,-23.27M,2.095M,-0.226M,-68.81M,,,274.95M,13.67M,-390.12M,-376.45M,,,,,,,-8.177M,-109.68M,82.74M,-49.61M,,33.12M,13.67M,,,-390.12M,,
2007-09,59.63M,,,393.32M,393.32M,0.332M,,-238.50M,-34.97M,,1.834M,-33.13M,181.64M,-39.38M,,-39.38M,-6.698M,3.787M,16.46M,-25.83M,,,1.800B,8.552M,-339.46M,-330.91M,,,,,,,-1.755B,-286.09M,213.02M,-130.29M,,82.74M,8.552M,,,-339.46M,,
2007-06,-19.99M,,,,,,,197.06M,,,33.70M,33.70M,210.78M,-36.14M,-9.095M,-45.24M,-3.935M,16.28M,-26.30M,-59.19M,,,-1.346B,55.02M,-414.22M,-359.21M,,,,,,,1.719B,14.28M,47.15M,165.87M,,213.02M,55.02M,,,-414.22M,,
2007-03,22.23M,,,,,,,169.01M,,,-19.85M,-19.85M,171.39M,-31.44M,9.095M,-22.35M,-10.06M,,0.065M,-32.35M,,,84.15M,46.84M,-499.01M,-452.17M,,,,,,,-5.137M,-373.15M,281.26M,-234.11M,,47.15M,46.84M,,,-499.01M,,
2006-12,18.28M,22.55M,,,,,,-443.77M,,,58.85M,-6.805M,145.57M,-36.44M,,-36.44M,27.41M,,-22.82M,-31.84M,,,-23.33M,2.16M,-17.40M,-15.24M,,,,,,,-1.092M,-39.66M,207.20M,74.06M,,281.26M,2.16M,,,-17.40M,,
2006-09,3.472M,,,,,,,164.03M,,,15.02M,15.02M,182.53M,-33.62M,,-33.62M,4.675M,,0.088M,-28.86M,,,-40.09M,3.418M,0.00,3.418M,,,,,,,-0.257M,-36.92M,90.45M,116.75M,,207.20M,3.418M,,,0.00,,
2006-06,8.312M,-160.60M,,,,,,317.98M,,,-24.74M,-24.74M,140.94M,-28.67M,,-28.67M,-11.95M,,-0.284M,-40.90M,,,12.68M,19.18M,-126.78M,-107.60M,,,,,,,-0.253M,-95.17M,85.57M,4.881M,,90.45M,19.18M,,,-126.78M,,
2006-03,-2.585M,160.60M,,,,,,8.954M,,,-15.28M,-15.28M,151.70M,-28.38M,,-28.38M,0.912M,,-0.05M,-27.51M,,,-3.024M,16.18M,-162.68M,-146.50M,,,,,,,-1.785M,-151.31M,112.70M,-27.13M,,85.57M,16.18M,,,-162.68M,,
2005-12,-90.75M,69.76M,,,,,,-286.35M,,,37.24M,-1.105M,137.00M,-29.41M,-3.80M,-33.21M,12.34M,,-24.28M,-45.15M,,,-29.99M,19.32M,,-49.61M,,,,,,,-8.707M,-88.31M,109.16M,3.542M,,112.70M,19.32M,,,,,
2005-09,-22.08M,,,,,,,138.74M,,,-21.46M,-21.46M,95.20M,-22.70M,3.80M,-18.90M,-5.109M,,33.57M,9.558M,,,-116.26M,35.27M,,35.27M,,,,,,,-0.224M,-81.22M,85.62M,23.54M,,109.16M,35.27M,,,,,
2005-06,-36.97M,-109.83M,,,,,,224.51M,,,-5.254M,-5.254M,72.45M,-20.64M,,-20.64M,-0.537M,,-0.277M,-21.46M,,,-91.10M,3.267M,,3.267M,,,,,,,-0.335M,-88.17M,122.80M,-37.18M,,85.62M,3.267M,,,,,
2005-03,-31.56M,109.83M,,,,,,,,,14.29M,14.29M,92.56M,-15.88M,,-15.88M,-7.292M,,-0.31M,-23.48M,,,-169.09M,7.50M,,7.50M,,,,,,,-0.246M,-161.83M,215.56M,-92.76M,,122.80M,7.50M,,,,,
2004-12,-81.91M,144.68M,,,,,,-302.00M,,-31.26M,50.81M,0.076M,67.54M,-13.57M,8.488M,-5.081M,-5.56M,,-170.82M,-178.67M,,,22.93M,17.10M,,17.10M,,,,,,,159.83M,199.86M,126.83M,88.72M,,215.56M,17.10M,,,,,
2004-09,-60.12M,-228.07M,,,,,,356.24M,-2.934M,12.18M,-33.52M,-24.28M,43.77M,-9.946M,2.211M,-7.735M,-9.49M,,-0.223M,-17.45M,,,-101.86M,14.68M,,14.68M,,,,,,,-10.17M,-97.35M,197.86M,-71.02M,,126.83M,14.68M,,,,,
2004-06,-70.56M,228.07M,,,,,,,-7.895M,24.63M,-100.57M,-83.84M,73.67M,-7.834M,0.47M,-7.364M,-8.927M,,173.17M,156.88M,,,-69.27M,4.509M,,4.509M,,,,,,,-66.63M,-131.40M,98.70M,99.16M,,197.86M,4.509M,,,,,
2004-03,-42.88M,,,,,,,,10.83M,-36.80M,100.57M,74.60M,31.72M,-10.83M,20.82M,9.986M,-13.37M,,-2.586M,-5.973M,,,-82.70M,4.271M,,4.271M,,,,,,,45.92M,-32.51M,105.46M,-6.767M,,98.70M,4.271M,,,,,
2003-12,-73.12M,174.81M,,,,,,-368.26M,-12.55M,42.51M,,14.72M,76.36M,-15.67M,36.46M,20.78M,-19.09M,-16.35M,16.32M,1.666M,,,-143.21M,1.642M,,1.642M,,,,,,,102.88M,-38.69M,66.13M,39.33M,,105.46M,1.642M,,,,,
2003-09,-52.86M,-265.10M,,,,,,368.26M,4.988M,-25.84M,,-20.85M,29.44M,-13.24M,-3.021M,-16.26M,-34.89M,-0.635M,-10.05M,-61.84M,,,-34.45M,125.20M,,125.20M,,,,,,,-99.82M,-9.063M,107.60M,-41.47M,,66.13M,125.20M,,,,,
