,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2018-04,1.614B,322.00M,1.936B,309.00M,,311.00M,,179.00M,419.00M,,,2.845B,,,,,,,,,,950.00M,1.613B,68.00M,1.681B,28.00M,128.00M,155.00M,2.942B,5.787B,325.00M,7.00M,356.00M,10.00M,698.00M,,698.00M,60.00M,,,,50.00M,,50.00M,1.459B,1.557B,,52.00M,2.703B,400.00M,,400.00M,,173.00M,173.00M,,147.00M,720.00M,3.423B,5.289B,8.155B,,11.05B,,,-30.00M,2.364B
2018-01,478.00M,248.00M,726.00M,532.00M,,565.00M,,189.00M,422.00M,,,1.902B,,,,,,,,,,984.00M,1.615B,75.00M,1.69B,28.00M,132.00M,162.00M,2.996B,4.898B,343.00M,6.00M,,10.00M,359.00M,,359.00M,88.00M,,,,690.00M,,690.00M,1.542B,1.642B,,47.00M,3.032B,413.00M,,413.00M,,170.00M,170.00M,,126.00M,709.00M,3.741B,5.151B,7.057B,,11.03B,,,-20.00M,1.157B
2017-10,529.00M,248.00M,777.00M,116.00M,,177.00M,,142.00M,319.00M,,,1.415B,,,,,,,,,,1.016B,1.294B,18.00M,1.312B,31.00M,144.00M,146.00M,2.649B,4.064B,220.00M,5.00M,,10.00M,235.00M,,235.00M,25.00M,,,,450.00M,,450.00M,1.118B,1.218B,,43.00M,2.117B,425.00M,,425.00M,,191.00M,191.00M,,128.00M,744.00M,2.861B,4.999B,7.18B,,10.95B,,,-28.00M,1.203B
2017-07,529.00M,248.00M,777.00M,103.00M,,166.00M,,100.00M,372.00M,,,1.415B,0.0,81.00M,547.00M,1.41B,,71.00M,310.00M,2.419B,-1.389B,1.03B,1.295B,22.00M,1.317B,31.00M,132.00M,143.00M,2.653B,4.068B,157.00M,9.00M,,10.00M,176.00M,,176.00M,26.00M,,,50.00M,50.00M,,50.00M,1.259B,1.348B,,44.00M,1.944B,438.00M,,438.00M,,202.00M,202.00M,,130.00M,770.00M,2.714B,3.00M,7.297B,4.854B,10.78B,,,-22.00M,1.354B
2017-04,1.35B,243.00M,1.593B,245.00M,,245.00M,,94.00M,323.00M,,,2.255B,,,,,,,,,,1.041B,1.294B,27.00M,1.321B,28.00M,183.00M,141.00M,2.714B,4.969B,269.00M,,435.00M,10.00M,714.00M,1.00M,715.00M,75.00M,,,,50.00M,,50.00M,1.278B,1.364B,,50.00M,2.494B,450.00M,,450.00M,,178.00M,178.00M,,150.00M,778.00M,3.272B,4.787B,7.363B,,10.42B,,,-36.00M,1.697B
2017-01,392.00M,245.00M,637.00M,521.00M,,562.00M,,156.00M,324.00M,,,1.679B,,,,,,,,,,1.047B,1.293B,34.00M,1.327B,28.00M,172.00M,120.00M,2.694B,4.373B,258.00M,,,10.00M,268.00M,11.00M,279.00M,95.00M,,,,687.00M,,687.00M,1.40B,1.483B,,55.00M,2.803B,463.00M,,463.00M,,178.00M,178.00M,,144.00M,785.00M,3.588B,4.66B,6.488B,,10.33B,,,-34.00M,785.00M
2016-10,360.00M,245.00M,605.00M,121.00M,,178.00M,,153.00M,326.00M,,,1.262B,,,,,,,,,,1.047B,1.293B,39.00M,1.332B,28.00M,151.00M,113.00M,2.671B,3.933B,165.00M,,,10.00M,175.00M,4.00M,179.00M,23.00M,,,,625.00M,,625.00M,1.065B,1.149B,,69.00M,2.181B,475.00M,,475.00M,,197.00M,197.00M,,144.00M,816.00M,2.997B,4.54B,6.564B,,10.13B,,,-37.00M,936.00M
2016-07,638.00M,442.00M,1.08B,108.00M,,128.00M,,102.00M,304.00M,,,1.614B,0.0,60.00M,403.00M,1.225B,,256.00M,296.00M,2.24B,-1.209B,1.031B,1.282B,44.00M,1.326B,28.00M,139.00M,112.00M,2.636B,4.25B,184.00M,5.00M,,10.00M,199.00M,11.00M,210.00M,21.00M,,,,512.00M,,512.00M,1.105B,1.18B,,39.00M,2.251B,488.00M,,488.00M,,204.00M,204.00M,,146.00M,838.00M,3.089B,3.00M,6.687B,4.442B,9.939B,,,-32.00M,1.161B
2016-04,1.289B,324.00M,1.613B,214.00M,,218.00M,,108.00M,372.00M,0.00,,2.311B,,,,,,,,,,989.00M,1.282B,57.00M,1.339B,28.00M,165.00M,108.00M,2.629B,4.94B,270.00M,,442.00M,,712.00M,,712.00M,,,,,500.00M,,500.00M,1.226B,1.226B,,199.00M,2.865B,500.00M,,500.00M,,174.00M,174.00M,,153.00M,827.00M,3.692B,4.334B,6.805B,,9.865B,,,-26.00M,1.248B
2016-01,334.00M,,334.00M,512.00M,,620.00M,,110.00M,373.00M,,,1.467B,,,,,,,,,,980.00M,1.278B,67.00M,1.345B,28.00M,211.00M,318.00M,2.882B,4.349B,286.00M,,,10.00M,296.00M,11.00M,307.00M,90.00M,,,,245.00M,,245.00M,1.334B,1.396B,,132.00M,2.349B,1.00B,,1.00B,,153.00M,153.00M,,138.00M,1.359B,3.708B,4.226B,5.857B,,9.40B,,,-42.00M,641.00M
2015-10,474.00M,0.00,474.00M,124.00M,,224.00M,,121.00M,347.00M,244.00M,,1.427B,,,,,,,,,,701.00M,1.274B,77.00M,1.351B,28.00M,,326.00M,2.406B,3.833B,178.00M,,,10.00M,188.00M,3.00M,191.00M,22.00M,,350.00M,,350.00M,,350.00M,982.00M,1.062B,,123.00M,1.887B,500.00M,,500.00M,,157.00M,157.00M,,184.00M,895.00M,2.782B,4.114B,5.914B,,8.945B,,,-32.00M,1.051B
2015-07,808.00M,889.00M,1.697B,91.00M,,175.00M,,94.00M,337.00M,231.00M,,2.56B,0.0,7.00M,192.00M,1.07B,,188.00M,286.00M,1.743B,-1.061B,682.00M,1.266B,87.00M,1.353B,27.00M,5.00M,341.00M,2.408B,4.968B,190.00M,,,10.00M,200.00M,10.00M,210.00M,24.00M,,,,,,,1.028B,1.099B,,128.00M,1.744B,500.00M,,500.00M,,152.00M,152.00M,,172.00M,892.00M,2.636B,3.00M,6.027B,4.007B,7.675B,,,-30.00M,2.332B
2015-04,1.193B,891.00M,2.084B,210.00M,,218.00M,,100.00M,330.00M,135.00M,,2.867B,,,,,,,,,,671.00M,1.432B,183.00M,1.615B,32.00M,,110.00M,2.428B,5.295B,286.00M,,230.00M,10.00M,526.00M,3.00M,529.00M,80.00M,,,,,,,1.126B,1.206B,,62.00M,2.126B,499.00M,,499.00M,,145.00M,145.00M,,204.00M,848.00M,2.974B,3.925B,6.082B,,7.666B,,,-20.00M,2.321B
2015-01,482.00M,885.00M,1.367B,459.00M,,605.00M,,103.00M,354.00M,149.00M,,2.578B,,,,,,,,,,643.00M,1.688B,187.00M,1.875B,35.00M,,114.00M,2.667B,5.245B,273.00M,,,10.00M,283.00M,10.00M,293.00M,138.00M,,,,,,,1.242B,1.314B,,165.00M,2.109B,499.00M,,499.00M,,83.00M,83.00M,,200.00M,782.00M,2.891B,3.822B,5.652B,,7.098B,,,-22.00M,2.354B
2014-10,542.00M,1.047B,1.589B,140.00M,,231.00M,,119.00M,358.00M,140.00M,,2.437B,,,,,,,,,,629.00M,1.639B,186.00M,1.825B,31.00M,,116.00M,2.601B,5.038B,198.00M,,,10.00M,208.00M,3.00M,211.00M,34.00M,,,,,,,869.00M,947.00M,,29.00M,1.36B,499.00M,,499.00M,,52.00M,52.00M,,200.00M,751.00M,2.111B,3.687B,5.791B,,6.544B,,,-7.00M,2.927B
2014-07,849.00M,1.065B,1.914B,115.00M,,150.00M,,115.00M,289.00M,124.00M,,2.621B,0.0,6.00M,192.00M,973.00M,,127.00M,273.00M,1.571B,-982.00M,589.00M,1.323B,133.00M,1.456B,31.00M,,504.00M,2.58B,5.201B,145.00M,,,10.00M,155.00M,10.00M,165.00M,36.00M,,,,,,,784.00M,852.00M,,106.00M,1.421B,499.00M,,499.00M,,3.00M,3.00M,,166.00M,702.00M,2.123B,3.00M,5.949B,3.558B,6.43B,,,-2.00M,3.078B
2014-04,1.574B,1.059B,2.633B,277.00M,,279.00M,,116.00M,273.00M,137.00M,,3.438B,,,,,,,,,,566.00M,1.313B,155.00M,1.468B,31.00M,,107.00M,2.172B,5.61B,193.00M,,277.00M,,470.00M,3.00M,473.00M,108.00M,,,,,,,772.00M,851.00M,,36.00M,1.683B,499.00M,,499.00M,,,,,190.00M,689.00M,2.372B,3.471B,6.033B,,6.278B,,,12.00M,3.238B
2014-01,625.00M,706.00M,1.331B,435.00M,,658.00M,,127.00M,290.00M,135.00M,,2.541B,,,,,,,,,,573.00M,1.295B,158.00M,1.453B,45.00M,,106.00M,2.177B,4.718B,225.00M,,,10.00M,235.00M,10.00M,245.00M,133.00M,,,,,,,1.123B,1.198B,,32.00M,1.79B,499.00M,,499.00M,,,,,194.00M,693.00M,2.483B,3.376B,5.103B,,6.254B,,,10.00M,2.235B
2013-10,417.00M,699.00M,1.116B,137.00M,,342.00M,,142.00M,228.00M,122.00M,,1.95B,,,,,,,,,,563.00M,1.25B,158.00M,1.408B,45.00M,,102.00M,2.118B,4.068B,168.00M,,,10.00M,178.00M,3.00M,181.00M,39.00M,,,,,,,702.00M,782.00M,,23.00M,1.153B,499.00M,,499.00M,,,,,192.00M,691.00M,1.844B,2.995B,5.196B,,5.986B,,,19.00M,2.224B
2013-07,1.009B,652.00M,1.661B,130.00M,,192.00M,,98.00M,235.00M,166.00M,,2.396B,0.0,6.00M,191.00M,949.00M,,92.00M,262.00M,1.50B,-945.00M,555.00M,1.246B,149.00M,1.395B,83.00M,,1.057B,3.09B,5.486B,137.00M,,,10.00M,147.00M,10.00M,157.00M,35.00M,,,,,,,730.00M,802.00M,,68.00M,1.28B,499.00M,,499.00M,,,,,167.00M,675.00M,1.955B,3.00M,5.262B,3.198B,4.952B,,,20.00M,3.531B
2013-04,1.412B,583.00M,1.995B,312.00M,,313.00M,,72.00M,184.00M,136.00M,,2.70B,,,,,,,,,,588.00M,2.159B,165.00M,2.324B,88.00M,,110.00M,3.11B,5.81B,231.00M,,274.00M,,505.00M,3.00M,508.00M,109.00M,,,,,,,607.00M,679.00M,,39.00M,1.546B,499.00M,,499.00M,,,,,195.00M,694.00M,2.24B,3.245B,5.334B,,5.038B,,,29.00M,3.57B
2013-01,399.00M,279.00M,678.00M,541.00M,,698.00M,,110.00M,284.00M,142.00M,,1.912B,,,,,,,,,,599.00M,2.191B,187.00M,2.378B,88.00M,,112.00M,3.177B,5.089B,213.00M,,,10.00M,223.00M,10.00M,233.00M,143.00M,,,,,,,933.00M,1.001B,,36.00M,1.596B,499.00M,,499.00M,,,,,202.00M,701.00M,2.297B,3.186B,4.563B,,4.986B,,,29.00M,2.792B
2012-10,216.00M,342.00M,558.00M,184.00M,,349.00M,,85.00M,209.00M,133.00M,,1.334B,,,,,,,,,,595.00M,2.191B,201.00M,2.392B,75.00M,,98.00M,3.16B,4.494B,167.00M,,,10.00M,177.00M,3.00M,180.00M,38.00M,,,,,,,630.00M,699.00M,,22.00M,1.074B,499.00M,,499.00M,,,,,176.00M,675.00M,1.749B,3.114B,4.543B,,4.941B,,,29.00M,2.745B
2012-07,393.00M,351.00M,744.00M,142.00M,,195.00M,,65.00M,290.00M,183.00M,,1.523B,0.0,17.00M,191.00M,895.00M,,79.00M,213.00M,1.395B,-852.00M,543.00M,1.286B,207.00M,1.493B,75.00M,,1.05B,3.161B,4.684B,139.00M,,0.00,10.00M,149.00M,10.00M,159.00M,36.00M,,,,,,,729.00M,793.00M,,63.00M,1.265B,499.00M,,499.00M,,,,,166.00M,675.00M,1.94B,3.00M,4.612B,3.015B,4.911B,,,25.00M,2.744B
2012-04,859.00M,663.00M,1.522B,294.00M,,299.00M,,65.00M,325.00M,119.00M,,2.33B,,,,,,,,,,555.00M,1.883B,138.00M,2.021B,90.00M,18.00M,102.00M,2.786B,5.116B,209.00M,,257.00M,10.00M,476.00M,3.00M,479.00M,,,,,,,,368.00M,375.00M,,468.00M,1.587B,499.00M,,499.00M,,,,,195.00M,694.00M,2.281B,0.00,4.677B,3.007B,4.878B,,,29.00M,2.835B
2012-01,277.00M,682.00M,959.00M,592.00M,,673.00M,,91.00M,330.00M,121.00M,,2.174B,,,,,,,,,,564.00M,1.886B,134.00M,2.02B,59.00M,41.00M,104.00M,2.788B,4.962B,212.00M,,,10.00M,222.00M,21.00M,243.00M,,,,,500.00M,,500.00M,586.00M,593.00M,,498.00M,2.053B,499.00M,,499.00M,,,,,187.00M,686.00M,2.739B,0.00,3.991B,2.975B,4.752B,,,9.00M,2.223B
2011-10,333.00M,718.00M,1.051B,166.00M,,305.00M,,93.00M,321.00M,110.00M,,1.88B,,,,,,,,,,560.00M,1.886B,151.00M,2.037B,59.00M,41.00M,106.00M,2.803B,4.683B,168.00M,,,10.00M,178.00M,7.00M,185.00M,,,,,500.00M,,500.00M,379.00M,385.00M,,372.00M,1.636B,499.00M,,499.00M,,,,,187.00M,686.00M,2.322B,0.00,3.917B,2.919B,4.484B,,,9.00M,2.361B
2011-07,722.00M,699.00M,1.421B,171.00M,,243.00M,,82.00M,414.00M,94.00M,,2.254B,0.0,2.00M,187.00M,1.07B,,36.00M,229.00M,1.524B,-963.00M,561.00M,1.886B,180.00M,2.066B,63.00M,55.00M,111.00M,2.856B,5.11B,129.00M,,,10.00M,139.00M,21.00M,160.00M,31.00M,,,,500.00M,,500.00M,820.00M,877.00M,,22.00M,1.805B,499.00M,,499.00M,,,,,190.00M,689.00M,2.494B,3.00M,4.031B,2.883B,4.316B,,,15.00M,2.616B
2011-04,1.369B,459.00M,1.828B,266.00M,,268.00M,,65.00M,383.00M,100.00M,,2.644B,,,,,,,,,,565.00M,1.91B,203.00M,2.113B,81.00M,53.00M,111.00M,2.923B,5.567B,196.00M,,209.00M,10.00M,415.00M,7.00M,422.00M,,,,,500.00M,,500.00M,337.00M,344.00M,,523.00M,2.044B,498.00M,,498.00M,,,,,204.00M,702.00M,2.746B,0.00,4.088B,2.835B,4.117B,,,15.00M,2.821B
2011-01,433.00M,459.00M,892.00M,481.00M,,604.00M,,76.00M,337.00M,115.00M,,2.024B,,,,,,,,,,576.00M,1.911B,222.00M,2.133B,89.00M,48.00M,109.00M,2.955B,4.979B,199.00M,,1.00M,10.00M,210.00M,21.00M,231.00M,,,,,,,,564.00M,571.00M,,504.00M,1.504B,998.00M,,998.00M,,,,,205.00M,1.203B,2.707B,0.00,3.40B,2.82B,3.959B,,,11.00M,2.272B
2010-10,112.00M,1.062B,1.174B,147.00M,,288.00M,,77.00M,363.00M,108.00M,,2.01B,,,,,,,,,,547.00M,1.911B,242.00M,2.153B,89.00M,45.00M,99.00M,2.933B,4.943B,158.00M,,1.00M,10.00M,169.00M,7.00M,176.00M,,,,,,,,360.00M,367.00M,,417.00M,1.136B,998.00M,,998.00M,,,,,194.00M,1.192B,2.328B,0.00,3.327B,2.762B,3.486B,,,12.00M,2.615B
2010-07,214.00M,1.408B,1.622B,135.00M,,162.00M,,57.00M,337.00M,117.00M,,2.295B,0.0,4.00M,202.00M,898.00M,,59.00M,229.00M,1.392B,-882.00M,510.00M,1.914B,256.00M,2.17B,91.00M,41.00M,91.00M,2.903B,5.198B,143.00M,,14.00M,10.00M,167.00M,21.00M,188.00M,,,,,,,,387.00M,394.00M,,390.00M,1.221B,998.00M,,998.00M,,,,,158.00M,1.156B,2.377B,3.00M,3.397B,2.725B,3.315B,,,11.00M,2.821B
2010-04,430.00M,1.499B,1.929B,204.00M,,205.00M,,60.00M,275.00M,108.00M,,2.577B,,,,,,,,,,518.00M,1.853B,252.00M,2.105B,92.00M,44.00M,91.00M,2.85B,5.427B,166.00M,,283.00M,10.00M,459.00M,7.00M,466.00M,,,,,,,,310.00M,310.00M,,401.00M,1.407B,998.00M,,998.00M,,,,,164.00M,1.162B,2.569B,0.00,3.445B,2.668B,3.266B,,,11.00M,2.858B
2010-01,337.00M,609.00M,946.00M,468.00M,,491.00M,,86.00M,313.00M,80.00M,,1.916B,,,,,,,,,,518.00M,1.853B,269.00M,2.122B,92.00M,43.00M,87.00M,2.862B,4.778B,159.00M,,2.00M,10.00M,171.00M,21.00M,192.00M,,,,,,,,511.00M,511.00M,,476.00M,1.354B,998.00M,,998.00M,,,,,170.00M,1.168B,2.522B,0.00,2.869B,2.599B,3.22B,,,8.00M,2.256B
2009-10,313.00M,614.00M,927.00M,160.00M,,258.00M,,67.00M,293.00M,91.00M,,1.636B,,,,,,,,,,522.00M,1.824B,258.00M,2.082B,92.00M,41.00M,81.00M,2.818B,4.454B,114.00M,,,10.00M,124.00M,7.00M,131.00M,,,,,,,,355.00M,355.00M,,373.00M,1.02B,998.00M,,998.00M,,,,,164.00M,1.162B,2.182B,0.00,2.759B,2.565B,3.059B,,,7.00M,2.272B
2009-07,679.00M,668.00M,1.347B,135.00M,,202.00M,,43.00M,272.00M,92.00M,,1.968B,0.0,3.00M,202.00M,873.00M,,40.00M,216.00M,1.334B,-807.00M,527.00M,1.754B,291.00M,2.045B,97.00M,36.00M,153.00M,2.858B,4.826B,103.00M,,0.00,10.00M,113.00M,21.00M,134.00M,,,,,,,,360.00M,367.00M,,375.00M,1.084B,998.00M,,998.00M,,,,,187.00M,1.185B,2.269B,3.00M,2.849B,2.544B,2.846B,,,7.00M,2.557B
2009-04,1.222B,250.07M,1.472B,272.68M,,274.47M,,53.37M,343.59M,75.61M,,2.219B,,,,,,,,,,535.60M,1.694B,202.02M,1.896B,268.40M,36.57M,76.95M,2.814B,5.033B,147.66M,,149.36M,,297.02M,6.659M,303.68M,,,,,,,,298.94M,298.94M,,519.29M,1.309B,998.14M,,998.14M,,,,1.368M,125.81M,1.124B,2.433B,0.00,2.926B,2.495B,2.825B,,,2.539M,2.599B
2009-01,338.71M,209.14M,547.85M,441.57M,,559.28M,,90.55M,293.68M,78.51M,,1.570B,,,,,,,,,,539.85M,1.693B,219.42M,1.913B,254.33M,36.37M,76.78M,2.820B,4.390B,122.54M,,0.187M,,122.73M,20.60M,143.33M,,,,,,,,471.90M,471.90M,,457.98M,1.236B,998.09M,,998.09M,,,,1.592M,120.06M,1.118B,2.354B,0.00,2.446B,2.457B,2.861B,,,-8.286M,2.034B
2008-10,169.56M,289.03M,458.59M,142.98M,157.97M,300.95M,,58.24M,,90.53M,327.53M,1.236B,,,,,,,,1.218B,-684.57M,533.43M,1.694B,248.35M,1.942B,,27.65M,366.82M,2.870B,4.106B,131.24M,,,,131.24M,116.48M,247.72M,,,,,,,,339.86M,339.86M,,440.16M,1.028B,998.04M,,998.04M,,,,7.182M,125.76M,1.124B,2.152B,0.00,2.370B,2.429B,2.853B,,,1.155M,1.947B
2008-07,413.34M,414.49M,827.83M,127.23M,,187.79M,,45.46M,610.75M,101.73M,,1.774B,0.0,3.463M,27.76M,766.49M,,213.74M,180.62M,1.192B,-684.57M,507.50M,1.698B,273.09M,1.971B,288.31M,52.49M,73.55M,2.893B,4.667B,115.20M,,16.21M,,131.41M,20.60M,152.01M,,,,,,,,359.94M,359.94M,,687.24M,1.467B,998.00M,,998.00M,,,,6.907M,121.49M,1.119B,2.587B,3.226M,2.444B,2.405B,2.786B,,,7.722M,2.073B
2008-04,471.50M,425.40M,896.90M,225.05M,0.457M,225.50M,,61.30M,,86.79M,358.00M,1.628B,,,,,,,,1.080B,-610.34M,469.68M,1.698B,290.12M,1.989B,,95.32M,366.39M,2.920B,4.548B,156.53M,,,,156.53M,179.42M,335.95M,,,,,,,,280.24M,280.24M,,773.40M,1.390B,997.95M,,997.95M,,,,6.18M,104.28M,1.102B,2.492B,3.20M,2.509B,2.369B,2.839B,6.615M,1.523M,8.138M,2.050B
