,NetIncome,Gain/LossonSaleBusiness,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2018-04,1.186B,,,56.00M,8.00M,64.00M,64.00M,26.00M,,92.00M,,-8.00M,252.00M,,28.00M,335.00M,,-15.00M,15.00M,615.00M,,1.975B,-20.00M,,-20.00M,,-1.00M,-76.00M,-8.00M,-105.00M,-653.00M,-653.00M,,-19.00M,-19.00M,-100.00M,-100.00M,55.00M,-10.00M,-727.00M,700.00M,1.143B,-10.00M,1.833B,,0.00,-653.00M,-19.00M
2018-01,183.00M,,,57.00M,5.00M,62.00M,62.00M,-21.00M,,94.00M,,5.00M,-385.00M,,-40.00M,115.00M,,56.00M,183.00M,-71.00M,,252.00M,-27.00M,,-27.00M,,-362.00M,-1.00M,82.00M,-308.00M,228.00M,228.00M,,-85.00M,-85.00M,-100.00M,-100.00M,67.00M,-10.00M,100.00M,648.00M,44.00M,8.00M,700.00M,,400.00M,-172.00M,-85.00M
2017-10,-2.00M,,,60.00M,5.00M,65.00M,65.00M,-4.00M,,97.00M,,2.00M,-12.00M,,-25.00M,61.00M,,7.00M,-267.00M,-236.00M,,-78.00M,-50.00M,,-50.00M,,,-2.00M,-76.00M,-128.00M,387.00M,387.00M,,-168.00M,-168.00M,-105.00M,-105.00M,83.00M,-39.00M,158.00M,701.00M,-48.00M,-5.00M,648.00M,,400.00M,-13.00M,-168.00M
2017-07,38.00M,,,58.00M,4.00M,62.00M,62.00M,53.00M,,85.00M,,4.00M,80.00M,,-18.00M,-535.00M,,-50.00M,-9.00M,-532.00M,,-290.00M,-52.00M,,76.00M,,0.00,-6.00M,63.00M,5.00M,-12.00M,-12.00M,,-366.00M,-366.00M,-88.00M,-88.00M,76.00M,-93.00M,-483.00M,1.35B,-768.00M,15.00M,701.00M,,0.00,-12.00M,-366.00M
2017-04,964.00M,,,55.00M,7.00M,62.00M,62.00M,-5.00M,,71.00M,,2.00M,315.00M,,63.00M,442.00M,,-28.00M,-84.00M,708.00M,,1.802B,-46.00M,,-46.00M,,,2.00M,-21.00M,-65.00M,-650.00M,-650.00M,,-90.00M,-90.00M,-88.00M,-88.00M,64.00M,-10.00M,-774.00M,392.00M,963.00M,-5.00M,1.35B,,0.00,-650.00M,-90.00M
2017-01,13.00M,,,52.00M,5.00M,57.00M,57.00M,-22.00M,,81.00M,,6.00M,-382.00M,,-8.00M,95.00M,,70.00M,382.00M,157.00M,,292.00M,-46.00M,,-46.00M,,0.00,-1.00M,-8.00M,-55.00M,50.00M,50.00M,,-208.00M,-208.00M,-88.00M,-88.00M,43.00M,-6.00M,-209.00M,360.00M,28.00M,4.00M,392.00M,,50.00M,0.00,-208.00M
2016-10,-30.00M,,,49.00M,6.00M,55.00M,55.00M,-9.00M,,89.00M,,1.00M,-52.00M,,-50.00M,-2.00M,,8.00M,-215.00M,-311.00M,,-205.00M,-86.00M,,-86.00M,,,195.00M,-11.00M,98.00M,100.00M,100.00M,,-175.00M,-175.00M,-89.00M,-89.00M,43.00M,-45.00M,-166.00M,638.00M,-273.00M,-5.00M,360.00M,,100.00M,0.00,-175.00M
2016-07,-40.00M,,,50.00M,13.00M,63.00M,63.00M,59.00M,,81.00M,,6.00M,90.00M,,5.00M,-535.00M,,-47.00M,37.00M,-450.00M,,-281.00M,-73.00M,,33.00M,,0.00,-143.00M,9.00M,-207.00M,0.00,0.00,,-74.00M,-74.00M,-80.00M,-80.00M,72.00M,-73.00M,-155.00M,1.289B,-643.00M,-8.00M,638.00M,,0.00,0.00,-74.00M
2016-04,672.00M,,,51.00M,11.00M,62.00M,62.00M,61.00M,,63.00M,,1.00M,411.00M,,3.00M,409.00M,,-18.00M,-52.00M,753.00M,,1.612B,-55.00M,,-55.00M,,463.00M,-326.00M,3.00M,85.00M,-245.00M,-245.00M,,-465.00M,-465.00M,-77.00M,-77.00M,40.00M,-12.00M,-759.00M,334.00M,938.00M,17.00M,1.289B,,750.00M,-995.00M,-465.00M
2016-01,24.00M,,,49.00M,9.00M,58.00M,58.00M,2.00M,,68.00M,,0.00,-412.00M,,11.00M,109.00M,,62.00M,395.00M,165.00M,,317.00M,-324.00M,,-324.00M,,,0.00,1.00M,-323.00M,395.00M,395.00M,,-472.00M,-472.00M,-79.00M,-79.00M,38.00M,-6.00M,-124.00M,474.00M,-130.00M,-10.00M,334.00M,,395.00M,,-472.00M
2015-10,-31.00M,,,45.00M,10.00M,55.00M,55.00M,7.00M,,69.00M,,10.00M,-45.00M,,-29.00M,-6.00M,,-19.00M,-199.00M,-298.00M,,-188.00M,-70.00M,,-70.00M,,,887.00M,-1.00M,816.00M,350.00M,350.00M,,-1.253B,-1.253B,-82.00M,-82.00M,47.00M,-23.00M,-961.00M,808.00M,-333.00M,-1.00M,474.00M,,350.00M,,-1.253B
2015-07,14.00M,,,42.00M,19.00M,61.00M,61.00M,-63.00M,34.00M,73.00M,51.00M,7.00M,24.00M,,4.00M,-314.00M,,-68.00M,44.00M,-310.00M,,-133.00M,-78.00M,,41.00M,,0.00,1.00M,-10.00M,-87.00M,0.00,0.00,,-11.00M,-11.00M,-71.00M,-71.00M,91.00M,-165.00M,-156.00M,1.193B,-376.00M,-9.00M,808.00M,,0.00,0.00,-11.00M
2015-04,501.00M,,,40.00M,19.00M,59.00M,59.00M,26.00M,263.00M,62.00M,-13.00M,-22.00M,388.00M,,6.00M,233.00M,,-46.00M,18.00M,599.00M,,1.475B,-67.00M,,-67.00M,,-19.00M,-12.00M,38.00M,-60.00M,0.00,0.00,,-680.00M,-680.00M,-69.00M,-69.00M,28.00M,13.00M,-708.00M,482.00M,707.00M,4.00M,1.193B,,0.00,0.00,-680.00M
2015-01,-66.00M,,,39.00M,18.00M,57.00M,57.00M,10.00M,,61.00M,-20.00M,7.00M,-377.00M,,15.00M,84.00M,,123.00M,471.00M,316.00M,,365.00M,-61.00M,,-61.00M,,-67.00M,156.00M,-2.00M,26.00M,0.00,0.00,,-440.00M,-440.00M,-69.00M,-69.00M,54.00M,20.00M,-435.00M,542.00M,-44.00M,-16.00M,482.00M,,0.00,,-440.00M
2014-10,-84.00M,,,36.00M,18.00M,54.00M,54.00M,12.00M,,61.00M,-18.00M,12.00M,-60.00M,,-3.00M,32.00M,,-13.00M,-111.00M,-155.00M,,-118.00M,-55.00M,,-55.00M,,-9.00M,11.00M,-8.00M,-61.00M,0.00,0.00,,-114.00M,-114.00M,-74.00M,-74.00M,47.00M,18.00M,-123.00M,849.00M,-302.00M,-5.00M,542.00M,,0.00,,-114.00M
2014-07,-29.00M,,,34.00M,16.00M,50.00M,50.00M,61.00M,0.00,56.00M,-30.00M,8.00M,110.00M,,4.00M,-316.00M,,-62.00M,85.00M,-179.00M,,-84.00M,-65.00M,,17.00M,,-381.00M,-14.00M,-8.00M,-468.00M,,,,-152.00M,-152.00M,-55.00M,-55.00M,4.00M,29.00M,-174.00M,1.574B,-726.00M,1.00M,849.00M,,,,-152.00M
2014-04,984.00M,,,35.00M,12.00M,47.00M,47.00M,5.00M,0.00,49.00M,-9.00M,5.00M,381.00M,,11.00M,243.00M,,-24.00M,-304.00M,307.00M,,1.388B,-28.00M,,-28.00M,,-24.00M,-353.00M,-4.00M,-409.00M,,,,-23.00M,-23.00M,-54.00M,-54.00M,36.00M,9.00M,-32.00M,625.00M,947.00M,2.00M,1.574B,,,,-23.00M
2014-01,-37.00M,,,36.00M,14.00M,50.00M,50.00M,-1.00M,,52.00M,-10.00M,6.00M,-315.00M,,15.00M,56.00M,,107.00M,409.00M,272.00M,,332.00M,-46.00M,,-46.00M,,-57.00M,-15.00M,-3.00M,-121.00M,,,,-2.00M,-2.00M,-56.00M,-56.00M,53.00M,10.00M,5.00M,417.00M,216.00M,-8.00M,625.00M,,,,-2.00M
2013-10,-51.00M,,,39.00M,11.00M,50.00M,50.00M,110.00M,,47.00M,-33.00M,5.00M,-154.00M,,-44.00M,32.00M,,-20.00M,-132.00M,-318.00M,,-190.00M,-47.00M,,-47.00M,,1.016B,-13.00M,-7.00M,949.00M,,,,-1.40B,-1.40B,-55.00M,-55.00M,72.00M,33.00M,-1.35B,1.009B,-591.00M,-1.00M,417.00M,,,,-1.40B
2013-07,-16.00M,,,42.00M,21.00M,63.00M,63.00M,-35.00M,0.00,53.00M,-4.00M,7.00M,80.00M,,-30.00M,-346.00M,,-67.00M,101.00M,-262.00M,,-194.00M,-46.00M,,18.00M,2.00M,-8.00M,-77.00M,-7.00M,-138.00M,,,,0.00,0.00,-51.00M,-51.00M,-20.00M,3.00M,-68.00M,1.412B,-400.00M,-3.00M,1.009B,,,,0.00
2013-04,822.00M,,,42.00M,15.00M,57.00M,57.00M,13.00M,46.00M,46.00M,-9.00M,3.00M,385.00M,,38.00M,292.00M,,-44.00M,-200.00M,471.00M,,1.449B,-32.00M,,-32.00M,0.00,-6.00M,-306.00M,-1.00M,-345.00M,,,,-92.00M,-92.00M,-51.00M,-51.00M,44.00M,9.00M,-90.00M,399.00M,1.014B,-1.00M,1.412B,,,,-92.00M
2013-01,71.00M,,,42.00M,16.00M,58.00M,58.00M,7.00M,,47.00M,-12.00M,5.00M,-349.00M,,-25.00M,46.00M,,127.00M,281.00M,80.00M,,256.00M,-47.00M,,-45.00M,-2.00M,0.00,60.00M,-15.00M,-2.00M,,,,-100.00M,-100.00M,-51.00M,-51.00M,68.00M,12.00M,-71.00M,216.00M,183.00M,0.00,399.00M,,,,-100.00M
2012-10,-72.00M,,,40.00M,14.00M,54.00M,54.00M,97.00M,,49.00M,-44.00M,4.00M,-113.00M,,-16.00M,12.00M,,-4.00M,-112.00M,-233.00M,,-145.00M,-70.00M,,-70.00M,,57.00M,15.00M,-2.00M,0.00,,,,-100.00M,-100.00M,-50.00M,-50.00M,73.00M,44.00M,-33.00M,393.00M,-178.00M,1.00M,216.00M,,,,-100.00M
2012-07,4.00M,,,41.00M,16.00M,57.00M,57.00M,-56.00M,0.00,49.00M,-8.00M,8.00M,133.00M,,-72.00M,-318.00M,,-75.00M,96.00M,-236.00M,,-182.00M,-71.00M,,-10.00M,,-392.00M,321.00M,-1.00M,-143.00M,0.00,0.00,,-107.00M,-107.00M,-44.00M,-44.00M,4.00M,8.00M,-139.00M,859.00M,-464.00M,-2.00M,393.00M,,,0.00,-107.00M
2012-04,734.00M,,,42.00M,10.00M,52.00M,52.00M,37.00M,0.00,37.00M,-19.00M,1.00M,297.00M,,102.00M,252.00M,,-39.00M,-176.00M,436.00M,,1.278B,-33.00M,,-33.00M,,0.00,16.00M,0.00,-17.00M,-500.00M,-500.00M,,-207.00M,-207.00M,-45.00M,-45.00M,54.00M,19.00M,-679.00M,277.00M,582.00M,0.00,859.00M,,,-500.00M,-207.00M
2012-01,118.00M,,,44.00M,17.00M,61.00M,61.00M,3.00M,,43.00M,-14.00M,8.00M,-426.00M,,60.00M,45.00M,,128.00M,234.00M,41.00M,,260.00M,-48.00M,,-48.00M,,0.00,32.00M,1.00M,-15.00M,,,,-331.00M,-331.00M,-44.00M,-44.00M,61.00M,14.00M,-300.00M,333.00M,-55.00M,-1.00M,277.00M,,,,-331.00M
2011-10,-64.00M,,,44.00M,28.00M,72.00M,72.00M,25.00M,,40.00M,-29.00M,-6.00M,5.00M,,-78.00M,40.00M,,-16.00M,-99.00M,-148.00M,,-110.00M,-44.00M,,-44.00M,,0.00,-20.00M,14.00M,-50.00M,,,,-255.00M,-255.00M,-45.00M,-45.00M,45.00M,29.00M,-226.00M,722.00M,-386.00M,-3.00M,333.00M,,,,-255.00M
2011-07,-57.00M,,,44.00M,19.00M,63.00M,63.00M,19.00M,,41.00M,-12.00M,5.00M,94.00M,,-87.00M,-270.00M,,,-2.00M,-261.00M,,-172.00M,-59.00M,,52.00M,-12.00M,,-224.00M,0.00,-283.00M,0.00,0.00,-235.00M,-250.00M,-485.00M,,0.00,,12.00M,-190.00M,1.369B,-645.00M,-2.00M,722.00M,-235.00M,,0.00,-250.00M
2011-04,688.00M,,,42.00M,19.00M,61.00M,61.00M,29.00M,,39.00M,-18.00M,3.00M,215.00M,,132.00M,257.00M,,,-268.00M,336.00M,,1.138B,-31.00M,,-31.00M,0.00,,8.00M,-1.00M,-24.00M,0.00,0.00,48.00M,-250.00M,-202.00M,,0.00,,18.00M,-184.00M,433.00M,930.00M,6.00M,1.369B,48.00M,,0.00,-250.00M
2011-01,73.00M,,,41.00M,20.00M,61.00M,61.00M,7.00M,,38.00M,-14.00M,6.00M,-333.00M,,19.00M,64.00M,,,337.00M,87.00M,,258.00M,-84.00M,,-84.00M,0.00,,569.00M,34.00M,519.00M,,,61.00M,-530.00M,-469.00M,,0.00,,14.00M,-455.00M,112.00M,322.00M,-1.00M,433.00M,61.00M,,,-530.00M
2010-10,-70.00M,,,37.00M,19.00M,56.00M,56.00M,57.00M,,35.00M,-27.00M,5.00M,-12.00M,,-134.00M,-90.00M,,,-31.00M,-267.00M,,-211.00M,-54.00M,,-51.00M,-3.00M,,344.00M,-5.00M,285.00M,,,126.00M,-330.00M,-204.00M,,0.00,,27.00M,-177.00M,214.00M,-103.00M,1.00M,112.00M,126.00M,,,-330.00M
2010-07,-106.00M,,58.00M,37.00M,21.00M,58.00M,58.00M,5.00M,,36.00M,-7.00M,8.00M,69.00M,,-23.00M,-304.00M,,,77.00M,-203.00M,,-151.00M,-40.00M,,26.00M,-10.00M,-77.00M,89.00M,-3.00M,-31.00M,,,-326.00M,-150.00M,-476.00M,,,,28.00M,-32.00M,430.00M,-214.00M,-2.00M,214.00M,-326.00M,,,-150.00M
2010-04,576.00M,,0.00,36.00M,19.00M,55.00M,55.00M,-26.00M,,34.00M,-6.00M,5.00M,264.00M,,48.00M,338.00M,,,-244.00M,406.00M,,1.044B,-37.00M,,-34.00M,-3.00M,0.00,-895.00M,-2.00M,-934.00M,,,176.00M,-200.00M,-24.00M,,,,5.00M,-19.00M,337.00M,91.00M,2.00M,430.00M,176.00M,,,-200.00M
2010-01,114.00M,,-58.00M,36.00M,32.00M,68.00M,68.00M,6.00M,,38.00M,-2.00M,6.00M,-318.00M,,51.00M,68.00M,,,272.00M,73.00M,,245.00M,-34.00M,,-34.00M,0.00,-19.00M,-146.00M,145.00M,-54.00M,,,85.00M,-250.00M,-165.00M,,,,-3.00M,-168.00M,313.00M,23.00M,1.00M,337.00M,85.00M,,,-250.00M
2009-10,-68.00M,,,39.00M,36.00M,75.00M,75.00M,-18.00M,,27.00M,-3.00M,4.00M,-13.00M,,-56.00M,-48.00M,,,-40.00M,-157.00M,,-140.00M,-32.00M,,-32.00M,0.00,,57.00M,-3.00M,22.00M,,,65.00M,-300.00M,-235.00M,,,,-13.00M,-248.00M,679.00M,-366.00M,0.00,313.00M,65.00M,,,-300.00M
2009-07,-71.00M,,,44.00M,42.00M,86.00M,86.00M,-13.00M,,39.00M,-2.00M,3.00M,128.00M,,-52.00M,-181.00M,,,-3.00M,-108.00M,,-66.00M,-54.00M,,17.00M,,-153.00M,-248.00M,-2.00M,-457.00M,,,72.00M,-100.00M,-28.00M,,,,2.00M,-26.00M,1.222B,-549.00M,6.00M,679.00M,72.00M,,,-100.00M
2009-04,485.00M,0.0,0.00,36.00M,27.00M,63.00M,63.00M,2.00M,,37.00M,-1.00M,3.00M,171.00M,,154.00M,196.00M,,,-175.00M,346.00M,,935.00M,-31.00M,,-31.00M,,-8.00M,-40.00M,-4.00M,-83.00M,,,31.00M,0.00,31.00M,,,,0.00,31.00M,339.00M,883.00M,0.00,1.222B,31.00M,,,0.00
2009-01,85.00M,0.0,0.00,36.00M,30.00M,66.00M,66.00M,-5.00M,,35.00M,0.00,2.00M,-300.00M,,7.00M,10.00M,,,243.00M,-40.00M,,143.00M,-50.00M,,-50.00M,,0.00,98.00M,2.00M,50.00M,,,18.00M,-35.00M,-17.00M,,,,-4.00M,-21.00M,169.00M,172.00M,-2.00M,339.00M,18.00M,,,-35.00M
2008-10,-52.00M,,,33.00M,27.00M,60.00M,60.00M,56.00M,,22.00M,-6.00M,5.00M,-17.00M,,-121.00M,-105.00M,,,-42.00M,-285.00M,,-200.00M,-67.00M,,-67.00M,,,123.00M,2.00M,58.00M,,,77.00M,-165.00M,-88.00M,,,,-6.00M,-94.00M,413.00M,-236.00M,-8.00M,169.00M,77.00M,,,-165.00M
2008-07,32.82M,,-84.38M,85.58M,74.48M,160.06M,160.06M,91.36M,,82.91M,-18.98M,7.572M,-139.54M,,-33.47M,-229.45M,,,129.15M,-273.31M,,-1.949M,-210.66M,,-166.66M,,-30.23M,460.40M,18.04M,237.54M,,,170.89M,-500.00M,-329.11M,,,,8.964M,-320.15M,471.50M,-84.56M,1.201M,413.00M,170.89M,,,-500.00M
2008-04,328.93M,0.0,0.388M,3.52M,2.058M,5.578M,5.578M,-12.90M,,0.559M,5.482M,2.12M,377.01M,,-36.31M,196.34M,,,-234.16M,302.89M,,633.04M,-38.69M,,-38.69M,,2.828M,-364.64M,4.309M,-396.20M,,,-32.03M,-50.00M,-82.03M,,,,-0.769M,-82.80M,230.15M,154.04M,3.232M,471.50M,-32.03M,,,-50.00M
2008-01,136.05M,0.0,48.83M,1.678M,7.967M,9.645M,9.645M,13.30M,,29.53M,-7.506M,-26.94M,-216.00M,,90.46M,-6.895M,,134.57M,155.22M,157.36M,,360.27M,8.631M,,8.631M,,-129.12M,61.23M,-102.68M,-161.94M,,,10.66M,-0.002M,10.66M,,,,-6.556M,4.104M,146.07M,202.44M,-9.222M,230.15M,10.66M,,,-0.002M
2007-10,-20.80M,,-62.84M,26.22M,15.49M,41.72M,41.72M,7.247M,,,,30.25M,-10.47M,,-34.69M,36.00M,,-134.57M,-13.21M,-156.93M,,-161.36M,-65.28M,,-65.28M,,-2.475M,191.02M,110.33M,233.60M,,,53.48M,-250.00M,-196.52M,,,,9.361M,-187.15M,255.20M,-114.92M,5.789M,146.07M,53.48M,,,-250.00M
2007-07,-12.50M,,-46.85M,25.61M,35.99M,61.60M,61.60M,28.66M,,,,-67.99M,53.08M,,-43.08M,-4.448M,,-63.82M,-38.95M,-97.23M,,-87.90M,-63.95M,-0.022M,-15.64M,,-2.515M,144.36M,-83.31M,-6.576M,,0.00,61.90M,0.00,61.90M,,,,19.42M,81.32M,264.57M,-13.16M,3.79M,255.20M,61.90M,,,0.00
2007-04,367.21M,,10.47M,25.23M,16.20M,41.44M,41.44M,-2.376M,,,,21.75M,155.90M,,35.96M,-23.51M,,92.58M,8.821M,269.74M,,708.23M,-36.40M,0.00,-36.40M,,-1.207B,-252.17M,42.76M,-1.453B,,999.07M,26.73M,-301.38M,-274.65M,,,,-6.111M,718.31M,286.33M,-26.55M,4.799M,264.57M,26.73M,,,-301.38M
2007-01,145.36M,,2.728M,21.06M,6.388M,27.45M,27.45M,-6.552M,,,,23.98M,-215.49M,,66.98M,22.62M,,84.90M,91.15M,50.17M,,243.14M,-23.68M,0.022M,-23.66M,,-1.991M,42.63M,-2.026M,35.94M,,-0.874M,41.30M,-205.37M,-164.07M,,,,7.967M,-156.98M,166.07M,122.10M,-1.844M,286.33M,41.30M,,,-205.37M
2006-10,-58.93M,,1.97M,22.28M,5.769M,28.04M,28.04M,-2.847M,,,,26.90M,2.604M,,-58.26M,26.35M,,-113.65M,11.11M,-131.84M,,-136.71M,-29.22M,,-29.22M,,-60.00M,125.01M,-4.678M,31.11M,,-0.441M,82.90M,,82.90M,,,,8.753M,91.21M,179.60M,-14.39M,0.862M,166.07M,82.90M,,,
2006-07,-18.85M,,0.596M,25.36M,5.168M,30.53M,30.53M,16.34M,,,,23.81M,47.20M,,-38.08M,-22.20M,,-96.57M,-78.93M,-188.57M,0.00,-136.16M,-22.62M,0.00,-22.62M,,17.80M,11.29M,-5.31M,1.156M,,-0.923M,61.76M,-4.201M,57.56M,,,,5.376M,62.01M,252.97M,-72.99M,-0.378M,179.60M,61.76M,,,-4.201M
2006-04,298.65M,,3.417M,23.12M,5.535M,28.65M,28.65M,-33.67M,,,,24.66M,174.66M,,2.802M,-33.15M,,187.36M,5.643M,337.32M,0.00,659.03M,-11.54M,2.692M,-8.847M,,-2.977M,-313.31M,0.655M,-324.48M,,0.894M,70.00M,-285.00M,-215.01M,,,,8.22M,-205.90M,122.71M,128.65M,1.611M,252.97M,70.00M,,,-285.00M
2006-01,194.78M,,-21.18M,22.62M,5.994M,28.61M,28.61M,-4.128M,,,,53.86M,-245.77M,,70.86M,28.94M,,43.91M,57.00M,-45.06M,-36.42M,170.46M,-22.86M,0.334M,-22.52M,,-33.88M,-85.56M,8.223M,38.09M,,-0.26M,126.08M,-300.18M,-174.10M,,,,12.45M,-161.91M,74.97M,46.64M,1.09M,122.71M,126.08M,,,-300.18M
2005-10,-57.61M,,21.90M,23.14M,6.074M,29.22M,29.22M,2.52M,,,,,12.92M,,-38.49M,30.66M,,-95.88M,,-90.79M,10.98M,-83.78M,-25.06M,,-25.06M,,,286.72M,-14.60M,247.07M,,-0.634M,21.47M,-194.80M,-173.33M,,,,0.939M,-173.03M,83.84M,-9.74M,0.872M,74.97M,21.47M,,,-194.80M
2005-07,-15.92M,,-18.00M,22.72M,6.997M,29.72M,29.72M,60.76M,,,,,44.87M,,-43.45M,-28.72M,,-173.05M,,-183.22M,-16.05M,-110.86M,-13.22M,0.00,-13.22M,,-0.181M,230.50M,-1.001M,216.10M,,-1.018M,68.39M,-209.22M,-140.83M,,,,,-141.85M,120.76M,-36.61M,-0.309M,83.84M,68.39M,,,-209.22M
