,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2014-12,46.48B,46.48B,43.59B,2.898B,,2.098B,,93.00M,-93.00M,,2.098B,800.00M,93.00M,-93.00M,12.00M,-93.00M,719.00M,198.00M,521.00M,-10.00M,-39.00M,472.00M,482.00M,1.06B,248.00M,812.00M,,2.07,-0.04,2.07,2.03,,2.04,-0.04,2.04,2.00,,232.00M,236.00M,0.24,,AOR,Restated
2014-09,44.16B,44.16B,41.30B,2.864B,,2.077B,,95.00M,-95.00M,,2.077B,787.00M,95.00M,-95.00M,22.00M,-95.00M,714.00M,223.00M,491.00M,-14.00M,-8.00M,469.00M,483.00M,1.067B,258.00M,809.00M,,2.08,-0.06,2.08,2.02,,2.05,-0.06,2.05,1.99,,232.00M,235.00M,0.24,,AOR,Restated
2014-06,43.48B,43.48B,40.74B,2.732B,,2.051B,,96.00M,-96.00M,,2.051B,681.00M,96.00M,-96.00M,19.00M,-96.00M,604.00M,185.00M,419.00M,-8.00M,-8.00M,403.00M,411.00M,980.00M,280.00M,700.00M,,1.79,-0.04,1.79,1.75,,1.76,-0.04,1.76,1.72,,231.00M,235.00M,0.24,,AOR,Restated
2014-03,37.83B,37.83B,35.28B,2.551B,,1.489B,0.00,113.00M,-97.00M,,1.946B,605.00M,113.00M,-97.00M,7.00M,-97.00M,515.00M,116.00M,399.00M,-34.00M,5.00M,370.00M,404.00M,868.00M,240.00M,628.00M,,1.59,0.02,1.59,1.61,,1.56,0.02,1.56,1.58,,229.00M,233.00M,0.24,,AOR,Restated
2013-12,34.34B,34.34B,32.49B,1.85B,,1.339B,-18.00M,69.00M,-69.00M,,1.339B,511.00M,69.00M,-69.00M,-24.00M,-69.00M,418.00M,254.00M,164.00M,-99.00M,0.00,65.00M,175.70M,650.00M,163.00M,487.00M,,0.71,-0.43,0.7609,0.28,,0.70,-0.43,0.75,0.28,,230.00M,234.00M,0.24,,AOR,Restated
2013-09,32.98B,32.98B,30.96B,2.021B,,1.30B,-35.00M,59.00M,-59.00M,,1.30B,721.00M,59.00M,-59.00M,-26.00M,-59.00M,636.00M,213.00M,423.00M,-19.00M,0.00,404.00M,446.28M,865.00M,170.00M,695.00M,,1.85,-0.09,1.952,1.76,,1.82,-0.09,1.920,1.74,,229.00M,233.00M,0.24,,AOR,Restated
2013-06,32.24B,32.24B,30.31B,1.93B,,1.26B,-15.00M,59.00M,-59.00M,,1.26B,670.00M,59.00M,-59.00M,-9.00M,-59.00M,602.00M,174.00M,428.00M,-4.00M,0.00,424.00M,438.66M,823.00M,162.00M,661.00M,,1.88,-0.02,1.927,1.86,,1.84,-0.02,1.886,1.83,,227.00M,232.00M,0.20,,AOR,Restated
2013-03,30.64B,30.64B,28.65B,1.992B,,880.00M,-203.00M,70.00M,-48.00M,,1.313B,679.00M,70.00M,-48.00M,-219.00M,-48.00M,412.00M,133.00M,279.00M,-20.00M,,259.00M,416.47M,680.00M,198.00M,482.00M,,1.21,-0.08,1.803,1.13,,1.18,-0.08,1.762,1.10,,232.00M,236.00M,0.20,,AOR,Restated
2012-12,31.10B,31.10B,29.45B,1.645B,,1.147B,0.00,59.00M,-59.00M,,1.147B,498.00M,59.00M,-59.00M,10.00M,-59.00M,449.00M,143.00M,306.00M,-8.00M,,298.00M,306.00M,639.00M,131.00M,508.00M,,1.30,-0.03,1.30,1.27,,1.27,-0.03,1.27,1.24,,235.00M,240.00M,0.20,,AOR,Restated
2012-09,29.76B,29.76B,28.07B,1.683B,,1.033B,-44.00M,55.00M,-55.00M,,1.033B,650.00M,55.00M,-55.00M,-34.00M,-55.00M,561.00M,162.00M,399.00M,2.00M,,401.00M,430.29M,743.00M,127.00M,616.00M,,1.69,0.01,1.823,1.70,,1.66,0.01,1.790,1.67,,236.00M,240.00M,0.20,,AOR,Restated
2012-06,30.70B,30.70B,29.14B,1.561B,,1.05B,65.00M,56.00M,-56.00M,,1.05B,511.00M,56.00M,-56.00M,73.00M,-56.00M,528.00M,149.00M,379.00M,1.00M,,380.00M,332.34M,709.00M,125.00M,584.00M,,1.61,0.00,1.412,1.61,,1.58,0.00,1.386,1.58,,236.00M,240.00M,0.20,,AOR,Restated
2012-03,31.29B,31.29B,29.61B,1.68B,,592.00M,-4.00M,59.00M,-40.00M,,994.00M,686.00M,59.00M,-40.00M,-15.00M,-40.00M,631.00M,134.00M,497.00M,,,521.00M,500.15M,775.00M,85.00M,690.00M,,2.03,,2.043,2.13,,1.98,,1.993,2.08,,243.00M,248.00M,0.20,,AOR,Restated
2011-12,30.84B,30.84B,29.27B,1.566B,,1.047B,-27.00M,64.00M,-64.00M,,1.047B,519.00M,64.00M,-64.00M,-29.00M,-64.00M,426.00M,126.00M,300.00M,,,300.00M,319.01M,627.00M,137.00M,490.00M,,1.22,,1.297,1.22,,1.20,,1.276,1.20,,246.00M,251.00M,0.20,,AOR,Restated
2011-09,30.22B,30.22B,28.57B,1.647B,,1.051B,-112.00M,64.00M,-64.00M,,1.051B,596.00M,64.00M,-64.00M,-112.00M,-64.00M,420.00M,124.00M,296.00M,,,296.00M,374.93M,620.00M,136.00M,484.00M,,1.20,0.00,1.521,1.20,,1.18,0.00,1.496,1.18,,246.00M,250.00M,0.20,,AOR,Restated
2011-06,29.98B,29.98B,28.47B,1.509B,,1.037B,8.00M,64.00M,-64.00M,,1.037B,472.00M,64.00M,-64.00M,8.00M,-64.00M,416.00M,130.00M,286.00M,,,286.00M,280.50M,615.00M,135.00M,480.00M,,1.15,0.00,1.128,1.15,,1.13,0.00,1.108,1.13,,249.00M,254.00M,0.20,,AOR,Restated
2011-03,28.85B,28.85B,27.10B,1.751B,,721.00M,-3.00M,82.00M,-64.00M,,1.128B,623.00M,82.00M,-64.00M,-1.00M,-64.00M,558.00M,136.00M,422.00M,0.00,,422.00M,424.27M,784.00M,144.00M,640.00M,,1.64,0.00,1.649,1.64,,1.60,0.00,1.609,1.61,,255.00M,260.00M,0.18,,AOR,Restated
2010-12,28.25B,28.25B,26.79B,1.461B,,965.00M,-182.00M,53.00M,-53.00M,,965.00M,496.00M,53.00M,-53.00M,-182.00M,-53.00M,261.00M,106.00M,155.00M,0.00,,155.00M,273.30M,428.00M,114.00M,314.00M,,0.61,0.00,1.076,0.61,,0.60,0.00,1.059,0.60,,254.00M,258.00M,0.18,,AOR,
2010-09,27.53B,27.53B,26.17B,1.366B,,925.00M,-21.00M,44.00M,-44.00M,,925.00M,441.00M,44.00M,-44.00M,-21.00M,-44.00M,376.00M,121.00M,255.00M,72.00M,,327.00M,269.24M,538.00M,118.00M,420.00M,,0.99,0.28,1.045,1.27,,0.97,0.28,1.024,1.25,,258.00M,262.00M,0.18,,AOR,
2010-06,27.45B,27.45B,26.06B,1.392B,,918.00M,9.00M,43.00M,-43.00M,,918.00M,474.00M,43.00M,-43.00M,9.00M,-43.00M,440.00M,142.00M,298.00M,,,298.00M,291.90M,603.00M,120.00M,483.00M,,1.12,0.00,1.097,1.12,,1.10,0.00,1.078,1.10,,266.00M,272.00M,0.18,,AOR,Restated
2010-03,26.64B,26.64B,25.06B,1.583B,,614.00M,24.00M,45.00M,-45.00M,,1.03B,553.00M,45.00M,-45.00M,24.00M,-45.00M,532.00M,184.00M,348.00M,0.00,,348.00M,332.30M,577.00M,-202.00M,577.00M,,1.29,0.00,1.232,1.29,,1.26,0.00,1.203,1.26,,269.00M,276.00M,0.12,,AOR,Restated
2009-12,28.27B,28.27B,26.82B,1.455B,,946.00M,25.00M,47.00M,-47.00M,,946.00M,509.00M,47.00M,-47.00M,25.00M,-47.00M,487.00M,161.00M,326.00M,0.00,,326.00M,309.26M,660.00M,126.00M,534.00M,,1.21,0.00,1.148,1.21,,1.19,0.00,1.129,1.19,,269.00M,274.00M,0.12,,AOR,Restated
2009-09,27.13B,27.13B,25.80B,1.335B,,908.00M,4.00M,47.00M,-47.00M,-40.00M,868.00M,467.00M,47.00M,-47.00M,4.00M,-47.00M,424.00M,123.00M,301.00M,0.00,,301.00M,298.16M,584.00M,113.00M,471.00M,,1.13,0.00,1.119,1.13,,1.11,0.00,1.100,1.11,,267.00M,271.00M,0.12,,AOR,Restated
2009-06,26.66B,26.66B,25.35B,1.303B,844.00M,844.00M,10.00M,48.00M,-48.00M,,844.00M,459.00M,48.00M,-48.00M,10.00M,-48.00M,421.00M,133.00M,288.00M,,,288.00M,281.16M,580.00M,111.00M,469.00M,,1.07,0.00,1.045,1.07,,1.06,0.00,1.035,1.06,,270.00M,272.00M,0.12,,AOR,Restated
2009-03,26.22B,26.22B,24.76B,1.465B,-2.472B,110.00M,-59.00M,42.00M,-42.00M,,967.00M,498.00M,42.00M,-42.00M,-59.00M,-42.00M,397.00M,116.00M,281.00M,,,281.00M,322.76M,550.00M,111.00M,439.00M,,1.02,0.00,1.172,1.02,,1.01,0.00,1.160,1.01,,275.00M,279.00M,0.12,,AOR,Restated
2008-12,27.13B,27.13B,25.79B,1.343B,1.397B,1.397B,17.00M,33.00M,-33.00M,,1.397B,-54.00M,33.00M,-33.00M,17.00M,-33.00M,-70.00M,-50.00M,-20.00M,,,-20.00M,-31.05M,75.00M,112.00M,-37.00M,,-0.07,0.00,-0.1103,-0.07,,-0.07,0.00,-0.1103,-0.07,,274.00M,274.00M,0.12,,,Restated
2008-09,26.57B,26.57B,25.27B,1.302B,,921.00M,33.00M,35.00M,-35.00M,,921.00M,381.00M,35.00M,-35.00M,33.00M,-35.00M,379.00M,52.00M,327.00M,,,327.00M,298.53M,526.00M,112.00M,414.00M,,1.19,0.00,1.086,1.19,,1.17,0.00,1.068,1.17,,275.00M,280.00M,0.12,,,Restated
2008-06,26.70B,26.70B,25.44B,1.268B,,897.00M,21.00M,34.00M,-34.00M,,897.00M,371.00M,34.00M,-34.00M,21.00M,-34.00M,358.00M,123.00M,235.00M,,,235.00M,221.22M,498.00M,106.00M,392.00M,,0.85,0.00,0.8002,0.85,,0.83,0.00,0.7811,0.83,,277.00M,282.00M,0.12,,,Restated
2008-03,26.23B,26.23B,24.78B,1.447B,,619.00M,-93.00M,,,0.00,966.00M,481.00M,,,-72.00M,,464.00M,159.00M,305.00M,2.00M,,307.00M,366.13M,581.00M,100.00M,481.00M,,1.07,0.00,1.284,1.07,,1.04,0.00,1.249,1.04,,285.00M,292.00M,0.06,,,
2007-12,26.49B,26.49B,25.29B,1.204B,,922.00M,31.00M,,,,922.00M,282.00M,,,31.00M,,277.00M,76.00M,201.00M,,,201.00M,178.51M,375.00M,93.00M,282.00M,,0.69,0.00,0.6124,0.69,,0.68,0.00,0.6043,0.68,,290.00M,297.00M,0.06,,,
2007-09,24.45B,24.45B,23.27B,1.181B,,827.00M,41.00M,,,-5.00M,822.00M,359.00M,,,41.00M,,359.00M,112.00M,247.00M,,,247.00M,218.79M,448.00M,89.00M,359.00M,,0.85,0.00,0.7537,0.85,,0.83,0.00,0.7357,0.83,,293.00M,299.00M,0.06,,,
2007-06,24.53B,24.53B,23.35B,1.177B,,821.00M,37.00M,,,,821.00M,356.00M,,,37.00M,,357.00M,121.00M,236.00M,-1.00M,,235.00M,211.54M,445.00M,89.00M,356.00M,,0.79,0.00,0.7076,0.79,,0.77,0.00,0.6895,0.77,,297.00M,304.00M,0.06,,,
2007-03,24.16B,24.16B,22.91B,1.251B,,599.00M,-100.00M,,,0.00,883.00M,368.00M,,,-77.00M,,363.00M,106.00M,257.00M,0.00,,257.00M,327.80M,455.00M,87.00M,368.00M,,0.87,-0.01,1.110,0.86,,0.84,-0.01,1.072,0.84,,295.00M,305.00M,0.06,,,
2006-12,23.11B,23.11B,22.05B,1.061B,,743.00M,39.00M,,,,743.00M,318.00M,,,39.00M,,334.00M,94.00M,240.00M,3.00M,,243.00M,211.98M,387.00M,69.00M,318.00M,,0.81,0.01,0.7153,0.82,,0.79,0.01,0.6972,0.80,,296.00M,302.00M,0.06,,,
2006-09,22.39B,22.39B,21.36B,1.024B,,724.00M,38.00M,,,-6.00M,718.00M,306.00M,,,38.00M,,316.00M,29.00M,287.00M,-58.00M,,229.00M,252.49M,375.00M,69.00M,306.00M,,0.96,-0.19,0.8442,0.77,,0.94,-0.19,0.8268,0.75,,298.00M,305.00M,0.06,,,
2006-06,23.32B,23.32B,22.32B,996.00M,,724.00M,35.00M,,,,724.00M,272.00M,,,35.00M,,285.00M,101.00M,184.00M,,,184.00M,161.40M,342.00M,70.00M,272.00M,,0.61,0.00,0.5352,0.61,,0.60,0.00,0.5269,0.60,,302.00M,309.00M,0.06,,,
2006-03,22.79B,22.79B,21.75B,1.039B,,486.00M,-75.00M,,,-8.00M,701.00M,338.00M,,,-55.00M,,355.00M,132.00M,223.00M,-3.00M,,220.00M,270.11M,406.00M,68.00M,338.00M,,0.73,-0.01,0.8840,0.72,,0.70,-0.01,0.8477,0.69,,306.00M,319.00M,0.06,,,
2005-12,22.24B,22.24B,21.27B,974.00M,,665.00M,34.00M,,,10.00M,675.00M,299.00M,,,34.00M,,321.00M,117.00M,204.00M,-11.00M,,193.00M,182.39M,368.00M,69.00M,299.00M,,0.66,-0.03,0.5896,0.63,,0.64,-0.03,0.5716,0.61,,307.00M,316.00M,0.06,,,
2005-09,21.25B,21.25B,20.38B,868.00M,,642.00M,35.00M,,,,642.00M,226.00M,,,35.00M,,239.00M,87.00M,152.00M,15.00M,,167.00M,129.74M,287.00M,61.00M,226.00M,,0.49,0.05,0.4177,0.54,,0.48,0.05,0.4096,0.53,,308.00M,316.00M,0.06,,,
2005-06,20.97B,20.97B,20.04B,925.00M,,612.00M,-24.00M,,,52.00M,664.00M,261.00M,,,-24.00M,,264.00M,94.00M,170.00M,1.00M,,171.00M,185.45M,325.00M,64.00M,261.00M,,0.57,0.00,0.6212,0.57,,0.55,0.00,0.5994,0.55,,302.00M,313.00M,0.06,,,
2005-03,19.23B,19.23B,18.30B,926.00M,,381.00M,-34.00M,,,0.00,563.00M,363.00M,,,-19.00M,,357.00M,112.00M,245.00M,14.00M,,259.00M,268.33M,424.00M,61.00M,363.00M,,0.84,0.05,0.9186,0.89,,0.84,0.05,0.9186,0.89,,297.00M,297.00M,0.06,,,
2004-12,20.77B,20.77B,19.93B,836.00M,,603.00M,-1.184B,,,1.20B,1.803B,-967.00M,,,-1.184B,,-981.00M,-314.00M,-667.00M,1.00M,,-666.00M,138.02M,-905.00M,62.00M,-967.00M,,-2.26,0.00,0.4782,-2.26,,-2.26,0.00,0.4782,-2.26,,294.00M,294.00M,0.06,,,
2004-09,19.92B,19.92B,19.19B,731.00M,,603.00M,15.00M,,,,603.00M,128.00M,,,15.00M,,113.00M,27.00M,86.00M,,,86.00M,74.58M,189.00M,61.00M,128.00M,,0.29,0.00,0.2510,0.29,,0.29,0.00,0.2519,0.29,,293.00M,300.00M,0.06,,,
2004-06,19.18B,19.18B,18.33B,849.00M,,589.00M,15.00M,,,,589.00M,260.00M,,,15.00M,,245.00M,82.00M,163.00M,1.00M,,164.00M,153.02M,321.00M,61.00M,260.00M,,0.56,0.00,0.5257,0.56,,0.55,0.00,0.5167,0.55,,291.00M,300.00M,0.06,,,
2004-03,17.64B,17.64B,16.76B,881.30M,,393.50M,11.30M,,,,566.50M,314.80M,,,11.30M,,296.10M,85.40M,210.70M,,,214.70M,202.66M,379.50M,64.70M,314.80M,,0.73,0.01,0.7023,0.74,,0.72,0.01,0.6931,0.73,,290.00M,299.00M,0.06,,,
2003-12,18.23B,18.23B,17.48B,755.50M,,571.00M,9.70M,,,,571.00M,184.50M,,,9.70M,,164.00M,43.80M,120.20M,,,120.20M,113.09M,241.90M,57.40M,184.50M,,0.41,0.00,0.3855,0.41,,0.41,0.00,0.3862,0.41,,290.20M,298.70M,0.06,,,
2003-09,16.81B,16.81B,16.00B,811.70M,,585.30M,15.10M,,,,585.30M,226.40M,,,15.10M,,214.80M,56.70M,156.50M,,,156.50M,145.39M,281.30M,54.90M,226.40M,,0.54,0.00,0.5017,0.54,,0.53,0.00,0.4930,0.53,,289.90M,300.30M,0.06,,,
2003-06,16.52B,16.52B,15.74B,786.50M,,535.70M,11.90M,,,,535.70M,250.80M,,,11.90M,,236.20M,79.10M,155.60M,,,155.60M,147.69M,303.80M,53.00M,250.80M,,0.54,0.00,0.5127,0.54,,0.53,0.00,0.5034,0.53,,289.80M,298.10M,0.06,,,
2003-03,14.89B,14.89B,14.00B,884.80M,,439.70M,8.30M,,,,589.10M,295.70M,,,8.30M,,279.00M,97.40M,181.60M,-2.60M,,179.00M,176.20M,348.60M,52.90M,295.70M,,0.63,-0.01,0.6114,0.62,,0.62,-0.01,0.6018,0.61,,289.90M,297.30M,0.06,,,
2002-12,14.92B,14.92B,14.19B,727.60M,,517.80M,24.10M,,,,517.80M,209.80M,,,24.10M,,203.50M,69.20M,134.30M,,,134.30M,118.40M,259.80M,50.00M,209.80M,,0.46,0.00,0.4051,0.46,,0.46,0.00,0.4066,0.46,,289.70M,298.00M,0.06,,,
