,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,2.199B,,2.199B,19.09B,,19.09B,16.36B,558.00M,,,38.21B,,,,,,,2.483B,10.58B,4.258B,14.84B,3.672B,2.07B,23.07B,61.28B,,32.06B,32.06B,3.125B,35.19B,,,,3.16B,,3.16B,,,,,38.35B,6.592B,,6.592B,2.825B,2.825B,240.00M,1.422B,2.448B,13.29B,51.64B,,3.00M,12.93B,6.372B,8.098B,,,-1.801B,9.407B,,AOR,Restated
2018-03,2.672B,,2.672B,14.35B,3.578B,17.71B,16.31B,443.00M,,,37.14B,0.00,187.00M,3.746B,,3.933B,-1.469B,2.464B,10.92B,4.102B,15.03B,3.728B,2.027B,23.24B,60.38B,,32.18B,32.18B,3.379B,35.56B,,,,1.129B,,1.129B,,,,,36.68B,6.751B,,6.751B,2.804B,2.804B,253.00M,1.459B,2.625B,13.64B,50.32B,,3.00M,12.99B,6.188B,7.655B,,,-1.717B,9.804B,,AOR,Restated
2017-12,2.619B,,2.619B,20.02B,,20.02B,17.10B,458.00M,,,40.20B,,,,,,,2.401B,11.83B,4.094B,15.92B,3.704B,1.991B,24.02B,64.21B,,33.01B,33.01B,3.295B,36.30B,,,,1.28B,,1.28B,68.00M,68.00M,,,37.65B,7.514B,,7.514B,2.833B,2.833B,238.00M,1.435B,2.807B,14.59B,52.24B,,3.00M,14.20B,6.253B,6.997B,,,-1.726B,11.73B,,AOR,Restated
2017-09,2.563B,,2.563B,19.63B,,19.63B,16.88B,719.00M,,,39.79B,,,,,,,2.348B,11.73B,4.206B,15.94B,3.795B,1.971B,24.05B,63.85B,,33.58B,33.58B,3.291B,36.87B,,,,831.00M,,831.00M,63.00M,63.00M,,,37.76B,7.49B,,7.49B,3.724B,3.724B,219.00M,1.423B,2.082B,14.72B,52.48B,,3.00M,13.37B,6.141B,6.658B,,,-1.71B,11.14B,,AOR,Restated
2017-06,2.339B,,2.339B,19.13B,,19.13B,15.50B,728.00M,,,37.70B,,,,,,,2.349B,11.75B,4.238B,15.99B,3.855B,1.927B,24.12B,61.82B,,32.02B,32.02B,2.977B,34.99B,,,,528.00M,,528.00M,279.00M,279.00M,,,35.80B,7.424B,,7.424B,3.752B,3.752B,210.00M,1.39B,1.938B,14.50B,50.30B,,3.00M,13.44B,6.08B,6.282B,,,-1.936B,11.30B,,AOR,Restated
2017-03,2.783B,,2.783B,14.60B,3.893B,18.22B,15.28B,672.00M,,,36.95B,0.00,166.00M,3.637B,,3.803B,-1.511B,2.292B,10.59B,3.665B,14.25B,4.063B,3.415B,24.02B,60.97B,,31.02B,31.02B,3.004B,34.03B,,183.00M,1.057B,1.24B,,1.24B,346.00M,346.00M,,,35.61B,7.305B,,7.305B,3.678B,3.678B,178.00M,1.327B,1.774B,14.08B,49.70B,,3.00M,13.19B,6.028B,5.982B,,,-2.141B,11.10B,,AOR,Restated
2016-12,2.434B,,2.434B,18.20B,,18.20B,16.12B,513.00M,,,39.27B,,,,,,,2.411B,10.61B,3.583B,14.20B,,2.00B,18.61B,57.87B,,30.81B,30.81B,3.113B,33.92B,,,,3.154B,,3.154B,402.00M,402.00M,,694.00M,38.17B,5.969B,,5.969B,2.884B,2.884B,160.00M,1.311B,1.684B,11.85B,50.02B,,3.00M,9.663B,6.037B,5.78B,,,-2.228B,7.692B,,AOR,Restated
2016-09,5.464B,,5.464B,18.31B,,18.31B,15.27B,526.00M,,,41.34B,,,,,,,2.30B,9.693B,3.061B,12.75B,,1.923B,16.98B,58.32B,,31.04B,31.04B,2.973B,34.01B,,,,2.166B,,2.166B,271.00M,271.00M,,604.00M,37.05B,5.941B,,5.941B,2.632B,2.632B,174.00M,1.341B,1.727B,11.64B,48.69B,,3.00M,9.088B,5.994B,3.779B,,,-1.854B,9.449B,,AOR,Restated
2016-06,4.659B,,4.659B,18.33B,,18.33B,15.50B,545.00M,,,39.04B,,,,,,,2.43B,11.13B,3.143B,14.27B,,2.166B,18.87B,57.90B,,30.42B,30.42B,3.162B,33.59B,,,,2.168B,,2.168B,820.00M,820.00M,,,36.57B,5.942B,,5.942B,2.789B,2.789B,242.00M,1.34B,1.768B,11.84B,48.41B,,3.00M,8.843B,5.923B,3.778B,,,-1.739B,9.249B,,AOR,Restated
2016-03,4.048B,,4.048B,14.52B,3.711B,17.98B,15.34B,1.072B,,,38.44B,0.00,228.00M,3.556B,,3.784B,-1.506B,2.278B,9.786B,3.021B,12.81B,0.00,3.003B,18.09B,56.52B,,28.58B,28.58B,3.948B,32.53B,,,,1.617B,,1.617B,919.00M,919.00M,,,35.07B,6.497B,,6.497B,2.734B,2.734B,84.00M,1.406B,1.809B,12.45B,47.52B,,3.00M,8.36B,5.845B,3.721B,,,-1.561B,8.924B,,AOR,Restated
2015-12,3.406B,,3.406B,17.40B,,17.40B,16.41B,1.042B,,,38.26B,,,,,,,2.112B,9.701B,3.103B,12.80B,,1.91B,16.83B,55.09B,,26.85B,26.85B,3.644B,30.50B,,,,1.003B,,1.003B,999.00M,2.978B,1.979B,,34.48B,7.715B,,7.715B,,,84.00M,1.378B,2.555B,11.65B,46.13B,,3.00M,7.995B,5.793B,3.068B,,,-1.845B,8.876B,,AOR,Restated
2015-09,5.359B,,5.359B,16.80B,,16.80B,15.59B,1.005B,,,38.75B,,,,,,,2.108B,9.811B,3.254B,13.06B,,1.897B,17.07B,55.82B,,27.15B,27.15B,3.65B,30.80B,,,,1.252B,,1.252B,807.00M,2.722B,1.915B,,34.78B,8.136B,,8.136B,,,85.00M,1.41B,2.625B,12.17B,46.95B,,4.00M,13.78B,7.212B,10.56B,,,-1.644B,8.788B,,AOR,Restated
2015-06,5.635B,,5.635B,16.68B,,16.68B,14.93B,1.32B,,,38.57B,,,,,,,2.10B,9.949B,3.426B,13.38B,,1.879B,17.35B,55.92B,,26.32B,26.32B,3.892B,30.21B,,,,1.654B,,1.654B,939.00M,2.808B,1.869B,,34.67B,8.142B,,8.142B,,,86.00M,1.43B,2.741B,12.31B,46.99B,,4.00M,13.23B,7.121B,10.06B,,,-1.434B,8.853B,,AOR,Restated
2015-03,5.341B,,5.341B,13.12B,2.965B,15.91B,14.30B,1.119B,,,36.67B,0.00,207.00M,3.237B,,3.444B,-1.399B,2.045B,9.817B,3.441B,13.26B,,1.897B,17.20B,53.87B,,25.17B,25.17B,3.769B,28.94B,,,,1.664B,,1.664B,1.078B,2.898B,1.82B,,33.50B,8.18B,,8.18B,859.00M,859.00M,84.00M,1.386B,1.863B,12.29B,45.78B,,4.00M,12.70B,6.968B,9.956B,,,-1.713B,8.001B,,AOR,Restated
2014-12,4.587B,,4.587B,16.58B,,16.58B,15.38B,595.00M,,,37.14B,,,,,,,2.156B,9.956B,3.864B,13.82B,,1.993B,17.97B,55.11B,,25.20B,25.20B,3.224B,28.43B,,,,1.413B,,1.413B,1.231B,2.936B,1.705B,,32.78B,8.981B,,8.981B,,,72.00M,1.461B,2.734B,13.18B,45.95B,,4.00M,12.63B,6.875B,9.612B,,,-804.00M,9.084B,,AOR,Restated
2014-09,3.804B,,3.804B,15.39B,,15.39B,14.06B,621.00M,,,33.88B,,,,,,,2.174B,10.10B,4.099B,14.19B,,1.985B,18.35B,52.23B,,22.66B,22.66B,2.992B,25.65B,,,,952.00M,,952.00M,1.003B,2.737B,1.734B,,29.34B,9.62B,,9.62B,,,1.595B,,2.749B,12.37B,41.71B,,4.00M,12.21B,6.759B,9.611B,,,-425.00M,8.931B,,AOR,Restated
2014-06,4.105B,,4.105B,14.92B,,14.92B,14.12B,824.00M,,,33.97B,,,,,,,2.209B,10.43B,4.39B,14.82B,,2.003B,19.03B,53.01B,,22.81B,22.81B,3.121B,25.93B,,,,532.00M,,532.00M,1.124B,2.78B,1.656B,,29.24B,10.14B,,10.14B,,,1.786B,,2.855B,13.00B,42.24B,,4.00M,11.80B,6.686B,9.611B,,,107.00M,8.979B,,AOR,Restated
2014-03,4.193B,,4.193B,12.17B,1.74B,13.78B,12.99B,1.877B,,,32.84B,0.00,221.00M,3.155B,,3.376B,-1.18B,2.196B,9.927B,4.871B,14.80B,,1.929B,18.92B,51.76B,,21.13B,21.13B,3.998B,25.13B,,,,1.665B,,1.665B,1.236B,2.824B,1.588B,,29.62B,8.929B,,8.929B,,,1.796B,0.00,2.897B,11.83B,41.44B,,4.00M,11.45B,6.552B,9.507B,,,-3.00M,8.522B,,AOR,Restated
2013-12,2.431B,,2.431B,10.75B,,10.75B,11.46B,591.00M,,,25.23B,,,,,,,1.359B,6.30B,2.066B,8.366B,,1.52B,11.24B,36.48B,,16.64B,16.64B,2.108B,18.75B,,,,353.00M,,353.00M,1.286B,2.805B,1.519B,,21.90B,4.521B,,4.521B,,,,,2.027B,6.548B,28.45B,,4.00M,11.14B,6.442B,9.505B,,,-68.00M,8.027B,,AOR,Restated
2013-09,2.96B,,2.96B,10.32B,,10.32B,10.48B,780.00M,,,24.54B,,,,,,,1.348B,6.323B,2.15B,8.473B,,1.581B,11.40B,35.95B,,16.44B,16.44B,2.006B,18.44B,,,,353.00M,,353.00M,1.056B,2.585B,1.529B,,21.38B,4.521B,,4.521B,,,,,2.058B,6.579B,27.96B,,4.00M,11.13B,6.357B,9.505B,,,-16.00M,7.989B,,AOR,Restated
2013-06,2.905B,,2.905B,10.01B,,10.01B,10.33B,817.00M,,,24.07B,,,,,,,1.333B,6.262B,2.196B,8.458B,,1.633B,11.42B,35.49B,,16.65B,16.65B,1.908B,18.56B,,,,352.00M,,352.00M,1.155B,2.567B,1.412B,,21.48B,4.522B,,4.522B,,,,,2.08B,6.602B,28.08B,,4.00M,10.78B,6.229B,9.504B,,,-118.00M,7.408B,,AOR,Restated
2013-03,2.456B,,2.456B,8.683B,1.423B,9.975B,10.34B,404.00M,,,23.17B,0.00,129.00M,2.40B,,2.529B,-1.208B,1.321B,6.405B,2.27B,8.675B,,1.62B,11.62B,34.79B,,16.11B,16.11B,1.912B,18.02B,,,,352.00M,,352.00M,1.359B,2.985B,1.626B,,21.36B,4.521B,,4.521B,,,0.00,,1.838B,6.359B,27.72B,,4.00M,10.40B,6.078B,9.363B,,,-65.00M,7.07B,,AOR,Restated
2012-12,2.726B,,2.726B,9.962B,,9.962B,10.39B,361.00M,,,23.44B,,,,,,,1.247B,5.31B,1.799B,7.109B,,1.638B,9.994B,33.43B,,15.05B,15.05B,1.705B,16.75B,,,,506.00M,,506.00M,1.431B,2.95B,1.519B,,20.21B,3.973B,,3.973B,,,,,1.603B,5.576B,25.78B,,4.00M,10.38B,6.005B,8.793B,,,35.00M,7.649B,,AOR,Restated
2012-09,2.831B,,2.831B,,,9.823B,10.07B,367.00M,,,23.09B,,,,,,,1.223B,5.128B,1.699B,6.827B,,1.827B,9.877B,32.97B,,15.50B,15.50B,1.503B,17.00B,,,,508.00M,,508.00M,1.528B,3.238B,1.71B,,20.75B,3.073B,,3.073B,,,,,1.43B,4.503B,25.25B,,4.00M,10.14B,5.948B,8.433B,,,46.00M,7.715B,,AOR,Restated
2012-06,2.013B,,2.013B,,,9.564B,10.06B,418.00M,,,22.05B,,,,,,,1.221B,5.025B,1.678B,6.703B,,1.77B,9.694B,31.75B,,15.15B,15.15B,1.587B,16.74B,,,,508.00M,,508.00M,1.317B,2.851B,1.534B,,20.10B,3.072B,,3.072B,,,,,1.376B,4.448B,24.54B,,4.00M,9.783B,5.821B,8.375B,,,-30.00M,7.203B,,AOR,Restated
2012-03,3.149B,,3.149B,8.562B,1.537B,9.977B,10.07B,404.00M,,,23.60B,0.00,68.00M,2.107B,,2.175B,-1.132B,1.043B,5.032B,1.75B,6.782B,,1.665B,9.49B,33.09B,,16.11B,16.11B,2.149B,18.26B,,,,908.00M,,908.00M,1.423B,2.515B,1.092B,,21.69B,3.072B,,3.072B,,,,,1.504B,4.576B,26.26B,,4.00M,9.451B,5.571B,8.204B,,,5.00M,6.831B,,AOR,Restated
2011-12,4.191B,,4.191B,,,9.673B,10.38B,329.00M,,,24.57B,,,,,,,1.015B,4.497B,1.341B,5.838B,,1.735B,8.588B,33.16B,,15.68B,15.68B,,15.68B,,,,409.00M,,409.00M,1.471B,2.509B,1.038B,2.12B,20.72B,3.578B,,3.578B,,,,,1.408B,4.986B,25.70B,,4.00M,8.981B,5.641B,7.178B,,,2.00M,7.456B,,AOR,Restated
2011-09,3.943B,,3.943B,,,9.525B,9.426B,368.00M,,,23.26B,,,,,,,1.006B,4.487B,1.383B,5.87B,,1.769B,8.645B,31.91B,,14.90B,14.90B,,14.90B,,,,414.00M,,414.00M,1.528B,2.556B,1.028B,1.98B,19.84B,3.578B,,3.578B,,,,,1.368B,4.946B,24.79B,,4.00M,8.731B,5.573B,7.178B,,,-21.00M,7.116B,,AOR,Restated
2011-06,3.116B,,3.116B,,,9.372B,9.53B,356.00M,,,22.37B,,,,,,,988.00M,4.439B,1.567B,6.006B,,1.649B,8.643B,31.02B,,14.55B,14.55B,1.82B,16.37B,,,,414.00M,,414.00M,1.29B,2.361B,1.071B,,19.14B,3.575B,,3.575B,,,,,1.383B,4.958B,24.10B,,4.00M,8.486B,5.376B,7.057B,,,103.00M,6.917B,,AOR,Restated
2011-03,3.612B,,3.612B,7.982B,1.341B,9.187B,9.225B,333.00M,,,22.36B,0.00,70.00M,1.973B,,2.043B,-1.052B,991.00M,4.364B,1.608B,5.972B,,1.566B,8.529B,30.89B,,,14.09B,1.861B,15.95B,,,,417.00M,,417.00M,1.321B,2.358B,1.037B,,18.73B,3.587B,,3.587B,,,,,1.353B,4.94B,23.67B,,4.00M,8.25B,5.349B,6.47B,,,87.00M,7.22B,,AOR,Restated
2010-06,3.265B,,3.265B,,,7.832B,9.429B,265.00M,,,20.79B,,,,,,,864.00M,3.522B,750.00M,4.272B,,1.472B,6.608B,27.40B,,,13.30B,2.434B,15.73B,,,,,,,1.16B,1.16B,,,16.89B,2.278B,,2.278B,,,,,1.352B,3.63B,20.52B,,4.00M,7.488B,4.794B,5.344B,,,-51.00M,6.879B,,AOR,Restated
2010-03,3.731B,,3.731B,7.256B,968.00M,8.075B,9.441B,257.00M,,,21.50B,0.00,50.00M,1.808B,,1.858B,-1.007B,851.00M,3.568B,785.00M,4.353B,,1.481B,6.685B,28.19B,,,13.26B,1.559B,14.81B,,,,3.00M,,3.00M,1.218B,2.195B,977.00M,,17.01B,2.293B,,2.293B,,,,,1.352B,3.645B,20.66B,,4.00M,7.236B,4.744B,4.458B,,,6.00M,7.532B,,AOR,Restated
2009-12,3.428B,,3.428B,,,8.319B,8.842B,265.00M,,,20.85B,,,,,,,835.00M,3.559B,816.00M,4.375B,,1.475B,6.685B,27.54B,,,13.02B,2.43B,15.45B,,,,217.00M,,217.00M,1.25B,1.25B,,,16.92B,2.294B,,2.294B,,,,,1.204B,3.498B,20.42B,,4.00M,6.921B,4.644B,4.457B,,,23.00M,7.123B,,AOR,Restated
2009-09,3.215B,,3.215B,,,7.838B,8.598B,279.00M,,,19.93B,,,,,,,836.00M,3.56B,846.00M,4.406B,,1.452B,6.694B,26.62B,,,12.69B,2.521B,15.21B,,,,217.00M,,217.00M,994.00M,994.00M,,,16.42B,2.294B,,2.294B,,,,,1.191B,3.485B,19.90B,,4.00M,6.627B,4.554B,4.457B,,,3.00M,6.719B,,AOR,Restated
2009-06,2.644B,,2.644B,,,7.532B,8.615B,271.00M,,,19.06B,,,,,,,814.00M,3.549B,860.00M,4.409B,,1.432B,6.655B,25.72B,,,12.16B,2.48B,14.64B,,,,217.00M,,217.00M,1.088B,1.088B,,,15.94B,2.292B,,2.292B,,,,,1.213B,3.505B,19.45B,,4.00M,6.358B,4.434B,4.433B,,,-84.00M,6.271B,,AOR,Restated
2009-03,2.109B,,2.109B,,,7.774B,8.527B,261.00M,,,18.67B,0.00,50.00M,1.673B,,1.723B,-927.00M,796.00M,3.528B,882.00M,4.41B,,1.39B,6.596B,25.27B,,,11.74B,2.503B,14.24B,,,,219.00M,,219.00M,1.145B,1.145B,,,15.61B,2.29B,,2.29B,,,,,1.178B,3.468B,19.07B,,4.00M,6.103B,4.417B,4.144B,,,-179.00M,6.193B,,AOR,Restated
2008-12,1.175B,,1.175B,7.588B,,7.588B,9.395B,214.00M,,,18.37B,,,,,1.715B,-927.00M,788.00M,3.484B,892.00M,4.376B,,1.766B,6.93B,25.30B,,12.33B,12.33B,2.44B,14.77B,,,,,,,1.291B,1.291B,,,16.06B,1.795B,,1.795B,,,,,1.286B,3.081B,19.14B,,4.00M,5.857B,4.37B,3.996B,,,-71.00M,6.164B,,,Restated
2008-09,1.123B,,1.123B,7.025B,,7.025B,9.183B,207.00M,,,17.54B,,,,,1.704B,-927.00M,777.00M,3.524B,925.00M,4.449B,,1.813B,7.039B,24.58B,,12.09B,12.09B,1.998B,14.08B,,,,,,,1.064B,1.064B,,,15.15B,1.795B,,1.795B,,,,,1.285B,3.08B,18.23B,,4.00M,5.91B,4.34B,3.996B,103.00M,-12.00M,91.00M,6.349B,,,Restated
2008-06,1.187B,,1.187B,7.214B,,7.214B,9.314B,216.00M,,,17.93B,,,,,1.706B,-927.00M,779.00M,3.505B,921.00M,4.426B,,1.851B,7.056B,24.99B,,12.42B,12.42B,2.029B,14.45B,,,,,,,1.167B,1.167B,,,15.62B,1.794B,,1.794B,,,,,1.335B,3.129B,18.75B,,4.00M,5.782B,4.309B,4.003B,,,149.00M,6.241B,,,Restated
2008-03,1.362B,,1.362B,6.229B,984.00M,7.213B,9.00B,211.00M,,,17.79B,0.00,50.00M,1.652B,,1.702B,-927.00M,775.00M,3.345B,860.00M,4.205B,,1.837B,6.817B,24.60B,,12.03B,12.03B,2.104B,14.14B,,,,2.00M,,2.00M,1.21B,1.21B,,,15.35B,1.795B,,1.795B,,,,,1.339B,3.134B,18.48B,,4.00M,5.586B,4.252B,3.86B,152.00M,-13.00M,139.00M,6.121B,,,
2007-12,1.436B,,1.436B,7.465B,,7.465B,9.568B,215.00M,,,18.68B,,,,,1.569B,-822.00M,747.00M,3.353B,878.00M,4.231B,,1.703B,6.681B,25.36B,,12.36B,12.36B,2.153B,14.51B,,,,152.00M,,152.00M,1.183B,1.183B,,,15.85B,1.797B,,1.797B,,,,,1.216B,3.013B,18.86B,,3.00M,5.297B,4.167B,3.088B,,,126.00M,6.505B,,,
2007-09,2.518B,,2.518B,6.82B,,6.82B,8.303B,181.00M,967.00M,,18.79B,,,,,1.536B,-822.00M,714.00M,3.055B,763.00M,3.818B,,1.713B,6.245B,25.03B,,11.77B,11.77B,1.723B,13.50B,,,,152.00M,,152.00M,970.00M,970.00M,,994.00M,15.61B,1.798B,,1.798B,,,,,1.24B,3.038B,18.65B,,3.00M,5.113B,3.999B,2.857B,,,126.00M,6.384B,,,
2007-06,2.203B,,2.203B,6.79B,,6.79B,8.00B,197.00M,967.00M,,18.16B,,,,,1.513B,-822.00M,691.00M,2.999B,599.00M,3.598B,,1.866B,6.155B,24.31B,,,,,,,,,152.00M,,152.00M,1.006B,1.006B,,13.70B,14.86B,1.798B,,1.798B,,,,,1.216B,3.014B,17.87B,,2.00M,4.881B,3.908B,2.429B,,,76.00M,6.439B,,,
2007-03,1.954B,,1.954B,5.613B,953.00M,6.566B,8.153B,221.00M,962.00M,,17.86B,0.00,43.00M,1.463B,,1.506B,-822.00M,684.00M,2.975B,779.00M,3.754B,,1.649B,6.087B,23.94B,,10.87B,10.87B,2.109B,12.98B,,,,155.00M,,155.00M,1.027B,1.027B,,962.00M,15.13B,1.803B,,1.803B,,,,,741.00M,2.544B,17.67B,,3.00M,4.712B,3.722B,2.162B,31.00M,-33.00M,-2.00M,6.273B,,,
2006-12,2.013B,,2.013B,6.427B,,6.427B,8.616B,286.00M,962.00M,,18.30B,,,,,1.476B,-860.00M,616.00M,1.694B,288.00M,1.982B,,1.588B,4.186B,22.49B,,10.86B,10.86B,,10.86B,,,,25.00M,,25.00M,1.048B,1.048B,,2.794B,14.73B,957.00M,,957.00M,,,,,709.00M,1.666B,16.39B,,3.00M,4.473B,3.508B,1.915B,,,29.00M,6.098B,,,
