,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2018-03,3.544B,665.00M,4.209B,7.606B,,,7.894B,,,,1.517B,13.62B,1.782B,8.199B,11.79B,,2.673B,,50.31B,-27.07B,23.24B,3.893B,2.025B,5.918B,311.00M,,,,264.00M,1.112B,30.84B,44.46B,3.501B,,,3.501B,2.523B,6.024B,732.00M,,,2.683B,,2.683B,1.064B,11.15B,1.729B,20.41B,,20.41B,837.00M,837.00M,,7.053B,31.00M,1.912B,31.94B,43.09B,9.00M,6.973B,,31.00M,,,-5.638B,1.344B
2017-12,3.32B,749.00M,4.069B,8.773B,,,10.35B,404.00M,,,899.00M,15.72B,1.582B,7.969B,11.32B,,2.239B,,48.73B,-26.61B,22.12B,3.872B,1.964B,5.836B,483.00M,,,,266.00M,1.153B,29.86B,45.57B,3.934B,,,3.934B,2.608B,6.542B,705.00M,,,4.011B,,4.011B,951.00M,12.89B,1.765B,20.28B,,20.28B,756.00M,756.00M,,7.061B,30.00M,1.804B,31.66B,44.55B,9.00M,5.852B,0.00,37.00M,,,-4.867B,994.00M
2017-09,3.418B,1.043B,4.461B,6.937B,,,6.937B,,,,1.512B,12.91B,1.568B,7.585B,10.74B,,2.482B,,47.20B,-26.22B,20.99B,3.838B,1.897B,5.735B,481.00M,,,,318.00M,924.00M,28.45B,41.36B,2.808B,,,2.808B,2.439B,5.247B,713.00M,,4.555B,4.555B,,4.555B,1.012B,12.17B,1.74B,14.36B,,14.36B,75.00M,75.00M,,10.08B,30.00M,1.405B,27.65B,39.82B,9.00M,5.724B,0.00,37.00M,,,-4.224B,1.509B
2017-06,3.544B,1.06B,4.604B,6.553B,,,6.553B,,,,1.237B,12.39B,1.591B,7.289B,10.55B,,1.598B,,45.59B,-25.75B,19.84B,3.845B,1.829B,5.674B,479.00M,,,,362.00M,974.00M,27.33B,39.72B,2.648B,,,2.648B,2.293B,4.941B,705.00M,,3.817B,3.817B,,3.817B,1.012B,11.08B,1.746B,14.26B,,14.26B,95.00M,95.00M,,9.981B,30.00M,1.289B,27.37B,38.45B,9.00M,5.437B,0.00,36.00M,,,-4.202B,1.244B
2017-03,2.687B,1.031B,3.718B,6.475B,,,6.475B,,,,1.301B,11.49B,1.48B,7.147B,10.37B,,1.115B,,44.51B,-25.28B,19.22B,3.777B,1.78B,5.557B,490.00M,,,,526.00M,1.088B,26.89B,38.38B,2.404B,,,2.404B,2.27B,4.674B,664.00M,,4.302B,4.302B,,4.302B,1.166B,11.41B,1.741B,12.94B,,12.94B,107.00M,107.00M,,10.39B,25.00M,1.235B,26.41B,37.82B,9.00M,4.988B,0.00,36.00M,,,-4.462B,535.00M
2016-12,3.476B,1.091B,4.567B,7.695B,,,8.328B,342.00M,,,612.00M,13.85B,1.397B,7.051B,10.20B,,735.00M,,43.67B,-24.87B,18.80B,3.757B,1.758B,5.515B,476.00M,,,,591.00M,1.146B,26.53B,40.38B,3.042B,,,3.042B,2.317B,5.359B,670.00M,,3.681B,3.681B,,3.681B,1.422B,11.73B,1.794B,12.39B,,12.39B,112.00M,112.00M,,12.69B,24.00M,1.224B,28.22B,39.95B,9.00M,4.879B,0.00,45.00M,,,-4.483B,405.00M
2016-09,3.299B,2.059B,5.358B,6.272B,,,6.272B,,,,1.223B,12.85B,1.392B,6.991B,10.02B,,596.00M,,43.18B,-24.70B,18.49B,3.436B,1.537B,4.973B,485.00M,,,,456.00M,1.086B,25.49B,38.34B,2.287B,,164.00M,2.451B,2.27B,4.721B,655.00M,,3.82B,3.82B,,3.82B,1.102B,10.89B,1.794B,11.51B,,11.51B,72.00M,72.00M,,10.05B,24.00M,1.262B,24.69B,35.58B,9.00M,6.385B,,44.00M,,,-3.651B,2.743B
2016-06,3.059B,2.613B,5.672B,6.111B,,,6.111B,,,,1.34B,13.12B,1.29B,6.936B,9.919B,,393.00M,,42.60B,-24.35B,18.25B,3.427B,1.55B,4.977B,485.00M,,,,310.00M,1.193B,25.22B,38.34B,2.405B,,133.00M,2.538B,2.149B,4.687B,652.00M,,2.816B,2.816B,,2.816B,1.247B,9.961B,1.811B,11.55B,,11.55B,72.00M,72.00M,,11.03B,24.00M,1.266B,25.73B,35.69B,9.00M,6.223B,0.00,44.00M,,,-3.606B,2.626B
2016-03,3.887B,2.38B,6.267B,6.241B,,,6.241B,,,,1.404B,13.91B,1.285B,6.852B,9.866B,,272.00M,,42.31B,-24.02B,18.28B,3.44B,1.569B,5.009B,484.00M,,,,328.00M,1.15B,25.26B,39.17B,2.04B,,538.00M,2.578B,2.131B,4.709B,663.00M,,3.869B,3.869B,,3.869B,1.857B,11.10B,1.778B,11.57B,,11.57B,104.00M,104.00M,,10.84B,23.00M,1.30B,25.59B,36.69B,9.00M,6.095B,0.00,43.00M,,,-3.647B,2.457B
2015-12,2.73B,1.996B,4.726B,7.134B,,,7.134B,308.00M,,,1.04B,13.21B,1.263B,6.73B,9.726B,,273.00M,,41.92B,-23.57B,18.35B,3.419B,1.549B,4.968B,473.00M,,,,255.00M,1.055B,25.10B,38.31B,2.587B,,,2.587B,2.253B,4.84B,657.00M,,3.018B,3.018B,,3.018B,1.656B,10.70B,1.831B,11.32B,,11.32B,115.00M,115.00M,,10.64B,21.00M,1.224B,25.12B,35.82B,9.00M,6.001B,0.00,51.00M,,,-3.54B,2.47B
2015-09,3.441B,2.248B,5.689B,6.055B,,,6.055B,,,554.00M,1.283B,13.58B,1.185B,6.563B,9.484B,,475.00M,,41.44B,-23.27B,18.16B,3.442B,1.523B,4.965B,483.00M,,,455.00M,656.00M,699.00M,25.42B,39.00B,2.058B,,,2.058B,2.317B,4.375B,594.00M,,4.557B,4.557B,,4.557B,2.343B,11.87B,1.827B,10.04B,,10.04B,77.00M,77.00M,,11.99B,19.00M,1.245B,25.18B,37.05B,9.00M,5.771B,0.00,51.00M,,,-3.851B,1.929B
2015-06,3.43B,2.792B,6.222B,5.618B,,,5.618B,,,554.00M,1.374B,13.77B,1.19B,6.544B,9.338B,,398.00M,,40.94B,-22.98B,17.97B,2.214B,878.00M,3.092B,469.00M,,,435.00M,821.00M,696.00M,23.48B,37.25B,2.15B,,,2.15B,2.148B,4.298B,621.00M,,3.252B,3.252B,,3.252B,2.132B,10.30B,1.927B,9.90B,,9.90B,,,,11.81B,18.00M,1.339B,24.98B,35.28B,9.00M,5.668B,0.00,50.00M,,,-3.727B,1.95B
2015-03,4.482B,1.935B,6.417B,5.724B,,,5.724B,,,411.00M,1.363B,13.92B,1.171B,6.498B,9.207B,,286.00M,,40.47B,-22.57B,17.90B,2.14B,844.00M,2.984B,464.00M,,,620.00M,755.00M,693.00M,23.42B,37.33B,2.055B,,451.00M,2.506B,2.142B,4.648B,636.00M,,3.163B,3.163B,,3.163B,2.163B,10.61B,1.902B,9.941B,,9.941B,49.00M,49.00M,,11.62B,18.00M,1.367B,24.88B,35.48B,9.00M,5.508B,0.00,49.00M,,,-3.688B,1.829B
2014-12,2.291B,992.00M,3.283B,6.661B,,,6.661B,344.00M,,,930.00M,11.22B,1.145B,6.542B,9.291B,,299.00M,,40.62B,-22.34B,18.28B,2.184B,847.00M,3.031B,489.00M,,,,1.219B,1.202B,24.22B,35.44B,2.754B,,,2.754B,2.373B,5.127B,656.00M,,923.00M,923.00M,,923.00M,1.915B,8.621B,1.916B,9.856B,,9.856B,78.00M,78.00M,,11.45B,17.00M,1.359B,24.66B,33.28B,9.00M,5.726B,0.00,59.00M,,,-3.594B,2.141B
2014-09,4.204B,1.367B,5.571B,5.822B,,,5.822B,,,591.00M,1.334B,13.32B,1.155B,6.475B,9.026B,,287.00M,,39.94B,-22.10B,17.84B,2.154B,828.00M,2.982B,445.00M,,,441.00M,,877.00M,22.59B,35.91B,2.112B,,,2.112B,2.178B,4.29B,567.00M,,,2.393B,,2.393B,1.846B,9.096B,1.932B,9.858B,,9.858B,1.276B,1.276B,,6.749B,17.00M,1.351B,21.17B,30.26B,9.00M,6.229B,0.00,59.00M,,,-611.00M,5.627B
2014-06,3.056B,1.543B,4.599B,5.845B,,,5.845B,,,638.00M,1.259B,12.34B,1.164B,6.46B,9.008B,,209.00M,,39.66B,-21.88B,17.79B,2.202B,830.00M,3.032B,445.00M,,,342.00M,,914.00M,22.52B,34.86B,2.106B,,,2.106B,2.06B,4.166B,660.00M,,,1.902B,,1.902B,1.609B,8.337B,2.041B,9.94B,,9.94B,933.00M,933.00M,,6.639B,17.00M,1.386B,20.94B,29.28B,9.00M,6.155B,0.00,58.00M,,,-596.00M,5.568B
2014-03,5.946B,1.089B,7.035B,5.804B,,,5.804B,,,685.00M,1.096B,14.62B,1.167B,6.392B,8.941B,,184.00M,,39.29B,-21.52B,17.77B,2.208B,796.00M,3.004B,445.00M,,,305.00M,,942.00M,22.46B,37.08B,2.126B,,496.00M,2.622B,2.335B,4.957B,720.00M,,,2.222B,,2.222B,1.294B,9.193B,2.001B,9.86B,,9.86B,1.177B,1.177B,,7.203B,15.00M,1.389B,21.63B,30.82B,9.00M,6.727B,0.00,58.00M,,,-489.00M,6.247B
2013-12,4.665B,580.00M,5.245B,6.502B,,,6.502B,403.00M,,684.00M,553.00M,13.39B,1.163B,6.376B,8.834B,,244.00M,,39.15B,-21.19B,17.96B,2.19B,775.00M,2.965B,444.00M,,,323.00M,110.00M,1.022B,22.82B,36.21B,2.478B,,,2.478B,2.325B,4.803B,719.00M,,,48.00M,,48.00M,1.561B,7.131B,2.059B,10.82B,,10.82B,1.244B,1.244B,,7.051B,14.00M,1.415B,22.59B,29.72B,9.00M,6.925B,0.00,69.00M,,,-460.00M,6.474B
2013-09,5.182B,1.467B,6.649B,5.592B,,,5.592B,,,587.00M,930.00M,13.76B,1.128B,6.332B,8.842B,,267.00M,,38.95B,-20.95B,17.99B,2.18B,771.00M,2.951B,406.00M,,,337.00M,973.00M,1.059B,23.72B,37.48B,1.817B,,237.00M,2.054B,2.035B,4.089B,726.00M,,,1.703B,,1.703B,1.303B,7.821B,1.949B,10.90B,,10.90B,,,,11.62B,13.00M,1.534B,26.00B,33.82B,9.00M,7.102B,0.00,68.00M,,,-3.469B,3.642B
2013-06,4.808B,1.384B,6.192B,5.438B,,,5.438B,,,564.00M,1.032B,13.23B,1.122B,6.271B,8.769B,,348.00M,,38.50B,-20.62B,17.88B,2.149B,678.00M,2.827B,406.00M,,,331.00M,963.00M,1.07B,23.48B,36.70B,2.008B,,221.00M,2.229B,1.858B,4.087B,749.00M,,,1.086B,,1.086B,1.261B,7.183B,1.998B,10.84B,,10.84B,,,,11.43B,13.00M,1.629B,25.89B,33.07B,9.00M,7.185B,0.00,67.00M,,,-3.577B,3.617B
2013-03,6.456B,876.00M,7.332B,5.617B,,,5.617B,,,582.00M,950.00M,14.48B,1.121B,6.266B,8.828B,,452.00M,,38.31B,-20.42B,17.89B,2.151B,654.00M,2.805B,406.00M,,,488.00M,874.00M,1.063B,23.52B,38.00B,1.956B,,589.00M,2.545B,1.903B,4.448B,762.00M,,,1.615B,,1.615B,1.209B,8.034B,1.962B,11.05B,,11.05B,,,,11.24B,15.00M,1.672B,25.93B,33.96B,9.00M,7.614B,0.00,66.00M,,,-3.595B,4.028B
2012-12,7.327B,597.00M,7.924B,6.111B,,,6.111B,393.00M,,583.00M,580.00M,15.59B,1.122B,6.187B,8.754B,,470.00M,,38.04B,-20.15B,17.89B,2.173B,603.00M,2.776B,307.00M,,,535.00M,684.00M,1.076B,23.27B,38.86B,2.278B,,,2.278B,1.927B,4.205B,763.00M,,,1.781B,,1.781B,1.641B,8.39B,1.98B,11.09B,,11.09B,48.00M,48.00M,,11.07B,80.00M,1.555B,25.74B,34.13B,10.00M,7.997B,0.00,78.00M,,,-3.354B,4.653B
2012-09,8.43B,586.00M,9.016B,5.545B,,,5.545B,,,569.00M,1.214B,16.34B,1.119B,6.147B,8.607B,,498.00M,78.00M,37.69B,-19.86B,17.83B,2.17B,614.00M,2.784B,,,,,,2.107B,22.72B,39.06B,1.863B,,391.00M,2.254B,857.00M,3.111B,,,,3.859B,,3.859B,1.48B,10.29B,,11.15B,,11.15B,1.332B,1.332B,,5.213B,85.00M,3.468B,21.16B,31.45B,10.00M,10.45B,0.00,77.00M,,,-2.929B,7.529B
2012-06,6.718B,604.00M,7.322B,5.541B,,,5.541B,,,593.00M,1.246B,14.70B,1.101B,6.079B,8.52B,,376.00M,78.00M,37.10B,-19.50B,17.60B,2.147B,620.00M,2.767B,,,,,,2.111B,22.48B,37.18B,2.046B,,390.00M,2.436B,779.00M,3.215B,,,,1.911B,,1.911B,1.494B,8.40B,,11.11B,,11.11B,1.778B,1.778B,,5.425B,80.00M,2.737B,21.05B,29.45B,10.00M,10.83B,0.00,76.00M,,,-3.192B,7.645B
2012-03,5.133B,947.00M,6.08B,5.637B,,,5.637B,,,635.00M,1.121B,13.47B,1.11B,6.09B,8.505B,,374.00M,89.00M,36.88B,-19.27B,17.61B,2.177B,634.00M,2.811B,,,,,,2.065B,22.49B,35.96B,2.00B,,567.00M,2.567B,772.00M,3.339B,,,,919.00M,,919.00M,1.404B,7.543B,,11.08B,,11.08B,1.87B,1.87B,,5.465B,76.00M,2.507B,20.92B,28.46B,10.00M,10.43B,0.00,76.00M,,,-3.02B,7.423B
2011-12,3.034B,1.241B,4.275B,6.246B,,,6.246B,345.00M,,611.00M,807.00M,12.28B,1.114B,6.038B,8.489B,,303.00M,,36.54B,-18.92B,17.62B,2.101B,585.00M,2.686B,303.00M,,,483.00M,118.00M,1.206B,22.42B,34.70B,2.30B,,,2.30B,1.843B,4.143B,781.00M,,,33.00M,,33.00M,1.557B,6.514B,1.806B,11.10B,,11.10B,1.90B,1.90B,,5.505B,73.00M,773.00M,21.08B,27.59B,10.00M,10.13B,0.00,88.00M,,,-3.103B,7.035B
2011-09,4.133B,1.32B,5.453B,5.418B,166.00M,,5.584B,,,634.00M,957.00M,12.63B,1.118B,6.013B,8.337B,,422.00M,102.00M,36.28B,-18.70B,17.58B,2.066B,622.00M,2.688B,,,231.00M,,,2.11B,22.61B,35.24B,1.974B,,,1.974B,765.00M,2.739B,,,,1.31B,,1.31B,1.589B,7.511B,,11.09B,,11.09B,2.394B,2.394B,1.813B,3.744B,71.00M,815.00M,19.86B,27.37B,10.00M,13.83B,0.00,87.00M,,,-6.04B,7.798B
2011-06,4.691B,946.00M,5.637B,5.602B,192.00M,,5.951B,,,661.00M,701.00M,12.95B,1.094B,6.052B,8.329B,,417.00M,110.00M,35.97B,-18.48B,17.49B,2.101B,593.00M,2.694B,,,248.00M,,,1.771B,22.20B,35.15B,2.078B,,,2.078B,768.00M,2.846B,,,,1.374B,,1.374B,1.71B,7.618B,,10.79B,,10.79B,2.175B,2.175B,1.808B,3.712B,75.00M,723.00M,19.20B,26.82B,10.00M,14.22B,3.00M,86.00M,,,-5.977B,8.254B
2011-03,4.657B,787.00M,5.444B,5.462B,196.00M,,5.781B,,,695.00M,698.00M,12.62B,1.093B,6.03B,8.298B,,388.00M,119.00M,35.64B,-18.24B,17.41B,2.107B,599.00M,2.706B,,,275.00M,,,1.588B,21.98B,34.59B,2.017B,,307.00M,2.324B,752.00M,3.076B,,,,1.554B,,1.554B,1.315B,7.605B,,10.50B,,10.50B,2.024B,2.024B,1.776B,3.648B,70.00M,803.00M,18.76B,26.36B,10.00M,14.21B,0.00,85.00M,,,-6.052B,8.164B
2010-12,3.37B,711.00M,4.081B,5.627B,,,5.627B,,,659.00M,1.202B,11.57B,1.081B,5.962B,8.208B,,265.00M,122.00M,35.22B,-17.83B,17.39B,2.081B,599.00M,2.68B,,,,,,1.961B,22.03B,33.60B,1.974B,,,1.974B,2.23B,4.204B,,,,355.00M,,355.00M,1.343B,5.902B,,10.49B,,10.49B,1.87B,1.87B,1.809B,4.663B,68.00M,815.00M,19.65B,25.55B,10.00M,10.60B,0.00,103.00M,,,-2.635B,7.979B
2010-09,3.02B,732.00M,3.752B,5.25B,259.00M,,5.629B,,,662.00M,713.00M,10.76B,1.079B,5.952B,8.206B,19.46B,215.00M,127.00M,35.04B,-17.57B,17.47B,2.085B,609.00M,2.694B,,,313.00M,,,1.673B,22.15B,32.91B,1.84B,,129.00M,1.969B,1.799B,3.768B,,,,994.00M,,994.00M,2.039B,6.801B,,8.648B,,8.648B,1.497B,1.497B,,4.85B,66.00M,2.585B,17.58B,24.38B,10.00M,13.60B,,101.00M,,,-5.153B,8.46B
2010-06,3.252B,755.00M,4.007B,5.11B,266.00M,,5.66B,,,552.00M,805.00M,11.02B,1.068B,5.885B,8.11B,19.50B,189.00M,134.00M,34.88B,-17.27B,17.62B,2.05B,628.00M,2.678B,,,312.00M,,,1.64B,22.24B,33.27B,1.708B,,291.00M,1.999B,1.909B,3.908B,,,,1.637B,,1.637B,2.142B,7.687B,,8.614B,,8.614B,1.429B,1.429B,,4.947B,65.00M,2.662B,17.65B,25.34B,10.00M,13.07B,5.00M,101.00M,,,-5.217B,7.865B
2010-03,2.544B,571.00M,3.115B,5.077B,277.00M,,5.599B,,,563.00M,783.00M,10.06B,1.073B,5.865B,7.926B,19.35B,453.00M,142.00M,34.81B,-17.05B,17.76B,2.07B,628.00M,2.698B,,,337.00M,,,1.651B,22.44B,32.50B,1.788B,,348.00M,2.136B,1.788B,3.924B,,,,1.406B,,1.406B,2.036B,7.366B,,8.548B,,8.548B,1.494B,1.494B,,4.954B,66.00M,2.529B,17.52B,24.89B,10.00M,12.69B,0.00,99.00M,,,-5.155B,7.547B
2009-12,1.542B,558.00M,2.10B,5.369B,287.00M,,5.922B,,,585.00M,668.00M,9.275B,1.079B,5.876B,7.962B,,488.00M,145.00M,34.81B,-16.83B,17.98B,2.089B,596.00M,2.685B,,,337.00M,,,1.607B,22.61B,31.88B,1.766B,,,1.766B,757.00M,2.523B,,,,853.00M,,853.00M,1.447B,6.239B,,8.668B,,8.668B,1.293B,1.293B,1.732B,5.457B,66.00M,798.00M,17.95B,24.19B,10.00M,12.74B,2.00M,108.00M,,,-5.127B,7.63B
2009-09,2.242B,546.00M,2.788B,4.851B,305.00M,,5.156B,,,698.00M,924.00M,9.566B,1.085B,5.793B,7.971B,19.15B,553.00M,156.00M,34.71B,-16.62B,18.09B,2.111B,509.00M,2.62B,,,362.00M,,,1.571B,22.64B,32.21B,1.486B,,,1.486B,1.787B,3.273B,,,,1.397B,,1.397B,2.104B,6.774B,,8.908B,,8.908B,927.00M,927.00M,,6.048B,65.00M,2.508B,18.39B,25.16B,10.00M,12.45B,49.00M,108.00M,,,-5.531B,6.981B
2009-06,2.818B,529.00M,3.347B,4.569B,325.00M,,4.894B,,,630.00M,1.311B,10.18B,1.075B,5.643B,7.467B,18.92B,1.001B,158.00M,34.27B,-16.29B,17.97B,1.991B,497.00M,2.488B,,,379.00M,,,1.517B,22.36B,32.54B,1.517B,,,1.517B,1.688B,3.205B,,,,2.017B,,2.017B,1.935B,7.157B,,8.866B,,8.866B,824.00M,824.00M,,6.465B,,2.435B,18.59B,25.75B,10.00M,12.35B,59.00M,107.00M,,,-5.628B,6.793B
