,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2015-09,14.24B,14.24B,11.13B,3.106B,,,,,83.00M,-83.00M,1.122B,1.122B,1.984B,83.00M,-83.00M,4.00M,-83.00M,1.905B,648.00M,1.257B,,1.257B,1.254B,2.515B,527.00M,1.988B,1.4,,,1.3969999999999998,1.4,1.39,,,1.3869999999999998,1.39,895.00M,903.00M,0.73
2015-06,14.10B,14.10B,11.02B,3.08B,,,,,86.00M,-86.00M,1.12B,1.12B,1.96B,86.00M,-86.00M,4.00M,-86.00M,1.878B,648.00M,1.23B,,1.23B,1.227B,2.474B,510.00M,1.964B,1.37,,,1.367,1.37,1.35,,,1.347,1.35,901.00M,908.00M,0.73
2015-03,13.98B,13.98B,11.21B,2.765B,,,,,87.00M,-87.00M,1.092B,1.092B,1.673B,87.00M,-87.00M,4.00M,-87.00M,1.59B,564.00M,1.026B,,1.026B,1.023B,2.183B,506.00M,1.677B,1.13,,,1.127,1.13,1.12,,,1.117,1.12,906.00M,913.00M,0.73
2014-12,15.90B,15.90B,13.78B,2.117B,,,,,87.00M,-87.00M,1.363B,1.363B,754.00M,87.00M,-87.00M,-5.00M,-87.00M,662.00M,209.00M,453.00M,,453.00M,456.42M,1.246B,497.00M,749.00M,0.5,,,0.5038,0.5,0.49,,,0.4937,0.49,910.00M,915.00M,0.67
2014-09,14.29B,14.29B,11.31B,2.979B,,,,,87.00M,-87.00M,1.025B,1.025B,1.954B,87.00M,-87.00M,2.00M,-87.00M,1.869B,655.00M,1.214B,,1.214B,1.213B,2.441B,485.00M,1.956B,1.33,,,1.329,1.33,1.32,,,1.319,1.32,913.00M,922.00M,0.67
2014-06,14.27B,14.27B,12.40B,1.87B,,,,,89.00M,-89.00M,1.123B,1.123B,747.00M,89.00M,-89.00M,25.00M,-89.00M,683.00M,229.00M,454.00M,,454.00M,437.38M,1.245B,473.00M,772.00M,0.49,,,0.4719,0.49,0.49,,,0.4721,0.49,918.00M,927.00M,0.67
2014-03,13.78B,13.78B,11.24B,2.54B,,,,,90.00M,-90.00M,1.027B,1.027B,1.513B,90.00M,-90.00M,,-90.00M,1.423B,512.00M,911.00M,,911.00M,911.00M,1.981B,468.00M,1.513B,0.99,,,0.99,0.99,0.98,,,0.98,0.98,921.00M,931.00M,0.67
2013-12,14.98B,14.98B,11.93B,3.049B,,,,,94.00M,-94.00M,1.141B,1.141B,1.908B,94.00M,-94.00M,10.00M,-94.00M,1.824B,657.00M,1.167B,,1.167B,1.161B,2.385B,467.00M,1.918B,1.26,,,1.253,1.26,1.25,,,1.2429999999999999,1.25,931.00M,936.00M,0.62
2013-09,13.52B,13.52B,10.71B,2.815B,,,,,92.00M,-92.00M,1.011B,1.011B,1.804B,92.00M,-92.00M,2.00M,-92.00M,1.714B,617.00M,1.097B,,1.097B,1.096B,2.266B,460.00M,1.806B,1.17,,,1.169,1.17,1.16,,,1.159,1.16,935.00M,944.00M,0.62
2013-06,13.51B,13.51B,10.70B,2.803B,,,,,98.00M,-98.00M,1.061B,1.061B,1.742B,98.00M,-98.00M,3.00M,-98.00M,1.647B,576.00M,1.071B,,1.071B,1.069B,2.211B,466.00M,1.745B,1.14,,,1.138,1.14,1.13,,,1.128,1.13,943.00M,952.00M,0.62
2013-03,13.43B,13.43B,10.79B,2.644B,,,,,96.00M,-96.00M,1.064B,1.064B,1.58B,96.00M,-96.00M,5.00M,-96.00M,1.489B,452.00M,1.037B,,1.037B,1.034B,2.059B,474.00M,1.585B,1.09,,,1.0859999999999999,1.09,1.08,,,1.0759999999999998,1.08,952.00M,960.00M,0.62
2012-12,14.57B,14.57B,16.21B,-1.64B,,,,,109.00M,-109.00M,1.142B,1.142B,-2.782B,109.00M,-109.00M,6.00M,-109.00M,-2.885B,-1.137B,-1.748B,,-1.748B,-1.752B,-2.30B,476.00M,-2.776B,-1.83,,,-1.834,-1.83,-1.83,,,-1.834,-1.83,954.00M,963.00M,0.57
2012-09,13.07B,13.07B,11.28B,1.792B,,,,,98.00M,-98.00M,1.026B,1.026B,766.00M,98.00M,-98.00M,6.00M,-98.00M,674.00M,205.00M,469.00M,,469.00M,464.82M,1.236B,464.00M,772.00M,0.49,,,0.4857,0.49,0.48,,,0.4757,0.48,961.00M,970.00M,0.57
2012-06,13.35B,13.35B,10.47B,2.88B,,,,,92.00M,-92.00M,1.09B,1.09B,1.79B,92.00M,-92.00M,6.00M,-92.00M,1.704B,588.00M,1.116B,,1.116B,1.112B,2.255B,459.00M,1.796B,1.16,,,1.156,1.16,1.15,,,1.146,1.15,962.00M,971.00M,0.57
2012-03,13.14B,13.14B,10.58B,2.561B,,,,,94.00M,-94.00M,992.00M,992.00M,1.569B,94.00M,-94.00M,6.00M,-94.00M,1.481B,511.00M,970.00M,,970.00M,966.07M,2.034B,459.00M,1.575B,1.01,,,1.006,1.01,1.0,,,0.996,1.0,962.00M,972.00M,0.57
2011-12,14.17B,14.17B,33.72B,-19.56B,,,,,96.00M,-96.00M,1.138B,-20.75B,1.197B,96.00M,-96.00M,8.00M,-96.00M,1.109B,384.00M,725.00M,,725.00M,725.00M,1.656B,451.00M,1.205B,0.76,,,0.76,0.76,0.75,,,0.75,0.75,966.00M,976.00M,0.52
2011-09,13.17B,13.17B,3.135B,10.03B,6.876B,6.876B,,16.00M,84.00M,-84.00M,1.042B,8.365B,1.666B,84.00M,-84.00M,16.00M,-84.00M,1.598B,526.00M,1.072B,,1.072B,1.061B,2.129B,447.00M,1.682B,1.1,0.0,,1.089,1.1,1.09,0.0,,1.079,1.09,977.00M,987.00M,0.52
2011-06,13.19B,13.19B,3.136B,10.06B,7.867B,7.867B,,9.00M,83.00M,-83.00M,,8.31B,1.745B,83.00M,-83.00M,9.00M,-83.00M,1.671B,579.00M,1.092B,,1.092B,1.086B,2.197B,443.00M,1.754B,1.11,0.0,,1.104,1.11,1.09,0.0,,1.084,1.09,990.00M,1.00B,0.52
2011-03,12.58B,12.58B,2.871B,9.711B,7.798B,7.798B,,11.00M,85.00M,-85.00M,,8.239B,1.472B,85.00M,-85.00M,11.00M,-85.00M,1.398B,483.00M,915.00M,,915.00M,907.80M,1.924B,441.00M,1.483B,0.92,0.0,,0.9127,0.92,0.91,0.0,,0.9028,0.91,992.00M,1.002B,0.52
2010-12,13.42B,13.42B,32.30B,-18.88B,,,,,94.00M,-94.00M,,-20.46B,1.581B,94.00M,-94.00M,10.00M,-94.00M,1.497B,528.00M,969.00M,,969.00M,962.53M,2.035B,444.00M,1.591B,0.98,,,0.9735,0.98,0.97,,,0.9635,0.97,994.00M,1.003B,0.47
2010-09,12.19B,12.19B,2.662B,9.53B,7.466B,7.466B,,,91.00M,-91.00M,,7.914B,1.616B,91.00M,-91.00M,15.00M,-91.00M,1.54B,549.00M,991.00M,,991.00M,981.35M,2.079B,448.00M,1.631B,1.0,0.0,,0.9903,1.0,0.99,0.0,,0.9804,0.99,994.00M,1.004B,0.47
2010-06,12.20B,12.20B,2.611B,9.593B,7.742B,7.742B,,-18.00M,84.00M,-84.00M,,8.191B,1.402B,84.00M,-84.00M,-18.00M,-84.00M,1.30B,455.00M,845.00M,,845.00M,856.70M,1.833B,449.00M,1.384B,0.85,0.0,,0.8618,0.85,0.84,0.0,,0.8517,0.84,994.00M,1.003B,0.47
2010-03,11.73B,11.73B,2.453B,9.275B,7.782B,7.782B,,-4.00M,85.00M,-85.00M,,8.233B,1.042B,85.00M,-85.00M,-4.00M,-85.00M,953.00M,420.00M,533.00M,,533.00M,535.60M,1.489B,451.00M,1.038B,0.54,0.0,,0.5426,0.54,0.53,0.0,,0.5326,0.53,995.00M,1.004B,0.47
2009-12,12.38B,12.38B,2.637B,9.74B,8.031B,8.031B,,13.00M,89.00M,-89.00M,,8.481B,1.259B,89.00M,-89.00M,13.00M,-89.00M,1.183B,426.00M,757.00M,,757.00M,748.68M,1.722B,450.00M,1.272B,0.76,0.0,,0.7517,0.76,0.75,0.0,,0.7417,0.75,998.00M,1.004B,0.45
2009-09,11.15B,11.15B,2.198B,8.955B,7.585B,7.585B,,6.00M,93.00M,-93.00M,,8.026B,929.00M,93.00M,-93.00M,6.00M,-93.00M,842.00M,293.00M,549.00M,,549.00M,545.09M,1.376B,441.00M,935.00M,0.55,0.0,,0.5461,0.55,0.55,0.0,,0.5461,0.55,997.00M,1.004B,0.45
2009-06,10.83B,10.83B,1.727B,9.102B,7.508B,7.508B,,-22.00M,181.00M,-181.00M,,7.934B,1.168B,181.00M,-181.00M,-22.00M,-181.00M,692.00M,247.00M,445.00M,,445.00M,459.15M,1.299B,426.00M,873.00M,0.45,0.0,,0.4642,0.45,0.44,0.0,,0.4541,0.44,998.00M,1.004B,0.45
2009-03,10.94B,10.94B,1.984B,8.954B,7.806B,7.806B,,13.00M,82.00M,-82.00M,,8.236B,718.00M,82.00M,-82.00M,13.00M,-82.00M,649.00M,248.00M,401.00M,,401.00M,392.97M,1.161B,430.00M,731.00M,0.4,0.0,,0.3919,0.4,0.4,0.0,,0.392,0.4,997.00M,1.003B,0.45
2008-12,12.70B,12.70B,2.708B,9.989B,8.732B,8.732B,,17.00M,100.00M,-100.00M,,9.186B,803.00M,100.00M,-100.00M,17.00M,-100.00M,720.00M,466.00M,254.00M,,254.00M,242.95M,1.274B,454.00M,820.00M,0.27,0.0,,0.259,0.27,0.27,0.0,,0.259,0.27,1.001B,1.004B,0.45
2008-09,13.11B,13.11B,3.178B,9.935B,7.847B,7.847B,,-13.00M,104.00M,-104.00M,,8.303B,1.632B,104.00M,-104.00M,-13.00M,-104.00M,1.515B,545.00M,970.00M,,970.00M,978.32M,2.075B,456.00M,1.619B,0.96,0.0,,0.9683,0.96,0.96,0.0,,0.9682,0.96,1.006B,1.013B,0.45
2008-06,13.00B,13.00B,3.149B,9.852B,7.946B,7.946B,,14.00M,104.00M,-104.00M,,8.398B,1.454B,104.00M,-104.00M,14.00M,-104.00M,1.364B,491.00M,873.00M,,873.00M,864.04M,1.92B,452.00M,1.468B,0.86,0.0,,0.8512,0.86,0.85,0.0,,0.8413,0.85,1.021B,1.029B,0.45
2008-03,12.68B,12.68B,2.843B,9.832B,7.887B,7.887B,,57.00M,134.00M,-134.00M,,8.339B,1.493B,134.00M,-134.00M,57.00M,-134.00M,1.416B,510.00M,906.00M,,906.00M,869.53M,2.002B,452.00M,1.55B,0.87,0.0,,0.8348,0.87,0.87,0.0,,0.8351,0.87,1.037B,1.044B,0.45
2007-12,13.39B,13.39B,2.918B,10.47B,14.28B,14.28B,,43.00M,83.00M,-83.00M,,14.73B,-4.253B,83.00M,-83.00M,43.00M,-83.00M,-4.293B,-1.652B,-2.641B,,-2.641B,-2.667B,-3.767B,443.00M,-4.21B,-2.49,0.0,,-2.515,-2.49,-2.49,0.0,,-2.515,-2.49,1.048B,1.054B,0.42
2007-09,12.20B,12.20B,2.48B,9.725B,7.582B,7.582B,,14.00M,53.00M,-53.00M,,8.017B,1.708B,53.00M,-53.00M,14.00M,-53.00M,1.669B,593.00M,1.076B,,1.076B,1.067B,2.157B,435.00M,1.722B,1.02,0.0,,1.011,1.02,1.02,0.0,,1.011,1.02,1.051B,1.058B,0.42
2007-06,12.19B,12.19B,2.383B,9.806B,7.61B,7.61B,,28.00M,61.00M,-61.00M,,8.041B,1.765B,61.00M,-61.00M,28.00M,-61.00M,1.732B,628.00M,1.104B,,1.104B,1.086B,2.224B,431.00M,1.793B,1.04,0.0,,1.023,1.04,1.04,0.0,,1.023,1.04,1.058B,1.066B,0.42
2007-03,11.91B,11.91B,1.946B,9.96B,,,,14.00M,,,8.166B,8.602B,1.358B,,,14.00M,,1.323B,480.00M,843.00M,,843.00M,834.08M,1.794B,436.00M,1.358B,0.79,0.0,,0.7816,0.79,0.78,0.0,,0.7717,0.78,1.067B,1.081B,0.42
2006-12,12.63B,12.63B,,,,,,15.00M,,,,1.513B,1.809B,,,15.00M,,1.769B,641.00M,1.128B,,1.128B,1.118B,2.327B,432.00M,1.895B,1.04,0.0,,1.031,1.04,1.04,0.0,,1.031,1.04,1.081B,1.086B,0.38
2006-09,11.66B,11.66B,,,,,,25.00M,,,9.645B,10.09B,1.576B,,,25.00M,,1.547B,509.00M,1.038B,,1.038B,1.021B,2.017B,441.00M,1.576B,0.96,0.0,,0.9445,0.96,0.96,0.0,,0.9445,0.96,1.081B,1.081B,0.38
2006-06,11.74B,11.74B,,,,,,23.00M,,,9.605B,10.04B,1.695B,,,23.00M,,1.664B,603.00M,1.061B,,1.061B,1.046B,2.131B,436.00M,1.695B,0.98,0.0,,0.9665,0.98,0.97,0.0,,0.9566,0.97,1.083B,1.094B,0.38
2006-03,11.52B,11.52B,,,,,,23.00M,,,9.527B,9.966B,1.555B,,,23.00M,,1.53B,555.00M,975.00M,,975.00M,960.34M,1.994B,439.00M,1.555B,0.89,0.0,,0.8766,0.89,0.89,0.0,,0.8766,0.89,1.096B,1.096B,0.38
2005-12,11.95B,11.95B,,,,,431.00M,8.00M,,,30.00B,10.24B,6.508B,,,8.00M,,1.667B,618.00M,1.049B,,1.049B,1.044B,6.939B,431.00M,6.508B,0.95,0.0,,0.9454,0.95,0.95,0.0,,0.9454,0.95,1.103B,1.103B,0.33
2005-09,10.55B,10.55B,,,,,412.00M,28.00M,,,8.64B,9.052B,1.498B,,,28.00M,,1.489B,536.00M,953.00M,,953.00M,935.08M,1.91B,412.00M,1.498B,0.86,0.0,,0.8438,0.86,0.86,0.0,,0.8438,0.86,1.108B,1.108B,0.33
2005-06,10.19B,10.19B,,,,,,38.00M,,,,8.642B,1.549B,,,38.00M,,1.541B,555.00M,986.00M,,986.00M,961.69M,1.952B,403.00M,1.549B,0.88,0.0,,0.8583,0.88,0.88,0.0,,0.8583,0.88,1.120B,1.120B,0.33
2005-03,9.886B,9.886B,,,,,,30.00M,,,,8.501B,1.385B,,,30.00M,,1.378B,496.00M,882.00M,,882.00M,862.80M,1.783B,398.00M,1.385B,0.78,0.0,,0.763,0.78,0.78,0.0,,0.763,0.78,1.131B,1.131B,0.33
2004-12,9.84B,9.84B,4.26B,5.58B,,5.53B,,25.00M,,,2.717B,8.636B,-3.056B,,,25.00M,,1.192B,326.00M,866.00M,,866.00M,847.84M,-2.667B,389.00M,-3.056B,0.76,0.0,,0.7441,0.76,0.76,0.0,,0.7441,0.76,1.140B,1.140B,0.28
2004-09,8.952B,8.952B,1.75B,7.202B,,5.561B,383.00M,26.00M,,,1.75B,7.694B,-492.00M,,,26.00M,,1.246B,356.00M,890.00M,,890.00M,871.43M,-109.00M,383.00M,-492.00M,0.79,0.0,,0.7735,0.79,0.78,0.0,,0.7637,0.78,1.127B,1.141B,0.28
2004-06,8.871B,8.871B,2.482B,6.389B,,5.079B,,14.00M,,,2.482B,7.561B,-1.172B,,,14.00M,,1.289B,471.00M,818.00M,,818.00M,809.12M,-787.00M,385.00M,-1.172B,0.73,0.0,,0.7221,0.73,0.72,0.0,,0.7122,0.72,1.121B,1.136B,0.28
2004-03,8.919B,8.919B,2.534B,6.385B,,5.168B,,17.00M,,,2.534B,7.702B,-1.317B,,,17.00M,,1.195B,436.00M,759.00M,,759.00M,748.20M,-931.00M,386.00M,-1.317B,0.67,0.0,,0.6605,0.67,0.67,0.0,,0.6605,0.67,1.133B,1.133B,0.28
2003-12,8.932B,8.932B,,,,,,79.00M,,,,7.687B,-6.995B,,,79.00M,,1.297B,441.00M,856.00M,,856.00M,803.86M,-6.608B,387.00M,-6.995B,0.76,0.0,,0.7137,0.76,0.75,0.0,,0.7044,0.75,1.126B,1.143B,0.25
2003-09,8.312B,8.312B,,,,,,23.00M,,,,7.165B,1.147B,,,23.00M,,1.139B,400.00M,739.00M,,739.00M,724.08M,1.531B,384.00M,1.147B,0.66,0.0,,0.6467,0.66,0.65,0.0,,0.6369,0.65,1.120B,1.137B,0.25
2003-06,8.226B,8.226B,,,,,,10.00M,,,,7.146B,1.08B,,,10.00M,,1.052B,360.00M,692.00M,,692.00M,685.42M,1.471B,391.00M,1.08B,0.61,0.0,,0.6042,0.61,0.61,0.0,,0.6042,0.61,1.134B,1.134B,0.21
2003-03,8.015B,8.015B,2.362B,5.653B,,4.708B,,-38.00M,,,2.362B,7.07B,-1.417B,,,-38.00M,,882.00M,271.00M,611.00M,,611.00M,637.32M,-1.03B,387.00M,-1.417B,0.54,0.0,,0.5633,0.54,0.54,0.0,,0.5633,0.54,1.131B,1.131B,0.21
2002-12,8.257B,8.257B,2.062B,6.195B,,4.54B,378.00M,936.00M,,,,5.941B,254.00M,,,936.00M,,2.161B,659.00M,1.502B,0.00,1.502B,851.43M,632.00M,-378.00M,254.00M,1.27,0.07,0.0,0.6931,1.34,1.26,0.07,0.0001,0.6846,1.33,1.128B,1.131B,0.19
2002-09,7.754B,7.754B,1.911B,5.843B,,4.52B,373.00M,20.00M,,,,4.893B,950.00M,,,20.00M,,940.00M,362.00M,578.00M,,578.00M,565.70M,1.323B,-1.799B,950.00M,0.52,0.0,,0.509,0.52,0.51,0.0,,0.4992,0.51,1.118B,1.134B,0.19
2002-06,7.682B,7.682B,1.857B,5.825B,,4.435B,362.00M,12.00M,,,1.857B,6.654B,-829.00M,,,12.00M,,992.00M,381.00M,611.00M,0.00,611.00M,603.61M,235.00M,1.064B,-829.00M,0.55,0.0,0.0,0.5433,0.55,0.54,0.0,0.0,0.5335,0.54,1.111B,1.131B,0.19
2002-03,7.579B,7.579B,1.832B,5.747B,,4.449B,351.00M,12.00M,,,,4.80B,947.00M,,,12.00M,,916.00M,353.00M,563.00M,-72.00M,491.00M,555.62M,1.298B,-351.00M,947.00M,0.5,-0.06,0.0,0.4934,0.44,0.5,-0.07,-0.0644,0.4935,0.43,1.118B,1.134B,0.19
2001-12,7.997B,7.997B,,,,4.571B,,2.858B,,,6.137B,9.691B,1.034B,,,2.858B,,1.019B,374.00M,645.00M,0.00,645.00M,-1.164B,1.034B,-379.00M,1.034B,0.58,0.02,0.0,-1.0290000000000001,0.6,0.55,0.02,-0.0,-1.0490000000000002,0.58,1.124B,1.132B,0.19
2001-09,7.398B,7.398B,899.00M,6.499B,,4.306B,361.00M,-855.00M,,,889.00M,5.556B,943.00M,,,-855.00M,,932.00M,364.00M,568.00M,,568.00M,1.089B,1.304B,-361.00M,943.00M,0.5,0.0,,0.9628,0.5,0.5,0.0,,0.9547,0.5,1.126B,1.146B,0.19
2001-06,7.491B,7.491B,,,,4.269B,,-2.142B,,,,4.269B,3.222B,,,-2.142B,,1.033B,403.00M,630.00M,,630.00M,1.936B,3.222B,-338.00M,3.222B,0.56,0.0,,1.719,0.56,0.55,0.0,,1.6909999999999998,0.55,1.127B,1.145B,0.19
2001-03,7.51B,7.51B,1.997B,5.513B,,4.251B,318.00M,53.00M,,,,4.569B,944.00M,,,53.00M,,953.00M,371.00M,582.00M,-26.00M,556.00M,549.63M,1.262B,-318.00M,944.00M,0.52,-0.01,0.0,0.4913,0.51,0.49,-0.01,-0.023,0.4618,0.48,1.129B,1.148B,0.19
2000-12,7.90B,7.627B,2.13B,5.497B,,4.357B,309.00M,93.00M,,,1.857B,6.523B,-1.026B,,,93.00M,,1.15B,426.00M,724.00M,,724.00M,665.45M,-717.00M,-2.037B,-1.026B,0.63,0.0,,0.5791,0.63,0.63,0.0,,0.5791,0.63,1.149B,1.149B,0.17
