,NetIncome,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2018-03,1.345B,110.00M,110.00M,,596.00M,596.00M,106.00M,,239.00M,73.00M,1.201B,,,-668.00M,1.10B,-24.00M,,1.609B,4.067B,-1.537B,20.00M,20.00M,0.00,69.00M,2.00M,-1.446B,-1.497B,165.00M,-1.332B,77.00M,-261.00M,-184.00M,-754.00M,-754.00M,-280.00M,-2.55B,3.769B,71.00M,-14.00M,3.826B,77.00M,159.00M,-1.656B,-261.00M
2017-12,1.096B,-4.217B,-4.217B,,594.00M,594.00M,926.00M,,121.00M,97.00M,-1.84B,,,1.063B,-1.135B,339.00M,,-1.573B,-2.939B,-1.519B,6.00M,6.00M,-73.00M,243.00M,-13.00M,-1.356B,5.199B,104.00M,5.303B,70.00M,-467.00M,-397.00M,-686.00M,-686.00M,-19.00M,4.201B,3.866B,-94.00M,-3.00M,3.769B,70.00M,6.688B,-1.489B,-467.00M
2017-09,1.259B,133.00M,133.00M,,572.00M,572.00M,118.00M,,118.00M,31.00M,-320.00M,,,279.00M,-269.00M,-124.00M,,-434.00M,1.797B,-1.699B,4.00M,4.00M,-4.00M,88.00M,21.00M,-1.59B,283.00M,456.00M,739.00M,45.00M,-448.00M,-403.00M,-696.00M,-696.00M,2.00M,-358.00M,3.991B,-151.00M,26.00M,3.866B,45.00M,1.513B,-1.23B,-448.00M
2017-06,1.384B,190.00M,190.00M,,562.00M,562.00M,81.00M,,133.00M,-32.00M,4.00M,,,164.00M,37.00M,-184.00M,,21.00M,2.382B,-1.071B,3.00M,3.00M,-32.00M,-18.00M,3.00M,-1.115B,2.026B,-1.372B,654.00M,58.00M,-460.00M,-402.00M,-694.00M,-694.00M,10.00M,-432.00M,3.142B,835.00M,14.00M,3.991B,58.00M,2.743B,-717.00M,-460.00M
2017-03,1.166B,-2.257B,-2.257B,,554.00M,554.00M,99.00M,,212.00M,-11.00M,1.134B,,,-707.00M,383.00M,-274.00M,,536.00M,239.00M,-938.00M,11.00M,11.00M,-25.00M,47.00M,-5.00M,-910.00M,569.00M,562.00M,1.131B,74.00M,-438.00M,-364.00M,-695.00M,-695.00M,-196.00M,-124.00M,3.921B,-795.00M,16.00M,3.142B,74.00M,1.072B,-503.00M,-438.00M
2016-12,-248.00M,1.551B,1.551B,,563.00M,563.00M,267.00M,,120.00M,-35.00M,-1.486B,,,781.00M,-365.00M,-55.00M,,-1.125B,1.11B,-1.128B,12.00M,12.00M,-544.00M,1.123B,1.00M,-536.00M,427.00M,601.00M,1.028B,49.00M,-671.00M,-622.00M,-656.00M,-656.00M,-109.00M,-359.00M,3.299B,215.00M,-35.00M,3.921B,49.00M,1.909B,-1.482B,-671.00M
2016-09,1.27B,-942.00M,-942.00M,,554.00M,554.00M,-119.00M,,125.00M,-91.00M,-272.00M,,,153.00M,140.00M,-135.00M,,-114.00M,670.00M,-874.00M,65.00M,65.00M,0.00,579.00M,-3.00M,-233.00M,-61.00M,1.092B,1.031B,49.00M,-678.00M,-629.00M,-660.00M,-660.00M,61.00M,-197.00M,3.059B,240.00M,0.00,3.299B,49.00M,1.128B,-1.189B,-678.00M
2016-06,1.269B,224.00M,224.00M,,555.00M,555.00M,-36.00M,,131.00M,-14.00M,-28.00M,,,296.00M,95.00M,-492.00M,,-129.00M,2.023B,-536.00M,8.00M,8.00M,3.00M,-166.00M,5.00M,-686.00M,178.00M,-1.022B,-844.00M,64.00M,-689.00M,-625.00M,-661.00M,-661.00M,-14.00M,-2.144B,3.887B,-807.00M,-21.00M,3.059B,64.00M,1.089B,-911.00M,-689.00M
2016-03,1.131B,224.00M,224.00M,,552.00M,552.00M,5.00M,,215.00M,-83.00M,1.082B,,,-679.00M,135.00M,136.00M,,674.00M,2.67B,-427.00M,3.00M,3.00M,-6.00M,-625.00M,-53.00M,-1.108B,1.578B,-759.00M,819.00M,83.00M,-640.00M,-557.00M,-666.00M,-666.00M,-36.00M,-440.00M,2.73B,1.122B,35.00M,3.887B,83.00M,1.801B,-223.00M,-640.00M
2015-12,1.331B,-700.00M,-700.00M,,541.00M,541.00M,738.00M,,122.00M,-108.00M,-1.19B,,,540.00M,-107.00M,-220.00M,,-977.00M,1.015B,-731.00M,12.00M,12.00M,21.00M,226.00M,122.00M,-350.00M,831.00M,-1.017B,-186.00M,55.00M,-674.00M,-619.00M,-626.00M,-626.00M,26.00M,-1.405B,3.441B,-740.00M,29.00M,2.73B,55.00M,1.856B,-1.025B,-674.00M
2015-09,1.257B,220.00M,220.00M,,527.00M,527.00M,-58.00M,,124.00M,-33.00M,-142.00M,,,-13.00M,220.00M,200.00M,,265.00M,2.176B,-690.00M,6.00M,6.00M,-1.835B,460.00M,-124.00M,-2.183B,144.00M,1.227B,1.371B,54.00M,-680.00M,-626.00M,-629.00M,-629.00M,-24.00M,92.00M,3.43B,85.00M,-74.00M,3.441B,54.00M,355.00M,-211.00M,-680.00M
2015-06,1.23B,217.00M,217.00M,,510.00M,510.00M,-91.00M,,134.00M,-86.00M,117.00M,,,18.00M,82.00M,-651.00M,,-434.00M,1.488B,-593.00M,6.00M,6.00M,-80.00M,-747.00M,-5.00M,-1.419B,-797.00M,856.00M,59.00M,68.00M,-672.00M,-604.00M,-634.00M,-634.00M,28.00M,-1.151B,4.482B,-1.082B,30.00M,3.43B,68.00M,6.00M,-803.00M,-672.00M
2015-03,1.026B,223.00M,223.00M,,506.00M,506.00M,-49.00M,,194.00M,-11.00M,763.00M,,,-755.00M,219.00M,665.00M,,892.00M,2.751B,-365.00M,2.00M,2.00M,-10.00M,-966.00M,-18.00M,-1.357B,881.00M,1.463B,2.344B,72.00M,-676.00M,-604.00M,-636.00M,-636.00M,-205.00M,899.00M,2.291B,2.293B,-102.00M,4.482B,72.00M,1.566B,-685.00M,-676.00M
2014-12,453.00M,-65.00M,-65.00M,,497.00M,497.00M,318.00M,,106.00M,61.00M,-971.00M,,,883.00M,172.00M,5.00M,,89.00M,1.535B,-884.00M,25.00M,25.00M,-66.00M,276.00M,-13.00M,-662.00M,-434.00M,-1.066B,-1.50B,71.00M,-633.00M,-562.00M,-586.00M,-586.00M,-100.00M,-2.748B,4.204B,-1.875B,-38.00M,2.291B,71.00M,239.00M,-673.00M,-633.00M
2014-09,1.214B,163.00M,163.00M,,485.00M,485.00M,259.00M,,124.00M,40.00M,-137.00M,,,97.00M,209.00M,105.00M,,274.00M,2.359B,-631.00M,18.00M,18.00M,0.00,264.00M,12.00M,-337.00M,521.00M,-30.00M,491.00M,54.00M,-683.00M,-629.00M,-588.00M,-588.00M,-55.00M,-781.00M,3.056B,1.241B,-93.00M,4.204B,54.00M,522.00M,-1.00M,-683.00M
2014-06,454.00M,-771.00M,-771.00M,,473.00M,473.00M,-132.00M,,142.00M,56.00M,-74.00M,,,-265.00M,-276.00M,-22.00M,,-637.00M,-435.00M,-491.00M,6.00M,6.00M,0.00,-463.00M,-9.00M,-957.00M,-248.00M,-87.00M,-335.00M,73.00M,-709.00M,-636.00M,-596.00M,-596.00M,55.00M,-1.512B,5.946B,-2.904B,14.00M,3.056B,73.00M,764.00M,-1.012B,-709.00M
2014-03,911.00M,184.00M,184.00M,,468.00M,468.00M,-60.00M,,164.00M,95.00M,659.00M,,,-333.00M,7.00M,229.00M,,562.00M,2.267B,-322.00M,4.00M,4.00M,-22.00M,-496.00M,-9.00M,-845.00M,-8.00M,1.183B,1.175B,76.00M,-670.00M,-594.00M,-596.00M,-596.00M,-105.00M,-120.00M,4.665B,1.302B,-21.00M,5.946B,76.00M,0.00,-8.00M,-670.00M
2013-12,1.167B,226.00M,226.00M,,467.00M,467.00M,149.00M,,107.00M,26.00M,-932.00M,,,942.00M,-24.00M,14.00M,,0.00,2.244B,-460.00M,14.00M,14.00M,-2.00M,991.00M,-194.00M,349.00M,-14.00M,-1.653B,-1.667B,123.00M,-972.00M,-849.00M,-558.00M,-558.00M,-17.00M,-3.091B,5.182B,-498.00M,-19.00M,4.665B,123.00M,0.00,-14.00M,-972.00M
2013-09,1.097B,229.00M,229.00M,,460.00M,460.00M,-113.00M,,118.00M,66.00M,-125.00M,,,-50.00M,26.00M,-7.00M,,-156.00M,1.629B,-615.00M,66.00M,66.00M,-20.00M,-84.00M,43.00M,-610.00M,0.00,608.00M,608.00M,75.00M,-999.00M,-924.00M,-562.00M,-562.00M,203.00M,-675.00M,4.808B,344.00M,30.00M,5.182B,75.00M,0.00,0.00,-999.00M
2013-06,1.071B,222.00M,222.00M,,466.00M,466.00M,-94.00M,,131.00M,28.00M,121.00M,,,27.00M,-36.00M,-286.00M,,-174.00M,1.673B,-537.00M,12.00M,12.00M,0.00,-498.00M,-77.00M,-1.10B,-111.00M,-427.00M,-538.00M,112.00M,-842.00M,-730.00M,-568.00M,-568.00M,-359.00M,-2.195B,6.456B,-1.622B,-26.00M,4.808B,112.00M,-1.00M,-110.00M,-842.00M
2013-03,1.037B,226.00M,226.00M,,474.00M,474.00M,-188.00M,,157.00M,-225.00M,421.00M,,,-285.00M,21.00M,139.00M,,296.00M,1.758B,-453.00M,12.00M,12.00M,0.00,-400.00M,88.00M,-753.00M,-1.65B,1.472B,-178.00M,181.00M,-1.025B,-844.00M,-572.00M,-572.00M,-252.00M,-1.846B,7.327B,-841.00M,-30.00M,6.456B,181.00M,101.00M,-1.751B,-1.025B
2012-12,-1.748B,4.991B,4.991B,,476.00M,476.00M,-2.413B,,126.00M,885.00M,-592.00M,,,306.00M,57.00M,10.00M,,-219.00M,2.113B,-550.00M,34.00M,34.00M,0.00,-17.00M,105.00M,-428.00M,-4.00M,-2.075B,-2.079B,48.00M,-219.00M,-171.00M,-530.00M,-530.00M,-104.00M,-2.884B,8.43B,-1.199B,96.00M,7.327B,48.00M,4.00M,-8.00M,-219.00M
2012-09,469.00M,-178.00M,-178.00M,,464.00M,464.00M,478.00M,,126.00M,19.00M,-22.00M,,,-69.00M,3.00M,-108.00M,,-196.00M,1.253B,-654.00M,29.00M,29.00M,0.00,-19.00M,44.00M,-600.00M,1.737B,198.00M,1.935B,59.00M,-517.00M,-458.00M,-532.00M,-532.00M,-36.00M,909.00M,6.718B,1.562B,150.00M,8.43B,59.00M,1.737B,0.00,-517.00M
2012-06,1.116B,5.00M,5.00M,,459.00M,459.00M,-56.00M,,133.00M,2.00M,-95.00M,,,36.00M,-16.00M,-73.00M,,-148.00M,1.57B,-521.00M,13.00M,13.00M,0.00,362.00M,98.00M,-48.00M,-8.00M,992.00M,984.00M,63.00M,-338.00M,-275.00M,-534.00M,-534.00M,-68.00M,107.00M,5.133B,1.629B,-44.00M,6.718B,63.00M,0.00,-8.00M,-338.00M
2012-03,970.00M,18.00M,18.00M,,459.00M,459.00M,-92.00M,,162.00M,57.00M,585.00M,,,-233.00M,-34.00M,377.00M,,695.00M,2.28B,-428.00M,19.00M,19.00M,-100.00M,302.00M,-52.00M,-259.00M,4.00M,885.00M,889.00M,131.00M,-547.00M,-416.00M,-534.00M,-534.00M,112.00M,51.00M,3.034B,2.072B,27.00M,5.133B,131.00M,4.00M,0.00,-547.00M
2011-12,725.00M,993.00M,833.00M,,451.00M,451.00M,-73.00M,,122.00M,126.00M,-834.00M,,,288.00M,-78.00M,98.00M,,-526.00M,1.711B,-448.00M,-2.00M,-2.00M,-73.00M,-68.00M,170.00M,-421.00M,-9.00M,-1.293B,-1.302B,70.00M,-492.00M,-422.00M,,-497.00M,-157.00M,-2.378B,4.133B,-1.088B,-11.00M,3.034B,70.00M,2.00M,-11.00M,-492.00M
2011-09,1.072B,108.00M,177.00M,,447.00M,447.00M,145.00M,,130.00M,-16.00M,-8.00M,,,154.00M,80.00M,-133.00M,,93.00M,2.048B,-606.00M,7.00M,7.00M,0.00,-328.00M,-120.00M,-1.047B,107.00M,-62.00M,45.00M,57.00M,-1.121B,-1.064B,,-493.00M,-1.00M,-1.513B,4.691B,-512.00M,-46.00M,4.133B,57.00M,108.00M,-1.00M,-1.121B
2011-06,1.092B,165.00M,233.00M,,443.00M,443.00M,114.00M,,152.00M,36.00M,-127.00M,,,83.00M,-32.00M,39.00M,,-37.00M,2.033B,-549.00M,11.00M,11.00M,0.00,-142.00M,-107.00M,-787.00M,91.00M,-125.00M,-34.00M,59.00M,-547.00M,-488.00M,,-504.00M,-192.00M,-1.218B,4.657B,28.00M,6.00M,4.691B,59.00M,157.00M,-66.00M,-547.00M
2011-03,915.00M,-1.042B,-1.019B,,441.00M,441.00M,128.00M,,120.00M,2.00M,312.00M,,,63.00M,137.00M,182.00M,,694.00M,1.281B,-402.00M,11.00M,11.00M,0.00,125.00M,-16.00M,-282.00M,-101.00M,1.297B,1.196B,104.00M,-505.00M,-401.00M,,-503.00M,-45.00M,247.00M,3.37B,1.246B,41.00M,4.657B,104.00M,12.00M,-113.00M,-505.00M
2010-12,969.00M,-1.707B,-1.692B,,444.00M,444.00M,943.00M,,170.00M,-39.00M,-489.00M,,,-89.00M,-287.00M,-63.00M,,-928.00M,-88.00M,-378.00M,10.00M,10.00M,,-13.00M,157.00M,-161.00M,1.969B,-655.00M,1.314B,67.00M,-218.00M,-151.00M,,-455.00M,-115.00M,593.00M,3.02B,344.00M,6.00M,3.37B,67.00M,2.082B,-113.00M,-218.00M
2010-09,991.00M,-33.00M,-176.00M,,448.00M,448.00M,-59.00M,,111.00M,-27.00M,-85.00M,,,-59.00M,99.00M,-332.00M,,-377.00M,911.00M,-347.00M,254.00M,254.00M,,123.00M,85.00M,115.00M,-77.00M,-652.00M,-729.00M,45.00M,-156.00M,-111.00M,,-452.00M,-1.00M,-1.293B,3.252B,-267.00M,35.00M,3.02B,45.00M,59.00M,-136.00M,-156.00M
2010-06,845.00M,68.00M,99.00M,,449.00M,449.00M,-104.00M,,138.00M,63.00M,-135.00M,,,84.00M,2.00M,22.00M,,-27.00M,1.463B,-381.00M,20.00M,20.00M,,-104.00M,107.00M,-358.00M,-11.00M,198.00M,187.00M,61.00M,-165.00M,-104.00M,,-455.00M,-17.00M,-389.00M,2.544B,716.00M,-8.00M,3.252B,61.00M,2.00M,-13.00M,-165.00M
2010-03,533.00M,-432.00M,-335.00M,,451.00M,451.00M,139.00M,,100.00M,-12.00M,177.00M,,,427.00M,-20.00M,89.00M,,673.00M,1.549B,-283.00M,20.00M,20.00M,,24.00M,-11.00M,-250.00M,-154.00M,628.00M,474.00M,45.00M,-278.00M,-233.00M,,-456.00M,-42.00M,-257.00M,1.542B,1.042B,-40.00M,2.544B,45.00M,52.00M,-206.00M,-278.00M
2009-12,757.00M,47.00M,97.00M,,450.00M,450.00M,119.00M,0.00,118.00M,94.00M,-553.00M,,,-156.00M,-25.00M,151.00M,,-583.00M,1.052B,-417.00M,20.00M,20.00M,,-205.00M,233.00M,-369.00M,-171.00M,-577.00M,-748.00M,45.00M,-166.00M,-121.00M,,-438.00M,-77.00M,-1.384B,2.242B,-701.00M,1.00M,1.542B,45.00M,20.00M,-191.00M,-166.00M
2009-09,549.00M,-360.00M,-297.00M,,441.00M,441.00M,391.00M,0.00,93.00M,48.00M,-302.00M,,,-34.00M,60.00M,129.00M,,-147.00M,1.078B,-514.00M,23.00M,23.00M,,37.00M,-10.00M,-464.00M,-387.00M,-290.00M,-677.00M,36.00M,-148.00M,-112.00M,,-437.00M,0.00,-1.226B,2.818B,-612.00M,36.00M,2.242B,36.00M,6.00M,-393.00M,-148.00M
2009-06,445.00M,67.00M,138.00M,,426.00M,426.00M,34.00M,0.00,114.00M,22.00M,102.00M,,,-83.00M,-17.00M,-222.00M,,-220.00M,959.00M,-289.00M,11.00M,11.00M,,177.00M,82.00M,-19.00M,-896.00M,-437.00M,-1.333B,37.00M,-131.00M,-94.00M,,-438.00M,-27.00M,-1.892B,3.738B,-952.00M,32.00M,2.818B,37.00M,118.00M,-580.00M,-131.00M
2009-03,401.00M,194.00M,125.00M,,430.00M,430.00M,-73.00M,181.00M,105.00M,-31.00M,750.00M,,,64.00M,118.00M,126.00M,,1.058B,2.196B,-382.00M,6.00M,6.00M,,-20.00M,,-396.00M,2.67B,-434.00M,2.236B,31.00M,-116.00M,-85.00M,,-438.00M,-256.00M,1.457B,507.00M,3.257B,-26.00M,3.738B,31.00M,3.016B,-780.00M,-116.00M
2008-12,254.00M,57.00M,110.00M,,454.00M,454.00M,74.00M,575.00M,142.00M,112.00M,1.307B,,,-330.00M,-1.105B,-115.00M,,-243.00M,1.478B,-528.00M,43.00M,43.00M,,411.00M,,-486.00M,-512.00M,-414.00M,-926.00M,34.00M,-286.00M,-252.00M,,-438.00M,-49.00M,-1.665B,1.239B,-673.00M,-59.00M,507.00M,34.00M,-3.576B,4.666B,-286.00M
2008-09,970.00M,155.00M,313.00M,,456.00M,456.00M,164.00M,0.00,123.00M,-120.00M,-1.146B,,,28.00M,1.144B,-12.00M,,14.00M,1.92B,-721.00M,33.00M,33.00M,,-66.00M,,-754.00M,462.00M,-287.00M,175.00M,37.00M,-990.00M,-953.00M,,-444.00M,171.00M,-1.051B,1.178B,115.00M,-54.00M,1.239B,37.00M,1.754B,-1.579B,-990.00M
2008-06,873.00M,125.00M,390.00M,,452.00M,452.00M,63.00M,0.00,134.00M,59.00M,-94.00M,,,-138.00M,-28.00M,12.00M,,-248.00M,1.723B,-726.00M,14.00M,14.00M,,-199.00M,,-911.00M,1.202B,-125.00M,1.077B,53.00M,-1.124B,-1.071B,,-451.00M,-199.00M,-644.00M,1.009B,168.00M,1.00M,1.178B,53.00M,1.379B,-302.00M,-1.124B
2008-03,906.00M,143.00M,301.00M,,452.00M,452.00M,-114.00M,0.00,117.00M,5.00M,1.291B,,,571.00M,-155.00M,-69.00M,,1.638B,3.305B,-661.00M,57.00M,57.00M,,-424.00M,,-1.028B,-57.00M,-1.19B,-1.247B,45.00M,-1.17B,-1.125B,,-886.00M,-84.00M,-3.342B,2.027B,-1.065B,47.00M,1.009B,45.00M,4.056B,-5.303B,-1.17B
2007-12,-2.641B,70.00M,-31.00M,,443.00M,443.00M,-52.00M,,112.00M,103.00M,-1.643B,,,-510.00M,-39.00M,-108.00M,,-2.30B,-4.145B,-826.00M,42.00M,42.00M,,242.00M,36.00M,-506.00M,3.498B,2.513B,6.011B,40.00M,-570.00M,-530.00M,,-5.00M,-46.00M,5.43B,1.245B,779.00M,3.00M,2.027B,40.00M,6.028B,-17.00M,-570.00M
2007-09,1.076B,-440.00M,-363.00M,,435.00M,435.00M,2.00M,,122.00M,-138.00M,-121.00M,,,450.00M,80.00M,129.00M,,538.00M,1.672B,-788.00M,9.00M,9.00M,,445.00M,-36.00M,-370.00M,316.00M,-316.00M,0.00,59.00M,-547.00M,-488.00M,,-432.00M,2.00M,-918.00M,856.00M,384.00M,5.00M,1.245B,59.00M,58.00M,-58.00M,-547.00M
2007-06,1.104B,196.00M,463.00M,,431.00M,431.00M,-199.00M,,213.00M,-265.00M,-77.00M,,,-22.00M,-27.00M,-49.00M,-469.00M,-644.00M,1.103B,-538.00M,14.00M,14.00M,,181.00M,-35.00M,-378.00M,81.00M,430.00M,511.00M,37.00M,-853.00M,-816.00M,,-436.00M,,-741.00M,871.00M,-16.00M,1.00M,856.00M,37.00M,541.00M,-44.00M,-853.00M
2007-03,843.00M,,,,436.00M,436.00M,,,,255.00M,270.00M,,,153.00M,-17.00M,84.00M,469.00M,959.00M,2.493B,-668.00M,20.00M,20.00M,,-332.00M,35.00M,-945.00M,1.00M,-14.00M,-13.00M,38.00M,-669.00M,-631.00M,,-830.00M,,-1.474B,794.00M,74.00M,3.00M,871.00M,38.00M,80.00M,-79.00M,-669.00M
2006-12,1.128B,,,,432.00M,432.00M,,,,1.085B,-96.00M,,,-344.00M,36.00M,-305.00M,38.00M,-671.00M,1.513B,-788.00M,30.00M,30.00M,,157.00M,-143.00M,-794.00M,133.00M,-790.00M,-657.00M,37.00M,-419.00M,-382.00M,,-8.00M,-27.00M,-1.074B,1.139B,-355.00M,10.00M,794.00M,37.00M,160.00M,-540.00M,-419.00M
2006-09,1.038B,,,,441.00M,441.00M,,,,-1.319B,-191.00M,,,48.00M,68.00M,-59.00M,86.00M,-48.00M,112.00M,-841.00M,14.00M,14.00M,,816.00M,30.00M,19.00M,421.00M,629.00M,1.05B,38.00M,-620.00M,-582.00M,,-401.00M,3.00M,70.00M,945.00M,201.00M,-7.00M,1.139B,38.00M,449.00M,-28.00M,-620.00M
2006-06,1.061B,,,,436.00M,436.00M,,,,98.00M,64.00M,,,232.00M,-76.00M,41.00M,-420.00M,-159.00M,1.436B,-860.00M,21.00M,21.00M,,85.00M,167.00M,-587.00M,37.00M,-177.00M,-140.00M,49.00M,-554.00M,-505.00M,,-405.00M,,-1.05B,1.124B,-201.00M,22.00M,945.00M,49.00M,40.00M,-3.00M,-554.00M
2006-03,975.00M,,,,439.00M,439.00M,,,,298.00M,163.00M,,,100.00M,54.00M,203.00M,296.00M,816.00M,2.528B,-596.00M,10.00M,10.00M,,-338.00M,-54.00M,-978.00M,-32.00M,-175.00M,-207.00M,40.00M,-867.00M,-827.00M,,-763.00M,,-1.797B,1.369B,-247.00M,2.00M,1.124B,40.00M,0.00,-32.00M,-867.00M
