,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2012-03,193.00M,0.00,,,0.00,,,77.00M,77.00M,-91.00M,,,,5.00M,-47.00M,-32.00M,,123.00M,19.00M,-32.00M,,31.00M,0.00,215.00M,,-127.00M,,,-23.00M,,-5.00M,-155.00M,,-8.00M,10.00M,2.00M,,-20.00M,-20.00M,,,-10.00M,,-10.00M,7.00M,,-21.00M,,682.00M,39.00M,6.00M,727.00M,,,34.00M,-32.00M,-20.00M,,AOR,Restated
2011-12,-85.00M,1.00M,,,307.00M,,,,80.00M,-22.00M,,,,-161.00M,92.00M,55.00M,,-55.00M,17.00M,-101.00M,39.00M,47.00M,,157.00M,,-379.00M,,,-158.00M,,233.00M,-145.00M,,-29.00M,4.00M,-25.00M,,-3.00M,-3.00M,,,-9.00M,,-9.00M,1.00M,7.00M,-29.00M,,704.00M,-17.00M,-5.00M,682.00M,,,70.00M,-115.00M,-3.00M,,AOR,Restated
2011-09,167.00M,0.00,,,0.00,,,,80.00M,9.00M,,,,-19.00M,20.00M,-22.00M,,-25.00M,11.00M,-17.00M,-39.00M,-72.00M,,165.00M,,-60.00M,,,1.00M,,-104.00M,-163.00M,,-9.00M,14.00M,5.00M,,-15.00M,-15.00M,,,-9.00M,0.00,-9.00M,2.00M,-9.00M,-26.00M,,741.00M,-24.00M,-13.00M,704.00M,,,0.00,-9.00M,-15.00M,,AOR,Restated
2011-06,203.00M,0.00,,,0.00,,,,76.00M,0.00,,,,27.00M,-87.00M,-85.00M,,27.00M,7.00M,16.00M,,-122.00M,,184.00M,,-60.00M,,,159.00M,,-81.00M,18.00M,,-144.00M,-29.00M,-173.00M,,-10.00M,-10.00M,,,-8.00M,0.00,-8.00M,12.00M,-8.00M,-187.00M,,722.00M,15.00M,4.00M,741.00M,,,400.00M,-544.00M,-10.00M,,AOR,Restated
2011-03,142.00M,0.00,,,0.00,,,,75.00M,-2.00M,,,,27.00M,-108.00M,-60.00M,,75.00M,-18.00M,1.00M,,-110.00M,,132.00M,,-54.00M,,,-4.00M,,-93.00M,-151.00M,,2.00M,-5.00M,-3.00M,,-3.00M,-3.00M,,,-8.00M,0.00,-8.00M,5.00M,-2.00M,-11.00M,,740.00M,-30.00M,12.00M,722.00M,,,11.00M,-9.00M,-3.00M,,AOR,Restated
2010-12,58.00M,4.00M,,,4.00M,,,,74.00M,39.00M,,,,-38.00M,72.00M,-35.00M,,4.00M,-2.00M,-95.00M,,-56.00M,,89.00M,,-294.00M,,,4.00M,,111.00M,-179.00M,,-49.00M,-12.00M,-61.00M,,-7.00M,-7.00M,,,-8.00M,0.00,-8.00M,6.00M,14.00M,-56.00M,,884.00M,-146.00M,2.00M,740.00M,,,70.00M,-135.00M,-7.00M,,AOR,Restated
2010-09,145.00M,3.00M,,,3.00M,,,,67.00M,-14.00M,,,,-7.00M,-12.00M,-31.00M,,-13.00M,-13.00M,19.00M,,-50.00M,,144.00M,,-68.00M,,,2.00M,,-40.00M,-106.00M,,-210.00M,5.00M,-205.00M,,-21.00M,-21.00M,,,-8.00M,0.00,-8.00M,4.00M,-24.00M,-254.00M,,1.081B,-216.00M,19.00M,884.00M,,,600.00M,-810.00M,-21.00M,,AOR,Restated
2010-06,160.00M,-15.00M,,,-15.00M,,,,66.00M,-3.00M,,,,-11.00M,-68.00M,6.00M,,-4.00M,24.00M,-26.00M,35.00M,-33.00M,,164.00M,,-66.00M,,,-31.00M,,-46.00M,-143.00M,,-28.00M,-10.00M,-38.00M,,-20.00M,-20.00M,,,-6.00M,0.00,-6.00M,1.00M,,-63.00M,,1.139B,-42.00M,-16.00M,1.081B,,,0.00,-28.00M,-20.00M,,AOR,Restated
2010-03,14.00M,,,,,,,,93.00M,-7.00M,,,,78.00M,-82.00M,-38.00M,,32.00M,,,-35.00M,-123.00M,,55.00M,,-85.00M,,,5.00M,,-52.00M,-132.00M,,-10.00M,1.00M,-9.00M,,0.00,0.00,,,-6.00M,-3.00M,-9.00M,3.00M,,-15.00M,,1.254B,-92.00M,-23.00M,1.139B,,,0.00,-10.00M,0.00,,AOR,Restated
2009-12,6.00M,1.00M,,,1.00M,,,,77.00M,-35.00M,,,,8.00M,0.00,-56.00M,,80.00M,-31.00M,138.00M,,131.00M,,188.00M,,,,,-5.00M,0.00,196.00M,-160.00M,,-27.00M,-40.00M,-67.00M,,0.00,0.00,,,-6.00M,-2.00M,-8.00M,13.00M,2.00M,-60.00M,,1.293B,-32.00M,-7.00M,1.254B,,,0.00,-27.00M,0.00,,AOR,Restated
2009-09,398.00M,-41.00M,-3.00M,,-44.00M,,,,86.00M,-370.00M,,,,78.00M,-9.00M,11.00M,,-11.00M,-15.00M,-15.00M,,-39.00M,,109.00M,,,,,168.00M,0.00,-160.00M,8.00M,,-10.00M,25.00M,15.00M,,0.00,0.00,,,-5.00M,-3.00M,-8.00M,0.00,0.00,7.00M,,1.145B,124.00M,24.00M,1.293B,,,0.00,-10.00M,0.00,,AOR,Restated
2009-06,114.00M,-3.00M,3.00M,,0.00,,,,82.00M,4.00M,,,,-105.00M,-59.00M,33.00M,,26.00M,0.00,5.00M,,5.00M,,100.00M,,,,,0.00,0.00,-128.00M,-128.00M,,-23.00M,22.00M,-1.00M,,0.00,0.00,,,-6.00M,-2.00M,-8.00M,1.00M,-3.00M,-11.00M,,1.15B,-39.00M,34.00M,1.145B,,,,-7.00M,0.00,,AOR,Restated
2009-03,-20.00M,3.00M,,,3.00M,,,,74.00M,-1.00M,,,,102.00M,-11.00M,42.00M,,9.00M,55.00M,-54.00M,,41.00M,,199.00M,,,,,411.00M,15.00M,-115.00M,311.00M,,-23.00M,-16.00M,-39.00M,,,,,,-6.00M,-3.00M,-9.00M,0.00,,-48.00M,,676.00M,462.00M,12.00M,1.15B,,,,-39.00M,,,AOR,Restated
2008-12,-156.00M,1.00M,,,-45.00M,,,-272.00M,88.00M,-64.00M,,,,150.00M,353.00M,141.00M,,-222.00M,53.00M,-285.00M,238.00M,278.00M,-10.00M,241.00M,,27.00M,,212.00M,125.00M,92.00M,-276.00M,-32.00M,,-34.00M,-64.00M,-88.00M,-18.00M,0.00,-18.00M,,,-24.00M,-10.00M,-8.00M,18.00M,-1.00M,-97.00M,,584.00M,112.00M,-20.00M,676.00M,,-18.00M,13.00M,-111.00M,0.00,,,Restated
2008-09,158.00M,,,,12.00M,,,94.00M,94.00M,3.00M,,,,-59.00M,0.00,-26.00M,,-49.00M,,,-139.00M,-214.00M,5.00M,-1.00M,,-14.00M,,-14.00M,193.00M,6.00M,-321.00M,-136.00M,,,,47.00M,1.00M,-252.00M,-251.00M,,,,,-9.00M,,-6.00M,-219.00M,,983.00M,-356.00M,-43.00M,584.00M,,1.00M,,,-252.00M,,,
2008-06,134.00M,4.00M,,,30.00M,,,178.00M,92.00M,-28.00M,,,,19.00M,20.00M,-43.00M,,-6.00M,6.00M,50.00M,-99.00M,-72.00M,5.00M,180.00M,,-198.00M,,-198.00M,0.00,10.00M,293.00M,105.00M,,2.00M,50.00M,-5.00M,17.00M,-66.00M,-49.00M,,,6.00M,3.00M,-8.00M,-7.00M,-2.00M,-71.00M,,763.00M,214.00M,6.00M,983.00M,,17.00M,-6.00M,58.00M,-66.00M,,,
2008-03,145.00M,-4.00M,,,4.00M,,,,86.00M,20.00M,,,,40.00M,-34.00M,-51.00M,,12.00M,-6.00M,-50.00M,,-129.00M,,166.00M,,,,,2.00M,3.00M,-143.00M,-138.00M,,-2.00M,-50.00M,-52.00M,,-60.00M,-60.00M,,,-6.00M,-3.00M,-9.00M,7.00M,2.00M,-112.00M,,825.00M,-84.00M,22.00M,763.00M,,,6.00M,-58.00M,-60.00M,,,Restated
2007-12,214.00M,,,,-29.00M,,,73.00M,73.00M,82.00M,,,,0.00,-35.00M,-52.00M,,87.00M,,,-61.00M,-61.00M,8.00M,287.00M,,-71.00M,,-71.00M,12.00M,10.00M,-4.00M,-53.00M,,,,23.00M,18.00M,0.00,18.00M,,,,,-9.00M,,14.00M,46.00M,,531.00M,280.00M,14.00M,825.00M,,18.00M,,,0.00,,,
2007-09,128.00M,,,,11.00M,,,80.00M,80.00M,-33.00M,,,,0.00,-89.00M,1.00M,,8.00M,,,85.00M,5.00M,9.00M,200.00M,,-101.00M,,-101.00M,24.00M,-2.00M,-20.00M,-99.00M,,,,69.00M,30.00M,-145.00M,-115.00M,,,,,-8.00M,,0.00,-54.00M,,470.00M,47.00M,14.00M,531.00M,,30.00M,,,-145.00M,,,
