,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2018-06,1.844B,1.844B,1.323B,521.00M,136.00M,18.00M,7.00M,-5.00M,32.00M,0.00,-32.00M,,161.00M,360.00M,0.00,32.00M,-32.00M,114.00M,-32.00M,442.00M,97.00M,345.00M,0.00,-1.00M,,344.00M,319.04M,562.00M,88.00M,474.00M,,2.54,0.00,2.356,2.54,,2.52,0.00,2.337,2.52,,135.59M,136.31M,0.54,,AOR,Restated
2018-03,1.851B,1.851B,1.336B,515.00M,147.00M,18.00M,6.00M,0.00,33.00M,2.00M,-31.00M,,171.00M,344.00M,2.00M,33.00M,-31.00M,119.00M,-31.00M,432.00M,65.00M,367.00M,-2.00M,-2.00M,,363.00M,338.65M,545.00M,80.00M,465.00M,,2.69,-0.02,2.496,2.67,,2.68,-0.02,2.487,2.66,,135.92M,136.38M,0.46,,AOR,Restated
2017-12,1.593B,1.593B,1.18B,413.00M,143.00M,20.00M,6.00M,-3.00M,31.00M,0.00,-31.00M,,169.00M,244.00M,0.00,31.00M,-31.00M,52.00M,-31.00M,265.00M,60.00M,205.00M,-1.00M,-1.00M,,203.00M,186.98M,375.00M,79.00M,296.00M,,1.50,-0.01,1.375,1.49,,1.50,-0.01,1.375,1.49,,135.81M,136.30M,0.46,,AOR,Restated
2017-09,1.566B,1.566B,1.183B,383.00M,133.00M,19.00M,5.00M,-1.00M,32.00M,1.00M,-31.00M,,157.00M,226.00M,1.00M,32.00M,-31.00M,94.00M,-31.00M,289.00M,57.00M,232.00M,-4.00M,-2.00M,,226.00M,208.40M,403.00M,82.00M,321.00M,,1.68,-0.03,1.522,1.65,,1.68,-0.03,1.522,1.65,,136.58M,136.95M,0.46,,AOR,Restated
2017-06,1.51B,1.51B,1.145B,365.00M,117.00M,17.00M,5.00M,-4.00M,30.00M,1.00M,-29.00M,,139.00M,226.00M,1.00M,30.00M,-29.00M,84.00M,-29.00M,281.00M,40.00M,241.00M,-8.00M,-2.00M,,231.00M,220.94M,388.00M,77.00M,311.00M,,1.73,-0.06,1.600,1.67,,1.72,-0.06,1.590,1.66,,138.62M,139.03M,0.46,,AOR,Restated
2017-03,1.471B,1.471B,1.121B,350.00M,103.00M,17.00M,4.00M,-56.00M,29.00M,0.00,-29.00M,,124.00M,226.00M,0.00,29.00M,-29.00M,43.00M,-29.00M,240.00M,56.00M,184.00M,0.00,-1.00M,,183.00M,203.79M,341.00M,72.00M,269.00M,,1.30,0.00,1.448,1.30,,1.30,0.00,1.447,1.30,,140.64M,141.00M,0.36,,AOR,Restated
2016-12,1.311B,1.311B,989.00M,322.00M,146.00M,20.00M,2.00M,6.00M,29.00M,1.00M,-28.00M,,168.00M,154.00M,1.00M,29.00M,-28.00M,30.00M,-28.00M,156.00M,-5.00M,161.00M,0.00,-1.00M,,160.00M,142.00M,257.00M,72.00M,185.00M,,1.14,0.00,1.013,1.14,,1.13,0.00,1.004,1.13,,141.88M,142.92M,0.36,,AOR,Restated
2016-09,1.323B,1.323B,968.00M,355.00M,81.00M,20.00M,3.00M,-4.00M,28.00M,0.00,-32.00M,,104.00M,251.00M,0.00,28.00M,-32.00M,62.00M,-32.00M,281.00M,15.00M,266.00M,-3.00M,-1.00M,,262.00M,245.05M,383.00M,74.00M,309.00M,,1.84,-0.02,1.701,1.82,,1.83,-0.02,1.692,1.81,,144.01M,144.60M,0.36,,AOR,Restated
2016-06,1.351B,1.351B,1.013B,338.00M,71.00M,19.00M,2.00M,-2.00M,30.00M,0.00,-30.00M,,92.00M,246.00M,0.00,30.00M,-30.00M,59.00M,-30.00M,275.00M,52.00M,223.00M,0.00,-2.00M,,221.00M,199.94M,380.00M,75.00M,305.00M,,1.51,0.00,1.366,1.51,,1.50,0.00,1.357,1.50,,146.48M,147.07M,0.36,,AOR,Restated
2016-03,1.404B,1.404B,1.014B,390.00M,80.00M,19.00M,2.00M,-5.00M,33.00M,1.00M,-34.00M,,101.00M,289.00M,1.00M,33.00M,-34.00M,63.00M,-34.00M,318.00M,60.00M,258.00M,1.00M,-2.00M,,257.00M,235.75M,425.00M,74.00M,351.00M,,1.74,0.00,1.603,1.74,,1.73,0.00,1.593,1.73,,147.41M,148.13M,0.30,,AOR,Restated
2015-12,1.334B,1.334B,1.075B,259.00M,209.00M,21.00M,2.00M,-333.00M,33.00M,0.00,-33.00M,,232.00M,27.00M,0.00,33.00M,-33.00M,-264.00M,-33.00M,-270.00M,31.00M,-301.00M,0.00,3.00M,,-298.00M,-115.00M,-131.00M,106.00M,-237.00M,,-1.94,0.00,-0.6942,-1.94,,-1.94,0.00,-0.7109,-1.94,,146.89M,148.89M,0.30,,AOR,Restated
2015-09,1.413B,1.413B,1.11B,303.00M,93.00M,19.00M,3.00M,-5.00M,29.00M,0.00,-29.00M,,115.00M,188.00M,0.00,29.00M,-29.00M,66.00M,-29.00M,225.00M,74.00M,151.00M,0.00,10.00M,,161.00M,144.92M,336.00M,82.00M,254.00M,,1.07,0.00,0.9627,1.07,,1.07,0.00,0.9635,1.07,,149.80M,151.00M,0.30,,AOR,Restated
2015-06,1.477B,1.477B,1.102B,375.00M,106.00M,59.00M,3.00M,-16.00M,30.00M,1.00M,-29.00M,,168.00M,207.00M,1.00M,30.00M,-29.00M,49.00M,-29.00M,227.00M,24.00M,203.00M,-2.00M,4.00M,,205.00M,200.77M,364.00M,107.00M,257.00M,,1.35,-0.01,1.309,1.34,,1.34,-0.01,1.300,1.33,,153.48M,153.99M,0.30,,AOR,Restated
2015-03,1.45B,1.45B,1.069B,381.00M,98.00M,20.00M,3.00M,-6.00M,27.00M,0.00,-27.00M,,121.00M,260.00M,0.00,27.00M,-27.00M,73.00M,-27.00M,306.00M,72.00M,234.00M,0.00,2.00M,,236.00M,217.00M,401.00M,68.00M,333.00M,,1.54,0.00,1.416,1.54,,1.53,0.00,1.407,1.53,,153.22M,153.90M,0.25,,AOR,Restated
2014-12,1.559B,1.559B,1.165B,394.00M,417.00M,18.00M,4.00M,-13.00M,27.00M,-4.00M,-56.00M,,439.00M,-45.00M,-4.00M,27.00M,-56.00M,70.00M,-56.00M,-31.00M,52.00M,-83.00M,-2.00M,1.00M,,-84.00M,-91.75M,68.00M,72.00M,-4.00M,,-0.54,-0.01,-0.6036,-0.55,,-0.54,-0.01,-0.6026,-0.55,,153.39M,155.69M,0.25,,AOR,Restated
2014-09,1.769B,1.769B,1.333B,436.00M,118.00M,22.00M,5.00M,17.00M,41.00M,3.00M,-42.00M,,145.00M,291.00M,3.00M,41.00M,-42.00M,98.00M,-42.00M,347.00M,90.00M,257.00M,-5.00M,1.00M,,253.00M,223.22M,463.00M,75.00M,388.00M,,1.67,-0.03,1.445,1.64,,1.66,-0.03,1.436,1.63,,154.43M,155.17M,0.25,,AOR,Restated
2014-06,1.769B,1.769B,1.361B,408.00M,119.00M,24.00M,5.00M,-3.00M,40.00M,2.00M,-38.00M,,148.00M,260.00M,2.00M,40.00M,-38.00M,130.00M,-38.00M,352.00M,94.00M,258.00M,0.00,1.00M,,259.00M,240.75M,467.00M,75.00M,392.00M,,1.66,0.00,1.543,1.66,,1.66,0.00,1.543,1.66,,155.75M,156.05M,0.25,,AOR,Restated
2014-03,1.705B,1.705B,1.327B,378.00M,104.00M,22.00M,6.00M,-2.00M,39.00M,0.00,-39.00M,,132.00M,246.00M,0.00,39.00M,-39.00M,66.00M,-39.00M,273.00M,78.00M,195.00M,0.00,1.00M,,196.00M,177.54M,388.00M,76.00M,312.00M,,1.25,0.00,1.132,1.25,,1.25,0.00,1.132,1.25,,156.50M,156.81M,0.18,,AOR,Restated
2013-12,1.616B,1.616B,1.249B,367.00M,-5.00M,12.00M,6.00M,591.00M,42.00M,0.00,-42.00M,,13.00M,354.00M,0.00,42.00M,-42.00M,643.00M,-42.00M,955.00M,299.00M,656.00M,-2.00M,0.00,,654.00M,234.24M,1.078B,81.00M,997.00M,,4.17,-0.01,1.490,4.16,,4.16,-0.01,1.487,4.15,,157.36M,157.80M,0.18,,AOR,Restated
2013-09,1.636B,1.636B,1.29B,346.00M,97.00M,24.00M,6.00M,-6.00M,43.00M,0.00,-44.00M,,127.00M,219.00M,0.00,43.00M,-44.00M,53.00M,-44.00M,228.00M,57.00M,171.00M,1.00M,0.00,,172.00M,160.50M,351.00M,80.00M,271.00M,,1.08,0.01,1.014,1.09,,1.07,0.01,1.004,1.08,,158.50M,159.10M,0.18,,AOR,Restated
2013-06,1.653B,1.653B,1.334B,319.00M,113.00M,23.00M,9.00M,-3.00M,44.00M,1.00M,-43.00M,,145.00M,174.00M,1.00M,44.00M,-43.00M,77.00M,-43.00M,208.00M,75.00M,133.00M,0.00,0.00,,133.00M,121.48M,330.00M,78.00M,252.00M,,0.83,0.00,0.7579,0.83,,0.83,0.00,0.7581,0.83,,159.68M,160.14M,0.09,,AOR,Restated
2013-03,1.605B,1.605B,1.272B,333.00M,106.00M,26.00M,11.00M,-5.00M,43.00M,0.00,-43.00M,,143.00M,190.00M,0.00,43.00M,-43.00M,71.00M,-43.00M,218.00M,77.00M,141.00M,1.00M,0.00,,142.00M,129.30M,341.00M,80.00M,261.00M,,0.88,0.01,0.8067,0.89,,0.88,0.01,0.8070,0.89,,159.68M,160.20M,0.075,,AOR,Restated
2012-12,1.501B,1.501B,1.257B,244.00M,476.00M,31.00M,13.00M,-14.00M,51.00M,1.00M,-53.00M,,520.00M,-276.00M,1.00M,51.00M,-53.00M,66.00M,-53.00M,-263.00M,-96.00M,-167.00M,-2.00M,0.00,,-169.00M,-158.11M,-128.00M,84.00M,-212.00M,,0.61,-0.01,0.6657,0.60,,0.60,-0.01,0.6555,0.59,,159.53M,160.29M,0.075,,AOR,Restated
2012-09,1.609B,1.609B,1.281B,328.00M,113.00M,23.00M,12.00M,0.00,44.00M,0.00,-44.00M,,148.00M,180.00M,0.00,44.00M,-44.00M,50.00M,-44.00M,186.00M,57.00M,129.00M,-2.00M,0.00,,127.00M,131.07M,311.00M,81.00M,230.00M,,0.81,-0.01,0.8230,0.80,,0.80,-0.01,0.8129,0.79,,159.16M,160.13M,0.075,,AOR,Restated
2012-06,1.675B,1.675B,1.34B,335.00M,115.00M,25.00M,13.00M,-3.00M,45.00M,0.00,-45.00M,,153.00M,182.00M,0.00,45.00M,-45.00M,141.00M,-45.00M,278.00M,57.00M,221.00M,0.00,0.00,,221.00M,157.80M,401.00M,78.00M,323.00M,,1.40,0.00,1.000,1.40,,1.38,0.00,0.9845,1.38,,158.16M,159.78M,0.06,,AOR,Restated
2012-03,1.633B,1.633B,1.359B,274.00M,126.00M,25.00M,13.00M,0.00,45.00M,1.00M,-44.00M,,164.00M,110.00M,1.00M,45.00M,-44.00M,54.00M,-44.00M,120.00M,-73.00M,193.00M,0.00,0.00,,193.00M,192.35M,242.00M,77.00M,165.00M,,1.23,0.00,1.226,1.23,,1.21,0.00,1.206,1.21,,156.58M,159.12M,0.06,,AOR,Restated
2011-12,1.614B,1.614B,1.359B,255.00M,397.00M,26.00M,12.00M,-137.00M,55.00M,1.00M,-57.00M,,396.00M,-141.00M,1.00M,55.00M,-57.00M,4.00M,-57.00M,-194.00M,-110.00M,-84.00M,-1.00M,0.00,,-85.00M,5.05M,-59.00M,80.00M,-139.00M,,-0.55,0.00,0.0191,-0.55,,-0.55,0.00,0.0101,-0.55,,156.46M,158.98M,0.06,,AOR,Restated
2011-09,1.807B,1.807B,1.406B,401.00M,140.00M,24.00M,17.00M,1.00M,54.00M,1.00M,-53.00M,24.00M,205.00M,196.00M,1.00M,54.00M,-53.00M,58.00M,-53.00M,201.00M,34.00M,167.00M,0.00,0.00,,167.00M,166.17M,335.00M,80.00M,255.00M,,1.07,0.00,1.065,1.07,,1.05,0.00,1.045,1.05,,156.19M,159.02M,0.06,,AOR,Restated
2011-06,1.753B,1.753B,1.343B,410.00M,140.00M,25.00M,17.00M,81.00M,57.00M,0.00,-57.00M,18.00M,200.00M,210.00M,0.00,57.00M,-57.00M,127.00M,-57.00M,280.00M,75.00M,205.00M,-2.00M,0.00,,203.00M,145.87M,413.00M,76.00M,337.00M,,1.31,-0.01,0.9316,1.30,,1.29,-0.01,0.9186,1.28,,156.28M,159.21M,0.05,,AOR,Restated
2011-03,1.589B,1.589B,1.238B,351.00M,128.00M,23.00M,16.00M,4.00M,55.00M,1.00M,-54.00M,-3.00M,164.00M,187.00M,1.00M,55.00M,-54.00M,47.00M,-54.00M,180.00M,42.00M,138.00M,4.00M,0.00,,142.00M,134.92M,310.00M,75.00M,235.00M,,0.88,0.03,0.8603,0.91,,0.87,0.03,0.8506,0.90,,155.97M,158.67M,0.05,,AOR,Restated
2010-12,1.507B,1.507B,1.194B,313.00M,132.00M,18.00M,16.00M,-109.00M,58.00M,5.00M,-69.00M,,119.00M,194.00M,5.00M,58.00M,-69.00M,5.00M,-69.00M,130.00M,27.00M,103.00M,-45.00M,,0.00,58.00M,189.36M,262.00M,74.00M,188.00M,,0.65,-0.28,1.205,0.37,,0.65,-0.28,1.196,0.37,,155.74M,158.26M,0.05,,AOR,Restated
2010-09,1.506B,1.506B,1.16B,346.00M,125.00M,17.00M,15.00M,-23.00M,48.00M,0.00,-48.00M,-36.00M,121.00M,225.00M,0.00,48.00M,-48.00M,14.00M,-48.00M,191.00M,44.00M,147.00M,-2.00M,0.00,,145.00M,164.70M,306.00M,67.00M,239.00M,,0.94,-0.01,1.054,0.93,,0.93,-0.01,1.042,0.92,,155.86M,157.88M,0.05,,AOR,Restated
2010-06,1.517B,1.517B,1.214B,303.00M,124.00M,17.00M,15.00M,86.00M,49.00M,1.00M,-48.00M,6.00M,162.00M,141.00M,1.00M,49.00M,-48.00M,131.00M,-48.00M,224.00M,61.00M,163.00M,-3.00M,0.00,,160.00M,100.42M,339.00M,66.00M,273.00M,,1.04,-0.02,0.6397,1.02,,1.03,-0.02,0.6349,1.01,,156.33M,158.41M,0.04,,AOR,Restated
2010-03,1.388B,1.388B,1.17B,218.00M,124.00M,18.00M,15.00M,-69.00M,49.00M,1.00M,-48.00M,,157.00M,61.00M,1.00M,49.00M,-48.00M,-20.00M,-48.00M,-7.00M,-20.00M,13.00M,1.00M,0.00,3.00M,14.00M,57.85M,135.00M,93.00M,42.00M,,0.06,0.01,0.3585,0.07,,0.06,0.01,0.3538,0.07,,150.27M,152.64M,0.04,,AOR,Restated
2009-12,1.388B,1.388B,1.099B,289.00M,136.00M,14.00M,19.00M,87.00M,51.00M,1.00M,-50.00M,,261.00M,28.00M,1.00M,51.00M,-50.00M,109.00M,-50.00M,87.00M,85.00M,2.00M,4.00M,0.00,2.00M,6.00M,-54.55M,215.00M,77.00M,138.00M,,0.00,0.03,-0.3924,0.03,,0.00,0.03,-0.3569,0.03,,144.13M,158.43M,0.04,,AOR,Restated
2009-09,1.304B,1.304B,1.038B,266.00M,110.00M,18.00M,20.00M,-57.00M,51.00M,2.00M,-49.00M,,148.00M,118.00M,2.00M,51.00M,-49.00M,-21.00M,-49.00M,48.00M,-350.00M,398.00M,0.00,0.00,3.00M,398.00M,435.05M,185.00M,86.00M,99.00M,,2.75,0.00,3.008,2.75,,2.53,0.00,2.765,2.53,,143.59M,157.56M,0.04,,AOR,Restated
2009-06,1.244B,1.244B,996.00M,248.00M,114.00M,18.00M,21.00M,49.00M,54.00M,2.00M,-52.00M,,153.00M,95.00M,2.00M,54.00M,-52.00M,84.00M,-52.00M,127.00M,17.00M,110.00M,-1.00M,0.00,2.00M,109.00M,67.56M,263.00M,82.00M,181.00M,,0.75,-0.01,0.4543,0.74,,0.70,-0.01,0.4298,0.69,,143.53M,157.08M,0.04,,AOR,Restated
2009-03,1.146B,1.146B,946.00M,200.00M,114.00M,20.00M,17.00M,-15.00M,51.00M,3.00M,-48.00M,,151.00M,49.00M,3.00M,51.00M,-48.00M,-17.00M,-48.00M,-16.00M,5.00M,-21.00M,1.00M,,3.00M,-20.00M,-11.25M,109.00M,74.00M,35.00M,,-0.17,0.01,-0.1021,-0.16,,-0.17,0.01,-0.1021,-0.16,,143.51M,143.51M,0.04,,AOR,Restated
2008-12,1.286B,1.286B,1.177B,109.00M,124.00M,21.00M,18.00M,45.00M,,,,133.00M,296.00M,-187.00M,,,,53.00M,,-183.00M,-43.00M,-141.00M,-15.00M,2.00M,2.00M,-155.00M,-174.43M,156.00M,88.00M,68.00M,,-0.92,-0.11,-1.160,-1.03,,-0.92,-0.11,-1.141,-1.03,,143.47M,155.86M,0.04,,,Restated
2008-09,1.823B,1.823B,1.49B,333.00M,142.00M,18.00M,19.00M,36.00M,,,,-9.00M,170.00M,163.00M,,,,55.00M,,152.00M,-12.00M,164.00M,-6.00M,,3.00M,158.00M,140.60M,257.00M,94.00M,163.00M,,1.09,-0.04,0.9309,1.05,,1.01,-0.04,0.8664,0.97,,147.06M,162.91M,0.04,,,
2008-06,1.868B,1.868B,1.472B,396.00M,138.00M,18.00M,20.00M,63.00M,,,,13.00M,189.00M,207.00M,,,,80.00M,,247.00M,45.00M,203.00M,-69.00M,-1.00M,2.00M,134.00M,151.48M,299.00M,92.00M,207.00M,,1.33,-0.46,0.9886,0.87,,1.21,-0.46,0.9030,0.80,,150.91M,167.81M,0.04,,,
2008-03,1.846B,1.846B,1.428B,418.00M,136.00M,23.00M,19.00M,26.00M,67.00M,9.00M,-58.00M,,178.00M,240.00M,9.00M,67.00M,-58.00M,36.00M,-58.00M,218.00M,73.00M,145.00M,0.00,,3.00M,145.00M,127.71M,371.00M,86.00M,285.00M,,0.93,0.00,0.8162,0.93,,0.87,0.00,0.7666,0.87,,151.99M,167.31M,0.04,,,Restated
2007-12,1.76B,1.76B,1.348B,412.00M,145.00M,19.00M,52.00M,156.00M,,,,-102.00M,114.00M,298.00M,,,,173.00M,,313.00M,104.00M,208.00M,6.00M,,3.00M,214.00M,103.83M,371.00M,73.00M,298.00M,,1.33,0.04,0.6430,1.37,,1.22,0.04,0.6020,1.26,,151.63M,168.56M,0.04,,,
2007-09,1.573B,1.573B,1.236B,337.00M,133.00M,18.00M,18.00M,-7.00M,,,,15.00M,184.00M,153.00M,,,,17.00M,,131.00M,1.00M,130.00M,-2.00M,,2.00M,128.00M,136.95M,233.00M,80.00M,153.00M,,0.85,-0.01,0.8963,0.84,,0.77,-0.01,0.8115,0.76,,150.15M,167.41M,0.04,,,
2007-06,1.556B,1.556B,1.219B,337.00M,122.00M,19.00M,17.00M,-320.00M,,,,6.00M,164.00M,173.00M,,,,-297.00M,,168.00M,-44.00M,-124.00M,7.00M,,3.00M,-117.00M,84.00M,250.00M,77.00M,173.00M,,-0.81,0.05,0.5154,-0.76,,-0.81,0.05,0.5154,-0.76,,156.93M,156.93M,0.04,,,
2007-03,1.555B,1.555B,1.196B,359.00M,116.00M,17.00M,18.00M,3.00M,,,,2.00M,153.00M,206.00M,,,,21.00M,,171.00M,49.00M,122.00M,79.00M,,2.00M,201.00M,119.86M,287.00M,81.00M,206.00M,,0.75,0.50,0.7366,1.25,,0.70,0.45,0.6877,1.15,,159.28M,174.44M,0.04,,,
2006-12,1.43B,1.43B,1.119B,311.00M,134.00M,17.00M,18.00M,25.00M,,,,2.00M,171.00M,140.00M,,,,48.00M,,125.00M,75.00M,49.00M,28.00M,-1.00M,2.00M,77.00M,34.00M,192.00M,52.00M,140.00M,,0.30,0.18,0.2055,0.48,,0.28,0.16,0.1930,0.44,,158.66M,172.50M,0.04,,,
2006-09,1.471B,1.471B,1.133B,338.00M,129.00M,15.00M,17.00M,19.00M,,,,5.00M,166.00M,172.00M,,,,36.00M,,150.00M,60.00M,88.00M,21.00M,-2.00M,3.00M,109.00M,76.60M,254.00M,82.00M,172.00M,,0.54,0.13,0.4681,0.67,,0.52,0.12,0.4534,0.64,,158.61M,171.18M,0.04,,,
2006-06,1.457B,1.457B,1.121B,336.00M,136.00M,16.00M,18.00M,15.00M,,,,3.00M,173.00M,163.00M,,,,33.00M,,134.00M,38.00M,95.00M,8.00M,-1.00M,2.00M,103.00M,84.25M,252.00M,89.00M,163.00M,,0.59,0.05,0.5222,0.64,,0.55,0.05,0.4875,0.60,,158.56M,172.07M,0.04,,,
2006-03,1.498B,1.498B,1.16B,338.00M,138.00M,17.00M,14.00M,6.00M,,,,,169.00M,169.00M,,,,24.00M,,130.00M,34.00M,96.00M,21.00M,,3.00M,117.00M,91.57M,242.00M,73.00M,169.00M,,0.59,0.13,0.5621,0.72,,0.57,0.11,0.5442,0.68,,158.56M,171.49M,0.04,,,
2005-12,777.00M,777.00M,573.00M,204.00M,74.00M,18.00M,,-13.00M,,,,46.00M,217.00M,-13.00M,,,,-10.00M,,60.00M,-55.00M,118.00M,57.00M,3.00M,3.00M,175.00M,125.80M,76.00M,89.00M,-13.00M,,0.74,0.37,0.7892,1.11,,0.71,0.34,0.7482,1.05,,158.61M,204.19M,0.04,,,
2005-09,1.526B,1.526B,1.24B,286.00M,144.00M,22.00M,,2.00M,,,,1.00M,167.00M,119.00M,,,,23.00M,,77.00M,27.00M,47.00M,-2.00M,-3.00M,3.00M,45.00M,45.70M,192.00M,73.00M,119.00M,,0.27,-0.01,0.2618,0.26,,0.27,-0.01,0.2624,0.26,,158.55M,171.93M,0.04,,,
2005-06,1.506B,1.506B,1.165B,341.00M,135.00M,23.00M,,-13.00M,,,,,158.00M,183.00M,,,,-1.00M,,123.00M,43.00M,67.00M,,-13.00M,2.00M,67.00M,75.46M,254.00M,71.00M,183.00M,,0.41,0.00,0.4633,0.41,,0.39,0.00,0.4396,0.39,,158.53M,170.53M,,,,
