,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,708.00M,32.00M,740.00M,1.156B,289.00M,1.445B,260.00M,60.00M,597.00M,917.00M,,,,51.00M,3.153B,,,,,,,6.42B,-2.696B,3.724B,1.069B,325.00M,1.394B,963.00M,163.00M,392.00M,6.636B,9.789B,,819.00M,145.00M,964.00M,117.00M,1.081B,21.00M,125.00M,241.00M,366.00M,,366.00M,,,112.00M,1.61B,67.00M,3.228B,,3.228B,248.00M,52.00M,300.00M,557.00M,,407.00M,240.00M,4.392B,6.002B,,0.00,5.491B,208.00M,2.131B,,,-188.00M,3.38B,,AOR,Restated
2018-03,490.00M,32.00M,522.00M,1.205B,271.00M,1.476B,287.00M,58.00M,610.00M,955.00M,,,,53.00M,3.006B,,,,,,,6.487B,-2.686B,3.801B,1.107B,336.00M,1.443B,979.00M,182.00M,369.00M,6.774B,9.78B,,797.00M,133.00M,930.00M,90.00M,1.02B,29.00M,197.00M,228.00M,425.00M,,425.00M,,,98.00M,1.602B,64.00M,3.343B,,3.343B,219.00M,54.00M,273.00M,582.00M,,412.00M,251.00M,4.513B,6.115B,,0.00,5.22B,192.00M,2.031B,,,-128.00M,3.253B,,AOR,Restated
2017-12,576.00M,32.00M,608.00M,986.00M,99.00M,1.23B,252.00M,57.00M,591.00M,900.00M,,,,54.00M,2.792B,0.00,119.00M,758.00M,5.101B,,368.00M,6.346B,-2.584B,3.762B,1.003B,301.00M,1.304B,976.00M,366.00M,338.00M,6.746B,9.538B,,807.00M,88.00M,895.00M,130.00M,1.025B,33.00M,97.00M,229.00M,326.00M,,326.00M,,,145.00M,1.559B,66.00M,3.315B,,3.315B,211.00M,53.00M,264.00M,585.00M,0.00,412.00M,253.00M,4.68B,6.239B,,0.00,4.92B,175.00M,2.031B,,,-177.00M,2.887B,,AOR,Restated
2017-09,461.00M,31.00M,492.00M,989.00M,260.00M,1.249B,225.00M,45.00M,539.00M,809.00M,,,,63.00M,2.613B,,,,,,,6.214B,-2.508B,3.706B,995.00M,303.00M,1.298B,938.00M,201.00M,306.00M,6.449B,9.062B,,695.00M,100.00M,795.00M,109.00M,904.00M,34.00M,220.00M,215.00M,435.00M,,435.00M,,,146.00M,1.55B,64.00M,2.954B,,2.954B,195.00M,53.00M,248.00M,845.00M,,420.00M,260.00M,4.377B,5.927B,,0.00,4.781B,171.00M,2.031B,,,-206.00M,2.715B,,AOR,Restated
2017-06,511.00M,30.00M,541.00M,985.00M,227.00M,1.212B,213.00M,48.00M,510.00M,771.00M,,,,59.00M,2.583B,,,,,,,6.082B,-2.419B,3.663B,975.00M,302.00M,1.277B,885.00M,164.00M,311.00M,6.30B,8.883B,,666.00M,65.00M,731.00M,94.00M,825.00M,35.00M,200.00M,184.00M,384.00M,,384.00M,,,149.00M,1.424B,62.00M,2.931B,,2.931B,165.00M,52.00M,217.00M,866.00M,,428.00M,255.00M,4.337B,5.761B,,0.00,4.617B,158.00M,1.834B,,,-247.00M,2.694B,,AOR,Restated
2017-03,501.00M,31.00M,532.00M,886.00M,216.00M,1.102B,168.00M,41.00M,508.00M,717.00M,,,,38.00M,2.389B,,,,,,,5.878B,-2.307B,3.571B,800.00M,192.00M,992.00M,874.00M,154.00M,308.00M,5.899B,8.288B,,615.00M,52.00M,667.00M,74.00M,741.00M,32.00M,,107.00M,107.00M,,107.00M,,,104.00M,1.015B,80.00M,2.851B,,2.851B,140.00M,50.00M,190.00M,866.00M,,430.00M,239.00M,4.232B,5.247B,,0.00,4.451B,149.00M,1.662B,,,-327.00M,2.611B,,AOR,Restated
2016-12,638.00M,30.00M,668.00M,801.00M,97.00M,1.024B,169.00M,45.00M,506.00M,720.00M,,,,60.00M,2.472B,0.00,108.00M,695.00M,4.753B,,260.00M,5.816B,-2.239B,3.577B,796.00M,194.00M,990.00M,852.00M,159.00M,307.00M,5.885B,8.357B,,625.00M,33.00M,658.00M,112.00M,770.00M,23.00M,0.00,118.00M,118.00M,,118.00M,,,135.00M,1.077B,70.00M,2.89B,,2.89B,130.00M,50.00M,180.00M,893.00M,,433.00M,220.00M,4.259B,5.336B,,0.00,4.32B,157.00M,1.531B,,,-358.00M,2.588B,,AOR,Restated
2016-09,1.252B,34.00M,1.286B,791.00M,214.00M,1.005B,132.00M,43.00M,477.00M,652.00M,,,,35.00M,2.978B,,,,,,,5.806B,-2.228B,3.578B,712.00M,119.00M,831.00M,864.00M,216.00M,290.00M,5.779B,8.757B,,591.00M,140.00M,731.00M,105.00M,836.00M,23.00M,0.00,92.00M,92.00M,,92.00M,0.00,0.00,116.00M,1.098B,76.00M,2.923B,,2.923B,139.00M,53.00M,192.00M,1.124B,,441.00M,187.00M,4.508B,5.606B,,0.00,4.211B,140.00M,1.331B,,,-310.00M,2.71B,,AOR,Restated
2016-06,735.00M,35.00M,770.00M,792.00M,217.00M,1.009B,131.00M,41.00M,464.00M,636.00M,,,0.00,41.00M,2.456B,,,,,,,5.752B,-2.164B,3.588B,711.00M,121.00M,832.00M,842.00M,237.00M,293.00M,5.792B,8.248B,,551.00M,145.00M,696.00M,87.00M,783.00M,22.00M,0.00,119.00M,119.00M,,119.00M,0.00,0.00,132.00M,1.087B,76.00M,2.464B,,2.464B,116.00M,54.00M,170.00M,1.147B,,449.00M,247.00M,4.11B,5.197B,,0.00,4.001B,133.00M,1.231B,,,-301.00M,2.602B,,AOR,Restated
2016-03,716.00M,31.00M,747.00M,830.00M,212.00M,1.042B,137.00M,39.00M,491.00M,667.00M,,,,47.00M,2.503B,,,,,,,5.772B,-2.132B,3.64B,722.00M,125.00M,847.00M,870.00M,236.00M,296.00M,5.889B,8.392B,,574.00M,146.00M,720.00M,84.00M,804.00M,21.00M,0.00,116.00M,116.00M,,116.00M,,,123.00M,1.095B,82.00M,2.487B,,2.487B,116.00M,56.00M,172.00M,1.176B,,453.00M,275.00M,4.199B,5.294B,,0.00,3.834B,125.00M,1.031B,,,-283.00M,2.645B,,AOR,Restated
2015-12,967.00M,30.00M,997.00M,706.00M,85.00M,991.00M,141.00M,43.00M,498.00M,682.00M,,,68.00M,49.00M,2.787B,0.00,99.00M,679.00M,4.609B,,261.00M,5.648B,-2.039B,3.609B,705.00M,125.00M,830.00M,838.00M,222.00M,300.00M,5.799B,8.586B,,587.00M,103.00M,690.00M,125.00M,815.00M,21.00M,350.00M,163.00M,513.00M,,513.00M,30.00M,30.00M,140.00M,1.55B,87.00M,2.468B,,2.468B,136.00M,56.00M,192.00M,1.189B,,451.00M,264.00M,4.207B,5.757B,,0.00,3.621B,136.00M,1.031B,,,-348.00M,2.378B,,AOR,Restated
2015-09,952.00M,30.00M,982.00M,793.00M,231.00M,1.024B,149.00M,53.00M,536.00M,738.00M,,,15.00M,37.00M,2.796B,,,,,,,5.768B,-1.99B,3.778B,716.00M,122.00M,838.00M,868.00M,278.00M,350.00M,6.112B,8.908B,,608.00M,130.00M,738.00M,126.00M,864.00M,24.00M,345.00M,118.00M,463.00M,,463.00M,7.00M,7.00M,125.00M,1.516B,90.00M,2.541B,,2.541B,122.00M,59.00M,181.00M,1.103B,0.00,431.00M,269.00M,4.195B,5.711B,,0.00,3.962B,127.00M,1.031B,,,-292.00M,2.766B,,AOR,Restated
2015-06,988.00M,29.00M,1.017B,873.00M,226.00M,1.099B,152.00M,51.00M,559.00M,762.00M,,,15.00M,30.00M,2.923B,,,,,,,5.701B,-1.93B,3.771B,716.00M,125.00M,841.00M,821.00M,260.00M,372.00M,6.065B,8.988B,,736.00M,121.00M,857.00M,94.00M,951.00M,25.00M,,123.00M,123.00M,,123.00M,6.00M,6.00M,130.00M,1.268B,90.00M,2.552B,,2.552B,127.00M,61.00M,188.00M,1.13B,0.00,409.00M,263.00M,4.235B,5.503B,,0.00,3.848B,120.00M,611.00M,,,-281.00M,3.076B,,AOR,Restated
2015-03,851.00M,29.00M,880.00M,804.00M,208.00M,1.012B,147.00M,46.00M,551.00M,744.00M,,,15.00M,45.00M,2.696B,,,,,,,5.495B,-1.81B,3.685B,700.00M,123.00M,823.00M,804.00M,275.00M,343.00M,5.93B,8.626B,,664.00M,72.00M,736.00M,96.00M,832.00M,24.00M,,128.00M,128.00M,,128.00M,6.00M,6.00M,172.00M,1.195B,90.00M,2.536B,,2.536B,130.00M,61.00M,191.00M,1.144B,0.00,338.00M,259.00M,4.232B,5.427B,,0.00,3.689B,105.00M,611.00M,,,-322.00M,2.861B,,AOR,Restated
2014-12,780.00M,32.00M,812.00M,801.00M,92.00M,1.042B,150.00M,53.00M,579.00M,782.00M,,,29.00M,33.00M,2.698B,0.00,91.00M,658.00M,3.91B,,890.00M,5.549B,-1.816B,3.733B,749.00M,132.00M,881.00M,876.00M,253.00M,355.00M,6.098B,8.796B,,757.00M,18.00M,775.00M,148.00M,923.00M,30.00M,0.00,137.00M,137.00M,,137.00M,7.00M,7.00M,213.00M,1.338B,91.00M,2.586B,,2.586B,141.00M,68.00M,209.00M,1.211B,10.00M,260.00M,260.00M,4.38B,5.718B,,0.00,3.491B,103.00M,611.00M,,,-165.00M,2.818B,,AOR,Restated
2014-09,1.51B,36.00M,1.546B,1.016B,200.00M,1.216B,152.00M,49.00M,570.00M,771.00M,,,111.00M,43.00M,3.687B,,,,,,,5.403B,-1.785B,3.618B,756.00M,131.00M,887.00M,857.00M,296.00M,365.00M,6.023B,9.71B,,816.00M,129.00M,945.00M,153.00M,1.098B,28.00M,,765.00M,765.00M,,765.00M,10.00M,10.00M,242.00M,2.189B,97.00M,2.639B,,2.639B,225.00M,72.00M,297.00M,1.077B,13.00M,191.00M,243.00M,4.386B,6.575B,,0.00,3.613B,83.00M,562.00M,,,-190.00M,2.944B,,AOR,Restated
2014-06,1.064B,39.00M,1.103B,1.045B,231.00M,1.276B,164.00M,52.00M,600.00M,816.00M,,,115.00M,29.00M,3.339B,,,,,,,5.347B,-1.77B,3.577B,794.00M,140.00M,934.00M,880.00M,271.00M,332.00M,5.994B,9.333B,,839.00M,78.00M,917.00M,118.00M,1.035B,44.00M,,158.00M,158.00M,,158.00M,10.00M,10.00M,249.00M,1.543B,86.00M,2.88B,,2.88B,228.00M,78.00M,306.00M,1.125B,6.00M,146.00M,265.00M,4.689B,6.232B,,0.00,3.399B,73.00M,464.00M,,,-53.00M,2.955B,,AOR,Restated
2014-03,998.00M,43.00M,1.041B,986.00M,256.00M,1.242B,166.00M,59.00M,591.00M,816.00M,,,115.00M,32.00M,3.246B,,,,,,,5.231B,-1.712B,3.519B,798.00M,145.00M,943.00M,828.00M,261.00M,332.00M,5.883B,9.129B,,790.00M,87.00M,877.00M,115.00M,992.00M,54.00M,,157.00M,157.00M,,157.00M,10.00M,10.00M,249.00M,1.51B,84.00M,2.881B,,2.881B,220.00M,80.00M,300.00M,1.147B,2.00M,108.00M,265.00M,4.699B,6.209B,,0.00,3.179B,61.00M,414.00M,,,-14.00M,2.812B,,AOR,Restated
2013-12,984.00M,41.00M,1.025B,867.00M,187.00M,1.21B,174.00M,59.00M,571.00M,804.00M,,,115.00M,28.00M,3.182B,0.00,89.00M,692.00M,3.965B,,351.00M,5.097B,-1.672B,3.425B,798.00M,142.00M,940.00M,841.00M,289.00M,341.00M,5.836B,9.018B,,799.00M,30.00M,829.00M,120.00M,949.00M,59.00M,,177.00M,177.00M,,177.00M,10.00M,10.00M,272.00M,1.545B,87.00M,2.887B,,2.887B,225.00M,81.00M,306.00M,1.175B,3.00M,0.00,296.00M,4.774B,6.319B,,0.00,3.011B,53.00M,361.00M,,,-4.00M,2.699B,,AOR,Restated
2013-09,1.10B,44.00M,1.144B,949.00M,293.00M,1.242B,142.00M,51.00M,560.00M,753.00M,,,50.00M,39.00M,3.228B,,,,,3.391B,,3.391B,,3.391B,787.00M,147.00M,934.00M,857.00M,604.00M,498.00M,6.284B,9.512B,,739.00M,169.00M,908.00M,129.00M,1.037B,47.00M,,224.00M,224.00M,,224.00M,25.00M,25.00M,217.00M,1.597B,89.00M,2.87B,,2.87B,61.00M,960.00M,1.021B,1.546B,3.00M,0.00,300.00M,5.831B,7.428B,,0.00,2.385B,753.00M,1.007B,,,-47.00M,2.084B,,AOR,Restated
2013-06,1.107B,45.00M,1.152B,929.00M,280.00M,1.209B,136.00M,51.00M,551.00M,738.00M,,,50.00M,31.00M,3.18B,,,,,3.325B,,3.325B,,3.325B,772.00M,152.00M,924.00M,808.00M,602.00M,483.00M,6.142B,9.322B,,716.00M,160.00M,876.00M,103.00M,979.00M,47.00M,,224.00M,224.00M,,224.00M,25.00M,25.00M,222.00M,1.544B,96.00M,2.86B,,2.86B,47.00M,935.00M,982.00M,1.56B,2.00M,0.00,291.00M,5.793B,7.337B,,0.00,2.242B,745.00M,911.00M,,,-91.00M,1.985B,,AOR,Restated
2013-03,978.00M,49.00M,1.027B,916.00M,197.00M,1.113B,146.00M,52.00M,560.00M,758.00M,,,50.00M,38.00M,2.986B,,,,,,,4.822B,-1.536B,3.286B,762.00M,155.00M,917.00M,796.00M,603.00M,480.00M,6.082B,9.068B,,659.00M,114.00M,773.00M,111.00M,884.00M,52.00M,,112.00M,112.00M,,112.00M,25.00M,25.00M,231.00M,1.351B,98.00M,2.959B,,2.959B,44.00M,916.00M,960.00M,1.576B,4.00M,0.00,282.00M,5.882B,7.233B,,0.00,2.123B,736.00M,905.00M,,,-119.00M,1.835B,,AOR,Restated
2012-12,959.00M,53.00M,1.012B,827.00M,77.00M,1.036B,155.00M,42.00M,514.00M,711.00M,,,49.00M,31.00M,2.839B,0.00,94.00M,675.00M,3.76B,,327.00M,4.856B,-1.506B,3.35B,777.00M,165.00M,942.00M,800.00M,606.00M,463.00M,6.161B,9.00B,,649.00M,55.00M,704.00M,97.00M,801.00M,59.00M,,168.00M,168.00M,,168.00M,25.00M,25.00M,255.00M,1.355B,104.00M,2.93B,,2.93B,50.00M,945.00M,995.00M,1.602B,8.00M,0.00,274.00M,5.915B,7.27B,,0.00,1.993B,731.00M,905.00M,,,-89.00M,1.73B,,AOR,Restated
2012-09,928.00M,56.00M,984.00M,932.00M,188.00M,1.12B,160.00M,40.00M,511.00M,711.00M,,,106.00M,47.00M,2.968B,,,,,,,4.749B,-1.454B,3.295B,768.00M,174.00M,942.00M,775.00M,539.00M,446.00M,5.997B,8.965B,,685.00M,43.00M,728.00M,,728.00M,,,,141.00M,,141.00M,19.00M,19.00M,507.00M,1.395B,,2.839B,,2.839B,131.00M,,131.00M,1.354B,,0.00,1.331B,5.655B,7.05B,,0.00,2.903B,731.00M,897.00M,,,-822.00M,1.915B,,AOR,Restated
2012-06,800.00M,60.00M,860.00M,957.00M,177.00M,1.134B,164.00M,37.00M,525.00M,726.00M,,,106.00M,40.00M,2.866B,,,,,,,4.668B,-1.403B,3.265B,756.00M,184.00M,940.00M,756.00M,562.00M,390.00M,5.913B,8.779B,,688.00M,37.00M,725.00M,,725.00M,,,,131.00M,,131.00M,18.00M,18.00M,466.00M,1.34B,,2.845B,,2.845B,302.00M,,302.00M,1.392B,,0.00,1.123B,5.662B,7.002B,,0.00,2.798B,725.00M,888.00M,,,-858.00M,1.777B,,AOR,Restated
2012-03,727.00M,63.00M,790.00M,928.00M,207.00M,1.135B,168.00M,36.00M,549.00M,753.00M,,,104.00M,35.00M,2.817B,,,,,,,4.704B,-1.375B,3.329B,783.00M,202.00M,985.00M,762.00M,562.00M,368.00M,6.006B,8.823B,,758.00M,22.00M,780.00M,,780.00M,,,,155.00M,,155.00M,19.00M,19.00M,517.00M,1.471B,,2.875B,,2.875B,314.00M,,314.00M,1.435B,,0.00,1.187B,5.811B,7.282B,,0.00,2.597B,641.00M,880.00M,,,-817.00M,1.541B,,AOR,Restated
2011-12,682.00M,64.00M,746.00M,871.00M,88.00M,1.106B,163.00M,38.00M,511.00M,712.00M,,,104.00M,35.00M,2.703B,0.00,97.00M,636.00M,3.514B,,338.00M,4.585B,-1.316B,3.269B,760.00M,197.00M,957.00M,824.00M,421.00M,344.00M,5.815B,8.518B,,673.00M,28.00M,701.00M,126.00M,827.00M,47.00M,,144.00M,144.00M,,144.00M,17.00M,17.00M,303.00M,1.385B,113.00M,2.873B,,2.873B,92.00M,932.00M,1.024B,1.492B,13.00M,,275.00M,5.792B,7.177B,,0.00,2.424B,627.00M,860.00M,,,-850.00M,1.341B,,AOR,Restated
2011-09,704.00M,64.00M,768.00M,978.00M,203.00M,1.181B,161.00M,43.00M,573.00M,777.00M,,,101.00M,71.00M,2.898B,,,,,,,4.517B,-1.284B,3.233B,780.00M,213.00M,993.00M,841.00M,412.00M,334.00M,5.813B,8.711B,,713.00M,129.00M,842.00M,,842.00M,,,,161.00M,,161.00M,27.00M,27.00M,583.00M,1.613B,,2.893B,,2.893B,116.00M,,116.00M,1.214B,,0.00,1.419B,5.642B,7.255B,,0.00,2.338B,601.00M,857.00M,,,-626.00M,1.456B,,AOR,Restated
2011-06,741.00M,70.00M,811.00M,1.027B,239.00M,1.266B,157.00M,34.00M,588.00M,779.00M,,,95.00M,63.00M,3.014B,,,,,,,4.534B,-1.261B,3.273B,813.00M,238.00M,1.051B,838.00M,434.00M,309.00M,5.905B,8.919B,,786.00M,95.00M,881.00M,,881.00M,,,,155.00M,,155.00M,30.00M,30.00M,575.00M,1.641B,,2.893B,,2.893B,414.00M,,414.00M,1.321B,,0.00,1.277B,5.905B,7.546B,,0.00,2.18B,601.00M,842.00M,,,-566.00M,1.373B,,AOR,Restated
2011-03,722.00M,74.00M,796.00M,950.00M,269.00M,1.219B,153.00M,33.00M,502.00M,688.00M,,,94.00M,45.00M,2.851B,,,,,,,4.356B,-1.203B,3.153B,804.00M,252.00M,1.056B,822.00M,438.00M,302.00M,5.771B,8.622B,,740.00M,77.00M,817.00M,41.00M,858.00M,31.00M,,,219.00M,,219.00M,41.00M,41.00M,325.00M,1.61B,46.00M,3.003B,,3.003B,407.00M,875.00M,1.282B,1.352B,,0.00,189.00M,5.876B,7.486B,,0.00,1.985B,583.00M,832.00M,,,-600.00M,1.136B,,AOR,Restated
