,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,OtherInventory,Inventories,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,LiabilityonCreditLine,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-04,639.14M,639.14M,431.09M,208.64M,620.38M,,4.230B,127.52M,5.618B,,,,,,,3.195B,-1.836B,1.358B,993.46M,583.35M,1.577B,62.23M,2.997B,8.615B,,2.890B,,2.890B,543.34M,3.434B,,,,,,,,46.48M,3.480B,1.045B,,1.045B,310.69M,310.69M,,232.75M,1.588B,5.068B,,0.008M,3.052B,672.91M,149.82M,-28.81M,3.547B,,,
2017-12,546.94M,546.94M,389.96M,234.61M,606.36M,,4.168B,105.11M,5.427B,0.00,451.26M,968.87M,1.692B,,65.28M,3.178B,-1.783B,1.394B,994.29M,597.67M,1.592B,69.30M,3.055B,8.482B,,2.895B,112.93M,3.008B,306.13M,3.314B,49.02M,,,,,,,51.97M,3.480B,1.044B,,1.044B,303.62M,303.62M,,239.06M,1.587B,5.067B,,0.008M,2.920B,664.65M,144.60M,-24.95M,3.415B,,AOR,Restated
2017-09,363.30M,363.30M,444.56M,258.01M,679.36M,,4.219B,105.97M,5.368B,,,,,,,3.174B,-1.756B,1.418B,994.41M,608.52M,1.603B,78.86M,3.100B,8.468B,,2.922B,,2.922B,572.36M,3.494B,,,0.35M,,0.35M,,,43.05M,3.537B,1.044B,,1.044B,429.19M,429.19M,,226.83M,1.700B,5.237B,,0.008M,2.740B,656.72M,141.48M,-24.50M,3.231B,,AOR,Restated
2017-06,257.23M,257.23M,457.51M,256.15M,680.50M,,4.293B,95.12M,5.326B,,,,,,,3.175B,-1.744B,1.431B,993.92M,618.88M,1.613B,67.11M,3.111B,8.437B,,2.937B,,2.937B,629.09M,3.566B,,,0.418M,,0.418M,,,31.72M,3.598B,1.044B,,1.044B,438.78M,438.78M,,228.34M,1.711B,5.309B,,0.008M,2.649B,647.82M,141.40M,-26.66M,3.128B,,AOR,Restated
2017-04,126.09M,126.09M,446.75M,268.72M,683.02M,,4.414B,83.78M,5.307B,,,,,,,3.156B,-1.717B,1.440B,990.70M,626.97M,1.618B,64.67M,3.122B,8.429B,,3.049B,,3.049B,563.28M,3.612B,,,0.52M,,0.52M,,,46.62M,3.660B,1.073B,,1.073B,446.13M,446.13M,,225.85M,1.745B,5.405B,,0.008M,2.566B,639.54M,141.22M,-40.57M,3.024B,,,
2016-12,135.18M,135.18M,407.30M,263.12M,641.25M,,4.326B,70.47M,5.173B,0.00,444.26M,923.72M,1.618B,,120.78M,3.107B,-1.661B,1.446B,990.88M,640.90M,1.632B,64.15M,3.142B,8.315B,,3.086B,121.86M,3.208B,326.55M,3.535B,47.24M,,,,,,,35.47M,3.676B,1.043B,,1.043B,454.28M,454.28M,,225.56M,1.723B,5.399B,,0.008M,2.463B,631.05M,138.10M,-39.70M,2.916B,,AOR,Restated
2016-09,119.49M,119.49M,463.26M,254.00M,686.95M,,4.357B,98.67M,5.262B,,,,,,,3.071B,-1.629B,1.442B,991.39M,652.36M,1.644B,66.59M,3.153B,8.415B,,3.197B,,3.197B,590.32M,3.787B,,,0.372M,,0.372M,,,49.58M,3.837B,1.043B,,1.043B,455.35M,455.35M,,223.59M,1.722B,5.559B,,0.008M,2.405B,620.22M,132.01M,-37.50M,2.856B,,AOR,Restated
2016-06,104.83M,104.83M,456.23M,231.52M,657.48M,,4.421B,96.20M,5.280B,,,,,,,3.013B,-1.581B,1.432B,992.58M,664.68M,1.657B,68.57M,3.158B,8.438B,,3.220B,,3.220B,564.76M,3.784B,,,0.404M,,0.404M,,,56.35M,3.841B,1.170B,,1.170B,446.12M,446.12M,,231.57M,1.847B,5.689B,,0.008M,2.296B,617.60M,131.89M,-32.42M,2.749B,,AOR,Restated
2016-04,103.71M,103.71M,427.00M,256.21M,650.99M,,4.433B,78.56M,5.266B,,,,,,,2.974B,-1.541B,1.433B,993.74M,676.43M,1.670B,69.87M,3.173B,8.439B,,3.318B,,3.318B,534.67M,3.853B,,,0.598M,,0.598M,,,55.24M,3.909B,1.230B,,1.230B,442.29M,442.29M,,229.08M,1.901B,5.810B,,0.008M,2.175B,613.03M,131.52M,-27.82M,2.629B,,,
2015-12,90.78M,90.78M,379.83M,243.71M,597.79M,,4.175B,77.41M,4.941B,0.00,441.05M,886.59M,1.490B,,106.86M,2.924B,-1.490B,1.435B,989.48M,687.12M,1.677B,75.77M,3.187B,8.128B,,3.204B,96.10M,3.300B,354.76M,3.655B,44.48M,,0.598M,,0.598M,,,39.79M,3.797B,1.206B,,1.206B,433.92M,433.92M,,229.35M,1.870B,5.667B,,0.007M,2.021B,603.33M,119.71M,-44.06M,2.461B,,AOR,Restated
2015-09,105.35M,105.35M,435.96M,252.96M,664.61M,,4.142B,96.86M,5.008B,,,,,,,2.865B,-1.469B,1.396B,992.58M,702.72M,1.695B,81.76M,3.173B,8.182B,,3.180B,,3.180B,582.66M,3.763B,,,0.595M,,0.595M,,,187.48M,3.951B,1.293B,,1.293B,,,,524.44M,1.818B,5.768B,,0.007M,1.971B,589.32M,114.86M,-32.05M,2.413B,,AOR,Restated
2015-06,114.54M,114.54M,417.28M,258.02M,653.31M,,4.120B,90.49M,4.978B,,,,,,,2.836B,-1.436B,1.400B,991.74M,714.70M,1.706B,83.16M,3.190B,8.168B,,3.174B,,3.174B,547.85M,3.722B,,,0.591M,,0.591M,,,156.91M,3.880B,1.453B,,1.453B,,,,545.94M,1.999B,5.879B,,0.007M,1.855B,582.02M,114.78M,-32.73M,2.289B,,AOR,Restated
2015-04,123.82M,123.82M,405.50M,244.25M,631.93M,,4.105B,76.34M,4.937B,,,,,,,2.814B,-1.416B,1.398B,993.28M,729.76M,1.723B,88.84M,3.210B,8.147B,,3.139B,,3.139B,536.93M,3.676B,,,0.587M,,0.587M,,,148.39M,3.824B,1.610B,,1.610B,,,,565.94M,2.176B,6.000B,,0.007M,1.709B,572.17M,114.63M,-19.98M,2.147B,,,
2014-12,104.67M,104.67M,360.92M,235.06M,579.82M,,3.937B,119.59M,4.741B,0.00,438.64M,854.45M,1.440B,,71.69M,2.804B,-1.372B,1.432B,995.43M,748.12M,1.744B,45.74M,3.221B,7.962B,,3.095B,87.47M,3.183B,326.33M,3.509B,47.97M,,0.582M,,0.582M,,,37.80M,3.654B,1.636B,,1.636B,446.35M,446.35M,,222.37M,2.305B,5.959B,,0.007M,1.565B,562.94M,113.04M,-12.34M,2.003B,,AOR,Restated
2014-09,89.66M,89.66M,435.38M,218.45M,634.83M,,3.942B,97.23M,4.763B,,,,,,,2.766B,-1.342B,1.425B,997.72M,763.34M,1.761B,48.84M,3.234B,7.998B,,3.091B,,3.091B,573.18M,3.664B,,,5.58M,,5.58M,,,114.29M,3.784B,1.730B,,1.730B,,,,558.05M,2.288B,6.072B,,0.007M,1.485B,553.73M,108.73M,-4.818M,1.925B,,AOR,Restated
2014-06,67.45M,67.45M,453.62M,185.64M,622.43M,,3.935B,89.74M,4.715B,,,,,,,2.734B,-1.312B,1.422B,1.001B,779.40M,1.781B,52.05M,3.255B,7.970B,,3.054B,,3.054B,579.20M,3.634B,,,70.69M,,70.69M,,,69.94M,3.774B,1.798B,,1.798B,,,,583.03M,2.381B,6.155B,,0.007M,1.368B,548.88M,108.65M,6.774M,1.815B,,AOR,Restated
2014-04,83.36M,83.36M,419.75M,170.56M,576.61M,,3.911B,70.87M,4.642B,,,,,,,2.704B,-1.279B,1.425B,1.011B,789.82M,1.801B,45.05M,3.271B,7.913B,,2.976B,,2.976B,541.45M,3.517B,,,70.86M,,70.86M,,,75.96M,3.664B,2.002B,,2.002B,,,,580.46M,2.582B,6.246B,,0.007M,1.232B,542.44M,108.50M,0.259M,1.667B,,,
2013-12,1.112B,1.112B,145.67M,145.22M,277.60M,,2.557B,42.76M,3.989B,0.00,418.21M,782.50M,1.263B,,75.98M,2.539B,-1.255B,1.284B,199.84M,49.87M,249.71M,41.71M,1.575B,5.565B,,2.181B,82.18M,2.263B,261.43M,2.524B,39.51M,,0.916M,,0.916M,135.75M,135.75M,18.88M,2.765B,1.053B,,1.053B,91.96M,139.81M,52.97M,38.34M,1.284B,4.049B,,0.007M,1.089B,531.29M,107.89M,3.683M,1.516B,,AOR,Restated
2013-09,567.30M,567.30M,149.67M,141.29M,278.98M,,2.464B,68.44M,3.379B,,,,,,,2.510B,-1.231B,1.279B,199.84M,53.96M,253.80M,33.56M,1.566B,4.945B,,2.058B,,2.058B,429.17M,2.487B,,,1.03M,,1.03M,,,148.53M,2.636B,604.03M,,604.03M,,,,236.48M,840.51M,3.477B,,0.007M,1.044B,524.74M,105.73M,4.608M,1.468B,,AOR,Restated
2013-06,520.97M,520.97M,163.98M,128.83M,281.71M,,2.407B,66.56M,3.276B,,,,,,,2.475B,-1.190B,1.285B,199.79M,56.16M,255.95M,35.03M,1.576B,4.852B,,2.048B,,2.048B,450.25M,2.498B,,,0.878M,,0.878M,,,140.33M,2.640B,604.12M,,604.12M,,,,239.53M,843.64M,3.483B,,0.007M,944.76M,522.34M,102.88M,4.749M,1.369B,,AOR,Restated
2013-04,407.72M,407.72M,149.95M,131.53M,272.21M,,2.424B,59.17M,3.163B,,,,,,,2.438B,-1.153B,1.285B,201.79M,57.99M,259.78M,40.02M,1.585B,4.747B,,2.102B,,2.102B,381.32M,2.483B,,,0.689M,,0.689M,,,140.59M,2.624B,604.26M,,604.26M,,,,248.63M,852.90M,3.477B,,0.007M,832.29M,520.28M,87.01M,4.891M,1.270B,,,
2012-12,598.11M,598.11M,110.15M,125.63M,229.87M,,2.309B,47.61M,3.184B,0.00,403.40M,741.47M,1.172B,,76.77M,2.394B,-1.102B,1.292B,76.39M,28.84M,105.23M,32.62M,1.430B,4.614B,,2.030B,73.16M,2.103B,222.73M,2.326B,38.42M,,0.627M,,0.627M,134.28M,134.28M,15.28M,2.560B,604.46M,,604.46M,100.24M,100.24M,49.22M,89.56M,843.48M,3.403B,,0.007M,714.90M,520.22M,27.10M,2.667M,1.211B,,AOR,Restated
2012-09,479.38M,479.38M,204.56M,,204.56M,,2.193B,70.58M,2.948B,,,,,,,2.346B,-1.076B,1.270B,76.39M,28.65M,105.04M,33.85M,1.409B,4.357B,,1.825B,,1.825B,413.95M,2.239B,,,0.699M,,0.699M,,,141.04M,2.381B,599.55M,,599.55M,,,,229.32M,828.87M,3.210B,,0.007M,654.25M,515.73M,25.19M,2.683M,1.147B,,AOR,Restated
2012-06,448.59M,448.59M,,,159.35M,1.985B,2.096B,60.88M,2.765B,,,,,,,2.309B,-1.045B,1.264B,76.39M,29.47M,105.86M,34.44M,1.404B,4.169B,,1.738B,,1.738B,417.66M,2.156B,,,0.76M,,0.76M,,,135.52M,2.292B,599.70M,,599.70M,,,,218.31M,818.00M,3.110B,,0.007M,569.14M,512.20M,25.04M,2.796M,1.059B,,AOR,Restated
2012-03,364.08M,364.08M,,,146.23M,,2.107B,52.58M,2.670B,,,,,,,2.249B,-1.016B,1.234B,76.39M,30.29M,106.68M,34.91M,1.375B,4.045B,,1.737B,,1.737B,376.81M,2.114B,,,0.807M,,0.807M,,,133.76M,2.249B,599.84M,,599.84M,,,,217.91M,817.75M,3.066B,,0.007M,473.94M,506.96M,5.174M,2.909M,978.65M,,AOR,
2011-12,57.90M,57.90M,19.08M,124.98M,140.01M,,2.043B,52.75M,2.294B,0.00,359.92M,682.92M,1.035B,,129.11M,2.207B,-983.62M,1.223B,76.39M,31.38M,107.77M,31.07M,1.362B,3.656B,,1.653B,52.48M,1.706B,244.61M,1.950B,38.85M,,0.848M,,0.848M,126.12M,126.12M,21.98M,2.188B,415.14M,,415.14M,73.16M,73.16M,49.13M,82.53M,619.96M,2.808B,,0.011M,1.990B,500.24M,1.645B,2.804M,847.91M,,AOR,Restated
2011-09,65.93M,65.93M,,,131.41M,,2.110B,67.06M,2.374B,,,,,,,2.155B,-963.84M,1.191B,51.38M,29.12M,80.50M,31.99M,1.304B,3.678B,,1.586B,,1.586B,390.28M,1.976B,,,0.949M,,0.949M,,,128.34M,2.106B,599.44M,,599.44M,,,,195.38M,794.81M,2.900B,,0.011M,1.928B,485.24M,1.643B,7.621M,777.63M,,AOR,Restated
2011-06,68.82M,68.82M,,,122.19M,,2.092B,59.24M,2.342B,,,,,,,2.138B,-965.44M,1.172B,34.39M,24.84M,59.23M,29.94M,1.261B,3.603B,,1.570B,,1.570B,396.19M,1.967B,,,0.991M,,0.991M,,,118.54M,2.086B,565.42M,,565.42M,,,,187.74M,753.16M,2.839B,,0.011M,1.826B,479.06M,1.543B,1.614M,764.28M,,AOR,Restated
2011-03,53.67M,53.67M,,,115.42M,,2.118B,48.28M,2.335B,,,,,,,2.100B,-947.68M,1.152B,34.39M,25.06M,59.45M,26.52M,1.238B,3.573B,,1.574B,,1.574B,386.55M,1.961B,,,0.923M,,0.923M,,,114.51M,2.076B,430.83M,,430.83M,,,,182.34M,613.17M,2.689B,,0.011M,1.718B,468.75M,1.303B,0.379M,883.88M,,AOR,Restated
2010-12,59.21M,59.21M,,,124.23M,,1.864B,76.96M,2.124B,0.00,330.96M,648.57M,952.44M,35.16M,103.60M,2.071B,-927.56M,1.143B,34.39M,25.36M,59.75M,27.03M,1.230B,3.354B,,1.324B,55.66M,1.379B,348.42M,1.728B,,,0.973M,,0.973M,,,119.23M,1.848B,300.85M,,300.85M,51.12M,51.12M,,114.83M,466.79M,2.315B,,0.011M,1.613B,456.64M,1.029B,-1.597M,1.039B,,AOR,Restated
2010-09,194.50M,194.50M,,,115.73M,,1.839B,51.93M,2.202B,,,,,,,2.011B,-906.30M,1.104B,34.39M,25.58M,59.97M,28.31M,1.193B,3.394B,,1.306B,,1.306B,429.26M,1.735B,,,1.176M,,1.176M,,,91.51M,1.828B,301.04M,,301.04M,,,,123.38M,424.42M,2.252B,,0.011M,1.570B,443.60M,869.26M,-2.08M,1.142B,,AOR,Restated
2010-06,160.82M,160.82M,,,114.88M,,1.817B,48.67M,2.141B,,,,,,,2.036B,-936.67M,1.099B,34.39M,25.83M,60.22M,28.24M,1.187B,3.329B,,1.310B,,1.310B,452.49M,1.762B,,,1.075M,,1.075M,,,82.96M,1.846B,301.25M,,301.25M,,,,114.81M,416.06M,2.262B,,0.011M,1.487B,432.26M,848.55M,-4.465M,1.066B,,AOR,Restated
2010-03,133.29M,133.29M,,,110.47M,,1.746B,33.98M,2.023B,,,,,,,2.021B,-925.39M,1.096B,34.39M,26.08M,60.47M,23.10M,1.180B,3.203B,,1.203B,,1.203B,424.96M,1.628B,,,1.293M,,1.293M,,,68.12M,1.698B,277.70M,,277.70M,,,,118.02M,395.71M,2.093B,,0.01M,1.391B,404.80M,680.58M,-6.23M,1.109B,,AOR,Restated
2009-12,100.02M,100.02M,,,92.56M,,1.632B,63.17M,1.888B,0.00,313.94M,609.13M,972.82M,35.66M,82.84M,2.014B,-914.04M,1.100B,34.39M,26.42M,60.81M,24.20M,1.185B,3.073B,,998.37M,54.86M,1.053B,338.20M,1.391B,,,1.344M,,1.344M,,,73.26M,1.466B,202.93M,,202.93M,54.98M,54.98M,,66.66M,324.57M,1.791B,,0.01M,1.287B,392.96M,391.18M,-6.699M,1.282B,,AOR,Restated
2009-09,216.22M,216.22M,,,92.99M,,1.657B,46.38M,2.013B,,,,,,,1.954B,-884.03M,1.070B,34.39M,26.67M,61.06M,21.97M,1.153B,3.166B,,1.012B,,1.012B,400.96M,1.413B,,,1.307M,,1.307M,,,59.04M,1.473B,278.15M,,278.15M,,,,122.24M,400.38M,1.873B,,0.01M,1.258B,382.77M,340.68M,-7.946M,1.293B,,AOR,Restated
2009-06,126.39M,126.39M,,,89.39M,,1.636B,43.85M,1.895B,,,,,,,1.930B,-862.59M,1.067B,34.60M,26.92M,61.52M,20.63M,1.150B,3.045B,,954.67M,,954.67M,413.01M,1.368B,,,0.834M,,0.834M,,,52.92M,1.421B,278.84M,,278.84M,,,,81.62M,360.46M,1.782B,,0.01M,1.202B,374.51M,305.48M,-8.034M,1.263B,,AOR,Restated
2009-03,50.90M,50.90M,,,87.52M,,1.681B,34.04M,1.854B,,,,,,,1.901B,-838.98M,1.062B,34.60M,27.20M,61.80M,24.45M,1.148B,3.002B,,1.005B,,1.005B,407.57M,1.413B,,,9.08M,,9.08M,,,48.65M,1.471B,279.01M,,279.01M,,,,72.24M,351.25M,1.822B,,0.01M,1.127B,351.96M,291.11M,-8.544M,1.180B,,AOR,Restated
2008-12,37.36M,37.36M,,,97.20M,,1.623B,49.98M,1.808B,0.00,289.68M,580.98M,897.78M,30.20M,90.20M,1.889B,-817.43M,1.071B,34.60M,27.57M,62.17M,22.86M,1.156B,2.964B,,927.72M,,927.72M,372.51M,1.300B,,,21.59M,,21.59M,,,43.18M,1.365B,455.16M,,455.16M,,,,68.74M,523.90M,1.889B,,0.01M,1.040B,335.99M,291.11M,-9.349M,1.075B,,,Restated
2008-09,21.31M,21.31M,93.78M,,93.78M,1.618B,1.718B,46.08M,1.879B,,,,,,,1.871B,-817.35M,1.054B,34.60M,27.89M,62.49M,13.16M,1.129B,3.008B,,853.84M,,853.84M,335.45M,1.189B,,,0.68M,,0.68M,,,232.49M,1.422B,470.49M,,470.49M,,,,57.79M,528.29M,1.951B,,0.01M,1.021B,330.97M,291.11M,-3.251M,1.058B,,,
2008-06,19.46M,19.46M,90.15M,,90.15M,,1.686B,41.68M,1.838B,,,,,,,1.851B,-793.10M,1.058B,34.60M,28.18M,62.79M,15.19M,1.136B,2.974B,,884.95M,,884.95M,339.14M,1.224B,,,0.675M,,0.675M,,,205.71M,1.430B,452.27M,,452.27M,,,,52.64M,504.91M,1.935B,,0.01M,970.50M,307.01M,237.49M,-1.437M,1.039B,,,Restated
2008-03,19.13M,19.13M,84.08M,,84.08M,,1.618B,27.57M,1.749B,,,,,,,1.830B,-781.99M,1.048B,33.72M,28.26M,61.98M,14.38M,1.124B,2.873B,,801.21M,,801.21M,311.56M,1.113B,,,2.544M,,2.544M,,,200.61M,1.316B,553.84M,,553.84M,,,,52.70M,606.53M,1.922B,,0.01M,900.86M,283.57M,229.99M,-3.783M,950.66M,,,Restated
2007-12,14.65M,14.65M,84.98M,,84.98M,1.436B,1.529B,53.72M,1.683B,0.00,274.71M,566.76M,894.80M,4.23M,60.46M,1.801B,-753.02M,1.048B,33.72M,26.84M,60.56M,14.24M,1.123B,2.806B,,688.97M,,688.97M,301.41M,990.38M,,,184.16M,,184.16M,,,51.38M,1.226B,505.06M,,505.06M,,,,50.78M,555.84M,1.782B,,0.01M,824.47M,274.66M,74.64M,-0.701M,1.024B,,,
2007-09,14.84M,14.84M,76.98M,,76.98M,1.445B,1.541B,43.80M,1.676B,,,,,,,1.753B,-736.49M,1.017B,33.72M,27.10M,60.81M,12.75M,1.090B,2.767B,,708.10M,,708.10M,304.81M,1.013B,,,154.33M,,154.33M,,,40.12M,1.207B,433.77M,,433.77M,,,,60.04M,493.82M,1.701B,,0.01M,795.68M,267.40M,,2.308M,1.065B,,,
2007-06,82.65M,82.65M,90.69M,,90.69M,1.464B,1.561B,45.13M,1.779B,,,,,,,1.746B,-727.14M,1.019B,33.92M,27.34M,61.26M,15.90M,1.096B,2.875B,,736.56M,,736.56M,298.10M,1.035B,,,170.53M,,170.53M,,,44.42M,1.250B,350.33M,,350.33M,,,,63.42M,413.75M,1.663B,,0.011M,742.70M,467.78M,3.898M,5.435M,1.212B,,,
2007-03,16.98M,16.98M,89.75M,,89.75M,1.463B,1.556B,29.42M,1.692B,,,,,,,1.723B,-706.73M,1.016B,33.72M,27.60M,61.31M,11.75M,1.089B,2.781B,,886.87M,,886.87M,254.86M,1.142B,,,5.769M,,5.769M,,,47.17M,1.195B,404.15M,,404.15M,,,,64.54M,468.69M,1.663B,,0.011M,680.68M,434.42M,,2.846M,1.118B,,,
2006-12,11.13M,11.13M,97.05M,,97.05M,1.381B,1.463B,40.46M,1.612B,0.00,238.19M,526.65M,868.33M,4.23M,28.15M,1.666B,-670.57M,994.98M,33.72M,27.93M,61.64M,14.09M,1.071B,2.683B,,651.59M,,651.59M,252.98M,904.56M,,,34.27M,,34.27M,,,174.58M,1.113B,477.17M,,477.17M,,,,61.23M,538.41M,1.652B,,0.011M,613.22M,414.15M,,3.472M,1.031B,,,
2006-09,13.99M,13.99M,67.89M,15.85M,83.73M,1.380B,1.462B,38.21M,1.598B,,,,,,,1.635B,-650.98M,983.61M,33.76M,27.92M,61.68M,18.30M,1.064B,2.662B,,810.46M,,810.46M,257.33M,1.068B,,,36.76M,,36.76M,,,48.95M,1.153B,450.86M,,450.86M,,,,66.77M,517.63M,1.671B,,0.011M,584.18M,405.60M,,0.662M,990.45M,,,
