,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2012-03,133.51M,0.382M,,0.382M,,,55.80M,55.80M,0.294M,,5.59M,-17.39M,0.481M,-6.221M,-63.79M,120.10M,,,6.656M,56.75M,235.42M,,-82.46M,0.188M,-82.28M,,,,-82.28M,,184.90M,-16.15M,168.76M,,-5.174M,-5.174M,,-8.784M,4.545M,-6.303M,153.04M,,57.90M,306.18M,,364.08M,,,358.40M,-189.65M,-5.174M,,,,AOR,
2011-12,394.68M,1.871M,,1.871M,,,41.47M,41.47M,7.663M,,5.321M,-4.564M,-327.94M,-8.518M,66.56M,36.45M,,,-33.98M,99.37M,217.87M,,-60.62M,0.174M,-60.45M,,-4.963M,,-65.41M,,-184.20M,47.83M,-136.37M,,-1.96M,-1.96M,,-0.013M,8.604M,-30.74M,-160.48M,,65.93M,-8.028M,,57.90M,,,78.62M,-215.00M,-1.96M,,,,AOR,Restated
2011-09,,1.178M,,1.178M,,,41.51M,41.51M,19.41M,,4.24M,-0.319M,105.85M,-8.911M,-17.81M,-11.80M,,,8.079M,-30.44M,141.43M,,-55.91M,0.086M,-55.82M,,-18.17M,,-73.99M,,34.20M,-1.735M,32.46M,,-100.01M,-100.01M,,-4.386M,1.938M,-0.333M,-70.33M,,68.82M,-2.891M,,65.93M,,,286.80M,-254.34M,-100.01M,,,,AOR,Restated
2011-06,-109.58M,0.888M,,0.888M,,,40.43M,40.43M,11.85M,,4.032M,-2.088M,222.95M,-6.764M,26.21M,16.95M,,,-7.782M,28.61M,197.10M,,-62.71M,0.007M,-62.70M,,,,-62.70M,,134.80M,-3.349M,131.45M,,-248.79M,-248.79M,,-4.454M,5.417M,-2.869M,-119.24M,,53.67M,15.15M,,68.82M,,,633.20M,-501.75M,-248.79M,,,,AOR,Restated
2011-03,109.58M,1.291M,,1.291M,,,52.54M,52.54M,14.11M,,5.96M,-2.692M,0.235M,8.821M,-254.25M,303.18M,,,33.68M,91.42M,272.45M,,-88.88M,1.021M,-87.86M,,,,-87.86M,,130.20M,-36.12M,94.08M,,-280.39M,-280.39M,,-9.701M,5.097M,0.782M,-190.13M,,59.21M,-5.542M,,53.67M,,,443.20M,-349.12M,-280.39M,,,,AOR,Restated
2010-12,,1.752M,,1.752M,,,39.00M,39.00M,14.98M,,6.57M,-3.295M,-297.77M,-8.496M,-24.37M,17.06M,,,-13.40M,-37.62M,69.66M,,-52.43M,0.038M,-52.39M,,0.00,,-52.39M,,0.00,4.648M,4.648M,,-144.36M,-144.36M,,-0.024M,9.00M,-21.83M,-152.57M,,194.50M,-135.29M,,59.21M,,,0.028M,4.62M,-144.36M,164.99M,15.78M,,AOR,Restated
2010-09,,1.70M,,1.70M,,,38.51M,38.51M,27.64M,,4.398M,-1.156M,87.76M,-0.846M,-22.50M,-30.57M,,,-3.946M,-57.86M,100.99M,,-47.83M,0.093M,-47.74M,,0.00,,-47.74M,,0.00,-4.62M,-7.719M,,-20.71M,-20.71M,,-5.017M,6.018M,7.855M,-19.57M,,160.82M,33.68M,,194.50M,,,0.00,-4.62M,-20.71M,,,,AOR,Restated
2010-06,,1.574M,,1.574M,,,37.25M,37.25M,-0.235M,,4.669M,-2.00M,101.38M,-4.414M,-71.44M,107.21M,,,-16.50M,14.85M,157.50M,,-38.65M,0.011M,-38.64M,,,,-38.64M,,23.99M,24.06M,51.15M,,-167.96M,-167.96M,,-5.107M,22.45M,8.144M,-91.32M,,133.29M,27.53M,,160.82M,,,298.76M,-250.71M,-167.96M,-16.51M,-7.831M,,AOR,Restated
2010-03,,1.508M,,1.508M,,,49.68M,49.68M,-1.883M,,6.674M,-0.809M,109.74M,-17.91M,-113.69M,270.86M,,,33.84M,173.10M,338.00M,,-60.68M,0.093M,-60.58M,,,,-60.58M,,74.77M,-24.06M,50.71M,,-289.41M,-289.41M,,-10.90M,4.691M,0.758M,-244.15M,,100.02M,33.27M,,133.29M,,,75.00M,-24.29M,-289.41M,16.51M,7.831M,,AOR,Restated
2009-12,34.48M,0.996M,,0.996M,,,36.06M,36.06M,66.62M,,6.236M,-0.688M,-55.93M,0.433M,25.20M,-16.22M,,,-25.95M,-16.54M,71.24M,,-60.31M,4.83M,-55.48M,,,,-55.48M,,-86.74M,1.216M,-85.53M,,-50.50M,-50.50M,,-0.031M,3.424M,0.676M,-131.96M,,216.22M,-116.20M,,100.02M,,,-11.06M,-74.47M,-50.50M,-98.55M,-17.87M,,AOR,Restated
2009-09,61.98M,1.743M,,1.743M,,,35.29M,35.29M,-11.38M,,4.027M,-0.417M,56.10M,-3.60M,-21.31M,71.59M,,,0.634M,47.31M,194.65M,,-41.78M,0.448M,-41.34M,,,,-41.34M,,20.51M,-105.17M,-84.66M,,-35.20M,-35.20M,,-5.654M,3.866M,58.16M,-63.48M,,126.39M,89.82M,,216.22M,,,0.00,-84.66M,-35.20M,37.06M,5.343M,,AOR,Restated
2009-06,80.33M,-0.115M,,-0.115M,,,34.41M,34.41M,9.204M,-0.111M,5.248M,-1.391M,-3.365M,-1.874M,45.58M,-28.82M,,,-1.578M,13.31M,141.08M,,-40.62M,2.041M,-38.58M,,,,-38.58M,,-20.51M,53.69M,33.18M,,-14.37M,-14.37M,,-5.74M,16.63M,-56.71M,-27.01M,,50.90M,75.49M,,126.39M,,,0.00,33.18M,-14.37M,50.42M,3.618M,,AOR,Restated
2009-03,93.58M,6.351M,,6.351M,,,45.16M,45.16M,2.18M,0.111M,4.171M,-0.723M,3.559M,9.684M,-58.25M,169.16M,,,21.29M,141.89M,292.72M,,-50.22M,0.076M,-50.14M,,,,-50.14M,,-176.50M,-54.03M,-230.53M,,0.00,0.00,,-11.38M,11.48M,1.389M,-229.04M,,37.36M,13.54M,,50.90M,,,173.40M,-403.93M,0.00,11.07M,8.907M,,AOR,Restated
2008-12,24.41M,2.232M,,0.96M,-113.30M,-0.277M,33.01M,33.01M,-1.237M,0.36M,17.71M,-9.047M,33.07M,-3.425M,57.08M,22.30M,,-60.66M,-11.64M,3.662M,102.90M,,-48.03M,0.439M,-47.59M,,,0.00,-47.59M,,-50.17M,-9.412M,4.92M,-34.53M,0.00,-34.53M,,-0.026M,35.22M,-44.83M,-39.25M,,21.31M,16.05M,,37.36M,,-34.53M,438.60M,-498.18M,0.00,106.72M,27.22M,,,Restated
2008-09,56.16M,-0.61M,,0.662M,113.30M,0.277M,34.88M,34.88M,0.362M,-0.191M,-10.01M,4.629M,-1.158M,-3.632M,-31.21M,-87.61M,,60.66M,-3.283M,-65.08M,25.82M,,-30.97M,2.205M,-28.77M,,,0.00,-28.77M,,52.40M,30.54M,18.44M,34.53M,-57.00M,-22.47M,,-5.758M,-18.17M,32.74M,4.794M,,19.46M,1.848M,,21.31M,,34.53M,-239.70M,322.64M,-57.00M,-74.83M,-19.04M,,,
2008-06,75.39M,0.61M,1.246M,1.856M,,,34.07M,34.07M,0.355M,0.08M,4.292M,-4.302M,0.07M,-5.786M,-67.68M,112.07M,,,-13.93M,24.68M,136.42M,,-47.12M,0.029M,-47.09M,,,-1.663M,-48.75M,,-101.40M,4.379M,-97.02M,,-4.121M,-4.121M,,-5.738M,15.24M,4.302M,-87.34M,,19.13M,0.331M,,19.46M,,,0.00,-97.02M,-4.121M,44.33M,6.234M,,,Restated
2008-03,82.09M,,-1.246M,-1.246M,,,44.62M,44.62M,-2.182M,0.111M,5.715M,-0.327M,5.499M,0.90M,-88.85M,140.41M,,,32.37M,84.82M,213.60M,,-58.86M,4.117M,-54.75M,,,-1.75M,-56.50M,,49.00M,-34.92M,14.08M,,-158.31M,-158.31M,,-11.66M,2.926M,0.327M,-152.63M,,14.65M,4.474M,,19.13M,,,239.70M,-225.62M,-158.31M,30.50M,12.81M,,,Restated
2007-12,34.75M,,,1.992M,33.86M,0.063M,33.92M,33.92M,0.606M,,,,3.07M,-8.366M,11.20M,-19.12M,,-16.45M,-8.833M,-41.58M,32.76M,,-64.08M,0.06M,-64.02M,,,0.00,-64.02M,,,,100.50M,2.836M,-71.68M,-68.85M,,0.00,,-0.58M,31.07M,,14.84M,-0.182M,,14.65M,,2.836M,,,-71.68M,,,,,
2007-09,59.04M,,,5.084M,33.97M,0.053M,34.02M,34.02M,-7.756M,,,,3.391M,11.22M,19.84M,-28.47M,,1.73M,-0.305M,4.014M,97.79M,,-30.87M,0.611M,-30.26M,,,3.385M,-26.87M,,,,67.20M,7.112M,-207.80M,-200.69M,,-6.059M,,0.811M,-138.73M,,82.65M,-67.81M,,14.84M,,7.112M,,,-207.80M,,,,,
2007-06,68.42M,,,0.62M,34.01M,0.051M,34.06M,34.06M,-7.298M,,,,-1.997M,-0.94M,-4.455M,-32.06M,,48.49M,-11.74M,-0.701M,93.11M,,-39.71M,0.911M,-38.80M,,,0.00,-38.80M,,,,-16.58M,21.34M,-3.426M,17.91M,,-6.411M,,16.44M,11.36M,,16.98M,65.66M,,82.65M,,21.34M,,,-3.426M,,,,,
2007-03,76.10M,,,3.37M,45.43M,0.069M,45.50M,45.50M,-6.087M,,,,1.791M,4.041M,-92.71M,117.03M,,21.49M,16.35M,66.20M,186.88M,,-75.94M,0.239M,-75.70M,,,3.251M,-72.45M,,,,-101.50M,11.26M,,11.26M,,-12.68M,,-5.651M,-108.57M,,11.13M,5.855M,,16.98M,,11.26M,,,,,,,,
2006-12,35.35M,,,0.583M,35.27M,0.052M,35.32M,35.32M,-4.23M,,,,3.705M,-13.31M,-1.273M,-18.13M,,-1.792M,0.381M,-34.13M,36.60M,,-57.80M,3.718M,-54.08M,,0.00,,-54.08M,,,,457.61M,3.103M,0.00,3.103M,,0.00,,-446.09M,14.62M,,13.99M,-2.859M,,11.13M,,3.103M,,,0.00,,,,,
2006-09,58.95M,,,1.067M,33.30M,0.144M,33.44M,33.44M,5.093M,,,,5.497M,3.60M,-24.94M,-19.01M,,-27.28M,3.164M,-64.46M,39.58M,,-68.77M,1.938M,-66.83M,,0.00,,-66.83M,,,,16.34M,6.10M,0.00,6.10M,,-6.314M,,11.99M,28.11M,,13.13M,0.859M,,13.99M,,6.10M,,,0.00,,,,,
2006-06,62.94M,,,-2.102M,31.03M,0.145M,31.17M,31.17M,-6.262M,,,,6.465M,-2.321M,-12.24M,-7.832M,,34.21M,-12.90M,-1.079M,91.13M,,-54.06M,1.677M,-52.38M,,-12.50M,,-64.88M,,,,18.73M,-0.576M,-84.23M,-84.81M,,-6.36M,,3.971M,-68.47M,,55.35M,-42.22M,,13.13M,,-0.576M,,,-84.23M,,,,,
2006-03,74.08M,,,2.555M,39.83M,0.193M,40.03M,40.03M,-1.163M,,,,,9.716M,-53.79M,67.31M,,10.13M,17.43M,50.80M,166.29M,,-77.95M,5.111M,-72.84M,,,,-72.84M,,,,-36.40M,8.576M,-53.33M,-44.75M,,-6.479M,,8.745M,-78.88M,,40.78M,14.57M,,55.35M,,8.576M,,,-53.33M,,,,,
2005-12,39.36M,,,-0.286M,29.24M,0.142M,29.39M,29.39M,2.98M,,,,1.957M,-8.67M,7.767M,-31.64M,,-30.97M,-15.55M,-79.07M,-5.677M,,-56.82M,6.916M,-49.91M,,0.00,,-49.91M,,,,18.92M,2.12M,-39.04M,-36.92M,,,,1.662M,-16.34M,,112.70M,-71.92M,,40.78M,,2.12M,,,-39.04M,,,,,
2005-09,60.79M,,,0.076M,28.22M,0.141M,28.36M,28.36M,6.107M,,,,0.471M,22.90M,-12.31M,11.52M,13.24M,18.66M,-11.86M,42.15M,137.96M,,-39.61M,2.944M,-36.67M,,-99.30M,,-135.97M,,,,-57.53M,23.28M,-19.57M,3.704M,,,,-11.34M,-65.17M,,175.89M,-63.18M,,112.70M,,23.28M,,,-19.57M,,,,,
2005-06,65.93M,,,-3.721M,27.47M,0.144M,27.61M,27.61M,-3.657M,,,,28.24M,-3.147M,-18.04M,-32.94M,-13.24M,4.319M,4.601M,-58.44M,55.95M,,-60.28M,1.46M,-58.82M,,,,-58.82M,,,,-24.14M,-0.927M,0.00,-0.927M,,,,72.13M,47.07M,,131.69M,44.20M,,175.89M,,-0.927M,,,0.00,,,,,
2005-03,68.65M,,,4.434M,35.01M,0.193M,35.20M,35.20M,-2.64M,,,,,10.74M,-107.85M,88.68M,,40.79M,-4.601M,27.76M,133.40M,,-59.50M,1.414M,-58.08M,,,,-58.08M,,,,35.22M,7.804M,-42.98M,-35.17M,,,,,0.049M,,56.32M,75.37M,,131.69M,,7.804M,,,-42.98M,,,,,
2004-12,32.07M,,,-11.14M,24.73M,0.145M,24.88M,24.88M,-2.71M,,,,24.50M,-1.492M,-6.507M,-10.93M,8.699M,-18.20M,,-25.05M,42.55M,,-54.47M,6.135M,-48.34M,,,,-48.34M,,,,195.06M,13.40M,-96.37M,-82.98M,,,,-77.45M,34.63M,,27.48M,28.84M,,56.32M,,13.40M,,,-96.37M,,,,,
2004-09,51.39M,,,-2.02M,24.73M,0.241M,24.97M,24.97M,0.046M,,,,2.972M,0.01M,-5.376M,-31.04M,5.674M,7.452M,,-23.28M,54.08M,,-38.20M,1.341M,-36.86M,,,,-36.86M,,,,54.57M,0.267M,-50.00M,-49.73M,,,,-14.40M,-9.562M,,19.82M,7.662M,,27.48M,,0.267M,,,-50.00M,,,,,
2004-06,53.24M,,,9.606M,24.08M,0.291M,24.37M,24.37M,6.095M,,,,,-4.963M,-15.57M,26.77M,-3.162M,6.344M,,9.42M,102.72M,,-55.09M,2.971M,-52.12M,,,,-52.12M,,,,-55.11M,7.115M,,7.115M,,,,4.334M,-43.66M,,12.87M,6.95M,,19.82M,,7.115M,,,,,,,,
2004-03,51.29M,,,3.999M,31.34M,0.405M,31.74M,31.74M,3.077M,,,,,-9.50M,-60.22M,34.87M,-11.21M,16.99M,,-29.07M,61.04M,,-32.00M,2.497M,-29.51M,,,,-29.51M,,,,-69.14M,3.089M,,3.089M,,,,35.90M,-30.15M,,11.49M,1.38M,,12.87M,,3.089M,,,,,,,,
2003-12,31.27M,,,2.395M,23.25M,0.222M,23.48M,23.48M,16.80M,,,,,8.029M,-11.22M,-38.07M,3.904M,-40.88M,,-78.24M,-4.296M,,-30.85M,3.538M,-27.31M,,,,-27.31M,,,,-10.33M,0.972M,,0.972M,,,,2.589M,-6.767M,,49.86M,-38.37M,,11.49M,,0.972M,,,,,,,,
2003-09,45.16M,,,3.999M,23.68M,0.199M,23.88M,23.88M,6.803M,,,,,0.522M,-22.60M,14.52M,7.489M,4.513M,,4.444M,84.28M,,-19.74M,3.191M,-16.54M,,,,-16.54M,,,,-64.05M,5.611M,,5.611M,,,,-5.52M,-63.96M,,46.07M,3.784M,,49.86M,,5.611M,,,,,,,,
2003-06,43.46M,,,4.483M,23.28M,0.209M,23.49M,23.49M,27.00M,,,,,8.133M,-13.52M,71.36M,-10.66M,4.681M,,59.99M,158.43M,,-20.28M,2.041M,-18.24M,,,,-18.24M,,,,-93.73M,8.744M,,8.744M,,,,-33.86M,-118.85M,,24.74M,21.34M,,46.07M,,8.744M,,,,,,,,
2003-03,5.041M,,,48.71M,30.52M,4.48M,35.00M,35.00M,3.137M,,,,,1.091M,-17.56M,49.73M,-7.948M,0.299M,,25.61M,117.50M,,-30.31M,6.933M,-23.38M,,,,-23.38M,,,,-95.84M,10.08M,,10.08M,,,,2.486M,-83.27M,,13.88M,10.85M,,24.74M,,10.08M,,,,,,,,
2002-12,8.619M,,,2.69M,22.64M,3.609M,26.24M,26.24M,16.82M,,,,,28.70M,40.55M,-85.26M,6.354M,-20.60M,,-30.26M,24.12M,,-29.66M,13.37M,-16.29M,,-9.765M,,-26.06M,,,,-75.66M,0.172M,,0.172M,,,,34.48M,-41.02M,,56.84M,-42.96M,,13.88M,,0.172M,,,,,,,,
2002-09,28.36M,,,-1.194M,22.47M,3.514M,25.99M,25.99M,18.02M,,,,,-10.91M,-8.603M,-29.12M,1.827M,12.61M,,-34.20M,36.98M,,-21.89M,10.58M,-11.31M,,-3.411M,,-14.72M,,,,33.63M,0.495M,,0.495M,,,,-39.08M,-4.959M,,39.54M,17.30M,,56.84M,,0.495M,,,,,,,,
2002-06,15.94M,,,12.51M,21.59M,3.97M,25.56M,25.56M,17.62M,,,,,-3.745M,-59.30M,67.78M,-13.72M,23.83M,,14.85M,86.47M,,-20.22M,8.816M,-11.40M,,,,-11.40M,,,,-146.93M,14.30M,,14.30M,,,,31.82M,-100.82M,,65.29M,-25.74M,,39.54M,,14.30M,,,,,,,,
2002-03,12.10M,,,2.168M,27.39M,5.519M,32.91M,32.91M,5.415M,,,,,-20.65M,-42.13M,88.30M,-4.288M,21.61M,,42.84M,95.43M,,-26.42M,0.594M,-25.83M,,,,-25.83M,,,,-77.03M,91.06M,,91.06M,,,,-36.46M,-22.43M,,18.12M,47.17M,,65.29M,,91.06M,,,,,,,,
