,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2017-06,2.264B,2.264B,1.271B,993.09M,846.38M,,13.92M,-13.92M,,846.38M,146.71M,13.92M,-13.92M,3.169M,-13.92M,135.96M,48.91M,87.05M,,87.05M,87.05M,149.88M,,149.88M,,1.18,,,1.18,1.18,,1.17,,,1.17,1.17,,73.85M,74.09M,0.06,,AOR,Restated
2016-12,2.083B,2.083B,1.175B,907.56M,801.42M,,13.36M,-13.36M,,801.42M,106.15M,13.36M,-13.36M,4.129M,-13.36M,96.91M,34.55M,62.36M,,62.36M,62.36M,169.40M,59.12M,110.28M,,0.84,,,0.84,0.84,,0.84,,,0.84,0.84,,73.68M,73.88M,0.06,,AOR,Restated
2016-09,2.249B,2.249B,1.261B,988.20M,794.44M,,13.58M,-13.58M,,794.44M,193.77M,13.58M,-13.58M,-2.349M,-13.58M,177.84M,63.99M,113.84M,,113.84M,113.84M,251.42M,60.00M,191.42M,,1.54,,,1.54,1.54,,1.53,,,1.53,1.53,,73.64M,73.86M,0.06,,AOR,Restated
2016-06,2.256B,2.256B,1.246B,1.010B,793.57M,,14.02M,-14.02M,,793.57M,216.68M,14.02M,-14.02M,6.244M,-14.02M,208.91M,84.31M,124.60M,,124.60M,124.60M,222.93M,,222.93M,,1.69,,,1.69,1.69,,1.68,,,1.68,1.68,,73.58M,73.84M,0.06,,AOR,Restated
2015-12,2.034B,2.034B,1.124B,909.17M,808.49M,,13.81M,-13.81M,,808.49M,100.68M,13.81M,-13.81M,-3.044M,-13.81M,83.82M,29.01M,54.82M,,54.82M,54.82M,159.61M,61.98M,97.63M,,0.75,,,0.75,0.75,,0.74,,,0.74,0.74,,73.26M,73.85M,0.06,,AOR,Restated
2015-09,2.295B,2.295B,1.263B,1.032B,826.86M,,14.38M,-14.38M,,826.86M,205.52M,14.38M,-14.38M,1.276M,-14.38M,192.42M,71.95M,120.47M,,120.47M,120.47M,268.44M,61.64M,206.80M,,1.64,,,1.64,1.64,,1.63,,,1.63,1.63,,73.22M,73.76M,0.06,,AOR,Restated
2015-06,2.370B,2.370B,1.283B,1.087B,830.24M,,15.44M,-15.44M,,830.24M,257.05M,15.44M,-15.44M,-3.808M,-15.44M,237.80M,87.80M,150.00M,,150.00M,150.00M,253.24M,,253.24M,,2.04,,,2.04,2.04,,2.03,,,2.03,2.03,,73.18M,73.68M,0.06,,AOR,Restated
2014-12,2.237B,2.237B,1.233B,1.004B,857.86M,,17.00M,-17.00M,,857.86M,146.08M,17.00M,-17.00M,1.883M,-17.00M,130.96M,46.52M,84.43M,,84.43M,84.43M,214.04M,66.08M,147.96M,,1.15,,,1.15,1.15,,1.15,,,1.15,1.15,,72.99M,73.49M,0.06,,AOR,Restated
2014-09,2.289B,2.289B,1.255B,1.034B,825.28M,,15.90M,-15.90M,,825.28M,209.16M,15.90M,-15.90M,0.398M,-15.90M,193.65M,71.48M,122.18M,,122.18M,122.18M,275.47M,65.91M,209.56M,,1.67,,,1.67,1.67,,1.66,,,1.66,1.66,,72.96M,73.43M,0.06,,AOR,Restated
2014-06,2.348B,2.348B,1.286B,1.062B,821.44M,,16.86M,-16.86M,,821.44M,240.67M,16.86M,-16.86M,0.208M,-16.86M,224.02M,84.53M,139.49M,,139.49M,139.49M,240.88M,,240.88M,,1.91,,,1.91,1.91,,1.89,,,1.89,1.89,,72.93M,73.40M,0.06,,AOR,Restated
2013-12,1.409B,1.409B,707.04M,701.78M,610.93M,,9.986M,-9.986M,,610.93M,90.84M,9.986M,-9.986M,1.009M,-9.986M,81.87M,32.60M,49.27M,,49.27M,49.27M,139.59M,47.74M,91.85M,,0.68,,,0.68,0.68,,0.67,,,0.67,0.67,,72.78M,73.27M,0.06,,AOR,Restated
2013-09,1.520B,1.520B,757.20M,762.94M,592.22M,,7.948M,-7.948M,,592.22M,170.72M,7.948M,-7.948M,0.366M,-7.948M,163.14M,59.31M,103.83M,,103.83M,103.83M,219.08M,47.99M,171.09M,,1.42,,,1.42,1.42,,1.42,,,1.42,1.42,,72.75M,73.13M,0.06,,AOR,Restated
2013-06,1.550B,1.550B,770.33M,779.22M,584.54M,,8.024M,-8.024M,,584.54M,194.68M,8.024M,-8.024M,0.365M,-8.024M,187.02M,70.15M,116.87M,,116.87M,116.87M,195.05M,,195.05M,,1.60,,,1.60,1.60,,1.59,,,1.59,1.59,,72.93M,73.34M,0.06,,AOR,Restated
2012-12,1.329B,1.329B,666.05M,663.16M,549.96M,,7.992M,-7.992M,,549.96M,113.20M,7.992M,-7.992M,-0.159M,-7.992M,105.04M,39.99M,65.06M,,65.06M,65.06M,158.81M,45.78M,113.04M,,0.89,,,0.89,0.89,,0.88,,,0.88,0.88,,73.21M,73.93M,0.06,,AOR,Restated
2012-09,1.458B,1.458B,732.18M,725.35M,574.99M,,8.048M,-8.048M,,574.99M,150.36M,8.048M,-8.048M,0.312M,-8.048M,142.62M,53.12M,89.50M,,89.50M,89.50M,195.91M,45.24M,150.67M,,1.22,,,1.22,1.22,,1.21,,,1.21,1.21,,73.17M,73.99M,0.06,,AOR,Restated
2012-06,1.461B,1.461B,732.12M,728.86M,559.66M,,7.947M,-7.947M,,559.66M,169.20M,7.947M,-7.947M,-0.055M,-7.947M,161.19M,61.59M,99.61M,,99.61M,99.61M,211.87M,42.73M,169.14M,,1.36,,,1.36,1.36,,1.34,,,1.34,1.34,,73.15M,74.08M,0.06,,AOR,Restated
2012-03,1.957B,1.957B,976.62M,980.67M,756.11M,0.502M,9.854M,-9.854M,,756.11M,224.56M,9.854M,-9.854M,0.502M,-9.854M,215.21M,81.71M,133.51M,,133.51M,133.19M,280.86M,55.80M,225.07M,,1.83,0.00,,1.826,1.83,,1.79,0.00,,1.786,1.79,,72.89M,74.22M,0.06,,AOR,
2011-12,1.328B,1.328B,676.83M,650.74M,538.82M,,5.073M,-5.073M,,538.82M,111.92M,5.073M,-5.073M,0.314M,-5.073M,107.16M,40.72M,66.44M,,66.44M,66.44M,153.70M,41.47M,112.23M,,0.94,,,0.94,0.94,,0.92,,,0.92,0.92,,72.70M,74.11M,0.06,,AOR,Restated
2011-09,1.465B,1.465B,740.48M,724.50M,546.68M,-0.614M,8.15M,-8.15M,,546.68M,177.82M,8.15M,-8.15M,-0.614M,-8.15M,169.06M,63.50M,105.55M,,105.55M,105.94M,218.71M,41.51M,177.21M,,1.43,0.00,,1.435,1.43,,1.41,0.00,,1.415,1.41,,73.38M,74.73M,0.06,,AOR,Restated
2011-06,1.480B,1.480B,743.99M,735.85M,546.92M,-0.212M,8.007M,-8.007M,,546.92M,188.93M,8.007M,-8.007M,-0.212M,-8.007M,180.71M,67.60M,113.11M,,113.11M,113.24M,229.15M,40.43M,188.72M,,1.48,0.00,,1.482,1.48,,1.46,0.00,,1.462,1.46,,75.98M,77.43M,0.06,,AOR,Restated
2011-03,1.898B,1.898B,939.86M,958.20M,772.22M,0.055M,9.719M,-9.719M,,772.22M,185.98M,9.719M,-9.719M,0.055M,-9.719M,176.31M,66.73M,109.58M,,109.58M,109.55M,238.57M,52.54M,186.03M,,1.37,0.00,,1.370,1.37,,1.35,0.00,,1.350,1.35,,79.47M,81.02M,0.06,,AOR,Restated
2010-12,1.270B,1.270B,642.64M,627.48M,543.55M,,6.727M,-6.727M,,543.55M,83.94M,6.727M,-6.727M,0.454M,-6.727M,77.66M,29.55M,48.11M,,48.11M,48.11M,123.39M,39.00M,84.39M,,0.59,,,0.59,0.59,,0.58,,,0.58,0.58,,83.30M,84.76M,0.06,,AOR,Restated
2010-09,1.407B,1.407B,698.73M,707.78M,560.56M,-0.293M,7.002M,-7.002M,,560.56M,147.22M,7.002M,-7.002M,-0.293M,-7.002M,139.93M,52.33M,87.60M,,87.60M,87.78M,185.44M,38.51M,146.93M,,1.04,0.00,,1.042,1.04,,1.03,0.00,,1.032,1.03,,83.70M,84.80M,0.06,,AOR,Restated
2010-06,1.418B,1.418B,702.69M,715.27M,543.67M,-1.702M,7.176M,-7.176M,,543.67M,171.60M,7.176M,-7.176M,-1.702M,-7.176M,162.72M,61.81M,100.91M,,100.91M,101.97M,207.15M,37.25M,169.90M,,1.18,0.00,,1.192,1.18,,1.16,0.00,,1.172,1.16,,85.39M,86.41M,0.06,,AOR,Restated
2010-03,1.831B,1.831B,919.83M,910.78M,728.60M,0.524M,5.956M,-5.956M,,728.60M,182.17M,5.956M,-5.956M,0.524M,-5.956M,176.74M,67.31M,109.43M,,109.43M,109.11M,232.38M,49.68M,182.70M,,1.20,0.00,,1.196,1.20,,1.19,0.00,,1.186,1.19,,90.71M,91.47M,0.06,,AOR,Restated
2009-12,1.144B,1.144B,595.44M,548.13M,490.96M,-0.026M,4.907M,-4.907M,,490.96M,57.17M,4.907M,-4.907M,-0.026M,-4.907M,52.24M,17.76M,34.48M,,34.48M,34.50M,93.21M,36.06M,57.15M,,0.37,0.00,,0.3702,0.37,,0.37,0.00,,0.3702,0.37,,93.90M,94.48M,0.06,,AOR,Restated
2009-09,1.263B,1.263B,641.12M,621.46M,516.60M,0.487M,5.339M,-5.339M,,516.60M,104.86M,5.339M,-5.339M,0.487M,-5.339M,100.00M,38.02M,61.98M,,61.98M,61.68M,140.63M,35.29M,105.34M,,0.65,0.00,,0.6468,0.65,,0.65,0.00,,0.6468,0.65,,94.66M,95.47M,0.06,,AOR,Restated
2009-06,1.323B,1.323B,670.19M,652.65M,517.88M,0.25M,5.48M,-5.48M,,517.88M,134.78M,5.48M,-5.48M,0.25M,-5.48M,129.54M,49.22M,80.33M,,80.33M,80.17M,169.44M,34.41M,135.02M,,0.84,0.00,,0.8384,0.84,,0.83,0.00,,0.8284,0.83,,94.87M,95.74M,0.06,,AOR,Restated
2009-03,1.684B,1.684B,861.65M,821.99M,664.41M,-0.104M,7.611M,-7.611M,,664.41M,157.58M,7.611M,-7.611M,-0.104M,-7.611M,149.87M,56.28M,93.58M,,93.58M,93.65M,202.63M,45.16M,157.48M,,0.99,0.00,,0.9907,0.99,,0.98,0.00,,0.9807,0.98,,94.47M,94.89M,0.06,,AOR,Restated
2008-12,1.192B,1.192B,714.67M,477.72M,430.92M,-0.219M,,,,430.92M,46.79M,,,-0.219M,,39.09M,14.68M,24.41M,,24.41M,24.55M,79.29M,33.01M,46.29M,,0.26,0.00,,0.2615,0.26,,0.26,0.00,,0.2615,0.26,,93.61M,93.61M,0.06,,,Restated
2008-09,1.188B,1.188B,610.83M,577.12M,481.22M,-0.223M,,,,481.22M,95.90M,,,-0.223M,,89.00M,32.85M,56.16M,,56.16M,56.30M,130.78M,34.88M,95.90M,,0.59,0.00,,0.5915,0.59,,0.59,0.00,,0.5915,0.59,,95.02M,95.86M,0.06,,,
2008-06,1.236B,1.236B,649.50M,586.28M,458.32M,-0.092M,7.25M,-7.25M,,458.32M,127.96M,7.25M,-7.25M,-0.092M,-7.25M,120.62M,45.23M,75.39M,,75.39M,75.44M,161.94M,34.07M,127.87M,,0.79,0.00,,0.7906,0.79,,0.78,0.00,,0.7806,0.78,,95.01M,95.66M,0.06,,,Restated
2008-03,1.526B,1.526B,801.28M,724.85M,580.58M,0.028M,12.32M,-12.32M,,580.58M,144.28M,12.32M,-12.32M,0.028M,-12.32M,131.98M,49.90M,82.09M,,82.09M,82.07M,188.93M,44.62M,144.31M,,0.86,0.00,,0.8598,0.86,,0.86,0.00,,0.8598,0.86,,94.99M,95.61M,0.06,,,Restated
2007-12,1.048B,1.048B,554.79M,493.59M,430.04M,-0.189M,,,,430.04M,63.55M,,,-0.189M,,55.18M,20.43M,34.75M,,34.75M,34.87M,97.47M,33.92M,63.55M,,0.36,0.00,,0.3612,0.36,,0.36,0.00,,0.3612,0.36,,100.34M,101.06M,0.06,,,
2007-09,1.158B,1.158B,602.93M,555.11M,454.73M,0.353M,,,,454.73M,100.38M,,,0.353M,,92.76M,33.72M,59.04M,,59.04M,58.82M,134.40M,34.02M,100.38M,,0.58,0.00,,0.5778,0.58,,0.57,0.00,,0.5678,0.57,,102.55M,103.18M,0.06,,,
2007-06,1.170B,1.170B,607.00M,562.86M,445.05M,0.508M,,,,445.05M,117.81M,,,0.508M,,110.93M,42.50M,68.42M,,68.42M,68.11M,151.87M,34.06M,117.81M,,0.64,0.00,,0.6371,0.64,,0.64,0.00,,0.6371,0.64,,106.49M,107.47M,0.06,,,
2007-03,1.468B,1.468B,758.72M,709.40M,574.71M,0.342M,,,,574.71M,134.69M,,,0.342M,,123.76M,47.66M,76.10M,,76.10M,75.89M,180.19M,45.50M,134.69M,,0.72,0.00,,0.7180,0.72,,0.71,0.00,,0.7080,0.71,,105.69M,106.64M,0.06,,,
2006-12,1.016B,1.016B,537.72M,478.43M,414.35M,0.818M,,,,414.35M,64.08M,,,0.818M,,57.06M,21.70M,35.35M,,35.35M,34.85M,99.40M,35.32M,64.08M,,0.34,0.00,,0.3352,0.34,,0.34,0.00,,0.3352,0.34,,105.38M,105.83M,0.06,,,
2006-09,1.099B,1.099B,569.28M,530.21M,427.68M,1.14M,,,,427.68M,102.52M,,,1.14M,,94.43M,35.48M,58.95M,,58.95M,58.24M,135.96M,33.44M,102.52M,,0.56,0.00,,0.5532,0.56,,0.56,0.00,,0.5533,0.56,,105.11M,106.05M,0.06,,,
2006-06,1.108B,1.108B,580.50M,527.36M,416.91M,-0.021M,,,,416.91M,110.45M,,,-0.021M,,101.67M,38.74M,62.94M,,62.94M,62.95M,141.62M,31.17M,110.45M,,0.60,0.00,,0.6001,0.60,,0.59,0.00,,0.5901,0.59,,105.65M,106.79M,0.06,,,
2006-03,1.393B,1.393B,727.84M,665.17M,538.87M,0.62M,,,,538.87M,126.30M,,,0.62M,,116.76M,42.67M,74.08M,,74.08M,73.69M,166.32M,40.03M,126.30M,,0.69,0.00,,0.6864,0.69,,0.68,0.00,,0.6764,0.68,,107.88M,109.26M,0.06,,,
2005-12,963.72M,963.72M,513.64M,450.08M,379.74M,0.517M,,,,379.74M,70.34M,,,0.517M,,63.16M,23.80M,39.36M,,39.36M,39.03M,99.73M,29.39M,70.34M,,0.37,0.00,,0.3670,0.37,,0.35,0.00,,0.3471,0.35,,108.28M,109.80M,,,,
2005-09,1.020B,1.020B,538.32M,481.42M,376.00M,0.933M,,,,376.00M,105.42M,,,0.933M,,98.15M,37.36M,60.79M,,60.79M,60.22M,133.77M,28.36M,105.42M,,0.56,0.00,,0.5547,0.56,,0.55,0.00,,0.5448,0.55,,109.31M,110.94M,,,,
2005-06,1.023B,1.023B,541.10M,482.05M,369.53M,1.045M,,,,369.53M,112.52M,,,1.045M,,105.99M,40.06M,65.93M,,65.93M,65.28M,140.13M,27.61M,112.52M,,0.61,0.00,,0.6040,0.61,,0.60,0.00,,0.5941,0.60,,108.78M,110.35M,,,,
2005-03,1.258B,1.258B,657.43M,600.93M,480.72M,0.32M,,,,480.72M,120.21M,,,0.32M,,111.62M,42.98M,68.65M,,68.65M,68.45M,155.42M,35.20M,120.21M,,0.64,0.00,,0.6382,0.64,,0.63,0.00,,0.6282,0.63,,107.26M,109.16M,,,,
2004-12,848.81M,848.81M,455.15M,393.66M,334.01M,-2.631M,,,,334.01M,59.65M,,,-2.631M,,52.12M,20.07M,32.06M,0.013M,32.07M,33.67M,84.52M,24.88M,59.65M,,0.30,0.00,,0.3148,0.30,,0.29,0.00,,0.3045,0.29,,109.64M,111.43M,,,,
2004-09,890.16M,890.16M,473.65M,416.52M,328.67M,0.067M,,,,328.67M,87.84M,,,0.067M,,83.58M,32.18M,51.40M,-0.006M,51.39M,51.36M,112.81M,24.97M,87.84M,,0.46,0.00,,0.4596,0.46,,0.45,0.00,,0.4496,0.45,,110.95M,113.14M,,,,
2004-06,908.41M,908.41M,486.11M,422.30M,331.06M,-0.158M,,,,331.06M,91.25M,,,-0.158M,,86.56M,33.33M,53.23M,0.006M,53.24M,53.33M,115.62M,24.37M,91.25M,,0.4736,0.00,,0.4744,0.4736,,0.4669,0.00,,0.4678,0.4669,,111.83M,114.37M,,,,
2004-03,1.123B,1.123B,602.02M,520.90M,430.88M,-0.219M,,,-0.244M,430.63M,90.27M,,,-0.219M,,83.49M,32.14M,51.34M,-0.052M,51.29M,51.48M,122.01M,31.74M,90.27M,,0.4602,0.00,,0.4614,0.4602,,0.4536,0.00,,0.4547,0.4536,,110.93M,113.82M,,,,
2003-12,821.28M,821.28M,447.15M,374.13M,304.30M,-10.36M,,,,304.30M,69.82M,,,-10.36M,,54.12M,20.83M,33.28M,-2.011M,31.27M,39.65M,93.30M,23.48M,69.82M,,0.30,-0.02,,0.3576,0.28,,0.2933,-0.02,,0.3494,0.2733,,110.65M,113.62M,,,,
2003-09,839.10M,839.10M,452.17M,386.93M,308.30M,-0.019M,,,,308.30M,78.63M,,,-0.019M,,72.75M,28.01M,44.74M,0.419M,45.16M,44.76M,102.50M,23.88M,78.63M,,0.40,0.0067,,0.4001,0.4067,,0.3933,0.0067,,0.3934,0.40,,110.48M,113.32M,,,,
2003-06,827.35M,827.35M,447.87M,379.47M,301.90M,-0.161M,,,,301.90M,77.58M,,,-0.161M,,70.39M,27.10M,43.29M,0.167M,43.46M,43.39M,101.07M,23.49M,77.58M,,0.40,0.00,,0.4009,0.40,,0.3867,0.00,,0.3875,0.3867,,109.64M,112.24M,,,,
2003-03,1.034B,1.034B,565.73M,467.81M,389.90M,-50.15M,,,,389.90M,77.91M,,,-50.15M,,8.197M,3.156M,5.041M,,5.041M,35.88M,112.92M,35.00M,77.91M,,0.0467,0.00,,0.3332,0.0467,,0.0467,0.00,,0.3276,0.0467,,107.66M,109.80M,,,,
2002-12,618.67M,618.67M,319.45M,299.22M,261.93M,-27.63M,,,,261.93M,37.29M,,,-27.63M,,-4.686M,-1.74M,-2.946M,,8.619M,14.43M,63.54M,26.24M,37.29M,,-0.0033,0.0833,,0.1591,0.08,,-0.0033,0.0833,,0.1544,0.0767,,106.93M,110.13M,,,,
2002-09,788.66M,788.66M,439.00M,349.66M,278.87M,-7.949M,,,,278.87M,70.79M,,,-7.949M,,46.83M,18.17M,28.66M,,28.36M,33.52M,96.78M,25.99M,70.79M,,0.2667,0.00,-0.0028,0.3121,0.2667,,0.2567,0.00,-0.0028,0.3008,0.2567,,107.02M,110.18M,,,,
2002-06,792.72M,792.72M,443.70M,349.01M,284.14M,-7.252M,,,,284.14M,64.88M,,,-7.252M,,38.51M,14.94M,23.56M,,15.94M,28.00M,90.44M,25.56M,64.88M,,0.2233,-0.0733,-0.0718,0.2651,0.15,,0.2133,-0.0733,-0.0718,0.2538,0.1467,,106.16M,109.63M,,,,
2002-03,1.004B,1.004B,567.58M,436.51M,377.59M,-11.56M,,,,377.59M,58.92M,,,-11.56M,,19.76M,7.667M,12.10M,,12.10M,19.17M,91.83M,32.91M,58.92M,,0.1201,0.00,,0.1898,0.1201,,0.1134,0.00,,0.1806,0.1134,,101.45M,105.31M,,,,
2001-12,484.12M,484.12M,,,,,,,,,-1.846B,,,,,,,-22.16M,,-21.79M,-22.16M,-1.846B,,-1.846B,,-0.2635,0.00,,-0.2635,-0.2635,,-0.2635,0.00,,-0.2635,-0.2635,,90.33M,92.21M,,,,
2001-09,598.79M,598.79M,,,,,,,,,598.79M,,,,,,,15.23M,,15.23M,15.23M,598.79M,,598.79M,,0.1801,0.00,,0.1801,0.1801,,0.1768,0.00,,0.1768,0.1768,,84.58M,86.18M,,,,
2001-06,607.48M,607.48M,,,,,,,,,607.48M,,,,,,,14.12M,,14.12M,14.12M,607.48M,,607.48M,,0.1668,0.00,,0.1668,0.1668,,0.1634,0.00,,0.1634,0.1634,,84.70M,86.43M,,,,
2001-03,729.36M,729.36M,,,,,,,,,729.36M,,,,,,,3.873M,,3.873M,3.873M,729.36M,,729.36M,,0.0467,0.00,,0.0467,0.0467,,0.0467,0.00,,0.0467,0.0467,,82.95M,82.95M,,,,
