,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,OtherCashfromOperations,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,266.30M,5.898M,,-19.44M,-12.52M,,,268.82M,268.82M,-89.75M,,,16.11M,3.103M,27.39M,-5.114M,-24.99M,113.72M,,,0.90M,,577.66M,,2018-03,-418.62M,0.225M,0.225M,-2.503M,,-432.38M,,2018-03,-2.265M,380.04M,377.77M,0.00,-362.40M,-362.40M,-68.00M,-68.00M,,-117.05M,,2018-03,1.500B,-2.83M,1.525B,,2018-03,0.00,0.00,-2.265M,2.935M,168.40M,,2018-03,AOR,Restated
2017-12,1.419B,27.63M,,-19.58M,22.40M,,,249.36M,249.36M,-1.354B,,,16.19M,-7.672M,-31.92M,-1.058M,5.006M,416.37M,,,-48.56M,,694.50M,,2017-12,-464.80M,0.347M,0.347M,-10.81M,,-453.98M,,2017-12,0.00,-603.73M,-603.73M,-17.14M,0.00,-17.14M,-62.29M,-62.29M,,-726.80M,,2017-12,1.987B,-0.419M,1.500B,,2017-12,-17.14M,0.00,0.00,181.65M,135.79M,,2017-12,AOR,Restated
2017-09,175.74M,7.711M,,-28.96M,9.293M,,,249.60M,249.60M,82.16M,,,15.34M,3.639M,-49.52M,1.871M,-42.01M,106.54M,,,13.38M,,572.78M,,2017-09,-526.67M,0.078M,0.078M,-1.148M,,-533.84M,,2017-09,-152.67M,413.88M,261.21M,404.68M,-327.50M,77.18M,-63.30M,-63.30M,,190.96M,,2017-09,1.757B,-0.286M,1.987B,,2017-09,404.68M,350.00M,-502.67M,-140.60M,180.86M,,2017-09,AOR,Restated
2017-06,240.87M,13.24M,,-30.08M,-16.04M,,,244.75M,244.75M,21.72M,,,15.00M,11.38M,27.12M,-2.673M,36.11M,39.80M,,,-84.71M,,533.69M,,2017-06,-416.54M,0.113M,0.113M,-1.273M,,-126.83M,,2017-06,,97.37M,97.37M,,,,-63.25M,-63.25M,,-43.41M,,2017-06,1.395B,-1.833M,1.757B,,2017-06,,,,138.04M,129.84M,,2017-06,AOR,Restated
2017-03,252.57M,1.696M,,-32.84M,-31.15M,,,249.77M,249.77M,-9.255M,,,15.96M,4.468M,36.35M,-2.796M,-53.85M,-140.45M,,,66.70M,,405.44M,,2017-03,-456.08M,0.18M,0.18M,-3.50M,,-465.95M,,2017-03,0.00,107.48M,107.48M,,0.00,0.00,-63.18M,-63.18M,,10.47M,,2017-03,1.447B,-1.089M,1.395B,,2017-03,,,0.00,2.56M,212.15M,,2017-03,AOR,Restated
2016-12,68.89M,12.36M,,-24.79M,-12.40M,,,233.05M,233.05M,8.475M,,,16.61M,-17.47M,-56.61M,-0.329M,37.55M,185.11M,,,11.31M,,484.97M,,2016-12,-672.16M,0.654M,0.654M,-10.55M,,-686.44M,,2016-12,0.00,192.58M,192.58M,0.00,0.00,0.00,0.00,0.00,,201.71M,,2016-12,1.446B,0.181M,1.447B,,2016-12,0.00,0.00,0.00,4.914M,109.82M,,2016-12,AOR,Restated
2016-09,561.26M,-1.268M,,-21.36M,-5.85M,,,209.74M,209.74M,-52.11M,,,13.95M,-422.26M,-12.65M,4.751M,-26.96M,160.92M,,,-2.522M,,435.36M,,2016-09,-619.74M,1.631M,1.631M,-535.98M,,-1.158B,,2016-09,-2.188B,2.015B,-173.04M,0.00,-100.00M,-100.00M,0.00,0.00,,-334.93M,,2016-09,2.503B,0.019M,1.446B,,2016-09,0.00,1.00B,-3.188B,7.914M,203.24M,,2016-09,AOR,Restated
2016-06,514.50M,0.854M,,-431.62M,-381.30M,,,206.90M,206.90M,-45.20M,,,12.88M,9.122M,14.64M,-0.218M,40.51M,21.42M,,,-2.184M,,389.05M,,2016-06,-543.07M,1.432M,1.432M,0.00,,-2.202M,,2016-06,1.399B,-1.960B,-560.50M,1.208B,,1.208B,0.00,0.00,,451.68M,,2016-06,1.665B,-0.18M,2.503B,,2016-06,1.208B,2.895B,-1.496B,50.81M,153.08M,,2016-06,AOR,Restated
2016-03,91.20M,5.131M,,5.792M,11.58M,,,199.84M,199.84M,7.653M,,,12.05M,1.215M,22.75M,6.602M,-53.28M,-93.70M,,,6.779M,,224.60M,,2016-03,-427.50M,0.227M,0.227M,-1.555M,,-430.02M,,2016-03,-2.661M,243.00M,240.34M,,,,0.00,0.00,,200.96M,,2016-03,1.670B,-0.941M,1.665B,,2016-03,,,-2.661M,4.601M,195.03M,,2016-03,AOR,Restated
2015-12,-1.473B,23.29M,,-22.47M,0.813M,,,200.16M,200.16M,102.61M,,,12.25M,-25.87M,-17.47M,-3.704M,16.63M,-31.07M,,,-7.402M,,267.30M,,2015-12,-466.24M,7.689M,7.689M,90.67M,0.00,-393.00M,,2015-12,-1.702B,1.695B,-7.00M,0.00,0.00,0.00,,,,-19.87M,,2015-12,1.808B,-0.052M,1.670B,,2015-12,0.00,0.00,-1.702B,-19.64M,152.29M,,2015-12,AOR,Restated
2015-09,94.74M,7.123M,,-33.41M,-26.29M,,,204.74M,204.74M,-25.54M,,,9.688M,15.22M,-15.13M,3.952M,-31.50M,48.29M,,,-2.382M,,290.51M,,2015-09,-406.54M,0.084M,0.084M,-17.84M,200.20M,-225.17M,,2015-09,-879.38M,328.91M,-550.47M,0.00,0.00,0.00,,,,-591.87M,,2015-09,2.342B,0.131M,1.808B,,2015-09,0.00,1.702B,-2.581B,9.477M,225.46M,,2015-09,AOR,Restated
2015-06,126.47M,3.953M,,-24.36M,-18.49M,,,208.56M,208.56M,-12.04M,,,10.26M,15.62M,-23.77M,-3.628M,29.09M,-78.86M,,,-3.041M,,271.62M,,2015-06,-301.71M,0.095M,0.095M,-16.60M,-200.20M,-293.68M,,2015-06,-4.879M,272.12M,267.24M,0.00,,0.00,,,,164.64M,,2015-06,2.196B,0.01M,2.342B,,2015-06,0.00,1.706B,-1.711B,17.22M,185.36M,,2015-06,AOR,Restated
2015-03,212.65M,1.589M,,-97.70M,-96.11M,,,206.41M,206.41M,-68.65M,,,10.68M,15.18M,-6.35M,0.731M,-50.34M,-77.43M,,,6.879M,,175.65M,,2015-03,-292.33M,0.164M,0.164M,-160.08M,570.00M,116.80M,,2015-03,1.711B,-1.319B,392.00M,,,,,,,189.22M,,2015-03,1.714B,0.704M,2.196B,,2015-03,,1.711B,0.00,4.747M,213.43M,,2015-03,AOR,Restated
2014-12,-287.47M,0.48M,,21.68M,22.16M,,,202.65M,202.65M,325.45M,,,10.71M,-5.292M,-54.11M,-5.341M,16.78M,-119.24M,,,-17.07M,,107.86M,,2014-12,-339.58M,7.114M,7.114M,-32.59M,-570.00M,-933.10M,,2014-12,-468.62M,1.712B,1.244B,,,,,,,1.227B,,2014-12,1.313B,0.688M,1.714B,,2014-12,,1.251B,-1.719B,2.01M,181.00M,,2014-12,AOR,Restated
2014-09,50.38M,6.794M,,-0.176M,6.618M,,,202.39M,202.39M,7.981M,,,9.951M,19.89M,31.64M,3.117M,-3.251M,-91.21M,,,-30.42M,,219.19M,,2014-09,-247.21M,0.125M,0.125M,-16.70M,69.07M,-188.89M,,2014-09,-4.375M,-2.625M,-7.00M,,,,,,,-79.56M,,2014-09,1.365B,-1.101M,1.313B,,2014-09,,1.719B,-1.724B,31.75M,203.80M,,2014-09,AOR,Restated
2014-06,178.17M,33.17M,,3.752M,36.92M,,,203.07M,203.07M,5.18M,,,8.405M,9.244M,4.222M,-0.958M,28.87M,9.42M,,,12.27M,,512.83M,,2014-06,-177.50M,0.277M,0.277M,-21.58M,9.102M,-188.09M,,2014-06,-4.375M,-2.625M,-7.00M,,,,,,,-74.83M,,2014-06,1.115B,0.495M,1.365B,,2014-06,,1.724B,-1.728B,4.644M,191.75M,,2014-06,AOR,Restated
2014-03,186.10M,0.558M,,-0.381M,0.177M,,,207.66M,207.66M,-6.782M,,,8.195M,14.63M,-14.19M,6.349M,-42.68M,-87.93M,,,5.736M,,290.80M,,2014-03,-192.75M,0.135M,0.135M,-32.18M,8.999M,-214.07M,,2014-03,1.219B,-1.735B,-515.90M,,,,,,,-764.69M,,2014-03,1.804B,-0.971M,1.115B,,2014-03,,1.728B,-508.90M,3.864M,200.23M,,2014-03,AOR,Restated
2013-12,22.41M,2.012M,,77.45M,79.46M,,,207.47M,207.47M,0.381M,,,8.398M,5.743M,-75.17M,-9.574M,32.80M,-73.52M,,,14.12M,,214.69M,,2013-12,-204.15M,17.48M,17.48M,-5.10M,3.098M,-188.78M,,2013-12,500.00M,-87.00M,413.00M,,,,,,,402.17M,,2013-12,1.375B,0.186M,1.804B,,2013-12,,500.00M,0.00,0.029M,194.64M,,2013-12,AOR,Restated
2013-09,26.97M,26.13M,,24.62M,50.75M,,,211.68M,211.68M,-21.05M,,,7.379M,19.51M,29.03M,2.782M,-52.15M,91.92M,,,-6.067M,,365.70M,,2013-09,-136.70M,0.223M,0.223M,-9.453M,15.01M,-131.14M,,2013-09,-150.03M,73.00M,-77.03M,,,,,,,-137.88M,,2013-09,1.279B,0.058M,1.375B,,2013-09,,0.00,-150.03M,-0.576M,209.49M,,2013-09,AOR,Restated
2013-06,-30.58M,88.13M,,32.18M,124.08M,,,218.15M,218.15M,6.018M,,,7.932M,2.605M,32.23M,3.947M,-3.054M,161.89M,,,5.42M,,535.41M,,2013-06,-145.46M,0.088M,0.088M,-8.00M,14.96M,-136.60M,,2013-06,-3.255B,2.676B,-579.23M,,,,,,,-601.48M,,2013-06,1.481B,0.703M,1.279B,,2013-06,,0.00,-3.255B,-2.354M,217.53M,,2013-06,AOR,Restated
2013-03,22.58M,8.491M,,6.111M,14.63M,,,211.92M,211.92M,63.12M,,,8.623M,-12.83M,-45.93M,2.509M,-24.30M,-63.66M,,,,,194.66M,,2013-03,-97.42M,0.235M,0.235M,-6.40M,-0.026M,-103.62M,,2013-03,2.793B,-2.69B,103.00M,,,,,,,-152.52M,,2013-03,1.544B,-1.39M,1.481B,,2013-03,,2.793B,0.00,3.736M,218.61M,,2013-03,AOR,Restated
2012-12,-1.188B,599.62M,,34.31M,1.138B,,,226.83M,226.83M,-117.20M,,,9.428M,47.66M,-31.27M,0.202M,-38.62M,-93.13M,,,52.06M,,22.09M,,2012-12,-106.01M,0.19M,0.19M,-17.30M,-0.019M,-123.01M,,2012-12,-2.674B,1.985B,-689.28M,,,,,,,-799.26M,,2012-12,2.443B,0.528M,1.544B,,2012-12,,1.70B,-4.374B,0.443M,305.56M,,2012-12,AOR,Restated
2012-09,-154.67M,5.803M,,58.97M,64.77M,,,228.41M,228.41M,43.68M,,,9.336M,14.40M,50.92M,5.549M,-27.19M,170.49M,,,-50.80M,,375.01M,,2012-09,-100.53M,0.14M,0.14M,-12.00M,14.98M,-98.45M,,2012-09,915.35M,-463.83M,451.52M,,,,,,,434.41M,,2012-09,1.732B,0.274M,2.443B,,2012-09,,1.45B,-534.65M,0.293M,260.77M,,2012-09,AOR,Restated
2012-06,-70.43M,90.47M,,14.85M,105.32M,,,235.64M,235.64M,-1.821M,,,10.19M,7.065M,-13.15M,-2.629M,39.25M,-44.33M,,,-61.89M,,220.56M,,2012-06,-102.47M,0.076M,0.076M,-12.40M,-0.003M,-115.01M,,2012-06,-450.00M,450.00M,0.00,,,,,,,-9.192M,,2012-06,1.635B,0.671M,1.732B,,2012-06,,0.00,-450.00M,4.416M,261.49M,,2012-06,AOR,Restated
2012-03,-203.31M,0.917M,,40.18M,99.83M,,,236.81M,236.81M,-41.86M,,,10.60M,17.59M,-5.243M,2.061M,-34.42M,130.23M,,,54.66M,,291.69M,,2012-03,-113.76M,0.02M,0.02M,-12.60M,15.01M,-109.94M,,2012-03,15.87M,-192.10M,-176.23M,,,,,,,-412.92M,,2012-03,1.866B,0.148M,1.635B,,2012-03,,2.30B,-2.284B,1.83M,211.84M,,2012-03,AOR,Restated
2011-12,-19.30M,95.77M,,30.84M,3.623B,,,237.76M,237.76M,-171.81M,-70.31M,,11.05M,-3.464B,-47.91M,-8.433M,8.284M,10.42M,,,4.995M,,194.09M,,2011-12,-124.92M,,,-21.20M,-0.014M,-147.19M,,2011-12,-128.68M,133.00M,4.32M,,,,,,,2.345M,,2011-12,1.815B,1.546M,1.866B,,2011-12,,1.784B,-1.474B,,1.002B,,2011-12,AOR,Restated
2011-09,-106.58M,81.84M,,-24.06M,-3.439B,,,249.52M,249.52M,-76.50M,23.13M,,10.06M,3.563B,-100.12M,1.035M,-14.22M,66.47M,,,0.37M,,184.12M,,2011-09,-91.15M,,,-107.65M,102.61M,-95.27M,,2011-09,-31.23M,839.23M,808.00M,,,,,,,804.81M,,2011-09,921.55M,-0.086M,1.815B,,2011-09,,2.284B,-2.754B,-172.18M,-505.82M,,2011-09,AOR,Restated
2011-06,3.451B,0.90M,,6.16M,7.06M,,,177.47M,177.47M,-80.71M,23.62M,,9.396M,-3.492B,-2.522M,-1.935M,32.88M,-31.21M,,,175.68M,,272.94M,,2011-06,-50.72M,,,407.05M,-26.09M,331.68M,,2011-06,1.165B,-1.278B,-113.40M,,,,,,,-114.10M,,2011-06,431.28M,-0.247M,921.55M,,2011-06,,2.380B,-1.215B,170.26M,285.72M,,2011-06,AOR,Restated
2011-03,-89.87M,0.091M,,14.98M,15.07M,,,152.40M,152.40M,-65.42M,23.56M,,9.21M,-4.339M,-4.486M,1.294M,-11.68M,-12.76M,,,2.606M,,23.98M,,2011-03,-34.46M,,,,-76.69M,-110.54M,,2011-03,19.53M,,19.53M,,,,,,,18.87M,,2011-03,498.96M,0.00,431.28M,,2011-03,,1.422B,-1.403B,1.913M,220.10M,,2011-03,AOR,Restated
2010-12,-139.19M,-2.178M,,-28.56M,-22.22M,,,146.67M,146.67M,-46.91M,-64.18M,,8.832M,75.32M,-4.798M,-2.912M,13.18M,57.86M,,,2.155M,,123.62M,,2010-12,-78.95M,70.93M,70.93M,-553.00M,147.82M,-165.16M,,2010-12,-1.608B,1.017B,-591.43M,,,,,,,-12.25M,,2010-12,552.76M,0.00,498.96M,,2010-12,,1.678B,-383.45M,-331.22M,260.48M,,2010-12,AOR,Restated
2010-09,-317.99M,326.68M,,33.78M,360.46M,,,158.86M,158.86M,-238.00M,24.45M,,8.599M,-4.175M,2.738M,3.326M,-25.96M,42.04M,,,12.62M,,30.55M,,2010-09,-49.44M,6.575M,6.575M,0.00,4.176M,-54.74M,,2010-09,-645.84M,210.00M,-435.84M,,,,,,,-436.27M,,2010-09,1.013B,0.00,552.76M,,2010-09,,3.180B,-3.616B,-30.32M,259.03M,,2010-09,AOR,Restated
2010-06,-883.48M,1.126B,,65.77M,1.193B,,,164.77M,164.77M,-440.28M,24.23M,,8.002M,-11.87M,-36.50M,-0.438M,29.04M,-5.024M,,,335.31M,,394.75M,,2010-06,-25.15M,0.099M,0.099M,0.00,-40.00M,-49.95M,,2010-06,2.176B,-1.838B,338.20M,,,,,,,227.82M,,2010-06,440.59M,0.00,1.013B,,2010-06,,4.330B,-5.267B,360.79M,248.67M,,2010-06,AOR,Restated
2010-03,-96.74M,0.689M,,119.67M,-21.40M,,,163.13M,163.13M,91.11M,15.50M,,9.555M,16.38M,21.19M,5.442M,-14.61M,-83.67M,,,-152.10M,,-44.91M,,2010-03,-53.94M,,,,-262.00M,-316.23M,,2010-03,91.53M,-1.275B,-1.184B,,,,,,,-1.254B,,2010-03,2.056B,,440.59M,,2010-03,,2.788B,-2.696B,0.74M,251.85M,,2010-03,AOR,Restated
2009-12,-433.92M,549.36M,,59.91M,627.31M,,,167.40M,167.40M,-344.69M,14.65M,0.00,9.495M,206.29M,-70.21M,-3.688M,3.20M,59.55M,,,-219.86M,,69.60M,,2009-12,-14.17M,0.224M,0.224M,0.00,-34.43M,-55.97M,,2009-12,-249.64M,1.458B,1.208B,0.681M,,0.681M,,,,1.146B,,2009-12,896.99M,,2.056B,,2009-12,0.681M,110.00M,2.125B,-1.46M,307.09M,,2009-12,AOR,Restated
2009-09,-750.39M,971.21M,,169.37M,1.141B,,,170.65M,170.65M,-117.56M,17.69M,0.00,9.32M,-274.36M,-32.18M,2.28M,-24.31M,30.50M,,,-42.30M,,130.29M,,2009-09,-29.17M,21.91M,21.91M,0.00,-164.34M,-171.99M,,2009-09,241.96M,186.12M,428.08M,0.00,,0.00,,,-0.632M,527.34M,,2009-09,411.36M,,896.99M,,2009-09,0.00,462.63M,-34.55M,55.32M,500.43M,,2009-09,AOR,Restated
2009-06,-212.58M,3.248M,,28.86M,75.26M,,,174.37M,174.37M,208.36M,10.31M,175.69M,9.022M,58.00M,-3.805M,2.427M,36.70M,41.72M,,,-306.42M,,253.77M,,2009-06,-35.01M,0.153M,0.153M,156.68M,-376.68M,-148.52M,,2009-06,635.73M,-2.671B,-2.035B,1.104B,,1.104B,,,0.00,-1.059B,,2009-06,1.366B,,411.36M,,2009-06,1.104B,1.514B,-3.549B,,-174.98M,,2009-06,AOR,Restated
2009-03,105.20M,-195.12M,,23.92M,-171.21M,,,176.86M,176.86M,-90.79M,8.20M,,8.734M,-15.12M,-14.89M,5.552M,-33.02M,-94.61M,,,234.07M,,134.26M,,2009-03,-58.51M,,,589.59M,-381.05M,46.22M,,2009-03,896.89M,,896.89M,,,,,,0.632M,875.30M,,2009-03,295.64M,,1.366B,,2009-03,,6.607B,-5.71B,,174.98M,,2009-03,AOR,Restated
2008-12,-1.148B,1.176B,,21.16M,1.109B,,,186.58M,186.58M,121.34M,8.09M,0.00,6.612M,-6.009M,-24.02M,10.85M,25.95M,40.09M,,,-112.30M,,252.31M,,2008-12,-107.64M,85.32M,85.32M,0.00,-398.33M,-444.30M,,2008-12,-1.644B,1.910B,265.51M,0.00,0.001M,0.001M,,,-14.01M,251.70M,,2008-12,250.09M,,295.64M,,2008-12,0.00,1.438B,-3.082B,2.747M,121.35M,,2008-12,,Restated
2008-09,61.28M,34.98M,,8.635M,21.24M,-391.56M,-1.023M,199.08M,199.08M,-15.06M,2.53M,0.00,29.66M,-72.14M,36.89M,0.358M,-21.61M,-94.43M,,,49.91M,,244.31M,,2008-09,-194.90M,0.549M,479.76M,0.00,-802.34M,-521.42M,,2008-09,1.273B,850.95M,280.48M,-11.33M,0.00,-11.33M,,,14.01M,247.20M,,2008-09,280.00M,,250.09M,,2008-09,-11.33M,7.43B,-6.157B,435.13M,500.95M,,2008-09,,Restated
2008-06,113.10M,-2.776M,,-19.72M,-0.113M,391.56M,1.023M,198.24M,198.24M,-23.82M,-0.631M,,-11.20M,55.20M,-8.141M,-0.813M,40.33M,54.12M,,,-21.40M,,380.74M,,2008-06,-229.86M,0.099M,-479.11M,,158.13M,-542.06M,,2008-06,-1.100B,-506.55M,237.70M,11.33M,-133.69M,-122.36M,,,-6.395M,110.87M,,2008-06,327.74M,,280.00M,,2008-06,11.33M,-3.03B,1.930B,-324.32M,-208.29M,,2008-06,,
2008-03,118.35M,2.776M,,19.72M,22.50M,,,194.34M,194.34M,-2.934M,0.631M,,11.20M,-19.87M,15.77M,1.973M,-29.69M,-187.64M,,,-263.09M,,-124.32M,,2008-03,-249.34M,,,0.00,-215.82M,-473.66M,,2008-03,1.100B,506.55M,1.606B,,-1.107B,-1.107B,,,6.395M,512.31M,,2008-03,412.39M,,327.74M,,2008-03,,3.03B,-1.930B,324.32M,208.29M,,2008-03,,Restated
2007-12,872.21M,,,,-1.094B,193.77M,7.426M,201.19M,201.19M,52.67M,,,,-198.00M,-56.22M,-1.774M,35.42M,50.98M,,,120.78M,-1.932M,297.03M,,2007-12,-434.50M,32.24M,-402.26M,,,2.168B,,2007-12,,,-2.959B,1.215B,-652.18M,562.34M,,,,-2.363B,,2007-12,311.60M,,412.39M,,2007-12,1.215B,,,,,,2007-12,,
2007-09,183.86M,,,,-66.54M,170.78M,-6.816M,163.96M,163.96M,17.06M,,,,-166.86M,-36.71M,0.868M,-3.68M,4.624M,,-129.46M,52.22M,0.00,19.34M,,2007-09,-692.20M,0.148M,-692.05M,,160.00M,-629.32M,,2007-09,,,574.77M,23.13M,0.00,23.13M,,,,627.10M,,2007-09,297.64M,,311.60M,,2007-09,23.13M,,,,,,2007-09,,
